[{'X': 0.723354697227478, 'Y': 0.9114168882369995, 'Z': -0.0001409808173775673}, {'X': 0.6044179201126099, 'Y': 0.8679990768432617, 'Z': -0.03409787267446518}, {'X': 0.5300570726394653, 'Y': 0.7248973846435547, 'Z': -0.04188346862792969}, {'X': 0.5039409399032593, 'Y': 0.5958011746406555, 'Z': -0.06147332489490509}, {'X': 0.4906196594238281, 'Y': 0.5073100924491882, 'Z': -0.07053495198488235}, {'X': 0.6213248372077942, 'Y': 0.5432524085044861, 'Z': 0.025713467970490456}, {'X': 0.6157263517379761, 'Y': 0.3815232515335083, 'Z': 0.005165691953152418}, {'X': 0.6182593107223511, 'Y': 0.2873074412345886, 'Z': -0.007396987173706293}, {'X': 0.6217807531356812, 'Y': 0.20749419927597046, 'Z': -0.015184343792498112}, {'X': 0.6894347667694092, 'Y': 0.5355476140975952, 'Z': 0.008748525753617287}, {'X': 0.6826846599578857, 'Y': 0.3534817695617676, 'Z': -0.002392080845311284}, {'X': 0.6819486021995544, 'Y': 0.2473321557044983, 'Z': -0.02848435752093792}, {'X': 0.6857808232307434, 'Y': 0.15747034549713135, 'Z': -0.042733240872621536}, {'X': 0.7532029151916504, 'Y': 0.5592321157455444, 'Z': -0.016679339110851288}, {'X': 0.7561584115028381, 'Y': 0.3935524523258209, 'Z': -0.03280456364154816}, {'X': 0.7576819658279419, 'Y': 0.294580340385437, 'Z': -0.05603523552417755}, {'X': 0.7561431527137756, 'Y': 0.2117331326007843, 'Z': -0.07524220645427704}, {'X': 0.8184353113174438, 'Y': 0.6087775826454163, 'Z': -0.04759562388062477}, {'X': 0.8277584314346313, 'Y': 0.4753154218196869, 'Z': -0.07601392269134521}, {'X': 0.8311394453048706, 'Y': 0.3932306468486786, 'Z': -0.10058597475290298}, {'X': 0.8277864456176758, 'Y': 0.31200098991394043, 'Z': -0.11515901237726212}]
[{'X': 0.723432719707489, 'Y': 0.8972169160842896, 'Z': -0.00013952927838545293}, {'X': 0.6048444509506226, 'Y': 0.8604579567909241, 'Z': -0.037381675094366074}, {'X': 0.5353628396987915, 'Y': 0.723786473274231, 'Z': -0.05063576251268387}, {'X': 0.5096600651741028, 'Y': 0.5984688997268677, 'Z': -0.07471302151679993}, {'X': 0.4858512282371521, 'Y': 0.5116369128227234, 'Z': -0.09404362738132477}, {'X': 0.6223888397216797, 'Y': 0.5443386435508728, 'Z': 0.01257000956684351}, {'X': 0.6169180870056152, 'Y': 0.38244378566741943, 'Z': -0.01297096349298954}, {'X': 0.6188790798187256, 'Y': 0.28744518756866455, 'Z': -0.029302211478352547}, {'X': 0.6229153275489807, 'Y': 0.20640867948532104, 'Z': -0.039156556129455566}, {'X': 0.6884238123893738, 'Y': 0.5367119312286377, 'Z': -0.003479752456769347}, {'X': 0.6818146109580994, 'Y': 0.3571086525917053, 'Z': -0.018406307324767113}, {'X': 0.6797893643379211, 'Y': 0.2487277090549469, 'Z': -0.04801981896162033}, {'X': 0.6820042729377747, 'Y': 0.15628686547279358, 'Z': -0.06618498265743256}, {'X': 0.7519988417625427, 'Y': 0.5600125789642334, 'Z': -0.028523702174425125}, {'X': 0.7568367719650269, 'Y': 0.3952626585960388, 'Z': -0.04595755413174629}, {'X': 0.7559174299240112, 'Y': 0.2954726815223694, 'Z': -0.07378782331943512}, {'X': 0.7531789541244507, 'Y': 0.2120126187801361, 'Z': -0.09680961072444916}, {'X': 0.8180054426193237, 'Y': 0.6080172657966614, 'Z': -0.059163983911275864}, {'X': 0.8278758525848389, 'Y': 0.4717773199081421, 'Z': -0.08873405307531357}, {'X': 0.828689694404602, 'Y': 0.38879334926605225, 'Z': -0.11770236492156982}, {'X': 0.8231877088546753, 'Y': 0.3085925281047821, 'Z': -0.13673189282417297}]
[{'X': 0.7246720790863037, 'Y': 0.9011518955230713, 'Z': -0.00011966496094828472}, {'X': 0.6086422801017761, 'Y': 0.8645078539848328, 'Z': -0.04304884746670723}, {'X': 0.5366122722625732, 'Y': 0.726333498954773, 'Z': -0.06076778471469879}, {'X': 0.5090076327323914, 'Y': 0.5998426079750061, 'Z': -0.0902259424328804}, {'X': 0.4879341721534729, 'Y': 0.5073229670524597, 'Z': -0.11227118968963623}, {'X': 0.623809814453125, 'Y': 0.542477548122406, 'Z': 0.016767652705311775}, {'X': 0.6175917983055115, 'Y': 0.3799428343772888, 'Z': -0.005169201642274857}, {'X': 0.6197200417518616, 'Y': 0.2862909734249115, 'Z': -0.01858552172780037}, {'X': 0.6238285899162292, 'Y': 0.20735159516334534, 'Z': -0.026152027770876884}, {'X': 0.6898773312568665, 'Y': 0.5338828563690186, 'Z': 0.0007269529742188752}, {'X': 0.6815434694290161, 'Y': 0.35427144169807434, 'Z': -0.009803427383303642}, {'X': 0.6804208755493164, 'Y': 0.24785256385803223, 'Z': -0.035009779036045074}, {'X': 0.6842523217201233, 'Y': 0.1562066376209259, 'Z': -0.049095503985881805}, {'X': 0.7532212138175964, 'Y': 0.5579520463943481, 'Z': -0.02575116604566574}, {'X': 0.7557312846183777, 'Y': 0.39282476902008057, 'Z': -0.039754629135131836}, {'X': 0.7564443945884705, 'Y': 0.2931455969810486, 'Z': -0.06498366594314575}, {'X': 0.7547844052314758, 'Y': 0.20979511737823486, 'Z': -0.08694320917129517}, {'X': 0.8200982213020325, 'Y': 0.6071810722351074, 'Z': -0.05868500471115112}, {'X': 0.8272140622138977, 'Y': 0.4702824056148529, 'Z': -0.08604749292135239}, {'X': 0.8279280662536621, 'Y': 0.3878398537635803, 'Z': -0.11254908889532089}, {'X': 0.8223652243614197, 'Y': 0.3074934482574463, 'Z': -0.12951748073101044}]
[{'X': 0.7240121960639954, 'Y': 0.9024661779403687, 'Z': -0.0001237379910890013}, {'X': 0.6080037355422974, 'Y': 0.8628554344177246, 'Z': -0.03950979933142662}, {'X': 0.5355745553970337, 'Y': 0.7255801558494568, 'Z': -0.05486220866441727}, {'X': 0.5069723725318909, 'Y': 0.6002776622772217, 'Z': -0.08225448429584503}, {'X': 0.4887927174568176, 'Y': 0.5078551173210144, 'Z': -0.10084128379821777}, {'X': 0.6250900626182556, 'Y': 0.5410738587379456, 'Z': 0.02349052205681801}, {'X': 0.6182445287704468, 'Y': 0.3790341317653656, 'Z': 0.0036635836586356163}, {'X': 0.6208764314651489, 'Y': 0.28461140394210815, 'Z': -0.008982920087873936}, {'X': 0.6251439452171326, 'Y': 0.20650336146354675, 'Z': -0.01671217940747738}, {'X': 0.6904600262641907, 'Y': 0.5319973826408386, 'Z': 0.006816732697188854}, {'X': 0.681357741355896, 'Y': 0.3522777557373047, 'Z': -0.00337192602455616}, {'X': 0.6805216073989868, 'Y': 0.24636921286582947, 'Z': -0.028104310855269432}, {'X': 0.6841108202934265, 'Y': 0.15570375323295593, 'Z': -0.0414247140288353}, {'X': 0.7529751658439636, 'Y': 0.5557516813278198, 'Z': -0.019475182518363}, {'X': 0.7545037269592285, 'Y': 0.3917924165725708, 'Z': -0.03297434374690056}, {'X': 0.7554261684417725, 'Y': 0.2940847873687744, 'Z': -0.05599849671125412}, {'X': 0.7525074481964111, 'Y': 0.21179410815238953, 'Z': -0.0753498375415802}, {'X': 0.819138765335083, 'Y': 0.6048596501350403, 'Z': -0.0519150048494339}, {'X': 0.8262121677398682, 'Y': 0.4720492959022522, 'Z': -0.0791059285402298}, {'X': 0.8271731734275818, 'Y': 0.391053169965744, 'Z': -0.1037285327911377}, {'X': 0.8207494020462036, 'Y': 0.3113722503185272, 'Z': -0.11865932494401932}]
[{'X': 0.7312935590744019, 'Y': 0.9129477739334106, 'Z': -0.00015971426910255104}, {'X': 0.6135381460189819, 'Y': 0.8659114241600037, 'Z': -0.0379524789750576}, {'X': 0.5363933444023132, 'Y': 0.7248640060424805, 'Z': -0.04483404383063316}, {'X': 0.5053645372390747, 'Y': 0.5990747809410095, 'Z': -0.06383033096790314}, {'X': 0.492993026971817, 'Y': 0.5090577006340027, 'Z': -0.06729592382907867}, {'X': 0.6251371502876282, 'Y': 0.5433017015457153, 'Z': 0.024643609300255775}, {'X': 0.6176286935806274, 'Y': 0.3819090723991394, 'Z': 0.00408341595903039}, {'X': 0.6172337532043457, 'Y': 0.29055583477020264, 'Z': -0.006090768612921238}, {'X': 0.618364155292511, 'Y': 0.21409818530082703, 'Z': -0.011149061843752861}, {'X': 0.6915503740310669, 'Y': 0.5339904427528381, 'Z': 0.008266213349997997}, {'X': 0.6858333945274353, 'Y': 0.35427239537239075, 'Z': -0.0016317743575200438}, {'X': 0.6828486323356628, 'Y': 0.25140655040740967, 'Z': -0.026457510888576508}, {'X': 0.6836085915565491, 'Y': 0.16403186321258545, 'Z': -0.04178936406970024}, {'X': 0.7528980374336243, 'Y': 0.5554119348526001, 'Z': -0.016346093267202377}, {'X': 0.7542802095413208, 'Y': 0.39264601469039917, 'Z': -0.03383113071322441}, {'X': 0.7542468309402466, 'Y': 0.29806455969810486, 'Z': -0.05760058015584946}, {'X': 0.7496559619903564, 'Y': 0.21693184971809387, 'Z': -0.07896028459072113}, {'X': 0.8168999552726746, 'Y': 0.6017666459083557, 'Z': -0.04711008816957474}, {'X': 0.8218436241149902, 'Y': 0.4734358489513397, 'Z': -0.07501167058944702}, {'X': 0.8216167092323303, 'Y': 0.39669907093048096, 'Z': -0.09831557422876358}, {'X': 0.8149207234382629, 'Y': 0.3178350627422333, 'Z': -0.11398725211620331}]
[{'X': 0.7245987057685852, 'Y': 0.9074875116348267, 'Z': -0.00015637402248103172}, {'X': 0.609247624874115, 'Y': 0.8647527694702148, 'Z': -0.03486084192991257}, {'X': 0.535711407661438, 'Y': 0.7227811217308044, 'Z': -0.045426130294799805}, {'X': 0.5073062777519226, 'Y': 0.5951955318450928, 'Z': -0.06960944831371307}, {'X': 0.48999154567718506, 'Y': 0.505454421043396, 'Z': -0.08442805707454681}, {'X': 0.6244528889656067, 'Y': 0.5416849255561829, 'Z': 0.02587464638054371}, {'X': 0.6187626123428345, 'Y': 0.3789883852005005, 'Z': 0.006578643340617418}, {'X': 0.6219581365585327, 'Y': 0.2857056260108948, 'Z': -0.005482350010424852}, {'X': 0.6261417269706726, 'Y': 0.2082393765449524, 'Z': -0.013476600870490074}, {'X': 0.6903260350227356, 'Y': 0.5337845683097839, 'Z': 0.0055378274992108345}, {'X': 0.6825792193412781, 'Y': 0.3515816032886505, 'Z': -0.0062767271883785725}, {'X': 0.6814591288566589, 'Y': 0.24588778614997864, 'Z': -0.03178798407316208}, {'X': 0.6847485899925232, 'Y': 0.15606096386909485, 'Z': -0.0460197888314724}, {'X': 0.7530254125595093, 'Y': 0.5572527647018433, 'Z': -0.024019675329327583}, {'X': 0.7549426555633545, 'Y': 0.3906848728656769, 'Z': -0.039694078266620636}, {'X': 0.7560319304466248, 'Y': 0.29074162244796753, 'Z': -0.06330988556146622}, {'X': 0.7532116770744324, 'Y': 0.20699498057365417, 'Z': -0.08296311646699905}, {'X': 0.8184773921966553, 'Y': 0.6071144938468933, 'Z': -0.05916566029191017}, {'X': 0.8257238864898682, 'Y': 0.47163140773773193, 'Z': -0.08863420784473419}, {'X': 0.828082263469696, 'Y': 0.3881152272224426, 'Z': -0.1145099624991417}, {'X': 0.8235054016113281, 'Y': 0.30530261993408203, 'Z': -0.13034118711948395}]
[{'X': 0.7279910445213318, 'Y': 0.9080667495727539, 'Z': -0.00014019881200511009}, {'X': 0.609795868396759, 'Y': 0.8626025915145874, 'Z': -0.04034532234072685}, {'X': 0.5350327491760254, 'Y': 0.7199516892433167, 'Z': -0.0491320826113224}, {'X': 0.5067209005355835, 'Y': 0.5942121744155884, 'Z': -0.06999299675226212}, {'X': 0.4896809458732605, 'Y': 0.5047098398208618, 'Z': -0.07911814749240875}, {'X': 0.6240151524543762, 'Y': 0.5382076501846313, 'Z': 0.02105605974793434}, {'X': 0.6191586852073669, 'Y': 0.3758653402328491, 'Z': -0.0014252960681915283}, {'X': 0.6231814622879028, 'Y': 0.28335869312286377, 'Z': -0.013367912732064724}, {'X': 0.6275966763496399, 'Y': 0.20406723022460938, 'Z': -0.019836584106087685}, {'X': 0.691421389579773, 'Y': 0.5302388072013855, 'Z': 0.005095951724797487}, {'X': 0.6870742440223694, 'Y': 0.3541131615638733, 'Z': -0.0074602533131837845}, {'X': 0.6865713596343994, 'Y': 0.2500821352005005, 'Z': -0.03548668697476387}, {'X': 0.6884773969650269, 'Y': 0.16098570823669434, 'Z': -0.051600273698568344}, {'X': 0.7543739080429077, 'Y': 0.5537283420562744, 'Z': -0.020387286320328712}, {'X': 0.7584127187728882, 'Y': 0.39239612221717834, 'Z': -0.03813702240586281}, {'X': 0.7601505517959595, 'Y': 0.2936091423034668, 'Z': -0.06568976491689682}, {'X': 0.7573916912078857, 'Y': 0.20987015962600708, 'Z': -0.08967909961938858}, {'X': 0.8194308280944824, 'Y': 0.6034535765647888, 'Z': -0.05218537524342537}, {'X': 0.8265926837921143, 'Y': 0.472072571516037, 'Z': -0.0818975493311882}, {'X': 0.8287824392318726, 'Y': 0.39167100191116333, 'Z': -0.10915746539831161}, {'X': 0.8238694667816162, 'Y': 0.3106715679168701, 'Z': -0.12686672806739807}]
[{'X': 0.7295271158218384, 'Y': 0.9056927561759949, 'Z': -0.00015602406347170472}, {'X': 0.6118277311325073, 'Y': 0.8650671243667603, 'Z': -0.03471757844090462}, {'X': 0.5355736017227173, 'Y': 0.7241080403327942, 'Z': -0.041273873299360275}, {'X': 0.5054071545600891, 'Y': 0.5945656299591064, 'Z': -0.05994321405887604}, {'X': 0.48908525705337524, 'Y': 0.5032961964607239, 'Z': -0.06673306226730347}, {'X': 0.6250502467155457, 'Y': 0.5406799912452698, 'Z': 0.027794228866696358}, {'X': 0.6178312301635742, 'Y': 0.3794889450073242, 'Z': 0.011116594076156616}, {'X': 0.6201276183128357, 'Y': 0.2875637710094452, 'Z': 0.002643793122842908}, {'X': 0.6237022280693054, 'Y': 0.2112385332584381, 'Z': -0.0033702501095831394}, {'X': 0.6909339427947998, 'Y': 0.5307366251945496, 'Z': 0.009556557983160019}, {'X': 0.6836290955543518, 'Y': 0.347603976726532, 'Z': 0.0009874070528894663}, {'X': 0.6829538941383362, 'Y': 0.24312958121299744, 'Z': -0.02290353551506996}, {'X': 0.6870816349983215, 'Y': 0.1541329026222229, 'Z': -0.03660198301076889}, {'X': 0.7532312273979187, 'Y': 0.5532047152519226, 'Z': -0.01733477972447872}, {'X': 0.7554425001144409, 'Y': 0.38751477003097534, 'Z': -0.03263074532151222}, {'X': 0.757108747959137, 'Y': 0.28877031803131104, 'Z': -0.05559810623526573}, {'X': 0.7557505965232849, 'Y': 0.2041742503643036, 'Z': -0.07642926275730133}, {'X': 0.8180887699127197, 'Y': 0.6023836135864258, 'Z': -0.049567315727472305}, {'X': 0.8244580030441284, 'Y': 0.46949586272239685, 'Z': -0.07810311019420624}, {'X': 0.8269211053848267, 'Y': 0.3876184821128845, 'Z': -0.10410317033529282}, {'X': 0.8231833577156067, 'Y': 0.30459678173065186, 'Z': -0.12022465467453003}]
[{'X': 0.7304866909980774, 'Y': 0.9107952117919922, 'Z': -0.00017651976668275893}, {'X': 0.6125826239585876, 'Y': 0.8684431910514832, 'Z': -0.035888075828552246}, {'X': 0.5352303981781006, 'Y': 0.727423369884491, 'Z': -0.04425213113427162}, {'X': 0.504561722278595, 'Y': 0.5977038741111755, 'Z': -0.06454837322235107}, {'X': 0.4905799627304077, 'Y': 0.5059673190116882, 'Z': -0.07217302173376083}, {'X': 0.6245802640914917, 'Y': 0.5405248403549194, 'Z': 0.026511171832680702}, {'X': 0.6178086996078491, 'Y': 0.37598150968551636, 'Z': 0.013382270000874996}, {'X': 0.62153160572052, 'Y': 0.28271153569221497, 'Z': 0.008439254947006702}, {'X': 0.6264045834541321, 'Y': 0.20519694685935974, 'Z': 0.004730895161628723}, {'X': 0.6925312876701355, 'Y': 0.5293434858322144, 'Z': 0.010272465646266937}, {'X': 0.6842358708381653, 'Y': 0.34461843967437744, 'Z': 0.004783702548593283}, {'X': 0.6839105486869812, 'Y': 0.24098247289657593, 'Z': -0.01519768126308918}, {'X': 0.6878871321678162, 'Y': 0.15385529398918152, 'Z': -0.025153813883662224}, {'X': 0.7555911540985107, 'Y': 0.5501936078071594, 'Z': -0.014147892594337463}, {'X': 0.756658136844635, 'Y': 0.3828285336494446, 'Z': -0.02786865085363388}, {'X': 0.7587915658950806, 'Y': 0.28415587544441223, 'Z': -0.04874774068593979}, {'X': 0.7573211193084717, 'Y': 0.2009200155735016, 'Z': -0.06714766472578049}, {'X': 0.820534884929657, 'Y': 0.5980629324913025, 'Z': -0.04343641176819801}, {'X': 0.8246658444404602, 'Y': 0.4617803692817688, 'Z': -0.07025203853845596}, {'X': 0.8263871669769287, 'Y': 0.37925267219543457, 'Z': -0.09446903318166733}, {'X': 0.8220171332359314, 'Y': 0.29659104347229004, 'Z': -0.10896337032318115}]
[{'X': 0.7302162051200867, 'Y': 0.9046157598495483, 'Z': -0.00014087565068621188}, {'X': 0.6150377988815308, 'Y': 0.8650437593460083, 'Z': -0.039269208908081055}, {'X': 0.5408374071121216, 'Y': 0.7253491878509521, 'Z': -0.055119868367910385}, {'X': 0.5115612745285034, 'Y': 0.5988343358039856, 'Z': -0.08441131561994553}, {'X': 0.4941266179084778, 'Y': 0.5065850019454956, 'Z': -0.10465226322412491}, {'X': 0.6292811632156372, 'Y': 0.5424224138259888, 'Z': 0.022057199850678444}, {'X': 0.6210511922836304, 'Y': 0.383531391620636, 'Z': -0.0014572913059964776}, {'X': 0.621381938457489, 'Y': 0.2904113531112671, 'Z': -0.014218258671462536}, {'X': 0.6239604353904724, 'Y': 0.21135777235031128, 'Z': -0.02165486104786396}, {'X': 0.6944704055786133, 'Y': 0.5336390733718872, 'Z': 0.0026157856918871403}, {'X': 0.6861212849617004, 'Y': 0.35584279894828796, 'Z': -0.010062741115689278}, {'X': 0.684353768825531, 'Y': 0.24862030148506165, 'Z': -0.03572901710867882}, {'X': 0.6872535347938538, 'Y': 0.15539851784706116, 'Z': -0.05179482698440552}, {'X': 0.756401777267456, 'Y': 0.5568467974662781, 'Z': -0.02686440758407116}, {'X': 0.7585940957069397, 'Y': 0.39454415440559387, 'Z': -0.04475145787000656}, {'X': 0.7576462030410767, 'Y': 0.29517316818237305, 'Z': -0.0697239562869072}, {'X': 0.7535659074783325, 'Y': 0.21109288930892944, 'Z': -0.09197843819856644}, {'X': 0.8218774795532227, 'Y': 0.6046144366264343, 'Z': -0.062295183539390564}, {'X': 0.8284921050071716, 'Y': 0.46967142820358276, 'Z': -0.09295175224542618}, {'X': 0.8283330798149109, 'Y': 0.38815027475357056, 'Z': -0.11946139484643936}, {'X': 0.8221714496612549, 'Y': 0.3084571659564972, 'Z': -0.13649535179138184}]
[{'X': 0.7321100234985352, 'Y': 0.9100567102432251, 'Z': -0.00016696560487616807}, {'X': 0.6150212287902832, 'Y': 0.864608645439148, 'Z': -0.0370231494307518}, {'X': 0.5419092178344727, 'Y': 0.7211620807647705, 'Z': -0.04608752951025963}, {'X': 0.5142446756362915, 'Y': 0.592097818851471, 'Z': -0.06705807149410248}, {'X': 0.492864191532135, 'Y': 0.5022679567337036, 'Z': -0.07710842788219452}, {'X': 0.6267579793930054, 'Y': 0.5427865386009216, 'Z': 0.015544421039521694}, {'X': 0.6184942722320557, 'Y': 0.3818318843841553, 'Z': -0.006696069147437811}, {'X': 0.6199440956115723, 'Y': 0.2901507616043091, 'Z': -0.016370078548789024}, {'X': 0.623056173324585, 'Y': 0.2123056948184967, 'Z': -0.021388061344623566}, {'X': 0.6939293146133423, 'Y': 0.5334514379501343, 'Z': -0.0009347633458673954}, {'X': 0.6861885190010071, 'Y': 0.3514922261238098, 'Z': -0.015316720120608807}, {'X': 0.6860125660896301, 'Y': 0.24665385484695435, 'Z': -0.039505261927843094}, {'X': 0.6901459693908691, 'Y': 0.15722113847732544, 'Z': -0.0537368468940258}, {'X': 0.7563093900680542, 'Y': 0.5562074184417725, 'Z': -0.02557339332997799}, {'X': 0.7586811184883118, 'Y': 0.3922302722930908, 'Z': -0.04529357701539993}, {'X': 0.7601045966148376, 'Y': 0.2935331463813782, 'Z': -0.06950908899307251}, {'X': 0.7572667002677917, 'Y': 0.20957371592521667, 'Z': -0.09122669696807861}, {'X': 0.8210104703903198, 'Y': 0.6046390533447266, 'Z': -0.0545768141746521}, {'X': 0.8271607160568237, 'Y': 0.47098350524902344, 'Z': -0.08510854840278625}, {'X': 0.8290246725082397, 'Y': 0.3906169533729553, 'Z': -0.11171264201402664}, {'X': 0.8242713809013367, 'Y': 0.30933332443237305, 'Z': -0.12876929342746735}]
