[{'X': 0.7317882180213928, 'Y': 0.8535775542259216, 'Z': -0.00010202725388808176}, {'X': 0.6557117104530334, 'Y': 0.8186827301979065, 'Z': -0.01492941565811634}, {'X': 0.6084780097007751, 'Y': 0.7170864343643188, 'Z': -0.015286327339708805}, {'X': 0.5863273739814758, 'Y': 0.6276655197143555, 'Z': -0.026103442534804344}, {'X': 0.5495412349700928, 'Y': 0.58262038230896, 'Z': -0.03507554158568382}, {'X': 0.6579979062080383, 'Y': 0.5933600664138794, 'Z': 0.006819590926170349}, {'X': 0.6521950364112854, 'Y': 0.4844166934490204, 'Z': 0.0007328976644203067}, {'X': 0.6512603163719177, 'Y': 0.4230635166168213, 'Z': -0.005331409629434347}, {'X': 0.6503483057022095, 'Y': 0.3700546622276306, 'Z': -0.013738921843469143}, {'X': 0.7034321427345276, 'Y': 0.5871464610099792, 'Z': -0.008764510974287987}, {'X': 0.6961837410926819, 'Y': 0.463155061006546, 'Z': -0.014492623507976532}, {'X': 0.6942127346992493, 'Y': 0.39145559072494507, 'Z': -0.03288755193352699}, {'X': 0.6930316686630249, 'Y': 0.3326755166053772, 'Z': -0.04388405755162239}, {'X': 0.7457428574562073, 'Y': 0.6026408076286316, 'Z': -0.027321189641952515}, {'X': 0.7449439167976379, 'Y': 0.4879487156867981, 'Z': -0.037018176168203354}, {'X': 0.7388232946395874, 'Y': 0.4207068085670471, 'Z': -0.0545664019882679}, {'X': 0.7300134897232056, 'Y': 0.3654232919216156, 'Z': -0.06816895306110382}, {'X': 0.7875310182571411, 'Y': 0.6363661885261536, 'Z': -0.048844411969184875}, {'X': 0.7919930815696716, 'Y': 0.5511510968208313, 'Z': -0.06977298110723495}, {'X': 0.7892587184906006, 'Y': 0.49616339802742004, 'Z': -0.08993280678987503}, {'X': 0.781057596206665, 'Y': 0.4426679015159607, 'Z': -0.10055776685476303}]
[{'X': 0.7352271676063538, 'Y': 0.8460264205932617, 'Z': -9.93461289908737e-05}, {'X': 0.6566481590270996, 'Y': 0.8169592618942261, 'Z': -0.019035780802369118}, {'X': 0.605874240398407, 'Y': 0.7190240025520325, 'Z': -0.021160928532481194}, {'X': 0.5821314454078674, 'Y': 0.6301791667938232, 'Z': -0.03235188126564026}, {'X': 0.5472291111946106, 'Y': 0.5839173793792725, 'Z': -0.038186997175216675}, {'X': 0.6570946574211121, 'Y': 0.5926015377044678, 'Z': 0.00328644085675478}, {'X': 0.6521733403205872, 'Y': 0.4801926612854004, 'Z': -0.005320600233972073}, {'X': 0.650972843170166, 'Y': 0.418753981590271, 'Z': -0.009509132243692875}, {'X': 0.649000883102417, 'Y': 0.36661815643310547, 'Z': -0.01583281345665455}, {'X': 0.7030662298202515, 'Y': 0.5849587321281433, 'Z': -0.010526682250201702}, {'X': 0.6982487440109253, 'Y': 0.45956507325172424, 'Z': -0.018063226714730263}, {'X': 0.6964076161384583, 'Y': 0.3887043595314026, 'Z': -0.0352521650493145}, {'X': 0.6942687034606934, 'Y': 0.33060163259506226, 'Z': -0.04498507082462311}, {'X': 0.7457866668701172, 'Y': 0.5994696617126465, 'Z': -0.02806312032043934}, {'X': 0.745278000831604, 'Y': 0.4852578938007355, 'Z': -0.03889475762844086}, {'X': 0.7396487593650818, 'Y': 0.41684406995773315, 'Z': -0.05486162379384041}, {'X': 0.7293863296508789, 'Y': 0.3602944016456604, 'Z': -0.06833931803703308}, {'X': 0.7884501814842224, 'Y': 0.632507860660553, 'Z': -0.04916922003030777}, {'X': 0.7929232120513916, 'Y': 0.5465659499168396, 'Z': -0.07082271575927734}, {'X': 0.7903375029563904, 'Y': 0.49080944061279297, 'Z': -0.09216438978910446}, {'X': 0.7806559801101685, 'Y': 0.43570825457572937, 'Z': -0.1039901152253151}]
[{'X': 0.7329208850860596, 'Y': 0.8431104421615601, 'Z': -0.00010271333303535357}, {'X': 0.6565973162651062, 'Y': 0.8163858652114868, 'Z': -0.022856736555695534}, {'X': 0.6061559319496155, 'Y': 0.7189361453056335, 'Z': -0.026733821257948875}, {'X': 0.583585262298584, 'Y': 0.6309451460838318, 'Z': -0.03899455815553665}, {'X': 0.5492776036262512, 'Y': 0.5856688022613525, 'Z': -0.05001804977655411}, {'X': 0.6572697162628174, 'Y': 0.5936625599861145, 'Z': -0.0012073683319613338}, {'X': 0.6514046788215637, 'Y': 0.48273587226867676, 'Z': -0.009903976693749428}, {'X': 0.6504223346710205, 'Y': 0.421273410320282, 'Z': -0.017479155212640762}, {'X': 0.6498004794120789, 'Y': 0.3686145544052124, 'Z': -0.026972811669111252}, {'X': 0.7030526399612427, 'Y': 0.5873389840126038, 'Z': -0.01309649646282196}, {'X': 0.6963909864425659, 'Y': 0.46315935254096985, 'Z': -0.020905237644910812}, {'X': 0.6947704553604126, 'Y': 0.39167478680610657, 'Z': -0.04109182953834534}, {'X': 0.6941137909889221, 'Y': 0.33298754692077637, 'Z': -0.053158171474933624}, {'X': 0.7455666065216064, 'Y': 0.6024261116981506, 'Z': -0.028690483421087265}, {'X': 0.7446199655532837, 'Y': 0.4887676239013672, 'Z': -0.03967777639627457}, {'X': 0.7392758131027222, 'Y': 0.4216117858886719, 'Z': -0.05755087360739708}, {'X': 0.7310353517532349, 'Y': 0.3667886257171631, 'Z': -0.07181978225708008}, {'X': 0.787813663482666, 'Y': 0.6350469589233398, 'Z': -0.04799830541014671}, {'X': 0.7911519408226013, 'Y': 0.5492449998855591, 'Z': -0.06770046800374985}, {'X': 0.7881942987442017, 'Y': 0.4943152070045471, 'Z': -0.08688205480575562}, {'X': 0.7795072197914124, 'Y': 0.4421469569206238, 'Z': -0.09747040271759033}]
[{'X': 0.7329208850860596, 'Y': 0.8431104421615601, 'Z': -0.00010271333303535357}, {'X': 0.6565973162651062, 'Y': 0.8163858652114868, 'Z': -0.022856736555695534}, {'X': 0.6061559319496155, 'Y': 0.7189361453056335, 'Z': -0.026733821257948875}, {'X': 0.583585262298584, 'Y': 0.6309451460838318, 'Z': -0.03899455815553665}, {'X': 0.5492776036262512, 'Y': 0.5856688022613525, 'Z': -0.05001804977655411}, {'X': 0.6572697162628174, 'Y': 0.5936625599861145, 'Z': -0.0012073683319613338}, {'X': 0.6514046788215637, 'Y': 0.48273587226867676, 'Z': -0.009903976693749428}, {'X': 0.6504223346710205, 'Y': 0.421273410320282, 'Z': -0.017479155212640762}, {'X': 0.6498004794120789, 'Y': 0.3686145544052124, 'Z': -0.026972811669111252}, {'X': 0.7030526399612427, 'Y': 0.5873389840126038, 'Z': -0.01309649646282196}, {'X': 0.6963909864425659, 'Y': 0.46315935254096985, 'Z': -0.020905237644910812}, {'X': 0.6947704553604126, 'Y': 0.39167478680610657, 'Z': -0.04109182953834534}, {'X': 0.6941137909889221, 'Y': 0.33298754692077637, 'Z': -0.053158171474933624}, {'X': 0.7455666065216064, 'Y': 0.6024261116981506, 'Z': -0.028690483421087265}, {'X': 0.7446199655532837, 'Y': 0.4887676239013672, 'Z': -0.03967777639627457}, {'X': 0.7392758131027222, 'Y': 0.4216117858886719, 'Z': -0.05755087360739708}, {'X': 0.7310353517532349, 'Y': 0.3667886257171631, 'Z': -0.07181978225708008}, {'X': 0.787813663482666, 'Y': 0.6350469589233398, 'Z': -0.04799830541014671}, {'X': 0.7911519408226013, 'Y': 0.5492449998855591, 'Z': -0.06770046800374985}, {'X': 0.7881942987442017, 'Y': 0.4943152070045471, 'Z': -0.08688205480575562}, {'X': 0.7795072197914124, 'Y': 0.4421469569206238, 'Z': -0.09747040271759033}]
[{'X': 0.7356832027435303, 'Y': 0.8486835956573486, 'Z': -0.00010100941290147603}, {'X': 0.6578980088233948, 'Y': 0.8183685541152954, 'Z': -0.01866987906396389}, {'X': 0.607577919960022, 'Y': 0.7202799320220947, 'Z': -0.02032117359340191}, {'X': 0.584500789642334, 'Y': 0.6311842203140259, 'Z': -0.03134942799806595}, {'X': 0.5478730201721191, 'Y': 0.5851266980171204, 'Z': -0.03822709247469902}, {'X': 0.6582797765731812, 'Y': 0.5940234065055847, 'Z': 0.005621245130896568}, {'X': 0.6517195701599121, 'Y': 0.4831240773200989, 'Z': -0.00018243608064949512}, {'X': 0.6508703827857971, 'Y': 0.4217759966850281, 'Z': -0.003886645659804344}, {'X': 0.6502865552902222, 'Y': 0.3693130612373352, 'Z': -0.010768362320959568}, {'X': 0.7045247554779053, 'Y': 0.5865020751953125, 'Z': -0.00762201426550746}, {'X': 0.6973503828048706, 'Y': 0.4620434641838074, 'Z': -0.011199179105460644}, {'X': 0.6957858800888062, 'Y': 0.39166635274887085, 'Z': -0.027657363563776016}, {'X': 0.695200502872467, 'Y': 0.33395546674728394, 'Z': -0.03664761781692505}, {'X': 0.747202455997467, 'Y': 0.6004112958908081, 'Z': -0.0242592915892601}, {'X': 0.7453561425209045, 'Y': 0.4866454601287842, 'Z': -0.03186257928609848}, {'X': 0.7398569583892822, 'Y': 0.41940146684646606, 'Z': -0.046777576208114624}, {'X': 0.7315622568130493, 'Y': 0.3642940819263458, 'Z': -0.05941734090447426}, {'X': 0.7894223928451538, 'Y': 0.6325119137763977, 'Z': -0.044666118919849396}, {'X': 0.7926795482635498, 'Y': 0.5466015934944153, 'Z': -0.06275036931037903}, {'X': 0.7896198034286499, 'Y': 0.4920021593570709, 'Z': -0.08177321404218674}, {'X': 0.7808150053024292, 'Y': 0.43915706872940063, 'Z': -0.09256534278392792}]
[{'X': 0.7320396304130554, 'Y': 0.845558762550354, 'Z': -9.733557817526162e-05}, {'X': 0.6550082564353943, 'Y': 0.8146441578865051, 'Z': -0.01591547019779682}, {'X': 0.6060665249824524, 'Y': 0.7155349254608154, 'Z': -0.016769498586654663}, {'X': 0.5847283005714417, 'Y': 0.627700924873352, 'Z': -0.02757858671247959}, {'X': 0.5493689179420471, 'Y': 0.583543598651886, 'Z': -0.03667290881276131}, {'X': 0.6578943133354187, 'Y': 0.591774046421051, 'Z': 0.006208300124853849}, {'X': 0.6534700393676758, 'Y': 0.4804016053676605, 'Z': -0.0002796350163407624}, {'X': 0.65264892578125, 'Y': 0.4180862307548523, 'Z': -0.006100316997617483}, {'X': 0.6516059637069702, 'Y': 0.3648109436035156, 'Z': -0.013861622661352158}, {'X': 0.7035172581672668, 'Y': 0.5857321619987488, 'Z': -0.008582537062466145}, {'X': 0.6977516412734985, 'Y': 0.46167436242103577, 'Z': -0.01423094142228365}, {'X': 0.6958011388778687, 'Y': 0.38947486877441406, 'Z': -0.0323934368789196}, {'X': 0.6944573521614075, 'Y': 0.33013588190078735, 'Z': -0.04252920299768448}, {'X': 0.7457975149154663, 'Y': 0.6005427837371826, 'Z': -0.02683231234550476}, {'X': 0.7455629706382751, 'Y': 0.4878219962120056, 'Z': -0.03514624014496803}, {'X': 0.7399903535842896, 'Y': 0.4198784828186035, 'Z': -0.052339136600494385}, {'X': 0.7311744093894958, 'Y': 0.3651362657546997, 'Z': -0.06620580703020096}, {'X': 0.7877131700515747, 'Y': 0.6328873038291931, 'Z': -0.048327457159757614}, {'X': 0.7916428446769714, 'Y': 0.5474857091903687, 'Z': -0.06772967427968979}, {'X': 0.7889479398727417, 'Y': 0.4921490252017975, 'Z': -0.08756721019744873}, {'X': 0.7798925638198853, 'Y': 0.43911951780319214, 'Z': -0.09884754568338394}]
[{'X': 0.7358518838882446, 'Y': 0.8450708389282227, 'Z': -0.0001029516351991333}, {'X': 0.6580885052680969, 'Y': 0.8159183263778687, 'Z': -0.016498548910021782}, {'X': 0.6075018048286438, 'Y': 0.7186532616615295, 'Z': -0.016483210027217865}, {'X': 0.5839726328849792, 'Y': 0.6299397945404053, 'Z': -0.026226630434393883}, {'X': 0.5480982065200806, 'Y': 0.5842078328132629, 'Z': -0.03258714824914932}, {'X': 0.6582664847373962, 'Y': 0.592495322227478, 'Z': 0.01215098612010479}, {'X': 0.6518206596374512, 'Y': 0.48244112730026245, 'Z': 0.008741132915019989}, {'X': 0.6495683789253235, 'Y': 0.42113590240478516, 'Z': 0.005529084708541632}, {'X': 0.6468262672424316, 'Y': 0.36881953477859497, 'Z': -0.0010587240103632212}, {'X': 0.703498125076294, 'Y': 0.5843998193740845, 'Z': -0.0022777211852371693}, {'X': 0.6964895129203796, 'Y': 0.45929455757141113, 'Z': -0.004988224245607853}, {'X': 0.6940109729766846, 'Y': 0.38793128728866577, 'Z': -0.02199598215520382}, {'X': 0.6922072172164917, 'Y': 0.32985180616378784, 'Z': -0.03168630227446556}, {'X': 0.7458202242851257, 'Y': 0.5980833172798157, 'Z': -0.020497161895036697}, {'X': 0.7437564730644226, 'Y': 0.4828560948371887, 'Z': -0.027546701952815056}, {'X': 0.7372052669525146, 'Y': 0.4149293303489685, 'Z': -0.04384004324674606}, {'X': 0.7273761630058289, 'Y': 0.3596551716327667, 'Z': -0.05724126845598221}, {'X': 0.7879261374473572, 'Y': 0.6303727030754089, 'Z': -0.04199763387441635}, {'X': 0.7916342616081238, 'Y': 0.5450883507728577, 'Z': -0.060860179364681244}, {'X': 0.7884922027587891, 'Y': 0.4892374277114868, 'Z': -0.08085329085588455}, {'X': 0.779172956943512, 'Y': 0.43495145440101624, 'Z': -0.09173083305358887}]
[{'X': 0.7365570068359375, 'Y': 0.8516976237297058, 'Z': -9.93704961729236e-05}, {'X': 0.657281219959259, 'Y': 0.8190186023712158, 'Z': -0.01565093733370304}, {'X': 0.6076619029045105, 'Y': 0.7185262441635132, 'Z': -0.013826246373355389}, {'X': 0.5845100283622742, 'Y': 0.6270707845687866, 'Z': -0.022351697087287903}, {'X': 0.548433780670166, 'Y': 0.5817378163337708, 'Z': -0.027649005874991417}, {'X': 0.6586122512817383, 'Y': 0.59263676404953, 'Z': 0.017292629927396774}, {'X': 0.651858389377594, 'Y': 0.48240694403648376, 'Z': 0.017189068719744682}, {'X': 0.6508567333221436, 'Y': 0.4202653169631958, 'Z': 0.014794284477829933}, {'X': 0.6496779918670654, 'Y': 0.3673030436038971, 'Z': 0.008476244285702705}, {'X': 0.7048922777175903, 'Y': 0.5841125845909119, 'Z': 0.004930972121655941}, {'X': 0.6981194019317627, 'Y': 0.45887264609336853, 'Z': 0.00514587527140975}, {'X': 0.696101725101471, 'Y': 0.388309508562088, 'Z': -0.010561053641140461}, {'X': 0.6948986053466797, 'Y': 0.3298676609992981, 'Z': -0.019809776917099953}, {'X': 0.7472063302993774, 'Y': 0.5977106690406799, 'Z': -0.010436317883431911}, {'X': 0.7460576891899109, 'Y': 0.484607458114624, 'Z': -0.014104582369327545}, {'X': 0.7401246428489685, 'Y': 0.41900986433029175, 'Z': -0.027417363598942757}, {'X': 0.7309423089027405, 'Y': 0.3653321862220764, 'Z': -0.038729242980480194}, {'X': 0.7889977693557739, 'Y': 0.6295971870422363, 'Z': -0.029313068836927414}, {'X': 0.7924578189849854, 'Y': 0.5459058880805969, 'Z': -0.0453442819416523}, {'X': 0.789143979549408, 'Y': 0.49211385846138, 'Z': -0.063099704682827}, {'X': 0.7797476649284363, 'Y': 0.4395265281200409, 'Z': -0.07233607769012451}]
[{'X': 0.7379434108734131, 'Y': 0.847505509853363, 'Z': -0.00010391511023044586}, {'X': 0.6594157218933105, 'Y': 0.8174460530281067, 'Z': -0.014381109736859798}, {'X': 0.6090656518936157, 'Y': 0.7166520953178406, 'Z': -0.0118372468277812}, {'X': 0.5844398736953735, 'Y': 0.6257561445236206, 'Z': -0.019410887733101845}, {'X': 0.547385036945343, 'Y': 0.5814720988273621, 'Z': -0.02315864898264408}, {'X': 0.6571334600448608, 'Y': 0.588871419429779, 'Z': 0.01842597872018814}, {'X': 0.6503770351409912, 'Y': 0.4788329005241394, 'Z': 0.01883624494075775}, {'X': 0.6500763893127441, 'Y': 0.417547345161438, 'Z': 0.017766740173101425}, {'X': 0.6499380469322205, 'Y': 0.36564838886260986, 'Z': 0.012252910062670708}, {'X': 0.7031413912773132, 'Y': 0.5802739858627319, 'Z': 0.004987566266208887}, {'X': 0.6967630386352539, 'Y': 0.4565616250038147, 'Z': 0.007390427868813276}, {'X': 0.6953182816505432, 'Y': 0.3879357576370239, 'Z': -0.007353267166763544}, {'X': 0.6947227716445923, 'Y': 0.33233416080474854, 'Z': -0.016173988580703735}, {'X': 0.7457990646362305, 'Y': 0.5936867594718933, 'Z': -0.011518707498908043}, {'X': 0.7441439628601074, 'Y': 0.4811617136001587, 'Z': -0.014261763542890549}, {'X': 0.7386863827705383, 'Y': 0.416192889213562, 'Z': -0.028067799285054207}, {'X': 0.7306516766548157, 'Y': 0.3631160855293274, 'Z': -0.04067400097846985}, {'X': 0.7877720594406128, 'Y': 0.6261304616928101, 'Z': -0.03155139461159706}, {'X': 0.7900732755661011, 'Y': 0.543144702911377, 'Z': -0.04597606509923935}, {'X': 0.787779688835144, 'Y': 0.48917272686958313, 'Z': -0.06426534056663513}, {'X': 0.780158519744873, 'Y': 0.4357301890850067, 'Z': -0.07435155659914017}]
[{'X': 0.7345145344734192, 'Y': 0.8381550908088684, 'Z': -0.00010856155131477863}, {'X': 0.6556763052940369, 'Y': 0.8105409145355225, 'Z': -0.019258009269833565}, {'X': 0.6058234572410583, 'Y': 0.7123720645904541, 'Z': -0.0204511396586895}, {'X': 0.5847159028053284, 'Y': 0.6249239444732666, 'Z': -0.03017602488398552}, {'X': 0.5495681762695312, 'Y': 0.5801361203193665, 'Z': -0.03726986423134804}, {'X': 0.6578617095947266, 'Y': 0.5913773775100708, 'Z': 0.008304052986204624}, {'X': 0.6568410396575928, 'Y': 0.48487353324890137, 'Z': 0.002088217530399561}, {'X': 0.6585292220115662, 'Y': 0.4274327754974365, 'Z': -0.004738987423479557}, {'X': 0.6599826216697693, 'Y': 0.3775472044944763, 'Z': -0.013636160641908646}, {'X': 0.7037113904953003, 'Y': 0.5840030908584595, 'Z': -0.003831836162135005}, {'X': 0.7019713521003723, 'Y': 0.46477895975112915, 'Z': -0.008085651323199272}, {'X': 0.7030653953552246, 'Y': 0.39624738693237305, 'Z': -0.026501743122935295}, {'X': 0.7045257687568665, 'Y': 0.3384506106376648, 'Z': -0.03969196602702141}, {'X': 0.7460782527923584, 'Y': 0.5973092913627625, 'Z': -0.02089427225291729}, {'X': 0.7459174990653992, 'Y': 0.48676827549934387, 'Z': -0.02733592316508293}, {'X': 0.7430351376533508, 'Y': 0.42164352536201477, 'Z': -0.04315008968114853}, {'X': 0.7379627823829651, 'Y': 0.3669550120830536, 'Z': -0.058358483016490936}, {'X': 0.7881659269332886, 'Y': 0.6290839314460754, 'Z': -0.041545603424310684}, {'X': 0.7913032174110413, 'Y': 0.5453446507453918, 'Z': -0.0556190200150013}, {'X': 0.7899613380432129, 'Y': 0.4924965500831604, 'Z': -0.0725284293293953}, {'X': 0.7844850420951843, 'Y': 0.44058406352996826, 'Z': -0.08303187787532806}]
[{'X': 0.7315605878829956, 'Y': 0.8282762765884399, 'Z': -0.00011587464541662484}, {'X': 0.65860915184021, 'Y': 0.7912169694900513, 'Z': 0.0015029209898784757}, {'X': 0.6122692823410034, 'Y': 0.694280743598938, 'Z': 0.0021074970718473196}, {'X': 0.5879852771759033, 'Y': 0.6131594777107239, 'Z': -0.007120092865079641}, {'X': 0.5553775429725647, 'Y': 0.5707117915153503, 'Z': -0.01380723062902689}, {'X': 0.6590706706047058, 'Y': 0.5911701321601868, 'Z': 0.02198084630072117}, {'X': 0.6573967933654785, 'Y': 0.4954453110694885, 'Z': -0.004561584908515215}, {'X': 0.6589457392692566, 'Y': 0.4982200562953949, 'Z': -0.04274735227227211}, {'X': 0.6617381572723389, 'Y': 0.5200918912887573, 'Z': -0.07107970863580704}, {'X': 0.7011576890945435, 'Y': 0.583649218082428, 'Z': 0.000634719617664814}, {'X': 0.7006153464317322, 'Y': 0.46018898487091064, 'Z': -0.004185233265161514}, {'X': 0.7011014223098755, 'Y': 0.3946644067764282, 'Z': -0.022325584664940834}, {'X': 0.700410783290863, 'Y': 0.3386930823326111, 'Z': -0.03794635459780693}, {'X': 0.7434848546981812, 'Y': 0.5967417359352112, 'Z': -0.024784164503216743}, {'X': 0.7447503209114075, 'Y': 0.47904372215270996, 'Z': -0.027866821736097336}, {'X': 0.7430502772331238, 'Y': 0.4125851094722748, 'Z': -0.03225989267230034}, {'X': 0.7381999492645264, 'Y': 0.3542952537536621, 'Z': -0.03983312472701073}, {'X': 0.7866907119750977, 'Y': 0.6268715858459473, 'Z': -0.05255308002233505}, {'X': 0.7911699414253235, 'Y': 0.5379734039306641, 'Z': -0.059253912419080734}, {'X': 0.790380597114563, 'Y': 0.48302674293518066, 'Z': -0.060876648873090744}, {'X': 0.7861701250076294, 'Y': 0.42553213238716125, 'Z': -0.060147397220134735}]
