[{'X': 0.6267287135124207, 'Y': 0.9021146893501282, 'Z': -0.00015805136354174465}, {'X': 0.5285441875457764, 'Y': 0.8850523233413696, 'Z': -0.0271972194314003}, {'X': 0.45820462703704834, 'Y': 0.7806474566459656, 'Z': -0.03634629026055336}, {'X': 0.4205998182296753, 'Y': 0.6812133193016052, 'Z': -0.055638495832681656}, {'X': 0.39742666482925415, 'Y': 0.609281063079834, 'Z': -0.0638691857457161}, {'X': 0.5267042517662048, 'Y': 0.6032758355140686, 'Z': 0.02588433027267456}, {'X': 0.5069372057914734, 'Y': 0.4723687469959259, 'Z': 0.022816985845565796}, {'X': 0.49743950366973877, 'Y': 0.4002159833908081, 'Z': 0.018443170934915543}, {'X': 0.4920751452445984, 'Y': 0.3422417640686035, 'Z': 0.01374859269708395}, {'X': 0.579444944858551, 'Y': 0.5866089463233948, 'Z': 0.013777995482087135}, {'X': 0.5592930316925049, 'Y': 0.43805408477783203, 'Z': 0.019632024690508842}, {'X': 0.5472029447555542, 'Y': 0.35844922065734863, 'Z': 0.008578169159591198}, {'X': 0.5427653789520264, 'Y': 0.2913767397403717, 'Z': 0.0023524989373981953}, {'X': 0.6313081979751587, 'Y': 0.5978119969367981, 'Z': -0.005238346289843321}, {'X': 0.6238648891448975, 'Y': 0.4625858664512634, 'Z': -0.00800337828695774}, {'X': 0.6171627640724182, 'Y': 0.3825860023498535, 'Z': -0.01882714033126831}, {'X': 0.6111606359481812, 'Y': 0.3144876956939697, 'Z': -0.030302751809358597}, {'X': 0.6855677366256714, 'Y': 0.6346598863601685, 'Z': -0.028960883617401123}, {'X': 0.6863452196121216, 'Y': 0.5273677110671997, 'Z': -0.04457074776291847}, {'X': 0.6834822297096252, 'Y': 0.46213477849960327, 'Z': -0.0625961497426033}, {'X': 0.6764039397239685, 'Y': 0.3991498649120331, 'Z': -0.07398039102554321}]
[{'X': 0.6295814514160156, 'Y': 0.9125217795372009, 'Z': -0.00015874697419349104}, {'X': 0.5316662788391113, 'Y': 0.8924508094787598, 'Z': -0.02607841044664383}, {'X': 0.46350592374801636, 'Y': 0.7868341207504272, 'Z': -0.037491168826818466}, {'X': 0.426190048456192, 'Y': 0.6897467970848083, 'Z': -0.0586995966732502}, {'X': 0.39925432205200195, 'Y': 0.6202356815338135, 'Z': -0.07077943533658981}, {'X': 0.5306215286254883, 'Y': 0.6074942946434021, 'Z': 0.01894976571202278}, {'X': 0.5128750205039978, 'Y': 0.4764096140861511, 'Z': 0.012191474437713623}, {'X': 0.503653347492218, 'Y': 0.4036650061607361, 'Z': 0.006289687007665634}, {'X': 0.49860769510269165, 'Y': 0.34517890214920044, 'Z': 0.0019318410195410252}, {'X': 0.5832330584526062, 'Y': 0.592411994934082, 'Z': 0.004870684817433357}, {'X': 0.5646573901176453, 'Y': 0.44526195526123047, 'Z': 0.00717671075835824}, {'X': 0.5512194037437439, 'Y': 0.36683231592178345, 'Z': -0.004768597427755594}, {'X': 0.5450745820999146, 'Y': 0.30142343044281006, 'Z': -0.009667194448411465}, {'X': 0.6353188157081604, 'Y': 0.6045233011245728, 'Z': -0.01593848504126072}, {'X': 0.6304501295089722, 'Y': 0.46762651205062866, 'Z': -0.023972924798727036}, {'X': 0.6238196492195129, 'Y': 0.3869314193725586, 'Z': -0.037409957498311996}, {'X': 0.6176281571388245, 'Y': 0.3187427222728729, 'Z': -0.048722390085458755}, {'X': 0.6897865533828735, 'Y': 0.6422760486602783, 'Z': -0.040593311190605164}, {'X': 0.6935221552848816, 'Y': 0.5298463106155396, 'Z': -0.05985717102885246}, {'X': 0.6924111247062683, 'Y': 0.4624956250190735, 'Z': -0.07863049954175949}, {'X': 0.6874240636825562, 'Y': 0.3975461423397064, 'Z': -0.08903172612190247}]
[{'X': 0.6317629814147949, 'Y': 0.9161547422409058, 'Z': -0.00016853363194968551}, {'X': 0.5365217924118042, 'Y': 0.8939677476882935, 'Z': -0.02636030688881874}, {'X': 0.46715572476387024, 'Y': 0.7879558801651001, 'Z': -0.0369718074798584}, {'X': 0.4281749725341797, 'Y': 0.6916819214820862, 'Z': -0.05752590671181679}, {'X': 0.40109938383102417, 'Y': 0.6229512095451355, 'Z': -0.07015970349311829}, {'X': 0.535064160823822, 'Y': 0.6114704608917236, 'Z': 0.012786995619535446}, {'X': 0.5158261656761169, 'Y': 0.4808892607688904, 'Z': 0.003900134703144431}, {'X': 0.5071175694465637, 'Y': 0.40695905685424805, 'Z': -0.00292405323125422}, {'X': 0.5028353929519653, 'Y': 0.3468248248100281, 'Z': -0.007738832384347916}, {'X': 0.587969958782196, 'Y': 0.5973158478736877, 'Z': -3.977890810347162e-05}, {'X': 0.5652847290039062, 'Y': 0.4487934410572052, 'Z': -0.002035316778346896}, {'X': 0.5528171062469482, 'Y': 0.36729365587234497, 'Z': -0.01586516574025154}, {'X': 0.5473843216896057, 'Y': 0.29880291223526, 'Z': -0.022161900997161865}, {'X': 0.6395808458328247, 'Y': 0.6098052263259888, 'Z': -0.01798698864877224}, {'X': 0.6300585269927979, 'Y': 0.47393500804901123, 'Z': -0.02647462673485279}, {'X': 0.6232960820198059, 'Y': 0.39197301864624023, 'Z': -0.03957448527216911}, {'X': 0.6172324419021606, 'Y': 0.32309216260910034, 'Z': -0.05037891864776611}, {'X': 0.6932604312896729, 'Y': 0.6476315259933472, 'Z': -0.04000440984964371}, {'X': 0.6936402320861816, 'Y': 0.5384536981582642, 'Z': -0.05848775431513786}, {'X': 0.6908058524131775, 'Y': 0.4739724397659302, 'Z': -0.07671617716550827}, {'X': 0.6839646100997925, 'Y': 0.41294533014297485, 'Z': -0.08727747946977615}]
[{'X': 0.6331912875175476, 'Y': 0.9152215719223022, 'Z': -0.00017284115892834961}, {'X': 0.5382827520370483, 'Y': 0.8935706615447998, 'Z': -0.025038180872797966}, {'X': 0.47018754482269287, 'Y': 0.7888474464416504, 'Z': -0.036247897893190384}, {'X': 0.4318495988845825, 'Y': 0.6931846141815186, 'Z': -0.05746808648109436}, {'X': 0.4041750729084015, 'Y': 0.6235691905021667, 'Z': -0.07044227421283722}, {'X': 0.5367026925086975, 'Y': 0.6110938191413879, 'Z': 0.017951464280486107}, {'X': 0.5181987881660461, 'Y': 0.48221075534820557, 'Z': 0.009306338615715504}, {'X': 0.5091095566749573, 'Y': 0.4092063307762146, 'Z': 0.0022151221055537462}, {'X': 0.5041205883026123, 'Y': 0.3497779965400696, 'Z': -0.003057554131373763}, {'X': 0.5888680219650269, 'Y': 0.596291720867157, 'Z': 0.0034250265453010798}, {'X': 0.5682945847511292, 'Y': 0.45053237676620483, 'Z': 0.00429065665230155}, {'X': 0.5548375248908997, 'Y': 0.3707427680492401, 'Z': -0.010358121246099472}, {'X': 0.5477214455604553, 'Y': 0.3030260503292084, 'Z': -0.01739274524152279}, {'X': 0.6404608488082886, 'Y': 0.6086708903312683, 'Z': -0.017525654286146164}, {'X': 0.6337339282035828, 'Y': 0.4728880226612091, 'Z': -0.02542247623205185}, {'X': 0.6273940801620483, 'Y': 0.3912942409515381, 'Z': -0.03991059586405754}, {'X': 0.6210789084434509, 'Y': 0.3215537369251251, 'Z': -0.0514126680791378}, {'X': 0.6943343877792358, 'Y': 0.6467658877372742, 'Z': -0.04222490265965462}, {'X': 0.6976423263549805, 'Y': 0.5352196097373962, 'Z': -0.06177569180727005}, {'X': 0.6966396570205688, 'Y': 0.4693414866924286, 'Z': -0.08038021624088287}, {'X': 0.6911885738372803, 'Y': 0.40658167004585266, 'Z': -0.09055030345916748}]
[{'X': 0.6331040859222412, 'Y': 0.9200330972671509, 'Z': -0.0001681274443399161}, {'X': 0.5367436408996582, 'Y': 0.8944215774536133, 'Z': -0.026122000068426132}, {'X': 0.4687824249267578, 'Y': 0.7891788482666016, 'Z': -0.03777303174138069}, {'X': 0.431347131729126, 'Y': 0.6929889917373657, 'Z': -0.05993899330496788}, {'X': 0.40399226546287537, 'Y': 0.6222859025001526, 'Z': -0.07497961074113846}, {'X': 0.5350145101547241, 'Y': 0.6115642189979553, 'Z': 0.017436865717172623}, {'X': 0.5174342393875122, 'Y': 0.482738196849823, 'Z': 0.005693251267075539}, {'X': 0.508820116519928, 'Y': 0.408774197101593, 'Z': -0.003956563305109739}, {'X': 0.5044559836387634, 'Y': 0.34866195917129517, 'Z': -0.00974549725651741}, {'X': 0.5884536504745483, 'Y': 0.5966665148735046, 'Z': 0.0035584433935582638}, {'X': 0.5676931738853455, 'Y': 0.4521966278553009, 'Z': 0.0019329895731061697}, {'X': 0.5543184876441956, 'Y': 0.37055468559265137, 'Z': -0.013675522059202194}, {'X': 0.5471493005752563, 'Y': 0.3017938435077667, 'Z': -0.020728355273604393}, {'X': 0.6413450241088867, 'Y': 0.6095654964447021, 'Z': -0.017129948362708092}, {'X': 0.6357707977294922, 'Y': 0.4753510355949402, 'Z': -0.02729702554643154}, {'X': 0.6302651166915894, 'Y': 0.3937138319015503, 'Z': -0.04414284974336624}, {'X': 0.6244432926177979, 'Y': 0.3254527449607849, 'Z': -0.05689924955368042}, {'X': 0.6963321566581726, 'Y': 0.6478260159492493, 'Z': -0.04181573539972305}, {'X': 0.6997249722480774, 'Y': 0.5369248390197754, 'Z': -0.06364654749631882}, {'X': 0.6985518932342529, 'Y': 0.4697751998901367, 'Z': -0.08462932705879211}, {'X': 0.6924482583999634, 'Y': 0.4061087965965271, 'Z': -0.09687884896993637}]
[{'X': 0.6330918073654175, 'Y': 0.9122300148010254, 'Z': -0.00016695199883542955}, {'X': 0.5384218096733093, 'Y': 0.8897141218185425, 'Z': -0.027293242514133453}, {'X': 0.47057491540908813, 'Y': 0.7863026261329651, 'Z': -0.04056451469659805}, {'X': 0.43206533789634705, 'Y': 0.6915771961212158, 'Z': -0.06322059780359268}, {'X': 0.40332162380218506, 'Y': 0.6240143775939941, 'Z': -0.07706791162490845}, {'X': 0.5353183746337891, 'Y': 0.6109352707862854, 'Z': 0.008529452607035637}, {'X': 0.5172374844551086, 'Y': 0.48345744609832764, 'Z': -0.0053194062784314156}, {'X': 0.5081577301025391, 'Y': 0.41078510880470276, 'Z': -0.014520552009344101}, {'X': 0.5030691027641296, 'Y': 0.3519905209541321, 'Z': -0.0198508407920599}, {'X': 0.5881420373916626, 'Y': 0.5958207845687866, 'Z': -0.005214654840528965}, {'X': 0.5673444271087646, 'Y': 0.4505746364593506, 'Z': -0.009667744860053062}, {'X': 0.5537087917327881, 'Y': 0.37001243233680725, 'Z': -0.026228781789541245}, {'X': 0.5459598302841187, 'Y': 0.3016931116580963, 'Z': -0.033775415271520615}, {'X': 0.640265941619873, 'Y': 0.6083997488021851, 'Z': -0.02497176080942154}, {'X': 0.6346861124038696, 'Y': 0.4727087616920471, 'Z': -0.03774706646800041}, {'X': 0.6289359331130981, 'Y': 0.3909393548965454, 'Z': -0.05379130691289902}, {'X': 0.6228199005126953, 'Y': 0.32143041491508484, 'Z': -0.06596679240465164}, {'X': 0.6938541531562805, 'Y': 0.6461416482925415, 'Z': -0.048268385231494904}, {'X': 0.6982607245445251, 'Y': 0.5362703204154968, 'Z': -0.0710170567035675}, {'X': 0.6971954107284546, 'Y': 0.47096824645996094, 'Z': -0.09132520109415054}, {'X': 0.691288948059082, 'Y': 0.4082120656967163, 'Z': -0.10182271152734756}]
[{'X': 0.6358197927474976, 'Y': 0.9130498766899109, 'Z': -0.00015125157369766384}, {'X': 0.541036069393158, 'Y': 0.8914116621017456, 'Z': -0.028506813570857048}, {'X': 0.47094428539276123, 'Y': 0.787388265132904, 'Z': -0.040889233350753784}, {'X': 0.4313165545463562, 'Y': 0.6914877891540527, 'Z': -0.06290384382009506}, {'X': 0.40373462438583374, 'Y': 0.6227856874465942, 'Z': -0.0760369673371315}, {'X': 0.5353429913520813, 'Y': 0.6095395684242249, 'Z': 0.014383322559297085}, {'X': 0.5165581107139587, 'Y': 0.48152318596839905, 'Z': 0.005103301722556353}, {'X': 0.5073864459991455, 'Y': 0.4095674157142639, 'Z': -0.0016086528776213527}, {'X': 0.502680778503418, 'Y': 0.35171371698379517, 'Z': -0.0059577710926532745}, {'X': 0.587648868560791, 'Y': 0.5939947962760925, 'Z': 0.0020557872485369444}, {'X': 0.566412627696991, 'Y': 0.44991177320480347, 'Z': 0.003217086661607027}, {'X': 0.5515442490577698, 'Y': 0.37163013219833374, 'Z': -0.010542252101004124}, {'X': 0.5436940789222717, 'Y': 0.30580660700798035, 'Z': -0.016683928668498993}, {'X': 0.6391496658325195, 'Y': 0.6063542366027832, 'Z': -0.016492264345288277}, {'X': 0.6330258250236511, 'Y': 0.4723292291164398, 'Z': -0.02508801780641079}, {'X': 0.6259243488311768, 'Y': 0.3914371132850647, 'Z': -0.03926840424537659}, {'X': 0.6194391250610352, 'Y': 0.3222872316837311, 'Z': -0.051372699439525604}, {'X': 0.6922860145568848, 'Y': 0.6444783210754395, 'Z': -0.03909784555435181}, {'X': 0.697146475315094, 'Y': 0.5363889336585999, 'Z': -0.05810527876019478}, {'X': 0.6959618330001831, 'Y': 0.47143203020095825, 'Z': -0.07711612433195114}, {'X': 0.6904664039611816, 'Y': 0.4083961844444275, 'Z': -0.08746001869440079}]
[{'X': 0.6334939002990723, 'Y': 0.9102119207382202, 'Z': -0.00016517919721081853}, {'X': 0.5399027466773987, 'Y': 0.8903772830963135, 'Z': -0.029007581993937492}, {'X': 0.47119709849357605, 'Y': 0.7874249815940857, 'Z': -0.04252960905432701}, {'X': 0.43217355012893677, 'Y': 0.691945493221283, 'Z': -0.06512032449245453}, {'X': 0.40461623668670654, 'Y': 0.6228558421134949, 'Z': -0.07993527501821518}, {'X': 0.5358059406280518, 'Y': 0.6116963028907776, 'Z': 0.009429454803466797}, {'X': 0.515956699848175, 'Y': 0.48151329159736633, 'Z': -0.0009195468155667186}, {'X': 0.5075088143348694, 'Y': 0.40872031450271606, 'Z': -0.008457493968307972}, {'X': 0.5036322474479675, 'Y': 0.35002753138542175, 'Z': -0.01383381150662899}, {'X': 0.5873463749885559, 'Y': 0.5966026782989502, 'Z': -0.0033413341734558344}, {'X': 0.5639966726303101, 'Y': 0.4506133198738098, 'Z': -0.00482822023332119}, {'X': 0.550830066204071, 'Y': 0.3704685568809509, 'Z': -0.019797641783952713}, {'X': 0.545127272605896, 'Y': 0.30288222432136536, 'Z': -0.0276289414614439}, {'X': 0.6392518281936646, 'Y': 0.6090759038925171, 'Z': -0.022182095795869827}, {'X': 0.6307432651519775, 'Y': 0.47522616386413574, 'Z': -0.03128020092844963}, {'X': 0.6243460178375244, 'Y': 0.39303767681121826, 'Z': -0.04618307575583458}, {'X': 0.6185839176177979, 'Y': 0.3229488432407379, 'Z': -0.058423448354005814}, {'X': 0.694119930267334, 'Y': 0.6472813487052917, 'Z': -0.04545719921588898}, {'X': 0.6958006024360657, 'Y': 0.5389288663864136, 'Z': -0.06592467427253723}, {'X': 0.6935133337974548, 'Y': 0.4738677442073822, 'Z': -0.0850842073559761}, {'X': 0.686855673789978, 'Y': 0.41184377670288086, 'Z': -0.09625644981861115}]
[{'X': 0.6343176364898682, 'Y': 0.9199298620223999, 'Z': -0.00017039073281921446}, {'X': 0.5383870601654053, 'Y': 0.8949542045593262, 'Z': -0.021534357219934464}, {'X': 0.47019505500793457, 'Y': 0.7892071008682251, 'Z': -0.030874069780111313}, {'X': 0.43205466866493225, 'Y': 0.6926344037055969, 'Z': -0.051341667771339417}, {'X': 0.40362614393234253, 'Y': 0.6230729818344116, 'Z': -0.06306437402963638}, {'X': 0.5366187691688538, 'Y': 0.6135791540145874, 'Z': 0.020119665190577507}, {'X': 0.5174992680549622, 'Y': 0.48511651158332825, 'Z': 0.01311251986771822}, {'X': 0.5081225037574768, 'Y': 0.4124983847141266, 'Z': 0.007162429857999086}, {'X': 0.5031470656394958, 'Y': 0.3530018925666809, 'Z': 0.0024372427724301815}, {'X': 0.5894211530685425, 'Y': 0.598581075668335, 'Z': 0.004854826722294092}, {'X': 0.5672088861465454, 'Y': 0.4533962607383728, 'Z': 0.006031966768205166}, {'X': 0.5529913306236267, 'Y': 0.37420374155044556, 'Z': -0.006592819467186928}, {'X': 0.545496940612793, 'Y': 0.30686816573143005, 'Z': -0.011958388611674309}, {'X': 0.6417050957679749, 'Y': 0.6103427410125732, 'Z': -0.01627940870821476}, {'X': 0.6332950592041016, 'Y': 0.47529739141464233, 'Z': -0.023434022441506386}, {'X': 0.6259436011314392, 'Y': 0.39340072870254517, 'Z': -0.03579624742269516}, {'X': 0.6186259984970093, 'Y': 0.3232429623603821, 'Z': -0.04588620364665985}, {'X': 0.6963955163955688, 'Y': 0.6480276584625244, 'Z': -0.040785931050777435}, {'X': 0.697585940361023, 'Y': 0.5362164974212646, 'Z': -0.058841999620199203}, {'X': 0.6958975791931152, 'Y': 0.46961498260498047, 'Z': -0.07699991017580032}, {'X': 0.6897292733192444, 'Y': 0.40553683042526245, 'Z': -0.0868145227432251}]
[{'X': 0.6344404220581055, 'Y': 0.9115819931030273, 'Z': -0.00015869870549067855}, {'X': 0.5400297045707703, 'Y': 0.8931722640991211, 'Z': -0.030701637268066406}, {'X': 0.4715172350406647, 'Y': 0.790656566619873, 'Z': -0.0467342883348465}, {'X': 0.43264710903167725, 'Y': 0.6946110725402832, 'Z': -0.07167170941829681}, {'X': 0.40352797508239746, 'Y': 0.6240266561508179, 'Z': -0.08867696672677994}, {'X': 0.5360758900642395, 'Y': 0.6140326261520386, 'Z': 0.005250534974038601}, {'X': 0.5156115293502808, 'Y': 0.4845168888568878, 'Z': -0.005668003112077713}, {'X': 0.5065206289291382, 'Y': 0.4118366539478302, 'Z': -0.013344040140509605}, {'X': 0.5020086765289307, 'Y': 0.3531721830368042, 'Z': -0.018980704247951508}, {'X': 0.5880439281463623, 'Y': 0.5983924865722656, 'Z': -0.007163916248828173}, {'X': 0.5644596815109253, 'Y': 0.4517073631286621, 'Z': -0.010053377598524094}, {'X': 0.551483690738678, 'Y': 0.3706408441066742, 'Z': -0.023833073675632477}, {'X': 0.5460214614868164, 'Y': 0.30221402645111084, 'Z': -0.03057089075446129}, {'X': 0.6401073932647705, 'Y': 0.6104697585105896, 'Z': -0.02604176290333271}, {'X': 0.6311222314834595, 'Y': 0.47619569301605225, 'Z': -0.035820454359054565}, {'X': 0.6243910193443298, 'Y': 0.39395347237586975, 'Z': -0.050011005252599716}, {'X': 0.618274986743927, 'Y': 0.3245101869106293, 'Z': -0.06189043074846268}, {'X': 0.6947939395904541, 'Y': 0.6482526659965515, 'Z': -0.04932743310928345}, {'X': 0.6949664354324341, 'Y': 0.5398295521736145, 'Z': -0.07064682245254517}, {'X': 0.692180871963501, 'Y': 0.4749344289302826, 'Z': -0.09095718711614609}, {'X': 0.6852434277534485, 'Y': 0.41345661878585815, 'Z': -0.10315053164958954}]
[{'X': 0.6328589916229248, 'Y': 0.9141367673873901, 'Z': -0.00015940690354909748}, {'X': 0.5374024510383606, 'Y': 0.893033504486084, 'Z': -0.027908824384212494}, {'X': 0.46936553716659546, 'Y': 0.7873753905296326, 'Z': -0.04052579402923584}, {'X': 0.4312930703163147, 'Y': 0.6910689473152161, 'Z': -0.06265100836753845}, {'X': 0.40375274419784546, 'Y': 0.6212866902351379, 'Z': -0.07706091552972794}, {'X': 0.5364810228347778, 'Y': 0.6122633814811707, 'Z': 0.00841599702835083}, {'X': 0.5157228708267212, 'Y': 0.48354893922805786, 'Z': -0.000763083400670439}, {'X': 0.5060737729072571, 'Y': 0.41077733039855957, 'Z': -0.008560994639992714}, {'X': 0.5007781386375427, 'Y': 0.3514374792575836, 'Z': -0.015258220955729485}, {'X': 0.5894302725791931, 'Y': 0.5977826118469238, 'Z': -0.0043525006622076035}, {'X': 0.5662743449211121, 'Y': 0.4515252113342285, 'Z': -0.007022891193628311}, {'X': 0.5531161427497864, 'Y': 0.3708111047744751, 'Z': -0.021779736503958702}, {'X': 0.5472527742385864, 'Y': 0.30283406376838684, 'Z': -0.029241032898426056}, {'X': 0.6414005160331726, 'Y': 0.6103611588478088, 'Z': -0.02286374568939209}, {'X': 0.6331510543823242, 'Y': 0.47682875394821167, 'Z': -0.031516045331954956}, {'X': 0.6263261437416077, 'Y': 0.39579683542251587, 'Z': -0.046142566949129105}, {'X': 0.6201393008232117, 'Y': 0.32699766755104065, 'Z': -0.05822061747312546}, {'X': 0.6951013803482056, 'Y': 0.6483395099639893, 'Z': -0.04533331096172333}, {'X': 0.6943070888519287, 'Y': 0.5411155819892883, 'Z': -0.065166175365448}, {'X': 0.6907775402069092, 'Y': 0.4766101837158203, 'Z': -0.08470651507377625}, {'X': 0.6832104921340942, 'Y': 0.41424697637557983, 'Z': -0.09684193134307861}]
