[{'X': 0.7900854349136353, 'Y': 0.6937459111213684, 'Z': -7.503633241867647e-05}, {'X': 0.7332172989845276, 'Y': 0.6683565378189087, 'Z': -0.024864647537469864}, {'X': 0.6985549330711365, 'Y': 0.577022135257721, 'Z': -0.0320516899228096}, {'X': 0.6849715709686279, 'Y': 0.49066615104675293, 'Z': -0.04142994433641434}, {'X': 0.660953164100647, 'Y': 0.4289649426937103, 'Z': -0.054383326321840286}, {'X': 0.7289803624153137, 'Y': 0.46685224771499634, 'Z': 0.0005543199367821217}, {'X': 0.7177439332008362, 'Y': 0.3627374470233917, 'Z': -0.016352389007806778}, {'X': 0.71430903673172, 'Y': 0.2966344356536865, 'Z': -0.03543800488114357}, {'X': 0.7144959568977356, 'Y': 0.23626808822155, 'Z': -0.04948526993393898}, {'X': 0.7670401334762573, 'Y': 0.45749080181121826, 'Z': -0.0022725516464561224}, {'X': 0.7688953280448914, 'Y': 0.33685243129730225, 'Z': -0.010001592338085175}, {'X': 0.772310197353363, 'Y': 0.2559782862663269, 'Z': -0.034517694264650345}, {'X': 0.7792820334434509, 'Y': 0.19147911667823792, 'Z': -0.055596642196178436}, {'X': 0.8037281632423401, 'Y': 0.4687066376209259, 'Z': -0.009961608797311783}, {'X': 0.8073292970657349, 'Y': 0.35532620549201965, 'Z': -0.016903692856431007}, {'X': 0.807186484336853, 'Y': 0.2810581922531128, 'Z': -0.03955240547657013}, {'X': 0.8098902702331543, 'Y': 0.2184877097606659, 'Z': -0.05829316005110741}, {'X': 0.8404801487922668, 'Y': 0.4954356253147125, 'Z': -0.020788606256246567}, {'X': 0.8411015272140503, 'Y': 0.4063423275947571, 'Z': -0.03459768369793892}, {'X': 0.8371612429618835, 'Y': 0.3522333800792694, 'Z': -0.050351500511169434}, {'X': 0.8328502178192139, 'Y': 0.3027617037296295, 'Z': -0.06345774978399277}]
[{'X': 0.7905328869819641, 'Y': 0.6939382553100586, 'Z': -5.305820741341449e-05}, {'X': 0.7366536259651184, 'Y': 0.6669055819511414, 'Z': -0.023657171055674553}, {'X': 0.7009401321411133, 'Y': 0.5732256770133972, 'Z': -0.028488654643297195}, {'X': 0.6851602792739868, 'Y': 0.4846123158931732, 'Z': -0.036104053258895874}, {'X': 0.6603432893753052, 'Y': 0.4235092103481293, 'Z': -0.045913394540548325}, {'X': 0.732414186000824, 'Y': 0.4606577157974243, 'Z': 0.006278841756284237}, {'X': 0.720429539680481, 'Y': 0.3599016070365906, 'Z': -0.005760062951594591}, {'X': 0.7174019813537598, 'Y': 0.296869158744812, 'Z': -0.02095510996878147}, {'X': 0.7177277207374573, 'Y': 0.23804953694343567, 'Z': -0.03333296999335289}, {'X': 0.7703326344490051, 'Y': 0.44981738924980164, 'Z': 0.0037573266308754683}, {'X': 0.771809458732605, 'Y': 0.33204901218414307, 'Z': -0.0004055598401464522}, {'X': 0.7743933200836182, 'Y': 0.2533199191093445, 'Z': -0.0244794562458992}, {'X': 0.7800532579421997, 'Y': 0.187259703874588, 'Z': -0.04630403593182564}, {'X': 0.8071935176849365, 'Y': 0.4609196186065674, 'Z': -0.003681177506223321}, {'X': 0.8101373910903931, 'Y': 0.35025572776794434, 'Z': -0.008554722182452679}, {'X': 0.8106653690338135, 'Y': 0.2750210762023926, 'Z': -0.03181887045502663}, {'X': 0.8131743669509888, 'Y': 0.20951241254806519, 'Z': -0.05173033848404884}, {'X': 0.8438048362731934, 'Y': 0.4894428849220276, 'Z': -0.013351389206945896}, {'X': 0.8429259061813354, 'Y': 0.4010366201400757, 'Z': -0.026766270399093628}, {'X': 0.8386327624320984, 'Y': 0.34528395533561707, 'Z': -0.04356973245739937}, {'X': 0.8325216770172119, 'Y': 0.2941029965877533, 'Z': -0.05738955736160278}]
[{'X': 0.7937483191490173, 'Y': 0.6986915469169617, 'Z': -6.330697215162218e-05}, {'X': 0.7362470626831055, 'Y': 0.6720138192176819, 'Z': -0.024160705506801605}, {'X': 0.7003679871559143, 'Y': 0.5777440667152405, 'Z': -0.031460240483284}, {'X': 0.6866458058357239, 'Y': 0.48697197437286377, 'Z': -0.041772425174713135}, {'X': 0.6638001203536987, 'Y': 0.426974356174469, 'Z': -0.054175522178411484}, {'X': 0.729905903339386, 'Y': 0.45981794595718384, 'Z': 0.0038582999259233475}, {'X': 0.7182461619377136, 'Y': 0.35578301548957825, 'Z': -0.009008290246129036}, {'X': 0.7162209153175354, 'Y': 0.29143083095550537, 'Z': -0.0245034359395504}, {'X': 0.7172991037368774, 'Y': 0.23222233355045319, 'Z': -0.03570683300495148}, {'X': 0.7682321071624756, 'Y': 0.448326051235199, 'Z': 0.0015180711634457111}, {'X': 0.7696341872215271, 'Y': 0.3278734087944031, 'Z': -0.0039248988032341}, {'X': 0.7748242020606995, 'Y': 0.25103896856307983, 'Z': -0.026091299951076508}, {'X': 0.7834805250167847, 'Y': 0.18821313977241516, 'Z': -0.04563339054584503}, {'X': 0.8050822615623474, 'Y': 0.4606250524520874, 'Z': -0.005687487777322531}, {'X': 0.8083338141441345, 'Y': 0.347339391708374, 'Z': -0.010706684552133083}, {'X': 0.8098176717758179, 'Y': 0.2733544111251831, 'Z': -0.031505830585956573}, {'X': 0.8135366439819336, 'Y': 0.2102358639240265, 'Z': -0.05127858743071556}, {'X': 0.8421332836151123, 'Y': 0.48922428488731384, 'Z': -0.015813073143363}, {'X': 0.8424552083015442, 'Y': 0.39986228942871094, 'Z': -0.02762099727988243}, {'X': 0.8401585221290588, 'Y': 0.34608909487724304, 'Z': -0.04383334144949913}, {'X': 0.837488055229187, 'Y': 0.2970632314682007, 'Z': -0.05853202939033508}]
[{'X': 0.7928168773651123, 'Y': 0.6977097392082214, 'Z': -7.650464976904914e-05}, {'X': 0.7353918552398682, 'Y': 0.6701576709747314, 'Z': -0.022665832191705704}, {'X': 0.7014283537864685, 'Y': 0.5792062878608704, 'Z': -0.028823211789131165}, {'X': 0.6885499954223633, 'Y': 0.49149608612060547, 'Z': -0.03705159202218056}, {'X': 0.665907621383667, 'Y': 0.4317418038845062, 'Z': -0.04824179410934448}, {'X': 0.7254227995872498, 'Y': 0.4763176143169403, 'Z': 0.0026376317255198956}, {'X': 0.7125253677368164, 'Y': 0.38437801599502563, 'Z': -0.011112846434116364}, {'X': 0.7098120450973511, 'Y': 0.3275597095489502, 'Z': -0.027857450768351555}, {'X': 0.7099950909614563, 'Y': 0.27462953329086304, 'Z': -0.03843909502029419}, {'X': 0.763512134552002, 'Y': 0.4610767960548401, 'Z': -5.6947915254568215e-06}, {'X': 0.7642348408699036, 'Y': 0.3464319109916687, 'Z': -0.004803897347301245}, {'X': 0.7680116295814514, 'Y': 0.2696693241596222, 'Z': -0.028252089396119118}, {'X': 0.7746912837028503, 'Y': 0.2048683762550354, 'Z': -0.04861762002110481}, {'X': 0.800626814365387, 'Y': 0.47047221660614014, 'Z': -0.007198808714747429}, {'X': 0.8041566610336304, 'Y': 0.3613329827785492, 'Z': -0.011614125221967697}, {'X': 0.8050968050956726, 'Y': 0.2882141172885895, 'Z': -0.03473401069641113}, {'X': 0.8084213733673096, 'Y': 0.22343623638153076, 'Z': -0.05552348122000694}, {'X': 0.8386345505714417, 'Y': 0.4957197308540344, 'Z': -0.017489466816186905}, {'X': 0.839988112449646, 'Y': 0.4088154435157776, 'Z': -0.029874496161937714}, {'X': 0.8365609645843506, 'Y': 0.3565612733364105, 'Z': -0.04682978242635727}, {'X': 0.8330448865890503, 'Y': 0.3077557384967804, 'Z': -0.06067737191915512}]
[{'X': 0.7890008091926575, 'Y': 0.6813740730285645, 'Z': -6.0668375226669014e-05}, {'X': 0.7311553955078125, 'Y': 0.6522581577301025, 'Z': -0.015606020577251911}, {'X': 0.6985230445861816, 'Y': 0.5616478323936462, 'Z': -0.019833290949463844}, {'X': 0.6824277639389038, 'Y': 0.48479580879211426, 'Z': -0.029833326116204262}, {'X': 0.6614000201225281, 'Y': 0.42798978090286255, 'Z': -0.041668035089969635}, {'X': 0.7283694744110107, 'Y': 0.4635973274707794, 'Z': 0.03262186422944069}, {'X': 0.7182824015617371, 'Y': 0.38302284479141235, 'Z': 0.009722400456666946}, {'X': 0.7131788730621338, 'Y': 0.3690457046031952, 'Z': -0.026639221236109734}, {'X': 0.7131555676460266, 'Y': 0.3785909116268158, 'Z': -0.05203976109623909}, {'X': 0.7630333304405212, 'Y': 0.44996413588523865, 'Z': 0.02711331658065319}, {'X': 0.7631043195724487, 'Y': 0.3502263128757477, 'Z': 0.024858398362994194}, {'X': 0.761306881904602, 'Y': 0.3011632561683655, 'Z': 0.0033532995730638504}, {'X': 0.7615564465522766, 'Y': 0.2695869505405426, 'Z': -0.016385560855269432}, {'X': 0.7977493405342102, 'Y': 0.45744243264198303, 'Z': 0.011744200251996517}, {'X': 0.8006438612937927, 'Y': 0.35389935970306396, 'Z': 0.011739457957446575}, {'X': 0.8012797832489014, 'Y': 0.29202353954315186, 'Z': -0.004662449471652508}, {'X': 0.8024824857711792, 'Y': 0.23840881884098053, 'Z': -0.02235884964466095}, {'X': 0.8330705761909485, 'Y': 0.4828130006790161, 'Z': -0.005356765817850828}, {'X': 0.8357948064804077, 'Y': 0.39914581179618835, 'Z': -0.00772777060046792}, {'X': 0.8338750004768372, 'Y': 0.3494557738304138, 'Z': -0.016199806705117226}, {'X': 0.830725371837616, 'Y': 0.29724693298339844, 'Z': -0.02386854961514473}]
[{'X': 0.7818191647529602, 'Y': 0.6945320963859558, 'Z': -6.198541541380109e-06}, {'X': 0.7262575626373291, 'Y': 0.6584290266036987, 'Z': -0.01464515645056963}, {'X': 0.6948908567428589, 'Y': 0.5673330426216125, 'Z': -0.012467986904084682}, {'X': 0.6779212355613708, 'Y': 0.4895411729812622, 'Z': -0.014407389797270298}, {'X': 0.6587968468666077, 'Y': 0.4278028607368469, 'Z': -0.016641627997159958}, {'X': 0.7313185930252075, 'Y': 0.4578900933265686, 'Z': 0.04353030398488045}, {'X': 0.7245529890060425, 'Y': 0.38030192255973816, 'Z': 0.026600979268550873}, {'X': 0.719880998134613, 'Y': 0.36395108699798584, 'Z': -0.008387471549212933}, {'X': 0.7218247652053833, 'Y': 0.36844295263290405, 'Z': -0.03418002277612686}, {'X': 0.7664521336555481, 'Y': 0.44705116748809814, 'Z': 0.040296927094459534}, {'X': 0.7678437232971191, 'Y': 0.3582342565059662, 'Z': 0.04116909205913544}, {'X': 0.762022078037262, 'Y': 0.3109551668167114, 'Z': 0.014840786345303059}, {'X': 0.759423553943634, 'Y': 0.2821769118309021, 'Z': -0.005673776380717754}, {'X': 0.8008036613464355, 'Y': 0.45152440667152405, 'Z': 0.028719395399093628}, {'X': 0.8058910965919495, 'Y': 0.3574821949005127, 'Z': 0.027005914598703384}, {'X': 0.8040745854377747, 'Y': 0.2979534864425659, 'Z': 0.005398211069405079}, {'X': 0.8027104139328003, 'Y': 0.24985463917255402, 'Z': -0.010918818414211273}, {'X': 0.8346714973449707, 'Y': 0.4757787883281708, 'Z': 0.015180989168584347}, {'X': 0.8368057608604431, 'Y': 0.39789116382598877, 'Z': 0.011387797072529793}, {'X': 0.8330638408660889, 'Y': 0.3457908034324646, 'Z': 0.0008019655360840261}, {'X': 0.8259109854698181, 'Y': 0.29606106877326965, 'Z': -0.008285815827548504}]
[{'X': 0.7787870168685913, 'Y': 0.6888623237609863, 'Z': -2.8031225156155415e-05}, {'X': 0.7235903739929199, 'Y': 0.655012845993042, 'Z': -0.005808818619698286}, {'X': 0.6936630010604858, 'Y': 0.5652633905410767, 'Z': -0.0018138671293854713}, {'X': 0.6768102049827576, 'Y': 0.489289790391922, 'Z': -0.005388185381889343}, {'X': 0.656269371509552, 'Y': 0.4305388033390045, 'Z': -0.0077938782051205635}, {'X': 0.7300978302955627, 'Y': 0.46471187472343445, 'Z': 0.05126721411943436}, {'X': 0.7241533398628235, 'Y': 0.3791445791721344, 'Z': 0.0320255272090435}, {'X': 0.7192465662956238, 'Y': 0.3725288510322571, 'Z': -0.00622278219088912}, {'X': 0.7209749817848206, 'Y': 0.38950207829475403, 'Z': -0.0340191088616848}, {'X': 0.7618124485015869, 'Y': 0.45258453488349915, 'Z': 0.04182501509785652}, {'X': 0.762627363204956, 'Y': 0.354042112827301, 'Z': 0.03698812797665596}, {'X': 0.7570425868034363, 'Y': 0.31795111298561096, 'Z': 0.0050063407979905605}, {'X': 0.7545474171638489, 'Y': 0.31009551882743835, 'Z': -0.020240426063537598}, {'X': 0.7934956550598145, 'Y': 0.4576214551925659, 'Z': 0.02519662119448185}, {'X': 0.8001347184181213, 'Y': 0.35756945610046387, 'Z': 0.022353120148181915}, {'X': 0.8002816438674927, 'Y': 0.3005029261112213, 'Z': -0.0018178416648879647}, {'X': 0.8007116913795471, 'Y': 0.2598618268966675, 'Z': -0.0215176809579134}, {'X': 0.825968325138092, 'Y': 0.4812675416469574, 'Z': 0.007090897765010595}, {'X': 0.8294809460639954, 'Y': 0.4002801477909088, 'Z': 0.005707152187824249}, {'X': 0.8276784420013428, 'Y': 0.34922000765800476, 'Z': -0.003618814516812563}, {'X': 0.8224592208862305, 'Y': 0.2993035614490509, 'Z': -0.012879922054708004}]
[{'X': 0.7808230519294739, 'Y': 0.7058110237121582, 'Z': -2.8312806534813717e-05}, {'X': 0.7278057932853699, 'Y': 0.6665134429931641, 'Z': -0.011534136720001698}, {'X': 0.6949900388717651, 'Y': 0.5740076303482056, 'Z': -0.01074148342013359}, {'X': 0.6746881604194641, 'Y': 0.4949835538864136, 'Z': -0.015978233888745308}, {'X': 0.6527674794197083, 'Y': 0.4338400959968567, 'Z': -0.01809840276837349}, {'X': 0.729153037071228, 'Y': 0.46744459867477417, 'Z': 0.04383428022265434}, {'X': 0.7222044467926025, 'Y': 0.3798898458480835, 'Z': 0.024378133937716484}, {'X': 0.7196680307388306, 'Y': 0.36904001235961914, 'Z': -0.016101770102977753}, {'X': 0.7231988906860352, 'Y': 0.38305720686912537, 'Z': -0.047246187925338745}, {'X': 0.762134850025177, 'Y': 0.45470210909843445, 'Z': 0.03660985454916954}, {'X': 0.7628079056739807, 'Y': 0.3519522249698639, 'Z': 0.028272166848182678}, {'X': 0.759306013584137, 'Y': 0.31852179765701294, 'Z': -0.007867427542805672}, {'X': 0.757594645023346, 'Y': 0.3190738558769226, 'Z': -0.03724511340260506}, {'X': 0.793324887752533, 'Y': 0.45862460136413574, 'Z': 0.022217318415641785}, {'X': 0.7992221117019653, 'Y': 0.3594413995742798, 'Z': 0.016612647101283073}, {'X': 0.7981094717979431, 'Y': 0.30784329771995544, 'Z': -0.008712118491530418}, {'X': 0.7967254519462585, 'Y': 0.28006476163864136, 'Z': -0.028926096856594086}, {'X': 0.824591875076294, 'Y': 0.47977930307388306, 'Z': 0.006613780278712511}, {'X': 0.8284595012664795, 'Y': 0.39837774634361267, 'Z': 0.0018629399128258228}, {'X': 0.8270138502120972, 'Y': 0.34553638100624084, 'Z': -0.009677973575890064}, {'X': 0.8208200931549072, 'Y': 0.29867103695869446, 'Z': -0.020154200494289398}]
[{'X': 0.782467782497406, 'Y': 0.7075051069259644, 'Z': -4.760658703162335e-05}, {'X': 0.73014235496521, 'Y': 0.670566737651825, 'Z': -0.013619518838822842}, {'X': 0.6936335563659668, 'Y': 0.5732517242431641, 'Z': -0.012733938172459602}, {'X': 0.6730635166168213, 'Y': 0.489302396774292, 'Z': -0.017044518142938614}, {'X': 0.6546881198883057, 'Y': 0.4267454743385315, 'Z': -0.017854437232017517}, {'X': 0.7302536964416504, 'Y': 0.45855748653411865, 'Z': 0.03493078425526619}, {'X': 0.7209646105766296, 'Y': 0.36614447832107544, 'Z': 0.01714504323899746}, {'X': 0.7149827480316162, 'Y': 0.3656596839427948, 'Z': -0.022585852071642876}, {'X': 0.7139495015144348, 'Y': 0.3875511884689331, 'Z': -0.05371025204658508}, {'X': 0.7622672319412231, 'Y': 0.44382503628730774, 'Z': 0.0262902919203043}, {'X': 0.7608819007873535, 'Y': 0.337911456823349, 'Z': 0.016689429059624672}, {'X': 0.7517216801643372, 'Y': 0.3217282295227051, 'Z': -0.022833677008748055}, {'X': 0.7449657320976257, 'Y': 0.3412990868091583, 'Z': -0.0543585941195488}, {'X': 0.7921039462089539, 'Y': 0.44697117805480957, 'Z': 0.011516275815665722}, {'X': 0.7976162433624268, 'Y': 0.34837740659713745, 'Z': 0.0017479355446994305}, {'X': 0.7928470969200134, 'Y': 0.3112163543701172, 'Z': -0.029261576011776924}, {'X': 0.7868988513946533, 'Y': 0.3001779317855835, 'Z': -0.05276847258210182}, {'X': 0.8220997452735901, 'Y': 0.4668516516685486, 'Z': -0.003858138807117939}, {'X': 0.827030599117279, 'Y': 0.3854985535144806, 'Z': -0.0068785143084824085}, {'X': 0.8235260844230652, 'Y': 0.3360719680786133, 'Z': -0.01899120956659317}, {'X': 0.8126664161682129, 'Y': 0.2949109673500061, 'Z': -0.030782947316765785}]
[{'X': 0.7787273526191711, 'Y': 0.7043598890304565, 'Z': -3.677163113025017e-05}, {'X': 0.724916398525238, 'Y': 0.6680988669395447, 'Z': -0.007899666205048561}, {'X': 0.6910269260406494, 'Y': 0.5769460201263428, 'Z': 0.001293050590902567}, {'X': 0.6718021631240845, 'Y': 0.5006373524665833, 'Z': 0.0051252469420433044}, {'X': 0.6542497873306274, 'Y': 0.4436133801937103, 'Z': 0.012801905162632465}, {'X': 0.7257468104362488, 'Y': 0.4736001789569855, 'Z': 0.051657117903232574}, {'X': 0.7151300311088562, 'Y': 0.3831939995288849, 'Z': 0.03137921169400215}, {'X': 0.7084043622016907, 'Y': 0.390581876039505, 'Z': -0.009473439306020737}, {'X': 0.7086449861526489, 'Y': 0.42198890447616577, 'Z': -0.037550535053014755}, {'X': 0.754859983921051, 'Y': 0.45654991269111633, 'Z': 0.04288583621382713}, {'X': 0.7480011582374573, 'Y': 0.34873080253601074, 'Z': 0.026171956211328506}, {'X': 0.737251877784729, 'Y': 0.34689825773239136, 'Z': -0.02023172192275524}, {'X': 0.734447717666626, 'Y': 0.3840407133102417, 'Z': -0.05250658839941025}, {'X': 0.7856308817863464, 'Y': 0.45595014095306396, 'Z': 0.0270969420671463}, {'X': 0.7842303514480591, 'Y': 0.34979337453842163, 'Z': 0.013459191657602787}, {'X': 0.7749782204627991, 'Y': 0.32912349700927734, 'Z': -0.022720234468579292}, {'X': 0.7698811888694763, 'Y': 0.3423306941986084, 'Z': -0.048217836767435074}, {'X': 0.8180207014083862, 'Y': 0.4734554588794708, 'Z': 0.011845501139760017}, {'X': 0.8187994956970215, 'Y': 0.3891434669494629, 'Z': 0.007668078411370516}, {'X': 0.8132850527763367, 'Y': 0.337559312582016, 'Z': -0.010042558424174786}, {'X': 0.8040307760238647, 'Y': 0.30281931161880493, 'Z': -0.026151491329073906}]
[{'X': 0.7754755616188049, 'Y': 0.6981205344200134, 'Z': -9.949167179001961e-06}, {'X': 0.7228289246559143, 'Y': 0.6613912582397461, 'Z': 0.005111010279506445}, {'X': 0.691872239112854, 'Y': 0.5724437236785889, 'Z': 0.019435327500104904}, {'X': 0.6728842854499817, 'Y': 0.5016930103302002, 'Z': 0.025156458839774132}, {'X': 0.653179943561554, 'Y': 0.4469122886657715, 'Z': 0.032066404819488525}, {'X': 0.7240345478057861, 'Y': 0.4783952534198761, 'Z': 0.06853970885276794}, {'X': 0.7122202515602112, 'Y': 0.4031173288822174, 'Z': 0.04275064915418625}, {'X': 0.7059320211410522, 'Y': 0.4257683753967285, 'Z': -0.0013637113152071834}, {'X': 0.7073358297348022, 'Y': 0.4652593433856964, 'Z': -0.027743805199861526}, {'X': 0.7511734366416931, 'Y': 0.46332433819770813, 'Z': 0.05361531674861908}, {'X': 0.745807409286499, 'Y': 0.36205941438674927, 'Z': 0.031706832349300385}, {'X': 0.7333048582077026, 'Y': 0.3657647371292114, 'Z': -0.015124154277145863}, {'X': 0.7296154499053955, 'Y': 0.40455570816993713, 'Z': -0.044864315539598465}, {'X': 0.7820042967796326, 'Y': 0.4631327986717224, 'Z': 0.03170246258378029}, {'X': 0.7807977795600891, 'Y': 0.3612084686756134, 'Z': 0.017901310697197914}, {'X': 0.7696660757064819, 'Y': 0.34071898460388184, 'Z': -0.013018527999520302}, {'X': 0.7643000483512878, 'Y': 0.3484058976173401, 'Z': -0.03343859314918518}, {'X': 0.814629077911377, 'Y': 0.4770127534866333, 'Z': 0.01061359141021967}, {'X': 0.8139501810073853, 'Y': 0.3966527581214905, 'Z': 0.0108562046661973}, {'X': 0.806530237197876, 'Y': 0.3466454744338989, 'Z': 0.0013001024490222335}, {'X': 0.7976124286651611, 'Y': 0.31113266944885254, 'Z': -0.008359703235328197}]
