[{'X': 0.6087056398391724, 'Y': 0.6666889786720276, 'Z': -0.00010293819650541991}, {'X': 0.530413806438446, 'Y': 0.6395262479782104, 'Z': -0.0017351432470604777}, {'X': 0.4758846163749695, 'Y': 0.5798930525779724, 'Z': 0.013291728682816029}, {'X': 0.4477875232696533, 'Y': 0.5134690403938293, 'Z': 0.02378593571484089}, {'X': 0.42951586842536926, 'Y': 0.47156286239624023, 'Z': 0.041453760117292404}, {'X': 0.5100081562995911, 'Y': 0.47531142830848694, 'Z': 0.0515386238694191}, {'X': 0.4823455512523651, 'Y': 0.3944706320762634, 'Z': 0.05863723158836365}, {'X': 0.46925047039985657, 'Y': 0.34398138523101807, 'Z': 0.05481569096446037}, {'X': 0.45813772082328796, 'Y': 0.3018946051597595, 'Z': 0.04595889896154404}, {'X': 0.550190806388855, 'Y': 0.4506520628929138, 'Z': 0.04341473430395126}, {'X': 0.5244884490966797, 'Y': 0.35224831104278564, 'Z': 0.05801323056221008}, {'X': 0.5091198682785034, 'Y': 0.2937797009944916, 'Z': 0.041695818305015564}, {'X': 0.4967394173145294, 'Y': 0.2481418401002884, 'Z': 0.024442244321107864}, {'X': 0.5904340744018555, 'Y': 0.44323617219924927, 'Z': 0.03138332813978195}, {'X': 0.5716259479522705, 'Y': 0.3483352065086365, 'Z': 0.03880283981561661}, {'X': 0.5611857175827026, 'Y': 0.28966009616851807, 'Z': 0.028986617922782898}, {'X': 0.5503736734390259, 'Y': 0.24184143543243408, 'Z': 0.017794514074921608}, {'X': 0.6334540247917175, 'Y': 0.4530216455459595, 'Z': 0.018007786944508553}, {'X': 0.6276935338973999, 'Y': 0.37067750096321106, 'Z': 0.015578294172883034}, {'X': 0.6214408874511719, 'Y': 0.32146942615509033, 'Z': 0.007040954660624266}, {'X': 0.612293004989624, 'Y': 0.2765820622444153, 'Z': 0.001463192980736494}]
[{'X': 0.6051021814346313, 'Y': 0.6578953266143799, 'Z': -0.00011678139708237723}, {'X': 0.5281775593757629, 'Y': 0.635741114616394, 'Z': -0.0017694045091047883}, {'X': 0.4730946719646454, 'Y': 0.5779838562011719, 'Z': 0.010859706439077854}, {'X': 0.44550591707229614, 'Y': 0.5121485590934753, 'Z': 0.020133884623646736}, {'X': 0.4313991069793701, 'Y': 0.4665968120098114, 'Z': 0.03765925019979477}, {'X': 0.5089679956436157, 'Y': 0.4755418300628662, 'Z': 0.042755432426929474}, {'X': 0.481539249420166, 'Y': 0.39499062299728394, 'Z': 0.046130746603012085}, {'X': 0.4687545895576477, 'Y': 0.34378156065940857, 'Z': 0.04083048924803734}, {'X': 0.45783084630966187, 'Y': 0.30226150155067444, 'Z': 0.03107110783457756}, {'X': 0.549294650554657, 'Y': 0.44993141293525696, 'Z': 0.033849772065877914}, {'X': 0.5230530500411987, 'Y': 0.35188978910446167, 'Z': 0.044241003692150116}, {'X': 0.5081806182861328, 'Y': 0.29243791103363037, 'Z': 0.026919076219201088}, {'X': 0.49558448791503906, 'Y': 0.2472749948501587, 'Z': 0.00861032772809267}, {'X': 0.5905480980873108, 'Y': 0.44177302718162537, 'Z': 0.021515926346182823}, {'X': 0.5718033909797668, 'Y': 0.34627482295036316, 'Z': 0.02644651010632515}, {'X': 0.5620641112327576, 'Y': 0.2880197763442993, 'Z': 0.015607195906341076}, {'X': 0.5510848164558411, 'Y': 0.2423059195280075, 'Z': 0.003441257169470191}, {'X': 0.6344538331031799, 'Y': 0.4509747326374054, 'Z': 0.008205397985875607}, {'X': 0.6274171471595764, 'Y': 0.36716821789741516, 'Z': 0.004358990583568811}, {'X': 0.620875358581543, 'Y': 0.31708741188049316, 'Z': -0.005205792840570211}, {'X': 0.6109046936035156, 'Y': 0.2730752229690552, 'Z': -0.01132629718631506}]
[{'X': 0.6051021814346313, 'Y': 0.6578953266143799, 'Z': -0.00011678139708237723}, {'X': 0.5281775593757629, 'Y': 0.635741114616394, 'Z': -0.0017694045091047883}, {'X': 0.4730946719646454, 'Y': 0.5779838562011719, 'Z': 0.010859706439077854}, {'X': 0.44550591707229614, 'Y': 0.5121485590934753, 'Z': 0.020133884623646736}, {'X': 0.4313991069793701, 'Y': 0.4665968120098114, 'Z': 0.03765925019979477}, {'X': 0.5089679956436157, 'Y': 0.4755418300628662, 'Z': 0.042755432426929474}, {'X': 0.481539249420166, 'Y': 0.39499062299728394, 'Z': 0.046130746603012085}, {'X': 0.4687545895576477, 'Y': 0.34378156065940857, 'Z': 0.04083048924803734}, {'X': 0.45783084630966187, 'Y': 0.30226150155067444, 'Z': 0.03107110783457756}, {'X': 0.549294650554657, 'Y': 0.44993141293525696, 'Z': 0.033849772065877914}, {'X': 0.5230530500411987, 'Y': 0.35188978910446167, 'Z': 0.044241003692150116}, {'X': 0.5081806182861328, 'Y': 0.29243791103363037, 'Z': 0.026919076219201088}, {'X': 0.49558448791503906, 'Y': 0.2472749948501587, 'Z': 0.00861032772809267}, {'X': 0.5905480980873108, 'Y': 0.44177302718162537, 'Z': 0.021515926346182823}, {'X': 0.5718033909797668, 'Y': 0.34627482295036316, 'Z': 0.02644651010632515}, {'X': 0.5620641112327576, 'Y': 0.2880197763442993, 'Z': 0.015607195906341076}, {'X': 0.5510848164558411, 'Y': 0.2423059195280075, 'Z': 0.003441257169470191}, {'X': 0.6344538331031799, 'Y': 0.4509747326374054, 'Z': 0.008205397985875607}, {'X': 0.6274171471595764, 'Y': 0.36716821789741516, 'Z': 0.004358990583568811}, {'X': 0.620875358581543, 'Y': 0.31708741188049316, 'Z': -0.005205792840570211}, {'X': 0.6109046936035156, 'Y': 0.2730752229690552, 'Z': -0.01132629718631506}]
[{'X': 0.6045417785644531, 'Y': 0.6614258885383606, 'Z': -0.00010181406832998618}, {'X': 0.5268455743789673, 'Y': 0.6374151110649109, 'Z': -0.0033137004356831312}, {'X': 0.47112491726875305, 'Y': 0.5780999660491943, 'Z': 0.010964170098304749}, {'X': 0.44342684745788574, 'Y': 0.5104711651802063, 'Z': 0.02171957492828369}, {'X': 0.4305887818336487, 'Y': 0.46451276540756226, 'Z': 0.040748223662376404}, {'X': 0.5087670683860779, 'Y': 0.4741550385951996, 'Z': 0.050250157713890076}, {'X': 0.48281049728393555, 'Y': 0.3924660384654999, 'Z': 0.05561735853552818}, {'X': 0.4708325266838074, 'Y': 0.34097161889076233, 'Z': 0.05035688355565071}, {'X': 0.4604009687900543, 'Y': 0.2987353801727295, 'Z': 0.041409194469451904}, {'X': 0.5493186116218567, 'Y': 0.4503486752510071, 'Z': 0.041776176542043686}, {'X': 0.5249656438827515, 'Y': 0.3510185778141022, 'Z': 0.05505989119410515}, {'X': 0.5097950100898743, 'Y': 0.29220226407051086, 'Z': 0.03861083835363388}, {'X': 0.4972136318683624, 'Y': 0.2469024956226349, 'Z': 0.021107090637087822}, {'X': 0.5900713801383972, 'Y': 0.443263977766037, 'Z': 0.029086390510201454}, {'X': 0.5726199150085449, 'Y': 0.3468276858329773, 'Z': 0.035329487174749374}, {'X': 0.5625414252281189, 'Y': 0.28740009665489197, 'Z': 0.024627793580293655}, {'X': 0.5508279800415039, 'Y': 0.2388855367898941, 'Z': 0.012416452169418335}, {'X': 0.6334776282310486, 'Y': 0.45268484950065613, 'Z': 0.014775964431464672}, {'X': 0.6280704736709595, 'Y': 0.3705756664276123, 'Z': 0.010859306901693344}, {'X': 0.6213842630386353, 'Y': 0.32082414627075195, 'Z': 0.0021895882673561573}, {'X': 0.6107311844825745, 'Y': 0.27602195739746094, 'Z': -0.003489913186058402}]
[{'X': 0.6025448441505432, 'Y': 0.6599078178405762, 'Z': -0.00011208515934413299}, {'X': 0.5265119671821594, 'Y': 0.6371827721595764, 'Z': -0.0039323465898633}, {'X': 0.470988005399704, 'Y': 0.5777432918548584, 'Z': 0.008235232904553413}, {'X': 0.44327640533447266, 'Y': 0.5098710656166077, 'Z': 0.01655106619000435}, {'X': 0.43053629994392395, 'Y': 0.4626399278640747, 'Z': 0.032922908663749695}, {'X': 0.5078397393226624, 'Y': 0.47428640723228455, 'Z': 0.04452423378825188}, {'X': 0.48087018728256226, 'Y': 0.3923232853412628, 'Z': 0.04847258701920509}, {'X': 0.46836620569229126, 'Y': 0.341402143239975, 'Z': 0.042846616357564926}, {'X': 0.4579225182533264, 'Y': 0.30140841007232666, 'Z': 0.033019520342350006}, {'X': 0.5479190945625305, 'Y': 0.4495292603969574, 'Z': 0.035274606198072433}, {'X': 0.5228825211524963, 'Y': 0.3498685359954834, 'Z': 0.04764610901474953}, {'X': 0.5075092911720276, 'Y': 0.2906069755554199, 'Z': 0.031448014080524445}, {'X': 0.4951949119567871, 'Y': 0.24635280668735504, 'Z': 0.013574805110692978}, {'X': 0.5891919136047363, 'Y': 0.44300729036331177, 'Z': 0.02214713580906391}, {'X': 0.5710977911949158, 'Y': 0.34597647190093994, 'Z': 0.0285062026232481}, {'X': 0.5606828331947327, 'Y': 0.28653180599212646, 'Z': 0.018230585381388664}, {'X': 0.549103856086731, 'Y': 0.23947793245315552, 'Z': 0.0063081225380301476}, {'X': 0.6334080696105957, 'Y': 0.45382848381996155, 'Z': 0.007669992279261351}, {'X': 0.6277996897697449, 'Y': 0.37038326263427734, 'Z': 0.004428943619132042}, {'X': 0.6214515566825867, 'Y': 0.31990206241607666, 'Z': -0.0033159672748297453}, {'X': 0.6112352609634399, 'Y': 0.2745635509490967, 'Z': -0.00833885557949543}]
[{'X': 0.6056607961654663, 'Y': 0.6653901934623718, 'Z': -0.00010291180660715327}, {'X': 0.5294503569602966, 'Y': 0.6392949819564819, 'Z': -0.004920802544802427}, {'X': 0.47364968061447144, 'Y': 0.578815758228302, 'Z': 0.004196152091026306}, {'X': 0.4452999532222748, 'Y': 0.5107990503311157, 'Z': 0.010180745273828506}, {'X': 0.42969268560409546, 'Y': 0.4672609567642212, 'Z': 0.02279886044561863}, {'X': 0.5090274214744568, 'Y': 0.4754244089126587, 'Z': 0.034651581197977066}, {'X': 0.4819406569004059, 'Y': 0.39304786920547485, 'Z': 0.03604331985116005}, {'X': 0.469623863697052, 'Y': 0.34273308515548706, 'Z': 0.02958250604569912}, {'X': 0.459743469953537, 'Y': 0.3020557165145874, 'Z': 0.019825773313641548}, {'X': 0.549649715423584, 'Y': 0.4511686861515045, 'Z': 0.025753334164619446}, {'X': 0.523727536201477, 'Y': 0.35230767726898193, 'Z': 0.034288253635168076}, {'X': 0.5077277421951294, 'Y': 0.29424425959587097, 'Z': 0.017399169504642487}, {'X': 0.49496912956237793, 'Y': 0.24990537762641907, 'Z': -0.0005379259237088263}, {'X': 0.590947687625885, 'Y': 0.44419562816619873, 'Z': 0.01400812529027462}, {'X': 0.5729981660842896, 'Y': 0.3481684923171997, 'Z': 0.017421040683984756}, {'X': 0.5621466636657715, 'Y': 0.2895070016384125, 'Z': 0.0070799230597913265}, {'X': 0.5502191781997681, 'Y': 0.2423887997865677, 'Z': -0.004871360957622528}, {'X': 0.6351785063743591, 'Y': 0.45481106638908386, 'Z': 0.000868913484737277}, {'X': 0.6297249794006348, 'Y': 0.3711321949958801, 'Z': -0.004480963572859764}, {'X': 0.6233511567115784, 'Y': 0.3208487629890442, 'Z': -0.013555679470300674}, {'X': 0.613551676273346, 'Y': 0.2746858298778534, 'Z': -0.02058742381632328}]
[{'X': 0.6069236397743225, 'Y': 0.6617223620414734, 'Z': -0.00012156058801338077}, {'X': 0.5300526022911072, 'Y': 0.6386154890060425, 'Z': -0.0023737093433737755}, {'X': 0.47319352626800537, 'Y': 0.5792174935340881, 'Z': 0.009950168430805206}, {'X': 0.44436097145080566, 'Y': 0.5120911002159119, 'Z': 0.018908070400357246}, {'X': 0.4271755516529083, 'Y': 0.46927589178085327, 'Z': 0.034561432898044586}, {'X': 0.5084500312805176, 'Y': 0.4767642319202423, 'Z': 0.04390415549278259}, {'X': 0.48105645179748535, 'Y': 0.39715978503227234, 'Z': 0.04657091200351715}, {'X': 0.46912285685539246, 'Y': 0.3457939028739929, 'Z': 0.03861044719815254}, {'X': 0.4593195617198944, 'Y': 0.3044198155403137, 'Z': 0.02671670913696289}, {'X': 0.5498807430267334, 'Y': 0.4509717524051666, 'Z': 0.03455822169780731}, {'X': 0.5242480635643005, 'Y': 0.3553081154823303, 'Z': 0.04531247541308403}, {'X': 0.5090330839157104, 'Y': 0.2955782115459442, 'Z': 0.0275751743465662}, {'X': 0.4962914288043976, 'Y': 0.25016599893569946, 'Z': 0.008456733077764511}, {'X': 0.5925543904304504, 'Y': 0.4433947801589966, 'Z': 0.021776217967271805}, {'X': 0.5758973360061646, 'Y': 0.34974220395088196, 'Z': 0.0263063982129097}, {'X': 0.5660698413848877, 'Y': 0.2925174832344055, 'Z': 0.01583888940513134}, {'X': 0.5548027157783508, 'Y': 0.24724546074867249, 'Z': 0.0044958507642149925}, {'X': 0.6376336216926575, 'Y': 0.4538014531135559, 'Z': 0.00739835062995553}, {'X': 0.6353015303611755, 'Y': 0.37105458974838257, 'Z': 0.0023120034020394087}, {'X': 0.6307175755500793, 'Y': 0.32034409046173096, 'Z': -0.005833747796714306}, {'X': 0.6219881772994995, 'Y': 0.27383875846862793, 'Z': -0.010936490260064602}]
[{'X': 0.604384183883667, 'Y': 0.6608251333236694, 'Z': -0.00010406292858533561}, {'X': 0.5292041897773743, 'Y': 0.636233925819397, 'Z': -0.0005385390250012279}, {'X': 0.47263139486312866, 'Y': 0.5773859620094299, 'Z': 0.009871982038021088}, {'X': 0.4435946047306061, 'Y': 0.5108330249786377, 'Z': 0.015955911949276924}, {'X': 0.4341462552547455, 'Y': 0.4667007029056549, 'Z': 0.02932022139430046}, {'X': 0.5071128010749817, 'Y': 0.4716874361038208, 'Z': 0.04245343804359436}, {'X': 0.47994112968444824, 'Y': 0.3893967866897583, 'Z': 0.047111574560403824}, {'X': 0.46723923087120056, 'Y': 0.3408328890800476, 'Z': 0.04257356747984886}, {'X': 0.4564409554004669, 'Y': 0.3007938265800476, 'Z': 0.03365743160247803}, {'X': 0.5471842288970947, 'Y': 0.4478173553943634, 'Z': 0.030232442542910576}, {'X': 0.5228554606437683, 'Y': 0.3491392135620117, 'Z': 0.03951803594827652}, {'X': 0.5073327422142029, 'Y': 0.29165714979171753, 'Z': 0.023255422711372375}, {'X': 0.4947717487812042, 'Y': 0.2475849688053131, 'Z': 0.006241331342607737}, {'X': 0.5890948176383972, 'Y': 0.4416576325893402, 'Z': 0.014727570116519928}, {'X': 0.57136070728302, 'Y': 0.3463440239429474, 'Z': 0.01825649105012417}, {'X': 0.5599674582481384, 'Y': 0.287751168012619, 'Z': 0.0071091605350375175}, {'X': 0.5476992726325989, 'Y': 0.23894283175468445, 'Z': -0.005184953100979328}, {'X': 0.6337286233901978, 'Y': 0.4535523056983948, 'Z': -0.0017394318711012602}, {'X': 0.6308068037033081, 'Y': 0.3731485605239868, 'Z': -0.00515979528427124}, {'X': 0.6264710426330566, 'Y': 0.3234139680862427, 'Z': -0.012480915524065495}, {'X': 0.6178818941116333, 'Y': 0.27599242329597473, 'Z': -0.01683036796748638}]
[{'X': 0.604384183883667, 'Y': 0.6608251333236694, 'Z': -0.00010406292858533561}, {'X': 0.5292041897773743, 'Y': 0.636233925819397, 'Z': -0.0005385390250012279}, {'X': 0.47263139486312866, 'Y': 0.5773859620094299, 'Z': 0.009871982038021088}, {'X': 0.4435946047306061, 'Y': 0.5108330249786377, 'Z': 0.015955911949276924}, {'X': 0.4341462552547455, 'Y': 0.4667007029056549, 'Z': 0.02932022139430046}, {'X': 0.5071128010749817, 'Y': 0.4716874361038208, 'Z': 0.04245343804359436}, {'X': 0.47994112968444824, 'Y': 0.3893967866897583, 'Z': 0.047111574560403824}, {'X': 0.46723923087120056, 'Y': 0.3408328890800476, 'Z': 0.04257356747984886}, {'X': 0.4564409554004669, 'Y': 0.3007938265800476, 'Z': 0.03365743160247803}, {'X': 0.5471842288970947, 'Y': 0.4478173553943634, 'Z': 0.030232442542910576}, {'X': 0.5228554606437683, 'Y': 0.3491392135620117, 'Z': 0.03951803594827652}, {'X': 0.5073327422142029, 'Y': 0.29165714979171753, 'Z': 0.023255422711372375}, {'X': 0.4947717487812042, 'Y': 0.2475849688053131, 'Z': 0.006241331342607737}, {'X': 0.5890948176383972, 'Y': 0.4416576325893402, 'Z': 0.014727570116519928}, {'X': 0.57136070728302, 'Y': 0.3463440239429474, 'Z': 0.01825649105012417}, {'X': 0.5599674582481384, 'Y': 0.287751168012619, 'Z': 0.0071091605350375175}, {'X': 0.5476992726325989, 'Y': 0.23894283175468445, 'Z': -0.005184953100979328}, {'X': 0.6337286233901978, 'Y': 0.4535523056983948, 'Z': -0.0017394318711012602}, {'X': 0.6308068037033081, 'Y': 0.3731485605239868, 'Z': -0.00515979528427124}, {'X': 0.6264710426330566, 'Y': 0.3234139680862427, 'Z': -0.012480915524065495}, {'X': 0.6178818941116333, 'Y': 0.27599242329597473, 'Z': -0.01683036796748638}]
[{'X': 0.5980584621429443, 'Y': 0.6602703332901001, 'Z': -8.907526353141293e-05}, {'X': 0.5255110263824463, 'Y': 0.6406986117362976, 'Z': -0.0011749028926715255}, {'X': 0.47169530391693115, 'Y': 0.5746259093284607, 'Z': 0.008560774847865105}, {'X': 0.4473384618759155, 'Y': 0.5111737251281738, 'Z': 0.01442081667482853}, {'X': 0.4343510866165161, 'Y': 0.4585567116737366, 'Z': 0.025974215939641}, {'X': 0.5044093132019043, 'Y': 0.4691101312637329, 'Z': 0.024333927780389786}, {'X': 0.48038870096206665, 'Y': 0.38451653718948364, 'Z': 0.02764747105538845}, {'X': 0.46881917119026184, 'Y': 0.3374255895614624, 'Z': 0.03240650147199631}, {'X': 0.4593924582004547, 'Y': 0.2978419363498688, 'Z': 0.03606966510415077}, {'X': 0.5447736382484436, 'Y': 0.4520198404788971, 'Z': 0.00653816806152463}, {'X': 0.5189695358276367, 'Y': 0.3485490679740906, 'Z': 0.002561632776632905}, {'X': 0.5048353672027588, 'Y': 0.2896380126476288, 'Z': -0.004776228219270706}, {'X': 0.4974484145641327, 'Y': 0.24627652764320374, 'Z': -0.004804348573088646}, {'X': 0.5865289568901062, 'Y': 0.4596368372440338, 'Z': -0.01347307674586773}, {'X': 0.5699183940887451, 'Y': 0.358590692281723, 'Z': -0.03593268617987633}, {'X': 0.5572924613952637, 'Y': 0.3037155866622925, 'Z': -0.0583280548453331}, {'X': 0.5454246401786804, 'Y': 0.26176518201828003, 'Z': -0.07018588483333588}, {'X': 0.630182147026062, 'Y': 0.4854738712310791, 'Z': -0.031671252101659775}, {'X': 0.6057618856430054, 'Y': 0.4587152898311615, 'Z': -0.07304567843675613}, {'X': 0.5896074771881104, 'Y': 0.5020586252212524, 'Z': -0.09139357507228851}, {'X': 0.5802007913589478, 'Y': 0.5444976091384888, 'Z': -0.09058073908090591}]
[{'X': 0.5913593769073486, 'Y': 0.641792356967926, 'Z': -9.824906737776473e-05}, {'X': 0.5190913081169128, 'Y': 0.6373652815818787, 'Z': -0.0015869559720158577}, {'X': 0.46896791458129883, 'Y': 0.5812310576438904, 'Z': 0.012493164278566837}, {'X': 0.44315555691719055, 'Y': 0.5205525755882263, 'Z': 0.023179426789283752}, {'X': 0.42841559648513794, 'Y': 0.4758298993110657, 'Z': 0.03573153167963028}, {'X': 0.505631685256958, 'Y': 0.4815431535243988, 'Z': 0.025122415274381638}, {'X': 0.48158910870552063, 'Y': 0.39220285415649414, 'Z': 0.01948222890496254}, {'X': 0.4715399742126465, 'Y': 0.34168511629104614, 'Z': 0.016668185591697693}, {'X': 0.46318796277046204, 'Y': 0.2966785132884979, 'Z': 0.013507607392966747}, {'X': 0.5437530875205994, 'Y': 0.4646816551685333, 'Z': 0.006864652968943119}, {'X': 0.5173665881156921, 'Y': 0.36998414993286133, 'Z': -0.00579651677981019}, {'X': 0.4995684325695038, 'Y': 0.307600736618042, 'Z': -0.02675742469727993}, {'X': 0.48674458265304565, 'Y': 0.2548324465751648, 'Z': -0.03989532217383385}, {'X': 0.5836141705513, 'Y': 0.4707043766975403, 'Z': -0.013316327705979347}, {'X': 0.5661898851394653, 'Y': 0.3823935389518738, 'Z': -0.04455992951989174}, {'X': 0.5493772625923157, 'Y': 0.3326829671859741, 'Z': -0.08001863956451416}, {'X': 0.5335440635681152, 'Y': 0.29391300678253174, 'Z': -0.099635049700737}, {'X': 0.6258068680763245, 'Y': 0.490898072719574, 'Z': -0.03173746168613434}, {'X': 0.6065276861190796, 'Y': 0.46436357498168945, 'Z': -0.0781957283616066}, {'X': 0.5925581455230713, 'Y': 0.5038620829582214, 'Z': -0.0980113223195076}, {'X': 0.582170844078064, 'Y': 0.5414377450942993, 'Z': -0.09814569354057312}]
