[{'X': 0.7697291374206543, 'Y': 0.8752033710479736, 'Z': -0.00011676127905957401}, {'X': 0.6811528205871582, 'Y': 0.8660531044006348, 'Z': -0.06833571940660477}, {'X': 0.6048600077629089, 'Y': 0.8006002902984619, 'Z': -0.09827820211648941}, {'X': 0.5622634887695312, 'Y': 0.7265074849128723, 'Z': -0.1290328949689865}, {'X': 0.5405073165893555, 'Y': 0.6645637154579163, 'Z': -0.1519491970539093}, {'X': 0.647459864616394, 'Y': 0.5988245010375977, 'Z': -0.0039069633930921555}, {'X': 0.5984126925468445, 'Y': 0.5027937293052673, 'Z': -0.01795928366482258}, {'X': 0.569119930267334, 'Y': 0.44148802757263184, 'Z': -0.03995088115334511}, {'X': 0.546147882938385, 'Y': 0.3914167284965515, 'Z': -0.06231168657541275}, {'X': 0.7050882577896118, 'Y': 0.5651183724403381, 'Z': 0.00656325975432992}, {'X': 0.692486047744751, 'Y': 0.4320884346961975, 'Z': 0.010276452638208866}, {'X': 0.6872414946556091, 'Y': 0.3529130816459656, 'Z': -0.018442310392856598}, {'X': 0.6831380724906921, 'Y': 0.2861079275608063, 'Z': -0.04265453666448593}, {'X': 0.7598433494567871, 'Y': 0.5672734379768372, 'Z': 0.00591401057317853}, {'X': 0.7531790733337402, 'Y': 0.4396776258945465, 'Z': 0.0021285663824528456}, {'X': 0.7461472749710083, 'Y': 0.36243951320648193, 'Z': -0.023164967074990273}, {'X': 0.7337711453437805, 'Y': 0.2955619990825653, 'Z': -0.04739934951066971}, {'X': 0.8177584409713745, 'Y': 0.593285858631134, 'Z': -0.002308363327756524}, {'X': 0.8328598141670227, 'Y': 0.4948800802230835, 'Z': -0.014160849153995514}, {'X': 0.8405796885490417, 'Y': 0.43713831901550293, 'Z': -0.03195221722126007}, {'X': 0.8402035236358643, 'Y': 0.38059407472610474, 'Z': -0.047663554549217224}]
[{'X': 0.7665599584579468, 'Y': 0.8556419610977173, 'Z': -0.00010663403372745961}, {'X': 0.6833543181419373, 'Y': 0.8423905372619629, 'Z': -0.07511800527572632}, {'X': 0.6117122173309326, 'Y': 0.7769786715507507, 'Z': -0.10928782820701599}, {'X': 0.5714908838272095, 'Y': 0.7029151916503906, 'Z': -0.14216147363185883}, {'X': 0.5449008941650391, 'Y': 0.6429377198219299, 'Z': -0.16941696405410767}, {'X': 0.6443731784820557, 'Y': 0.5838831067085266, 'Z': -0.020926041528582573}, {'X': 0.595194935798645, 'Y': 0.4906619191169739, 'Z': -0.04049064964056015}, {'X': 0.5675147771835327, 'Y': 0.4291369915008545, 'Z': -0.0677376389503479}, {'X': 0.5440184473991394, 'Y': 0.37613797187805176, 'Z': -0.09274198859930038}, {'X': 0.7016798853874207, 'Y': 0.5489473342895508, 'Z': -0.00787702202796936}, {'X': 0.6873972415924072, 'Y': 0.4233872890472412, 'Z': -0.006644146516919136}, {'X': 0.6836401224136353, 'Y': 0.3458295464515686, 'Z': -0.039330706000328064}, {'X': 0.6808754801750183, 'Y': 0.27755206823349, 'Z': -0.067864790558815}, {'X': 0.7573840022087097, 'Y': 0.5493205785751343, 'Z': -0.005412989761680365}, {'X': 0.7474930286407471, 'Y': 0.4269925057888031, 'Z': -0.012261360883712769}, {'X': 0.7416260838508606, 'Y': 0.35161298513412476, 'Z': -0.04477861523628235}, {'X': 0.7318631410598755, 'Y': 0.2833906412124634, 'Z': -0.0739806517958641}, {'X': 0.8166571259498596, 'Y': 0.5737954378128052, 'Z': -0.009514499455690384}, {'X': 0.829214334487915, 'Y': 0.48168230056762695, 'Z': -0.026433682069182396}, {'X': 0.8366020321846008, 'Y': 0.4254800081253052, 'Z': -0.04813958331942558}, {'X': 0.8380609154701233, 'Y': 0.36992722749710083, 'Z': -0.06927192956209183}]
[{'X': 0.7623735666275024, 'Y': 0.8188896179199219, 'Z': -8.246122160926461e-05}, {'X': 0.6855388283729553, 'Y': 0.8204870820045471, 'Z': -0.09347978979349136}, {'X': 0.6123631000518799, 'Y': 0.7660045623779297, 'Z': -0.1411641240119934}, {'X': 0.5795060396194458, 'Y': 0.6844186782836914, 'Z': -0.1811467707157135}, {'X': 0.5848243832588196, 'Y': 0.614522397518158, 'Z': -0.2104371339082718}, {'X': 0.6366724371910095, 'Y': 0.5764866471290588, 'Z': -0.04847868159413338}, {'X': 0.5888048410415649, 'Y': 0.48014703392982483, 'Z': -0.07484252005815506}, {'X': 0.5612295269966125, 'Y': 0.4181738495826721, 'Z': -0.1014849990606308}, {'X': 0.5409737229347229, 'Y': 0.36486107110977173, 'Z': -0.1260737031698227}, {'X': 0.6947941780090332, 'Y': 0.5391058921813965, 'Z': -0.03327903896570206}, {'X': 0.6766243577003479, 'Y': 0.4109002351760864, 'Z': -0.04135449230670929}, {'X': 0.6707196235656738, 'Y': 0.33520013093948364, 'Z': -0.0728822723031044}, {'X': 0.668903112411499, 'Y': 0.26490944623947144, 'Z': -0.09898407012224197}, {'X': 0.7509649395942688, 'Y': 0.5379945039749146, 'Z': -0.027018429711461067}, {'X': 0.7388590574264526, 'Y': 0.41392871737480164, 'Z': -0.04051665589213371}, {'X': 0.7313413023948669, 'Y': 0.3422025442123413, 'Z': -0.07290048897266388}, {'X': 0.7239789962768555, 'Y': 0.27516642212867737, 'Z': -0.09967917948961258}, {'X': 0.8115584850311279, 'Y': 0.5601233243942261, 'Z': -0.02982315793633461}, {'X': 0.8194984197616577, 'Y': 0.4674442708492279, 'Z': -0.053494129329919815}, {'X': 0.8244460821151733, 'Y': 0.4144422709941864, 'Z': -0.07627697288990021}, {'X': 0.8262509107589722, 'Y': 0.35990583896636963, 'Z': -0.09541692584753036}]
[{'X': 0.75615394115448, 'Y': 0.8146211504936218, 'Z': -9.167185635305941e-05}, {'X': 0.6809840798377991, 'Y': 0.8086176514625549, 'Z': -0.07444342970848083}, {'X': 0.610231876373291, 'Y': 0.7387651205062866, 'Z': -0.11018813401460648}, {'X': 0.5880216956138611, 'Y': 0.6457604765892029, 'Z': -0.14198818802833557}, {'X': 0.6067871451377869, 'Y': 0.5759920477867126, 'Z': -0.1661382019519806}, {'X': 0.6297594308853149, 'Y': 0.5785034894943237, 'Z': -0.03249352052807808}, {'X': 0.5812228918075562, 'Y': 0.4814966022968292, 'Z': -0.053539156913757324}, {'X': 0.5539860725402832, 'Y': 0.4190295338630676, 'Z': -0.07588092982769012}, {'X': 0.5325847864151001, 'Y': 0.36825913190841675, 'Z': -0.10115037113428116}, {'X': 0.6868342757225037, 'Y': 0.5419848561286926, 'Z': -0.024377770721912384}, {'X': 0.66795814037323, 'Y': 0.414340615272522, 'Z': -0.02742067351937294}, {'X': 0.6602749824523926, 'Y': 0.33704090118408203, 'Z': -0.057328060269355774}, {'X': 0.655883252620697, 'Y': 0.26975953578948975, 'Z': -0.08576085418462753}, {'X': 0.7432627081871033, 'Y': 0.5400456190109253, 'Z': -0.024618927389383316}, {'X': 0.728024423122406, 'Y': 0.4173855483531952, 'Z': -0.035189129412174225}, {'X': 0.7183962464332581, 'Y': 0.3407095968723297, 'Z': -0.06663767993450165}, {'X': 0.7069876790046692, 'Y': 0.27214381098747253, 'Z': -0.09580683708190918}, {'X': 0.8050962686538696, 'Y': 0.5582771301269531, 'Z': -0.03352925553917885}, {'X': 0.8096550703048706, 'Y': 0.4627133905887604, 'Z': -0.052743177860975266}, {'X': 0.8120468854904175, 'Y': 0.4058856666088104, 'Z': -0.0751289576292038}, {'X': 0.8114190697669983, 'Y': 0.34937524795532227, 'Z': -0.09668999165296555}]
[{'X': 0.7549425363540649, 'Y': 0.7513540983200073, 'Z': -9.518741717329249e-05}, {'X': 0.6869411468505859, 'Y': 0.7401870489120483, 'Z': -0.06409335881471634}, {'X': 0.6364105939865112, 'Y': 0.6530939340591431, 'Z': -0.08395685255527496}, {'X': 0.632308304309845, 'Y': 0.551169216632843, 'Z': -0.10290049016475677}, {'X': 0.6306805610656738, 'Y': 0.47483116388320923, 'Z': -0.11539363116025925}, {'X': 0.6215997338294983, 'Y': 0.5538406372070312, 'Z': -0.0056555005721747875}, {'X': 0.5845654010772705, 'Y': 0.4645150601863861, 'Z': -0.026223696768283844}, {'X': 0.5650315284729004, 'Y': 0.4100190997123718, 'Z': -0.049323901534080505}, {'X': 0.5512188673019409, 'Y': 0.3620424270629883, 'Z': -0.06810306012630463}, {'X': 0.6710551977157593, 'Y': 0.5251260995864868, 'Z': 0.00030638682073913515}, {'X': 0.6516557931900024, 'Y': 0.41725870966911316, 'Z': -0.011710251681506634}, {'X': 0.6434842348098755, 'Y': 0.35110926628112793, 'Z': -0.044958245009183884}, {'X': 0.6413283348083496, 'Y': 0.29741039872169495, 'Z': -0.07027389109134674}, {'X': 0.7197129726409912, 'Y': 0.5209643244743347, 'Z': -0.003969439771026373}, {'X': 0.7097618579864502, 'Y': 0.4205367863178253, 'Z': -0.01734025962650776}, {'X': 0.7025209665298462, 'Y': 0.3576268255710602, 'Z': -0.05179135501384735}, {'X': 0.6974602937698364, 'Y': 0.30005595088005066, 'Z': -0.08031575381755829}, {'X': 0.7704243659973145, 'Y': 0.5323030352592468, 'Z': -0.016281677410006523}, {'X': 0.7617580890655518, 'Y': 0.4545128345489502, 'Z': -0.03355242311954498}, {'X': 0.7560970187187195, 'Y': 0.4044872522354126, 'Z': -0.055414073169231415}, {'X': 0.7504429221153259, 'Y': 0.35248851776123047, 'Z': -0.0738290324807167}]
[{'X': 0.7558428049087524, 'Y': 0.752263069152832, 'Z': -7.957705383887514e-05}, {'X': 0.6871647834777832, 'Y': 0.7296668291091919, 'Z': -0.05162753909826279}, {'X': 0.6435540914535522, 'Y': 0.6370638608932495, 'Z': -0.0637040063738823}, {'X': 0.6493415236473083, 'Y': 0.5389381647109985, 'Z': -0.07327006012201309}, {'X': 0.6503158211708069, 'Y': 0.4690344035625458, 'Z': -0.07851048558950424}, {'X': 0.627832293510437, 'Y': 0.5610989332199097, 'Z': -1.5824070942471735e-05}, {'X': 0.5924014449119568, 'Y': 0.47047823667526245, 'Z': -0.017095712944865227}, {'X': 0.5748347043991089, 'Y': 0.412619024515152, 'Z': -0.03921270743012428}, {'X': 0.5607659816741943, 'Y': 0.36079901456832886, 'Z': -0.06053132191300392}, {'X': 0.6749192476272583, 'Y': 0.533964991569519, 'Z': 0.004331192933022976}, {'X': 0.6585168242454529, 'Y': 0.43250158429145813, 'Z': -0.006849435158073902}, {'X': 0.6488328576087952, 'Y': 0.3658771812915802, 'Z': -0.04247136786580086}, {'X': 0.6448080539703369, 'Y': 0.31551265716552734, 'Z': -0.07047086209058762}, {'X': 0.720902681350708, 'Y': 0.5273134708404541, 'Z': 9.925361518980935e-05}, {'X': 0.7140992283821106, 'Y': 0.4307270050048828, 'Z': -0.01136567909270525}, {'X': 0.7057101726531982, 'Y': 0.37065863609313965, 'Z': -0.051662638783454895}, {'X': 0.6994630694389343, 'Y': 0.3211614191532135, 'Z': -0.08276000618934631}, {'X': 0.7677710056304932, 'Y': 0.5354565382003784, 'Z': -0.009275319054722786}, {'X': 0.7606876492500305, 'Y': 0.46098119020462036, 'Z': -0.027711376547813416}, {'X': 0.751233696937561, 'Y': 0.4125942885875702, 'Z': -0.051734909415245056}, {'X': 0.7411013245582581, 'Y': 0.36599230766296387, 'Z': -0.0702982246875763}]
[{'X': 0.7630703449249268, 'Y': 0.7458406686782837, 'Z': -0.00012762811093125492}, {'X': 0.6939268708229065, 'Y': 0.7173991799354553, 'Z': -0.05427408963441849}, {'X': 0.6495041847229004, 'Y': 0.6239660978317261, 'Z': -0.06580722332000732}, {'X': 0.666193425655365, 'Y': 0.5192394852638245, 'Z': -0.0721634179353714}, {'X': 0.683976411819458, 'Y': 0.4546410143375397, 'Z': -0.06514438986778259}, {'X': 0.6264696717262268, 'Y': 0.5470883846282959, 'Z': 0.009334372356534004}, {'X': 0.5972567200660706, 'Y': 0.4516885280609131, 'Z': -0.010874288156628609}, {'X': 0.5812053084373474, 'Y': 0.3957325220108032, 'Z': -0.030628707259893417}, {'X': 0.5684602856636047, 'Y': 0.3459859788417816, 'Z': -0.0460440032184124}, {'X': 0.6719313263893127, 'Y': 0.5156947374343872, 'Z': 0.011476267129182816}, {'X': 0.6545438766479492, 'Y': 0.4125380516052246, 'Z': -0.008374499157071114}, {'X': 0.6444157361984253, 'Y': 0.35106441378593445, 'Z': -0.04060487821698189}, {'X': 0.6417233347892761, 'Y': 0.31006836891174316, 'Z': -0.05865222588181496}, {'X': 0.7174049019813538, 'Y': 0.5062810778617859, 'Z': 0.002751745982095599}, {'X': 0.7097203731536865, 'Y': 0.41044342517852783, 'Z': -0.02006515860557556}, {'X': 0.701257586479187, 'Y': 0.35538944602012634, 'Z': -0.05616274103522301}, {'X': 0.6959369778633118, 'Y': 0.3106424808502197, 'Z': -0.07573356479406357}, {'X': 0.7656142711639404, 'Y': 0.5171588659286499, 'Z': -0.01313781924545765}, {'X': 0.7529479265213013, 'Y': 0.45096030831336975, 'Z': -0.04225148260593414}, {'X': 0.7422050833702087, 'Y': 0.40518563985824585, 'Z': -0.06759259104728699}, {'X': 0.7321239709854126, 'Y': 0.36273401975631714, 'Z': -0.08040589839220047}]
[{'X': 0.7611857652664185, 'Y': 0.7496784925460815, 'Z': -0.00011289103713352233}, {'X': 0.6927371025085449, 'Y': 0.7330107092857361, 'Z': -0.05253017693758011}, {'X': 0.6340872049331665, 'Y': 0.6449254155158997, 'Z': -0.06761732697486877}, {'X': 0.6518986225128174, 'Y': 0.5392880439758301, 'Z': -0.075692318379879}, {'X': 0.6913397312164307, 'Y': 0.4827009439468384, 'Z': -0.06882467865943909}, {'X': 0.6278111934661865, 'Y': 0.5496786832809448, 'Z': 0.017014704644680023}, {'X': 0.6041336059570312, 'Y': 0.4501611590385437, 'Z': -0.0036975645925849676}, {'X': 0.5910317301750183, 'Y': 0.39899951219558716, 'Z': -0.026056108996272087}, {'X': 0.5829805135726929, 'Y': 0.3586024343967438, 'Z': -0.046951599419116974}, {'X': 0.6724554896354675, 'Y': 0.5165563225746155, 'Z': 0.021426403895020485}, {'X': 0.65927654504776, 'Y': 0.40949565172195435, 'Z': 0.014697276055812836}, {'X': 0.651306688785553, 'Y': 0.34342509508132935, 'Z': -0.00562908872961998}, {'X': 0.650231122970581, 'Y': 0.29097557067871094, 'Z': -0.018289225175976753}, {'X': 0.7171317338943481, 'Y': 0.5058199763298035, 'Z': 0.015418287366628647}, {'X': 0.7088015079498291, 'Y': 0.40303975343704224, 'Z': 0.006812227889895439}, {'X': 0.6996338963508606, 'Y': 0.33854418992996216, 'Z': -0.012593519873917103}, {'X': 0.6946616768836975, 'Y': 0.27964580059051514, 'Z': -0.022622158750891685}, {'X': 0.765583336353302, 'Y': 0.5150998830795288, 'Z': -1.719148531265091e-05}, {'X': 0.7565851807594299, 'Y': 0.43515467643737793, 'Z': -0.012394436635077}, {'X': 0.7482885122299194, 'Y': 0.38208580017089844, 'Z': -0.021272320300340652}, {'X': 0.7416192293167114, 'Y': 0.329611599445343, 'Z': -0.02522091008722782}]
[{'X': 0.7532169818878174, 'Y': 0.7358148694038391, 'Z': -0.00019761480507440865}, {'X': 0.6839794516563416, 'Y': 0.7307211756706238, 'Z': -0.051014188677072525}, {'X': 0.6320483684539795, 'Y': 0.640359103679657, 'Z': -0.06160161644220352}, {'X': 0.6697657704353333, 'Y': 0.5382481813430786, 'Z': -0.06246250867843628}, {'X': 0.7237696647644043, 'Y': 0.501157283782959, 'Z': -0.0398884192109108}, {'X': 0.6305733919143677, 'Y': 0.5296757221221924, 'Z': 0.02356904372572899}, {'X': 0.6123589277267456, 'Y': 0.43251070380210876, 'Z': 0.005667994264513254}, {'X': 0.6026743650436401, 'Y': 0.38560551404953003, 'Z': -0.01783161237835884}, {'X': 0.6011740565299988, 'Y': 0.3521974980831146, 'Z': -0.043760996311903}, {'X': 0.6769390106201172, 'Y': 0.5011758804321289, 'Z': 0.02437867410480976}, {'X': 0.6684354543685913, 'Y': 0.38822686672210693, 'Z': 0.012764057144522667}, {'X': 0.6658674478530884, 'Y': 0.3208034336566925, 'Z': -0.005821811035275459}, {'X': 0.6689246892929077, 'Y': 0.2733677625656128, 'Z': -0.01418273989111185}, {'X': 0.72142094373703, 'Y': 0.49800747632980347, 'Z': 0.016678201034665108}, {'X': 0.7178844809532166, 'Y': 0.39567020535469055, 'Z': 0.004257735796272755}, {'X': 0.7147613167762756, 'Y': 0.33292198181152344, 'Z': -0.010418352670967579}, {'X': 0.7151772975921631, 'Y': 0.27550405263900757, 'Z': -0.015781959518790245}, {'X': 0.7678385376930237, 'Y': 0.5195496678352356, 'Z': -0.0015596949961036444}, {'X': 0.7607462406158447, 'Y': 0.4452039897441864, 'Z': -0.01228723768144846}, {'X': 0.7524853944778442, 'Y': 0.39585065841674805, 'Z': -0.017921803519129753}, {'X': 0.7490283250808716, 'Y': 0.34705430269241333, 'Z': -0.009955378249287605}]
[{'X': 0.7612972259521484, 'Y': 0.7628496289253235, 'Z': -0.0001669619232416153}, {'X': 0.6893624663352966, 'Y': 0.7524017095565796, 'Z': -0.05187569186091423}, {'X': 0.6300416588783264, 'Y': 0.6633554100990295, 'Z': -0.07287708669900894}, {'X': 0.6576772332191467, 'Y': 0.5709288120269775, 'Z': -0.0885218009352684}, {'X': 0.702538251876831, 'Y': 0.5361210703849792, 'Z': -0.08484292030334473}, {'X': 0.6346438527107239, 'Y': 0.545850932598114, 'Z': 0.005602562800049782}, {'X': 0.6171426177024841, 'Y': 0.448688268661499, 'Z': -0.01453422475606203}, {'X': 0.6073662042617798, 'Y': 0.40070009231567383, 'Z': -0.038036640733480453}, {'X': 0.6041269898414612, 'Y': 0.37077105045318604, 'Z': -0.06388266384601593}, {'X': 0.6836850047111511, 'Y': 0.5178651809692383, 'Z': 0.00739332614466548}, {'X': 0.6727021932601929, 'Y': 0.4017447829246521, 'Z': 0.0016121305525302887}, {'X': 0.6697506308555603, 'Y': 0.3322127163410187, 'Z': -0.016465511173009872}, {'X': 0.6723346710205078, 'Y': 0.28084075450897217, 'Z': -0.027697062119841576}, {'X': 0.7297539710998535, 'Y': 0.51364666223526, 'Z': 0.0008025345159694552}, {'X': 0.7237920761108398, 'Y': 0.4028531014919281, 'Z': -0.004792244639247656}, {'X': 0.7218999266624451, 'Y': 0.3368752598762512, 'Z': -0.018337322399020195}, {'X': 0.7223228216171265, 'Y': 0.2777855396270752, 'Z': -0.026879025623202324}, {'X': 0.7783693075180054, 'Y': 0.530649721622467, 'Z': -0.01593676581978798}, {'X': 0.7674856781959534, 'Y': 0.44821619987487793, 'Z': -0.0242953822016716}, {'X': 0.7590691447257996, 'Y': 0.4001806974411011, 'Z': -0.030910208821296692}, {'X': 0.7534681558609009, 'Y': 0.35537511110305786, 'Z': -0.03195207566022873}]
[{'X': 0.7640106678009033, 'Y': 0.7711065411567688, 'Z': -0.00011020460806321353}, {'X': 0.689906656742096, 'Y': 0.7747704982757568, 'Z': -0.06778721511363983}, {'X': 0.6193228363990784, 'Y': 0.6999539732933044, 'Z': -0.10124701261520386}, {'X': 0.635958194732666, 'Y': 0.6110528707504272, 'Z': -0.12735584378242493}, {'X': 0.6836957931518555, 'Y': 0.5669602155685425, 'Z': -0.1316315233707428}, {'X': 0.6363103985786438, 'Y': 0.5601893663406372, 'Z': -0.024895478039979935}, {'X': 0.611670970916748, 'Y': 0.46476423740386963, 'Z': -0.05081423372030258}, {'X': 0.603110671043396, 'Y': 0.4093375504016876, 'Z': -0.06949608027935028}, {'X': 0.6033121943473816, 'Y': 0.3720621168613434, 'Z': -0.08549845218658447}, {'X': 0.6857431530952454, 'Y': 0.5272210240364075, 'Z': -0.016588374972343445}, {'X': 0.671757698059082, 'Y': 0.41611266136169434, 'Z': -0.02332233265042305}, {'X': 0.6699610352516174, 'Y': 0.34512484073638916, 'Z': -0.04174881428480148}, {'X': 0.6752590537071228, 'Y': 0.291231632232666, 'Z': -0.05627758428454399}, {'X': 0.7320101261138916, 'Y': 0.5191868543624878, 'Z': -0.017299357801675797}, {'X': 0.7186652421951294, 'Y': 0.41127556562423706, 'Z': -0.024320155382156372}, {'X': 0.7164732813835144, 'Y': 0.3436647653579712, 'Z': -0.043828461319208145}, {'X': 0.7163556814193726, 'Y': 0.2823016047477722, 'Z': -0.05981097370386124}, {'X': 0.7832023501396179, 'Y': 0.5345327854156494, 'Z': -0.028823725879192352}, {'X': 0.7674860954284668, 'Y': 0.44912460446357727, 'Z': -0.03840894624590874}, {'X': 0.7613458037376404, 'Y': 0.3931187391281128, 'Z': -0.05191183462738991}, {'X': 0.7557228207588196, 'Y': 0.33825117349624634, 'Z': -0.061603426933288574}]
