[{'X': 0.7278333306312561, 'Y': 0.6349616050720215, 'Z': -4.160625030635856e-05}, {'X': 0.6691470146179199, 'Y': 0.6140162944793701, 'Z': -0.0515323169529438}, {'X': 0.6288292407989502, 'Y': 0.559332549571991, 'Z': -0.08189556747674942}, {'X': 0.6008821725845337, 'Y': 0.507693350315094, 'Z': -0.1114516481757164}, {'X': 0.5686042308807373, 'Y': 0.4719334840774536, 'Z': -0.14347225427627563}, {'X': 0.6784286499023438, 'Y': 0.44599291682243347, 'Z': -0.05154844745993614}, {'X': 0.657562255859375, 'Y': 0.37387239933013916, 'Z': -0.08108620345592499}, {'X': 0.6435285806655884, 'Y': 0.3282163143157959, 'Z': -0.1116335391998291}, {'X': 0.6290712952613831, 'Y': 0.2882626950740814, 'Z': -0.13288931548595428}, {'X': 0.7207719087600708, 'Y': 0.4381353557109833, 'Z': -0.0511314794421196}, {'X': 0.7262033820152283, 'Y': 0.3510170876979828, 'Z': -0.06688304990530014}, {'X': 0.7278591990470886, 'Y': 0.29306530952453613, 'Z': -0.09461444616317749}, {'X': 0.7287845611572266, 'Y': 0.24302852153778076, 'Z': -0.11921338737010956}, {'X': 0.7582831382751465, 'Y': 0.45251181721687317, 'Z': -0.05608884245157242}, {'X': 0.7741612195968628, 'Y': 0.37339213490486145, 'Z': -0.07489985227584839}, {'X': 0.7820844650268555, 'Y': 0.32336926460266113, 'Z': -0.10007436573505402}, {'X': 0.7849666476249695, 'Y': 0.28004157543182373, 'Z': -0.12028928846120834}, {'X': 0.7936089038848877, 'Y': 0.48355793952941895, 'Z': -0.06743806600570679}, {'X': 0.8195186257362366, 'Y': 0.4300748407840729, 'Z': -0.0898364782333374}, {'X': 0.8345457315444946, 'Y': 0.39101967215538025, 'Z': -0.1065477803349495}, {'X': 0.845500111579895, 'Y': 0.3529219627380371, 'Z': -0.11811476200819016}]
[{'X': 0.7302324175834656, 'Y': 0.6444419622421265, 'Z': -4.2434956412762403e-05}, {'X': 0.6692225337028503, 'Y': 0.6145508885383606, 'Z': -0.03809291869401932}, {'X': 0.6258024573326111, 'Y': 0.5586816072463989, 'Z': -0.057855647057294846}, {'X': 0.5969136357307434, 'Y': 0.5062334537506104, 'Z': -0.0784715786576271}, {'X': 0.567682147026062, 'Y': 0.4727233350276947, 'Z': -0.10112979263067245}, {'X': 0.678607702255249, 'Y': 0.4457981586456299, 'Z': -0.02472805604338646}, {'X': 0.6565035581588745, 'Y': 0.36955609917640686, 'Z': -0.04782142490148544}, {'X': 0.6429356336593628, 'Y': 0.3217335343360901, 'Z': -0.07392996549606323}, {'X': 0.6300280094146729, 'Y': 0.28141841292381287, 'Z': -0.09228812158107758}, {'X': 0.721166729927063, 'Y': 0.43754249811172485, 'Z': -0.02732851915061474}, {'X': 0.7256202697753906, 'Y': 0.3472994565963745, 'Z': -0.035259682685136795}, {'X': 0.726265549659729, 'Y': 0.29001402854919434, 'Z': -0.05911681428551674}, {'X': 0.7264201045036316, 'Y': 0.2433011531829834, 'Z': -0.0807073786854744}, {'X': 0.7597097754478455, 'Y': 0.4504898488521576, 'Z': -0.036111027002334595}, {'X': 0.7738001346588135, 'Y': 0.36764878034591675, 'Z': -0.04841100051999092}, {'X': 0.7787341475486755, 'Y': 0.3180916905403137, 'Z': -0.06855633854866028}, {'X': 0.779872715473175, 'Y': 0.27775031328201294, 'Z': -0.08576875180006027}, {'X': 0.7956078052520752, 'Y': 0.48001551628112793, 'Z': -0.05042555555701256}, {'X': 0.8206683397293091, 'Y': 0.4224947392940521, 'Z': -0.06965887546539307}, {'X': 0.8351805210113525, 'Y': 0.38287851214408875, 'Z': -0.08458685874938965}, {'X': 0.8457183241844177, 'Y': 0.34694525599479675, 'Z': -0.09557559341192245}]
[{'X': 0.723891019821167, 'Y': 0.6507338285446167, 'Z': -5.094984226161614e-05}, {'X': 0.6668949723243713, 'Y': 0.6163016557693481, 'Z': -0.038396164774894714}, {'X': 0.625524640083313, 'Y': 0.5592009425163269, 'Z': -0.060975998640060425}, {'X': 0.5955386757850647, 'Y': 0.5091502666473389, 'Z': -0.08613208681344986}, {'X': 0.5648623704910278, 'Y': 0.4766896963119507, 'Z': -0.11406997591257095}, {'X': 0.6775415539741516, 'Y': 0.4434877336025238, 'Z': -0.025998299941420555}, {'X': 0.6558986902236938, 'Y': 0.36907172203063965, 'Z': -0.051551997661590576}, {'X': 0.6416881084442139, 'Y': 0.32405853271484375, 'Z': -0.07941313087940216}, {'X': 0.6283361911773682, 'Y': 0.28735148906707764, 'Z': -0.09846650809049606}, {'X': 0.7202140688896179, 'Y': 0.4374065399169922, 'Z': -0.02884102612733841}, {'X': 0.7261053323745728, 'Y': 0.3479957580566406, 'Z': -0.04094242304563522}, {'X': 0.7268492579460144, 'Y': 0.29134899377822876, 'Z': -0.06641824543476105}, {'X': 0.7259280681610107, 'Y': 0.24678771197795868, 'Z': -0.08760028332471848}, {'X': 0.757470965385437, 'Y': 0.45345810055732727, 'Z': -0.03676476329565048}, {'X': 0.7752973437309265, 'Y': 0.37370604276657104, 'Z': -0.052550092339515686}, {'X': 0.7809621095657349, 'Y': 0.32430174946784973, 'Z': -0.07444511353969574}, {'X': 0.7809679508209229, 'Y': 0.2848106324672699, 'Z': -0.09201638400554657}, {'X': 0.7909989356994629, 'Y': 0.4862116873264313, 'Z': -0.05073676258325577}, {'X': 0.8184607625007629, 'Y': 0.43248653411865234, 'Z': -0.07366742193698883}, {'X': 0.8318966627120972, 'Y': 0.3972088098526001, 'Z': -0.08951009064912796}, {'X': 0.8395230770111084, 'Y': 0.366691529750824, 'Z': -0.10031593590974808}]
[{'X': 0.7195548415184021, 'Y': 0.6537342071533203, 'Z': -6.472036329796538e-05}, {'X': 0.6622239947319031, 'Y': 0.6152522563934326, 'Z': -0.030781731009483337}, {'X': 0.6211982369422913, 'Y': 0.5568767786026001, 'Z': -0.04904603585600853}, {'X': 0.5915223360061646, 'Y': 0.5063425898551941, 'Z': -0.06834054738283157}, {'X': 0.5641310811042786, 'Y': 0.47297438979148865, 'Z': -0.0898548886179924}, {'X': 0.6781607866287231, 'Y': 0.44985172152519226, 'Z': -0.02830727957189083}, {'X': 0.657731294631958, 'Y': 0.37420496344566345, 'Z': -0.05567126348614693}, {'X': 0.6448997855186462, 'Y': 0.32720547914505005, 'Z': -0.08376496285200119}, {'X': 0.6320509910583496, 'Y': 0.2883734107017517, 'Z': -0.10152578353881836}, {'X': 0.7200092077255249, 'Y': 0.4447299838066101, 'Z': -0.03373977169394493}, {'X': 0.7271301746368408, 'Y': 0.3564746677875519, 'Z': -0.04679989069700241}, {'X': 0.7271971702575684, 'Y': 0.2996501922607422, 'Z': -0.07164116203784943}, {'X': 0.7249407768249512, 'Y': 0.2555253505706787, 'Z': -0.09180957078933716}, {'X': 0.7566251754760742, 'Y': 0.46193739771842957, 'Z': -0.04377508908510208}, {'X': 0.7742691040039062, 'Y': 0.38195616006851196, 'Z': -0.06101461872458458}, {'X': 0.778559148311615, 'Y': 0.3311389982700348, 'Z': -0.08416904509067535}, {'X': 0.7780255675315857, 'Y': 0.28866469860076904, 'Z': -0.1007165014743805}, {'X': 0.7891988754272461, 'Y': 0.49552440643310547, 'Z': -0.057466283440589905}, {'X': 0.8167295455932617, 'Y': 0.44214311242103577, 'Z': -0.08093218505382538}, {'X': 0.8287236094474792, 'Y': 0.4043322503566742, 'Z': -0.09886471927165985}, {'X': 0.8358200192451477, 'Y': 0.36861616373062134, 'Z': -0.11060648411512375}]
[{'X': 0.7162654995918274, 'Y': 0.6476244330406189, 'Z': -5.0675775128183886e-05}, {'X': 0.6592220664024353, 'Y': 0.6077905893325806, 'Z': -0.027462949976325035}, {'X': 0.6198983788490295, 'Y': 0.5456074476242065, 'Z': -0.044349491596221924}, {'X': 0.5954043865203857, 'Y': 0.49235695600509644, 'Z': -0.0627206489443779}, {'X': 0.5707294940948486, 'Y': 0.45804113149642944, 'Z': -0.08237576484680176}, {'X': 0.6764078736305237, 'Y': 0.4445297122001648, 'Z': -0.026091931387782097}, {'X': 0.6608952283859253, 'Y': 0.3701971471309662, 'Z': -0.05505357310175896}, {'X': 0.6511226892471313, 'Y': 0.3261268138885498, 'Z': -0.0810369923710823}, {'X': 0.6423506140708923, 'Y': 0.29126667976379395, 'Z': -0.0973324254155159}, {'X': 0.7162764072418213, 'Y': 0.4429920017719269, 'Z': -0.034159015864133835}, {'X': 0.724096417427063, 'Y': 0.35589882731437683, 'Z': -0.05146836116909981}, {'X': 0.7270524501800537, 'Y': 0.3002779483795166, 'Z': -0.07782699912786484}, {'X': 0.7285693883895874, 'Y': 0.2542141079902649, 'Z': -0.09853678196668625}, {'X': 0.7501059174537659, 'Y': 0.46488121151924133, 'Z': -0.04576359689235687}, {'X': 0.7693275809288025, 'Y': 0.3919280171394348, 'Z': -0.06698449701070786}, {'X': 0.7763568758964539, 'Y': 0.3467365801334381, 'Z': -0.09019724279642105}, {'X': 0.7776273488998413, 'Y': 0.3068869113922119, 'Z': -0.10713495314121246}, {'X': 0.7796900868415833, 'Y': 0.5023113489151001, 'Z': -0.06089151278138161}, {'X': 0.8049361705780029, 'Y': 0.45499566197395325, 'Z': -0.08967186510562897}, {'X': 0.8150032758712769, 'Y': 0.42210984230041504, 'Z': -0.11227825284004211}, {'X': 0.8184707760810852, 'Y': 0.3898302912712097, 'Z': -0.1260715276002884}]
[{'X': 0.7120854258537292, 'Y': 0.6401404142379761, 'Z': -4.644173168344423e-05}, {'X': 0.6558455228805542, 'Y': 0.6060003042221069, 'Z': -0.01986776664853096}, {'X': 0.6229318976402283, 'Y': 0.5389600396156311, 'Z': -0.032244112342596054}, {'X': 0.6047995090484619, 'Y': 0.4829341471195221, 'Z': -0.049139246344566345}, {'X': 0.5781835317611694, 'Y': 0.44348087906837463, 'Z': -0.06748179346323013}, {'X': 0.6752484440803528, 'Y': 0.44852539896965027, 'Z': -0.00902197789400816}, {'X': 0.6599031090736389, 'Y': 0.37658393383026123, 'Z': -0.02579892985522747}, {'X': 0.6491338014602661, 'Y': 0.33173808455467224, 'Z': -0.043030958622694016}, {'X': 0.6403253674507141, 'Y': 0.29358839988708496, 'Z': -0.05643138289451599}, {'X': 0.7108508944511414, 'Y': 0.44492271542549133, 'Z': -0.020646177232265472}, {'X': 0.7169077396392822, 'Y': 0.36218369007110596, 'Z': -0.030501194298267365}, {'X': 0.7203035950660706, 'Y': 0.3072185516357422, 'Z': -0.04991437494754791}, {'X': 0.7233891487121582, 'Y': 0.2632390260696411, 'Z': -0.06736821681261063}, {'X': 0.7398426532745361, 'Y': 0.4599272310733795, 'Z': -0.035917218774557114}, {'X': 0.7510511875152588, 'Y': 0.38371729850769043, 'Z': -0.04898909479379654}, {'X': 0.755185067653656, 'Y': 0.3327077031135559, 'Z': -0.07133420556783676}, {'X': 0.7563616037368774, 'Y': 0.28859010338783264, 'Z': -0.08968422561883926}, {'X': 0.7664608955383301, 'Y': 0.4900471866130829, 'Z': -0.05459534749388695}, {'X': 0.7739213109016418, 'Y': 0.4315371811389923, 'Z': -0.07379437983036041}, {'X': 0.7735334634780884, 'Y': 0.39009779691696167, 'Z': -0.0921761691570282}, {'X': 0.7696216702461243, 'Y': 0.3504749536514282, 'Z': -0.10545115917921066}]
[{'X': 0.7041451930999756, 'Y': 0.6466467976570129, 'Z': -7.54521825001575e-05}, {'X': 0.650752067565918, 'Y': 0.6078873872756958, 'Z': -0.012006801553070545}, {'X': 0.6239303350448608, 'Y': 0.5351769328117371, 'Z': -0.019741659983992577}, {'X': 0.6142706871032715, 'Y': 0.4789429306983948, 'Z': -0.03278964385390282}, {'X': 0.5958263874053955, 'Y': 0.4371156096458435, 'Z': -0.04679141566157341}, {'X': 0.6698447465896606, 'Y': 0.4544282555580139, 'Z': -0.00968321692198515}, {'X': 0.6609330177307129, 'Y': 0.37840795516967773, 'Z': -0.027070991694927216}, {'X': 0.652766764163971, 'Y': 0.33072036504745483, 'Z': -0.04569327086210251}, {'X': 0.6439311504364014, 'Y': 0.29098114371299744, 'Z': -0.06037260219454765}, {'X': 0.7047776579856873, 'Y': 0.45297107100486755, 'Z': -0.024672003462910652}, {'X': 0.714205801486969, 'Y': 0.3700818717479706, 'Z': -0.03910089656710625}, {'X': 0.7169045805931091, 'Y': 0.31766384840011597, 'Z': -0.0614040270447731}, {'X': 0.7178323268890381, 'Y': 0.27800992131233215, 'Z': -0.08128196001052856}, {'X': 0.7331263422966003, 'Y': 0.46921688318252563, 'Z': -0.04239267855882645}, {'X': 0.7448716759681702, 'Y': 0.3914147615432739, 'Z': -0.05838816985487938}, {'X': 0.7448047995567322, 'Y': 0.3422069847583771, 'Z': -0.08348668366670609}, {'X': 0.7413573265075684, 'Y': 0.30324506759643555, 'Z': -0.10563576221466064}, {'X': 0.7590802907943726, 'Y': 0.49887630343437195, 'Z': -0.06240769848227501}, {'X': 0.7638484835624695, 'Y': 0.43597090244293213, 'Z': -0.08411969244480133}, {'X': 0.7602472305297852, 'Y': 0.3950831890106201, 'Z': -0.1056218221783638}, {'X': 0.7537141442298889, 'Y': 0.35972338914871216, 'Z': -0.12387074530124664}]
[{'X': 0.6914513111114502, 'Y': 0.6324326395988464, 'Z': -2.002654582611285e-05}, {'X': 0.6428599953651428, 'Y': 0.6034826636314392, 'Z': -0.021650781854987144}, {'X': 0.6255230903625488, 'Y': 0.5271492600440979, 'Z': -0.03599868714809418}, {'X': 0.6222325563430786, 'Y': 0.4713974595069885, 'Z': -0.05138097330927849}, {'X': 0.6026735305786133, 'Y': 0.42688751220703125, 'Z': -0.07027891278266907}, {'X': 0.668666422367096, 'Y': 0.476093590259552, 'Z': -0.031448088586330414}, {'X': 0.6643424034118652, 'Y': 0.41378429532051086, 'Z': -0.0546354316174984}, {'X': 0.6608017086982727, 'Y': 0.37589800357818604, 'Z': -0.07317809760570526}, {'X': 0.6561328172683716, 'Y': 0.34782397747039795, 'Z': -0.08654187619686127}, {'X': 0.7035616040229797, 'Y': 0.48212897777557373, 'Z': -0.043536074459552765}, {'X': 0.7084096670150757, 'Y': 0.41350892186164856, 'Z': -0.06640578806400299}, {'X': 0.7132208347320557, 'Y': 0.36996352672576904, 'Z': -0.08389048278331757}, {'X': 0.7158957123756409, 'Y': 0.3362528085708618, 'Z': -0.09539852291345596}, {'X': 0.7331879138946533, 'Y': 0.5085475444793701, 'Z': -0.05917789041996002}, {'X': 0.7418503761291504, 'Y': 0.4487914741039276, 'Z': -0.08639762550592422}, {'X': 0.7426552772521973, 'Y': 0.41044262051582336, 'Z': -0.10262516885995865}, {'X': 0.7385104894638062, 'Y': 0.38064369559288025, 'Z': -0.11407680064439774}, {'X': 0.7575665712356567, 'Y': 0.5484753847122192, 'Z': -0.07649249583482742}, {'X': 0.747589647769928, 'Y': 0.5234420895576477, 'Z': -0.11380474269390106}, {'X': 0.7275687456130981, 'Y': 0.5363949537277222, 'Z': -0.1231195330619812}, {'X': 0.7101574540138245, 'Y': 0.5537775158882141, 'Z': -0.12320172786712646}]
[{'X': 0.707706868648529, 'Y': 0.672406017780304, 'Z': 2.9085549613228068e-05}, {'X': 0.6609594225883484, 'Y': 0.6329711079597473, 'Z': -0.027112901210784912}, {'X': 0.6431798338890076, 'Y': 0.5619715452194214, 'Z': -0.04502108320593834}, {'X': 0.6521764397621155, 'Y': 0.5143051743507385, 'Z': -0.0609857514500618}, {'X': 0.6513372659683228, 'Y': 0.48713693022727966, 'Z': -0.07846391201019287}, {'X': 0.6553535461425781, 'Y': 0.5330981612205505, 'Z': -0.046677056699991226}, {'X': 0.6459482312202454, 'Y': 0.4947427213191986, 'Z': -0.08040682971477509}, {'X': 0.6307012438774109, 'Y': 0.46855148673057556, 'Z': -0.10708291828632355}, {'X': 0.6114562153816223, 'Y': 0.44842493534088135, 'Z': -0.12271654605865479}, {'X': 0.6830292344093323, 'Y': 0.5356837511062622, 'Z': -0.05207844823598862}, {'X': 0.676225483417511, 'Y': 0.492240846157074, 'Z': -0.08826113492250443}, {'X': 0.6652970314025879, 'Y': 0.4690019488334656, 'Z': -0.11449229717254639}, {'X': 0.6512606739997864, 'Y': 0.4554663300514221, 'Z': -0.13547608256340027}, {'X': 0.7097992300987244, 'Y': 0.547925591468811, 'Z': -0.061554305255413055}, {'X': 0.701816201210022, 'Y': 0.5007193684577942, 'Z': -0.10186197608709335}, {'X': 0.6884841322898865, 'Y': 0.47833317518234253, 'Z': -0.12100503593683243}, {'X': 0.6745328307151794, 'Y': 0.4644239544868469, 'Z': -0.13382644951343536}, {'X': 0.7341532111167908, 'Y': 0.5693942904472351, 'Z': -0.07368243485689163}, {'X': 0.7175958156585693, 'Y': 0.5390625, 'Z': -0.10806697607040405}, {'X': 0.700878918170929, 'Y': 0.5507907867431641, 'Z': -0.11657827347517014}, {'X': 0.687616229057312, 'Y': 0.5645581483840942, 'Z': -0.1240883395075798}]
[{'X': 0.6869768500328064, 'Y': 0.6358978748321533, 'Z': -1.8109281882061623e-05}, {'X': 0.644412636756897, 'Y': 0.6025413274765015, 'Z': -0.009484468959271908}, {'X': 0.6281534433364868, 'Y': 0.5292402505874634, 'Z': -0.019076339900493622}, {'X': 0.6176592111587524, 'Y': 0.47696948051452637, 'Z': -0.030355773866176605}, {'X': 0.5930429100990295, 'Y': 0.43931347131729126, 'Z': -0.04786274954676628}, {'X': 0.6613003611564636, 'Y': 0.4709949791431427, 'Z': -0.03757498413324356}, {'X': 0.6545928120613098, 'Y': 0.4003409445285797, 'Z': -0.06338291615247726}, {'X': 0.6466513872146606, 'Y': 0.35360658168792725, 'Z': -0.08159458637237549}, {'X': 0.6367298364639282, 'Y': 0.3115091919898987, 'Z': -0.09368874132633209}, {'X': 0.693871259689331, 'Y': 0.47558367252349854, 'Z': -0.05704015865921974}, {'X': 0.6955649256706238, 'Y': 0.3986497223377228, 'Z': -0.09080065786838531}, {'X': 0.6931031346321106, 'Y': 0.3425002694129944, 'Z': -0.11832083016633987}, {'X': 0.6899043917655945, 'Y': 0.292868971824646, 'Z': -0.1421273797750473}, {'X': 0.7202321290969849, 'Y': 0.504278302192688, 'Z': -0.07654700428247452}, {'X': 0.720805287361145, 'Y': 0.4478064179420471, 'Z': -0.1226557195186615}, {'X': 0.7095054984092712, 'Y': 0.42247408628463745, 'Z': -0.1530097872018814}, {'X': 0.6962353587150574, 'Y': 0.4027969539165497, 'Z': -0.1734013706445694}, {'X': 0.7389415502548218, 'Y': 0.5429404377937317, 'Z': -0.09474163502454758}, {'X': 0.7135101556777954, 'Y': 0.5344277024269104, 'Z': -0.14504750072956085}, {'X': 0.6888100504875183, 'Y': 0.5594370365142822, 'Z': -0.1566275805234909}, {'X': 0.6708583235740662, 'Y': 0.5834412574768066, 'Z': -0.16096682846546173}]
[{'X': 0.6983839869499207, 'Y': 0.642825722694397, 'Z': -7.49679702494177e-06}, {'X': 0.6540814638137817, 'Y': 0.6181954741477966, 'Z': -0.013797934167087078}, {'X': 0.6310606002807617, 'Y': 0.5404114723205566, 'Z': -0.024535860866308212}, {'X': 0.6178851127624512, 'Y': 0.48356470465660095, 'Z': -0.03750312328338623}, {'X': 0.5931671261787415, 'Y': 0.4446871876716614, 'Z': -0.056967876851558685}, {'X': 0.6606686115264893, 'Y': 0.48513492941856384, 'Z': -0.039402734488248825}, {'X': 0.6550880074501038, 'Y': 0.4082443118095398, 'Z': -0.0586698018014431}, {'X': 0.6474125385284424, 'Y': 0.3591991364955902, 'Z': -0.07278382033109665}, {'X': 0.6380343437194824, 'Y': 0.3163488507270813, 'Z': -0.0852585881948471}, {'X': 0.6942111253738403, 'Y': 0.48715028166770935, 'Z': -0.055820781737565994}, {'X': 0.6921725273132324, 'Y': 0.4092645049095154, 'Z': -0.08486668765544891}, {'X': 0.686747133731842, 'Y': 0.3592557907104492, 'Z': -0.10833688825368881}, {'X': 0.6797295212745667, 'Y': 0.3167526125907898, 'Z': -0.12729981541633606}, {'X': 0.7254027724266052, 'Y': 0.5119925141334534, 'Z': -0.07399271428585052}, {'X': 0.719021201133728, 'Y': 0.4427296221256256, 'Z': -0.1186404600739479}, {'X': 0.6982741951942444, 'Y': 0.4259730577468872, 'Z': -0.15227803587913513}, {'X': 0.675683319568634, 'Y': 0.4175494313240051, 'Z': -0.17288576066493988}, {'X': 0.7523542046546936, 'Y': 0.5463340282440186, 'Z': -0.09080377221107483}, {'X': 0.7279583811759949, 'Y': 0.523033082485199, 'Z': -0.1464720368385315}, {'X': 0.7030591368675232, 'Y': 0.5448395013809204, 'Z': -0.16588978469371796}, {'X': 0.6834840178489685, 'Y': 0.5698802471160889, 'Z': -0.17262417078018188}]
