[{'X': 0.8331477046012878, 'Y': 0.6331179141998291, 'Z': -5.1682400226127356e-05}, {'X': 0.784683346748352, 'Y': 0.6176192760467529, 'Z': -0.04814094305038452}, {'X': 0.7466281652450562, 'Y': 0.5593109130859375, 'Z': -0.0651482492685318}, {'X': 0.7253693342208862, 'Y': 0.5022099614143372, 'Z': -0.07971769571304321}, {'X': 0.7027322053909302, 'Y': 0.4649753272533417, 'Z': -0.09575453400611877}, {'X': 0.7870410680770874, 'Y': 0.465188205242157, 'Z': -0.033498261123895645}, {'X': 0.7681921720504761, 'Y': 0.3900814354419708, 'Z': -0.055252205580472946}, {'X': 0.7575084567070007, 'Y': 0.3416398763656616, 'Z': -0.0788455680012703}, {'X': 0.7515313625335693, 'Y': 0.3001388609409332, 'Z': -0.09822259098291397}, {'X': 0.8249849677085876, 'Y': 0.4574460983276367, 'Z': -0.02690032683312893}, {'X': 0.8308238983154297, 'Y': 0.37074950337409973, 'Z': -0.035984329879283905}, {'X': 0.8392126560211182, 'Y': 0.3189777135848999, 'Z': -0.058034926652908325}, {'X': 0.8496463298797607, 'Y': 0.27477139234542847, 'Z': -0.07603636384010315}, {'X': 0.8587351441383362, 'Y': 0.4717920124530792, 'Z': -0.02560722827911377}, {'X': 0.8710713982582092, 'Y': 0.3951667547225952, 'Z': -0.039415691047906876}, {'X': 0.8809115290641785, 'Y': 0.3540079891681671, 'Z': -0.06231266260147095}, {'X': 0.8905412554740906, 'Y': 0.31982627511024475, 'Z': -0.08224763721227646}, {'X': 0.8905279636383057, 'Y': 0.5008679032325745, 'Z': -0.029591573402285576}, {'X': 0.9096506834030151, 'Y': 0.45271846652030945, 'Z': -0.051776181906461716}, {'X': 0.9216234683990479, 'Y': 0.4269721806049347, 'Z': -0.07442183792591095}, {'X': 0.931613028049469, 'Y': 0.4038372039794922, 'Z': -0.09214206784963608}]
[{'X': 0.8300595283508301, 'Y': 0.6313992142677307, 'Z': -8.353054727194831e-05}, {'X': 0.7813319563865662, 'Y': 0.6170433163642883, 'Z': -0.050698526203632355}, {'X': 0.7438485026359558, 'Y': 0.5604721307754517, 'Z': -0.07364309579133987}, {'X': 0.7225688099861145, 'Y': 0.5059148073196411, 'Z': -0.09226632863283157}, {'X': 0.7015408873558044, 'Y': 0.4667804539203644, 'Z': -0.11065923422574997}, {'X': 0.7861436605453491, 'Y': 0.4650283455848694, 'Z': -0.04645255580544472}, {'X': 0.7690483927726746, 'Y': 0.3938695788383484, 'Z': -0.0716649517416954}, {'X': 0.76036137342453, 'Y': 0.3448430001735687, 'Z': -0.09641465544700623}, {'X': 0.7553972005844116, 'Y': 0.3037537932395935, 'Z': -0.11588625609874725}, {'X': 0.8235996961593628, 'Y': 0.45707380771636963, 'Z': -0.040643200278282166}, {'X': 0.8277537822723389, 'Y': 0.37255364656448364, 'Z': -0.05695045739412308}, {'X': 0.8363276720046997, 'Y': 0.3181861937046051, 'Z': -0.08042442053556442}, {'X': 0.8476302623748779, 'Y': 0.27324604988098145, 'Z': -0.0999365746974945}, {'X': 0.8573914766311646, 'Y': 0.4731806516647339, 'Z': -0.038611698895692825}, {'X': 0.8710343241691589, 'Y': 0.40002939105033875, 'Z': -0.060561612248420715}, {'X': 0.8819060325622559, 'Y': 0.35711073875427246, 'Z': -0.08676941692829132}, {'X': 0.8915396332740784, 'Y': 0.3221025764942169, 'Z': -0.10959849506616592}, {'X': 0.8889837861061096, 'Y': 0.5038739442825317, 'Z': -0.042250484228134155}, {'X': 0.9063204526901245, 'Y': 0.4570733308792114, 'Z': -0.06826399266719818}, {'X': 0.9174465537071228, 'Y': 0.4314495027065277, 'Z': -0.09291579574346542}, {'X': 0.9262852668762207, 'Y': 0.40848255157470703, 'Z': -0.11264903098344803}]
[{'X': 0.8288403749465942, 'Y': 0.6280634999275208, 'Z': -5.50837539776694e-05}, {'X': 0.7780402898788452, 'Y': 0.6144428253173828, 'Z': -0.05071575939655304}, {'X': 0.7431188821792603, 'Y': 0.5590906143188477, 'Z': -0.07172838598489761}, {'X': 0.724905252456665, 'Y': 0.5033769011497498, 'Z': -0.08923359215259552}, {'X': 0.7026805877685547, 'Y': 0.46331337094306946, 'Z': -0.10657676309347153}, {'X': 0.7845667004585266, 'Y': 0.46828562021255493, 'Z': -0.04600942134857178}, {'X': 0.7682768702507019, 'Y': 0.39303383231163025, 'Z': -0.07148044556379318}, {'X': 0.7590489983558655, 'Y': 0.3434843420982361, 'Z': -0.09568895399570465}, {'X': 0.7540732026100159, 'Y': 0.3030403256416321, 'Z': -0.11413831263780594}, {'X': 0.8218540549278259, 'Y': 0.46034055948257446, 'Z': -0.03748536482453346}, {'X': 0.8292244076728821, 'Y': 0.37518054246902466, 'Z': -0.04969679191708565}, {'X': 0.8372688889503479, 'Y': 0.3232349157333374, 'Z': -0.06932895630598068}, {'X': 0.8474880456924438, 'Y': 0.2790721654891968, 'Z': -0.08582895994186401}, {'X': 0.8552724719047546, 'Y': 0.4750072658061981, 'Z': -0.03407180309295654}, {'X': 0.8741331100463867, 'Y': 0.4003787934780121, 'Z': -0.05042779818177223}, {'X': 0.8893594741821289, 'Y': 0.35675638914108276, 'Z': -0.0713844820857048}, {'X': 0.9024660587310791, 'Y': 0.32020968198776245, 'Z': -0.0906348004937172}, {'X': 0.8854402303695679, 'Y': 0.5042736530303955, 'Z': -0.035721585154533386}, {'X': 0.9076363444328308, 'Y': 0.4548654556274414, 'Z': -0.05747873708605766}, {'X': 0.9218590259552002, 'Y': 0.42654699087142944, 'Z': -0.07830365747213364}, {'X': 0.9344670176506042, 'Y': 0.4014032483100891, 'Z': -0.09347320348024368}]
[{'X': 0.8227559328079224, 'Y': 0.6289528012275696, 'Z': -6.173483416205272e-05}, {'X': 0.774874746799469, 'Y': 0.6119024753570557, 'Z': -0.04584604874253273}, {'X': 0.7397672533988953, 'Y': 0.5554304122924805, 'Z': -0.06513749063014984}, {'X': 0.7241235375404358, 'Y': 0.49481528997421265, 'Z': -0.08191612362861633}, {'X': 0.7076449990272522, 'Y': 0.45104461908340454, 'Z': -0.09803304821252823}, {'X': 0.7784717082977295, 'Y': 0.4632664620876312, 'Z': -0.04044704511761665}, {'X': 0.7660714387893677, 'Y': 0.3933252692222595, 'Z': -0.06406337022781372}, {'X': 0.760107696056366, 'Y': 0.34627240896224976, 'Z': -0.08846592903137207}, {'X': 0.7584885358810425, 'Y': 0.30870866775512695, 'Z': -0.10669119656085968}, {'X': 0.8167895078659058, 'Y': 0.45398372411727905, 'Z': -0.03407558798789978}, {'X': 0.8251070380210876, 'Y': 0.37187492847442627, 'Z': -0.0468519926071167}, {'X': 0.8330832719802856, 'Y': 0.3173409104347229, 'Z': -0.06519116461277008}, {'X': 0.8439711332321167, 'Y': 0.27243679761886597, 'Z': -0.08241120725870132}, {'X': 0.8509086966514587, 'Y': 0.4688335359096527, 'Z': -0.03255234658718109}, {'X': 0.8738679885864258, 'Y': 0.40738242864608765, 'Z': -0.05361200496554375}, {'X': 0.892259955406189, 'Y': 0.37612399458885193, 'Z': -0.07947756350040436}, {'X': 0.9087888598442078, 'Y': 0.3508268892765045, 'Z': -0.10208621621131897}, {'X': 0.8812180161476135, 'Y': 0.49757468700408936, 'Z': -0.03585229814052582}, {'X': 0.9024783372879028, 'Y': 0.45294511318206787, 'Z': -0.05735265091061592}, {'X': 0.918593168258667, 'Y': 0.42860257625579834, 'Z': -0.0807054191827774}, {'X': 0.9334613084793091, 'Y': 0.40121012926101685, 'Z': -0.1017795205116272}]
[{'X': 0.8122431039810181, 'Y': 0.6322055459022522, 'Z': -6.143780774436891e-05}, {'X': 0.7647945880889893, 'Y': 0.6089484095573425, 'Z': -0.038100216537714005}, {'X': 0.733776330947876, 'Y': 0.5439123511314392, 'Z': -0.052186936140060425}, {'X': 0.7218824028968811, 'Y': 0.4808267652988434, 'Z': -0.0665331706404686}, {'X': 0.7076713442802429, 'Y': 0.43694639205932617, 'Z': -0.08070356398820877}, {'X': 0.7764207124710083, 'Y': 0.4651317000389099, 'Z': -0.023883797228336334}, {'X': 0.7695031762123108, 'Y': 0.3925403952598572, 'Z': -0.040308430790901184}, {'X': 0.7661988735198975, 'Y': 0.3444294333457947, 'Z': -0.057800326496362686}, {'X': 0.7658786177635193, 'Y': 0.30444014072418213, 'Z': -0.07060814648866653}, {'X': 0.8150855898857117, 'Y': 0.4609977602958679, 'Z': -0.022952165454626083}, {'X': 0.8260413408279419, 'Y': 0.37991052865982056, 'Z': -0.03565620258450508}, {'X': 0.8350977897644043, 'Y': 0.3262670040130615, 'Z': -0.05717993900179863}, {'X': 0.8467560410499573, 'Y': 0.28006118535995483, 'Z': -0.07471968233585358}, {'X': 0.8486952185630798, 'Y': 0.4768528640270233, 'Z': -0.026387875899672508}, {'X': 0.8746914267539978, 'Y': 0.4179001748561859, 'Z': -0.05248955264687538}, {'X': 0.8948264122009277, 'Y': 0.3966229259967804, 'Z': -0.08654692023992538}, {'X': 0.9117454886436462, 'Y': 0.3780207931995392, 'Z': -0.11233033984899521}, {'X': 0.8782644271850586, 'Y': 0.5031217932701111, 'Z': -0.033212751150131226}, {'X': 0.9000882506370544, 'Y': 0.4545767903327942, 'Z': -0.05487438291311264}, {'X': 0.9151672720909119, 'Y': 0.429756760597229, 'Z': -0.07818543165922165}, {'X': 0.9290334582328796, 'Y': 0.40290167927742004, 'Z': -0.10075300186872482}]
[{'X': 0.802031397819519, 'Y': 0.6353248357772827, 'Z': -5.622505705105141e-05}, {'X': 0.761677086353302, 'Y': 0.5989795327186584, 'Z': -0.042345430701971054}, {'X': 0.7370249032974243, 'Y': 0.5307925939559937, 'Z': -0.06372511386871338}, {'X': 0.7305530905723572, 'Y': 0.4700947403907776, 'Z': -0.08213397860527039}, {'X': 0.722602367401123, 'Y': 0.4284047484397888, 'Z': -0.09965663403272629}, {'X': 0.7730869054794312, 'Y': 0.4632483720779419, 'Z': -0.03878001496195793}, {'X': 0.7704871892929077, 'Y': 0.3973671793937683, 'Z': -0.054342079907655716}, {'X': 0.7718945145606995, 'Y': 0.3544701337814331, 'Z': -0.07129370421171188}, {'X': 0.7745233774185181, 'Y': 0.3178527355194092, 'Z': -0.08724736422300339}, {'X': 0.8102505803108215, 'Y': 0.47033682465553284, 'Z': -0.03706907853484154}, {'X': 0.8257940411567688, 'Y': 0.4051004648208618, 'Z': -0.05537506192922592}, {'X': 0.8405683040618896, 'Y': 0.36046066880226135, 'Z': -0.08464980125427246}, {'X': 0.8561671376228333, 'Y': 0.3205276131629944, 'Z': -0.11079341918230057}, {'X': 0.8411068916320801, 'Y': 0.49371233582496643, 'Z': -0.0376361608505249}, {'X': 0.8671163320541382, 'Y': 0.4443165361881256, 'Z': -0.06454667448997498}, {'X': 0.8874883651733398, 'Y': 0.42196816205978394, 'Z': -0.10022036731243134}, {'X': 0.9043101072311401, 'Y': 0.4001085162162781, 'Z': -0.12852010130882263}, {'X': 0.8682680130004883, 'Y': 0.5276097655296326, 'Z': -0.04136864095926285}, {'X': 0.8895472884178162, 'Y': 0.48740479350090027, 'Z': -0.06685267388820648}, {'X': 0.9038006663322449, 'Y': 0.4670267701148987, 'Z': -0.09095152467489243}, {'X': 0.9170429110527039, 'Y': 0.44567209482192993, 'Z': -0.11400842666625977}]
[{'X': 0.8018423318862915, 'Y': 0.6433138847351074, 'Z': -6.165167724248022e-05}, {'X': 0.7617129683494568, 'Y': 0.5919861793518066, 'Z': -0.01982349529862404}, {'X': 0.7428014874458313, 'Y': 0.5205281972885132, 'Z': -0.026351256296038628}, {'X': 0.743179976940155, 'Y': 0.46627646684646606, 'Z': -0.03593611717224121}, {'X': 0.7480342388153076, 'Y': 0.441325306892395, 'Z': -0.04500584304332733}, {'X': 0.7674244046211243, 'Y': 0.47771671414375305, 'Z': -0.0007767460192553699}, {'X': 0.7590745687484741, 'Y': 0.4215444326400757, 'Z': -0.00879470631480217}, {'X': 0.7562569379806519, 'Y': 0.394939124584198, 'Z': -0.02666047215461731}, {'X': 0.7584065198898315, 'Y': 0.3820505142211914, 'Z': -0.044030070304870605}, {'X': 0.7987526655197144, 'Y': 0.4785545766353607, 'Z': -0.0035760949831455946}, {'X': 0.7985471487045288, 'Y': 0.41472870111465454, 'Z': -0.007257829420268536}, {'X': 0.7962491512298584, 'Y': 0.3855997323989868, 'Z': -0.03086332604289055}, {'X': 0.8008639812469482, 'Y': 0.37167397141456604, 'Z': -0.05211390182375908}, {'X': 0.8304466605186462, 'Y': 0.4914703667163849, 'Z': -0.008730841800570488}, {'X': 0.8486055731773376, 'Y': 0.44124990701675415, 'Z': -0.015505298972129822}, {'X': 0.8571279048919678, 'Y': 0.4207982122898102, 'Z': -0.04065144807100296}, {'X': 0.8667140007019043, 'Y': 0.4087699055671692, 'Z': -0.06112643703818321}, {'X': 0.860818088054657, 'Y': 0.5141297578811646, 'Z': -0.017424117773771286}, {'X': 0.8839240074157715, 'Y': 0.4694661796092987, 'Z': -0.024102231487631798}, {'X': 0.9015973806381226, 'Y': 0.4427359402179718, 'Z': -0.03593667596578598}, {'X': 0.9197086691856384, 'Y': 0.4164126217365265, 'Z': -0.049153827130794525}]
[{'X': 0.7961874008178711, 'Y': 0.6539431810379028, 'Z': -8.768292900640517e-05}, {'X': 0.7634413242340088, 'Y': 0.5942424535751343, 'Z': -0.020398929715156555}, {'X': 0.7520231008529663, 'Y': 0.5117160677909851, 'Z': -0.02634620852768421}, {'X': 0.7475353479385376, 'Y': 0.4569680392742157, 'Z': -0.03118058666586876}, {'X': 0.7283943295478821, 'Y': 0.43082690238952637, 'Z': -0.03468117117881775}, {'X': 0.7843983173370361, 'Y': 0.4749971628189087, 'Z': -0.00918496586382389}, {'X': 0.7843093276023865, 'Y': 0.40453553199768066, 'Z': -0.024082360789179802}, {'X': 0.789463460445404, 'Y': 0.3681357800960541, 'Z': -0.039723969995975494}, {'X': 0.7964490056037903, 'Y': 0.34885382652282715, 'Z': -0.05041982978582382}, {'X': 0.8151469230651855, 'Y': 0.49281421303749084, 'Z': -0.011820190586149693}, {'X': 0.8375377655029297, 'Y': 0.45241838693618774, 'Z': -0.05027681961655617}, {'X': 0.8429738879203796, 'Y': 0.46270424127578735, 'Z': -0.09064915776252747}, {'X': 0.8443747758865356, 'Y': 0.48554423451423645, 'Z': -0.10954023152589798}, {'X': 0.8403010964393616, 'Y': 0.5215628147125244, 'Z': -0.014609688892960548}, {'X': 0.8592166900634766, 'Y': 0.5191876292228699, 'Z': -0.05682176351547241}, {'X': 0.8485379219055176, 'Y': 0.5544683337211609, 'Z': -0.0875377282500267}, {'X': 0.8383606672286987, 'Y': 0.5845717191696167, 'Z': -0.09365320950746536}, {'X': 0.8606909513473511, 'Y': 0.5574393272399902, 'Z': -0.015645554289221764}, {'X': 0.8733535408973694, 'Y': 0.5586385726928711, 'Z': -0.04964127391576767}, {'X': 0.861199676990509, 'Y': 0.577991783618927, 'Z': -0.06752591580152512}, {'X': 0.8489965200424194, 'Y': 0.5948631763458252, 'Z': -0.06837735325098038}]
[{'X': 0.8064659833908081, 'Y': 0.6395469307899475, 'Z': -5.2770985348615795e-05}, {'X': 0.769533634185791, 'Y': 0.5932694673538208, 'Z': -0.020178811624646187}, {'X': 0.7535861730575562, 'Y': 0.5186471939086914, 'Z': -0.02094125933945179}, {'X': 0.744178056716919, 'Y': 0.462430864572525, 'Z': -0.022903606295585632}, {'X': 0.7245292067527771, 'Y': 0.43364250659942627, 'Z': -0.027370529249310493}, {'X': 0.7776762247085571, 'Y': 0.48023608326911926, 'Z': 0.0022788795176893473}, {'X': 0.7793399691581726, 'Y': 0.40898698568344116, 'Z': -0.013698166236281395}, {'X': 0.7838661670684814, 'Y': 0.3807255029678345, 'Z': -0.026463164016604424}, {'X': 0.7900758981704712, 'Y': 0.36970049142837524, 'Z': -0.030517250299453735}, {'X': 0.8077952861785889, 'Y': 0.49162882566452026, 'Z': 0.0024156710132956505}, {'X': 0.8188159465789795, 'Y': 0.44858163595199585, 'Z': -0.04261359944939613}, {'X': 0.8122668862342834, 'Y': 0.4814726412296295, 'Z': -0.07892656326293945}, {'X': 0.8072977066040039, 'Y': 0.5148409605026245, 'Z': -0.08937431126832962}, {'X': 0.8358228802680969, 'Y': 0.5107480883598328, 'Z': 0.0015748230507597327}, {'X': 0.848430335521698, 'Y': 0.4849916398525238, 'Z': -0.04063040018081665}, {'X': 0.8364310264587402, 'Y': 0.5240583419799805, 'Z': -0.06750442832708359}, {'X': 0.8272460103034973, 'Y': 0.5551156401634216, 'Z': -0.06907820701599121}, {'X': 0.8600069284439087, 'Y': 0.5349991917610168, 'Z': 0.001749903429299593}, {'X': 0.883076548576355, 'Y': 0.500128448009491, 'Z': -0.027915675193071365}, {'X': 0.8872370719909668, 'Y': 0.49096015095710754, 'Z': -0.045196425169706345}, {'X': 0.8888794183731079, 'Y': 0.48366305232048035, 'Z': -0.048390038311481476}]
[{'X': 0.8120594024658203, 'Y': 0.6402190327644348, 'Z': -9.121974289882928e-05}, {'X': 0.776059627532959, 'Y': 0.5896517634391785, 'Z': -0.007027380168437958}, {'X': 0.7573215365409851, 'Y': 0.5141244530677795, 'Z': 0.003809988498687744}, {'X': 0.7480398416519165, 'Y': 0.458728164434433, 'Z': 0.014363071881234646}, {'X': 0.727091908454895, 'Y': 0.43874219059944153, 'Z': 0.022840185090899467}, {'X': 0.7711718082427979, 'Y': 0.48347702622413635, 'Z': 0.027451245114207268}, {'X': 0.7652486562728882, 'Y': 0.4133976101875305, 'Z': 0.012368773110210896}, {'X': 0.7681397199630737, 'Y': 0.3921508491039276, 'Z': -0.0022122724913060665}, {'X': 0.7724273800849915, 'Y': 0.3903288245201111, 'Z': -0.0075792777352035046}, {'X': 0.800328254699707, 'Y': 0.48936936259269714, 'Z': 0.027003591880202293}, {'X': 0.8020172715187073, 'Y': 0.44467368721961975, 'Z': -0.0100326556712389}, {'X': 0.804090142250061, 'Y': 0.4827684462070465, 'Z': -0.03935471177101135}, {'X': 0.802809476852417, 'Y': 0.5169583559036255, 'Z': -0.045404624193906784}, {'X': 0.8274165391921997, 'Y': 0.502842128276825, 'Z': 0.02492159977555275}, {'X': 0.8343635201454163, 'Y': 0.47651946544647217, 'Z': -0.00885730516165495}, {'X': 0.8336437940597534, 'Y': 0.5221532583236694, 'Z': -0.03278081491589546}, {'X': 0.8298826813697815, 'Y': 0.5542106628417969, 'Z': -0.034010645002126694}, {'X': 0.8543363809585571, 'Y': 0.5204167366027832, 'Z': 0.02445206046104431}, {'X': 0.8663530349731445, 'Y': 0.4836733937263489, 'Z': 0.0034886898938566446}, {'X': 0.8663510680198669, 'Y': 0.49200963973999023, 'Z': -0.005437043495476246}, {'X': 0.8624725341796875, 'Y': 0.4998023808002472, 'Z': -0.0031816773116588593}]
[{'X': 0.8098145127296448, 'Y': 0.6430127620697021, 'Z': -6.923482578713447e-05}, {'X': 0.7717214822769165, 'Y': 0.5841693878173828, 'Z': -0.0017854683101177216}, {'X': 0.7543612718582153, 'Y': 0.5074094533920288, 'Z': 0.015050082467496395}, {'X': 0.7452099323272705, 'Y': 0.45999541878700256, 'Z': 0.026224549859762192}, {'X': 0.7301011085510254, 'Y': 0.4499037563800812, 'Z': 0.038669779896736145}, {'X': 0.7645736336708069, 'Y': 0.4783664047718048, 'Z': 0.06605299562215805}, {'X': 0.7606130242347717, 'Y': 0.41856977343559265, 'Z': 0.054688818752765656}, {'X': 0.749483585357666, 'Y': 0.40632402896881104, 'Z': 0.03651560842990875}, {'X': 0.7381078004837036, 'Y': 0.40895286202430725, 'Z': 0.026181837543845177}, {'X': 0.7899787425994873, 'Y': 0.48049771785736084, 'Z': 0.06423629075288773}, {'X': 0.789573609828949, 'Y': 0.421056866645813, 'Z': 0.04303907975554466}, {'X': 0.7821768522262573, 'Y': 0.44149237871170044, 'Z': 0.009132150560617447}, {'X': 0.7757423520088196, 'Y': 0.4692920744419098, 'Z': -0.0009122750489041209}, {'X': 0.815268337726593, 'Y': 0.49191781878471375, 'Z': 0.058059047907590866}, {'X': 0.8212597370147705, 'Y': 0.44336289167404175, 'Z': 0.039736684411764145}, {'X': 0.8163432478904724, 'Y': 0.4796030521392822, 'Z': 0.012990114279091358}, {'X': 0.8127423524856567, 'Y': 0.5101933479309082, 'Z': 0.005863375961780548}, {'X': 0.8432701826095581, 'Y': 0.5089848637580872, 'Z': 0.05155336484313011}, {'X': 0.8478935956954956, 'Y': 0.4668590724468231, 'Z': 0.03795738145709038}, {'X': 0.8415464162826538, 'Y': 0.4865172207355499, 'Z': 0.026255078613758087}, {'X': 0.8372494578361511, 'Y': 0.5085792541503906, 'Z': 0.02407684363424778}]
