[{'X': 0.7030863761901855, 'Y': 0.7151466608047485, 'Z': -4.247038668836467e-05}, {'X': 0.6458975672721863, 'Y': 0.69562166929245, 'Z': 0.0017307677771896124}, {'X': 0.6086487770080566, 'Y': 0.6173717975616455, 'Z': 0.006301172077655792}, {'X': 0.5864806175231934, 'Y': 0.5433568358421326, 'Z': 0.00469598826020956}, {'X': 0.5615705847740173, 'Y': 0.4991566836833954, 'Z': -0.0011056484654545784}, {'X': 0.6510486602783203, 'Y': 0.4973219931125641, 'Z': 0.04269201681017876}, {'X': 0.6379754543304443, 'Y': 0.4076351523399353, 'Z': 0.04538008198142052}, {'X': 0.6319167613983154, 'Y': 0.3515816330909729, 'Z': 0.036274660378694534}, {'X': 0.6268547773361206, 'Y': 0.3010307252407074, 'Z': 0.02576620690524578}, {'X': 0.6866067051887512, 'Y': 0.4843459129333496, 'Z': 0.03373342007398605}, {'X': 0.6814699172973633, 'Y': 0.3853326439857483, 'Z': 0.041160911321640015}, {'X': 0.6778107285499573, 'Y': 0.31696248054504395, 'Z': 0.023903749883174896}, {'X': 0.6771232485771179, 'Y': 0.2628644108772278, 'Z': 0.008180331438779831}, {'X': 0.7222180366516113, 'Y': 0.49226367473602295, 'Z': 0.021716905757784843}, {'X': 0.7193293571472168, 'Y': 0.39330965280532837, 'Z': 0.02569488435983658}, {'X': 0.7170758843421936, 'Y': 0.3297276496887207, 'Z': 0.012732177972793579}, {'X': 0.7155776619911194, 'Y': 0.27770912647247314, 'Z': 0.0020208237692713737}, {'X': 0.7573369741439819, 'Y': 0.5183204412460327, 'Z': 0.009018629789352417}, {'X': 0.7611289620399475, 'Y': 0.43518611788749695, 'Z': 0.008600717410445213}, {'X': 0.7618298530578613, 'Y': 0.38109469413757324, 'Z': 0.0021458088885992765}, {'X': 0.7592008113861084, 'Y': 0.33258193731307983, 'Z': -0.0035809536930173635}]
[{'X': 0.7044427394866943, 'Y': 0.7186015248298645, 'Z': -4.8347679694416e-05}, {'X': 0.6466169357299805, 'Y': 0.6940832138061523, 'Z': 0.0010386869544163346}, {'X': 0.6077512502670288, 'Y': 0.617978036403656, 'Z': 0.003165744710713625}, {'X': 0.5834771990776062, 'Y': 0.5464949607849121, 'Z': -0.000993839930742979}, {'X': 0.5587674975395203, 'Y': 0.5036046504974365, 'Z': -0.008413618430495262}, {'X': 0.6496990323066711, 'Y': 0.4972130060195923, 'Z': 0.03690902143716812}, {'X': 0.6353355646133423, 'Y': 0.4063546061515808, 'Z': 0.040944453328847885}, {'X': 0.6301735043525696, 'Y': 0.3495680093765259, 'Z': 0.03504232317209244}, {'X': 0.6268420219421387, 'Y': 0.2991698980331421, 'Z': 0.027487091720104218}, {'X': 0.6864531636238098, 'Y': 0.4830724000930786, 'Z': 0.030583612620830536}, {'X': 0.6825298070907593, 'Y': 0.3806551396846771, 'Z': 0.03916797786951065}, {'X': 0.6810828447341919, 'Y': 0.3130335509777069, 'Z': 0.0251166932284832}, {'X': 0.6822161674499512, 'Y': 0.25926217436790466, 'Z': 0.01277802512049675}, {'X': 0.7216611504554749, 'Y': 0.490428626537323, 'Z': 0.021709203720092773}, {'X': 0.7202882170677185, 'Y': 0.38781800866127014, 'Z': 0.02897632122039795}, {'X': 0.7182959318161011, 'Y': 0.3240247964859009, 'Z': 0.02120121568441391}, {'X': 0.7173948287963867, 'Y': 0.2720505893230438, 'Z': 0.013062087818980217}, {'X': 0.7554702758789062, 'Y': 0.5148841738700867, 'Z': 0.012016856111586094}, {'X': 0.7593161463737488, 'Y': 0.4323001205921173, 'Z': 0.014544429257512093}, {'X': 0.759337306022644, 'Y': 0.3814740478992462, 'Z': 0.011046447791159153}, {'X': 0.7569080591201782, 'Y': 0.33779120445251465, 'Z': 0.006948602851480246}]
[{'X': 0.7045511603355408, 'Y': 0.715481162071228, 'Z': -6.342995766317472e-05}, {'X': 0.6472579836845398, 'Y': 0.6917754411697388, 'Z': 0.004395457915961742}, {'X': 0.6090471148490906, 'Y': 0.6174716949462891, 'Z': 0.0070964014157652855}, {'X': 0.5846519470214844, 'Y': 0.5451205968856812, 'Z': 0.0036382582038640976}, {'X': 0.5593388080596924, 'Y': 0.5025317072868347, 'Z': -0.0023191412910819054}, {'X': 0.650701105594635, 'Y': 0.4987410604953766, 'Z': 0.03274696320295334}, {'X': 0.6360655426979065, 'Y': 0.4059573709964752, 'Z': 0.036317549645900726}, {'X': 0.6310513019561768, 'Y': 0.34972041845321655, 'Z': 0.030662372708320618}, {'X': 0.6276494264602661, 'Y': 0.29945266246795654, 'Z': 0.02340710535645485}, {'X': 0.6874515414237976, 'Y': 0.48537012934684753, 'Z': 0.025488099083304405}, {'X': 0.6825034022331238, 'Y': 0.3821088671684265, 'Z': 0.032480865716934204}, {'X': 0.6807146668434143, 'Y': 0.3142586946487427, 'Z': 0.01889582723379135}, {'X': 0.6815010905265808, 'Y': 0.2602863311767578, 'Z': 0.0064571392722427845}, {'X': 0.7230024337768555, 'Y': 0.49291330575942993, 'Z': 0.0167975053191185}, {'X': 0.7208582162857056, 'Y': 0.390153169631958, 'Z': 0.023072494193911552}, {'X': 0.7184056043624878, 'Y': 0.3263923227787018, 'Z': 0.0153151024132967}, {'X': 0.7168676853179932, 'Y': 0.2745513916015625, 'Z': 0.007869591005146503}, {'X': 0.7570416331291199, 'Y': 0.5172283053398132, 'Z': 0.007915417663753033}, {'X': 0.7603651881217957, 'Y': 0.4337248206138611, 'Z': 0.01003699004650116}, {'X': 0.7600108981132507, 'Y': 0.38197964429855347, 'Z': 0.006867558695375919}, {'X': 0.7566660046577454, 'Y': 0.33697837591171265, 'Z': 0.0028276783414185047}]
[{'X': 0.7064281105995178, 'Y': 0.7085737586021423, 'Z': -5.0875860324595124e-05}, {'X': 0.6495382189750671, 'Y': 0.6902970671653748, 'Z': -0.0010810322128236294}, {'X': 0.6104799509048462, 'Y': 0.617666482925415, 'Z': 0.0006753233610652387}, {'X': 0.5852541327476501, 'Y': 0.5451512932777405, 'Z': -0.003801369806751609}, {'X': 0.5598791837692261, 'Y': 0.501063883304596, 'Z': -0.012488159351050854}, {'X': 0.6517912745475769, 'Y': 0.49824386835098267, 'Z': 0.03648483008146286}, {'X': 0.6367580890655518, 'Y': 0.40640613436698914, 'Z': 0.038456276059150696}, {'X': 0.6308593153953552, 'Y': 0.35038435459136963, 'Z': 0.03011285327374935}, {'X': 0.6265666484832764, 'Y': 0.2995615005493164, 'Z': 0.01993253268301487}, {'X': 0.6873793005943298, 'Y': 0.4847697615623474, 'Z': 0.028774121776223183}, {'X': 0.6814839839935303, 'Y': 0.38377413153648376, 'Z': 0.03535577654838562}, {'X': 0.6783952116966248, 'Y': 0.3168845772743225, 'Z': 0.018784299492836}, {'X': 0.6781903505325317, 'Y': 0.26125994324684143, 'Z': 0.003977958112955093}, {'X': 0.7230445146560669, 'Y': 0.4913055896759033, 'Z': 0.018388979136943817}, {'X': 0.7196100950241089, 'Y': 0.3911454975605011, 'Z': 0.0233477670699358}, {'X': 0.7166662812232971, 'Y': 0.3280354142189026, 'Z': 0.011110849678516388}, {'X': 0.7146123051643372, 'Y': 0.2746633291244507, 'Z': -5.391520608100109e-05}, {'X': 0.7581026554107666, 'Y': 0.5148231387138367, 'Z': 0.006915660109370947}, {'X': 0.761422336101532, 'Y': 0.4334447383880615, 'Z': 0.006258293054997921}, {'X': 0.760789155960083, 'Y': 0.38141173124313354, 'Z': 0.0004516871995292604}, {'X': 0.7568634748458862, 'Y': 0.3351331949234009, 'Z': -0.00582055002450943}]
[{'X': 0.7045645117759705, 'Y': 0.7137641906738281, 'Z': -4.7994159103836864e-05}, {'X': 0.6499955058097839, 'Y': 0.6921505928039551, 'Z': -0.006056187208741903}, {'X': 0.6104872226715088, 'Y': 0.6168928742408752, 'Z': -0.007003808859735727}, {'X': 0.5857057571411133, 'Y': 0.5455144643783569, 'Z': -0.013956425711512566}, {'X': 0.5603466033935547, 'Y': 0.5027569532394409, 'Z': -0.02429419569671154}, {'X': 0.6516408324241638, 'Y': 0.4962942898273468, 'Z': 0.029797518625855446}, {'X': 0.6368269324302673, 'Y': 0.4038797616958618, 'Z': 0.02936956100165844}, {'X': 0.6307763457298279, 'Y': 0.34855639934539795, 'Z': 0.01938498206436634}, {'X': 0.6266968250274658, 'Y': 0.2981787323951721, 'Z': 0.007791308220475912}, {'X': 0.6872622966766357, 'Y': 0.4830469489097595, 'Z': 0.021891232579946518}, {'X': 0.681682288646698, 'Y': 0.3807196617126465, 'Z': 0.02637137658894062}, {'X': 0.678968608379364, 'Y': 0.31405675411224365, 'Z': 0.008334744721651077}, {'X': 0.6795935034751892, 'Y': 0.25855839252471924, 'Z': -0.007334874011576176}, {'X': 0.7223959565162659, 'Y': 0.49113357067108154, 'Z': 0.01074995007365942}, {'X': 0.7193946242332458, 'Y': 0.39025890827178955, 'Z': 0.013499351218342781}, {'X': 0.7165883183479309, 'Y': 0.3267441987991333, 'Z': 0.0010386770591139793}, {'X': 0.7151494026184082, 'Y': 0.27228832244873047, 'Z': -0.010279704816639423}, {'X': 0.7570045590400696, 'Y': 0.5164960622787476, 'Z': -0.00221784645691514}, {'X': 0.7600157260894775, 'Y': 0.43528464436531067, 'Z': -0.00597368972375989}, {'X': 0.7589951753616333, 'Y': 0.3840588629245758, 'Z': -0.01286118384450674}, {'X': 0.7553656101226807, 'Y': 0.33837926387786865, 'Z': -0.019696813076734543}]
[{'X': 0.7063502669334412, 'Y': 0.7159591913223267, 'Z': -5.422710455604829e-05}, {'X': 0.6491159200668335, 'Y': 0.6951010823249817, 'Z': 0.000512142782099545}, {'X': 0.6090676188468933, 'Y': 0.6200031042098999, 'Z': 0.001606177189387381}, {'X': 0.5840690732002258, 'Y': 0.545966386795044, 'Z': -0.0034396180417388678}, {'X': 0.5588628649711609, 'Y': 0.5024403929710388, 'Z': -0.010861887596547604}, {'X': 0.6501635909080505, 'Y': 0.49785861372947693, 'Z': 0.02738313376903534}, {'X': 0.635347306728363, 'Y': 0.4034097194671631, 'Z': 0.030746862292289734}, {'X': 0.6292905211448669, 'Y': 0.34682291746139526, 'Z': 0.02652071602642536}, {'X': 0.6255466938018799, 'Y': 0.2970261573791504, 'Z': 0.020137669518589973}, {'X': 0.6868158578872681, 'Y': 0.483697772026062, 'Z': 0.022056499496102333}, {'X': 0.6813324689865112, 'Y': 0.37852638959884644, 'Z': 0.028844457119703293}, {'X': 0.6787214279174805, 'Y': 0.3118281960487366, 'Z': 0.015579299069941044}, {'X': 0.6797574758529663, 'Y': 0.25784891843795776, 'Z': 0.004024741239845753}, {'X': 0.7226300239562988, 'Y': 0.49104881286621094, 'Z': 0.01577012799680233}, {'X': 0.7206392288208008, 'Y': 0.38596272468566895, 'Z': 0.021907860413193703}, {'X': 0.71751469373703, 'Y': 0.3219295144081116, 'Z': 0.013935865834355354}, {'X': 0.7162444591522217, 'Y': 0.26877927780151367, 'Z': 0.006953713484108448}, {'X': 0.7573561072349548, 'Y': 0.5158703327178955, 'Z': 0.009376873262226582}, {'X': 0.7605013847351074, 'Y': 0.43210873007774353, 'Z': 0.010108869522809982}, {'X': 0.7593873739242554, 'Y': 0.38148432970046997, 'Z': 0.006109468638896942}, {'X': 0.7559004426002502, 'Y': 0.3372286558151245, 'Z': 0.0022376207634806633}]
[{'X': 0.7044148445129395, 'Y': 0.7132896184921265, 'Z': -4.950828952132724e-05}, {'X': 0.6491793394088745, 'Y': 0.6909505128860474, 'Z': -0.006065861321985722}, {'X': 0.6092904210090637, 'Y': 0.6168439388275146, 'Z': -0.007218959275633097}, {'X': 0.584377646446228, 'Y': 0.5446650981903076, 'Z': -0.013547015376389027}, {'X': 0.5594280958175659, 'Y': 0.5023921728134155, 'Z': -0.022978201508522034}, {'X': 0.6507192254066467, 'Y': 0.4978545010089874, 'Z': 0.024076681584119797}, {'X': 0.6360617876052856, 'Y': 0.40567126870155334, 'Z': 0.02302970364689827}, {'X': 0.6298659443855286, 'Y': 0.3506898283958435, 'Z': 0.01401853933930397}, {'X': 0.6256123185157776, 'Y': 0.30001312494277954, 'Z': 0.0034498206805437803}, {'X': 0.6870536208152771, 'Y': 0.48395925760269165, 'Z': 0.01807146891951561}, {'X': 0.6809667348861694, 'Y': 0.38156652450561523, 'Z': 0.02156854420900345}, {'X': 0.6775898933410645, 'Y': 0.3158392310142517, 'Z': 0.004136167466640472}, {'X': 0.6775378584861755, 'Y': 0.2601321041584015, 'Z': -0.011262127198278904}, {'X': 0.7227514386177063, 'Y': 0.490958034992218, 'Z': 0.009585690684616566}, {'X': 0.7193688154220581, 'Y': 0.38893643021583557, 'Z': 0.011724370531737804}, {'X': 0.7158207893371582, 'Y': 0.32550978660583496, 'Z': -0.0006076039280742407}, {'X': 0.7137118577957153, 'Y': 0.27077627182006836, 'Z': -0.011485984548926353}, {'X': 0.7576150894165039, 'Y': 0.5153508186340332, 'Z': -3.168662078678608e-05}, {'X': 0.7603288888931274, 'Y': 0.4335761070251465, 'Z': -0.003381185932084918}, {'X': 0.758923351764679, 'Y': 0.3820430040359497, 'Z': -0.00975819956511259}, {'X': 0.7548465728759766, 'Y': 0.33558371663093567, 'Z': -0.016525806859135628}]
[{'X': 0.7050730586051941, 'Y': 0.7151607871055603, 'Z': -6.987076631048694e-05}, {'X': 0.6470015645027161, 'Y': 0.6921917796134949, 'Z': -0.009566627442836761}, {'X': 0.6064128875732422, 'Y': 0.6186206340789795, 'Z': -0.012585645541548729}, {'X': 0.5805741548538208, 'Y': 0.5505384206771851, 'Z': -0.020401611924171448}, {'X': 0.5552515983581543, 'Y': 0.5072015523910522, 'Z': -0.0320841409265995}, {'X': 0.6492490768432617, 'Y': 0.49778687953948975, 'Z': 0.018886148929595947}, {'X': 0.6336705088615417, 'Y': 0.40622633695602417, 'Z': 0.013779403641819954}, {'X': 0.6268173456192017, 'Y': 0.3482665419578552, 'Z': 0.0016667440067976713}, {'X': 0.622539758682251, 'Y': 0.2963811159133911, 'Z': -0.00956507958471775}, {'X': 0.685738205909729, 'Y': 0.4846773147583008, 'Z': 0.01304203737527132}, {'X': 0.6791531443595886, 'Y': 0.3820892572402954, 'Z': 0.012683250941336155}, {'X': 0.6755696535110474, 'Y': 0.3135932683944702, 'Z': -0.006071297451853752}, {'X': 0.6753501892089844, 'Y': 0.25785964727401733, 'Z': -0.021591609343886375}, {'X': 0.720953643321991, 'Y': 0.49181896448135376, 'Z': 0.0038234363310039043}, {'X': 0.718414843082428, 'Y': 0.3906080722808838, 'Z': 0.0012311730533838272}, {'X': 0.715337336063385, 'Y': 0.32655054330825806, 'Z': -0.01211104728281498}, {'X': 0.7133685350418091, 'Y': 0.2728312313556671, 'Z': -0.023257702589035034}, {'X': 0.7557240724563599, 'Y': 0.5156404972076416, 'Z': -0.0072360108606517315}, {'X': 0.7582406997680664, 'Y': 0.43286430835723877, 'Z': -0.014379225671291351}, {'X': 0.7562528848648071, 'Y': 0.3799111545085907, 'Z': -0.02336081676185131}, {'X': 0.7518962621688843, 'Y': 0.3331105709075928, 'Z': -0.030678141862154007}]
[{'X': 0.7058185338973999, 'Y': 0.7193429470062256, 'Z': -4.612428892869502e-05}, {'X': 0.6492137312889099, 'Y': 0.6955257654190063, 'Z': -0.004056244157254696}, {'X': 0.6073575615882874, 'Y': 0.6223268508911133, 'Z': -0.004641592502593994}, {'X': 0.5798875093460083, 'Y': 0.5530218482017517, 'Z': -0.009794999845325947}, {'X': 0.5532921552658081, 'Y': 0.5179585218429565, 'Z': -0.016748439520597458}, {'X': 0.6481585502624512, 'Y': 0.5033385753631592, 'Z': 0.019677288830280304}, {'X': 0.6312707662582397, 'Y': 0.409561425447464, 'Z': 0.01836036518216133}, {'X': 0.6246156096458435, 'Y': 0.3532421588897705, 'Z': 0.011576367542147636}, {'X': 0.6207069158554077, 'Y': 0.3023530840873718, 'Z': 0.0027461720164865255}, {'X': 0.6850870847702026, 'Y': 0.48747557401657104, 'Z': 0.01486232876777649}, {'X': 0.6763032674789429, 'Y': 0.3839265704154968, 'Z': 0.016701895743608475}, {'X': 0.6725300550460815, 'Y': 0.31738850474357605, 'Z': 0.0007127609569579363}, {'X': 0.6730933785438538, 'Y': 0.2620002031326294, 'Z': -0.014239070005714893}, {'X': 0.7210158705711365, 'Y': 0.49263566732406616, 'Z': 0.008177123963832855}, {'X': 0.7161363959312439, 'Y': 0.38940876722335815, 'Z': 0.010097715072333813}, {'X': 0.7127441763877869, 'Y': 0.327526330947876, 'Z': 0.0008234033011831343}, {'X': 0.7118034362792969, 'Y': 0.27457720041275024, 'Z': -0.008319394662976265}, {'X': 0.7563942670822144, 'Y': 0.5148279666900635, 'Z': 0.001112219993956387}, {'X': 0.7571081519126892, 'Y': 0.43104398250579834, 'Z': -0.0007900680648162961}, {'X': 0.7551125288009644, 'Y': 0.381147563457489, 'Z': -0.0062640062533319}, {'X': 0.7511656284332275, 'Y': 0.3369187116622925, 'Z': -0.012333772145211697}]
[{'X': 0.70655757188797, 'Y': 0.7083373069763184, 'Z': -6.594785372726619e-05}, {'X': 0.6517293453216553, 'Y': 0.6880186796188354, 'Z': -0.0067123291082680225}, {'X': 0.6079662442207336, 'Y': 0.617138683795929, 'Z': -0.008286605589091778}, {'X': 0.5794235467910767, 'Y': 0.5528700351715088, 'Z': -0.014201710931956768}, {'X': 0.5516917705535889, 'Y': 0.5235234498977661, 'Z': -0.022051775828003883}, {'X': 0.6501080989837646, 'Y': 0.5077409148216248, 'Z': 0.0012503291945904493}, {'X': 0.633720338344574, 'Y': 0.41709408164024353, 'Z': -0.005685838405042887}, {'X': 0.6276612877845764, 'Y': 0.3645174503326416, 'Z': -0.013441882096230984}, {'X': 0.6244604587554932, 'Y': 0.3167257308959961, 'Z': -0.022096039727330208}, {'X': 0.6847320795059204, 'Y': 0.4931594431400299, 'Z': -0.006319960113614798}, {'X': 0.6738876700401306, 'Y': 0.384285569190979, 'Z': -0.012192904949188232}, {'X': 0.6702025532722473, 'Y': 0.31925851106643677, 'Z': -0.028410257771611214}, {'X': 0.6701831817626953, 'Y': 0.26457685232162476, 'Z': -0.04214557632803917}, {'X': 0.7187104821205139, 'Y': 0.496808797121048, 'Z': -0.015117763541638851}, {'X': 0.7129640579223633, 'Y': 0.39025354385375977, 'Z': -0.01998443715274334}, {'X': 0.7081331014633179, 'Y': 0.33019110560417175, 'Z': -0.02975272759795189}, {'X': 0.7056733965873718, 'Y': 0.27891048789024353, 'Z': -0.03937540948390961}, {'X': 0.7521486878395081, 'Y': 0.5165250897407532, 'Z': -0.02430543303489685}, {'X': 0.7526587247848511, 'Y': 0.4317500591278076, 'Z': -0.030993996188044548}, {'X': 0.750665545463562, 'Y': 0.3824533522129059, 'Z': -0.03802798315882683}, {'X': 0.7469319105148315, 'Y': 0.3378393054008484, 'Z': -0.04398978129029274}]
[{'X': 0.7005518078804016, 'Y': 0.6994705200195312, 'Z': -4.240463022142649e-05}, {'X': 0.6499110460281372, 'Y': 0.6774518489837646, 'Z': -0.00011768761032726616}, {'X': 0.6108376383781433, 'Y': 0.6099367737770081, 'Z': -0.00046319334069266915}, {'X': 0.5825197696685791, 'Y': 0.5571585893630981, 'Z': -0.007055880967527628}, {'X': 0.5582258701324463, 'Y': 0.525468647480011, 'Z': -0.017536256462335587}, {'X': 0.6520289182662964, 'Y': 0.5098698735237122, 'Z': 0.02809249795973301}, {'X': 0.6353328227996826, 'Y': 0.44222408533096313, 'Z': 0.006312459707260132}, {'X': 0.6283800005912781, 'Y': 0.4576660692691803, 'Z': -0.022739283740520477}, {'X': 0.6288994550704956, 'Y': 0.4854676127433777, 'Z': -0.040359266102313995}, {'X': 0.6819456219673157, 'Y': 0.4904373586177826, 'Z': 0.017365356907248497}, {'X': 0.6718739867210388, 'Y': 0.4039166271686554, 'Z': 0.021956942975521088}, {'X': 0.6635978817939758, 'Y': 0.35589802265167236, 'Z': 0.01105880830436945}, {'X': 0.6569627523422241, 'Y': 0.31780725717544556, 'Z': 0.0006390329799614847}, {'X': 0.7144407033920288, 'Y': 0.49321603775024414, 'Z': 0.0008370900177396834}, {'X': 0.7098150849342346, 'Y': 0.39781561493873596, 'Z': 0.0032223130110651255}, {'X': 0.7024720311164856, 'Y': 0.34633129835128784, 'Z': -0.0020210498478263617}, {'X': 0.6955766081809998, 'Y': 0.3013066053390503, 'Z': -0.006328552961349487}, {'X': 0.747607946395874, 'Y': 0.513310432434082, 'Z': -0.01652688719332218}, {'X': 0.7501144409179688, 'Y': 0.4363182485103607, 'Z': -0.015454360283911228}, {'X': 0.7467111945152283, 'Y': 0.39016976952552795, 'Z': -0.013184594921767712}, {'X': 0.740411639213562, 'Y': 0.34506791830062866, 'Z': -0.010875384323298931}]
