[{'X': 0.7674519419670105, 'Y': 0.8263009786605835, 'Z': -3.651609586086124e-05}, {'X': 0.7178032994270325, 'Y': 0.8044122457504272, 'Z': 0.0014126861933618784}, {'X': 0.6761574745178223, 'Y': 0.7290239334106445, 'Z': 0.008287820965051651}, {'X': 0.6487375497817993, 'Y': 0.6557408571243286, 'Z': 0.00908900797367096}, {'X': 0.6221944093704224, 'Y': 0.6204636096954346, 'Z': 0.005909471306949854}, {'X': 0.7057139873504639, 'Y': 0.629122793674469, 'Z': 0.04200870543718338}, {'X': 0.694220781326294, 'Y': 0.5371691584587097, 'Z': 0.05495172366499901}, {'X': 0.6913347244262695, 'Y': 0.4859415888786316, 'Z': 0.05561455711722374}, {'X': 0.6891681551933289, 'Y': 0.44145238399505615, 'Z': 0.051015641540288925}, {'X': 0.7368654608726501, 'Y': 0.6129059791564941, 'Z': 0.036475393921136856}, {'X': 0.7251624464988708, 'Y': 0.5132871270179749, 'Z': 0.05075032263994217}, {'X': 0.7178246378898621, 'Y': 0.4564691185951233, 'Z': 0.04471515491604805}, {'X': 0.7129083871841431, 'Y': 0.40964531898498535, 'Z': 0.03853706642985344}, {'X': 0.7684484124183655, 'Y': 0.6124321818351746, 'Z': 0.028878040611743927}, {'X': 0.7586671113967896, 'Y': 0.5116790533065796, 'Z': 0.039007339626550674}, {'X': 0.7499158978462219, 'Y': 0.45964959263801575, 'Z': 0.03452986478805542}, {'X': 0.7422244548797607, 'Y': 0.4163967967033386, 'Z': 0.03042985312640667}, {'X': 0.8007077574729919, 'Y': 0.6285609006881714, 'Z': 0.021850764751434326}, {'X': 0.8018635511398315, 'Y': 0.5472739338874817, 'Z': 0.024362746626138687}, {'X': 0.8017056584358215, 'Y': 0.5007426738739014, 'Z': 0.02224457636475563}, {'X': 0.7987993955612183, 'Y': 0.45858901739120483, 'Z': 0.021141357719898224}]
[{'X': 0.7671036720275879, 'Y': 0.8251273036003113, 'Z': -2.7435839001554996e-05}, {'X': 0.7182202339172363, 'Y': 0.8014265298843384, 'Z': -0.007204641588032246}, {'X': 0.6758944392204285, 'Y': 0.7269962430000305, 'Z': -0.005739683285355568}, {'X': 0.6475728154182434, 'Y': 0.6556356549263, 'Z': -0.009377455338835716}, {'X': 0.6209063529968262, 'Y': 0.6187975406646729, 'Z': -0.01767423003911972}, {'X': 0.7065272927284241, 'Y': 0.6303126811981201, 'Z': 0.03424076735973358}, {'X': 0.6952662467956543, 'Y': 0.5374963283538818, 'Z': 0.041710421442985535}, {'X': 0.692237138748169, 'Y': 0.4851517081260681, 'Z': 0.038722679018974304}, {'X': 0.6897046566009521, 'Y': 0.440248966217041, 'Z': 0.031949806958436966}, {'X': 0.7371686697006226, 'Y': 0.6138109564781189, 'Z': 0.03025447577238083}, {'X': 0.7256168723106384, 'Y': 0.5146608352661133, 'Z': 0.03970608487725258}, {'X': 0.7187260985374451, 'Y': 0.4572872519493103, 'Z': 0.030393274500966072}, {'X': 0.7141077518463135, 'Y': 0.41144782304763794, 'Z': 0.022160477936267853}, {'X': 0.7685447931289673, 'Y': 0.6138401627540588, 'Z': 0.02314542420208454}, {'X': 0.7586897015571594, 'Y': 0.5136379599571228, 'Z': 0.029621345922350883}, {'X': 0.7500270009040833, 'Y': 0.46079427003860474, 'Z': 0.022635677829384804}, {'X': 0.742195725440979, 'Y': 0.4176087975502014, 'Z': 0.01726175844669342}, {'X': 0.8010238409042358, 'Y': 0.6310465931892395, 'Z': 0.015729282051324844}, {'X': 0.8024185299873352, 'Y': 0.5507650971412659, 'Z': 0.014751513488590717}, {'X': 0.8014835119247437, 'Y': 0.5034335255622864, 'Z': 0.010853681713342667}, {'X': 0.7976027727127075, 'Y': 0.460965633392334, 'Z': 0.008449513465166092}]
[{'X': 0.7659335732460022, 'Y': 0.8275374174118042, 'Z': -3.899373041349463e-05}, {'X': 0.7177388668060303, 'Y': 0.8030859231948853, 'Z': -0.0008361899526789784}, {'X': 0.6758156418800354, 'Y': 0.7271038293838501, 'Z': 0.0052907573990523815}, {'X': 0.6475844383239746, 'Y': 0.6543527245521545, 'Z': 0.004624401219189167}, {'X': 0.6205241084098816, 'Y': 0.618691623210907, 'Z': -0.00010169802408199757}, {'X': 0.7055244445800781, 'Y': 0.6293670535087585, 'Z': 0.04431998357176781}, {'X': 0.6940751075744629, 'Y': 0.537609875202179, 'Z': 0.056046757847070694}, {'X': 0.6912205219268799, 'Y': 0.48583757877349854, 'Z': 0.056351784616708755}, {'X': 0.6893478631973267, 'Y': 0.4411149024963379, 'Z': 0.0523659810423851}, {'X': 0.7363876104354858, 'Y': 0.6133242249488831, 'Z': 0.03886668011546135}, {'X': 0.7250888347625732, 'Y': 0.5141770839691162, 'Z': 0.05187816917896271}, {'X': 0.7179794907569885, 'Y': 0.45686233043670654, 'Z': 0.04459139704704285}, {'X': 0.7135466933250427, 'Y': 0.4102334976196289, 'Z': 0.03843969851732254}, {'X': 0.7680874466896057, 'Y': 0.6141342520713806, 'Z': 0.030757948756217957}, {'X': 0.7581753730773926, 'Y': 0.5140079259872437, 'Z': 0.03947920352220535}, {'X': 0.749643862247467, 'Y': 0.46076667308807373, 'Z': 0.03401194512844086}, {'X': 0.7422762513160706, 'Y': 0.4165910482406616, 'Z': 0.029862552881240845}, {'X': 0.800548791885376, 'Y': 0.6324955224990845, 'Z': 0.0229179710149765}, {'X': 0.8010204434394836, 'Y': 0.5516194105148315, 'Z': 0.023714158684015274}, {'X': 0.799947202205658, 'Y': 0.5041002035140991, 'Z': 0.020815476775169373}, {'X': 0.7962308526039124, 'Y': 0.4617402255535126, 'Z': 0.019220300018787384}]
[{'X': 0.7672153115272522, 'Y': 0.8187568187713623, 'Z': -3.3269392588408664e-05}, {'X': 0.7173221707344055, 'Y': 0.7987010478973389, 'Z': -0.0005002755206078291}, {'X': 0.6751170754432678, 'Y': 0.7289845943450928, 'Z': 0.005122194532305002}, {'X': 0.6467905044555664, 'Y': 0.658116340637207, 'Z': 0.00390938064083457}, {'X': 0.6208356618881226, 'Y': 0.6194916367530823, 'Z': -0.0013317312113940716}, {'X': 0.7051326036453247, 'Y': 0.6264037489891052, 'Z': 0.04852711781859398}, {'X': 0.6933315396308899, 'Y': 0.5373203158378601, 'Z': 0.061026398092508316}, {'X': 0.6905367374420166, 'Y': 0.4865986108779907, 'Z': 0.060454532504081726}, {'X': 0.6882423758506775, 'Y': 0.442415714263916, 'Z': 0.05518495664000511}, {'X': 0.7356064319610596, 'Y': 0.609940767288208, 'Z': 0.04263561591506004}, {'X': 0.7244189381599426, 'Y': 0.513593316078186, 'Z': 0.056701093912124634}, {'X': 0.7178747653961182, 'Y': 0.4570631980895996, 'Z': 0.04886766895651817}, {'X': 0.7135927677154541, 'Y': 0.41034209728240967, 'Z': 0.04081794619560242}, {'X': 0.7669762969017029, 'Y': 0.6104539036750793, 'Z': 0.0340023972094059}, {'X': 0.7575238943099976, 'Y': 0.5135378837585449, 'Z': 0.04520311579108238}, {'X': 0.7492527365684509, 'Y': 0.4615030884742737, 'Z': 0.03929416462779045}, {'X': 0.7418404817581177, 'Y': 0.4183901846408844, 'Z': 0.034152258187532425}, {'X': 0.799292802810669, 'Y': 0.6284581422805786, 'Z': 0.024921320378780365}, {'X': 0.7995415925979614, 'Y': 0.55042564868927, 'Z': 0.02761952020227909}, {'X': 0.7978320121765137, 'Y': 0.5046119093894958, 'Z': 0.024689704179763794}, {'X': 0.7926225066184998, 'Y': 0.46462365984916687, 'Z': 0.02283596247434616}]
[{'X': 0.7685893177986145, 'Y': 0.8166567087173462, 'Z': -4.2694853618741035e-05}, {'X': 0.718864381313324, 'Y': 0.7990769743919373, 'Z': 0.006202118471264839}, {'X': 0.6771319508552551, 'Y': 0.7319587469100952, 'Z': 0.014084155671298504}, {'X': 0.6481200456619263, 'Y': 0.661270260810852, 'Z': 0.014915838837623596}, {'X': 0.621228814125061, 'Y': 0.6239404082298279, 'Z': 0.011993865482509136}, {'X': 0.703436017036438, 'Y': 0.6283867955207825, 'Z': 0.04982377216219902}, {'X': 0.6915814280509949, 'Y': 0.5375943779945374, 'Z': 0.06553595513105392}, {'X': 0.6892480850219727, 'Y': 0.48636800050735474, 'Z': 0.06957602500915527}, {'X': 0.6872894763946533, 'Y': 0.44310522079467773, 'Z': 0.06878086924552917}, {'X': 0.7343931198120117, 'Y': 0.6109095215797424, 'Z': 0.0443766787648201}, {'X': 0.7229908108711243, 'Y': 0.5143567323684692, 'Z': 0.061812225729227066}, {'X': 0.7169559597969055, 'Y': 0.4567694067955017, 'Z': 0.05924792215228081}, {'X': 0.7133452296257019, 'Y': 0.41166597604751587, 'Z': 0.055068597197532654}, {'X': 0.7667979001998901, 'Y': 0.6108118295669556, 'Z': 0.0373486690223217}, {'X': 0.7569276094436646, 'Y': 0.5135421752929688, 'Z': 0.05249207466840744}, {'X': 0.7494726181030273, 'Y': 0.46037787199020386, 'Z': 0.05126030370593071}, {'X': 0.7433356046676636, 'Y': 0.41853421926498413, 'Z': 0.049985576421022415}, {'X': 0.7999440431594849, 'Y': 0.6281020641326904, 'Z': 0.03073405660688877}, {'X': 0.7981532216072083, 'Y': 0.5498095154762268, 'Z': 0.03628452494740486}, {'X': 0.7961298823356628, 'Y': 0.5058721303939819, 'Z': 0.03568853810429573}, {'X': 0.7911621928215027, 'Y': 0.46987059712409973, 'Z': 0.03580522909760475}]
[{'X': 0.7666347622871399, 'Y': 0.8203535676002502, 'Z': -3.548271342879161e-05}, {'X': 0.7185447812080383, 'Y': 0.800825834274292, 'Z': 0.0009766777511686087}, {'X': 0.6771796345710754, 'Y': 0.7315318584442139, 'Z': 0.005751011893153191}, {'X': 0.6490021347999573, 'Y': 0.6602350473403931, 'Z': 0.003954942338168621}, {'X': 0.6221457719802856, 'Y': 0.622363269329071, 'Z': -0.0015550487441942096}, {'X': 0.7038898468017578, 'Y': 0.6287149786949158, 'Z': 0.04152599722146988}, {'X': 0.6918820738792419, 'Y': 0.5394197702407837, 'Z': 0.053289175033569336}, {'X': 0.6895562410354614, 'Y': 0.4879991412162781, 'Z': 0.05467793345451355}, {'X': 0.6877732276916504, 'Y': 0.44337838888168335, 'Z': 0.05165234953165054}, {'X': 0.734634518623352, 'Y': 0.6113103032112122, 'Z': 0.03593171387910843}, {'X': 0.7229862809181213, 'Y': 0.5161891579627991, 'Z': 0.04983577877283096}, {'X': 0.716799795627594, 'Y': 0.458659291267395, 'Z': 0.04425333812832832}, {'X': 0.7131065130233765, 'Y': 0.4122084081172943, 'Z': 0.03772565722465515}, {'X': 0.7667920589447021, 'Y': 0.6120959520339966, 'Z': 0.02856122888624668}, {'X': 0.7565027475357056, 'Y': 0.5154253244400024, 'Z': 0.04011207073926926}, {'X': 0.7483005523681641, 'Y': 0.4628306031227112, 'Z': 0.03623216226696968}, {'X': 0.7413821816444397, 'Y': 0.4200206696987152, 'Z': 0.03294754773378372}, {'X': 0.7999576926231384, 'Y': 0.6310031414031982, 'Z': 0.02096112258732319}, {'X': 0.7980093359947205, 'Y': 0.5530722141265869, 'Z': 0.02359197288751602}, {'X': 0.7953846454620361, 'Y': 0.5092265605926514, 'Z': 0.02104160748422146}, {'X': 0.7896250486373901, 'Y': 0.47249090671539307, 'Z': 0.019708026200532913}]
[{'X': 0.7679226398468018, 'Y': 0.8210994601249695, 'Z': -3.225068576284684e-05}, {'X': 0.7191411256790161, 'Y': 0.7997493743896484, 'Z': 1.2684665307460818e-05}, {'X': 0.6776624321937561, 'Y': 0.7302171587944031, 'Z': 0.0034179831854999065}, {'X': 0.6494964361190796, 'Y': 0.660576581954956, 'Z': 0.0006584174698218703}, {'X': 0.6236379146575928, 'Y': 0.6219937205314636, 'Z': -0.005870408844202757}, {'X': 0.7048218250274658, 'Y': 0.6314298510551453, 'Z': 0.03847866132855415}, {'X': 0.6922663450241089, 'Y': 0.5402997136116028, 'Z': 0.047479644417762756}, {'X': 0.6890853047370911, 'Y': 0.4880499243736267, 'Z': 0.04726220294833183}, {'X': 0.6863638162612915, 'Y': 0.44439589977264404, 'Z': 0.04368848726153374}, {'X': 0.7355397343635559, 'Y': 0.6136690974235535, 'Z': 0.03262942284345627}, {'X': 0.7223687171936035, 'Y': 0.5161821842193604, 'Z': 0.0441695973277092}, {'X': 0.7154303193092346, 'Y': 0.45910555124282837, 'Z': 0.03885820880532265}, {'X': 0.7109410762786865, 'Y': 0.41543880105018616, 'Z': 0.03359334170818329}, {'X': 0.7674969434738159, 'Y': 0.6133726835250854, 'Z': 0.024568667635321617}, {'X': 0.7558316588401794, 'Y': 0.5145677328109741, 'Z': 0.03459858521819115}, {'X': 0.7464478015899658, 'Y': 0.46286797523498535, 'Z': 0.031204750761389732}, {'X': 0.7380749583244324, 'Y': 0.42251816391944885, 'Z': 0.028865719214081764}, {'X': 0.8006830811500549, 'Y': 0.6307977437973022, 'Z': 0.016447225585579872}, {'X': 0.7973466515541077, 'Y': 0.5523157119750977, 'Z': 0.01832795888185501}, {'X': 0.7930979132652283, 'Y': 0.5081030130386353, 'Z': 0.015272430144250393}, {'X': 0.7857484817504883, 'Y': 0.47199496626853943, 'Z': 0.01413760520517826}]
[{'X': 0.7673894166946411, 'Y': 0.8162394165992737, 'Z': -2.2786198314861394e-05}, {'X': 0.7192530035972595, 'Y': 0.7955091595649719, 'Z': 0.006063695531338453}, {'X': 0.6779924035072327, 'Y': 0.7260614037513733, 'Z': 0.016734376549720764}, {'X': 0.6485493779182434, 'Y': 0.6578400135040283, 'Z': 0.020236622542142868}, {'X': 0.6236422061920166, 'Y': 0.6235846281051636, 'Z': 0.022458335384726524}, {'X': 0.7024465203285217, 'Y': 0.6282619833946228, 'Z': 0.05009354278445244}, {'X': 0.6905317902565002, 'Y': 0.537431001663208, 'Z': 0.06523972749710083}, {'X': 0.687582790851593, 'Y': 0.486771821975708, 'Z': 0.07179845124483109}, {'X': 0.6845678687095642, 'Y': 0.4461630582809448, 'Z': 0.07442066818475723}, {'X': 0.7336341142654419, 'Y': 0.611408531665802, 'Z': 0.045934781432151794}, {'X': 0.7228079438209534, 'Y': 0.5137825012207031, 'Z': 0.06353141367435455}, {'X': 0.7156429886817932, 'Y': 0.4570472240447998, 'Z': 0.0648706778883934}, {'X': 0.711043655872345, 'Y': 0.4153193235397339, 'Z': 0.06542252004146576}, {'X': 0.7657556533813477, 'Y': 0.6126332879066467, 'Z': 0.03943575173616409}, {'X': 0.7581427097320557, 'Y': 0.5158851146697998, 'Z': 0.05411967635154724}, {'X': 0.7505589723587036, 'Y': 0.4649702310562134, 'Z': 0.0529031865298748}, {'X': 0.7433744072914124, 'Y': 0.4273076057434082, 'Z': 0.05202599987387657}, {'X': 0.7981550097465515, 'Y': 0.6320211887359619, 'Z': 0.03328017145395279}, {'X': 0.7966731190681458, 'Y': 0.5597797632217407, 'Z': 0.038358982652425766}, {'X': 0.7924589514732361, 'Y': 0.5254397988319397, 'Z': 0.03703039884567261}, {'X': 0.7853607535362244, 'Y': 0.5044640898704529, 'Z': 0.03788601979613304}]
[{'X': 0.7667995691299438, 'Y': 0.8236822485923767, 'Z': -1.9151433662045747e-05}, {'X': 0.7187008857727051, 'Y': 0.7922470569610596, 'Z': 0.009290115907788277}, {'X': 0.678085446357727, 'Y': 0.7216116786003113, 'Z': 0.024873971939086914}, {'X': 0.6524224281311035, 'Y': 0.6597464084625244, 'Z': 0.035473670810461044}, {'X': 0.6353284120559692, 'Y': 0.6318884491920471, 'Z': 0.04388071969151497}, {'X': 0.7044437527656555, 'Y': 0.6346567273139954, 'Z': 0.06138613075017929}, {'X': 0.691381573677063, 'Y': 0.5461637377738953, 'Z': 0.07825729995965958}, {'X': 0.6858431696891785, 'Y': 0.4956932067871094, 'Z': 0.08192526549100876}, {'X': 0.6807769536972046, 'Y': 0.45945289731025696, 'Z': 0.08202702552080154}, {'X': 0.7365142107009888, 'Y': 0.6214327812194824, 'Z': 0.05302959308028221}, {'X': 0.7254613637924194, 'Y': 0.5243706107139587, 'Z': 0.07103686779737473}, {'X': 0.716711163520813, 'Y': 0.472085565328598, 'Z': 0.07011167705059052}, {'X': 0.7107441425323486, 'Y': 0.43818897008895874, 'Z': 0.06954102963209152}, {'X': 0.7686493396759033, 'Y': 0.6308327317237854, 'Z': 0.04142412170767784}, {'X': 0.7641676068305969, 'Y': 0.5474510192871094, 'Z': 0.04589078202843666}, {'X': 0.758025050163269, 'Y': 0.5433738231658936, 'Z': 0.03641444444656372}, {'X': 0.7532025575637817, 'Y': 0.5439658761024475, 'Z': 0.03260321915149689}, {'X': 0.799992561340332, 'Y': 0.6574428081512451, 'Z': 0.031892482191324234}, {'X': 0.7923194766044617, 'Y': 0.6205065250396729, 'Z': 0.01985042355954647}, {'X': 0.7851874232292175, 'Y': 0.649120569229126, 'Z': 0.011335454881191254}, {'X': 0.7796106338500977, 'Y': 0.6757292747497559, 'Z': 0.008598748594522476}]
[{'X': 0.7646257877349854, 'Y': 0.8091310262680054, 'Z': -6.23314845142886e-05}, {'X': 0.718532383441925, 'Y': 0.7834675312042236, 'Z': -0.006646659225225449}, {'X': 0.6816413998603821, 'Y': 0.7104430794715881, 'Z': 0.00170625071041286}, {'X': 0.6538478136062622, 'Y': 0.65240079164505, 'Z': 0.004454456735402346}, {'X': 0.6250931024551392, 'Y': 0.6260144710540771, 'Z': 0.005946728866547346}, {'X': 0.707621693611145, 'Y': 0.6337608695030212, 'Z': 0.028998028486967087}, {'X': 0.6967950463294983, 'Y': 0.5552237033843994, 'Z': 0.03715395927429199}, {'X': 0.6910921931266785, 'Y': 0.5116735696792603, 'Z': 0.038010530173778534}, {'X': 0.6862474679946899, 'Y': 0.4784531891345978, 'Z': 0.03890198841691017}, {'X': 0.7374017834663391, 'Y': 0.6280190348625183, 'Z': 0.02207942120730877}, {'X': 0.7312362194061279, 'Y': 0.5446000099182129, 'Z': 0.02049398049712181}, {'X': 0.7207077741622925, 'Y': 0.5076755285263062, 'Z': 0.012655975297093391}, {'X': 0.710597813129425, 'Y': 0.4890090823173523, 'Z': 0.007871515117585659}, {'X': 0.7661550045013428, 'Y': 0.6409315466880798, 'Z': 0.011035675182938576}, {'X': 0.7630094289779663, 'Y': 0.5796627402305603, 'Z': -0.013663203455507755}, {'X': 0.7532483339309692, 'Y': 0.6349719166755676, 'Z': -0.03757365792989731}, {'X': 0.7462555766105652, 'Y': 0.6856483221054077, 'Z': -0.04218005761504173}, {'X': 0.7920851707458496, 'Y': 0.6639965772628784, 'Z': 0.0023201867006719112}, {'X': 0.7838842272758484, 'Y': 0.6347458958625793, 'Z': -0.0361410528421402}, {'X': 0.7722122669219971, 'Y': 0.6852549314498901, 'Z': -0.05434674769639969}, {'X': 0.7628459930419922, 'Y': 0.7329726219177246, 'Z': -0.056151557713747025}]
[{'X': 0.764260470867157, 'Y': 0.8192218542098999, 'Z': -4.2327814298914745e-05}, {'X': 0.7187505960464478, 'Y': 0.7842807769775391, 'Z': -0.007163534872233868}, {'X': 0.6796443462371826, 'Y': 0.7025678157806396, 'Z': 0.0025300674606114626}, {'X': 0.6502930521965027, 'Y': 0.647750198841095, 'Z': 0.005291917826980352}, {'X': 0.620536744594574, 'Y': 0.6256988644599915, 'Z': 0.007991322316229343}, {'X': 0.7080415487289429, 'Y': 0.6293164491653442, 'Z': 0.03962579369544983}, {'X': 0.6987923383712769, 'Y': 0.5513346195220947, 'Z': 0.03882662579417229}, {'X': 0.6940177083015442, 'Y': 0.5080723166465759, 'Z': 0.032406218349933624}, {'X': 0.6878753304481506, 'Y': 0.4779254198074341, 'Z': 0.028860745951533318}, {'X': 0.7376351356506348, 'Y': 0.6273083090782166, 'Z': 0.02948104962706566}, {'X': 0.7345227003097534, 'Y': 0.5422074198722839, 'Z': 0.011470125056803226}, {'X': 0.7251086235046387, 'Y': 0.5141888856887817, 'Z': -0.010236509144306183}, {'X': 0.7146044373512268, 'Y': 0.5089388489723206, 'Z': -0.020975759252905846}, {'X': 0.7660250663757324, 'Y': 0.6455335021018982, 'Z': 0.014842085540294647}, {'X': 0.7622345685958862, 'Y': 0.5834111571311951, 'Z': -0.019097549840807915}, {'X': 0.7489819526672363, 'Y': 0.6516798138618469, 'Z': -0.04114968329668045}, {'X': 0.7388845682144165, 'Y': 0.7073419690132141, 'Z': -0.04201584681868553}, {'X': 0.7919248938560486, 'Y': 0.6739479899406433, 'Z': 0.0014206364285200834}, {'X': 0.7865999937057495, 'Y': 0.6434147357940674, 'Z': -0.0415266752243042}, {'X': 0.7738900780677795, 'Y': 0.6970743536949158, 'Z': -0.058552030473947525}, {'X': 0.7632011771202087, 'Y': 0.7382475733757019, 'Z': -0.05849495902657509}]
