[{'X': 0.8182469606399536, 'Y': 0.9136260151863098, 'Z': -3.9484093576902524e-05}, {'X': 0.7633801102638245, 'Y': 0.8778030276298523, 'Z': -0.022066745907068253}, {'X': 0.718996524810791, 'Y': 0.7872409820556641, 'Z': -0.027040837332606316}, {'X': 0.6920456886291504, 'Y': 0.7073853015899658, 'Z': -0.03389762341976166}, {'X': 0.6631664633750916, 'Y': 0.661250650882721, 'Z': -0.04328032582998276}, {'X': 0.7538106441497803, 'Y': 0.6741551160812378, 'Z': 0.010029065422713757}, {'X': 0.7446207404136658, 'Y': 0.5725170373916626, 'Z': 0.0047628749161958694}, {'X': 0.741963803768158, 'Y': 0.5148183107376099, 'Z': -0.004362091887742281}, {'X': 0.7414526343345642, 'Y': 0.466355562210083, 'Z': -0.012419866397976875}, {'X': 0.7910529375076294, 'Y': 0.663114607334137, 'Z': 0.006090753246098757}, {'X': 0.7823989391326904, 'Y': 0.5497519373893738, 'Z': 0.0061338720843195915}, {'X': 0.7781976461410522, 'Y': 0.4818258285522461, 'Z': -0.005701014772057533}, {'X': 0.776419997215271, 'Y': 0.4259316325187683, 'Z': -0.01559209730476141}, {'X': 0.8265019059181213, 'Y': 0.6708227396011353, 'Z': -0.003496753517538309}, {'X': 0.8218083381652832, 'Y': 0.5599631071090698, 'Z': -0.009528051130473614}, {'X': 0.8176546692848206, 'Y': 0.49452003836631775, 'Z': -0.025087732821702957}, {'X': 0.8140478134155273, 'Y': 0.43862491846084595, 'Z': -0.03785187378525734}, {'X': 0.8622268438339233, 'Y': 0.6968589425086975, 'Z': -0.013333920389413834}, {'X': 0.8692458868026733, 'Y': 0.6156628131866455, 'Z': -0.02670874074101448}, {'X': 0.8717447519302368, 'Y': 0.5622376203536987, 'Z': -0.03905752673745155}, {'X': 0.8705456256866455, 'Y': 0.5111806392669678, 'Z': -0.04907514527440071}]
[{'X': 0.8185800313949585, 'Y': 0.8927972912788391, 'Z': -1.4713685231981799e-05}, {'X': 0.7621651291847229, 'Y': 0.8631411790847778, 'Z': -0.004342995118349791}, {'X': 0.7182350754737854, 'Y': 0.7803752422332764, 'Z': -0.0023750956170260906}, {'X': 0.6894242167472839, 'Y': 0.7009249925613403, 'Z': -0.0019032300915569067}, {'X': 0.6627793908119202, 'Y': 0.6562080979347229, 'Z': -0.0004886405658908188}, {'X': 0.7512506246566772, 'Y': 0.6770443320274353, 'Z': 0.0019154342589899898}, {'X': 0.7422252297401428, 'Y': 0.5671972632408142, 'Z': -7.642764103366062e-05}, {'X': 0.7405815720558167, 'Y': 0.5099919438362122, 'Z': -0.003835297655314207}, {'X': 0.7407978177070618, 'Y': 0.46189141273498535, 'Z': -0.005966820754110813}, {'X': 0.7895915508270264, 'Y': 0.6665706634521484, 'Z': -0.000402294157538563}, {'X': 0.7839962244033813, 'Y': 0.5491411089897156, 'Z': 0.0047040097415447235}, {'X': 0.7804367542266846, 'Y': 0.4804591238498688, 'Z': -0.0010455944575369358}, {'X': 0.7786685228347778, 'Y': 0.4257233142852783, 'Z': -0.006340839434415102}, {'X': 0.8281418085098267, 'Y': 0.6749705672264099, 'Z': -0.004532035440206528}, {'X': 0.8261671662330627, 'Y': 0.5618435740470886, 'Z': -0.002037345664575696}, {'X': 0.8223239183425903, 'Y': 0.49289757013320923, 'Z': -0.011087559163570404}, {'X': 0.8190277218818665, 'Y': 0.4359581470489502, 'Z': -0.01795204170048237}, {'X': 0.8656671047210693, 'Y': 0.7004734873771667, 'Z': -0.0068039847537875175}, {'X': 0.8716426491737366, 'Y': 0.6151745319366455, 'Z': -0.009125689044594765}, {'X': 0.8746045231819153, 'Y': 0.5604880452156067, 'Z': -0.01667439192533493}, {'X': 0.8737122416496277, 'Y': 0.5127507448196411, 'Z': -0.022167569026350975}]
[{'X': 0.8214230537414551, 'Y': 0.8931751847267151, 'Z': -5.327485632733442e-05}, {'X': 0.7668509483337402, 'Y': 0.8622609376907349, 'Z': -0.00559979910030961}, {'X': 0.722479522228241, 'Y': 0.7801703810691833, 'Z': -0.005160631146281958}, {'X': 0.694793701171875, 'Y': 0.7012248039245605, 'Z': -0.006971989758312702}, {'X': 0.6660398840904236, 'Y': 0.660327136516571, 'Z': -0.009111889638006687}, {'X': 0.7542140483856201, 'Y': 0.6754390001296997, 'Z': -0.00039827104774303734}, {'X': 0.7454124689102173, 'Y': 0.5633229613304138, 'Z': -0.003795881289988756}, {'X': 0.7439999580383301, 'Y': 0.5032007694244385, 'Z': -0.007942083291709423}, {'X': 0.743430495262146, 'Y': 0.4557250738143921, 'Z': -0.012100564315915108}, {'X': 0.7925325632095337, 'Y': 0.6628156304359436, 'Z': -0.005503789521753788}, {'X': 0.7843892574310303, 'Y': 0.5422112345695496, 'Z': -0.002826519077643752}, {'X': 0.7813724279403687, 'Y': 0.4720504879951477, 'Z': -0.007017896510660648}, {'X': 0.7809172868728638, 'Y': 0.4193262457847595, 'Z': -0.011674792505800724}, {'X': 0.8299497365951538, 'Y': 0.6714074015617371, 'Z': -0.01222904771566391}, {'X': 0.8254132270812988, 'Y': 0.5552552938461304, 'Z': -0.01298612356185913}, {'X': 0.8210933804512024, 'Y': 0.4907568395137787, 'Z': -0.02016461081802845}, {'X': 0.8174655437469482, 'Y': 0.4389127492904663, 'Z': -0.02707928791642189}, {'X': 0.8664857149124146, 'Y': 0.6987520456314087, 'Z': -0.017129814252257347}, {'X': 0.8713664412498474, 'Y': 0.6127690076828003, 'Z': -0.024001769721508026}, {'X': 0.873357892036438, 'Y': 0.5623524785041809, 'Z': -0.03201937675476074}, {'X': 0.8716567754745483, 'Y': 0.5175333023071289, 'Z': -0.037069033831357956}]
[{'X': 0.8203848004341125, 'Y': 0.8880525827407837, 'Z': -2.862781548174098e-05}, {'X': 0.7678421139717102, 'Y': 0.8586767315864563, 'Z': -0.0014505945146083832}, {'X': 0.7245088815689087, 'Y': 0.774531364440918, 'Z': 0.0029941878747195005}, {'X': 0.6973826289176941, 'Y': 0.6971087455749512, 'Z': 0.005438133142888546}, {'X': 0.6705681085586548, 'Y': 0.6579475998878479, 'Z': 0.009724644012749195}, {'X': 0.7544141411781311, 'Y': 0.6727468371391296, 'Z': 0.006195965688675642}, {'X': 0.7447361350059509, 'Y': 0.5626927614212036, 'Z': 0.004276720806956291}, {'X': 0.7439199686050415, 'Y': 0.5040554404258728, 'Z': 0.0020718411542475224}, {'X': 0.744567334651947, 'Y': 0.45699095726013184, 'Z': -0.00016666058218106627}, {'X': 0.7917708158493042, 'Y': 0.661064624786377, 'Z': 5.102600880491082e-06}, {'X': 0.7847322225570679, 'Y': 0.5434418320655823, 'Z': 0.004851331934332848}, {'X': 0.7823197841644287, 'Y': 0.4753187298774719, 'Z': 0.0011671727988868952}, {'X': 0.7822859883308411, 'Y': 0.42226868867874146, 'Z': -0.0035622618161141872}, {'X': 0.8285987377166748, 'Y': 0.6702006459236145, 'Z': -0.007536925841122866}, {'X': 0.8260462880134583, 'Y': 0.5587623119354248, 'Z': -0.006490516941994429}, {'X': 0.8236871957778931, 'Y': 0.4954630136489868, 'Z': -0.012966821901500225}, {'X': 0.821431577205658, 'Y': 0.4440194368362427, 'Z': -0.019778374582529068}, {'X': 0.8648638129234314, 'Y': 0.6979781985282898, 'Z': -0.013228559866547585}, {'X': 0.8698961138725281, 'Y': 0.6179033517837524, 'Z': -0.018466269597411156}, {'X': 0.8729515075683594, 'Y': 0.5716639757156372, 'Z': -0.025240030139684677}, {'X': 0.8726025819778442, 'Y': 0.530997097492218, 'Z': -0.030375728383660316}]
[{'X': 0.8198273181915283, 'Y': 0.8860750198364258, 'Z': -3.083802221226506e-05}, {'X': 0.7687473297119141, 'Y': 0.8583916425704956, 'Z': -0.009175635874271393}, {'X': 0.7248966693878174, 'Y': 0.7736374139785767, 'Z': -0.0065984465181827545}, {'X': 0.6964439153671265, 'Y': 0.6978504657745361, 'Z': -0.006691590882837772}, {'X': 0.6686966419219971, 'Y': 0.661107063293457, 'Z': -0.005403529852628708}, {'X': 0.7549872398376465, 'Y': 0.6685172319412231, 'Z': 0.005902606062591076}, {'X': 0.7448217868804932, 'Y': 0.5659528970718384, 'Z': 0.003981104586273432}, {'X': 0.7440288066864014, 'Y': 0.5106105208396912, 'Z': 3.8966056308709085e-05}, {'X': 0.7443826198577881, 'Y': 0.46327275037765503, 'Z': -0.006252866238355637}, {'X': 0.7916974425315857, 'Y': 0.6573468446731567, 'Z': 0.0004576131468638778}, {'X': 0.7838689088821411, 'Y': 0.5468508005142212, 'Z': 0.005018339958041906}, {'X': 0.7811810374259949, 'Y': 0.481525182723999, 'Z': -0.0008085973677225411}, {'X': 0.7816082239151001, 'Y': 0.43019622564315796, 'Z': -0.007909687235951424}, {'X': 0.827674388885498, 'Y': 0.6681922674179077, 'Z': -0.007725373841822147}, {'X': 0.8253316879272461, 'Y': 0.5634033679962158, 'Z': -0.00711613055318594}, {'X': 0.8217166662216187, 'Y': 0.5057734847068787, 'Z': -0.015978632494807243}, {'X': 0.8184534311294556, 'Y': 0.45773229002952576, 'Z': -0.025846121832728386}, {'X': 0.8631426095962524, 'Y': 0.6988910436630249, 'Z': -0.015454891137778759}, {'X': 0.8677364587783813, 'Y': 0.6241490840911865, 'Z': -0.02352328971028328}, {'X': 0.8677865862846375, 'Y': 0.5849681496620178, 'Z': -0.032499250024557114}, {'X': 0.8643513917922974, 'Y': 0.5522767305374146, 'Z': -0.03890077397227287}]
[{'X': 0.8194077610969543, 'Y': 0.8864383697509766, 'Z': -3.746506990864873e-05}, {'X': 0.7696691155433655, 'Y': 0.8551639914512634, 'Z': -0.022743364796042442}, {'X': 0.7262991666793823, 'Y': 0.77156001329422, 'Z': -0.02682843804359436}, {'X': 0.6993252038955688, 'Y': 0.6959154605865479, 'Z': -0.03491413593292236}, {'X': 0.6697748303413391, 'Y': 0.6518088579177856, 'Z': -0.04579385370016098}, {'X': 0.7557982802391052, 'Y': 0.6607987880706787, 'Z': 0.002364328596740961}, {'X': 0.7441207766532898, 'Y': 0.566848874092102, 'Z': -0.0025105399545282125}, {'X': 0.7426210641860962, 'Y': 0.5132381916046143, 'Z': -0.008841484785079956}, {'X': 0.7431687116622925, 'Y': 0.46719563007354736, 'Z': -0.017051508650183678}, {'X': 0.7905079126358032, 'Y': 0.6489288210868835, 'Z': -0.001088548800908029}, {'X': 0.7814093232154846, 'Y': 0.5440350770950317, 'Z': -0.002615472301840782}, {'X': 0.7790443897247314, 'Y': 0.4811643362045288, 'Z': -0.015890754759311676}, {'X': 0.7795892953872681, 'Y': 0.4335924983024597, 'Z': -0.026564035564661026}, {'X': 0.824214518070221, 'Y': 0.6585673093795776, 'Z': -0.008983470499515533}, {'X': 0.8214095830917358, 'Y': 0.5602525472640991, 'Z': -0.015881845727562904}, {'X': 0.8176044225692749, 'Y': 0.5061618685722351, 'Z': -0.03209424018859863}, {'X': 0.812569797039032, 'Y': 0.4641575217247009, 'Z': -0.04583277925848961}, {'X': 0.8582212328910828, 'Y': 0.6877366304397583, 'Z': -0.018123816698789597}, {'X': 0.863594651222229, 'Y': 0.6167983412742615, 'Z': -0.03674925118684769}, {'X': 0.8622912168502808, 'Y': 0.5829885601997375, 'Z': -0.052299171686172485}, {'X': 0.8565400838851929, 'Y': 0.5602913498878479, 'Z': -0.06155550852417946}]
[{'X': 0.8157447576522827, 'Y': 0.8599916696548462, 'Z': -2.3165655875345692e-05}, {'X': 0.7651172876358032, 'Y': 0.8397529721260071, 'Z': -0.00025656650541350245}, {'X': 0.7231709361076355, 'Y': 0.7615324258804321, 'Z': 0.006967642344534397}, {'X': 0.6958616971969604, 'Y': 0.6875077486038208, 'Z': 0.00942827109247446}, {'X': 0.6677902340888977, 'Y': 0.6516984701156616, 'Z': 0.010166841559112072}, {'X': 0.751503586769104, 'Y': 0.6611071825027466, 'Z': 0.018184255808591843}, {'X': 0.7408021092414856, 'Y': 0.5627437829971313, 'Z': 0.022651290521025658}, {'X': 0.7400920987129211, 'Y': 0.509265661239624, 'Z': 0.02533394657075405}, {'X': 0.7403247952461243, 'Y': 0.4653370976448059, 'Z': 0.02472107857465744}, {'X': 0.7857418060302734, 'Y': 0.6477285623550415, 'Z': 0.01150642242282629}, {'X': 0.7782201170921326, 'Y': 0.5448048114776611, 'Z': 0.019403940066695213}, {'X': 0.7765547633171082, 'Y': 0.48120540380477905, 'Z': 0.01239217258989811}, {'X': 0.7766041159629822, 'Y': 0.43512967228889465, 'Z': 0.0052389721386134624}, {'X': 0.8203324675559998, 'Y': 0.6576337218284607, 'Z': 0.003782715415582061}, {'X': 0.8190534114837646, 'Y': 0.5619022846221924, 'Z': 0.006667700130492449}, {'X': 0.8163529634475708, 'Y': 0.5098972916603088, 'Z': -0.0045186304487288}, {'X': 0.81158047914505, 'Y': 0.4712681770324707, 'Z': -0.013061692006886005}, {'X': 0.8541578650474548, 'Y': 0.68556147813797, 'Z': -0.002862083725631237}, {'X': 0.8606449365615845, 'Y': 0.6169527769088745, 'Z': -0.011363165453076363}, {'X': 0.8601783514022827, 'Y': 0.5864057540893555, 'Z': -0.020172813907265663}, {'X': 0.8539832234382629, 'Y': 0.5679994225502014, 'Z': -0.023451317101716995}]
[{'X': 0.8166078329086304, 'Y': 0.8575847744941711, 'Z': -1.138500010711141e-05}, {'X': 0.7653601765632629, 'Y': 0.839511513710022, 'Z': -0.021128283813595772}, {'X': 0.7206422090530396, 'Y': 0.7626172304153442, 'Z': -0.024188930168747902}, {'X': 0.6943268775939941, 'Y': 0.6895309686660767, 'Z': -0.031046776100993156}, {'X': 0.6662189960479736, 'Y': 0.6480745077133179, 'Z': -0.042166661471128464}, {'X': 0.7510495185852051, 'Y': 0.6580972671508789, 'Z': -0.0028851721435785294}, {'X': 0.7392683029174805, 'Y': 0.5640000700950623, 'Z': -0.012040209956467152}, {'X': 0.7362297773361206, 'Y': 0.5133622884750366, 'Z': -0.020449817180633545}, {'X': 0.7351138591766357, 'Y': 0.46801602840423584, 'Z': -0.03036586567759514}, {'X': 0.7853015661239624, 'Y': 0.6459804177284241, 'Z': -0.007115842774510384}, {'X': 0.7753624320030212, 'Y': 0.5459772944450378, 'Z': -0.014182861894369125}, {'X': 0.7726196050643921, 'Y': 0.48800092935562134, 'Z': -0.03636276721954346}, {'X': 0.7723563313484192, 'Y': 0.4407036602497101, 'Z': -0.053585588932037354}, {'X': 0.8185766339302063, 'Y': 0.655006468296051, 'Z': -0.014522416517138481}, {'X': 0.8150681257247925, 'Y': 0.5636740922927856, 'Z': -0.02637193724513054}, {'X': 0.8110434412956238, 'Y': 0.5165403485298157, 'Z': -0.05124766007065773}, {'X': 0.8057136535644531, 'Y': 0.4781516194343567, 'Z': -0.07082559168338776}, {'X': 0.8527849912643433, 'Y': 0.6802201867103577, 'Z': -0.023476149886846542}, {'X': 0.8575547337532043, 'Y': 0.6145866513252258, 'Z': -0.04438290372490883}, {'X': 0.8556730151176453, 'Y': 0.5848659873008728, 'Z': -0.06318794935941696}, {'X': 0.8489262461662292, 'Y': 0.5638571381568909, 'Z': -0.0750567838549614}]
[{'X': 0.8137527704238892, 'Y': 0.8581936955451965, 'Z': -4.5023854909231886e-05}, {'X': 0.7651196718215942, 'Y': 0.8358210325241089, 'Z': -0.01113911997526884}, {'X': 0.7204796075820923, 'Y': 0.7560354471206665, 'Z': -0.009740033186972141}, {'X': 0.6933113932609558, 'Y': 0.6835688352584839, 'Z': -0.011754767037928104}, {'X': 0.6657330989837646, 'Y': 0.6494653224945068, 'Z': -0.014781570062041283}, {'X': 0.747490406036377, 'Y': 0.6583678126335144, 'Z': 0.002998159732669592}, {'X': 0.7377457022666931, 'Y': 0.5625365972518921, 'Z': 0.0024839304387569427}, {'X': 0.736279308795929, 'Y': 0.5117149353027344, 'Z': 0.0008847590070217848}, {'X': 0.735785961151123, 'Y': 0.4694269895553589, 'Z': -0.0035305609926581383}, {'X': 0.7808176279067993, 'Y': 0.6454673409461975, 'Z': -0.0013457024469971657}, {'X': 0.7721465229988098, 'Y': 0.545030951499939, 'Z': 0.0012346896110102534}, {'X': 0.7702534198760986, 'Y': 0.485704630613327, 'Z': -0.00990524236112833}, {'X': 0.7704192996025085, 'Y': 0.44088661670684814, 'Z': -0.019987786188721657}, {'X': 0.8139746785163879, 'Y': 0.6534855365753174, 'Z': -0.007577795535326004}, {'X': 0.8126688599586487, 'Y': 0.5606204271316528, 'Z': -0.009447610005736351}, {'X': 0.8099710941314697, 'Y': 0.510787844657898, 'Z': -0.021470265462994576}, {'X': 0.8048030138015747, 'Y': 0.4729032516479492, 'Z': -0.0324951596558094}, {'X': 0.8472925424575806, 'Y': 0.6787417531013489, 'Z': -0.014326819218695164}, {'X': 0.8543902635574341, 'Y': 0.6140350103378296, 'Z': -0.025642281398177147}, {'X': 0.8550562858581543, 'Y': 0.5836397409439087, 'Z': -0.03608272224664688}, {'X': 0.85059654712677, 'Y': 0.562354326248169, 'Z': -0.04071618616580963}]
[{'X': 0.8118489980697632, 'Y': 0.8432372808456421, 'Z': -3.386165190022439e-05}, {'X': 0.7611925005912781, 'Y': 0.8259423971176147, 'Z': -0.01702309399843216}, {'X': 0.7162741422653198, 'Y': 0.7522119283676147, 'Z': -0.015379429794847965}, {'X': 0.6920225620269775, 'Y': 0.6828736066818237, 'Z': -0.018708253279328346}, {'X': 0.6646605730056763, 'Y': 0.6472018361091614, 'Z': -0.023471632972359657}, {'X': 0.7458561658859253, 'Y': 0.6532526016235352, 'Z': 0.003119549248367548}, {'X': 0.7340588569641113, 'Y': 0.5607374310493469, 'Z': -0.0016190640162676573}, {'X': 0.7292884588241577, 'Y': 0.5102542042732239, 'Z': -0.006443820893764496}, {'X': 0.7256026268005371, 'Y': 0.4669957756996155, 'Z': -0.015047351829707623}, {'X': 0.7789246439933777, 'Y': 0.6428261995315552, 'Z': -0.002718496834859252}, {'X': 0.7698526382446289, 'Y': 0.5431509017944336, 'Z': -0.006333187222480774}, {'X': 0.7664501667022705, 'Y': 0.4861021637916565, 'Z': -0.02529856003820896}, {'X': 0.7653607130050659, 'Y': 0.4424309730529785, 'Z': -0.040265168994665146}, {'X': 0.811390221118927, 'Y': 0.6516263484954834, 'Z': -0.012147098779678345}, {'X': 0.8094496726989746, 'Y': 0.5620673298835754, 'Z': -0.021837830543518066}, {'X': 0.8059507608413696, 'Y': 0.5160601735115051, 'Z': -0.04362012445926666}, {'X': 0.8003911375999451, 'Y': 0.48068109154701233, 'Z': -0.06213728338479996}, {'X': 0.8447214365005493, 'Y': 0.6744049191474915, 'Z': -0.022203123196959496}, {'X': 0.8522504568099976, 'Y': 0.6130003333091736, 'Z': -0.04222362861037254}, {'X': 0.8521720170974731, 'Y': 0.5869042873382568, 'Z': -0.05944230034947395}, {'X': 0.8474363088607788, 'Y': 0.5703335404396057, 'Z': -0.06830835342407227}]
[{'X': 0.8088992238044739, 'Y': 0.8467055559158325, 'Z': -4.173321576672606e-05}, {'X': 0.7605551481246948, 'Y': 0.8202170729637146, 'Z': -0.001908712089061737}, {'X': 0.7171324491500854, 'Y': 0.7446999549865723, 'Z': 0.003646305063739419}, {'X': 0.6910293698310852, 'Y': 0.6764805316925049, 'Z': 0.004515412263572216}, {'X': 0.6670134663581848, 'Y': 0.6493929624557495, 'Z': 0.005271104630082846}, {'X': 0.7415319681167603, 'Y': 0.6562937498092651, 'Z': 0.021403659135103226}, {'X': 0.729503333568573, 'Y': 0.5632393956184387, 'Z': 0.02476588822901249}, {'X': 0.7271961569786072, 'Y': 0.5130138993263245, 'Z': 0.022557837888598442}, {'X': 0.7247793674468994, 'Y': 0.4762965440750122, 'Z': 0.017896246165037155}, {'X': 0.7740729451179504, 'Y': 0.6416784524917603, 'Z': 0.015437539666891098}, {'X': 0.7666562795639038, 'Y': 0.543584942817688, 'Z': 0.021715465933084488}, {'X': 0.7634965181350708, 'Y': 0.4875640571117401, 'Z': 0.01271146722137928}, {'X': 0.7603374123573303, 'Y': 0.44899415969848633, 'Z': 0.005578284151852131}, {'X': 0.8073949217796326, 'Y': 0.6477256417274475, 'Z': 0.0076578836888074875}, {'X': 0.808581531047821, 'Y': 0.5575482249259949, 'Z': 0.007362039759755135}, {'X': 0.8045182228088379, 'Y': 0.5246660113334656, 'Z': -0.0012741577811539173}, {'X': 0.7962782979011536, 'Y': 0.5065391063690186, 'Z': -0.006677850615233183}, {'X': 0.8416619300842285, 'Y': 0.6681921482086182, 'Z': 0.0007280244026333094}, {'X': 0.8494349122047424, 'Y': 0.6043240427970886, 'Z': -0.011266197077929974}, {'X': 0.8470342755317688, 'Y': 0.5920015573501587, 'Z': -0.02006377838551998}, {'X': 0.8393735885620117, 'Y': 0.593716561794281, 'Z': -0.02221360243856907}]
