[{'X': 0.764899730682373, 'Y': 0.8359872102737427, 'Z': -3.3384512789780274e-05}, {'X': 0.7122637033462524, 'Y': 0.807802677154541, 'Z': -0.009816381148993969}, {'X': 0.6675490736961365, 'Y': 0.7302879095077515, 'Z': -0.008349927142262459}, {'X': 0.6375805139541626, 'Y': 0.654681921005249, 'Z': -0.010677237994968891}, {'X': 0.6097331047058105, 'Y': 0.6164737343788147, 'Z': -0.016335874795913696}, {'X': 0.7092427015304565, 'Y': 0.6215425729751587, 'Z': 0.018369590863585472}, {'X': 0.6963518261909485, 'Y': 0.5199029445648193, 'Z': 0.022852178663015366}, {'X': 0.6923896074295044, 'Y': 0.4622829854488373, 'Z': 0.01969880796968937}, {'X': 0.690078616142273, 'Y': 0.4128427505493164, 'Z': 0.014422448351979256}, {'X': 0.7460108399391174, 'Y': 0.6108423471450806, 'Z': 0.017507759854197502}, {'X': 0.7393753528594971, 'Y': 0.5001773834228516, 'Z': 0.02480924315750599}, {'X': 0.7355563044548035, 'Y': 0.43251675367355347, 'Z': 0.012233776971697807}, {'X': 0.7338520884513855, 'Y': 0.3762803375720978, 'Z': 0.0008132765651680529}, {'X': 0.781507670879364, 'Y': 0.6194437146186829, 'Z': 0.014819622971117496}, {'X': 0.7785757780075073, 'Y': 0.5138622522354126, 'Z': 0.01754680834710598}, {'X': 0.7753233909606934, 'Y': 0.45001882314682007, 'Z': 0.0019985628314316273}, {'X': 0.7721788883209229, 'Y': 0.3950594663619995, 'Z': -0.0096742557361722}, {'X': 0.8153321743011475, 'Y': 0.6459010243415833, 'Z': 0.01324567012488842}, {'X': 0.8240293264389038, 'Y': 0.5667669177055359, 'Z': 0.009124779142439365}, {'X': 0.827933132648468, 'Y': 0.5173807740211487, 'Z': -3.756842261282145e-06}, {'X': 0.8275044560432434, 'Y': 0.47215139865875244, 'Z': -0.007025590166449547}]
[{'X': 0.7640476226806641, 'Y': 0.8456137776374817, 'Z': -3.480000304989517e-05}, {'X': 0.7121603488922119, 'Y': 0.8106456995010376, 'Z': -0.016213908791542053}, {'X': 0.6679239869117737, 'Y': 0.728314995765686, 'Z': -0.016530925408005714}, {'X': 0.6385481357574463, 'Y': 0.6516590118408203, 'Z': -0.020484380424022675}, {'X': 0.610949695110321, 'Y': 0.612480878829956, 'Z': -0.027292529121041298}, {'X': 0.7108779549598694, 'Y': 0.6205505728721619, 'Z': 0.01708790473639965}, {'X': 0.6985882520675659, 'Y': 0.5211613774299622, 'Z': 0.019032709300518036}, {'X': 0.6945598721504211, 'Y': 0.464589923620224, 'Z': 0.014117490500211716}, {'X': 0.6923446655273438, 'Y': 0.4154609441757202, 'Z': 0.007885261438786983}, {'X': 0.7474198937416077, 'Y': 0.6098886728286743, 'Z': 0.01674860715866089}, {'X': 0.7415170669555664, 'Y': 0.5004817247390747, 'Z': 0.022341575473546982}, {'X': 0.7383033633232117, 'Y': 0.433454692363739, 'Z': 0.008209173567593098}, {'X': 0.7375250458717346, 'Y': 0.37670546770095825, 'Z': -0.004763623233884573}, {'X': 0.7822266817092896, 'Y': 0.6187326312065125, 'Z': 0.013010736554861069}, {'X': 0.7803465127944946, 'Y': 0.5143550634384155, 'Z': 0.013637748546898365}, {'X': 0.7776248455047607, 'Y': 0.4513710141181946, 'Z': -0.0026521082036197186}, {'X': 0.7753044366836548, 'Y': 0.3963298201560974, 'Z': -0.015608550049364567}, {'X': 0.8160015940666199, 'Y': 0.6454395651817322, 'Z': 0.009675225242972374}, {'X': 0.8250539302825928, 'Y': 0.5673343539237976, 'Z': 0.0031093782745301723}, {'X': 0.8291865587234497, 'Y': 0.5175581574440002, 'Z': -0.007237654644995928}, {'X': 0.8299364447593689, 'Y': 0.47107747197151184, 'Z': -0.01517881266772747}]
[{'X': 0.7669185400009155, 'Y': 0.8415093421936035, 'Z': -4.3309082684572786e-05}, {'X': 0.715052604675293, 'Y': 0.8102409839630127, 'Z': -0.010335136204957962}, {'X': 0.6707311868667603, 'Y': 0.7304091453552246, 'Z': -0.008255137130618095}, {'X': 0.640814483165741, 'Y': 0.6532124876976013, 'Z': -0.010104664601385593}, {'X': 0.6132384538650513, 'Y': 0.615565836429596, 'Z': -0.01526826061308384}, {'X': 0.7123956084251404, 'Y': 0.6227371692657471, 'Z': 0.01616295799612999}, {'X': 0.699379563331604, 'Y': 0.5209202766418457, 'Z': 0.020824164152145386}, {'X': 0.6953458189964294, 'Y': 0.4639824330806732, 'Z': 0.01725703291594982}, {'X': 0.692919135093689, 'Y': 0.4143092632293701, 'Z': 0.011710911057889462}, {'X': 0.7491323947906494, 'Y': 0.611397922039032, 'Z': 0.016248458996415138}, {'X': 0.7422433495521545, 'Y': 0.5006381273269653, 'Z': 0.0236806683242321}, {'X': 0.7388575673103333, 'Y': 0.43290945887565613, 'Z': 0.011314050294458866}, {'X': 0.737573504447937, 'Y': 0.37540340423583984, 'Z': -0.00014870939776301384}, {'X': 0.7842856645584106, 'Y': 0.6197265982627869, 'Z': 0.014354783110320568}, {'X': 0.7817255258560181, 'Y': 0.5136906504631042, 'Z': 0.017152905464172363}, {'X': 0.778865396976471, 'Y': 0.449495792388916, 'Z': 0.00369649357162416}, {'X': 0.7761589288711548, 'Y': 0.39469271898269653, 'Z': -0.006815899629145861}, {'X': 0.8177778720855713, 'Y': 0.6457125544548035, 'Z': 0.013857563957571983}, {'X': 0.8267331123352051, 'Y': 0.5649731755256653, 'Z': 0.010069911368191242}, {'X': 0.8312742710113525, 'Y': 0.5149683952331543, 'Z': 0.002223619492724538}, {'X': 0.8313459157943726, 'Y': 0.46940213441848755, 'Z': -0.003918725531548262}]
[{'X': 0.7668215036392212, 'Y': 0.8356344699859619, 'Z': -4.1341252654092386e-05}, {'X': 0.7139319181442261, 'Y': 0.8039424419403076, 'Z': -0.015871547162532806}, {'X': 0.6678778529167175, 'Y': 0.7243445515632629, 'Z': -0.01794164441525936}, {'X': 0.6356503367424011, 'Y': 0.6467604041099548, 'Z': -0.023454496636986732}, {'X': 0.6068590879440308, 'Y': 0.6073319911956787, 'Z': -0.031797535717487335}, {'X': 0.711493968963623, 'Y': 0.6176074743270874, 'Z': 0.013650325126945972}, {'X': 0.6973738670349121, 'Y': 0.5157647132873535, 'Z': 0.018173635005950928}, {'X': 0.6926519870758057, 'Y': 0.45782867074012756, 'Z': 0.014774128794670105}, {'X': 0.6898834109306335, 'Y': 0.4088468551635742, 'Z': 0.008952529169619083}, {'X': 0.7475782632827759, 'Y': 0.6077808737754822, 'Z': 0.0160025954246521}, {'X': 0.7407776117324829, 'Y': 0.497065007686615, 'Z': 0.024045109748840332}, {'X': 0.7369727492332458, 'Y': 0.43123212456703186, 'Z': 0.012729812413454056}, {'X': 0.7356523275375366, 'Y': 0.37547847628593445, 'Z': 0.0012948598014190793}, {'X': 0.7828366756439209, 'Y': 0.6168837547302246, 'Z': 0.015778901055455208}, {'X': 0.7802841067314148, 'Y': 0.5107371807098389, 'Z': 0.019269868731498718}, {'X': 0.7767841219902039, 'Y': 0.4478248953819275, 'Z': 0.004899070132523775}, {'X': 0.7738956212997437, 'Y': 0.39280545711517334, 'Z': -0.007505936548113823}, {'X': 0.8168985843658447, 'Y': 0.6438564658164978, 'Z': 0.0157903004437685}, {'X': 0.8263027667999268, 'Y': 0.5660611391067505, 'Z': 0.013177379965782166}, {'X': 0.8315814733505249, 'Y': 0.5173047184944153, 'Z': 0.004674891475588083}, {'X': 0.8331822156906128, 'Y': 0.47086334228515625, 'Z': -0.0036342116072773933}]
[{'X': 0.7665144801139832, 'Y': 0.8329466581344604, 'Z': -3.961424226872623e-05}, {'X': 0.7146033048629761, 'Y': 0.8028172254562378, 'Z': -0.01357745286077261}, {'X': 0.6692790389060974, 'Y': 0.7245281338691711, 'Z': -0.013486351817846298}, {'X': 0.6381806135177612, 'Y': 0.6496198773384094, 'Z': -0.017289621755480766}, {'X': 0.6113729476928711, 'Y': 0.6114033460617065, 'Z': -0.023607445880770683}, {'X': 0.7116483449935913, 'Y': 0.6172624230384827, 'Z': 0.020282544195652008}, {'X': 0.6983977556228638, 'Y': 0.517784595489502, 'Z': 0.02566630207002163}, {'X': 0.69386225938797, 'Y': 0.4606741666793823, 'Z': 0.022038361057639122}, {'X': 0.6912449598312378, 'Y': 0.41273802518844604, 'Z': 0.01576368138194084}, {'X': 0.7470400333404541, 'Y': 0.6072192788124084, 'Z': 0.021467939019203186}, {'X': 0.741787314414978, 'Y': 0.49757736921310425, 'Z': 0.030848544090986252}, {'X': 0.7384340763092041, 'Y': 0.43251895904541016, 'Z': 0.019075429067015648}, {'X': 0.7371432185173035, 'Y': 0.37788885831832886, 'Z': 0.007622998207807541}, {'X': 0.7815492153167725, 'Y': 0.6157485842704773, 'Z': 0.01974862441420555}, {'X': 0.7796273231506348, 'Y': 0.5107460618019104, 'Z': 0.024365292862057686}, {'X': 0.7764976620674133, 'Y': 0.448520302772522, 'Z': 0.010251772589981556}, {'X': 0.7737928032875061, 'Y': 0.39335688948631287, 'Z': -0.002110839821398258}, {'X': 0.8149462938308716, 'Y': 0.6425015330314636, 'Z': 0.018281230702996254}, {'X': 0.8237892389297485, 'Y': 0.5666706562042236, 'Z': 0.016572102904319763}, {'X': 0.8287190198898315, 'Y': 0.518872082233429, 'Z': 0.009042087942361832}, {'X': 0.8301023840904236, 'Y': 0.47300195693969727, 'Z': 0.0014685228234156966}]
[{'X': 0.7663139700889587, 'Y': 0.8299084901809692, 'Z': -4.441084456630051e-05}, {'X': 0.7155870199203491, 'Y': 0.801344633102417, 'Z': -0.012917461805045605}, {'X': 0.6706898212432861, 'Y': 0.7249584197998047, 'Z': -0.012784592807292938}, {'X': 0.6389296650886536, 'Y': 0.6507337093353271, 'Z': -0.016917657107114792}, {'X': 0.6127629280090332, 'Y': 0.6117308735847473, 'Z': -0.023876016959547997}, {'X': 0.7116833925247192, 'Y': 0.6155403256416321, 'Z': 0.024185314774513245}, {'X': 0.6985774636268616, 'Y': 0.5191658139228821, 'Z': 0.03293117508292198}, {'X': 0.6943392157554626, 'Y': 0.46295833587646484, 'Z': 0.030578667297959328}, {'X': 0.6914156675338745, 'Y': 0.41467294096946716, 'Z': 0.02441183477640152}, {'X': 0.7462309002876282, 'Y': 0.6057818531990051, 'Z': 0.025928212329745293}, {'X': 0.7422316670417786, 'Y': 0.4989127516746521, 'Z': 0.038675934076309204}, {'X': 0.7394621968269348, 'Y': 0.43601876497268677, 'Z': 0.0287873987108469}, {'X': 0.7381141185760498, 'Y': 0.3829355537891388, 'Z': 0.018123872578144073}, {'X': 0.7806757092475891, 'Y': 0.6146119832992554, 'Z': 0.024833912029862404}, {'X': 0.7784018516540527, 'Y': 0.5111936330795288, 'Z': 0.031154273077845573}, {'X': 0.7751548290252686, 'Y': 0.4486984610557556, 'Z': 0.0187405813485384}, {'X': 0.7721456289291382, 'Y': 0.3926140367984772, 'Z': 0.007751897908747196}, {'X': 0.8143813610076904, 'Y': 0.6419696807861328, 'Z': 0.023540405556559563}, {'X': 0.8212845325469971, 'Y': 0.5667304992675781, 'Z': 0.02350177802145481}, {'X': 0.8257065415382385, 'Y': 0.5196230411529541, 'Z': 0.018103383481502533}, {'X': 0.8267300128936768, 'Y': 0.4741876721382141, 'Z': 0.011292662471532822}]
[{'X': 0.7618037462234497, 'Y': 0.8193213939666748, 'Z': -3.33228636009153e-05}, {'X': 0.7134935855865479, 'Y': 0.7944574952125549, 'Z': -0.015067750588059425}, {'X': 0.6703162789344788, 'Y': 0.7161234021186829, 'Z': -0.016194703057408333}, {'X': 0.6416115164756775, 'Y': 0.6450272798538208, 'Z': -0.02128499001264572}, {'X': 0.6122475266456604, 'Y': 0.6085631847381592, 'Z': -0.03208121284842491}, {'X': 0.7124189734458923, 'Y': 0.6218570470809937, 'Z': 0.026811042800545692}, {'X': 0.7025797963142395, 'Y': 0.5300441980361938, 'Z': 0.029255757108330727}, {'X': 0.6987419724464417, 'Y': 0.47881338000297546, 'Z': 0.021026628091931343}, {'X': 0.6949702501296997, 'Y': 0.4312528669834137, 'Z': 0.009312218986451626}, {'X': 0.7469655275344849, 'Y': 0.6122462153434753, 'Z': 0.025115419179201126}, {'X': 0.7434399127960205, 'Y': 0.5174736380577087, 'Z': 0.02900218404829502}, {'X': 0.7415838837623596, 'Y': 0.4616411030292511, 'Z': 0.011089085601270199}, {'X': 0.7420642375946045, 'Y': 0.41334593296051025, 'Z': -0.004062976688146591}, {'X': 0.7795450687408447, 'Y': 0.6186777949333191, 'Z': 0.019546445459127426}, {'X': 0.777512788772583, 'Y': 0.5244796276092529, 'Z': 0.019879164174199104}, {'X': 0.7733659148216248, 'Y': 0.4700983762741089, 'Z': 0.003542003920301795}, {'X': 0.769903838634491, 'Y': 0.4234548509120941, 'Z': -0.008920261636376381}, {'X': 0.8108085989952087, 'Y': 0.6407662630081177, 'Z': 0.013863423839211464}, {'X': 0.8174186944961548, 'Y': 0.5656551122665405, 'Z': 0.010441293939948082}, {'X': 0.8187024593353271, 'Y': 0.519258439540863, 'Z': 0.004282576497644186}, {'X': 0.8165891766548157, 'Y': 0.47533315420150757, 'Z': -0.0007109006983228028}]
[{'X': 0.763721227645874, 'Y': 0.8204721808433533, 'Z': -5.746642273152247e-06}, {'X': 0.716709315776825, 'Y': 0.7981926202774048, 'Z': -0.01077846996486187}, {'X': 0.6752703785896301, 'Y': 0.7146241068840027, 'Z': -0.014197100885212421}, {'X': 0.6457387208938599, 'Y': 0.6471903324127197, 'Z': -0.02208350971341133}, {'X': 0.6171325445175171, 'Y': 0.6112057566642761, 'Z': -0.03532915934920311}, {'X': 0.7060502767562866, 'Y': 0.6350913047790527, 'Z': 0.025156689807772636}, {'X': 0.7011107206344604, 'Y': 0.5427398085594177, 'Z': 0.03230970352888107}, {'X': 0.6997540593147278, 'Y': 0.4908953905105591, 'Z': 0.029827628284692764}, {'X': 0.6986624002456665, 'Y': 0.44558998942375183, 'Z': 0.023064306005835533}, {'X': 0.7399954795837402, 'Y': 0.6326583623886108, 'Z': 0.016547510400414467}, {'X': 0.7323291301727295, 'Y': 0.5710623264312744, 'Z': -0.016542641445994377}, {'X': 0.7271738052368164, 'Y': 0.6145778298377991, 'Z': -0.04984694719314575}, {'X': 0.7259542942047119, 'Y': 0.6499946117401123, 'Z': -0.05801917985081673}, {'X': 0.7730039358139038, 'Y': 0.6343398690223694, 'Z': 0.0065327477641403675}, {'X': 0.7733229994773865, 'Y': 0.5527881383895874, 'Z': -0.003993176855146885}, {'X': 0.7628161907196045, 'Y': 0.5088953971862793, 'Z': -0.02398953028023243}, {'X': 0.7533591985702515, 'Y': 0.46344995498657227, 'Z': -0.036314550787210464}, {'X': 0.8056469559669495, 'Y': 0.6448459625244141, 'Z': -0.005178427789360285}, {'X': 0.8069376945495605, 'Y': 0.572451114654541, 'Z': -0.012435480020940304}, {'X': 0.805292010307312, 'Y': 0.5288510322570801, 'Z': -0.020902985706925392}, {'X': 0.8024574518203735, 'Y': 0.4835667610168457, 'Z': -0.025017688050866127}]
[{'X': 0.763431191444397, 'Y': 0.8287426233291626, 'Z': -2.3123971914174035e-05}, {'X': 0.7209388613700867, 'Y': 0.7992755174636841, 'Z': -0.011619983240962029}, {'X': 0.6770178079605103, 'Y': 0.7114881277084351, 'Z': -0.003879056079313159}, {'X': 0.6452245116233826, 'Y': 0.6459532976150513, 'Z': 0.0012884248280897737}, {'X': 0.6155993342399597, 'Y': 0.6151705980300903, 'Z': 0.006040060892701149}, {'X': 0.7040006518363953, 'Y': 0.6390505433082581, 'Z': 0.03883466497063637}, {'X': 0.6973775625228882, 'Y': 0.5606170892715454, 'Z': 0.04537114128470421}, {'X': 0.6984241604804993, 'Y': 0.5069923996925354, 'Z': 0.0430411659181118}, {'X': 0.6977272033691406, 'Y': 0.45811671018600464, 'Z': 0.03238752484321594}, {'X': 0.734714925289154, 'Y': 0.6347781419754028, 'Z': 0.0361536405980587}, {'X': 0.7288004159927368, 'Y': 0.5824910998344421, 'Z': -0.007136911153793335}, {'X': 0.7292045950889587, 'Y': 0.6502857208251953, 'Z': -0.0335814543068409}, {'X': 0.7290126085281372, 'Y': 0.7022472023963928, 'Z': -0.034082818776369095}, {'X': 0.7644854187965393, 'Y': 0.6334410905838013, 'Z': 0.0305884201079607}, {'X': 0.7640364170074463, 'Y': 0.5598205327987671, 'Z': 0.018285883590579033}, {'X': 0.7556668519973755, 'Y': 0.5429357886314392, 'Z': 0.00862156506627798}, {'X': 0.7451539039611816, 'Y': 0.5202203989028931, 'Z': 0.0045807077549397945}, {'X': 0.7940411567687988, 'Y': 0.6407166719436646, 'Z': 0.02170274779200554}, {'X': 0.7985233664512634, 'Y': 0.5707235932350159, 'Z': 0.018290117383003235}, {'X': 0.7968910932540894, 'Y': 0.5342534780502319, 'Z': 0.011654810979962349}, {'X': 0.7911556959152222, 'Y': 0.4966651201248169, 'Z': 0.007627630140632391}]
[{'X': 0.7625530362129211, 'Y': 0.8262242078781128, 'Z': -1.951014928636141e-05}, {'X': 0.7226454019546509, 'Y': 0.7909435629844666, 'Z': -0.009400255046784878}, {'X': 0.6799752712249756, 'Y': 0.7033903002738953, 'Z': -0.00016766104090493172}, {'X': 0.6491074562072754, 'Y': 0.6440891623497009, 'Z': 0.004139260854572058}, {'X': 0.619500994682312, 'Y': 0.6173253655433655, 'Z': 0.006526600569486618}, {'X': 0.7083128690719604, 'Y': 0.6392965316772461, 'Z': 0.051717426627874374}, {'X': 0.7002232670783997, 'Y': 0.5690598487854004, 'Z': 0.0603051595389843}, {'X': 0.7008991241455078, 'Y': 0.5178492665290833, 'Z': 0.05876926705241203}, {'X': 0.6994655132293701, 'Y': 0.4723965525627136, 'Z': 0.04901203140616417}, {'X': 0.736810564994812, 'Y': 0.6343164443969727, 'Z': 0.04606164991855621}, {'X': 0.7304970622062683, 'Y': 0.5800172090530396, 'Z': 0.004068470560014248}, {'X': 0.7313326001167297, 'Y': 0.6496413350105286, 'Z': -0.02266603335738182}, {'X': 0.7307354807853699, 'Y': 0.7077552080154419, 'Z': -0.022300027310848236}, {'X': 0.7656673192977905, 'Y': 0.6335256099700928, 'Z': 0.03691977635025978}, {'X': 0.764786958694458, 'Y': 0.5590987801551819, 'Z': 0.02558794803917408}, {'X': 0.7560821771621704, 'Y': 0.548177182674408, 'Z': 0.01607859879732132}, {'X': 0.7458340525627136, 'Y': 0.5364932417869568, 'Z': 0.012851327657699585}, {'X': 0.795251190662384, 'Y': 0.6412445902824402, 'Z': 0.024223487824201584}, {'X': 0.8005015850067139, 'Y': 0.5708884000778198, 'Z': 0.02523641474545002}, {'X': 0.7987978458404541, 'Y': 0.5353380441665649, 'Z': 0.021060632541775703}, {'X': 0.7925885319709778, 'Y': 0.5031909942626953, 'Z': 0.017660703510046005}]
[{'X': 0.766184389591217, 'Y': 0.8270226716995239, 'Z': -4.360364255262539e-05}, {'X': 0.7237259149551392, 'Y': 0.7937105894088745, 'Z': -0.00955373514443636}, {'X': 0.6788880825042725, 'Y': 0.7049193978309631, 'Z': -0.00024846376618370414}, {'X': 0.6461789011955261, 'Y': 0.6437729597091675, 'Z': 0.004528414458036423}, {'X': 0.6150152683258057, 'Y': 0.6157183051109314, 'Z': 0.007102332543581724}, {'X': 0.7102298140525818, 'Y': 0.637531042098999, 'Z': 0.04953187331557274}, {'X': 0.7021631598472595, 'Y': 0.5648833513259888, 'Z': 0.06032551825046539}, {'X': 0.7028467655181885, 'Y': 0.5149568319320679, 'Z': 0.06004256382584572}, {'X': 0.7013859152793884, 'Y': 0.4707586467266083, 'Z': 0.052120693027973175}, {'X': 0.7400174140930176, 'Y': 0.6329180598258972, 'Z': 0.043881606310606}, {'X': 0.7336300015449524, 'Y': 0.583061933517456, 'Z': 0.00165209686383605}, {'X': 0.7335089445114136, 'Y': 0.6535492539405823, 'Z': -0.025580262765288353}, {'X': 0.7316433787345886, 'Y': 0.7108857035636902, 'Z': -0.026376135647296906}, {'X': 0.7689310312271118, 'Y': 0.6319175362586975, 'Z': 0.035033050924539566}, {'X': 0.7674734592437744, 'Y': 0.5591731071472168, 'Z': 0.02400047332048416}, {'X': 0.7584133148193359, 'Y': 0.551302433013916, 'Z': 0.0115743363276124}, {'X': 0.7472483515739441, 'Y': 0.5424700975418091, 'Z': 0.0050362106412649155}, {'X': 0.797177255153656, 'Y': 0.6382589340209961, 'Z': 0.02328738570213318}, {'X': 0.8025072813034058, 'Y': 0.5682032704353333, 'Z': 0.024844663217663765}, {'X': 0.8007769584655762, 'Y': 0.5339124798774719, 'Z': 0.02029905840754509}, {'X': 0.7941023111343384, 'Y': 0.5033137202262878, 'Z': 0.015252755954861641}]
