[{'X': 0.7825270891189575, 'Y': 0.6622850298881531, 'Z': -2.5582065063645132e-05}, {'X': 0.7286286354064941, 'Y': 0.6329658031463623, 'Z': -0.009710217826068401}, {'X': 0.6867576241493225, 'Y': 0.5465923547744751, 'Z': -0.0065849884413182735}, {'X': 0.6630859375, 'Y': 0.4704264998435974, 'Z': -0.009194421581923962}, {'X': 0.6371843218803406, 'Y': 0.4302544593811035, 'Z': -0.013578900136053562}, {'X': 0.7182928919792175, 'Y': 0.42369696497917175, 'Z': 0.03946528211236}, {'X': 0.7099140882492065, 'Y': 0.33489519357681274, 'Z': 0.04207683727145195}, {'X': 0.709187924861908, 'Y': 0.2798149585723877, 'Z': 0.0333399698138237}, {'X': 0.7110066413879395, 'Y': 0.23062999546527863, 'Z': 0.0238896906375885}, {'X': 0.7515851855278015, 'Y': 0.40664413571357727, 'Z': 0.034833457320928574}, {'X': 0.7468409538269043, 'Y': 0.3002784252166748, 'Z': 0.04486950486898422}, {'X': 0.7445935010910034, 'Y': 0.23030626773834229, 'Z': 0.030132990330457687}, {'X': 0.7457954287528992, 'Y': 0.1717974841594696, 'Z': 0.01543654315173626}, {'X': 0.7859423160552979, 'Y': 0.4106300175189972, 'Z': 0.02447023056447506}, {'X': 0.7812733054161072, 'Y': 0.3054557144641876, 'Z': 0.030478542670607567}, {'X': 0.7768276333808899, 'Y': 0.24145850539207458, 'Z': 0.018266987055540085}, {'X': 0.7751897573471069, 'Y': 0.18741950392723083, 'Z': 0.0065264771692454815}, {'X': 0.8226217031478882, 'Y': 0.4327230155467987, 'Z': 0.012279534712433815}, {'X': 0.8200908899307251, 'Y': 0.353988379240036, 'Z': 0.009433222934603691}, {'X': 0.8162765502929688, 'Y': 0.3076213002204895, 'Z': 0.0019459108589217067}, {'X': 0.812241792678833, 'Y': 0.26565226912498474, 'Z': -0.004414907656610012}]
[{'X': 0.7824675440788269, 'Y': 0.6569628715515137, 'Z': -4.9295795179205015e-05}, {'X': 0.7272397875785828, 'Y': 0.628821074962616, 'Z': -0.011064574122428894}, {'X': 0.6851756572723389, 'Y': 0.5429279804229736, 'Z': -0.005612573120743036}, {'X': 0.6613234281539917, 'Y': 0.46698543429374695, 'Z': -0.003668460063636303}, {'X': 0.6359130144119263, 'Y': 0.427674263715744, 'Z': -0.003566823899745941}, {'X': 0.7175341844558716, 'Y': 0.4203294813632965, 'Z': 0.034411072731018066}, {'X': 0.7091571688652039, 'Y': 0.3311694860458374, 'Z': 0.03577469289302826}, {'X': 0.7069131731987, 'Y': 0.276583194732666, 'Z': 0.027139389887452126}, {'X': 0.7081035375595093, 'Y': 0.22747205197811127, 'Z': 0.018753739073872566}, {'X': 0.7506142854690552, 'Y': 0.40579038858413696, 'Z': 0.029923204332590103}, {'X': 0.7463979721069336, 'Y': 0.29626381397247314, 'Z': 0.03931379318237305}, {'X': 0.7446610927581787, 'Y': 0.22886250913143158, 'Z': 0.027579590678215027}, {'X': 0.7452352046966553, 'Y': 0.17063865065574646, 'Z': 0.01747317798435688}, {'X': 0.7851298451423645, 'Y': 0.4102064371109009, 'Z': 0.020433850586414337}, {'X': 0.7823690176010132, 'Y': 0.3066851496696472, 'Z': 0.025019630789756775}, {'X': 0.7788229584693909, 'Y': 0.24244365096092224, 'Z': 0.010489722713828087}, {'X': 0.7768450975418091, 'Y': 0.18419164419174194, 'Z': -0.0013752535451203585}, {'X': 0.8214669227600098, 'Y': 0.4329278767108917, 'Z': 0.009429353289306164}, {'X': 0.8216623067855835, 'Y': 0.3552544116973877, 'Z': 0.005029754247516394}, {'X': 0.8194956183433533, 'Y': 0.306275874376297, 'Z': -0.004784510005265474}, {'X': 0.8153048753738403, 'Y': 0.25852328538894653, 'Z': -0.012547618709504604}]
[{'X': 0.7825186252593994, 'Y': 0.6412131786346436, 'Z': -5.583693564403802e-05}, {'X': 0.7285443544387817, 'Y': 0.615535318851471, 'Z': -0.010411970317363739}, {'X': 0.6866692304611206, 'Y': 0.5288757085800171, 'Z': -0.005387256387621164}, {'X': 0.6638950109481812, 'Y': 0.4539625346660614, 'Z': -0.004644075408577919}, {'X': 0.6384971737861633, 'Y': 0.4150383472442627, 'Z': -0.007082722149789333}, {'X': 0.7190483808517456, 'Y': 0.41286906599998474, 'Z': 0.03632256016135216}, {'X': 0.7115278244018555, 'Y': 0.3221748173236847, 'Z': 0.037690550088882446}, {'X': 0.7108756899833679, 'Y': 0.2671346068382263, 'Z': 0.027912497520446777}, {'X': 0.7122021913528442, 'Y': 0.2181590497493744, 'Z': 0.017603818327188492}, {'X': 0.7529813647270203, 'Y': 0.39732715487480164, 'Z': 0.03163950890302658}, {'X': 0.7501686215400696, 'Y': 0.2889740467071533, 'Z': 0.04151448979973793}, {'X': 0.7477137446403503, 'Y': 0.21717973053455353, 'Z': 0.025383614003658295}, {'X': 0.7479804158210754, 'Y': 0.15760672092437744, 'Z': 0.010556819848716259}, {'X': 0.7886282801628113, 'Y': 0.4022388756275177, 'Z': 0.022236613556742668}, {'X': 0.785761296749115, 'Y': 0.2966200113296509, 'Z': 0.026003379374742508}, {'X': 0.78264981508255, 'Y': 0.23154465854167938, 'Z': 0.011064795777201653}, {'X': 0.7808802127838135, 'Y': 0.17605295777320862, 'Z': -0.0012168948305770755}, {'X': 0.8261237740516663, 'Y': 0.42454513907432556, 'Z': 0.010607242584228516}, {'X': 0.8265426158905029, 'Y': 0.34346818923950195, 'Z': 0.005553949158638716}, {'X': 0.8244966864585876, 'Y': 0.2943262755870819, 'Z': -0.002372901188209653}, {'X': 0.8209740519523621, 'Y': 0.24953734874725342, 'Z': -0.008879347704350948}]
[{'X': 0.7819445133209229, 'Y': 0.6511304378509521, 'Z': -4.8278187023242936e-05}, {'X': 0.7286658883094788, 'Y': 0.6236220598220825, 'Z': -0.011256649158895016}, {'X': 0.6864716410636902, 'Y': 0.5394572615623474, 'Z': -0.004976081661880016}, {'X': 0.6630781888961792, 'Y': 0.4651433229446411, 'Z': -0.002088729524984956}, {'X': 0.6379724740982056, 'Y': 0.4281523525714874, 'Z': -0.001980731962248683}, {'X': 0.7180150747299194, 'Y': 0.42291468381881714, 'Z': 0.035275571048259735}, {'X': 0.7091183066368103, 'Y': 0.33339956402778625, 'Z': 0.03786107525229454}, {'X': 0.7077034115791321, 'Y': 0.2797582447528839, 'Z': 0.02885543368756771}, {'X': 0.7099548578262329, 'Y': 0.23214629292488098, 'Z': 0.01816200092434883}, {'X': 0.7526054382324219, 'Y': 0.40559911727905273, 'Z': 0.031509168446063995}, {'X': 0.7471142411231995, 'Y': 0.2983296513557434, 'Z': 0.04094843938946724}, {'X': 0.7441734671592712, 'Y': 0.22746016085147858, 'Z': 0.025507692247629166}, {'X': 0.745553731918335, 'Y': 0.16606763005256653, 'Z': 0.010340387001633644}, {'X': 0.7887095212936401, 'Y': 0.4085344076156616, 'Z': 0.022918859496712685}, {'X': 0.7838178277015686, 'Y': 0.3056793808937073, 'Z': 0.026893375441432}, {'X': 0.7791489958763123, 'Y': 0.2408597618341446, 'Z': 0.011105687357485294}, {'X': 0.7770127654075623, 'Y': 0.18313288688659668, 'Z': -0.003798216348513961}, {'X': 0.8270090222358704, 'Y': 0.4294327199459076, 'Z': 0.012965156696736813}, {'X': 0.8257373571395874, 'Y': 0.35082972049713135, 'Z': 0.0077543677762150764}, {'X': 0.8222178220748901, 'Y': 0.3033018410205841, 'Z': -0.0004397505836095661}, {'X': 0.816912829875946, 'Y': 0.2573840320110321, 'Z': -0.00850185938179493}]
[{'X': 0.7847145199775696, 'Y': 0.6609182357788086, 'Z': -3.4673765185289085e-05}, {'X': 0.7315928339958191, 'Y': 0.6315207481384277, 'Z': -0.012946868315339088}, {'X': 0.6911006569862366, 'Y': 0.544145405292511, 'Z': -0.010615532286465168}, {'X': 0.6695727705955505, 'Y': 0.46846020221710205, 'Z': -0.012362402863800526}, {'X': 0.6422760486602783, 'Y': 0.42949050664901733, 'Z': -0.01554553396999836}, {'X': 0.7206947803497314, 'Y': 0.4279859960079193, 'Z': 0.02596285007894039}, {'X': 0.7134556770324707, 'Y': 0.33580851554870605, 'Z': 0.022772451862692833}, {'X': 0.7138859033584595, 'Y': 0.2793247401714325, 'Z': 0.012179055251181126}, {'X': 0.7167031764984131, 'Y': 0.2282051146030426, 'Z': 0.0014306034427136183}, {'X': 0.7542999982833862, 'Y': 0.41113990545272827, 'Z': 0.021817969158291817}, {'X': 0.749643087387085, 'Y': 0.3057151436805725, 'Z': 0.02559076063334942}, {'X': 0.7465435862541199, 'Y': 0.23594407737255096, 'Z': 0.007897387258708477}, {'X': 0.7461778521537781, 'Y': 0.17635464668273926, 'Z': -0.009209791198372841}, {'X': 0.7892134189605713, 'Y': 0.4147051274776459, 'Z': 0.012715382501482964}, {'X': 0.7839726805686951, 'Y': 0.311737060546875, 'Z': 0.01196594163775444}, {'X': 0.7782629728317261, 'Y': 0.24813495576381683, 'Z': -0.0052593606524169445}, {'X': 0.7749357223510742, 'Y': 0.1935926079750061, 'Z': -0.020031176507472992}, {'X': 0.8267833590507507, 'Y': 0.43546146154403687, 'Z': 0.0018323204712942243}, {'X': 0.8268327713012695, 'Y': 0.3555064797401428, 'Z': -0.0057761757634580135}, {'X': 0.8246102333068848, 'Y': 0.3058691620826721, 'Z': -0.01619153469800949}, {'X': 0.8216642737388611, 'Y': 0.25968194007873535, 'Z': -0.02531994879245758}]
[{'X': 0.7875756025314331, 'Y': 0.6577019691467285, 'Z': -3.600490163080394e-05}, {'X': 0.7317242622375488, 'Y': 0.6274571418762207, 'Z': -0.010726558975875378}, {'X': 0.6902347207069397, 'Y': 0.5408743619918823, 'Z': -0.003705493174493313}, {'X': 0.6690027117729187, 'Y': 0.4626784026622772, 'Z': 0.0005232360563240945}, {'X': 0.6454096436500549, 'Y': 0.424930214881897, 'Z': 0.006086850073188543}, {'X': 0.7207689881324768, 'Y': 0.4325750470161438, 'Z': 0.028933271765708923}, {'X': 0.7142029404640198, 'Y': 0.33508893847465515, 'Z': 0.022811833769083023}, {'X': 0.7138961553573608, 'Y': 0.2766095995903015, 'Z': 0.009816141799092293}, {'X': 0.7167211174964905, 'Y': 0.22199004888534546, 'Z': -0.0023370543494820595}, {'X': 0.7550119757652283, 'Y': 0.4178497791290283, 'Z': 0.0237042885273695}, {'X': 0.7497386932373047, 'Y': 0.31104522943496704, 'Z': 0.018515711650252342}, {'X': 0.7495601177215576, 'Y': 0.24859267473220825, 'Z': -0.00401555048301816}, {'X': 0.7524062395095825, 'Y': 0.19380027055740356, 'Z': -0.021793203428387642}, {'X': 0.7893576622009277, 'Y': 0.4183410406112671, 'Z': 0.013619262725114822}, {'X': 0.7856141328811646, 'Y': 0.3162750005722046, 'Z': 0.008550576865673065}, {'X': 0.7819761037826538, 'Y': 0.25229179859161377, 'Z': -0.012176783755421638}, {'X': 0.7803323864936829, 'Y': 0.19481751322746277, 'Z': -0.02796442061662674}, {'X': 0.8256253004074097, 'Y': 0.43562495708465576, 'Z': 0.001991579309105873}, {'X': 0.824862003326416, 'Y': 0.35810530185699463, 'Z': -0.005194424651563168}, {'X': 0.8233911991119385, 'Y': 0.3058958649635315, 'Z': -0.015746861696243286}, {'X': 0.8195681571960449, 'Y': 0.25310981273651123, 'Z': -0.025662612169981003}]
[{'X': 0.7914474606513977, 'Y': 0.6577581167221069, 'Z': 1.8392956917523406e-05}, {'X': 0.7336541414260864, 'Y': 0.6241647005081177, 'Z': -0.0030564353801310062}, {'X': 0.6939830780029297, 'Y': 0.5350551605224609, 'Z': 0.006546258460730314}, {'X': 0.6706806421279907, 'Y': 0.45865947008132935, 'Z': 0.00862237811088562}, {'X': 0.6447620987892151, 'Y': 0.41766270995140076, 'Z': 0.011045400984585285}, {'X': 0.7229905128479004, 'Y': 0.42467889189720154, 'Z': 0.057822421193122864}, {'X': 0.7172724604606628, 'Y': 0.32661986351013184, 'Z': 0.06406915187835693}, {'X': 0.7189866304397583, 'Y': 0.26946717500686646, 'Z': 0.059785518795251846}, {'X': 0.7221726179122925, 'Y': 0.21972116827964783, 'Z': 0.054530978202819824}, {'X': 0.7588726878166199, 'Y': 0.4127809405326843, 'Z': 0.05011999234557152}, {'X': 0.7562573552131653, 'Y': 0.3270067274570465, 'Z': 0.048010967671871185}, {'X': 0.7553918361663818, 'Y': 0.2971402406692505, 'Z': 0.02490546554327011}, {'X': 0.7553068399429321, 'Y': 0.28100135922431946, 'Z': 0.01497622113674879}, {'X': 0.7944572567939758, 'Y': 0.4102764129638672, 'Z': 0.03774162754416466}, {'X': 0.7940073609352112, 'Y': 0.3223966956138611, 'Z': 0.04190981388092041}, {'X': 0.7880678176879883, 'Y': 0.26113760471343994, 'Z': 0.02046748250722885}, {'X': 0.7808661460876465, 'Y': 0.20899035036563873, 'Z': 0.005276754964143038}, {'X': 0.8315141201019287, 'Y': 0.4231942892074585, 'Z': 0.024564947932958603}, {'X': 0.8296409249305725, 'Y': 0.3500645160675049, 'Z': 0.025935156270861626}, {'X': 0.8266217112541199, 'Y': 0.2990133762359619, 'Z': 0.017960207536816597}, {'X': 0.8194227814674377, 'Y': 0.24897003173828125, 'Z': 0.011617785319685936}]
[{'X': 0.787786066532135, 'Y': 0.6595045924186707, 'Z': -4.037890903418884e-06}, {'X': 0.7306605577468872, 'Y': 0.6241635680198669, 'Z': 0.005439042579382658}, {'X': 0.6950927376747131, 'Y': 0.5321037173271179, 'Z': 0.017694097012281418}, {'X': 0.6723706722259521, 'Y': 0.4587186872959137, 'Z': 0.022273723036050797}, {'X': 0.6525629758834839, 'Y': 0.42220133543014526, 'Z': 0.025634756311774254}, {'X': 0.7233982086181641, 'Y': 0.4376567304134369, 'Z': 0.06498590111732483}, {'X': 0.71784508228302, 'Y': 0.3400859236717224, 'Z': 0.07594803720712662}, {'X': 0.7189359664916992, 'Y': 0.27564680576324463, 'Z': 0.0739995539188385}, {'X': 0.7226972579956055, 'Y': 0.2241840958595276, 'Z': 0.06800279766321182}, {'X': 0.7547782063484192, 'Y': 0.4311056137084961, 'Z': 0.05258554592728615}, {'X': 0.742576003074646, 'Y': 0.3555033504962921, 'Z': 0.01597754657268524}, {'X': 0.7371019124984741, 'Y': 0.41429415345191956, 'Z': -0.017286386340856552}, {'X': 0.737897515296936, 'Y': 0.4633379876613617, 'Z': -0.016814224421977997}, {'X': 0.7881234884262085, 'Y': 0.4255751967430115, 'Z': 0.03776945173740387}, {'X': 0.7899165749549866, 'Y': 0.3333955407142639, 'Z': 0.03237411752343178}, {'X': 0.7816540598869324, 'Y': 0.29817813634872437, 'Z': 0.014876516535878181}, {'X': 0.7741802930831909, 'Y': 0.2574431300163269, 'Z': 0.008966292254626751}, {'X': 0.8241313695907593, 'Y': 0.43211138248443604, 'Z': 0.022680507972836494}, {'X': 0.8250401020050049, 'Y': 0.35255974531173706, 'Z': 0.02449813298881054}, {'X': 0.8238897919654846, 'Y': 0.3046966791152954, 'Z': 0.019545316696166992}, {'X': 0.8218593597412109, 'Y': 0.25594979524612427, 'Z': 0.01894097961485386}]
[{'X': 0.7867207527160645, 'Y': 0.6603840589523315, 'Z': -4.556012208922766e-05}, {'X': 0.7360979914665222, 'Y': 0.626713752746582, 'Z': -0.0035464263055473566}, {'X': 0.699602484703064, 'Y': 0.5331204533576965, 'Z': 0.004219854716211557}, {'X': 0.6794860363006592, 'Y': 0.46021175384521484, 'Z': 0.005355791188776493}, {'X': 0.6556011438369751, 'Y': 0.42069217562675476, 'Z': 0.003244275925680995}, {'X': 0.7213765382766724, 'Y': 0.4415734112262726, 'Z': 0.048776812851428986}, {'X': 0.7152430415153503, 'Y': 0.3498167395591736, 'Z': 0.05869129300117493}, {'X': 0.7173320055007935, 'Y': 0.2844582796096802, 'Z': 0.062273383140563965}, {'X': 0.7196322679519653, 'Y': 0.2323695719242096, 'Z': 0.05655897408723831}, {'X': 0.7528181672096252, 'Y': 0.43529245257377625, 'Z': 0.03779708221554756}, {'X': 0.7427526712417603, 'Y': 0.3750653862953186, 'Z': -0.01086562778800726}, {'X': 0.7399858236312866, 'Y': 0.44859179854393005, 'Z': -0.040137991309165955}, {'X': 0.7413583993911743, 'Y': 0.5051672458648682, 'Z': -0.03701725974678993}, {'X': 0.7838515639305115, 'Y': 0.42901095747947693, 'Z': 0.022778857499361038}, {'X': 0.7842801809310913, 'Y': 0.3450264036655426, 'Z': 0.008391319774091244}, {'X': 0.7738532423973083, 'Y': 0.32244008779525757, 'Z': -0.005410364363342524}, {'X': 0.7658400535583496, 'Y': 0.2930815815925598, 'Z': -0.007669424172490835}, {'X': 0.818645715713501, 'Y': 0.43084782361984253, 'Z': 0.004861579276621342}, {'X': 0.8182318806648254, 'Y': 0.35130277276039124, 'Z': 0.0019801678135991096}, {'X': 0.8154724836349487, 'Y': 0.3060045838356018, 'Z': -0.005999517161399126}, {'X': 0.8128216862678528, 'Y': 0.2612178921699524, 'Z': -0.009055610746145248}]
[{'X': 0.7853549718856812, 'Y': 0.6578468680381775, 'Z': -5.5991629778873175e-05}, {'X': 0.737595796585083, 'Y': 0.6266776919364929, 'Z': -0.00564551679417491}, {'X': 0.699326753616333, 'Y': 0.5272619724273682, 'Z': 0.004064301028847694}, {'X': 0.677832841873169, 'Y': 0.45241105556488037, 'Z': 0.006257173139601946}, {'X': 0.6504282355308533, 'Y': 0.4081113636493683, 'Z': 0.00934040080755949}, {'X': 0.7264567613601685, 'Y': 0.43533530831336975, 'Z': 0.047460298985242844}, {'X': 0.7202174067497253, 'Y': 0.3429568409919739, 'Z': 0.055434249341487885}, {'X': 0.7193102836608887, 'Y': 0.2829657196998596, 'Z': 0.05944858491420746}, {'X': 0.7173565626144409, 'Y': 0.22947965562343597, 'Z': 0.05735320597887039}, {'X': 0.7564454674720764, 'Y': 0.4316442608833313, 'Z': 0.036519281566143036}, {'X': 0.7438775897026062, 'Y': 0.3651564121246338, 'Z': -0.020783334970474243}, {'X': 0.7379454970359802, 'Y': 0.44622117280960083, 'Z': -0.047252025455236435}, {'X': 0.7371224164962769, 'Y': 0.5084408521652222, 'Z': -0.039998479187488556}, {'X': 0.78704833984375, 'Y': 0.43141040205955505, 'Z': 0.02150021493434906}, {'X': 0.7809988856315613, 'Y': 0.3435162901878357, 'Z': -0.0033892446663230658}, {'X': 0.7681254148483276, 'Y': 0.3440374433994293, 'Z': -0.020208770409226418}, {'X': 0.759131908416748, 'Y': 0.3397723138332367, 'Z': -0.024645203724503517}, {'X': 0.8203316926956177, 'Y': 0.4394780695438385, 'Z': 0.004284553695470095}, {'X': 0.8193812966346741, 'Y': 0.35538217425346375, 'Z': 0.0031239166855812073}, {'X': 0.8156175017356873, 'Y': 0.3073804974555969, 'Z': -0.005879897158592939}, {'X': 0.8123249411582947, 'Y': 0.2616422772407532, 'Z': -0.012456406839191914}]
[{'X': 0.7841330170631409, 'Y': 0.660163164138794, 'Z': -4.477649417822249e-05}, {'X': 0.7352066040039062, 'Y': 0.6229249835014343, 'Z': 0.0032433466985821724}, {'X': 0.7002976536750793, 'Y': 0.5305134654045105, 'Z': 0.018744833767414093}, {'X': 0.6796226501464844, 'Y': 0.46205833554267883, 'Z': 0.025043051689863205}, {'X': 0.6525909900665283, 'Y': 0.41349300742149353, 'Z': 0.03354884684085846}, {'X': 0.7283329367637634, 'Y': 0.4388772249221802, 'Z': 0.061630431562662125}, {'X': 0.7221314311027527, 'Y': 0.3605300486087799, 'Z': 0.07181863486766815}, {'X': 0.7184703350067139, 'Y': 0.3093178868293762, 'Z': 0.07319146394729614}, {'X': 0.7145193219184875, 'Y': 0.2629561424255371, 'Z': 0.06877503544092178}, {'X': 0.7571647763252258, 'Y': 0.4335108697414398, 'Z': 0.04706316068768501}, {'X': 0.7446273565292358, 'Y': 0.3578858971595764, 'Z': 0.000690086861141026}, {'X': 0.7365709543228149, 'Y': 0.4318162500858307, 'Z': -0.035561952739953995}, {'X': 0.7361919283866882, 'Y': 0.4943886995315552, 'Z': -0.040384698659181595}, {'X': 0.7882454991340637, 'Y': 0.43304336071014404, 'Z': 0.029072362929582596}, {'X': 0.7831588983535767, 'Y': 0.3434060215950012, 'Z': 0.006654575001448393}, {'X': 0.7668651342391968, 'Y': 0.35288697481155396, 'Z': -0.018071768805384636}, {'X': 0.7561805248260498, 'Y': 0.36318743228912354, 'Z': -0.028811585158109665}, {'X': 0.8221322894096375, 'Y': 0.4414491057395935, 'Z': 0.010736746713519096}, {'X': 0.8224613070487976, 'Y': 0.3623824119567871, 'Z': 0.006927669979631901}, {'X': 0.8151485323905945, 'Y': 0.3211015462875366, 'Z': -0.0057476963847875595}, {'X': 0.8072333335876465, 'Y': 0.2882774770259857, 'Z': -0.014782099053263664}]
