[{'X': 0.7685785293579102, 'Y': 0.822953462600708, 'Z': -4.366798384580761e-05}, {'X': 0.7161072492599487, 'Y': 0.7978977560997009, 'Z': 0.0003200855862814933}, {'X': 0.6773748397827148, 'Y': 0.7270289659500122, 'Z': 0.00437796488404274}, {'X': 0.6555598378181458, 'Y': 0.6573704481124878, 'Z': 0.004922472406178713}, {'X': 0.6382697224617004, 'Y': 0.6248695254325867, 'Z': 0.002978687407448888}, {'X': 0.7042587995529175, 'Y': 0.6365814805030823, 'Z': 0.01033737137913704}, {'X': 0.695915937423706, 'Y': 0.5340571403503418, 'Z': 0.014311820268630981}, {'X': 0.6933070421218872, 'Y': 0.47562605142593384, 'Z': 0.01566590741276741}, {'X': 0.690597414970398, 'Y': 0.4310712218284607, 'Z': 0.013216640800237656}, {'X': 0.7346391081809998, 'Y': 0.6182588934898376, 'Z': 0.0063772196881473064}, {'X': 0.7259164452552795, 'Y': 0.5124021768569946, 'Z': 0.00965937040746212}, {'X': 0.7198057174682617, 'Y': 0.4476712644100189, 'Z': 0.0008503643330186605}, {'X': 0.7148212790489197, 'Y': 0.398670494556427, 'Z': -0.009171740151941776}, {'X': 0.7668524384498596, 'Y': 0.6189303994178772, 'Z': 0.002150735119357705}, {'X': 0.7595335841178894, 'Y': 0.5137425661087036, 'Z': 0.004035354126244783}, {'X': 0.7529601454734802, 'Y': 0.4539708197116852, 'Z': -0.0024881046265363693}, {'X': 0.7454431056976318, 'Y': 0.4067703187465668, 'Z': -0.009236996062099934}, {'X': 0.8007479906082153, 'Y': 0.6384077668190002, 'Z': -0.0013219425454735756}, {'X': 0.8047742247581482, 'Y': 0.5559270977973938, 'Z': -0.002858327468857169}, {'X': 0.8058062195777893, 'Y': 0.5069208145141602, 'Z': -0.008205810561776161}, {'X': 0.8022223114967346, 'Y': 0.4629632234573364, 'Z': -0.014491075649857521}]
[{'X': 0.7678003907203674, 'Y': 0.8231955766677856, 'Z': -3.458189166849479e-05}, {'X': 0.7154004573822021, 'Y': 0.8008561134338379, 'Z': 0.00870743952691555}, {'X': 0.675274133682251, 'Y': 0.7267282009124756, 'Z': 0.017022931948304176}, {'X': 0.6501027941703796, 'Y': 0.6533085703849792, 'Z': 0.019144630059599876}, {'X': 0.6261839866638184, 'Y': 0.6186659932136536, 'Z': 0.017039652913808823}, {'X': 0.703734278678894, 'Y': 0.6330880522727966, 'Z': 0.029670167714357376}, {'X': 0.6948422789573669, 'Y': 0.5312393307685852, 'Z': 0.04099985584616661}, {'X': 0.6931816935539246, 'Y': 0.4751683473587036, 'Z': 0.04539665952324867}, {'X': 0.6916342973709106, 'Y': 0.4309748411178589, 'Z': 0.04494472220540047}, {'X': 0.735186755657196, 'Y': 0.6153532862663269, 'Z': 0.023543991148471832}, {'X': 0.7260507345199585, 'Y': 0.508584201335907, 'Z': 0.03528055548667908}, {'X': 0.720815896987915, 'Y': 0.4441364109516144, 'Z': 0.030205804854631424}, {'X': 0.7172505855560303, 'Y': 0.3939141631126404, 'Z': 0.0241644699126482}, {'X': 0.7681783437728882, 'Y': 0.6155635118484497, 'Z': 0.017632827162742615}, {'X': 0.7607200741767883, 'Y': 0.5105442404747009, 'Z': 0.025924595072865486}, {'X': 0.7539770007133484, 'Y': 0.45133623480796814, 'Z': 0.022316666319966316}, {'X': 0.7471927404403687, 'Y': 0.4053876996040344, 'Z': 0.018600549548864365}, {'X': 0.8017758727073669, 'Y': 0.6337787508964539, 'Z': 0.013621659018099308}, {'X': 0.8061931133270264, 'Y': 0.5503987073898315, 'Z': 0.015385123901069164}, {'X': 0.8080369234085083, 'Y': 0.5021329522132874, 'Z': 0.011980892159044743}, {'X': 0.8054671287536621, 'Y': 0.46050986647605896, 'Z': 0.009086091071367264}]
[{'X': 0.7684518694877625, 'Y': 0.8212604522705078, 'Z': -4.118691504118033e-05}, {'X': 0.7155105471611023, 'Y': 0.8003257513046265, 'Z': 0.005519547965377569}, {'X': 0.674791693687439, 'Y': 0.7262728810310364, 'Z': 0.01103007048368454}, {'X': 0.6493179202079773, 'Y': 0.6517201662063599, 'Z': 0.011077666655182838}, {'X': 0.6245347261428833, 'Y': 0.6164786219596863, 'Z': 0.006584980059415102}, {'X': 0.7043021321296692, 'Y': 0.6342530846595764, 'Z': 0.019350484013557434}, {'X': 0.6953737139701843, 'Y': 0.5312519073486328, 'Z': 0.028556810691952705}, {'X': 0.693174421787262, 'Y': 0.4751291871070862, 'Z': 0.0325489416718483}, {'X': 0.6909671425819397, 'Y': 0.4303918480873108, 'Z': 0.03193023428320885}, {'X': 0.7358803153038025, 'Y': 0.6166236400604248, 'Z': 0.014053478837013245}, {'X': 0.7258861660957336, 'Y': 0.508569061756134, 'Z': 0.023388046771287918}, {'X': 0.7201131582260132, 'Y': 0.4434452950954437, 'Z': 0.017668932676315308}, {'X': 0.7159595489501953, 'Y': 0.39270976185798645, 'Z': 0.011245019733905792}, {'X': 0.7687104940414429, 'Y': 0.6164129376411438, 'Z': 0.009358364157378674}, {'X': 0.7608777284622192, 'Y': 0.5105341672897339, 'Z': 0.01574350707232952}, {'X': 0.7537933588027954, 'Y': 0.4510886073112488, 'Z': 0.010581351816654205}, {'X': 0.7467555403709412, 'Y': 0.40517905354499817, 'Z': 0.006276886444538832}, {'X': 0.8020280599594116, 'Y': 0.6337104439735413, 'Z': 0.0066660186275839806}, {'X': 0.806921660900116, 'Y': 0.5494174957275391, 'Z': 0.006309459451586008}, {'X': 0.8086992502212524, 'Y': 0.5010371804237366, 'Z': 0.00171748292632401}, {'X': 0.8060200214385986, 'Y': 0.45959848165512085, 'Z': -0.0018032651860266924}]
[{'X': 0.7671171426773071, 'Y': 0.8279119729995728, 'Z': -3.0949307983973995e-05}, {'X': 0.7163059711456299, 'Y': 0.8051583766937256, 'Z': 0.0006656958721578121}, {'X': 0.6750166416168213, 'Y': 0.7277073264122009, 'Z': 0.008527309633791447}, {'X': 0.6487641334533691, 'Y': 0.6497167348861694, 'Z': 0.009495843201875687}, {'X': 0.6212083101272583, 'Y': 0.6143653392791748, 'Z': 0.004907512571662664}, {'X': 0.7045062780380249, 'Y': 0.630562424659729, 'Z': 0.03914661332964897}, {'X': 0.6941022872924805, 'Y': 0.5333069562911987, 'Z': 0.05061434954404831}, {'X': 0.6918790936470032, 'Y': 0.47861915826797485, 'Z': 0.051641445606946945}, {'X': 0.6904387474060059, 'Y': 0.43183308839797974, 'Z': 0.04847608134150505}, {'X': 0.7366818189620972, 'Y': 0.6138224005699158, 'Z': 0.03405918553471565}, {'X': 0.7261440753936768, 'Y': 0.510698676109314, 'Z': 0.04732241854071617}, {'X': 0.7195366621017456, 'Y': 0.4484044015407562, 'Z': 0.03998474031686783}, {'X': 0.7158618569374084, 'Y': 0.39786943793296814, 'Z': 0.03353488817811012}, {'X': 0.7699099779129028, 'Y': 0.6152563095092773, 'Z': 0.02696273848414421}, {'X': 0.7610402703285217, 'Y': 0.5123798847198486, 'Z': 0.03528205305337906}, {'X': 0.7523623108863831, 'Y': 0.4550248086452484, 'Z': 0.027959292754530907}, {'X': 0.7452033758163452, 'Y': 0.4085066616535187, 'Z': 0.022584203630685806}, {'X': 0.8035941123962402, 'Y': 0.6347429752349854, 'Z': 0.02115805447101593}, {'X': 0.8076393008232117, 'Y': 0.5517463088035583, 'Z': 0.02115856483578682}, {'X': 0.8095058798789978, 'Y': 0.5025333762168884, 'Z': 0.01679837517440319}, {'X': 0.8078790307044983, 'Y': 0.45852047204971313, 'Z': 0.013274705037474632}]
[{'X': 0.7672516107559204, 'Y': 0.8189274072647095, 'Z': -2.7970292649115436e-05}, {'X': 0.7156739830970764, 'Y': 0.8015913963317871, 'Z': 0.004030986689031124}, {'X': 0.6743966341018677, 'Y': 0.7310152649879456, 'Z': 0.012788956053555012}, {'X': 0.6484106183052063, 'Y': 0.6549187302589417, 'Z': 0.015141678974032402}, {'X': 0.6220248341560364, 'Y': 0.6181767582893372, 'Z': 0.013437590561807156}, {'X': 0.7044658064842224, 'Y': 0.6325771808624268, 'Z': 0.035558898001909256}, {'X': 0.6933626532554626, 'Y': 0.5347598791122437, 'Z': 0.04709847643971443}, {'X': 0.6906141042709351, 'Y': 0.48030945658683777, 'Z': 0.04885340481996536}, {'X': 0.688565194606781, 'Y': 0.43354934453964233, 'Z': 0.04641705006361008}, {'X': 0.7366396188735962, 'Y': 0.6154556274414062, 'Z': 0.030971897765994072}, {'X': 0.7251489758491516, 'Y': 0.5131657123565674, 'Z': 0.04538014158606529}, {'X': 0.7185781598091125, 'Y': 0.450978547334671, 'Z': 0.03953404352068901}, {'X': 0.7148914933204651, 'Y': 0.40003693103790283, 'Z': 0.03291752561926842}, {'X': 0.7696003913879395, 'Y': 0.6157607436180115, 'Z': 0.025186894461512566}, {'X': 0.7605862021446228, 'Y': 0.5157915353775024, 'Z': 0.035902779549360275}, {'X': 0.7523926496505737, 'Y': 0.4600863456726074, 'Z': 0.02981618419289589}, {'X': 0.7453925609588623, 'Y': 0.41556769609451294, 'Z': 0.024977777153253555}, {'X': 0.8025333881378174, 'Y': 0.6329340934753418, 'Z': 0.021332019940018654}, {'X': 0.8065266609191895, 'Y': 0.5504677295684814, 'Z': 0.024063725024461746}, {'X': 0.8095091581344604, 'Y': 0.5021799206733704, 'Z': 0.021135538816452026}, {'X': 0.8087261915206909, 'Y': 0.4590567946434021, 'Z': 0.018637636676430702}]
[{'X': 0.767362117767334, 'Y': 0.8231378793716431, 'Z': -2.7623547794064507e-05}, {'X': 0.717003583908081, 'Y': 0.8023595213890076, 'Z': 0.002624614629894495}, {'X': 0.6769412755966187, 'Y': 0.7334837913513184, 'Z': 0.008228474296629429}, {'X': 0.6522485017776489, 'Y': 0.659387469291687, 'Z': 0.007278424687683582}, {'X': 0.629300057888031, 'Y': 0.6214067935943604, 'Z': 0.0010642348788678646}, {'X': 0.7031391263008118, 'Y': 0.6382551789283752, 'Z': 0.029082532972097397}, {'X': 0.6930726766586304, 'Y': 0.5417732000350952, 'Z': 0.039407115429639816}, {'X': 0.6901423931121826, 'Y': 0.4864797592163086, 'Z': 0.04099607095122337}, {'X': 0.6872757077217102, 'Y': 0.44069820642471313, 'Z': 0.03774625062942505}, {'X': 0.7344645857810974, 'Y': 0.6188039779663086, 'Z': 0.024658121168613434}, {'X': 0.7244923710823059, 'Y': 0.5208203792572021, 'Z': 0.03633489832282066}, {'X': 0.7172811031341553, 'Y': 0.4570924639701843, 'Z': 0.028371844440698624}, {'X': 0.7113328576087952, 'Y': 0.40451955795288086, 'Z': 0.018894989043474197}, {'X': 0.7671091556549072, 'Y': 0.6180249452590942, 'Z': 0.019453946501016617}, {'X': 0.7597643136978149, 'Y': 0.5226479172706604, 'Z': 0.029790587723255157}, {'X': 0.7515057921409607, 'Y': 0.46912261843681335, 'Z': 0.02610217034816742}, {'X': 0.7426604628562927, 'Y': 0.42717617750167847, 'Z': 0.02216486819088459}, {'X': 0.8005462884902954, 'Y': 0.6342172026634216, 'Z': 0.015154083259403706}, {'X': 0.8052987456321716, 'Y': 0.5524120926856995, 'Z': 0.015998227521777153}, {'X': 0.8065550923347473, 'Y': 0.5035022497177124, 'Z': 0.012010861188173294}, {'X': 0.8029792308807373, 'Y': 0.4614420235157013, 'Z': 0.008717156946659088}]
[{'X': 0.7687857151031494, 'Y': 0.8219690918922424, 'Z': -2.586097616585903e-05}, {'X': 0.7193644642829895, 'Y': 0.7972997426986694, 'Z': 0.007030871231108904}, {'X': 0.6774858236312866, 'Y': 0.7310940027236938, 'Z': 0.014368638396263123}, {'X': 0.6497312784194946, 'Y': 0.6618781089782715, 'Z': 0.014949102886021137}, {'X': 0.6296484470367432, 'Y': 0.6275506615638733, 'Z': 0.01238162163645029}, {'X': 0.7016793489456177, 'Y': 0.637988269329071, 'Z': 0.04065053164958954}, {'X': 0.6907740235328674, 'Y': 0.5464542508125305, 'Z': 0.052810315042734146}, {'X': 0.6882327795028687, 'Y': 0.4915693700313568, 'Z': 0.054743148386478424}, {'X': 0.6858235001564026, 'Y': 0.44939476251602173, 'Z': 0.053316447883844376}, {'X': 0.7327031493186951, 'Y': 0.6191115379333496, 'Z': 0.03644188493490219}, {'X': 0.7198712825775146, 'Y': 0.5254221558570862, 'Z': 0.046814702451229095}, {'X': 0.7124632000923157, 'Y': 0.4644985795021057, 'Z': 0.04344889521598816}, {'X': 0.7054017782211304, 'Y': 0.4149011969566345, 'Z': 0.038040220737457275}, {'X': 0.765683114528656, 'Y': 0.6172657012939453, 'Z': 0.031081117689609528}, {'X': 0.7549104690551758, 'Y': 0.5294384956359863, 'Z': 0.043308716267347336}, {'X': 0.7434091567993164, 'Y': 0.49220010638237, 'Z': 0.04686065390706062}, {'X': 0.731397807598114, 'Y': 0.4666966497898102, 'Z': 0.048332035541534424}, {'X': 0.7994838356971741, 'Y': 0.6307797431945801, 'Z': 0.02622486650943756}, {'X': 0.7983511686325073, 'Y': 0.5535324811935425, 'Z': 0.03330501914024353}, {'X': 0.7944105863571167, 'Y': 0.5058599710464478, 'Z': 0.03672034293413162}, {'X': 0.7866868376731873, 'Y': 0.4642861783504486, 'Z': 0.03879345580935478}]
[{'X': 0.7613082528114319, 'Y': 0.8260524272918701, 'Z': -1.9301278371131048e-05}, {'X': 0.7188369631767273, 'Y': 0.7949802279472351, 'Z': -0.007114109117537737}, {'X': 0.6784911155700684, 'Y': 0.7199049592018127, 'Z': -0.008942694403231144}, {'X': 0.6507229208946228, 'Y': 0.6518680453300476, 'Z': -0.01809685304760933}, {'X': 0.630225419998169, 'Y': 0.6142688393592834, 'Z': -0.030641956254839897}, {'X': 0.7008727192878723, 'Y': 0.6344285011291504, 'Z': 0.032476313412189484}, {'X': 0.6918849349021912, 'Y': 0.5470936298370361, 'Z': 0.03726061433553696}, {'X': 0.6884395480155945, 'Y': 0.49635910987854004, 'Z': 0.03687121719121933}, {'X': 0.6839454174041748, 'Y': 0.4479612708091736, 'Z': 0.04127532243728638}, {'X': 0.7299059629440308, 'Y': 0.6217541694641113, 'Z': 0.02545832470059395}, {'X': 0.7206242084503174, 'Y': 0.5337581038475037, 'Z': 0.02365019917488098}, {'X': 0.7116994857788086, 'Y': 0.4826897978782654, 'Z': 0.012656361795961857}, {'X': 0.7041271924972534, 'Y': 0.4350118041038513, 'Z': 0.008426074869930744}, {'X': 0.7612906694412231, 'Y': 0.6245911121368408, 'Z': 0.015008346177637577}, {'X': 0.7560088634490967, 'Y': 0.5684289932250977, 'Z': -0.0004931025323458016}, {'X': 0.7547813057899475, 'Y': 0.6131873726844788, 'Z': -0.014284959994256496}, {'X': 0.7538312673568726, 'Y': 0.6459886431694031, 'Z': -0.015174506232142448}, {'X': 0.7926457524299622, 'Y': 0.6377759575843811, 'Z': 0.004819486290216446}, {'X': 0.7902382016181946, 'Y': 0.5614179372787476, 'Z': 0.006284790113568306}, {'X': 0.7842766046524048, 'Y': 0.5065110921859741, 'Z': 0.006526261568069458}, {'X': 0.7759843468666077, 'Y': 0.454140841960907, 'Z': 0.00586737273260951}]
[{'X': 0.7585003972053528, 'Y': 0.8227376937866211, 'Z': -2.666883301571943e-05}, {'X': 0.7180324792861938, 'Y': 0.7891396284103394, 'Z': -0.004543629474937916}, {'X': 0.6796332001686096, 'Y': 0.7147812843322754, 'Z': 0.0002546717878431082}, {'X': 0.6528770327568054, 'Y': 0.6561678647994995, 'Z': -0.0034223285038024187}, {'X': 0.6298413276672363, 'Y': 0.6241114139556885, 'Z': -0.011782134883105755}, {'X': 0.7052031755447388, 'Y': 0.6428868770599365, 'Z': 0.048974521458148956}, {'X': 0.6965340375900269, 'Y': 0.55779629945755, 'Z': 0.04830517992377281}, {'X': 0.6902166604995728, 'Y': 0.5064351558685303, 'Z': 0.03965195640921593}, {'X': 0.6824807524681091, 'Y': 0.45823585987091064, 'Z': 0.03831838443875313}, {'X': 0.7318233251571655, 'Y': 0.6343055963516235, 'Z': 0.038373466581106186}, {'X': 0.7213917374610901, 'Y': 0.5524237155914307, 'Z': 0.02882806397974491}, {'X': 0.7085956335067749, 'Y': 0.5036817789077759, 'Z': 0.0007979996735230088}, {'X': 0.6948004961013794, 'Y': 0.4565366804599762, 'Z': -0.014102652668952942}, {'X': 0.7606607675552368, 'Y': 0.6364324688911438, 'Z': 0.0232413187623024}, {'X': 0.7513850331306458, 'Y': 0.5847896933555603, 'Z': -0.0010118205100297928}, {'X': 0.7445970773696899, 'Y': 0.6347857117652893, 'Z': -0.024921046569943428}, {'X': 0.7390660047531128, 'Y': 0.6738801002502441, 'Z': -0.02882821299135685}, {'X': 0.7898910641670227, 'Y': 0.646758496761322, 'Z': 0.008466125465929508}, {'X': 0.7869625091552734, 'Y': 0.570196270942688, 'Z': 0.008452502079308033}, {'X': 0.7791744470596313, 'Y': 0.5152632594108582, 'Z': 0.0051965066231787205}, {'X': 0.7682242393493652, 'Y': 0.4620310068130493, 'Z': 0.0036048181354999542}]
[{'X': 0.7590084075927734, 'Y': 0.8208867907524109, 'Z': -4.139154771110043e-05}, {'X': 0.7174720764160156, 'Y': 0.7796633243560791, 'Z': 0.0027475503738969564}, {'X': 0.6790269613265991, 'Y': 0.7032209634780884, 'Z': 0.015272355638444424}, {'X': 0.6514617800712585, 'Y': 0.6510875225067139, 'Z': 0.019563307985663414}, {'X': 0.6252275705337524, 'Y': 0.6202744841575623, 'Z': 0.0185699425637722}, {'X': 0.7088325023651123, 'Y': 0.6416418552398682, 'Z': 0.05999873951077461}, {'X': 0.6975711584091187, 'Y': 0.5539851784706116, 'Z': 0.0591147281229496}, {'X': 0.691818356513977, 'Y': 0.503017246723175, 'Z': 0.05266711488366127}, {'X': 0.6832264065742493, 'Y': 0.45515838265419006, 'Z': 0.052708566188812256}, {'X': 0.7349395751953125, 'Y': 0.6369669437408447, 'Z': 0.043510254472494125}, {'X': 0.7217361330986023, 'Y': 0.5568060278892517, 'Z': 0.01957179605960846}, {'X': 0.7099298238754272, 'Y': 0.5262520909309387, 'Z': -0.015010042116045952}, {'X': 0.6952548623085022, 'Y': 0.49876201152801514, 'Z': -0.031566549092531204}, {'X': 0.7620909810066223, 'Y': 0.6384020447731018, 'Z': 0.022800950333476067}, {'X': 0.7475815415382385, 'Y': 0.604527473449707, 'Z': -0.014712296426296234}, {'X': 0.7390207052230835, 'Y': 0.66935133934021, 'Z': -0.03875957801938057}, {'X': 0.7332064509391785, 'Y': 0.71788489818573, 'Z': -0.03845258429646492}, {'X': 0.7904649376869202, 'Y': 0.6489900350570679, 'Z': 0.0022568253334611654}, {'X': 0.7805750966072083, 'Y': 0.578483521938324, 'Z': -0.0005824766703881323}, {'X': 0.7702449560165405, 'Y': 0.5328227281570435, 'Z': -0.0014037161599844694}, {'X': 0.7591214776039124, 'Y': 0.48720449209213257, 'Z': 0.0009930080268532038}]
[{'X': 0.7638781666755676, 'Y': 0.8403440117835999, 'Z': -5.052393316873349e-05}, {'X': 0.7152331471443176, 'Y': 0.7906628847122192, 'Z': 0.002235635882243514}, {'X': 0.6765766143798828, 'Y': 0.7081978917121887, 'Z': 0.013264698907732964}, {'X': 0.6472430229187012, 'Y': 0.6508960723876953, 'Z': 0.017674950882792473}, {'X': 0.621549665927887, 'Y': 0.6170278787612915, 'Z': 0.017581377178430557}, {'X': 0.7084766626358032, 'Y': 0.6397337317466736, 'Z': 0.06477849185466766}, {'X': 0.6986613869667053, 'Y': 0.5493754148483276, 'Z': 0.06084982305765152}, {'X': 0.6937524080276489, 'Y': 0.4965226352214813, 'Z': 0.05487585440278053}, {'X': 0.6884127855300903, 'Y': 0.45041441917419434, 'Z': 0.05751451477408409}, {'X': 0.7358360290527344, 'Y': 0.6413339972496033, 'Z': 0.0484105721116066}, {'X': 0.7252155542373657, 'Y': 0.5795985460281372, 'Z': 0.0034765435848385096}, {'X': 0.7168468236923218, 'Y': 0.629365086555481, 'Z': -0.033765338361263275}, {'X': 0.7112203240394592, 'Y': 0.6748642325401306, 'Z': -0.04205518215894699}, {'X': 0.7617862820625305, 'Y': 0.6477250456809998, 'Z': 0.02985643409192562}, {'X': 0.751502513885498, 'Y': 0.6156923770904541, 'Z': -0.01823738031089306}, {'X': 0.7444267272949219, 'Y': 0.6885104179382324, 'Z': -0.045857783406972885}, {'X': 0.7412606477737427, 'Y': 0.7433192133903503, 'Z': -0.041810017079114914}, {'X': 0.7896942496299744, 'Y': 0.660111665725708, 'Z': 0.01194689329713583}, {'X': 0.7811784744262695, 'Y': 0.5911368131637573, 'Z': -0.0011446289718151093}, {'X': 0.768997848033905, 'Y': 0.5500301122665405, 'Z': -0.0032838413026183844}, {'X': 0.7566372156143188, 'Y': 0.5122146010398865, 'Z': 0.0040868245996534824}]
