[{'X': 0.7337726354598999, 'Y': 0.6873846650123596, 'Z': -5.119098204886541e-05}, {'X': 0.6757678389549255, 'Y': 0.6822527647018433, 'Z': -0.022820595651865005}, {'X': 0.635313868522644, 'Y': 0.6035873293876648, 'Z': -0.031013766303658485}, {'X': 0.6157334446907043, 'Y': 0.5198509097099304, 'Z': -0.043399568647146225}, {'X': 0.5897576808929443, 'Y': 0.4600670039653778, 'Z': -0.060966383665800095}, {'X': 0.6585883498191833, 'Y': 0.4791768193244934, 'Z': 0.01753191091120243}, {'X': 0.6482762694358826, 'Y': 0.37829482555389404, 'Z': 0.004794212523847818}, {'X': 0.6456310153007507, 'Y': 0.3100777864456177, 'Z': -0.013388055376708508}, {'X': 0.6462976932525635, 'Y': 0.24810564517974854, 'Z': -0.028300320729613304}, {'X': 0.6924781203269958, 'Y': 0.45813363790512085, 'Z': 0.010128854773938656}, {'X': 0.6837883591651917, 'Y': 0.3458600640296936, 'Z': 0.005570904817432165}, {'X': 0.6756051182746887, 'Y': 0.2668890058994293, 'Z': -0.020692622289061546}, {'X': 0.6698062419891357, 'Y': 0.1973862648010254, 'Z': -0.04069081321358681}, {'X': 0.7298534512519836, 'Y': 0.4605669379234314, 'Z': -0.002686592750251293}, {'X': 0.7222996950149536, 'Y': 0.34669971466064453, 'Z': -0.011129671707749367}, {'X': 0.7149060368537903, 'Y': 0.27161166071891785, 'Z': -0.03913545981049538}, {'X': 0.7085740566253662, 'Y': 0.20438474416732788, 'Z': -0.06096552312374115}, {'X': 0.7713866233825684, 'Y': 0.4832301437854767, 'Z': -0.018392318859696388}, {'X': 0.7731810212135315, 'Y': 0.39123809337615967, 'Z': -0.0322909913957119}, {'X': 0.7720712423324585, 'Y': 0.3303980827331543, 'Z': -0.048261333256959915}, {'X': 0.7688385248184204, 'Y': 0.2730339765548706, 'Z': -0.06184285879135132}]
[{'X': 0.7327050566673279, 'Y': 0.6888382434844971, 'Z': -6.384520384017378e-05}, {'X': 0.674637496471405, 'Y': 0.6817287802696228, 'Z': -0.022160394117236137}, {'X': 0.6338419318199158, 'Y': 0.6017551422119141, 'Z': -0.028479568660259247}, {'X': 0.6135130524635315, 'Y': 0.5194018483161926, 'Z': -0.039441924542188644}, {'X': 0.5869324207305908, 'Y': 0.4610712230205536, 'Z': -0.054805248975753784}, {'X': 0.6573524475097656, 'Y': 0.4753977060317993, 'Z': 0.021222630515694618}, {'X': 0.6458998918533325, 'Y': 0.37547892332077026, 'Z': 0.008109228685498238}, {'X': 0.6422098278999329, 'Y': 0.3073084354400635, 'Z': -0.010849056765437126}, {'X': 0.6421138048171997, 'Y': 0.24587684869766235, 'Z': -0.026949768885970116}, {'X': 0.6911308169364929, 'Y': 0.45430582761764526, 'Z': 0.012809749692678452}, {'X': 0.6815442442893982, 'Y': 0.3431316316127777, 'Z': 0.008884054608643055}, {'X': 0.673078715801239, 'Y': 0.265944242477417, 'Z': -0.016982540488243103}, {'X': 0.6669161319732666, 'Y': 0.19843590259552002, 'Z': -0.03594573959708214}, {'X': 0.7284736037254333, 'Y': 0.4558669924736023, 'Z': -0.0015055545372888446}, {'X': 0.7206183075904846, 'Y': 0.3431905508041382, 'Z': -0.009139043278992176}, {'X': 0.7130876183509827, 'Y': 0.2684968411922455, 'Z': -0.035877592861652374}, {'X': 0.7066229581832886, 'Y': 0.20147302746772766, 'Z': -0.05669066309928894}, {'X': 0.7702282071113586, 'Y': 0.4780832827091217, 'Z': -0.018735097721219063}, {'X': 0.7726176381111145, 'Y': 0.38798779249191284, 'Z': -0.03291402384638786}, {'X': 0.7729095816612244, 'Y': 0.3261936902999878, 'Z': -0.04910299926996231}, {'X': 0.7710468173027039, 'Y': 0.2675972878932953, 'Z': -0.06244726851582527}]
[{'X': 0.7349730730056763, 'Y': 0.6895573139190674, 'Z': -5.428100848803297e-05}, {'X': 0.6772494912147522, 'Y': 0.6816514730453491, 'Z': -0.023996541276574135}, {'X': 0.6360326409339905, 'Y': 0.600300669670105, 'Z': -0.031442541629076004}, {'X': 0.6161863207817078, 'Y': 0.5147815942764282, 'Z': -0.044063765555620193}, {'X': 0.5900276303291321, 'Y': 0.4546689987182617, 'Z': -0.06193281710147858}, {'X': 0.6599730253219604, 'Y': 0.4748730957508087, 'Z': 0.01821097731590271}, {'X': 0.6479055881500244, 'Y': 0.3738759458065033, 'Z': 0.0058575589209795}, {'X': 0.6432313919067383, 'Y': 0.30736956000328064, 'Z': -0.010636046528816223}, {'X': 0.6422377228736877, 'Y': 0.24776732921600342, 'Z': -0.02410813793540001}, {'X': 0.693846583366394, 'Y': 0.45248809456825256, 'Z': 0.01078395638614893}, {'X': 0.68385249376297, 'Y': 0.3389543294906616, 'Z': 0.00880616344511509}, {'X': 0.6743291616439819, 'Y': 0.2615801692008972, 'Z': -0.015490211546421051}, {'X': 0.6667150855064392, 'Y': 0.19331181049346924, 'Z': -0.033433038741350174}, {'X': 0.7309223413467407, 'Y': 0.454275518655777, 'Z': -0.0022124049719423056}, {'X': 0.7233153581619263, 'Y': 0.3383069634437561, 'Z': -0.009538729675114155}, {'X': 0.7145745158195496, 'Y': 0.26368093490600586, 'Z': -0.036943793296813965}, {'X': 0.7064225673675537, 'Y': 0.19779914617538452, 'Z': -0.0579967275261879}, {'X': 0.7722662091255188, 'Y': 0.4770206809043884, 'Z': -0.017879977822303772}, {'X': 0.7765936255455017, 'Y': 0.3833879828453064, 'Z': -0.03249606490135193}, {'X': 0.7773183584213257, 'Y': 0.32187604904174805, 'Z': -0.0501759834587574}, {'X': 0.775916337966919, 'Y': 0.2645571827888489, 'Z': -0.06427150964736938}]
[{'X': 0.7349904775619507, 'Y': 0.6968764066696167, 'Z': -6.533935811603442e-05}, {'X': 0.6766043901443481, 'Y': 0.6860368251800537, 'Z': -0.028020868077874184}, {'X': 0.6348891854286194, 'Y': 0.6030554175376892, 'Z': -0.035692617297172546}, {'X': 0.6138964891433716, 'Y': 0.5187676548957825, 'Z': -0.0475124716758728}, {'X': 0.5886738300323486, 'Y': 0.45894721150398254, 'Z': -0.0622226819396019}, {'X': 0.6598708033561707, 'Y': 0.4760909974575043, 'Z': 0.020393943414092064}, {'X': 0.6491285562515259, 'Y': 0.37924402952194214, 'Z': 0.008003885857760906}, {'X': 0.6446858644485474, 'Y': 0.31128084659576416, 'Z': -0.010800969786942005}, {'X': 0.6436544060707092, 'Y': 0.249313622713089, 'Z': -0.02670697495341301}, {'X': 0.6927061080932617, 'Y': 0.45297491550445557, 'Z': 0.014573686756193638}, {'X': 0.6813243627548218, 'Y': 0.34437090158462524, 'Z': 0.015340271405875683}, {'X': 0.6727789640426636, 'Y': 0.2692644000053406, 'Z': -0.006326486822217703}, {'X': 0.6669763326644897, 'Y': 0.20322653651237488, 'Z': -0.02232195995748043}, {'X': 0.7292203903198242, 'Y': 0.4540916085243225, 'Z': 0.00209335726685822}, {'X': 0.7213039994239807, 'Y': 0.3415684998035431, 'Z': -0.001365325297228992}, {'X': 0.7134931087493896, 'Y': 0.26742422580718994, 'Z': -0.02539043314754963}, {'X': 0.7063496112823486, 'Y': 0.20162007212638855, 'Z': -0.04541448503732681}, {'X': 0.7703785300254822, 'Y': 0.47676578164100647, 'Z': -0.014192505739629269}, {'X': 0.7748696208000183, 'Y': 0.3910158574581146, 'Z': -0.02599360980093479}, {'X': 0.77711421251297, 'Y': 0.3307994604110718, 'Z': -0.04164161905646324}, {'X': 0.7776144742965698, 'Y': 0.2735787034034729, 'Z': -0.05553581565618515}]
[{'X': 0.737392783164978, 'Y': 0.7129577398300171, 'Z': -9.260391379939392e-05}, {'X': 0.6795105934143066, 'Y': 0.6933540105819702, 'Z': -0.01697976514697075}, {'X': 0.6373505592346191, 'Y': 0.6076349020004272, 'Z': -0.014489656314253807}, {'X': 0.6158463358879089, 'Y': 0.5241042971611023, 'Z': -0.018481941893696785}, {'X': 0.5946133732795715, 'Y': 0.4643193185329437, 'Z': -0.023657768964767456}, {'X': 0.6582074761390686, 'Y': 0.48321208357810974, 'Z': 0.04323992133140564}, {'X': 0.6477822065353394, 'Y': 0.3846663236618042, 'Z': 0.037879884243011475}, {'X': 0.6429946422576904, 'Y': 0.3175034821033478, 'Z': 0.01879160851240158}, {'X': 0.6410665512084961, 'Y': 0.25590622425079346, 'Z': -0.0003133724967483431}, {'X': 0.690250039100647, 'Y': 0.46196261048316956, 'Z': 0.03184531256556511}, {'X': 0.6786978244781494, 'Y': 0.35075968503952026, 'Z': 0.038707900792360306}, {'X': 0.6717902421951294, 'Y': 0.27138108015060425, 'Z': 0.014673357829451561}, {'X': 0.6666259765625, 'Y': 0.20382702350616455, 'Z': -0.0042779091745615005}, {'X': 0.7257289290428162, 'Y': 0.46108096837997437, 'Z': 0.014746355824172497}, {'X': 0.7178933024406433, 'Y': 0.35209888219833374, 'Z': 0.017487486824393272}, {'X': 0.7092686891555786, 'Y': 0.28068456053733826, 'Z': -0.006204097531735897}, {'X': 0.6998692750930786, 'Y': 0.21794113516807556, 'Z': -0.024946484714746475}, {'X': 0.7653578519821167, 'Y': 0.4793071150779724, 'Z': -0.007425985299050808}, {'X': 0.7690600752830505, 'Y': 0.3998500108718872, 'Z': -0.0111456960439682}, {'X': 0.7723122835159302, 'Y': 0.33672288060188293, 'Z': -0.021304938942193985}, {'X': 0.7729616761207581, 'Y': 0.271725058555603, 'Z': -0.03224176540970802}]
[{'X': 0.7438706159591675, 'Y': 0.7374749779701233, 'Z': -7.247344183269888e-05}, {'X': 0.6874281167984009, 'Y': 0.7115468978881836, 'Z': -0.020205728709697723}, {'X': 0.6436788439750671, 'Y': 0.6069667339324951, 'Z': -0.02604527212679386}, {'X': 0.6207239031791687, 'Y': 0.510799765586853, 'Z': -0.03623900189995766}, {'X': 0.6012438535690308, 'Y': 0.45156538486480713, 'Z': -0.04706723615527153}, {'X': 0.6650384664535522, 'Y': 0.4767340421676636, 'Z': 0.02590717375278473}, {'X': 0.655006468296051, 'Y': 0.3709295988082886, 'Z': 0.03408774361014366}, {'X': 0.6481315493583679, 'Y': 0.30709269642829895, 'Z': 0.03577343374490738}, {'X': 0.6438333988189697, 'Y': 0.2495693862438202, 'Z': 0.038271378725767136}, {'X': 0.6997945308685303, 'Y': 0.4585336446762085, 'Z': 0.0190417543053627}, {'X': 0.6851889491081238, 'Y': 0.34366685152053833, 'Z': 0.020733540877699852}, {'X': 0.6750892400741577, 'Y': 0.2678045630455017, 'Z': 0.009867070242762566}, {'X': 0.6672022938728333, 'Y': 0.1968114972114563, 'Z': 0.0015480899019166827}, {'X': 0.7366622090339661, 'Y': 0.4621962904930115, 'Z': 0.0045564319007098675}, {'X': 0.723467230796814, 'Y': 0.37682193517684937, 'Z': -0.022956106811761856}, {'X': 0.7045591473579407, 'Y': 0.41076141595840454, 'Z': -0.06021196022629738}, {'X': 0.6906136870384216, 'Y': 0.4490263760089874, 'Z': -0.07510064542293549}, {'X': 0.7741236090660095, 'Y': 0.47659337520599365, 'Z': -0.00933077186346054}, {'X': 0.7703577280044556, 'Y': 0.3913373351097107, 'Z': -0.019703149795532227}, {'X': 0.7638261318206787, 'Y': 0.3268246054649353, 'Z': -0.03766172379255295}, {'X': 0.7538220882415771, 'Y': 0.26446104049682617, 'Z': -0.05273349955677986}]
[{'X': 0.7395572662353516, 'Y': 0.7229956984519958, 'Z': -8.52282828418538e-05}, {'X': 0.6808084845542908, 'Y': 0.6952768564224243, 'Z': -0.008682702668011189}, {'X': 0.6399563550949097, 'Y': 0.5925525426864624, 'Z': 0.005222148261964321}, {'X': 0.6215705275535583, 'Y': 0.5115415453910828, 'Z': 0.01089222077280283}, {'X': 0.6035681366920471, 'Y': 0.4572311341762543, 'Z': 0.016083406284451485}, {'X': 0.6701541543006897, 'Y': 0.49807700514793396, 'Z': 0.04335799068212509}, {'X': 0.659450352191925, 'Y': 0.39811044931411743, 'Z': 0.018043426796793938}, {'X': 0.654140293598175, 'Y': 0.328462153673172, 'Z': 0.0008573549566790462}, {'X': 0.6511744260787964, 'Y': 0.27032947540283203, 'Z': -0.005844718310981989}, {'X': 0.7011640071868896, 'Y': 0.48840323090553284, 'Z': 0.029902763664722443}, {'X': 0.6898154616355896, 'Y': 0.37835925817489624, 'Z': 0.002846317132934928}, {'X': 0.6812024116516113, 'Y': 0.30943721532821655, 'Z': -0.02747417241334915}, {'X': 0.6704383492469788, 'Y': 0.23698264360427856, 'Z': -0.04104560613632202}, {'X': 0.735620379447937, 'Y': 0.4944075047969818, 'Z': 0.008166898973286152}, {'X': 0.7166863083839417, 'Y': 0.43155166506767273, 'Z': -0.05026854947209358}, {'X': 0.7028248310089111, 'Y': 0.5169632434844971, 'Z': -0.08265340328216553}, {'X': 0.691293478012085, 'Y': 0.5825811624526978, 'Z': -0.08189515024423599}, {'X': 0.773636519908905, 'Y': 0.5012819766998291, 'Z': -0.014923329465091228}, {'X': 0.7645149827003479, 'Y': 0.4139859974384308, 'Z': -0.036623045802116394}, {'X': 0.753635585308075, 'Y': 0.356950581073761, 'Z': -0.052797574549913406}, {'X': 0.7374988198280334, 'Y': 0.291974812746048, 'Z': -0.060454562306404114}]
[{'X': 0.7409204840660095, 'Y': 0.7420410513877869, 'Z': -7.794729754095897e-05}, {'X': 0.6849616169929504, 'Y': 0.6961495876312256, 'Z': 0.0028674311470240355}, {'X': 0.6462039947509766, 'Y': 0.5881999731063843, 'Z': 0.012148669920861721}, {'X': 0.6269282102584839, 'Y': 0.5092060565948486, 'Z': 0.013117825612425804}, {'X': 0.6049661636352539, 'Y': 0.4596969187259674, 'Z': 0.012207803316414356}, {'X': 0.6705857515335083, 'Y': 0.499741792678833, 'Z': 0.03527645021677017}, {'X': 0.6625391244888306, 'Y': 0.4040413498878479, 'Z': 0.00975258182734251}, {'X': 0.6586569547653198, 'Y': 0.3424524664878845, 'Z': -0.008831220678985119}, {'X': 0.6533157825469971, 'Y': 0.27793532609939575, 'Z': -0.01796010695397854}, {'X': 0.7007185220718384, 'Y': 0.4952325224876404, 'Z': 0.013842882588505745}, {'X': 0.6849513053894043, 'Y': 0.40372100472450256, 'Z': -0.036172978579998016}, {'X': 0.6696463227272034, 'Y': 0.3500743508338928, 'Z': -0.07626491785049438}, {'X': 0.6511049866676331, 'Y': 0.2938162088394165, 'Z': -0.10017126053571701}, {'X': 0.7335439324378967, 'Y': 0.5019185543060303, 'Z': -0.014310230500996113}, {'X': 0.7150779962539673, 'Y': 0.47424668073654175, 'Z': -0.07702720910310745}, {'X': 0.7109975218772888, 'Y': 0.561007559299469, 'Z': -0.10031118988990784}, {'X': 0.7064974308013916, 'Y': 0.6217902302742004, 'Z': -0.09647699445486069}, {'X': 0.7703614830970764, 'Y': 0.5200211405754089, 'Z': -0.04114602133631706}, {'X': 0.7528582215309143, 'Y': 0.45710062980651855, 'Z': -0.07070136070251465}, {'X': 0.737529456615448, 'Y': 0.42712435126304626, 'Z': -0.0813116505742073}, {'X': 0.7195961475372314, 'Y': 0.38963478803634644, 'Z': -0.08199869841337204}]
[{'X': 0.7399081587791443, 'Y': 0.7452307939529419, 'Z': -7.459323387593031e-05}, {'X': 0.6815135478973389, 'Y': 0.6998921036720276, 'Z': -0.003776010824367404}, {'X': 0.639250636100769, 'Y': 0.5960738658905029, 'Z': 0.00023985328152775764}, {'X': 0.6208452582359314, 'Y': 0.5171432495117188, 'Z': -0.004814048297703266}, {'X': 0.596944272518158, 'Y': 0.4589148163795471, 'Z': -0.009328259155154228}, {'X': 0.665515124797821, 'Y': 0.49943965673446655, 'Z': 0.04399550333619118}, {'X': 0.6547422409057617, 'Y': 0.38655540347099304, 'Z': 0.04299148917198181}, {'X': 0.6487128138542175, 'Y': 0.32018595933914185, 'Z': 0.04185941442847252}, {'X': 0.6414089202880859, 'Y': 0.2583148777484894, 'Z': 0.040248382836580276}, {'X': 0.696550726890564, 'Y': 0.49167171120643616, 'Z': 0.02440575510263443}, {'X': 0.6841133832931519, 'Y': 0.36944472789764404, 'Z': -0.012619503773748875}, {'X': 0.6667627096176147, 'Y': 0.373752623796463, 'Z': -0.047922734171152115}, {'X': 0.6559960842132568, 'Y': 0.40889185667037964, 'Z': -0.06280086934566498}, {'X': 0.7294888496398926, 'Y': 0.49608713388442993, 'Z': -0.000384242128347978}, {'X': 0.712380588054657, 'Y': 0.40713170170783997, 'Z': -0.05599253624677658}, {'X': 0.6955628395080566, 'Y': 0.46711307764053345, 'Z': -0.09867193549871445}, {'X': 0.6859036087989807, 'Y': 0.5422537922859192, 'Z': -0.11144331097602844}, {'X': 0.7685348391532898, 'Y': 0.5127465724945068, 'Z': -0.020767536014318466}, {'X': 0.7535982728004456, 'Y': 0.4267750382423401, 'Z': -0.06155949458479881}, {'X': 0.7325394749641418, 'Y': 0.43530577421188354, 'Z': -0.0857202336192131}, {'X': 0.715705394744873, 'Y': 0.475952684879303, 'Z': -0.09613952040672302}]
[{'X': 0.7386525273323059, 'Y': 0.730609118938446, 'Z': -7.825861393939704e-05}, {'X': 0.6789932250976562, 'Y': 0.6874266862869263, 'Z': 0.0011144834570586681}, {'X': 0.6383243799209595, 'Y': 0.5916510224342346, 'Z': 0.011379716917872429}, {'X': 0.6195598244667053, 'Y': 0.5162172913551331, 'Z': 0.010793405584990978}, {'X': 0.5983762741088867, 'Y': 0.46008923649787903, 'Z': 0.010950086638331413}, {'X': 0.6689890623092651, 'Y': 0.48618781566619873, 'Z': 0.06391926109790802}, {'X': 0.6593274474143982, 'Y': 0.37487903237342834, 'Z': 0.07036345452070236}, {'X': 0.6485651731491089, 'Y': 0.31408971548080444, 'Z': 0.06979537010192871}, {'X': 0.6393810510635376, 'Y': 0.2611818313598633, 'Z': 0.06633000075817108}, {'X': 0.6997733116149902, 'Y': 0.4776133596897125, 'Z': 0.04374338686466217}, {'X': 0.687526285648346, 'Y': 0.35031604766845703, 'Z': 0.014346612617373466}, {'X': 0.6674290299415588, 'Y': 0.37265247106552124, 'Z': -0.02126389928162098}, {'X': 0.658017635345459, 'Y': 0.42405200004577637, 'Z': -0.037180427461862564}, {'X': 0.7319014072418213, 'Y': 0.48033592104911804, 'Z': 0.018084459006786346}, {'X': 0.7183108925819397, 'Y': 0.37430304288864136, 'Z': -0.023784227669239044}, {'X': 0.6997443437576294, 'Y': 0.4315328598022461, 'Z': -0.06676852703094482}, {'X': 0.6915904879570007, 'Y': 0.507649838924408, 'Z': -0.08327778428792953}, {'X': 0.7691780924797058, 'Y': 0.49492156505584717, 'Z': -0.00410463148728013}, {'X': 0.7583195567131042, 'Y': 0.4023277461528778, 'Z': -0.03763483464717865}, {'X': 0.7381793856620789, 'Y': 0.42021864652633667, 'Z': -0.06207665801048279}, {'X': 0.7254658341407776, 'Y': 0.47270888090133667, 'Z': -0.07394175976514816}]
[{'X': 0.7342901229858398, 'Y': 0.7210043668746948, 'Z': -5.807355046272278e-05}, {'X': 0.6718980669975281, 'Y': 0.678913414478302, 'Z': -0.009084600955247879}, {'X': 0.6359757781028748, 'Y': 0.5860598683357239, 'Z': -0.0016356135020032525}, {'X': 0.6187536716461182, 'Y': 0.5085054636001587, 'Z': -0.00038046773988753557}, {'X': 0.5972904562950134, 'Y': 0.4522894024848938, 'Z': -0.0026298589073121548}, {'X': 0.6681089401245117, 'Y': 0.47398194670677185, 'Z': 0.0462418757379055}, {'X': 0.6577710509300232, 'Y': 0.36561647057533264, 'Z': 0.04568709433078766}, {'X': 0.6474010944366455, 'Y': 0.31047523021698, 'Z': 0.04263457655906677}, {'X': 0.6394170522689819, 'Y': 0.2702527642250061, 'Z': 0.037392757833004}, {'X': 0.7037066221237183, 'Y': 0.4649447798728943, 'Z': 0.028767956420779228}, {'X': 0.6887449622154236, 'Y': 0.3506314754486084, 'Z': -0.010338111780583858}, {'X': 0.6743598580360413, 'Y': 0.391029417514801, 'Z': -0.042539000511169434}, {'X': 0.6696284413337708, 'Y': 0.45322108268737793, 'Z': -0.0549638494849205}, {'X': 0.739178478717804, 'Y': 0.4695158898830414, 'Z': 0.006606654729694128}, {'X': 0.7266180515289307, 'Y': 0.38533586263656616, 'Z': -0.0532517172396183}, {'X': 0.713080108165741, 'Y': 0.4594116806983948, 'Z': -0.09550394862890244}, {'X': 0.7082800269126892, 'Y': 0.5396840572357178, 'Z': -0.10370034724473953}, {'X': 0.7773844003677368, 'Y': 0.49021485447883606, 'Z': -0.014153708703815937}, {'X': 0.7648563385009766, 'Y': 0.39620909094810486, 'Z': -0.059099286794662476}, {'X': 0.7442230582237244, 'Y': 0.4129607677459717, 'Z': -0.081034354865551}, {'X': 0.731315016746521, 'Y': 0.45910435914993286, 'Z': -0.08634984493255615}]
