[{'X': 0.6496430039405823, 'Y': 0.5939332842826843, 'Z': -4.5084925659466535e-05}, {'X': 0.5766794681549072, 'Y': 0.5967653393745422, 'Z': -0.01631605438888073}, {'X': 0.5154911279678345, 'Y': 0.5407307147979736, 'Z': -0.007338452152907848}, {'X': 0.47686803340911865, 'Y': 0.4793514907360077, 'Z': -0.0028914136346429586}, {'X': 0.44846269488334656, 'Y': 0.4511353671550751, 'Z': 0.002867921954020858}, {'X': 0.5428434610366821, 'Y': 0.41745880246162415, 'Z': 0.03003867343068123}, {'X': 0.5011414289474487, 'Y': 0.34128159284591675, 'Z': 0.029392698779702187}, {'X': 0.47947192192077637, 'Y': 0.29615604877471924, 'Z': 0.022920142859220505}, {'X': 0.46511411666870117, 'Y': 0.25870785117149353, 'Z': 0.0115170544013381}, {'X': 0.5855298638343811, 'Y': 0.3867611587047577, 'Z': 0.02524930238723755}, {'X': 0.5506147742271423, 'Y': 0.29242146015167236, 'Z': 0.0327402800321579}, {'X': 0.5308078527450562, 'Y': 0.23686879873275757, 'Z': 0.016373077407479286}, {'X': 0.5162232518196106, 'Y': 0.1916864514350891, 'Z': 0.0037828681524842978}, {'X': 0.6311160922050476, 'Y': 0.3777880072593689, 'Z': 0.0159989632666111}, {'X': 0.6081772446632385, 'Y': 0.28593167662620544, 'Z': 0.019343089312314987}, {'X': 0.5934399962425232, 'Y': 0.23753899335861206, 'Z': 0.007404139265418053}, {'X': 0.580323338508606, 'Y': 0.19821284711360931, 'Z': -0.0008640337618999183}, {'X': 0.6787363290786743, 'Y': 0.3873867392539978, 'Z': 0.0033790026791393757}, {'X': 0.6751376390457153, 'Y': 0.3140961229801178, 'Z': -0.0048384154215455055}, {'X': 0.6717153787612915, 'Y': 0.27182719111442566, 'Z': -0.0163551177829504}, {'X': 0.6644148826599121, 'Y': 0.23322315514087677, 'Z': -0.02021917700767517}]
[{'X': 0.6515293121337891, 'Y': 0.5995718836784363, 'Z': -4.713326052296907e-05}, {'X': 0.576710045337677, 'Y': 0.6008074283599854, 'Z': -0.014831077307462692}, {'X': 0.5157195329666138, 'Y': 0.542161226272583, 'Z': -0.00676729017868638}, {'X': 0.4774264991283417, 'Y': 0.47938963770866394, 'Z': -0.004110641311854124}, {'X': 0.44849348068237305, 'Y': 0.4518439769744873, 'Z': 0.0002796887420117855}, {'X': 0.543070912361145, 'Y': 0.4188714027404785, 'Z': 0.0288622435182333}, {'X': 0.5007746815681458, 'Y': 0.34269285202026367, 'Z': 0.029045887291431427}, {'X': 0.4799787700176239, 'Y': 0.29611241817474365, 'Z': 0.023229122161865234}, {'X': 0.46656233072280884, 'Y': 0.25846320390701294, 'Z': 0.012800922617316246}, {'X': 0.5849903225898743, 'Y': 0.38698792457580566, 'Z': 0.023535385727882385}, {'X': 0.5485448837280273, 'Y': 0.2896924614906311, 'Z': 0.03141763433814049}, {'X': 0.528046190738678, 'Y': 0.2322637438774109, 'Z': 0.017565971240401268}, {'X': 0.5132908821105957, 'Y': 0.18672800064086914, 'Z': 0.005777299869805574}, {'X': 0.6299171447753906, 'Y': 0.37720414996147156, 'Z': 0.013498058542609215}, {'X': 0.6048600673675537, 'Y': 0.2854512631893158, 'Z': 0.017421793192625046}, {'X': 0.590981125831604, 'Y': 0.23788443207740784, 'Z': 0.009666512720286846}, {'X': 0.5783352851867676, 'Y': 0.19939322769641876, 'Z': 0.002534584840759635}, {'X': 0.6776760220527649, 'Y': 0.38551148772239685, 'Z': -0.00017870543524622917}, {'X': 0.6730304956436157, 'Y': 0.31038421392440796, 'Z': -0.006515825167298317}, {'X': 0.6697542071342468, 'Y': 0.2686616778373718, 'Z': -0.014624134637415409}, {'X': 0.6632038354873657, 'Y': 0.23091349005699158, 'Z': -0.017132170498371124}]
[{'X': 0.6492713093757629, 'Y': 0.5929800868034363, 'Z': -6.230462895473465e-05}, {'X': 0.5744151473045349, 'Y': 0.5941888093948364, 'Z': -0.01484081894159317}, {'X': 0.5142144560813904, 'Y': 0.5391836166381836, 'Z': -0.008774672634899616}, {'X': 0.4771096706390381, 'Y': 0.47955700755119324, 'Z': -0.0069813779555261135}, {'X': 0.44980907440185547, 'Y': 0.45054319500923157, 'Z': -0.0035918147768825293}, {'X': 0.542220950126648, 'Y': 0.41627728939056396, 'Z': 0.02037994936108589}, {'X': 0.5002837181091309, 'Y': 0.3410019278526306, 'Z': 0.01675531640648842}, {'X': 0.478857159614563, 'Y': 0.2945706844329834, 'Z': 0.008627207018435001}, {'X': 0.4632982909679413, 'Y': 0.2569178640842438, 'Z': -0.0016564374091103673}, {'X': 0.5842764973640442, 'Y': 0.3856959342956543, 'Z': 0.01573347859084606}, {'X': 0.5492363572120667, 'Y': 0.28966793417930603, 'Z': 0.019576484337449074}, {'X': 0.5299277305603027, 'Y': 0.23401334881782532, 'Z': 0.00272357021458447}, {'X': 0.5152384042739868, 'Y': 0.19112856686115265, 'Z': -0.011069737374782562}, {'X': 0.6287326812744141, 'Y': 0.37679150700569153, 'Z': 0.007610089611262083}, {'X': 0.6048942804336548, 'Y': 0.2849571406841278, 'Z': 0.009090439416468143}, {'X': 0.592480480670929, 'Y': 0.23687787353992462, 'Z': -0.000759514921810478}, {'X': 0.5799041986465454, 'Y': 0.19856105744838715, 'Z': -0.00916436966508627}, {'X': 0.6759043335914612, 'Y': 0.3862609267234802, 'Z': -0.0037959846667945385}, {'X': 0.6715630292892456, 'Y': 0.31119081377983093, 'Z': -0.010285728611052036}, {'X': 0.6692857146263123, 'Y': 0.2693217694759369, 'Z': -0.017954634502530098}, {'X': 0.6629399657249451, 'Y': 0.23147287964820862, 'Z': -0.01986086368560791}]
[{'X': 0.6492713093757629, 'Y': 0.5929800868034363, 'Z': -6.230462895473465e-05}, {'X': 0.5744151473045349, 'Y': 0.5941888093948364, 'Z': -0.01484081894159317}, {'X': 0.5142144560813904, 'Y': 0.5391836166381836, 'Z': -0.008774672634899616}, {'X': 0.4771096706390381, 'Y': 0.47955700755119324, 'Z': -0.0069813779555261135}, {'X': 0.44980907440185547, 'Y': 0.45054319500923157, 'Z': -0.0035918147768825293}, {'X': 0.542220950126648, 'Y': 0.41627728939056396, 'Z': 0.02037994936108589}, {'X': 0.5002837181091309, 'Y': 0.3410019278526306, 'Z': 0.01675531640648842}, {'X': 0.478857159614563, 'Y': 0.2945706844329834, 'Z': 0.008627207018435001}, {'X': 0.4632982909679413, 'Y': 0.2569178640842438, 'Z': -0.0016564374091103673}, {'X': 0.5842764973640442, 'Y': 0.3856959342956543, 'Z': 0.01573347859084606}, {'X': 0.5492363572120667, 'Y': 0.28966793417930603, 'Z': 0.019576484337449074}, {'X': 0.5299277305603027, 'Y': 0.23401334881782532, 'Z': 0.00272357021458447}, {'X': 0.5152384042739868, 'Y': 0.19112856686115265, 'Z': -0.011069737374782562}, {'X': 0.6287326812744141, 'Y': 0.37679150700569153, 'Z': 0.007610089611262083}, {'X': 0.6048942804336548, 'Y': 0.2849571406841278, 'Z': 0.009090439416468143}, {'X': 0.592480480670929, 'Y': 0.23687787353992462, 'Z': -0.000759514921810478}, {'X': 0.5799041986465454, 'Y': 0.19856105744838715, 'Z': -0.00916436966508627}, {'X': 0.6759043335914612, 'Y': 0.3862609267234802, 'Z': -0.0037959846667945385}, {'X': 0.6715630292892456, 'Y': 0.31119081377983093, 'Z': -0.010285728611052036}, {'X': 0.6692857146263123, 'Y': 0.2693217694759369, 'Z': -0.017954634502530098}, {'X': 0.6629399657249451, 'Y': 0.23147287964820862, 'Z': -0.01986086368560791}]
[{'X': 0.6479946970939636, 'Y': 0.5947648286819458, 'Z': -5.3316154662752524e-05}, {'X': 0.5743035078048706, 'Y': 0.5969864726066589, 'Z': -0.016268590465188026}, {'X': 0.5137190818786621, 'Y': 0.5388399362564087, 'Z': -0.008552740328013897}, {'X': 0.47557520866394043, 'Y': 0.47706466913223267, 'Z': -0.005223041400313377}, {'X': 0.4465448260307312, 'Y': 0.4514102041721344, 'Z': -0.00024180751643143594}, {'X': 0.5414620637893677, 'Y': 0.4181903302669525, 'Z': 0.025248827412724495}, {'X': 0.5002075433731079, 'Y': 0.34188729524612427, 'Z': 0.022337595000863075}, {'X': 0.47900477051734924, 'Y': 0.29638731479644775, 'Z': 0.014538423158228397}, {'X': 0.46496376395225525, 'Y': 0.2586199641227722, 'Z': 0.002041553845629096}, {'X': 0.583631157875061, 'Y': 0.3866831064224243, 'Z': 0.02015046216547489}, {'X': 0.5473567247390747, 'Y': 0.29027611017227173, 'Z': 0.02427021786570549}, {'X': 0.5270118117332458, 'Y': 0.23371382057666779, 'Z': 0.008347400464117527}, {'X': 0.5120963454246521, 'Y': 0.18742790818214417, 'Z': -0.004522194154560566}, {'X': 0.6286828517913818, 'Y': 0.3768594563007355, 'Z': 0.010551638901233673}, {'X': 0.6038878560066223, 'Y': 0.2844223380088806, 'Z': 0.011302473954856396}, {'X': 0.5894237756729126, 'Y': 0.2362462729215622, 'Z': 0.001089822850190103}, {'X': 0.5762346386909485, 'Y': 0.19613344967365265, 'Z': -0.006711067631840706}, {'X': 0.6764600276947021, 'Y': 0.38578227162361145, 'Z': -0.0023776530288159847}, {'X': 0.673141360282898, 'Y': 0.3115927278995514, 'Z': -0.01103841233998537}, {'X': 0.6713616847991943, 'Y': 0.26896166801452637, 'Z': -0.020613830536603928}, {'X': 0.6664087772369385, 'Y': 0.22833384573459625, 'Z': -0.023799721151590347}]
[{'X': 0.6518253684043884, 'Y': 0.6007642149925232, 'Z': -8.89040602487512e-05}, {'X': 0.5777272582054138, 'Y': 0.6006906032562256, 'Z': -0.01821049489080906}, {'X': 0.5166849493980408, 'Y': 0.5428911447525024, 'Z': -0.013766921125352383}, {'X': 0.477277934551239, 'Y': 0.4809790253639221, 'Z': -0.013638370670378208}, {'X': 0.4459038972854614, 'Y': 0.45311713218688965, 'Z': -0.009961031377315521}, {'X': 0.5425781607627869, 'Y': 0.4176231324672699, 'Z': 0.021532636135816574}, {'X': 0.49854326248168945, 'Y': 0.3433845043182373, 'Z': 0.023880301043391228}, {'X': 0.4771285951137543, 'Y': 0.2960910499095917, 'Z': 0.01978747546672821}, {'X': 0.4623114764690399, 'Y': 0.2556985020637512, 'Z': 0.009611880406737328}, {'X': 0.5843890905380249, 'Y': 0.3853849768638611, 'Z': 0.01622694544494152}, {'X': 0.546734094619751, 'Y': 0.28982409834861755, 'Z': 0.027280615642666817}, {'X': 0.5266228914260864, 'Y': 0.23753975331783295, 'Z': 0.016286788508296013}, {'X': 0.5116561055183411, 'Y': 0.1960648149251938, 'Z': 0.00558801693841815}, {'X': 0.6288427114486694, 'Y': 0.37524133920669556, 'Z': 0.005930352956056595}, {'X': 0.5998652577400208, 'Y': 0.28319206833839417, 'Z': 0.010654588229954243}, {'X': 0.5838911533355713, 'Y': 0.23456133902072906, 'Z': 0.0009459109860472381}, {'X': 0.5676195621490479, 'Y': 0.1948886662721634, 'Z': -0.008722868748009205}, {'X': 0.6778730750083923, 'Y': 0.3840411305427551, 'Z': -0.007370802108198404}, {'X': 0.6778770685195923, 'Y': 0.3080900311470032, 'Z': -0.013206255622208118}, {'X': 0.6803146600723267, 'Y': 0.26634088158607483, 'Z': -0.020263461396098137}, {'X': 0.678784966468811, 'Y': 0.2281264364719391, 'Z': -0.023710189387202263}]
[{'X': 0.6619337797164917, 'Y': 0.6082093715667725, 'Z': -8.517192327417433e-05}, {'X': 0.5860979557037354, 'Y': 0.6026736497879028, 'Z': -0.022679684683680534}, {'X': 0.5190902948379517, 'Y': 0.5455782413482666, 'Z': -0.02194198966026306}, {'X': 0.476210355758667, 'Y': 0.4814400374889374, 'Z': -0.022708285599946976}, {'X': 0.44091373682022095, 'Y': 0.4523262679576874, 'Z': -0.018904443830251694}, {'X': 0.5419809222221375, 'Y': 0.41614753007888794, 'Z': 0.012900173664093018}, {'X': 0.4981708526611328, 'Y': 0.34391260147094727, 'Z': 0.01133692730218172}, {'X': 0.47676515579223633, 'Y': 0.2983614206314087, 'Z': 0.003325022989884019}, {'X': 0.4619573950767517, 'Y': 0.2585434019565582, 'Z': -0.01195066049695015}, {'X': 0.583905816078186, 'Y': 0.3804533779621124, 'Z': 0.006266972981393337}, {'X': 0.5468884706497192, 'Y': 0.28507286310195923, 'Z': 0.01526425126940012}, {'X': 0.5264734625816345, 'Y': 0.2350272834300995, 'Z': 0.003900600830093026}, {'X': 0.511399507522583, 'Y': 0.1915755569934845, 'Z': -0.007629478350281715}, {'X': 0.628732442855835, 'Y': 0.36915066838264465, 'Z': -0.00631256029009819}, {'X': 0.6028484106063843, 'Y': 0.2732657492160797, 'Z': -0.009646755643188953}, {'X': 0.5880467295646667, 'Y': 0.22069643437862396, 'Z': -0.024671413004398346}, {'X': 0.5747560858726501, 'Y': 0.17401593923568726, 'Z': -0.03780007362365723}, {'X': 0.6787455677986145, 'Y': 0.3810451030731201, 'Z': -0.02142396569252014}, {'X': 0.6907802820205688, 'Y': 0.30408620834350586, 'Z': -0.036895547062158585}, {'X': 0.7034217715263367, 'Y': 0.25575727224349976, 'Z': -0.05384201556444168}, {'X': 0.7138605117797852, 'Y': 0.20825912058353424, 'Z': -0.06371578574180603}]
[{'X': 0.6637353897094727, 'Y': 0.6158430576324463, 'Z': -0.00012110088573535904}, {'X': 0.586618959903717, 'Y': 0.6077902913093567, 'Z': -0.02111947163939476}, {'X': 0.5201174020767212, 'Y': 0.5497575998306274, 'Z': -0.024552026763558388}, {'X': 0.47652074694633484, 'Y': 0.48739519715309143, 'Z': -0.029915817081928253}, {'X': 0.4399217963218689, 'Y': 0.4608953893184662, 'Z': -0.03222521394491196}, {'X': 0.5420137643814087, 'Y': 0.4185000956058502, 'Z': 0.001585524994879961}, {'X': 0.49755859375, 'Y': 0.3382991552352905, 'Z': -0.005344443488866091}, {'X': 0.4757985472679138, 'Y': 0.2905293107032776, 'Z': -0.014726691879332066}, {'X': 0.45905447006225586, 'Y': 0.25017204880714417, 'Z': -0.027715424075722694}, {'X': 0.5846843719482422, 'Y': 0.38535118103027344, 'Z': -0.006142704281955957}, {'X': 0.5479264259338379, 'Y': 0.28329139947891235, 'Z': -0.006377024110406637}, {'X': 0.5278523564338684, 'Y': 0.22709473967552185, 'Z': -0.022336887195706367}, {'X': 0.5113989114761353, 'Y': 0.18001919984817505, 'Z': -0.035309549421072006}, {'X': 0.6288695335388184, 'Y': 0.3769168257713318, 'Z': -0.01853819005191326}, {'X': 0.6035320162773132, 'Y': 0.27542054653167725, 'Z': -0.03070422075688839}, {'X': 0.5898146629333496, 'Y': 0.21575526893138885, 'Z': -0.05188574269413948}, {'X': 0.5760265588760376, 'Y': 0.1631511151790619, 'Z': -0.06751998513936996}, {'X': 0.6754887700080872, 'Y': 0.39034155011177063, 'Z': -0.03204626962542534}, {'X': 0.6830393671989441, 'Y': 0.30913251638412476, 'Z': -0.05449805036187172}, {'X': 0.6914747953414917, 'Y': 0.2574933171272278, 'Z': -0.07525820285081863}, {'X': 0.6971063613891602, 'Y': 0.20689132809638977, 'Z': -0.0879245325922966}]
[{'X': 0.6424131393432617, 'Y': 0.6096574068069458, 'Z': -0.0001257770782103762}, {'X': 0.5756651759147644, 'Y': 0.6138660311698914, 'Z': -0.021803773939609528}, {'X': 0.515738308429718, 'Y': 0.5517674684524536, 'Z': -0.02647743746638298}, {'X': 0.4794504642486572, 'Y': 0.4993416666984558, 'Z': -0.028382619842886925}, {'X': 0.44646358489990234, 'Y': 0.465543270111084, 'Z': -0.020611174404621124}, {'X': 0.5364319682121277, 'Y': 0.4215991497039795, 'Z': -0.028287086635828018}, {'X': 0.49411672353744507, 'Y': 0.3422125577926636, 'Z': -0.04898616671562195}, {'X': 0.46755656599998474, 'Y': 0.3001083731651306, 'Z': -0.05930269509553909}, {'X': 0.4457284212112427, 'Y': 0.2639980912208557, 'Z': -0.06679300963878632}, {'X': 0.5817210674285889, 'Y': 0.3944995701313019, 'Z': -0.04064508527517319}, {'X': 0.5406837463378906, 'Y': 0.2847664952278137, 'Z': -0.06590615957975388}, {'X': 0.5174017548561096, 'Y': 0.22211167216300964, 'Z': -0.08482082933187485}, {'X': 0.5013098120689392, 'Y': 0.17090171575546265, 'Z': -0.09481488913297653}, {'X': 0.625954270362854, 'Y': 0.40096303820610046, 'Z': -0.05491131544113159}, {'X': 0.6035061478614807, 'Y': 0.2997068762779236, 'Z': -0.08623421937227249}, {'X': 0.5869165062904358, 'Y': 0.24099498987197876, 'Z': -0.10961255431175232}, {'X': 0.570963442325592, 'Y': 0.18871437013149261, 'Z': -0.12380319088697433}, {'X': 0.6697057485580444, 'Y': 0.4311009347438812, 'Z': -0.06918908655643463}, {'X': 0.6441445350646973, 'Y': 0.43049758672714233, 'Z': -0.1127265989780426}, {'X': 0.6279336214065552, 'Y': 0.4805106818675995, 'Z': -0.1278832107782364}, {'X': 0.6173880100250244, 'Y': 0.5215519666671753, 'Z': -0.12360051274299622}]
[{'X': 0.6420790553092957, 'Y': 0.6164819002151489, 'Z': -9.940832387655973e-05}, {'X': 0.5810694098472595, 'Y': 0.6205706596374512, 'Z': -0.015925943851470947}, {'X': 0.514593780040741, 'Y': 0.556010901927948, 'Z': -0.022787559777498245}, {'X': 0.4756581783294678, 'Y': 0.5026600360870361, 'Z': -0.027943165972828865}, {'X': 0.4408585727214813, 'Y': 0.48025840520858765, 'Z': -0.02816411480307579}, {'X': 0.5291774272918701, 'Y': 0.4277109205722809, 'Z': -0.030910596251487732}, {'X': 0.4884275197982788, 'Y': 0.34520143270492554, 'Z': -0.0622837096452713}, {'X': 0.46587634086608887, 'Y': 0.29688185453414917, 'Z': -0.08458181470632553}, {'X': 0.44981521368026733, 'Y': 0.25569307804107666, 'Z': -0.09884438663721085}, {'X': 0.5732787847518921, 'Y': 0.4032351076602936, 'Z': -0.04474234580993652}, {'X': 0.5369625687599182, 'Y': 0.2929922342300415, 'Z': -0.07420135289430618}, {'X': 0.5136287808418274, 'Y': 0.22534188628196716, 'Z': -0.09229979664087296}, {'X': 0.49559083580970764, 'Y': 0.1720820516347885, 'Z': -0.1038685142993927}, {'X': 0.6209028959274292, 'Y': 0.41152331233024597, 'Z': -0.06084197387099266}, {'X': 0.5983023643493652, 'Y': 0.33856189250946045, 'Z': -0.10907001048326492}, {'X': 0.5852880477905273, 'Y': 0.3285776376724243, 'Z': -0.1324084848165512}, {'X': 0.5739049911499023, 'Y': 0.32984253764152527, 'Z': -0.1424742341041565}, {'X': 0.6676421761512756, 'Y': 0.43819546699523926, 'Z': -0.0758235827088356}, {'X': 0.6430091261863708, 'Y': 0.45133763551712036, 'Z': -0.12624315917491913}, {'X': 0.6290994882583618, 'Y': 0.5014342665672302, 'Z': -0.13969340920448303}, {'X': 0.6172769069671631, 'Y': 0.5437841415405273, 'Z': -0.13801856338977814}]
[{'X': 0.6420790553092957, 'Y': 0.6164819002151489, 'Z': -9.940832387655973e-05}, {'X': 0.5810694098472595, 'Y': 0.6205706596374512, 'Z': -0.015925943851470947}, {'X': 0.514593780040741, 'Y': 0.556010901927948, 'Z': -0.022787559777498245}, {'X': 0.4756581783294678, 'Y': 0.5026600360870361, 'Z': -0.027943165972828865}, {'X': 0.4408585727214813, 'Y': 0.48025840520858765, 'Z': -0.02816411480307579}, {'X': 0.5291774272918701, 'Y': 0.4277109205722809, 'Z': -0.030910596251487732}, {'X': 0.4884275197982788, 'Y': 0.34520143270492554, 'Z': -0.0622837096452713}, {'X': 0.46587634086608887, 'Y': 0.29688185453414917, 'Z': -0.08458181470632553}, {'X': 0.44981521368026733, 'Y': 0.25569307804107666, 'Z': -0.09884438663721085}, {'X': 0.5732787847518921, 'Y': 0.4032351076602936, 'Z': -0.04474234580993652}, {'X': 0.5369625687599182, 'Y': 0.2929922342300415, 'Z': -0.07420135289430618}, {'X': 0.5136287808418274, 'Y': 0.22534188628196716, 'Z': -0.09229979664087296}, {'X': 0.49559083580970764, 'Y': 0.1720820516347885, 'Z': -0.1038685142993927}, {'X': 0.6209028959274292, 'Y': 0.41152331233024597, 'Z': -0.06084197387099266}, {'X': 0.5983023643493652, 'Y': 0.33856189250946045, 'Z': -0.10907001048326492}, {'X': 0.5852880477905273, 'Y': 0.3285776376724243, 'Z': -0.1324084848165512}, {'X': 0.5739049911499023, 'Y': 0.32984253764152527, 'Z': -0.1424742341041565}, {'X': 0.6676421761512756, 'Y': 0.43819546699523926, 'Z': -0.0758235827088356}, {'X': 0.6430091261863708, 'Y': 0.45133763551712036, 'Z': -0.12624315917491913}, {'X': 0.6290994882583618, 'Y': 0.5014342665672302, 'Z': -0.13969340920448303}, {'X': 0.6172769069671631, 'Y': 0.5437841415405273, 'Z': -0.13801856338977814}]
