[{'X': 0.8482958078384399, 'Y': 0.7506012320518494, 'Z': -3.389125413377769e-05}, {'X': 0.7657239437103271, 'Y': 0.7166239023208618, 'Z': 0.007321905344724655}, {'X': 0.7182769179344177, 'Y': 0.6375016570091248, 'Z': 0.038121297955513}, {'X': 0.6981072425842285, 'Y': 0.5585739612579346, 'Z': 0.06228013336658478}, {'X': 0.6878132224082947, 'Y': 0.5084003806114197, 'Z': 0.0918835923075676}, {'X': 0.7484337091445923, 'Y': 0.5719429850578308, 'Z': 0.08110843598842621}, {'X': 0.7304660081863403, 'Y': 0.472772479057312, 'Z': 0.09244425594806671}, {'X': 0.7242702841758728, 'Y': 0.41606855392456055, 'Z': 0.09275440126657486}, {'X': 0.7219438552856445, 'Y': 0.3702266812324524, 'Z': 0.08946305513381958}, {'X': 0.7893348932266235, 'Y': 0.554229736328125, 'Z': 0.06929254531860352}, {'X': 0.7680238485336304, 'Y': 0.44433701038360596, 'Z': 0.0747079849243164}, {'X': 0.7602214813232422, 'Y': 0.38448649644851685, 'Z': 0.04920676350593567}, {'X': 0.7575021386146545, 'Y': 0.33718568086624146, 'Z': 0.027809133753180504}, {'X': 0.8317405581474304, 'Y': 0.5501676201820374, 'Z': 0.05345039814710617}, {'X': 0.8142931461334229, 'Y': 0.45239555835723877, 'Z': 0.058592867106199265}, {'X': 0.8044533729553223, 'Y': 0.39217570424079895, 'Z': 0.04099615290760994}, {'X': 0.7956271767616272, 'Y': 0.34018468856811523, 'Z': 0.02376726269721985}, {'X': 0.87705397605896, 'Y': 0.5598869919776917, 'Z': 0.03852081671357155}, {'X': 0.8669319152832031, 'Y': 0.48118457198143005, 'Z': 0.041223861277103424}, {'X': 0.8600802421569824, 'Y': 0.4308346211910248, 'Z': 0.03522568568587303}, {'X': 0.8511602878570557, 'Y': 0.38144418597221375, 'Z': 0.02826629765331745}]
[{'X': 0.8455764651298523, 'Y': 0.7504852414131165, 'Z': -2.511669481464196e-05}, {'X': 0.7636904120445251, 'Y': 0.71818608045578, 'Z': 0.0032990400213748217}, {'X': 0.7167047262191772, 'Y': 0.6382108926773071, 'Z': 0.031559720635414124}, {'X': 0.697354257106781, 'Y': 0.5575992465019226, 'Z': 0.05372181907296181}, {'X': 0.6902011632919312, 'Y': 0.5062210559844971, 'Z': 0.08103477954864502}, {'X': 0.7494826912879944, 'Y': 0.5672593712806702, 'Z': 0.08043661713600159}, {'X': 0.7319734692573547, 'Y': 0.4689648151397705, 'Z': 0.08974867314100266}, {'X': 0.7263416051864624, 'Y': 0.4133581221103668, 'Z': 0.08709999918937683}, {'X': 0.7256488800048828, 'Y': 0.36876052618026733, 'Z': 0.08191601932048798}, {'X': 0.7901552319526672, 'Y': 0.5506163239479065, 'Z': 0.07093096524477005}, {'X': 0.7677094340324402, 'Y': 0.4429933428764343, 'Z': 0.07623022794723511}, {'X': 0.7589033842086792, 'Y': 0.384075403213501, 'Z': 0.051981035619974136}, {'X': 0.7565460801124573, 'Y': 0.3375742435455322, 'Z': 0.03123745508491993}, {'X': 0.8320114612579346, 'Y': 0.5467919111251831, 'Z': 0.05689794942736626}, {'X': 0.8159255385398865, 'Y': 0.45143261551856995, 'Z': 0.06217695772647858}, {'X': 0.8069900274276733, 'Y': 0.3944011330604553, 'Z': 0.04516267403960228}, {'X': 0.8001047968864441, 'Y': 0.3461673855781555, 'Z': 0.029955336824059486}, {'X': 0.8764928579330444, 'Y': 0.5566453337669373, 'Z': 0.042880527675151825}, {'X': 0.8666345477104187, 'Y': 0.48103633522987366, 'Z': 0.04619978368282318}, {'X': 0.8601435422897339, 'Y': 0.4316383898258209, 'Z': 0.040921401232481}, {'X': 0.8523380160331726, 'Y': 0.38206082582473755, 'Z': 0.03466793894767761}]
[{'X': 0.8455764651298523, 'Y': 0.7504852414131165, 'Z': -2.511669481464196e-05}, {'X': 0.7636904120445251, 'Y': 0.71818608045578, 'Z': 0.0032990400213748217}, {'X': 0.7167047262191772, 'Y': 0.6382108926773071, 'Z': 0.031559720635414124}, {'X': 0.697354257106781, 'Y': 0.5575992465019226, 'Z': 0.05372181907296181}, {'X': 0.6902011632919312, 'Y': 0.5062210559844971, 'Z': 0.08103477954864502}, {'X': 0.7494826912879944, 'Y': 0.5672593712806702, 'Z': 0.08043661713600159}, {'X': 0.7319734692573547, 'Y': 0.4689648151397705, 'Z': 0.08974867314100266}, {'X': 0.7263416051864624, 'Y': 0.4133581221103668, 'Z': 0.08709999918937683}, {'X': 0.7256488800048828, 'Y': 0.36876052618026733, 'Z': 0.08191601932048798}, {'X': 0.7901552319526672, 'Y': 0.5506163239479065, 'Z': 0.07093096524477005}, {'X': 0.7677094340324402, 'Y': 0.4429933428764343, 'Z': 0.07623022794723511}, {'X': 0.7589033842086792, 'Y': 0.384075403213501, 'Z': 0.051981035619974136}, {'X': 0.7565460801124573, 'Y': 0.3375742435455322, 'Z': 0.03123745508491993}, {'X': 0.8320114612579346, 'Y': 0.5467919111251831, 'Z': 0.05689794942736626}, {'X': 0.8159255385398865, 'Y': 0.45143261551856995, 'Z': 0.06217695772647858}, {'X': 0.8069900274276733, 'Y': 0.3944011330604553, 'Z': 0.04516267403960228}, {'X': 0.8001047968864441, 'Y': 0.3461673855781555, 'Z': 0.029955336824059486}, {'X': 0.8764928579330444, 'Y': 0.5566453337669373, 'Z': 0.042880527675151825}, {'X': 0.8666345477104187, 'Y': 0.48103633522987366, 'Z': 0.04619978368282318}, {'X': 0.8601435422897339, 'Y': 0.4316383898258209, 'Z': 0.040921401232481}, {'X': 0.8523380160331726, 'Y': 0.38206082582473755, 'Z': 0.03466793894767761}]
[{'X': 0.8499555587768555, 'Y': 0.7507057189941406, 'Z': -5.247589433565736e-05}, {'X': 0.7657954096794128, 'Y': 0.7174954414367676, 'Z': 0.003061037277802825}, {'X': 0.716805636882782, 'Y': 0.6366991996765137, 'Z': 0.03429974988102913}, {'X': 0.6962244510650635, 'Y': 0.5563522577285767, 'Z': 0.059631627053022385}, {'X': 0.6859479546546936, 'Y': 0.5068397521972656, 'Z': 0.09119457006454468}, {'X': 0.7471742630004883, 'Y': 0.5644317865371704, 'Z': 0.08417747169733047}, {'X': 0.7289432883262634, 'Y': 0.466641366481781, 'Z': 0.09684307128190994}, {'X': 0.7243597507476807, 'Y': 0.4095202088356018, 'Z': 0.09830653667449951}, {'X': 0.7234147787094116, 'Y': 0.36213284730911255, 'Z': 0.09600688517093658}, {'X': 0.7891272902488708, 'Y': 0.5471112728118896, 'Z': 0.07606655359268188}, {'X': 0.768104612827301, 'Y': 0.4380347728729248, 'Z': 0.08417877554893494}, {'X': 0.761607825756073, 'Y': 0.379771888256073, 'Z': 0.06268806755542755}, {'X': 0.7601510286331177, 'Y': 0.333718866109848, 'Z': 0.045807819813489914}, {'X': 0.8321148157119751, 'Y': 0.5439022183418274, 'Z': 0.06315024197101593}, {'X': 0.8158994317054749, 'Y': 0.44815272092819214, 'Z': 0.07003246992826462}, {'X': 0.8079590797424316, 'Y': 0.3905649483203888, 'Z': 0.05529921501874924}, {'X': 0.8007137775421143, 'Y': 0.3412148654460907, 'Z': 0.041365012526512146}, {'X': 0.8776047229766846, 'Y': 0.5545246005058289, 'Z': 0.05064467713236809}, {'X': 0.8676939010620117, 'Y': 0.47903475165367126, 'Z': 0.05444840341806412}, {'X': 0.8612456321716309, 'Y': 0.43068164587020874, 'Z': 0.04971296340227127}, {'X': 0.8523859977722168, 'Y': 0.3828209936618805, 'Z': 0.04511501267552376}]
[{'X': 0.8462529182434082, 'Y': 0.7484562397003174, 'Z': -5.859033626620658e-05}, {'X': 0.7645604610443115, 'Y': 0.7156116962432861, 'Z': -0.0004177617374807596}, {'X': 0.7175754308700562, 'Y': 0.6345990300178528, 'Z': 0.025692902505397797}, {'X': 0.6977022886276245, 'Y': 0.5535332560539246, 'Z': 0.04716198891401291}, {'X': 0.6877676248550415, 'Y': 0.5056819319725037, 'Z': 0.07635242491960526}, {'X': 0.7480399012565613, 'Y': 0.5632673501968384, 'Z': 0.06768515706062317}, {'X': 0.730131208896637, 'Y': 0.4644501507282257, 'Z': 0.07570492476224899}, {'X': 0.7246136665344238, 'Y': 0.4088769257068634, 'Z': 0.07441363483667374}, {'X': 0.7224926352500916, 'Y': 0.36371201276779175, 'Z': 0.06947115063667297}, {'X': 0.7897135615348816, 'Y': 0.5463273525238037, 'Z': 0.058749061077833176}, {'X': 0.769241452217102, 'Y': 0.43581971526145935, 'Z': 0.06215668097138405}, {'X': 0.761944055557251, 'Y': 0.37921786308288574, 'Z': 0.03771045804023743}, {'X': 0.7596454620361328, 'Y': 0.3347049951553345, 'Z': 0.018490195274353027}, {'X': 0.8323307037353516, 'Y': 0.5438529253005981, 'Z': 0.04607733339071274}, {'X': 0.816292405128479, 'Y': 0.44595009088516235, 'Z': 0.04870343208312988}, {'X': 0.8074339032173157, 'Y': 0.38901984691619873, 'Z': 0.032542310655117035}, {'X': 0.7992743253707886, 'Y': 0.33938068151474, 'Z': 0.017796119675040245}, {'X': 0.8777221441268921, 'Y': 0.5557906031608582, 'Z': 0.03345031291246414}, {'X': 0.8686138987541199, 'Y': 0.4794367551803589, 'Z': 0.03360793739557266}, {'X': 0.8621689677238464, 'Y': 0.43020257353782654, 'Z': 0.02693224512040615}, {'X': 0.8534425497055054, 'Y': 0.3806338310241699, 'Z': 0.02046608179807663}]
[{'X': 0.8454943299293518, 'Y': 0.7478413581848145, 'Z': -6.024452159181237e-05}, {'X': 0.764152467250824, 'Y': 0.7137132883071899, 'Z': -0.0020967237651348114}, {'X': 0.716421902179718, 'Y': 0.6366466879844666, 'Z': 0.020621471107006073}, {'X': 0.6964572668075562, 'Y': 0.5571436285972595, 'Z': 0.038363613188266754}, {'X': 0.6926290392875671, 'Y': 0.5056388974189758, 'Z': 0.06292639672756195}, {'X': 0.7508152723312378, 'Y': 0.5648730397224426, 'Z': 0.06704836338758469}, {'X': 0.7321166396141052, 'Y': 0.46628841757774353, 'Z': 0.07510226219892502}, {'X': 0.7257506847381592, 'Y': 0.4114743173122406, 'Z': 0.0716952309012413}, {'X': 0.7237705588340759, 'Y': 0.3656582236289978, 'Z': 0.06456286460161209}, {'X': 0.792574942111969, 'Y': 0.5487509369850159, 'Z': 0.05882420018315315}, {'X': 0.7715789079666138, 'Y': 0.4401191174983978, 'Z': 0.06361822783946991}, {'X': 0.7640954852104187, 'Y': 0.38346439599990845, 'Z': 0.038747988641262054}, {'X': 0.7621265053749084, 'Y': 0.33748745918273926, 'Z': 0.01685597188770771}, {'X': 0.8353630900382996, 'Y': 0.5458242893218994, 'Z': 0.04635452851653099}, {'X': 0.8197750449180603, 'Y': 0.45009174942970276, 'Z': 0.05138973519206047}, {'X': 0.8119662404060364, 'Y': 0.3925793468952179, 'Z': 0.03504415228962898}, {'X': 0.8054178953170776, 'Y': 0.3415282368659973, 'Z': 0.01798561029136181}, {'X': 0.8811232447624207, 'Y': 0.5568425059318542, 'Z': 0.03358682245016098}, {'X': 0.8726561069488525, 'Y': 0.4805372953414917, 'Z': 0.036623746156692505}, {'X': 0.8666863441467285, 'Y': 0.4311547875404358, 'Z': 0.030880901962518692}, {'X': 0.8587384223937988, 'Y': 0.38189929723739624, 'Z': 0.023555438965559006}]
[{'X': 0.8493459820747375, 'Y': 0.7493323087692261, 'Z': -3.680340523715131e-05}, {'X': 0.7687104940414429, 'Y': 0.7097995281219482, 'Z': -0.0013103274395689368}, {'X': 0.7183094620704651, 'Y': 0.6321377754211426, 'Z': 0.02053292840719223}, {'X': 0.6970335841178894, 'Y': 0.5496280193328857, 'Z': 0.038490284234285355}, {'X': 0.6976747512817383, 'Y': 0.49860909581184387, 'Z': 0.0650792047381401}, {'X': 0.7556146383285522, 'Y': 0.5601498484611511, 'Z': 0.06623765826225281}, {'X': 0.733954131603241, 'Y': 0.4661675691604614, 'Z': 0.07488365471363068}, {'X': 0.7263228893280029, 'Y': 0.40989071130752563, 'Z': 0.07045100629329681}, {'X': 0.7217572927474976, 'Y': 0.3632426857948303, 'Z': 0.0619683675467968}, {'X': 0.7982967495918274, 'Y': 0.5452970266342163, 'Z': 0.055919427424669266}, {'X': 0.7765099406242371, 'Y': 0.43723177909851074, 'Z': 0.0657687559723854}, {'X': 0.7672607898712158, 'Y': 0.3811594545841217, 'Z': 0.0449681393802166}, {'X': 0.7638333439826965, 'Y': 0.33897656202316284, 'Z': 0.02592022903263569}, {'X': 0.8414948582649231, 'Y': 0.5447739958763123, 'Z': 0.0419451966881752}, {'X': 0.8323073983192444, 'Y': 0.448070764541626, 'Z': 0.0484108030796051}, {'X': 0.8298158645629883, 'Y': 0.3901574909687042, 'Z': 0.03245428949594498}, {'X': 0.8257966041564941, 'Y': 0.3394894599914551, 'Z': 0.016182145103812218}, {'X': 0.8866596817970276, 'Y': 0.557182788848877, 'Z': 0.026860002428293228}, {'X': 0.8845707178115845, 'Y': 0.48113518953323364, 'Z': 0.028046727180480957}, {'X': 0.881854772567749, 'Y': 0.4303241968154907, 'Z': 0.02280513383448124}, {'X': 0.8747255802154541, 'Y': 0.3779263496398926, 'Z': 0.01704777218401432}]
[{'X': 0.853495180606842, 'Y': 0.7565373182296753, 'Z': -5.509699258254841e-05}, {'X': 0.7710688710212708, 'Y': 0.7108473777770996, 'Z': -0.005517212208360434}, {'X': 0.7204295992851257, 'Y': 0.6316071152687073, 'Z': 0.018486827611923218}, {'X': 0.6988781094551086, 'Y': 0.5504263639450073, 'Z': 0.037357915192842484}, {'X': 0.6950476169586182, 'Y': 0.49739935994148254, 'Z': 0.06457211077213287}, {'X': 0.7579747438430786, 'Y': 0.5647162199020386, 'Z': 0.0724574625492096}, {'X': 0.735225260257721, 'Y': 0.46812933683395386, 'Z': 0.07591832429170609}, {'X': 0.7280018329620361, 'Y': 0.41213172674179077, 'Z': 0.0648336261510849}, {'X': 0.7265734076499939, 'Y': 0.36254990100860596, 'Z': 0.05134226754307747}, {'X': 0.8022131323814392, 'Y': 0.552490770816803, 'Z': 0.06389191001653671}, {'X': 0.7802358269691467, 'Y': 0.44491150975227356, 'Z': 0.06898551434278488}, {'X': 0.7721251249313354, 'Y': 0.3893626928329468, 'Z': 0.0436299629509449}, {'X': 0.7714206576347351, 'Y': 0.34672898054122925, 'Z': 0.02103416435420513}, {'X': 0.8464304208755493, 'Y': 0.5536248683929443, 'Z': 0.04911321401596069}, {'X': 0.8421739935874939, 'Y': 0.4563210606575012, 'Z': 0.05107469856739044}, {'X': 0.8405864238739014, 'Y': 0.39923861622810364, 'Z': 0.03121989220380783}, {'X': 0.8378098607063293, 'Y': 0.34960871934890747, 'Z': 0.011713753454387188}, {'X': 0.8923386931419373, 'Y': 0.5672456622123718, 'Z': 0.03324244171380997}, {'X': 0.8934512138366699, 'Y': 0.49264541268348694, 'Z': 0.033119022846221924}, {'X': 0.891223132610321, 'Y': 0.44215768575668335, 'Z': 0.026518873870372772}, {'X': 0.8849763870239258, 'Y': 0.38903144001960754, 'Z': 0.02045205608010292}]
[{'X': 0.853495180606842, 'Y': 0.7565373182296753, 'Z': -5.509699258254841e-05}, {'X': 0.7710688710212708, 'Y': 0.7108473777770996, 'Z': -0.005517212208360434}, {'X': 0.7204295992851257, 'Y': 0.6316071152687073, 'Z': 0.018486827611923218}, {'X': 0.6988781094551086, 'Y': 0.5504263639450073, 'Z': 0.037357915192842484}, {'X': 0.6950476169586182, 'Y': 0.49739935994148254, 'Z': 0.06457211077213287}, {'X': 0.7579747438430786, 'Y': 0.5647162199020386, 'Z': 0.0724574625492096}, {'X': 0.735225260257721, 'Y': 0.46812933683395386, 'Z': 0.07591832429170609}, {'X': 0.7280018329620361, 'Y': 0.41213172674179077, 'Z': 0.0648336261510849}, {'X': 0.7265734076499939, 'Y': 0.36254990100860596, 'Z': 0.05134226754307747}, {'X': 0.8022131323814392, 'Y': 0.552490770816803, 'Z': 0.06389191001653671}, {'X': 0.7802358269691467, 'Y': 0.44491150975227356, 'Z': 0.06898551434278488}, {'X': 0.7721251249313354, 'Y': 0.3893626928329468, 'Z': 0.0436299629509449}, {'X': 0.7714206576347351, 'Y': 0.34672898054122925, 'Z': 0.02103416435420513}, {'X': 0.8464304208755493, 'Y': 0.5536248683929443, 'Z': 0.04911321401596069}, {'X': 0.8421739935874939, 'Y': 0.4563210606575012, 'Z': 0.05107469856739044}, {'X': 0.8405864238739014, 'Y': 0.39923861622810364, 'Z': 0.03121989220380783}, {'X': 0.8378098607063293, 'Y': 0.34960871934890747, 'Z': 0.011713753454387188}, {'X': 0.8923386931419373, 'Y': 0.5672456622123718, 'Z': 0.03324244171380997}, {'X': 0.8934512138366699, 'Y': 0.49264541268348694, 'Z': 0.033119022846221924}, {'X': 0.891223132610321, 'Y': 0.44215768575668335, 'Z': 0.026518873870372772}, {'X': 0.8849763870239258, 'Y': 0.38903144001960754, 'Z': 0.02045205608010292}]
[{'X': 0.8484525084495544, 'Y': 0.7560855746269226, 'Z': -9.978065645555034e-05}, {'X': 0.7776077389717102, 'Y': 0.708052396774292, 'Z': -0.01696343533694744}, {'X': 0.7280697822570801, 'Y': 0.6268221735954285, 'Z': -0.012456240132451057}, {'X': 0.7083964347839355, 'Y': 0.5516348481178284, 'Z': -0.006962632294744253}, {'X': 0.7171643376350403, 'Y': 0.5035237669944763, 'Z': 0.003963576629757881}, {'X': 0.7633416056632996, 'Y': 0.5551767349243164, 'Z': 0.03508925065398216}, {'X': 0.7452918887138367, 'Y': 0.45392751693725586, 'Z': 0.026961607858538628}, {'X': 0.7402594089508057, 'Y': 0.4009251892566681, 'Z': 0.017911268398165703}, {'X': 0.7384032011032104, 'Y': 0.3537507653236389, 'Z': 0.01711268536746502}, {'X': 0.8049039244651794, 'Y': 0.5505470633506775, 'Z': 0.025540528818964958}, {'X': 0.787135899066925, 'Y': 0.4410187602043152, 'Z': -0.018895085901021957}, {'X': 0.7783103585243225, 'Y': 0.39353540539741516, 'Z': -0.07393500208854675}, {'X': 0.7720404863357544, 'Y': 0.35931596159935, 'Z': -0.10799200087785721}, {'X': 0.847124457359314, 'Y': 0.5590980648994446, 'Z': 0.011029931716620922}, {'X': 0.8382012248039246, 'Y': 0.5221843719482422, 'Z': -0.048671185970306396}, {'X': 0.8330766558647156, 'Y': 0.590257465839386, 'Z': -0.06896784156560898}, {'X': 0.8287055492401123, 'Y': 0.6333792805671692, 'Z': -0.06332217901945114}, {'X': 0.8956367373466492, 'Y': 0.5852880477905273, 'Z': -0.0038470057770609856}, {'X': 0.8902350664138794, 'Y': 0.5090616941452026, 'Z': -0.02347741089761257}, {'X': 0.8853314518928528, 'Y': 0.4685416519641876, 'Z': -0.03039679303765297}, {'X': 0.8810833692550659, 'Y': 0.4256938099861145, 'Z': -0.031813155859708786}]
[{'X': 0.8512566685676575, 'Y': 0.7629426121711731, 'Z': -8.293145219795406e-05}, {'X': 0.7813513875007629, 'Y': 0.7118549942970276, 'Z': -0.0016293155495077372}, {'X': 0.726650059223175, 'Y': 0.6282172203063965, 'Z': 0.011696334928274155}, {'X': 0.7108330726623535, 'Y': 0.5481595396995544, 'Z': 0.018310867249965668}, {'X': 0.7248566746711731, 'Y': 0.5019750595092773, 'Z': 0.034120891243219376}, {'X': 0.765785276889801, 'Y': 0.5802081823348999, 'Z': 0.040696881711483}, {'X': 0.748288094997406, 'Y': 0.4720069169998169, 'Z': 0.03657418116927147}, {'X': 0.7410449981689453, 'Y': 0.4175335168838501, 'Z': 0.037485573440790176}, {'X': 0.7362058162689209, 'Y': 0.37032854557037354, 'Z': 0.0408468060195446}, {'X': 0.807739794254303, 'Y': 0.5737868547439575, 'Z': 0.02648822031915188}, {'X': 0.783065676689148, 'Y': 0.4572051763534546, 'Z': -0.012105693109333515}, {'X': 0.7742188572883606, 'Y': 0.4037070572376251, 'Z': -0.0503721684217453}, {'X': 0.7689170837402344, 'Y': 0.36773404479026794, 'Z': -0.07370023429393768}, {'X': 0.8513577580451965, 'Y': 0.577425479888916, 'Z': 0.00795329362154007}, {'X': 0.8292080760002136, 'Y': 0.5349940061569214, 'Z': -0.05257376283407211}, {'X': 0.8235101103782654, 'Y': 0.6034800410270691, 'Z': -0.06116574630141258}, {'X': 0.8213303089141846, 'Y': 0.6526897549629211, 'Z': -0.049181390553712845}, {'X': 0.9023895859718323, 'Y': 0.5915958285331726, 'Z': -0.00907268188893795}, {'X': 0.8835607767105103, 'Y': 0.5147823095321655, 'Z': -0.0373065322637558}, {'X': 0.8632115125656128, 'Y': 0.5279932022094727, 'Z': -0.036960069090127945}, {'X': 0.849541962146759, 'Y': 0.5485905408859253, 'Z': -0.030427739024162292}]
