[{'X': 0.6779729127883911, 'Y': 0.8103638887405396, 'Z': -4.5291799324331805e-05}, {'X': 0.5989750027656555, 'Y': 0.7841517925262451, 'Z': -0.05558332800865173}, {'X': 0.5341153740882874, 'Y': 0.7086405754089355, 'Z': -0.07875896990299225}, {'X': 0.5008431673049927, 'Y': 0.6378767490386963, 'Z': -0.10412826389074326}, {'X': 0.4759056568145752, 'Y': 0.5808224081993103, 'Z': -0.12896735966205597}, {'X': 0.5930570363998413, 'Y': 0.5546750426292419, 'Z': -0.008061766624450684}, {'X': 0.5637340545654297, 'Y': 0.4551190435886383, 'Z': -0.027707282453775406}, {'X': 0.5446762442588806, 'Y': 0.40114569664001465, 'Z': -0.05022319033741951}, {'X': 0.5276459455490112, 'Y': 0.3539295792579651, 'Z': -0.07097291201353073}, {'X': 0.6496228575706482, 'Y': 0.5386333465576172, 'Z': -0.004051840864121914}, {'X': 0.6532706022262573, 'Y': 0.42659908533096313, 'Z': -0.013101707212626934}, {'X': 0.6564653515815735, 'Y': 0.3637744188308716, 'Z': -0.04419495910406113}, {'X': 0.6580020785331726, 'Y': 0.31543877720832825, 'Z': -0.07137343287467957}, {'X': 0.6999868154525757, 'Y': 0.5498707890510559, 'Z': -0.0109436409547925}, {'X': 0.7114265561103821, 'Y': 0.4462188482284546, 'Z': -0.020697230473160744}, {'X': 0.7133487462997437, 'Y': 0.38842281699180603, 'Z': -0.05242053419351578}, {'X': 0.7092174887657166, 'Y': 0.3428417444229126, 'Z': -0.08180966973304749}, {'X': 0.7488805651664734, 'Y': 0.5820140242576599, 'Z': -0.022866154089570045}, {'X': 0.7705186009407043, 'Y': 0.5091268420219421, 'Z': -0.0436096154153347}, {'X': 0.7796793580055237, 'Y': 0.4655778110027313, 'Z': -0.07288893312215805}, {'X': 0.779900312423706, 'Y': 0.4285699129104614, 'Z': -0.09865865856409073}]
[{'X': 0.6725215315818787, 'Y': 0.8124076128005981, 'Z': -8.865979907568544e-05}, {'X': 0.5941147804260254, 'Y': 0.7832855582237244, 'Z': -0.047566793859004974}, {'X': 0.5269402861595154, 'Y': 0.7077023983001709, 'Z': -0.07108692079782486}, {'X': 0.49220967292785645, 'Y': 0.6381019353866577, 'Z': -0.09946048259735107}, {'X': 0.4737952649593353, 'Y': 0.5814779996871948, 'Z': -0.12642614543437958}, {'X': 0.5897891521453857, 'Y': 0.5513626933097839, 'Z': -0.0005066859885118902}, {'X': 0.5608831644058228, 'Y': 0.45276057720184326, 'Z': -0.017424877732992172}, {'X': 0.542477011680603, 'Y': 0.39996039867401123, 'Z': -0.040253352373838425}, {'X': 0.5263813138008118, 'Y': 0.358356773853302, 'Z': -0.06074272096157074}, {'X': 0.6459192633628845, 'Y': 0.5389292240142822, 'Z': -0.0006328766467049718}, {'X': 0.6500442624092102, 'Y': 0.42513561248779297, 'Z': -0.005943904630839825}, {'X': 0.6523074507713318, 'Y': 0.3549690544605255, 'Z': -0.02996521070599556}, {'X': 0.6524726748466492, 'Y': 0.3018084466457367, 'Z': -0.05257473140954971}, {'X': 0.6952096223831177, 'Y': 0.5560492277145386, 'Z': -0.011214898899197578}, {'X': 0.7071090340614319, 'Y': 0.4507114291191101, 'Z': -0.016905348747968674}, {'X': 0.7087665796279907, 'Y': 0.3864555358886719, 'Z': -0.04042564705014229}, {'X': 0.7037221193313599, 'Y': 0.3342653512954712, 'Z': -0.06358952075242996}, {'X': 0.7425661683082581, 'Y': 0.596532940864563, 'Z': -0.027440814301371574}, {'X': 0.7595070600509644, 'Y': 0.52397620677948, 'Z': -0.04597703740000725}, {'X': 0.763361930847168, 'Y': 0.4762655198574066, 'Z': -0.0701872855424881}, {'X': 0.7586842775344849, 'Y': 0.4334832429885864, 'Z': -0.08953561633825302}]
[{'X': 0.667909562587738, 'Y': 0.8026632070541382, 'Z': -9.870590292848647e-05}, {'X': 0.5917186737060547, 'Y': 0.7772576212882996, 'Z': -0.058249495923519135}, {'X': 0.525963544845581, 'Y': 0.7030277848243713, 'Z': -0.0865347608923912}, {'X': 0.49316155910491943, 'Y': 0.6332545280456543, 'Z': -0.11699414998292923}, {'X': 0.4761636257171631, 'Y': 0.5731333494186401, 'Z': -0.14471393823623657}, {'X': 0.5892726182937622, 'Y': 0.5534278154373169, 'Z': -0.019571898505091667}, {'X': 0.564995527267456, 'Y': 0.45282211899757385, 'Z': -0.0411766916513443}, {'X': 0.547081708908081, 'Y': 0.39873433113098145, 'Z': -0.0646149292588234}, {'X': 0.5305421352386475, 'Y': 0.35746753215789795, 'Z': -0.08565641194581985}, {'X': 0.6457493305206299, 'Y': 0.5395674705505371, 'Z': -0.01824028044939041}, {'X': 0.6533249616622925, 'Y': 0.4236831068992615, 'Z': -0.035939186811447144}, {'X': 0.6561049222946167, 'Y': 0.3562847971916199, 'Z': -0.06504829972982407}, {'X': 0.6553356647491455, 'Y': 0.3089471757411957, 'Z': -0.08964315801858902}, {'X': 0.6959193348884583, 'Y': 0.5545809864997864, 'Z': -0.026657534763216972}, {'X': 0.7111462950706482, 'Y': 0.44763994216918945, 'Z': -0.04172365739941597}, {'X': 0.7133787870407104, 'Y': 0.38719090819358826, 'Z': -0.07004112005233765}, {'X': 0.707433819770813, 'Y': 0.34138163924217224, 'Z': -0.09549449384212494}, {'X': 0.743309497833252, 'Y': 0.592645525932312, 'Z': -0.041269589215517044}, {'X': 0.7631137371063232, 'Y': 0.5204541087150574, 'Z': -0.06505889445543289}, {'X': 0.7701196074485779, 'Y': 0.47653719782829285, 'Z': -0.09119592607021332}, {'X': 0.7673885822296143, 'Y': 0.44014811515808105, 'Z': -0.11130574345588684}]
[{'X': 0.667909562587738, 'Y': 0.8026632070541382, 'Z': -9.870590292848647e-05}, {'X': 0.5917186737060547, 'Y': 0.7772576212882996, 'Z': -0.058249495923519135}, {'X': 0.525963544845581, 'Y': 0.7030277848243713, 'Z': -0.0865347608923912}, {'X': 0.49316155910491943, 'Y': 0.6332545280456543, 'Z': -0.11699414998292923}, {'X': 0.4761636257171631, 'Y': 0.5731333494186401, 'Z': -0.14471393823623657}, {'X': 0.5892726182937622, 'Y': 0.5534278154373169, 'Z': -0.019571898505091667}, {'X': 0.564995527267456, 'Y': 0.45282211899757385, 'Z': -0.0411766916513443}, {'X': 0.547081708908081, 'Y': 0.39873433113098145, 'Z': -0.0646149292588234}, {'X': 0.5305421352386475, 'Y': 0.35746753215789795, 'Z': -0.08565641194581985}, {'X': 0.6457493305206299, 'Y': 0.5395674705505371, 'Z': -0.01824028044939041}, {'X': 0.6533249616622925, 'Y': 0.4236831068992615, 'Z': -0.035939186811447144}, {'X': 0.6561049222946167, 'Y': 0.3562847971916199, 'Z': -0.06504829972982407}, {'X': 0.6553356647491455, 'Y': 0.3089471757411957, 'Z': -0.08964315801858902}, {'X': 0.6959193348884583, 'Y': 0.5545809864997864, 'Z': -0.026657534763216972}, {'X': 0.7111462950706482, 'Y': 0.44763994216918945, 'Z': -0.04172365739941597}, {'X': 0.7133787870407104, 'Y': 0.38719090819358826, 'Z': -0.07004112005233765}, {'X': 0.707433819770813, 'Y': 0.34138163924217224, 'Z': -0.09549449384212494}, {'X': 0.743309497833252, 'Y': 0.592645525932312, 'Z': -0.041269589215517044}, {'X': 0.7631137371063232, 'Y': 0.5204541087150574, 'Z': -0.06505889445543289}, {'X': 0.7701196074485779, 'Y': 0.47653719782829285, 'Z': -0.09119592607021332}, {'X': 0.7673885822296143, 'Y': 0.44014811515808105, 'Z': -0.11130574345588684}]
[{'X': 0.6645161509513855, 'Y': 0.8016276359558105, 'Z': -8.852129394654185e-05}, {'X': 0.5913363099098206, 'Y': 0.7710772752761841, 'Z': -0.04624909535050392}, {'X': 0.5290976762771606, 'Y': 0.69517982006073, 'Z': -0.07006721198558807}, {'X': 0.49825793504714966, 'Y': 0.6268640160560608, 'Z': -0.09909341484308243}, {'X': 0.4743945896625519, 'Y': 0.573181688785553, 'Z': -0.12835751473903656}, {'X': 0.5896173715591431, 'Y': 0.545128583908081, 'Z': -0.009088539518415928}, {'X': 0.5689197182655334, 'Y': 0.447479784488678, 'Z': -0.0276471134275198}, {'X': 0.5522525310516357, 'Y': 0.3953027129173279, 'Z': -0.050412483513355255}, {'X': 0.5359500646591187, 'Y': 0.3520520329475403, 'Z': -0.07130666822195053}, {'X': 0.6451980471611023, 'Y': 0.5329045653343201, 'Z': -0.01599099300801754}, {'X': 0.6543228030204773, 'Y': 0.41877588629722595, 'Z': -0.029542604461312294}, {'X': 0.6572908163070679, 'Y': 0.3482479453086853, 'Z': -0.058237381279468536}, {'X': 0.6562304496765137, 'Y': 0.29243919253349304, 'Z': -0.08195880055427551}, {'X': 0.696421205997467, 'Y': 0.5507102608680725, 'Z': -0.03158881142735481}, {'X': 0.7108911871910095, 'Y': 0.4436398446559906, 'Z': -0.046022865921258926}, {'X': 0.7120715975761414, 'Y': 0.3808996081352234, 'Z': -0.07565569132566452}, {'X': 0.7055387496948242, 'Y': 0.3295052945613861, 'Z': -0.10180875658988953}, {'X': 0.7455540895462036, 'Y': 0.5930818915367126, 'Z': -0.05315227806568146}, {'X': 0.7662626504898071, 'Y': 0.5221813321113586, 'Z': -0.07637245208024979}, {'X': 0.7733633518218994, 'Y': 0.4769943952560425, 'Z': -0.10152469575405121}, {'X': 0.7718040943145752, 'Y': 0.4365464448928833, 'Z': -0.1229465901851654}]
[{'X': 0.6678406000137329, 'Y': 0.7937489151954651, 'Z': -4.879036350757815e-05}, {'X': 0.5906442403793335, 'Y': 0.7635741829872131, 'Z': -0.05813565477728844}, {'X': 0.5306677222251892, 'Y': 0.6918020248413086, 'Z': -0.08819931745529175}, {'X': 0.5013592839241028, 'Y': 0.6243862509727478, 'Z': -0.1216076910495758}, {'X': 0.48414820432662964, 'Y': 0.5643911957740784, 'Z': -0.15366718173027039}, {'X': 0.596842885017395, 'Y': 0.5486314296722412, 'Z': -0.011184432543814182}, {'X': 0.5787182450294495, 'Y': 0.4542612135410309, 'Z': -0.037468746304512024}, {'X': 0.5639254450798035, 'Y': 0.40504777431488037, 'Z': -0.06941356509923935}, {'X': 0.549217939376831, 'Y': 0.36735260486602783, 'Z': -0.09694254398345947}, {'X': 0.6520856618881226, 'Y': 0.5364742279052734, 'Z': -0.012005128897726536}, {'X': 0.6574768424034119, 'Y': 0.4275071620941162, 'Z': -0.031567227095365524}, {'X': 0.6597695350646973, 'Y': 0.3621917963027954, 'Z': -0.06939613074064255}, {'X': 0.6592210531234741, 'Y': 0.3139358162879944, 'Z': -0.09857112169265747}, {'X': 0.7010085582733154, 'Y': 0.5519347190856934, 'Z': -0.024320777505636215}, {'X': 0.7135990858078003, 'Y': 0.44710689783096313, 'Z': -0.04164106026291847}, {'X': 0.7144453525543213, 'Y': 0.3851383626461029, 'Z': -0.07915090769529343}, {'X': 0.7072430849075317, 'Y': 0.3352302610874176, 'Z': -0.11014139652252197}, {'X': 0.7480084896087646, 'Y': 0.5894443988800049, 'Z': -0.04161910340189934}, {'X': 0.7720291614532471, 'Y': 0.5188686847686768, 'Z': -0.06854527443647385}, {'X': 0.7795912027359009, 'Y': 0.4737117290496826, 'Z': -0.09809356182813644}, {'X': 0.7771356105804443, 'Y': 0.4337815046310425, 'Z': -0.12146472185850143}]
[{'X': 0.6728966236114502, 'Y': 0.7758740186691284, 'Z': -4.058776539750397e-05}, {'X': 0.5960587859153748, 'Y': 0.7437721490859985, 'Z': -0.058551281690597534}, {'X': 0.5338811278343201, 'Y': 0.6749115586280823, 'Z': -0.09054838865995407}, {'X': 0.5045832395553589, 'Y': 0.6089458465576172, 'Z': -0.12433156371116638}, {'X': 0.489676296710968, 'Y': 0.5483894944190979, 'Z': -0.15513566136360168}, {'X': 0.6019795536994934, 'Y': 0.5340880155563354, 'Z': -0.02637210302054882}, {'X': 0.5808461904525757, 'Y': 0.44357529282569885, 'Z': -0.05618340149521828}, {'X': 0.5655908584594727, 'Y': 0.39510756731033325, 'Z': -0.09013915807008743}, {'X': 0.5510480999946594, 'Y': 0.35695338249206543, 'Z': -0.12035433948040009}, {'X': 0.6570351123809814, 'Y': 0.5233263969421387, 'Z': -0.026303598657250404}, {'X': 0.6608228087425232, 'Y': 0.41532576084136963, 'Z': -0.05156347155570984}, {'X': 0.6633526682853699, 'Y': 0.34822964668273926, 'Z': -0.09245393425226212}, {'X': 0.665074348449707, 'Y': 0.29650187492370605, 'Z': -0.12557902932167053}, {'X': 0.7053159475326538, 'Y': 0.5403798818588257, 'Z': -0.036865465342998505}, {'X': 0.7179915308952332, 'Y': 0.4401629567146301, 'Z': -0.058575328439474106}, {'X': 0.7196813225746155, 'Y': 0.3826725482940674, 'Z': -0.09763254225254059}, {'X': 0.7148531079292297, 'Y': 0.33744052052497864, 'Z': -0.12965980172157288}, {'X': 0.7511346340179443, 'Y': 0.5789701342582703, 'Z': -0.051264774054288864}, {'X': 0.7747731804847717, 'Y': 0.5107266306877136, 'Z': -0.08248213678598404}, {'X': 0.7821611762046814, 'Y': 0.47167450189590454, 'Z': -0.11419545859098434}, {'X': 0.7801828384399414, 'Y': 0.44202715158462524, 'Z': -0.138163223862648}]
[{'X': 0.6763674020767212, 'Y': 0.7661462426185608, 'Z': -2.353767013119068e-05}, {'X': 0.5992507934570312, 'Y': 0.740505039691925, 'Z': -0.0543343648314476}, {'X': 0.5392084121704102, 'Y': 0.6687346696853638, 'Z': -0.07729234546422958}, {'X': 0.5114365816116333, 'Y': 0.6003504395484924, 'Z': -0.10078517347574234}, {'X': 0.4952065348625183, 'Y': 0.5428392887115479, 'Z': -0.12122870236635208}, {'X': 0.6020790338516235, 'Y': 0.5364205837249756, 'Z': -0.02170570008456707}, {'X': 0.5831149220466614, 'Y': 0.4490815997123718, 'Z': -0.0475434847176075}, {'X': 0.5686043500900269, 'Y': 0.3978275656700134, 'Z': -0.07770350575447083}, {'X': 0.5552186965942383, 'Y': 0.35440367460250854, 'Z': -0.10185781866312027}, {'X': 0.6561130285263062, 'Y': 0.524185836315155, 'Z': -0.02046271599829197}, {'X': 0.6601453423500061, 'Y': 0.41630250215530396, 'Z': -0.04256371408700943}, {'X': 0.6618976593017578, 'Y': 0.34842532873153687, 'Z': -0.08378441631793976}, {'X': 0.6629831194877625, 'Y': 0.2962343096733093, 'Z': -0.11766435205936432}, {'X': 0.7049536108970642, 'Y': 0.5370851755142212, 'Z': -0.027491826564073563}, {'X': 0.715334951877594, 'Y': 0.43456578254699707, 'Z': -0.047037191689014435}, {'X': 0.716556191444397, 'Y': 0.37923264503479004, 'Z': -0.08518510311841965}, {'X': 0.712253749370575, 'Y': 0.33882492780685425, 'Z': -0.11722207814455032}, {'X': 0.7520488500595093, 'Y': 0.5691362023353577, 'Z': -0.03953038901090622}, {'X': 0.7711434960365295, 'Y': 0.5007895231246948, 'Z': -0.06474272161722183}, {'X': 0.7760146856307983, 'Y': 0.45922964811325073, 'Z': -0.09353034943342209}, {'X': 0.7722275257110596, 'Y': 0.4276767671108246, 'Z': -0.11878232657909393}]
[{'X': 0.6763674020767212, 'Y': 0.7661462426185608, 'Z': -2.353767013119068e-05}, {'X': 0.5992507934570312, 'Y': 0.740505039691925, 'Z': -0.0543343648314476}, {'X': 0.5392084121704102, 'Y': 0.6687346696853638, 'Z': -0.07729234546422958}, {'X': 0.5114365816116333, 'Y': 0.6003504395484924, 'Z': -0.10078517347574234}, {'X': 0.4952065348625183, 'Y': 0.5428392887115479, 'Z': -0.12122870236635208}, {'X': 0.6020790338516235, 'Y': 0.5364205837249756, 'Z': -0.02170570008456707}, {'X': 0.5831149220466614, 'Y': 0.4490815997123718, 'Z': -0.0475434847176075}, {'X': 0.5686043500900269, 'Y': 0.3978275656700134, 'Z': -0.07770350575447083}, {'X': 0.5552186965942383, 'Y': 0.35440367460250854, 'Z': -0.10185781866312027}, {'X': 0.6561130285263062, 'Y': 0.524185836315155, 'Z': -0.02046271599829197}, {'X': 0.6601453423500061, 'Y': 0.41630250215530396, 'Z': -0.04256371408700943}, {'X': 0.6618976593017578, 'Y': 0.34842532873153687, 'Z': -0.08378441631793976}, {'X': 0.6629831194877625, 'Y': 0.2962343096733093, 'Z': -0.11766435205936432}, {'X': 0.7049536108970642, 'Y': 0.5370851755142212, 'Z': -0.027491826564073563}, {'X': 0.715334951877594, 'Y': 0.43456578254699707, 'Z': -0.047037191689014435}, {'X': 0.716556191444397, 'Y': 0.37923264503479004, 'Z': -0.08518510311841965}, {'X': 0.712253749370575, 'Y': 0.33882492780685425, 'Z': -0.11722207814455032}, {'X': 0.7520488500595093, 'Y': 0.5691362023353577, 'Z': -0.03953038901090622}, {'X': 0.7711434960365295, 'Y': 0.5007895231246948, 'Z': -0.06474272161722183}, {'X': 0.7760146856307983, 'Y': 0.45922964811325073, 'Z': -0.09353034943342209}, {'X': 0.7722275257110596, 'Y': 0.4276767671108246, 'Z': -0.11878232657909393}]
[{'X': 0.6862403750419617, 'Y': 0.7563138008117676, 'Z': -6.236570334294811e-05}, {'X': 0.6077759265899658, 'Y': 0.7277122735977173, 'Z': -0.05216896906495094}, {'X': 0.5440177917480469, 'Y': 0.6532785296440125, 'Z': -0.0764978751540184}, {'X': 0.5110014081001282, 'Y': 0.5854551196098328, 'Z': -0.10343556106090546}, {'X': 0.4837738275527954, 'Y': 0.5325455069541931, 'Z': -0.12967394292354584}, {'X': 0.6111174821853638, 'Y': 0.5341897010803223, 'Z': -0.024845298379659653}, {'X': 0.5910388231277466, 'Y': 0.45436835289001465, 'Z': -0.055256474763154984}, {'X': 0.5752549171447754, 'Y': 0.41127967834472656, 'Z': -0.09336966276168823}, {'X': 0.5595690608024597, 'Y': 0.37990516424179077, 'Z': -0.12586036324501038}, {'X': 0.6639726758003235, 'Y': 0.5210195183753967, 'Z': -0.020621005445718765}, {'X': 0.6670341491699219, 'Y': 0.4179787337779999, 'Z': -0.04034982994198799}, {'X': 0.666358470916748, 'Y': 0.3552415668964386, 'Z': -0.07792163640260696}, {'X': 0.6624053120613098, 'Y': 0.306146502494812, 'Z': -0.11024726927280426}, {'X': 0.7104299068450928, 'Y': 0.5343073010444641, 'Z': -0.025809288024902344}, {'X': 0.72183758020401, 'Y': 0.43815043568611145, 'Z': -0.04499579593539238}, {'X': 0.7211941480636597, 'Y': 0.3928094506263733, 'Z': -0.07801994681358337}, {'X': 0.7138664722442627, 'Y': 0.359130859375, 'Z': -0.10664968937635422}, {'X': 0.753381609916687, 'Y': 0.5656222105026245, 'Z': -0.03445237874984741}, {'X': 0.7712442278862, 'Y': 0.49929672479629517, 'Z': -0.056230783462524414}, {'X': 0.7775403261184692, 'Y': 0.4636369049549103, 'Z': -0.0794307142496109}, {'X': 0.7759326100349426, 'Y': 0.43308889865875244, 'Z': -0.09636157751083374}]
[{'X': 0.6856281161308289, 'Y': 0.7375648021697998, 'Z': -5.082708958070725e-05}, {'X': 0.6144393682479858, 'Y': 0.7096899151802063, 'Z': -0.0472571961581707}, {'X': 0.5560740232467651, 'Y': 0.6429709792137146, 'Z': -0.06978586316108704}, {'X': 0.5207564830780029, 'Y': 0.5819792747497559, 'Z': -0.09491916745901108}, {'X': 0.4882189929485321, 'Y': 0.5314345955848694, 'Z': -0.1232515349984169}, {'X': 0.6188977360725403, 'Y': 0.5290536284446716, 'Z': -0.019652992486953735}, {'X': 0.6002389192581177, 'Y': 0.4605095386505127, 'Z': -0.053586047142744064}, {'X': 0.5872840285301208, 'Y': 0.427046537399292, 'Z': -0.09714189171791077}, {'X': 0.575547993183136, 'Y': 0.41016483306884766, 'Z': -0.13104453682899475}, {'X': 0.6677299737930298, 'Y': 0.5153122544288635, 'Z': -0.01742187887430191}, {'X': 0.6680904030799866, 'Y': 0.42560282349586487, 'Z': -0.033558234572410583}, {'X': 0.6665032505989075, 'Y': 0.36519885063171387, 'Z': -0.06928159296512604}, {'X': 0.662529468536377, 'Y': 0.31808361411094666, 'Z': -0.10126542299985886}, {'X': 0.7128139138221741, 'Y': 0.529081404209137, 'Z': -0.024499723687767982}, {'X': 0.7218316197395325, 'Y': 0.4454159140586853, 'Z': -0.04311470314860344}, {'X': 0.7213523983955383, 'Y': 0.4092307686805725, 'Z': -0.07608020305633545}, {'X': 0.7144448757171631, 'Y': 0.38663116097450256, 'Z': -0.10244626551866531}, {'X': 0.756242573261261, 'Y': 0.5610120296478271, 'Z': -0.033928126096725464}, {'X': 0.7732554078102112, 'Y': 0.5033558011054993, 'Z': -0.05865621566772461}, {'X': 0.7761950492858887, 'Y': 0.4711989760398865, 'Z': -0.08118145167827606}, {'X': 0.7699439525604248, 'Y': 0.44576215744018555, 'Z': -0.09744314104318619}]
