[{'X': 0.7276794910430908, 'Y': 0.5903682112693787, 'Z': -2.9233766326797195e-05}, {'X': 0.6518616676330566, 'Y': 0.5669382810592651, 'Z': -0.08145235478878021}, {'X': 0.6040176153182983, 'Y': 0.4901796579360962, 'Z': -0.12116280198097229}, {'X': 0.5794395804405212, 'Y': 0.4157271981239319, 'Z': -0.15610896050930023}, {'X': 0.5614909529685974, 'Y': 0.35917529463768005, 'Z': -0.18939383327960968}, {'X': 0.6772956252098083, 'Y': 0.33874189853668213, 'Z': -0.054825302213430405}, {'X': 0.6500125527381897, 'Y': 0.23978686332702637, 'Z': -0.0858386680483818}, {'X': 0.6291843056678772, 'Y': 0.17777393758296967, 'Z': -0.1220543161034584}, {'X': 0.6117942333221436, 'Y': 0.12867310643196106, 'Z': -0.1513778418302536}, {'X': 0.732312798500061, 'Y': 0.33294257521629333, 'Z': -0.040699638426303864}, {'X': 0.7529392242431641, 'Y': 0.21737436950206757, 'Z': -0.056053824722766876}, {'X': 0.770829975605011, 'Y': 0.14181894063949585, 'Z': -0.09092450141906738}, {'X': 0.7882285714149475, 'Y': 0.07942110300064087, 'Z': -0.12141381949186325}, {'X': 0.778587818145752, 'Y': 0.3568187952041626, 'Z': -0.034890495240688324}, {'X': 0.8079749941825867, 'Y': 0.2543320059776306, 'Z': -0.052203234285116196}, {'X': 0.8301110863685608, 'Y': 0.1898525506258011, 'Z': -0.07953676581382751}, {'X': 0.846855640411377, 'Y': 0.13602355122566223, 'Z': -0.10396774113178253}, {'X': 0.8196613192558289, 'Y': 0.40057480335235596, 'Z': -0.040146712213754654}, {'X': 0.84950852394104, 'Y': 0.32962775230407715, 'Z': -0.06241219863295555}, {'X': 0.8688410520553589, 'Y': 0.2845941185951233, 'Z': -0.0815485343337059}, {'X': 0.8848952651023865, 'Y': 0.24229276180267334, 'Z': -0.0960901528596878}]
[{'X': 0.7315347790718079, 'Y': 0.6056758165359497, 'Z': -5.0526017730589956e-05}, {'X': 0.6498903036117554, 'Y': 0.5706365704536438, 'Z': -0.07104954123497009}, {'X': 0.6042846441268921, 'Y': 0.49017781019210815, 'Z': -0.10177091509103775}, {'X': 0.5793308019638062, 'Y': 0.4128285348415375, 'Z': -0.1319805383682251}, {'X': 0.5567469596862793, 'Y': 0.3523021340370178, 'Z': -0.16172444820404053}, {'X': 0.6716110706329346, 'Y': 0.34197938442230225, 'Z': -0.03224215656518936}, {'X': 0.6447888016700745, 'Y': 0.24556735157966614, 'Z': -0.05626495182514191}, {'X': 0.6250683069229126, 'Y': 0.18287116289138794, 'Z': -0.08671584725379944}, {'X': 0.6076576113700867, 'Y': 0.1317121684551239, 'Z': -0.11092792451381683}, {'X': 0.7304230332374573, 'Y': 0.338448703289032, 'Z': -0.01741994172334671}, {'X': 0.7498518228530884, 'Y': 0.22723403573036194, 'Z': -0.023876508697867393}, {'X': 0.7681359052658081, 'Y': 0.1480923295021057, 'Z': -0.05826393514871597}, {'X': 0.7844539284706116, 'Y': 0.08709105849266052, 'Z': -0.0877152755856514}, {'X': 0.7792571187019348, 'Y': 0.36173027753829956, 'Z': -0.01085884403437376}, {'X': 0.8120623826980591, 'Y': 0.26682373881340027, 'Z': -0.020923033356666565}, {'X': 0.8341386318206787, 'Y': 0.2018943727016449, 'Z': -0.046610403805971146}, {'X': 0.8474424481391907, 'Y': 0.153095543384552, 'Z': -0.07226986438035965}, {'X': 0.8233111500740051, 'Y': 0.40078842639923096, 'Z': -0.01565815508365631}, {'X': 0.8563778400421143, 'Y': 0.3288338780403137, 'Z': -0.033939290791749954}, {'X': 0.8769627809524536, 'Y': 0.28101015090942383, 'Z': -0.05091600492596626}, {'X': 0.891058087348938, 'Y': 0.2397143840789795, 'Z': -0.06405386328697205}]
[{'X': 0.727403461933136, 'Y': 0.5944193601608276, 'Z': -3.8689369830535725e-05}, {'X': 0.6487753987312317, 'Y': 0.5670194625854492, 'Z': -0.07827884703874588}, {'X': 0.602947473526001, 'Y': 0.4912673234939575, 'Z': -0.12030605971813202}, {'X': 0.5786905288696289, 'Y': 0.41787898540496826, 'Z': -0.16098009049892426}, {'X': 0.5589622855186462, 'Y': 0.3594522774219513, 'Z': -0.20128507912158966}, {'X': 0.673263669013977, 'Y': 0.34468626976013184, 'Z': -0.05484627187252045}, {'X': 0.6455318927764893, 'Y': 0.24897125363349915, 'Z': -0.0872204601764679}, {'X': 0.6238589286804199, 'Y': 0.18674764037132263, 'Z': -0.12478064745664597}, {'X': 0.6052847504615784, 'Y': 0.13634787499904633, 'Z': -0.1533910483121872}, {'X': 0.7288774251937866, 'Y': 0.3417111337184906, 'Z': -0.04135599732398987}, {'X': 0.7503511309623718, 'Y': 0.23099373281002045, 'Z': -0.05851440131664276}, {'X': 0.7680949568748474, 'Y': 0.1534191519021988, 'Z': -0.09040240198373795}, {'X': 0.7848939895629883, 'Y': 0.08986732363700867, 'Z': -0.11780598759651184}, {'X': 0.7770696878433228, 'Y': 0.3666442036628723, 'Z': -0.037226270884275436}, {'X': 0.8078370690345764, 'Y': 0.2702617943286896, 'Z': -0.05477432534098625}, {'X': 0.8285101652145386, 'Y': 0.20354115962982178, 'Z': -0.08026623725891113}, {'X': 0.842920184135437, 'Y': 0.14727522432804108, 'Z': -0.10283607244491577}, {'X': 0.8210300803184509, 'Y': 0.41033974289894104, 'Z': -0.04368283972144127}, {'X': 0.8534749746322632, 'Y': 0.34220829606056213, 'Z': -0.06542766839265823}, {'X': 0.8737368583679199, 'Y': 0.29597902297973633, 'Z': -0.08357029408216476}, {'X': 0.8904075622558594, 'Y': 0.25115227699279785, 'Z': -0.09591833502054214}]
[{'X': 0.7303541302680969, 'Y': 0.6014624834060669, 'Z': -3.983392889495008e-05}, {'X': 0.6483055949211121, 'Y': 0.5667004585266113, 'Z': -0.07883333414793015}, {'X': 0.6042212843894958, 'Y': 0.4894607663154602, 'Z': -0.11844072490930557}, {'X': 0.5808792114257812, 'Y': 0.41425055265426636, 'Z': -0.15722568333148956}, {'X': 0.5569760799407959, 'Y': 0.3530120551586151, 'Z': -0.1982826441526413}, {'X': 0.6703156232833862, 'Y': 0.3433895707130432, 'Z': -0.04775720089673996}, {'X': 0.6448075771331787, 'Y': 0.2478119283914566, 'Z': -0.07682503014802933}, {'X': 0.6235072016716003, 'Y': 0.18518230319023132, 'Z': -0.11203591525554657}, {'X': 0.6033621430397034, 'Y': 0.13467350602149963, 'Z': -0.13619329035282135}, {'X': 0.72853022813797, 'Y': 0.3391337990760803, 'Z': -0.035536739975214005}, {'X': 0.7486001253128052, 'Y': 0.22976447641849518, 'Z': -0.04782887548208237}, {'X': 0.768006443977356, 'Y': 0.15409350395202637, 'Z': -0.08311799168586731}, {'X': 0.7856812477111816, 'Y': 0.0937974750995636, 'Z': -0.11194154620170593}, {'X': 0.777867317199707, 'Y': 0.3625200688838959, 'Z': -0.03333460912108421}, {'X': 0.8078916668891907, 'Y': 0.26495835185050964, 'Z': -0.04876590520143509}, {'X': 0.8280152678489685, 'Y': 0.20022301375865936, 'Z': -0.07941655069589615}, {'X': 0.8415467143058777, 'Y': 0.14760802686214447, 'Z': -0.10668358206748962}, {'X': 0.8227066993713379, 'Y': 0.4053646922111511, 'Z': -0.04314341023564339}, {'X': 0.8581087589263916, 'Y': 0.3389025330543518, 'Z': -0.0649452805519104}, {'X': 0.8799264430999756, 'Y': 0.2922911047935486, 'Z': -0.08656781166791916}, {'X': 0.8971600532531738, 'Y': 0.24886088073253632, 'Z': -0.10347317159175873}]
[{'X': 0.7303541302680969, 'Y': 0.6014624834060669, 'Z': -3.983392889495008e-05}, {'X': 0.6483055949211121, 'Y': 0.5667004585266113, 'Z': -0.07883333414793015}, {'X': 0.6042212843894958, 'Y': 0.4894607663154602, 'Z': -0.11844072490930557}, {'X': 0.5808792114257812, 'Y': 0.41425055265426636, 'Z': -0.15722568333148956}, {'X': 0.5569760799407959, 'Y': 0.3530120551586151, 'Z': -0.1982826441526413}, {'X': 0.6703156232833862, 'Y': 0.3433895707130432, 'Z': -0.04775720089673996}, {'X': 0.6448075771331787, 'Y': 0.2478119283914566, 'Z': -0.07682503014802933}, {'X': 0.6235072016716003, 'Y': 0.18518230319023132, 'Z': -0.11203591525554657}, {'X': 0.6033621430397034, 'Y': 0.13467350602149963, 'Z': -0.13619329035282135}, {'X': 0.72853022813797, 'Y': 0.3391337990760803, 'Z': -0.035536739975214005}, {'X': 0.7486001253128052, 'Y': 0.22976447641849518, 'Z': -0.04782887548208237}, {'X': 0.768006443977356, 'Y': 0.15409350395202637, 'Z': -0.08311799168586731}, {'X': 0.7856812477111816, 'Y': 0.0937974750995636, 'Z': -0.11194154620170593}, {'X': 0.777867317199707, 'Y': 0.3625200688838959, 'Z': -0.03333460912108421}, {'X': 0.8078916668891907, 'Y': 0.26495835185050964, 'Z': -0.04876590520143509}, {'X': 0.8280152678489685, 'Y': 0.20022301375865936, 'Z': -0.07941655069589615}, {'X': 0.8415467143058777, 'Y': 0.14760802686214447, 'Z': -0.10668358206748962}, {'X': 0.8227066993713379, 'Y': 0.4053646922111511, 'Z': -0.04314341023564339}, {'X': 0.8581087589263916, 'Y': 0.3389025330543518, 'Z': -0.0649452805519104}, {'X': 0.8799264430999756, 'Y': 0.2922911047935486, 'Z': -0.08656781166791916}, {'X': 0.8971600532531738, 'Y': 0.24886088073253632, 'Z': -0.10347317159175873}]
[{'X': 0.7296204566955566, 'Y': 0.5736112594604492, 'Z': 1.2128983144066297e-05}, {'X': 0.6460269689559937, 'Y': 0.5576708316802979, 'Z': -0.08827367424964905}, {'X': 0.6092215776443481, 'Y': 0.4831870198249817, 'Z': -0.13575449585914612}, {'X': 0.5906710028648376, 'Y': 0.41256970167160034, 'Z': -0.18061716854572296}, {'X': 0.5680273175239563, 'Y': 0.3551886975765228, 'Z': -0.2287282794713974}, {'X': 0.6686370372772217, 'Y': 0.3406692147254944, 'Z': -0.07529693096876144}, {'X': 0.6443345546722412, 'Y': 0.2427751123905182, 'Z': -0.10975872725248337}, {'X': 0.6247097253799438, 'Y': 0.17696091532707214, 'Z': -0.141798198223114}, {'X': 0.6082112193107605, 'Y': 0.1225285530090332, 'Z': -0.1614907681941986}, {'X': 0.7252850532531738, 'Y': 0.3380528390407562, 'Z': -0.06059366464614868}, {'X': 0.7460024356842041, 'Y': 0.2356317788362503, 'Z': -0.07887039333581924}, {'X': 0.7647826075553894, 'Y': 0.16102232038974762, 'Z': -0.10622245073318481}, {'X': 0.7793973684310913, 'Y': 0.10315081477165222, 'Z': -0.1324077993631363}, {'X': 0.7748828530311584, 'Y': 0.36159294843673706, 'Z': -0.05576956644654274}, {'X': 0.8070264458656311, 'Y': 0.26820194721221924, 'Z': -0.07386980950832367}, {'X': 0.8302052617073059, 'Y': 0.20013384521007538, 'Z': -0.10301203280687332}, {'X': 0.8433857560157776, 'Y': 0.14291170239448547, 'Z': -0.13036100566387177}, {'X': 0.8203091025352478, 'Y': 0.4042178988456726, 'Z': -0.06307104229927063}, {'X': 0.8518331050872803, 'Y': 0.3356565237045288, 'Z': -0.08496782928705215}, {'X': 0.8727589845657349, 'Y': 0.2883337736129761, 'Z': -0.10732521861791611}, {'X': 0.8885385990142822, 'Y': 0.24247868359088898, 'Z': -0.12770400941371918}]
[{'X': 0.7288672924041748, 'Y': 0.5650207996368408, 'Z': -3.459341678535566e-05}, {'X': 0.6441420912742615, 'Y': 0.5453792810440063, 'Z': -0.08688010275363922}, {'X': 0.6056569814682007, 'Y': 0.47279787063598633, 'Z': -0.13278743624687195}, {'X': 0.586762011051178, 'Y': 0.40188220143318176, 'Z': -0.17352475225925446}, {'X': 0.5620083808898926, 'Y': 0.347107470035553, 'Z': -0.21602432429790497}, {'X': 0.6685490012168884, 'Y': 0.3362220823764801, 'Z': -0.07271390408277512}, {'X': 0.6487894058227539, 'Y': 0.2376791387796402, 'Z': -0.10772281885147095}, {'X': 0.6286006569862366, 'Y': 0.17390871047973633, 'Z': -0.13977016508579254}, {'X': 0.6103501319885254, 'Y': 0.12255029380321503, 'Z': -0.1591876596212387}, {'X': 0.7239876389503479, 'Y': 0.3339633643627167, 'Z': -0.05573312193155289}, {'X': 0.747377336025238, 'Y': 0.2257949709892273, 'Z': -0.07797396928071976}, {'X': 0.7681671977043152, 'Y': 0.14856746792793274, 'Z': -0.11250441521406174}, {'X': 0.7872021198272705, 'Y': 0.08412119746208191, 'Z': -0.14487795531749725}, {'X': 0.7719131708145142, 'Y': 0.3571827709674835, 'Z': -0.047824177891016006}, {'X': 0.802214503288269, 'Y': 0.25827857851982117, 'Z': -0.0673237144947052}, {'X': 0.8222408890724182, 'Y': 0.19175985455513, 'Z': -0.09334401786327362}, {'X': 0.8351274728775024, 'Y': 0.13747462630271912, 'Z': -0.11782931536436081}, {'X': 0.8174422383308411, 'Y': 0.39790526032447815, 'Z': -0.05113135278224945}, {'X': 0.8488621711730957, 'Y': 0.3315395414829254, 'Z': -0.07469343394041061}, {'X': 0.8701552152633667, 'Y': 0.29057133197784424, 'Z': -0.09488143771886826}, {'X': 0.888677716255188, 'Y': 0.2550985813140869, 'Z': -0.11502814292907715}]
[{'X': 0.7147256135940552, 'Y': 0.5681064128875732, 'Z': -0.0001228207111125812}, {'X': 0.6470863819122314, 'Y': 0.5541768074035645, 'Z': -0.08595041185617447}, {'X': 0.6001622676849365, 'Y': 0.4815634489059448, 'Z': -0.138310506939888}, {'X': 0.575141191482544, 'Y': 0.4180864989757538, 'Z': -0.17952501773834229}, {'X': 0.5522795915603638, 'Y': 0.34892401099205017, 'Z': -0.2249041348695755}, {'X': 0.6649880409240723, 'Y': 0.3751159608364105, 'Z': -0.13981632888317108}, {'X': 0.6646057963371277, 'Y': 0.28818628191947937, 'Z': -0.20244283974170685}, {'X': 0.6687811613082886, 'Y': 0.2283027470111847, 'Z': -0.26376959681510925}, {'X': 0.6742594838142395, 'Y': 0.17972417175769806, 'Z': -0.31479835510253906}, {'X': 0.7068820595741272, 'Y': 0.3939470946788788, 'Z': -0.13168080151081085}, {'X': 0.7307314276695251, 'Y': 0.3306209444999695, 'Z': -0.21949104964733124}, {'X': 0.7669863700866699, 'Y': 0.3260859549045563, 'Z': -0.29903337359428406}, {'X': 0.7989324331283569, 'Y': 0.3414636254310608, 'Z': -0.3521212041378021}, {'X': 0.7402710318565369, 'Y': 0.43250542879104614, 'Z': -0.12941615283489227}, {'X': 0.7632584571838379, 'Y': 0.3871673345565796, 'Z': -0.2171860784292221}, {'X': 0.7906224131584167, 'Y': 0.3928011953830719, 'Z': -0.29832160472869873}, {'X': 0.8133425712585449, 'Y': 0.4117037355899811, 'Z': -0.3480587303638458}, {'X': 0.7688660025596619, 'Y': 0.4783518314361572, 'Z': -0.12772183120250702}, {'X': 0.782408595085144, 'Y': 0.45716604590415955, 'Z': -0.20847870409488678}, {'X': 0.7968262434005737, 'Y': 0.46273428201675415, 'Z': -0.2748718857765198}, {'X': 0.8071750402450562, 'Y': 0.47051024436950684, 'Z': -0.32195523381233215}]
[{'X': 0.6741938591003418, 'Y': 0.5464619398117065, 'Z': -1.7349384506815113e-06}, {'X': 0.6368169188499451, 'Y': 0.49969926476478577, 'Z': -0.0331183560192585}, {'X': 0.6065652370452881, 'Y': 0.4399162232875824, 'Z': -0.0398312546312809}, {'X': 0.5915979743003845, 'Y': 0.38569673895835876, 'Z': -0.04026564583182335}, {'X': 0.5814659595489502, 'Y': 0.3417808413505554, 'Z': -0.038258060812950134}, {'X': 0.5876942873001099, 'Y': 0.4112933278083801, 'Z': 0.008317438885569572}, {'X': 0.57232666015625, 'Y': 0.35191985964775085, 'Z': 0.01763477735221386}, {'X': 0.5693724751472473, 'Y': 0.3309989869594574, 'Z': 0.01772402971982956}, {'X': 0.5692223906517029, 'Y': 0.3243122696876526, 'Z': 0.016132332384586334}, {'X': 0.6078735589981079, 'Y': 0.41689687967300415, 'Z': 0.028087735176086426}, {'X': 0.5897372364997864, 'Y': 0.35883617401123047, 'Z': 0.04967670515179634}, {'X': 0.5871641039848328, 'Y': 0.33796024322509766, 'Z': 0.05300241336226463}, {'X': 0.5858540534973145, 'Y': 0.32764196395874023, 'Z': 0.05214189365506172}, {'X': 0.6283348798751831, 'Y': 0.42481204867362976, 'Z': 0.041679687798023224}, {'X': 0.6181445717811584, 'Y': 0.3757971525192261, 'Z': 0.05833468213677406}, {'X': 0.6183005571365356, 'Y': 0.3560645282268524, 'Z': 0.05729024112224579}, {'X': 0.6170877814292908, 'Y': 0.34824880957603455, 'Z': 0.05520070344209671}, {'X': 0.650439977645874, 'Y': 0.4341237246990204, 'Z': 0.05258691683411598}, {'X': 0.6451659202575684, 'Y': 0.39863651990890503, 'Z': 0.06516200304031372}, {'X': 0.6441279649734497, 'Y': 0.38251805305480957, 'Z': 0.06852119415998459}, {'X': 0.6411610245704651, 'Y': 0.3747062087059021, 'Z': 0.07270098477602005}]
[{'X': 0.7402026057243347, 'Y': 0.5598131418228149, 'Z': -8.71904194355011e-05}, {'X': 0.6866992712020874, 'Y': 0.532564640045166, 'Z': -0.05362977460026741}, {'X': 0.6553171873092651, 'Y': 0.4680354595184326, 'Z': -0.08597453683614731}, {'X': 0.6455002427101135, 'Y': 0.41368237137794495, 'Z': -0.11770270019769669}, {'X': 0.6411789059638977, 'Y': 0.36988338828086853, 'Z': -0.1529158502817154}, {'X': 0.6987903714179993, 'Y': 0.40146511793136597, 'Z': -0.0753103643655777}, {'X': 0.6784042716026306, 'Y': 0.3573679029941559, 'Z': -0.12617738544940948}, {'X': 0.6730579733848572, 'Y': 0.3837796151638031, 'Z': -0.16065150499343872}, {'X': 0.6714472770690918, 'Y': 0.41325515508651733, 'Z': -0.1792697012424469}, {'X': 0.7365774512290955, 'Y': 0.38655367493629456, 'Z': -0.07046134024858475}, {'X': 0.7277584075927734, 'Y': 0.29777830839157104, 'Z': -0.09673312306404114}, {'X': 0.7296615839004517, 'Y': 0.23462031781673431, 'Z': -0.1304948627948761}, {'X': 0.733099639415741, 'Y': 0.18061643838882446, 'Z': -0.16389219462871552}, {'X': 0.7730398178100586, 'Y': 0.3922271430492401, 'Z': -0.07128946483135223}, {'X': 0.7615220546722412, 'Y': 0.30029046535491943, 'Z': -0.08530953526496887}, {'X': 0.7544031143188477, 'Y': 0.24199509620666504, 'Z': -0.11359646171331406}, {'X': 0.7462892532348633, 'Y': 0.19679857790470123, 'Z': -0.1424645632505417}, {'X': 0.8101964592933655, 'Y': 0.4133363366127014, 'Z': -0.07583776116371155}, {'X': 0.8109760284423828, 'Y': 0.3452378511428833, 'Z': -0.08700443059206009}, {'X': 0.8126271963119507, 'Y': 0.30284425616264343, 'Z': -0.09195278584957123}, {'X': 0.8113453388214111, 'Y': 0.27064335346221924, 'Z': -0.10037791728973389}]
[{'X': 0.6806613206863403, 'Y': 0.552283763885498, 'Z': -1.476561556046363e-05}, {'X': 0.6571760177612305, 'Y': 0.4946112632751465, 'Z': 0.05080650374293327}, {'X': 0.6280463337898254, 'Y': 0.4405134916305542, 'Z': 0.0753336250782013}, {'X': 0.6092931628227234, 'Y': 0.4016626179218292, 'Z': 0.08465783298015594}, {'X': 0.5973350405693054, 'Y': 0.37282446026802063, 'Z': 0.0900668352842331}, {'X': 0.6054774522781372, 'Y': 0.4198407530784607, 'Z': 0.08757377415895462}, {'X': 0.5908298492431641, 'Y': 0.36760780215263367, 'Z': 0.099355548620224}, {'X': 0.5841924548149109, 'Y': 0.3477964401245117, 'Z': 0.10611865669488907}, {'X': 0.5796810388565063, 'Y': 0.34088414907455444, 'Z': 0.11263269186019897}, {'X': 0.60819411277771, 'Y': 0.42212390899658203, 'Z': 0.061549652367830276}, {'X': 0.5888935923576355, 'Y': 0.35850000381469727, 'Z': 0.07878953963518143}, {'X': 0.5801259875297546, 'Y': 0.3361026644706726, 'Z': 0.08784511685371399}, {'X': 0.5744712948799133, 'Y': 0.3265187740325928, 'Z': 0.09720415621995926}, {'X': 0.6114639639854431, 'Y': 0.42800480127334595, 'Z': 0.03366456180810928}, {'X': 0.5932074785232544, 'Y': 0.3620639145374298, 'Z': 0.046327780932188034}, {'X': 0.5837159156799316, 'Y': 0.33937156200408936, 'Z': 0.05397545173764229}, {'X': 0.5772541165351868, 'Y': 0.32940781116485596, 'Z': 0.06024443358182907}, {'X': 0.6174998879432678, 'Y': 0.43593111634254456, 'Z': 0.008687826804816723}, {'X': 0.5992582440376282, 'Y': 0.38489580154418945, 'Z': 0.016934119164943695}, {'X': 0.5852897763252258, 'Y': 0.36206167936325073, 'Z': 0.02645653858780861}, {'X': 0.5726515650749207, 'Y': 0.34709998965263367, 'Z': 0.03353993222117424}]
