[{'X': 0.7597110271453857, 'Y': 0.9584997892379761, 'Z': -2.1344218112062663e-05}, {'X': 0.6706987023353577, 'Y': 0.9104735851287842, 'Z': -0.06578018516302109}, {'X': 0.6102910041809082, 'Y': 0.8245328068733215, 'Z': -0.10601183772087097}, {'X': 0.5718355178833008, 'Y': 0.7480589151382446, 'Z': -0.14423267543315887}, {'X': 0.5371791124343872, 'Y': 0.6869834661483765, 'Z': -0.18029600381851196}, {'X': 0.6628106832504272, 'Y': 0.676029622554779, 'Z': -0.053176335990428925}, {'X': 0.6227370500564575, 'Y': 0.5621155500411987, 'Z': -0.10113789141178131}, {'X': 0.6017617583274841, 'Y': 0.4933842420578003, 'Z': -0.1465189903974533}, {'X': 0.5843327641487122, 'Y': 0.43258339166641235, 'Z': -0.1782662570476532}, {'X': 0.7227683067321777, 'Y': 0.65717613697052, 'Z': -0.049598585814237595}, {'X': 0.7106113433837891, 'Y': 0.5207542181015015, 'Z': -0.0912548378109932}, {'X': 0.7052609324455261, 'Y': 0.4451732039451599, 'Z': -0.13340894877910614}, {'X': 0.7027139663696289, 'Y': 0.3785371780395508, 'Z': -0.16159197688102722}, {'X': 0.7775612473487854, 'Y': 0.6620782017707825, 'Z': -0.05262342840433121}, {'X': 0.7793132066726685, 'Y': 0.5322983264923096, 'Z': -0.08570767194032669}, {'X': 0.7770781517028809, 'Y': 0.4643332064151764, 'Z': -0.12203658372163773}, {'X': 0.7728524804115295, 'Y': 0.40528878569602966, 'Z': -0.15167135000228882}, {'X': 0.8291525840759277, 'Y': 0.691875159740448, 'Z': -0.06264577060937881}, {'X': 0.853766679763794, 'Y': 0.5985398292541504, 'Z': -0.09416826069355011}, {'X': 0.8687847852706909, 'Y': 0.5435259938240051, 'Z': -0.1198054850101471}, {'X': 0.8792186379432678, 'Y': 0.494825541973114, 'Z': -0.14293386042118073}]
[{'X': 0.7578336000442505, 'Y': 0.8200057744979858, 'Z': -8.195760165108368e-05}, {'X': 0.682159423828125, 'Y': 0.8089367747306824, 'Z': -0.06929432600736618}, {'X': 0.6113043427467346, 'Y': 0.7429801821708679, 'Z': -0.10025174170732498}, {'X': 0.5684688091278076, 'Y': 0.6713451743125916, 'Z': -0.12869028747081757}, {'X': 0.5267038941383362, 'Y': 0.6208693981170654, 'Z': -0.15629468858242035}, {'X': 0.6495850086212158, 'Y': 0.5968825221061707, 'Z': -0.06829008460044861}, {'X': 0.607487142086029, 'Y': 0.5003960132598877, 'Z': -0.10868790745735168}, {'X': 0.5850099325180054, 'Y': 0.4399769902229309, 'Z': -0.14040006697177887}, {'X': 0.5658793449401855, 'Y': 0.38513055443763733, 'Z': -0.16420400142669678}, {'X': 0.7039087414741516, 'Y': 0.5700690150260925, 'Z': -0.061509616672992706}, {'X': 0.6874013543128967, 'Y': 0.44884923100471497, 'Z': -0.08660413324832916}, {'X': 0.6836224794387817, 'Y': 0.37959685921669006, 'Z': -0.1199631541967392}, {'X': 0.6820057034492493, 'Y': 0.31730762124061584, 'Z': -0.14709685742855072}, {'X': 0.7575004696846008, 'Y': 0.5724636316299438, 'Z': -0.0627153068780899}, {'X': 0.752601146697998, 'Y': 0.45420944690704346, 'Z': -0.08890171349048615}, {'X': 0.7520059943199158, 'Y': 0.3917378783226013, 'Z': -0.12603487074375153}, {'X': 0.7485975027084351, 'Y': 0.33632245659828186, 'Z': -0.1576642245054245}, {'X': 0.8120578527450562, 'Y': 0.5996851921081543, 'Z': -0.06806426495313644}, {'X': 0.8359907269477844, 'Y': 0.5198358297348022, 'Z': -0.09892896562814713}, {'X': 0.8528217077255249, 'Y': 0.47452491521835327, 'Z': -0.12946517765522003}, {'X': 0.8636811375617981, 'Y': 0.4319254159927368, 'Z': -0.15745118260383606}]
[{'X': 0.7423115968704224, 'Y': 0.7743093967437744, 'Z': -9.072996908798814e-05}, {'X': 0.6716316342353821, 'Y': 0.76048344373703, 'Z': -0.05724756047129631}, {'X': 0.5993911623954773, 'Y': 0.7017585039138794, 'Z': -0.08223416656255722}, {'X': 0.5518726110458374, 'Y': 0.6389445066452026, 'Z': -0.10591205954551697}, {'X': 0.5126676559448242, 'Y': 0.5976654291152954, 'Z': -0.12499483674764633}, {'X': 0.6341720819473267, 'Y': 0.5471627116203308, 'Z': -0.045341163873672485}, {'X': 0.5875141620635986, 'Y': 0.44744446873664856, 'Z': -0.07287625968456268}, {'X': 0.5607877969741821, 'Y': 0.3956899344921112, 'Z': -0.09256888926029205}, {'X': 0.5364059209823608, 'Y': 0.3531610071659088, 'Z': -0.11007379740476608}, {'X': 0.68667072057724, 'Y': 0.5203106999397278, 'Z': -0.03935035318136215}, {'X': 0.6662529706954956, 'Y': 0.3969947099685669, 'Z': -0.05691875144839287}, {'X': 0.656917154788971, 'Y': 0.3345872759819031, 'Z': -0.07857353985309601}, {'X': 0.6479179263114929, 'Y': 0.28477370738983154, 'Z': -0.09492373466491699}, {'X': 0.7366570234298706, 'Y': 0.5236939787864685, 'Z': -0.04080633819103241}, {'X': 0.7280038595199585, 'Y': 0.4072466790676117, 'Z': -0.06118721142411232}, {'X': 0.7221662998199463, 'Y': 0.34762778878211975, 'Z': -0.08224213123321533}, {'X': 0.7126584053039551, 'Y': 0.29943394660949707, 'Z': -0.10191287100315094}, {'X': 0.7877240777015686, 'Y': 0.5505914688110352, 'Z': -0.046188998967409134}, {'X': 0.8055288791656494, 'Y': 0.46791207790374756, 'Z': -0.07357101887464523}, {'X': 0.817058265209198, 'Y': 0.42793726921081543, 'Z': -0.09567472338676453}, {'X': 0.8224304914474487, 'Y': 0.3936178684234619, 'Z': -0.11154042929410934}]
[{'X': 0.7319880723953247, 'Y': 0.7416068315505981, 'Z': -5.8850164350587875e-05}, {'X': 0.6595697402954102, 'Y': 0.7267962694168091, 'Z': -0.05112119019031525}, {'X': 0.5868439674377441, 'Y': 0.674396276473999, 'Z': -0.07395040988922119}, {'X': 0.5363255143165588, 'Y': 0.6187722682952881, 'Z': -0.09679868072271347}, {'X': 0.49737781286239624, 'Y': 0.5805410146713257, 'Z': -0.1168917864561081}, {'X': 0.6180537939071655, 'Y': 0.5173422694206238, 'Z': -0.03492823615670204}, {'X': 0.5680774450302124, 'Y': 0.4257005453109741, 'Z': -0.06476924568414688}, {'X': 0.5387214422225952, 'Y': 0.37846991419792175, 'Z': -0.09279828518629074}, {'X': 0.5112616419792175, 'Y': 0.3409838080406189, 'Z': -0.11480018496513367}, {'X': 0.6671351194381714, 'Y': 0.4894897937774658, 'Z': -0.031621336936950684}, {'X': 0.6429207921028137, 'Y': 0.3744719326496124, 'Z': -0.04884934052824974}, {'X': 0.6262953877449036, 'Y': 0.31331101059913635, 'Z': -0.07880693674087524}, {'X': 0.6097067594528198, 'Y': 0.2659415602684021, 'Z': -0.10522319376468658}, {'X': 0.7164128422737122, 'Y': 0.4931219220161438, 'Z': -0.034681882709264755}, {'X': 0.7056338787078857, 'Y': 0.38519084453582764, 'Z': -0.05616939440369606}, {'X': 0.6954624652862549, 'Y': 0.33320745825767517, 'Z': -0.08271799236536026}, {'X': 0.6812136769294739, 'Y': 0.2938838601112366, 'Z': -0.1041417121887207}, {'X': 0.7670421600341797, 'Y': 0.5190080404281616, 'Z': -0.04194841533899307}, {'X': 0.7781869769096375, 'Y': 0.43860191106796265, 'Z': -0.0691530629992485}, {'X': 0.7818792462348938, 'Y': 0.3955315947532654, 'Z': -0.0914502814412117}, {'X': 0.779060959815979, 'Y': 0.3590063750743866, 'Z': -0.10503169149160385}]
[{'X': 0.7204509377479553, 'Y': 0.7126783132553101, 'Z': -7.113795436453074e-05}, {'X': 0.646593451499939, 'Y': 0.7127407789230347, 'Z': -0.03965934365987778}, {'X': 0.5713378190994263, 'Y': 0.6616731286048889, 'Z': -0.05150090157985687}, {'X': 0.5214596390724182, 'Y': 0.6058102250099182, 'Z': -0.06705036014318466}, {'X': 0.4851892590522766, 'Y': 0.5730568766593933, 'Z': -0.07845272123813629}, {'X': 0.6011979579925537, 'Y': 0.5061360597610474, 'Z': 0.00046166277024894953}, {'X': 0.5528492331504822, 'Y': 0.42112621665000916, 'Z': -0.016327692195773125}, {'X': 0.5255425572395325, 'Y': 0.37489524483680725, 'Z': -0.033892180770635605}, {'X': 0.5023908615112305, 'Y': 0.3352179527282715, 'Z': -0.04846275597810745}, {'X': 0.6486167907714844, 'Y': 0.47602254152297974, 'Z': 0.0018576463917270303}, {'X': 0.6225368976593018, 'Y': 0.36948883533477783, 'Z': 0.00289718946442008}, {'X': 0.6062994003295898, 'Y': 0.3125419616699219, 'Z': -0.015776589512825012}, {'X': 0.591870903968811, 'Y': 0.2637892961502075, 'Z': -0.033656682819128036}, {'X': 0.6978123188018799, 'Y': 0.47412821650505066, 'Z': -0.004164356272667646}, {'X': 0.6812440156936646, 'Y': 0.3752250075340271, 'Z': -0.010850232094526291}, {'X': 0.6705334186553955, 'Y': 0.3266609311103821, 'Z': -0.029155433177947998}, {'X': 0.6570749878883362, 'Y': 0.28692156076431274, 'Z': -0.046327512711286545}, {'X': 0.7504990696907043, 'Y': 0.4931900203227997, 'Z': -0.01512850821018219}, {'X': 0.7577168345451355, 'Y': 0.41652029752731323, 'Z': -0.030678769573569298}, {'X': 0.762412965297699, 'Y': 0.376181423664093, 'Z': -0.04631698131561279}, {'X': 0.7616425156593323, 'Y': 0.3396320939064026, 'Z': -0.05675768107175827}]
[{'X': 0.7036983966827393, 'Y': 0.696645975112915, 'Z': -5.6402026530122384e-05}, {'X': 0.6304962635040283, 'Y': 0.6991561055183411, 'Z': -0.032878439873456955}, {'X': 0.5576146841049194, 'Y': 0.6516616344451904, 'Z': -0.03612134978175163}, {'X': 0.5084298849105835, 'Y': 0.600845217704773, 'Z': -0.04395703598856926}, {'X': 0.4737347960472107, 'Y': 0.5747168064117432, 'Z': -0.04878266900777817}, {'X': 0.5861862301826477, 'Y': 0.5016326308250427, 'Z': 0.016273152083158493}, {'X': 0.5385416746139526, 'Y': 0.4169904589653015, 'Z': 0.006262057460844517}, {'X': 0.510407567024231, 'Y': 0.370956152677536, 'Z': -0.007158459164202213}, {'X': 0.48551321029663086, 'Y': 0.3333229422569275, 'Z': -0.020388787612318993}, {'X': 0.632473886013031, 'Y': 0.47202450037002563, 'Z': 0.01644092984497547}, {'X': 0.6050474047660828, 'Y': 0.3657465875148773, 'Z': 0.02272755466401577}, {'X': 0.5871248841285706, 'Y': 0.3082043528556824, 'Z': 0.005067856982350349}, {'X': 0.5689935088157654, 'Y': 0.25991255044937134, 'Z': -0.011971988715231419}, {'X': 0.6809189319610596, 'Y': 0.46834585070610046, 'Z': 0.009033835493028164}, {'X': 0.6609192490577698, 'Y': 0.36931827664375305, 'Z': 0.007298676297068596}, {'X': 0.6480014324188232, 'Y': 0.32121527194976807, 'Z': -0.010568253695964813}, {'X': 0.6314500570297241, 'Y': 0.2821521461009979, 'Z': -0.0280537698417902}, {'X': 0.7328402400016785, 'Y': 0.4854724407196045, 'Z': -0.002183343283832073}, {'X': 0.742592453956604, 'Y': 0.41287702322006226, 'Z': -0.016314126551151276}, {'X': 0.7505999803543091, 'Y': 0.3724811375141144, 'Z': -0.032286472618579865}, {'X': 0.7513344287872314, 'Y': 0.33565932512283325, 'Z': -0.04368795454502106}]
[{'X': 0.6899030208587646, 'Y': 0.6867880821228027, 'Z': -7.209179602796212e-05}, {'X': 0.619939923286438, 'Y': 0.6958208084106445, 'Z': -0.043994903564453125}, {'X': 0.5482897758483887, 'Y': 0.6540607810020447, 'Z': -0.05560247600078583}, {'X': 0.49934518337249756, 'Y': 0.6086118221282959, 'Z': -0.07005434483289719}, {'X': 0.46371030807495117, 'Y': 0.587646484375, 'Z': -0.08214497566223145}, {'X': 0.5745649337768555, 'Y': 0.5048985481262207, 'Z': -0.00955284759402275}, {'X': 0.5246652364730835, 'Y': 0.4240567684173584, 'Z': -0.024530336260795593}, {'X': 0.49713969230651855, 'Y': 0.3791632652282715, 'Z': -0.03722791746258736}, {'X': 0.4747083783149719, 'Y': 0.341065913438797, 'Z': -0.05105103179812431}, {'X': 0.6191743612289429, 'Y': 0.47322261333465576, 'Z': -0.0057021453976631165}, {'X': 0.5935793519020081, 'Y': 0.37018901109695435, 'Z': -0.01016778964549303}, {'X': 0.5801219940185547, 'Y': 0.31313565373420715, 'Z': -0.03248858451843262}, {'X': 0.5685526132583618, 'Y': 0.2684175372123718, 'Z': -0.05211429297924042}, {'X': 0.6644914150238037, 'Y': 0.4678559899330139, 'Z': -0.007113111671060324}, {'X': 0.6491422057151794, 'Y': 0.37115126848220825, 'Z': -0.014363432303071022}, {'X': 0.6358208656311035, 'Y': 0.32048559188842773, 'Z': -0.03461595997214317}, {'X': 0.6230955123901367, 'Y': 0.2805916666984558, 'Z': -0.05428266525268555}, {'X': 0.7125570178031921, 'Y': 0.4818861782550812, 'Z': -0.014435293152928352}, {'X': 0.7243026494979858, 'Y': 0.41360974311828613, 'Z': -0.03245708718895912}, {'X': 0.7340025305747986, 'Y': 0.3722519874572754, 'Z': -0.053878169506788254}, {'X': 0.7400643825531006, 'Y': 0.3345375061035156, 'Z': -0.07035552710294724}]
[{'X': 0.6899030208587646, 'Y': 0.6867880821228027, 'Z': -7.209179602796212e-05}, {'X': 0.619939923286438, 'Y': 0.6958208084106445, 'Z': -0.043994903564453125}, {'X': 0.5482897758483887, 'Y': 0.6540607810020447, 'Z': -0.05560247600078583}, {'X': 0.49934518337249756, 'Y': 0.6086118221282959, 'Z': -0.07005434483289719}, {'X': 0.46371030807495117, 'Y': 0.587646484375, 'Z': -0.08214497566223145}, {'X': 0.5745649337768555, 'Y': 0.5048985481262207, 'Z': -0.00955284759402275}, {'X': 0.5246652364730835, 'Y': 0.4240567684173584, 'Z': -0.024530336260795593}, {'X': 0.49713969230651855, 'Y': 0.3791632652282715, 'Z': -0.03722791746258736}, {'X': 0.4747083783149719, 'Y': 0.341065913438797, 'Z': -0.05105103179812431}, {'X': 0.6191743612289429, 'Y': 0.47322261333465576, 'Z': -0.0057021453976631165}, {'X': 0.5935793519020081, 'Y': 0.37018901109695435, 'Z': -0.01016778964549303}, {'X': 0.5801219940185547, 'Y': 0.31313565373420715, 'Z': -0.03248858451843262}, {'X': 0.5685526132583618, 'Y': 0.2684175372123718, 'Z': -0.05211429297924042}, {'X': 0.6644914150238037, 'Y': 0.4678559899330139, 'Z': -0.007113111671060324}, {'X': 0.6491422057151794, 'Y': 0.37115126848220825, 'Z': -0.014363432303071022}, {'X': 0.6358208656311035, 'Y': 0.32048559188842773, 'Z': -0.03461595997214317}, {'X': 0.6230955123901367, 'Y': 0.2805916666984558, 'Z': -0.05428266525268555}, {'X': 0.7125570178031921, 'Y': 0.4818861782550812, 'Z': -0.014435293152928352}, {'X': 0.7243026494979858, 'Y': 0.41360974311828613, 'Z': -0.03245708718895912}, {'X': 0.7340025305747986, 'Y': 0.3722519874572754, 'Z': -0.053878169506788254}, {'X': 0.7400643825531006, 'Y': 0.3345375061035156, 'Z': -0.07035552710294724}]
[{'X': 0.6905084252357483, 'Y': 0.7018640637397766, 'Z': -5.256988515611738e-05}, {'X': 0.6190401911735535, 'Y': 0.7090691328048706, 'Z': -0.03996740281581879}, {'X': 0.5467525124549866, 'Y': 0.6682324409484863, 'Z': -0.04853202402591705}, {'X': 0.4964529275894165, 'Y': 0.6223422288894653, 'Z': -0.058669012039899826}, {'X': 0.4643680453300476, 'Y': 0.5971537828445435, 'Z': -0.06190374121069908}, {'X': 0.5714715123176575, 'Y': 0.5155593156814575, 'Z': 0.0062360865995287895}, {'X': 0.5206834077835083, 'Y': 0.4382730722427368, 'Z': -0.0034430422820150852}, {'X': 0.492794007062912, 'Y': 0.3952808380126953, 'Z': -0.01567177101969719}, {'X': 0.4734143018722534, 'Y': 0.3569777011871338, 'Z': -0.029666176065802574}, {'X': 0.6149151921272278, 'Y': 0.4842253029346466, 'Z': 0.010412871837615967}, {'X': 0.5867266058921814, 'Y': 0.3840288519859314, 'Z': 0.014542444609105587}, {'X': 0.5719570517539978, 'Y': 0.33050864934921265, 'Z': -0.0032678120769560337}, {'X': 0.5619431734085083, 'Y': 0.28441619873046875, 'Z': -0.017217213287949562}, {'X': 0.6598169803619385, 'Y': 0.4780709147453308, 'Z': 0.007401041220873594}, {'X': 0.6427792906761169, 'Y': 0.381911039352417, 'Z': 0.005697719752788544}, {'X': 0.6319049596786499, 'Y': 0.3320891857147217, 'Z': -0.007695823907852173}, {'X': 0.621606707572937, 'Y': 0.29020458459854126, 'Z': -0.021660488098859787}, {'X': 0.7081745266914368, 'Y': 0.4922163486480713, 'Z': -0.000481112307170406}, {'X': 0.7188951969146729, 'Y': 0.4193708896636963, 'Z': -0.013507896102964878}, {'X': 0.7286567687988281, 'Y': 0.37741926312446594, 'Z': -0.02955939806997776}, {'X': 0.7344104647636414, 'Y': 0.3369449973106384, 'Z': -0.041203759610652924}]
[{'X': 0.6867349147796631, 'Y': 0.7046294212341309, 'Z': -4.452824214240536e-05}, {'X': 0.6142681837081909, 'Y': 0.7129888534545898, 'Z': -0.04571785405278206}, {'X': 0.5418270826339722, 'Y': 0.6763694286346436, 'Z': -0.061245474964380264}, {'X': 0.49074363708496094, 'Y': 0.6322002410888672, 'Z': -0.07834003120660782}, {'X': 0.45723241567611694, 'Y': 0.6037614345550537, 'Z': -0.09093708544969559}, {'X': 0.5697129368782043, 'Y': 0.5213659405708313, 'Z': -0.007728072348982096}, {'X': 0.519650936126709, 'Y': 0.44307950139045715, 'Z': -0.020456306636333466}, {'X': 0.4898393154144287, 'Y': 0.4008594751358032, 'Z': -0.03447503224015236}, {'X': 0.46758589148521423, 'Y': 0.3624192178249359, 'Z': -0.0493035614490509}, {'X': 0.6125257611274719, 'Y': 0.49039754271507263, 'Z': -0.002027092734351754}, {'X': 0.5840957164764404, 'Y': 0.3897317051887512, 'Z': 0.00015561102190986276}, {'X': 0.5674297213554382, 'Y': 0.3366108536720276, 'Z': -0.016632147133350372}, {'X': 0.5561618208885193, 'Y': 0.29041939973831177, 'Z': -0.031384143978357315}, {'X': 0.6569493412971497, 'Y': 0.485288143157959, 'Z': -0.00495299743488431}, {'X': 0.6393617391586304, 'Y': 0.38962748646736145, 'Z': -0.009061314165592194}, {'X': 0.6282175183296204, 'Y': 0.33807700872421265, 'Z': -0.02631734497845173}, {'X': 0.6170001029968262, 'Y': 0.2950167655944824, 'Z': -0.04306228831410408}, {'X': 0.7056436538696289, 'Y': 0.4999972879886627, 'Z': -0.01183436531573534}, {'X': 0.7164823412895203, 'Y': 0.4276273548603058, 'Z': -0.02917572483420372}, {'X': 0.7259060740470886, 'Y': 0.3848423957824707, 'Z': -0.04920755699276924}, {'X': 0.7313826680183411, 'Y': 0.344886839389801, 'Z': -0.06316240131855011}]
[{'X': 0.6843968629837036, 'Y': 0.723500669002533, 'Z': -3.294879570603371e-05}, {'X': 0.6141675114631653, 'Y': 0.7284942865371704, 'Z': -0.04582023620605469}, {'X': 0.5409848690032959, 'Y': 0.6852915287017822, 'Z': -0.062355756759643555}, {'X': 0.4907214343547821, 'Y': 0.6361380815505981, 'Z': -0.08001673221588135}, {'X': 0.45589691400527954, 'Y': 0.6080294251441956, 'Z': -0.09548217058181763}, {'X': 0.5656144618988037, 'Y': 0.5304329991340637, 'Z': -0.012152649462223053}, {'X': 0.514894962310791, 'Y': 0.45001843571662903, 'Z': -0.02765064872801304}, {'X': 0.4864676296710968, 'Y': 0.4067220687866211, 'Z': -0.0448029488325119}, {'X': 0.46385884284973145, 'Y': 0.36773377656936646, 'Z': -0.06189488247036934}, {'X': 0.6110228896141052, 'Y': 0.4993855357170105, 'Z': -0.006561710964888334}, {'X': 0.5840871334075928, 'Y': 0.3970666527748108, 'Z': -0.00764650572091341}, {'X': 0.5699739456176758, 'Y': 0.34162789583206177, 'Z': -0.027638964354991913}, {'X': 0.5592476725578308, 'Y': 0.2939545512199402, 'Z': -0.04423859342932701}, {'X': 0.6573543548583984, 'Y': 0.49540695548057556, 'Z': -0.008024909533560276}, {'X': 0.6402794122695923, 'Y': 0.39772823452949524, 'Z': -0.01506413146853447}, {'X': 0.6289411187171936, 'Y': 0.34539586305618286, 'Z': -0.03328188508749008}, {'X': 0.6179075241088867, 'Y': 0.3016640543937683, 'Z': -0.05021907389163971}, {'X': 0.7067189812660217, 'Y': 0.5117959976196289, 'Z': -0.013712671585381031}, {'X': 0.7161452770233154, 'Y': 0.4371872544288635, 'Z': -0.028174808248877525}, {'X': 0.7247188687324524, 'Y': 0.39323195815086365, 'Z': -0.04444465786218643}, {'X': 0.7285028696060181, 'Y': 0.35063618421554565, 'Z': -0.05737597495317459}]
