[{'X': 0.42685335874557495, 'Y': 0.9898926019668579, 'Z': -1.9856390281347558e-05}, {'X': 0.3621627986431122, 'Y': 0.965516209602356, 'Z': -0.029014620929956436}, {'X': 0.31190502643585205, 'Y': 0.9223895072937012, 'Z': -0.05030722916126251}, {'X': 0.2767065763473511, 'Y': 0.8854155540466309, 'Z': -0.07736572623252869}, {'X': 0.24689026176929474, 'Y': 0.8634105920791626, 'Z': -0.10603552311658859}, {'X': 0.33931493759155273, 'Y': 0.782143235206604, 'Z': -0.0041115013882517815}, {'X': 0.3121069073677063, 'Y': 0.708135724067688, 'Z': -0.018817754462361336}, {'X': 0.2941751480102539, 'Y': 0.667300820350647, 'Z': -0.043862637132406235}, {'X': 0.2778165936470032, 'Y': 0.6346971988677979, 'Z': -0.06259100139141083}, {'X': 0.3757990598678589, 'Y': 0.7678269147872925, 'Z': -0.016003526747226715}, {'X': 0.3691864013671875, 'Y': 0.6717974543571472, 'Z': -0.02566826343536377}, {'X': 0.36409473419189453, 'Y': 0.6178332567214966, 'Z': -0.05296944081783295}, {'X': 0.36032524704933167, 'Y': 0.5759438276290894, 'Z': -0.07405177503824234}, {'X': 0.4110283851623535, 'Y': 0.7749277949333191, 'Z': -0.03438353165984154}, {'X': 0.40961191058158875, 'Y': 0.6873692274093628, 'Z': -0.050619374960660934}, {'X': 0.4049520790576935, 'Y': 0.6315098404884338, 'Z': -0.08174064755439758}, {'X': 0.3978905975818634, 'Y': 0.5858166217803955, 'Z': -0.10785358399152756}, {'X': 0.44633543491363525, 'Y': 0.8001773953437805, 'Z': -0.057667188346385956}, {'X': 0.4681476056575775, 'Y': 0.7377989292144775, 'Z': -0.08442707359790802}, {'X': 0.4800381362438202, 'Y': 0.6963267922401428, 'Z': -0.10712087899446487}, {'X': 0.48759225010871887, 'Y': 0.6560623049736023, 'Z': -0.12618093192577362}]
[{'X': 0.43256932497024536, 'Y': 0.9605223536491394, 'Z': -3.670417208923027e-05}, {'X': 0.36857497692108154, 'Y': 0.9446607828140259, 'Z': -0.03182557597756386}, {'X': 0.32240357995033264, 'Y': 0.9045441150665283, 'Z': -0.057079993188381195}, {'X': 0.29232123494148254, 'Y': 0.8653163909912109, 'Z': -0.08864786475896835}, {'X': 0.2627209424972534, 'Y': 0.839970052242279, 'Z': -0.11724620312452316}, {'X': 0.3510105013847351, 'Y': 0.7591531276702881, 'Z': -0.011842058971524239}, {'X': 0.3247784376144409, 'Y': 0.682365894317627, 'Z': -0.027085281908512115}, {'X': 0.3074083924293518, 'Y': 0.6413882970809937, 'Z': -0.0484020821750164}, {'X': 0.2912059724330902, 'Y': 0.6070004105567932, 'Z': -0.06499205529689789}, {'X': 0.38881614804267883, 'Y': 0.7450910806655884, 'Z': -0.02109641395509243}, {'X': 0.3859030306339264, 'Y': 0.6450792551040649, 'Z': -0.03366018831729889}, {'X': 0.3802313506603241, 'Y': 0.5900476574897766, 'Z': -0.05899619311094284}, {'X': 0.3751221001148224, 'Y': 0.5497901439666748, 'Z': -0.07702040672302246}, {'X': 0.4239940643310547, 'Y': 0.7536440491676331, 'Z': -0.03745734319090843}, {'X': 0.4280833601951599, 'Y': 0.6667497158050537, 'Z': -0.05454307794570923}, {'X': 0.4223789870738983, 'Y': 0.6188876628875732, 'Z': -0.08408915251493454}, {'X': 0.4143712818622589, 'Y': 0.5837119817733765, 'Z': -0.10873730480670929}, {'X': 0.45867490768432617, 'Y': 0.7782137989997864, 'Z': -0.05756963789463043}, {'X': 0.4774804711341858, 'Y': 0.7119085788726807, 'Z': -0.08216674625873566}, {'X': 0.48674219846725464, 'Y': 0.6695160865783691, 'Z': -0.1041128933429718}, {'X': 0.4907301068305969, 'Y': 0.6279103755950928, 'Z': -0.12187372148036957}]
[{'X': 0.4274081587791443, 'Y': 0.9435439109802246, 'Z': -3.140321859973483e-05}, {'X': 0.3681553602218628, 'Y': 0.9319812655448914, 'Z': -0.03154526650905609}, {'X': 0.3238500952720642, 'Y': 0.8872379064559937, 'Z': -0.0532647930085659}, {'X': 0.29549849033355713, 'Y': 0.8456500768661499, 'Z': -0.08077064156532288}, {'X': 0.27440446615219116, 'Y': 0.8216559290885925, 'Z': -0.10662372410297394}, {'X': 0.3537029027938843, 'Y': 0.7492313385009766, 'Z': -0.009232890792191029}, {'X': 0.3268996477127075, 'Y': 0.6750596761703491, 'Z': -0.02341613359749317}, {'X': 0.3085896074771881, 'Y': 0.6351693272590637, 'Z': -0.04143248498439789}, {'X': 0.2922957241535187, 'Y': 0.6016402244567871, 'Z': -0.055147435516119}, {'X': 0.3895180821418762, 'Y': 0.735252857208252, 'Z': -0.015556080266833305}, {'X': 0.3837348520755768, 'Y': 0.6419534683227539, 'Z': -0.022151034325361252}, {'X': 0.37712669372558594, 'Y': 0.591506838798523, 'Z': -0.04348655790090561}, {'X': 0.37185072898864746, 'Y': 0.5506605505943298, 'Z': -0.05979965627193451}, {'X': 0.4241297245025635, 'Y': 0.7435387372970581, 'Z': -0.028555357828736305}, {'X': 0.42130184173583984, 'Y': 0.6608051061630249, 'Z': -0.0422062911093235}, {'X': 0.4152637720108032, 'Y': 0.6112260818481445, 'Z': -0.06823845207691193}, {'X': 0.4070894122123718, 'Y': 0.5695881247520447, 'Z': -0.08897361159324646}, {'X': 0.4595784842967987, 'Y': 0.7683100700378418, 'Z': -0.04548599198460579}, {'X': 0.47586774826049805, 'Y': 0.7056960463523865, 'Z': -0.06966209411621094}, {'X': 0.48585575819015503, 'Y': 0.668542742729187, 'Z': -0.09192422032356262}, {'X': 0.49139419198036194, 'Y': 0.6326299905776978, 'Z': -0.10762625932693481}]
[{'X': 0.416946142911911, 'Y': 0.9248062372207642, 'Z': -3.9667498640483245e-05}, {'X': 0.3623374104499817, 'Y': 0.9129413366317749, 'Z': -0.03665424883365631}, {'X': 0.3213660717010498, 'Y': 0.8650348782539368, 'Z': -0.058270134031772614}, {'X': 0.2971568703651428, 'Y': 0.8209291696548462, 'Z': -0.08471762388944626}, {'X': 0.2808029055595398, 'Y': 0.7920304536819458, 'Z': -0.10949517041444778}, {'X': 0.34901678562164307, 'Y': 0.7313266396522522, 'Z': -0.006980916019529104}, {'X': 0.3232232332229614, 'Y': 0.6627781987190247, 'Z': -0.019675442948937416}, {'X': 0.3065265417098999, 'Y': 0.6235745549201965, 'Z': -0.034504152834415436}, {'X': 0.2914339303970337, 'Y': 0.5889049768447876, 'Z': -0.04761127009987831}, {'X': 0.3833043873310089, 'Y': 0.7179814577102661, 'Z': -0.010845400393009186}, {'X': 0.3756662905216217, 'Y': 0.6280308961868286, 'Z': -0.015734121203422546}, {'X': 0.3691016435623169, 'Y': 0.5791831612586975, 'Z': -0.03562363609671593}, {'X': 0.3637578785419464, 'Y': 0.5361679196357727, 'Z': -0.04891333356499672}, {'X': 0.41644087433815, 'Y': 0.7254107594490051, 'Z': -0.02229621261358261}, {'X': 0.4148332178592682, 'Y': 0.6433315873146057, 'Z': -0.03453470394015312}, {'X': 0.41227418184280396, 'Y': 0.5933880805969238, 'Z': -0.05690964683890343}, {'X': 0.4067188501358032, 'Y': 0.5478438138961792, 'Z': -0.07515731453895569}, {'X': 0.4508334696292877, 'Y': 0.7487180829048157, 'Z': -0.038394778966903687}, {'X': 0.46713191270828247, 'Y': 0.6865593194961548, 'Z': -0.05845065787434578}, {'X': 0.47920334339141846, 'Y': 0.6520247459411621, 'Z': -0.07853102684020996}, {'X': 0.4869985580444336, 'Y': 0.6167081594467163, 'Z': -0.09162802249193192}]
[{'X': 0.4212389290332794, 'Y': 0.9153791666030884, 'Z': -3.449757059570402e-05}, {'X': 0.36439505219459534, 'Y': 0.9059617519378662, 'Z': -0.03691904619336128}, {'X': 0.32276853919029236, 'Y': 0.8595565557479858, 'Z': -0.060694750398397446}, {'X': 0.29876473546028137, 'Y': 0.8152931928634644, 'Z': -0.08814504742622375}, {'X': 0.2802780866622925, 'Y': 0.7843428254127502, 'Z': -0.11564613878726959}, {'X': 0.3497057259082794, 'Y': 0.7272616624832153, 'Z': -0.015563112683594227}, {'X': 0.32371199131011963, 'Y': 0.6560999751091003, 'Z': -0.03189969062805176}, {'X': 0.30723509192466736, 'Y': 0.6169844269752502, 'Z': -0.04808776080608368}, {'X': 0.29183346033096313, 'Y': 0.5831398963928223, 'Z': -0.06059611216187477}, {'X': 0.3853899836540222, 'Y': 0.7132821679115295, 'Z': -0.019833315163850784}, {'X': 0.3781484365463257, 'Y': 0.6237472891807556, 'Z': -0.028654418885707855}, {'X': 0.3720853626728058, 'Y': 0.5717116594314575, 'Z': -0.050623685121536255}, {'X': 0.3674470782279968, 'Y': 0.5277198553085327, 'Z': -0.06575241684913635}, {'X': 0.41973379254341125, 'Y': 0.7215349078178406, 'Z': -0.03125331550836563}, {'X': 0.41644126176834106, 'Y': 0.6409921050071716, 'Z': -0.045868463814258575}, {'X': 0.41198745369911194, 'Y': 0.5888701677322388, 'Z': -0.07151944190263748}, {'X': 0.4052243232727051, 'Y': 0.5437949299812317, 'Z': -0.09473475068807602}, {'X': 0.4548802375793457, 'Y': 0.7455248832702637, 'Z': -0.047488871961832047}, {'X': 0.47018733620643616, 'Y': 0.6839662194252014, 'Z': -0.07024765759706497}, {'X': 0.4796423316001892, 'Y': 0.6480756998062134, 'Z': -0.09456973522901535}, {'X': 0.48374730348587036, 'Y': 0.6142209768295288, 'Z': -0.11270606517791748}]
[{'X': 0.42638060450553894, 'Y': 0.9102702736854553, 'Z': -3.8212052459130064e-05}, {'X': 0.3767263889312744, 'Y': 0.892260730266571, 'Z': -0.04018831625580788}, {'X': 0.33851730823516846, 'Y': 0.8445000648498535, 'Z': -0.0682753250002861}, {'X': 0.3191151022911072, 'Y': 0.8027696013450623, 'Z': -0.1005137637257576}, {'X': 0.3105103373527527, 'Y': 0.7819831371307373, 'Z': -0.13070781528949738}, {'X': 0.35892367362976074, 'Y': 0.7198167443275452, 'Z': -0.018922515213489532}, {'X': 0.33135560154914856, 'Y': 0.6490093469619751, 'Z': -0.035468097776174545}, {'X': 0.31516993045806885, 'Y': 0.6076688170433044, 'Z': -0.05077198147773743}, {'X': 0.3005223572254181, 'Y': 0.5731081366539001, 'Z': -0.06469683349132538}, {'X': 0.3933066725730896, 'Y': 0.7063009738922119, 'Z': -0.022540360689163208}, {'X': 0.3837144672870636, 'Y': 0.6183258295059204, 'Z': -0.03283238783478737}, {'X': 0.37714335322380066, 'Y': 0.5689622759819031, 'Z': -0.05398091301321983}, {'X': 0.37156352400779724, 'Y': 0.5294314622879028, 'Z': -0.0716015100479126}, {'X': 0.42662978172302246, 'Y': 0.7141642570495605, 'Z': -0.032808948308229446}, {'X': 0.4195271134376526, 'Y': 0.6326102018356323, 'Z': -0.04536847770214081}, {'X': 0.41454505920410156, 'Y': 0.5828023552894592, 'Z': -0.06760843098163605}, {'X': 0.40758901834487915, 'Y': 0.5392400622367859, 'Z': -0.0885900929570198}, {'X': 0.46058183908462524, 'Y': 0.7370815277099609, 'Z': -0.04893253743648529}, {'X': 0.47277408838272095, 'Y': 0.6752340197563171, 'Z': -0.06806880980730057}, {'X': 0.48043957352638245, 'Y': 0.6364766359329224, 'Z': -0.08693739026784897}, {'X': 0.4836285412311554, 'Y': 0.5979312062263489, 'Z': -0.1048966646194458}]
[{'X': 0.43271028995513916, 'Y': 0.8898325562477112, 'Z': -6.635035970248282e-05}, {'X': 0.38327381014823914, 'Y': 0.8686771392822266, 'Z': -0.046720169484615326}, {'X': 0.3457300662994385, 'Y': 0.8169409036636353, 'Z': -0.07920092344284058}, {'X': 0.3329613208770752, 'Y': 0.7631235718727112, 'Z': -0.1135350689291954}, {'X': 0.33696502447128296, 'Y': 0.7205604910850525, 'Z': -0.14522342383861542}, {'X': 0.36798056960105896, 'Y': 0.7113630175590515, 'Z': -0.023290593177080154}, {'X': 0.34741073846817017, 'Y': 0.6374461650848389, 'Z': -0.04402420297265053}, {'X': 0.33682781457901, 'Y': 0.5963062644004822, 'Z': -0.06047869473695755}, {'X': 0.3280893564224243, 'Y': 0.5649634599685669, 'Z': -0.07128637284040451}, {'X': 0.40119174122810364, 'Y': 0.6990846395492554, 'Z': -0.02774369716644287}, {'X': 0.39094626903533936, 'Y': 0.6141462922096252, 'Z': -0.04376937076449394}, {'X': 0.38573718070983887, 'Y': 0.563647985458374, 'Z': -0.0670723244547844}, {'X': 0.38274335861206055, 'Y': 0.5221959352493286, 'Z': -0.08472852408885956}, {'X': 0.4336264133453369, 'Y': 0.7040592432022095, 'Z': -0.03870556876063347}, {'X': 0.4246171712875366, 'Y': 0.6286774277687073, 'Z': -0.05351949483156204}, {'X': 0.42040160298347473, 'Y': 0.5788476467132568, 'Z': -0.07969612628221512}, {'X': 0.4139328896999359, 'Y': 0.5359092950820923, 'Z': -0.10170334577560425}, {'X': 0.469026118516922, 'Y': 0.7226583957672119, 'Z': -0.056346479803323746}, {'X': 0.47487491369247437, 'Y': 0.660618245601654, 'Z': -0.07593439519405365}, {'X': 0.4777200520038605, 'Y': 0.6219777464866638, 'Z': -0.09400297701358795}, {'X': 0.4773723781108856, 'Y': 0.5848529934883118, 'Z': -0.11081954091787338}]
[{'X': 0.44741737842559814, 'Y': 0.8573371767997742, 'Z': -0.0001028140468406491}, {'X': 0.39347201585769653, 'Y': 0.8341596126556396, 'Z': -0.04693908616900444}, {'X': 0.3639368414878845, 'Y': 0.7829915285110474, 'Z': -0.08029621094465256}, {'X': 0.36090201139450073, 'Y': 0.7332455515861511, 'Z': -0.11432371288537979}, {'X': 0.3640236258506775, 'Y': 0.6900886297225952, 'Z': -0.13814646005630493}, {'X': 0.3707791566848755, 'Y': 0.6720718741416931, 'Z': -0.023431381210684776}, {'X': 0.35644975304603577, 'Y': 0.6027818918228149, 'Z': -0.0567767359316349}, {'X': 0.3511330485343933, 'Y': 0.5742042064666748, 'Z': -0.09047659486532211}, {'X': 0.3452363908290863, 'Y': 0.5571698546409607, 'Z': -0.1099022626876831}, {'X': 0.4054248631000519, 'Y': 0.6622800230979919, 'Z': -0.030179332941770554}, {'X': 0.3948211967945099, 'Y': 0.5867660045623779, 'Z': -0.055612847208976746}, {'X': 0.3902789354324341, 'Y': 0.5549333691596985, 'Z': -0.08868031948804855}, {'X': 0.38278284668922424, 'Y': 0.5381191372871399, 'Z': -0.11638155579566956}, {'X': 0.44026288390159607, 'Y': 0.6720924377441406, 'Z': -0.045737240463495255}, {'X': 0.434546560049057, 'Y': 0.6013613939285278, 'Z': -0.0654691830277443}, {'X': 0.43119651079177856, 'Y': 0.5684593915939331, 'Z': -0.0975346490740776}, {'X': 0.4228626787662506, 'Y': 0.5463519096374512, 'Z': -0.12338536977767944}, {'X': 0.480960488319397, 'Y': 0.6976494193077087, 'Z': -0.06672944873571396}, {'X': 0.49111178517341614, 'Y': 0.6396188139915466, 'Z': -0.0878935232758522}, {'X': 0.4906533658504486, 'Y': 0.6101027727127075, 'Z': -0.10882974416017532}, {'X': 0.48294731974601746, 'Y': 0.5856442451477051, 'Z': -0.12849360704421997}]
[{'X': 0.45697760581970215, 'Y': 0.8491560816764832, 'Z': -2.211003993579652e-05}, {'X': 0.40708431601524353, 'Y': 0.8211877346038818, 'Z': -0.011524020694196224}, {'X': 0.38221603631973267, 'Y': 0.7575069665908813, 'Z': -0.018603099510073662}, {'X': 0.372098833322525, 'Y': 0.7072752118110657, 'Z': -0.031244145706295967}, {'X': 0.3604862689971924, 'Y': 0.6722114086151123, 'Z': -0.044736798852682114}, {'X': 0.4061554968357086, 'Y': 0.6749963760375977, 'Z': 0.019158240407705307}, {'X': 0.3888593316078186, 'Y': 0.6164340376853943, 'Z': -0.004501479212194681}, {'X': 0.37820157408714294, 'Y': 0.5862632989883423, 'Z': -0.030692588537931442}, {'X': 0.3663545250892639, 'Y': 0.5626331567764282, 'Z': -0.046687137335538864}, {'X': 0.43542224168777466, 'Y': 0.6624658703804016, 'Z': 0.0031906377989798784}, {'X': 0.41819795966148376, 'Y': 0.5914897918701172, 'Z': -0.009217318147420883}, {'X': 0.40153729915618896, 'Y': 0.5612089037895203, 'Z': -0.035048291087150574}, {'X': 0.3808671832084656, 'Y': 0.5404042601585388, 'Z': -0.0567033514380455}, {'X': 0.46606990694999695, 'Y': 0.6670255661010742, 'Z': -0.014880135655403137}, {'X': 0.4558000862598419, 'Y': 0.5931520462036133, 'Z': -0.0223368089646101}, {'X': 0.43928462266921997, 'Y': 0.560404896736145, 'Z': -0.04374910518527031}, {'X': 0.41961726546287537, 'Y': 0.5367746949195862, 'Z': -0.06124069541692734}, {'X': 0.4990670680999756, 'Y': 0.6853765249252319, 'Z': -0.03788913041353226}, {'X': 0.504037618637085, 'Y': 0.6240475177764893, 'Z': -0.04671471565961838}, {'X': 0.49733495712280273, 'Y': 0.5947403311729431, 'Z': -0.053692225366830826}, {'X': 0.4831213653087616, 'Y': 0.571071445941925, 'Z': -0.06249820441007614}]
[{'X': 0.463920533657074, 'Y': 0.8353317975997925, 'Z': -4.155327405896969e-05}, {'X': 0.4218430817127228, 'Y': 0.7966400384902954, 'Z': -0.011603926308453083}, {'X': 0.4072422385215759, 'Y': 0.7246526479721069, 'Z': -0.01996750570833683}, {'X': 0.4112290143966675, 'Y': 0.6640080809593201, 'Z': -0.0359509214758873}, {'X': 0.4128532111644745, 'Y': 0.6126085519790649, 'Z': -0.05317455902695656}, {'X': 0.4186573326587677, 'Y': 0.6623591780662537, 'Z': 0.036270447075366974}, {'X': 0.40887531638145447, 'Y': 0.6011022329330444, 'Z': 0.01950272172689438}, {'X': 0.4018658995628357, 'Y': 0.5782744288444519, 'Z': 0.0008354640449397266}, {'X': 0.39536261558532715, 'Y': 0.569586455821991, 'Z': -0.008534770458936691}, {'X': 0.4436272382736206, 'Y': 0.6551055908203125, 'Z': 0.025604844093322754}, {'X': 0.431194007396698, 'Y': 0.5950551629066467, 'Z': 0.009983048774302006}, {'X': 0.41795289516448975, 'Y': 0.5676235556602478, 'Z': -0.014883899129927158}, {'X': 0.4020286202430725, 'Y': 0.5521770715713501, 'Z': -0.02831232361495495}, {'X': 0.47070086002349854, 'Y': 0.6632636785507202, 'Z': 0.007256172597408295}, {'X': 0.46148133277893066, 'Y': 0.599659264087677, 'Z': -0.0025290625635534525}, {'X': 0.4499164819717407, 'Y': 0.5716297626495361, 'Z': -0.024396337568759918}, {'X': 0.43754807114601135, 'Y': 0.5513954758644104, 'Z': -0.03654319792985916}, {'X': 0.5020726919174194, 'Y': 0.6823319792747498, 'Z': -0.014387273229658604}, {'X': 0.5022545456886292, 'Y': 0.6301751732826233, 'Z': -0.024363145232200623}, {'X': 0.49768099188804626, 'Y': 0.6005966067314148, 'Z': -0.035291291773319244}, {'X': 0.4891711473464966, 'Y': 0.5701053142547607, 'Z': -0.043565813452005386}]
[{'X': 0.46794575452804565, 'Y': 0.8163419961929321, 'Z': -3.5268167266622186e-05}, {'X': 0.4282451272010803, 'Y': 0.7893003821372986, 'Z': -0.008708817884325981}, {'X': 0.4103599488735199, 'Y': 0.7224767804145813, 'Z': -0.013807144947350025}, {'X': 0.4175660312175751, 'Y': 0.6634491086006165, 'Z': -0.022726232185959816}, {'X': 0.4311710596084595, 'Y': 0.6227142810821533, 'Z': -0.0334191769361496}, {'X': 0.42650964856147766, 'Y': 0.6730153560638428, 'Z': 0.03656811639666557}, {'X': 0.4222061038017273, 'Y': 0.6132179498672485, 'Z': 0.03916100785136223}, {'X': 0.4174872040748596, 'Y': 0.5826049447059631, 'Z': 0.03739379346370697}, {'X': 0.4142846465110779, 'Y': 0.5588208436965942, 'Z': 0.03868728503584862}, {'X': 0.4515509605407715, 'Y': 0.6675536036491394, 'Z': 0.029839476570487022}, {'X': 0.4427064061164856, 'Y': 0.6074868440628052, 'Z': 0.02981865033507347}, {'X': 0.43288499116897583, 'Y': 0.5703226327896118, 'Z': 0.016260724514722824}, {'X': 0.42356547713279724, 'Y': 0.5426393747329712, 'Z': 0.005825334694236517}, {'X': 0.4783884584903717, 'Y': 0.671892523765564, 'Z': 0.015422380529344082}, {'X': 0.46930521726608276, 'Y': 0.6204479336738586, 'Z': 0.0018523306353017688}, {'X': 0.457516610622406, 'Y': 0.6101164817810059, 'Z': -0.023253988474607468}, {'X': 0.4476875960826874, 'Y': 0.6080186367034912, 'Z': -0.0373060517013073}, {'X': 0.5071144104003906, 'Y': 0.6817837953567505, 'Z': 0.0015370120527222753}, {'X': 0.5038779377937317, 'Y': 0.6285912394523621, 'Z': -0.002469757804647088}, {'X': 0.49831169843673706, 'Y': 0.5965973138809204, 'Z': -0.009674398228526115}, {'X': 0.49007290601730347, 'Y': 0.5682035684585571, 'Z': -0.017948850989341736}]
