[{'X': 0.5875799655914307, 'Y': 0.7731391191482544, 'Z': -5.869684900972061e-05}, {'X': 0.5413508415222168, 'Y': 0.7544096112251282, 'Z': -0.021891124546527863}, {'X': 0.5025892853736877, 'Y': 0.7081431150436401, 'Z': -0.031606100499629974}, {'X': 0.48931407928466797, 'Y': 0.6578176617622375, 'Z': -0.043650008738040924}, {'X': 0.4961002469062805, 'Y': 0.6214809417724609, 'Z': -0.04538612812757492}, {'X': 0.5126193165779114, 'Y': 0.6214681267738342, 'Z': 0.008133208379149437}, {'X': 0.48398929834365845, 'Y': 0.5599654912948608, 'Z': 0.00224790396168828}, {'X': 0.4652986526489258, 'Y': 0.5309167504310608, 'Z': -0.005373397842049599}, {'X': 0.44884395599365234, 'Y': 0.5072535276412964, 'Z': -0.013531510718166828}, {'X': 0.5431603193283081, 'Y': 0.6058591604232788, 'Z': 0.007294722367078066}, {'X': 0.5385053157806396, 'Y': 0.5301157832145691, 'Z': 0.013888523913919926}, {'X': 0.5337970852851868, 'Y': 0.4914402365684509, 'Z': 0.009992074221372604}, {'X': 0.5290253162384033, 'Y': 0.46002376079559326, 'Z': 0.004333100281655788}, {'X': 0.5683072805404663, 'Y': 0.6071752309799194, 'Z': 0.0010950940195471048}, {'X': 0.5634768605232239, 'Y': 0.5390841364860535, 'Z': 0.005633219610899687}, {'X': 0.5575382113456726, 'Y': 0.5018545985221863, 'Z': -0.0003770167531911284}, {'X': 0.5497211813926697, 'Y': 0.4704086482524872, 'Z': -0.008369763381779194}, {'X': 0.592400312423706, 'Y': 0.6178461313247681, 'Z': -0.009297404438257217}, {'X': 0.5854580998420715, 'Y': 0.565647304058075, 'Z': -0.008193851448595524}, {'X': 0.5782350897789001, 'Y': 0.5389284491539001, 'Z': -0.0132520766928792}, {'X': 0.570454478263855, 'Y': 0.5150446891784668, 'Z': -0.01627960614860058}]
[{'X': 0.5927100777626038, 'Y': 0.7899608016014099, 'Z': -4.406999141792767e-05}, {'X': 0.5443039536476135, 'Y': 0.7654083967208862, 'Z': -0.019478552043437958}, {'X': 0.5064243078231812, 'Y': 0.7151507139205933, 'Z': -0.025140373036265373}, {'X': 0.4935072958469391, 'Y': 0.6624253988265991, 'Z': -0.03304151073098183}, {'X': 0.4973893463611603, 'Y': 0.6278206706047058, 'Z': -0.030285222455859184}, {'X': 0.515422523021698, 'Y': 0.6333022117614746, 'Z': 0.01830008067190647}, {'X': 0.4916078746318817, 'Y': 0.5750085711479187, 'Z': 0.01655995287001133}, {'X': 0.4762553870677948, 'Y': 0.5493435859680176, 'Z': 0.009966637939214706}, {'X': 0.46355754137039185, 'Y': 0.5293582677841187, 'Z': 0.0023262035101652145}, {'X': 0.5457078814506531, 'Y': 0.6170229315757751, 'Z': 0.016156736761331558}, {'X': 0.5424665808677673, 'Y': 0.5398761630058289, 'Z': 0.026968777179718018}, {'X': 0.5373767614364624, 'Y': 0.5040932893753052, 'Z': 0.026243427768349648}, {'X': 0.5319583415985107, 'Y': 0.47845977544784546, 'Z': 0.02346101775765419}, {'X': 0.5711052417755127, 'Y': 0.6168443560600281, 'Z': 0.007420841138809919}, {'X': 0.5671267509460449, 'Y': 0.5471940040588379, 'Z': 0.01556142047047615}, {'X': 0.5626705884933472, 'Y': 0.5126073360443115, 'Z': 0.012891942635178566}, {'X': 0.5546663999557495, 'Y': 0.4855213463306427, 'Z': 0.005519364960491657}, {'X': 0.5960912108421326, 'Y': 0.6268201470375061, 'Z': -0.006249543279409409}, {'X': 0.5902262926101685, 'Y': 0.5737410187721252, 'Z': -0.003143731504678726}, {'X': 0.5849190354347229, 'Y': 0.547959566116333, 'Z': -0.005715893115848303}, {'X': 0.5774376392364502, 'Y': 0.5249654650688171, 'Z': -0.00868025328963995}]
[{'X': 0.5920590162277222, 'Y': 0.778799295425415, 'Z': -3.981926420237869e-05}, {'X': 0.5486923456192017, 'Y': 0.7580991387367249, 'Z': -0.027719274163246155}, {'X': 0.5130069851875305, 'Y': 0.7136419415473938, 'Z': -0.038580916821956635}, {'X': 0.5031631588935852, 'Y': 0.6648792028427124, 'Z': -0.04868870601058006}, {'X': 0.5114117860794067, 'Y': 0.6316590905189514, 'Z': -0.0476720854640007}, {'X': 0.5224208831787109, 'Y': 0.6306931376457214, 'Z': -0.005060677416622639}, {'X': 0.49676811695098877, 'Y': 0.5753746032714844, 'Z': -0.013720561750233173}, {'X': 0.479969322681427, 'Y': 0.5473335385322571, 'Z': -0.025241980329155922}, {'X': 0.4665653109550476, 'Y': 0.52693110704422, 'Z': -0.03844347596168518}, {'X': 0.5503827333450317, 'Y': 0.6152263283729553, 'Z': -0.003902896074578166}, {'X': 0.545428991317749, 'Y': 0.5368304252624512, 'Z': -0.0044989269226789474}, {'X': 0.5409014225006104, 'Y': 0.4976728558540344, 'Z': -0.012813584879040718}, {'X': 0.5365177989006042, 'Y': 0.4707449972629547, 'Z': -0.02154763787984848}, {'X': 0.5745694041252136, 'Y': 0.617318332195282, 'Z': -0.007830512709915638}, {'X': 0.572117269039154, 'Y': 0.5479937791824341, 'Z': -0.009900710545480251}, {'X': 0.5683432817459106, 'Y': 0.5124154090881348, 'Z': -0.019359681755304337}, {'X': 0.5609548687934875, 'Y': 0.48372623324394226, 'Z': -0.03077097050845623}, {'X': 0.5995104908943176, 'Y': 0.6300750970840454, 'Z': -0.01634378731250763}, {'X': 0.5993608236312866, 'Y': 0.5810446739196777, 'Z': -0.023034505546092987}, {'X': 0.5975421071052551, 'Y': 0.5546640157699585, 'Z': -0.03009868785738945}, {'X': 0.5940302610397339, 'Y': 0.5303317308425903, 'Z': -0.03526269644498825}]
[{'X': 0.5980230569839478, 'Y': 0.776719331741333, 'Z': -6.617082544835284e-05}, {'X': 0.5479869246482849, 'Y': 0.7547719478607178, 'Z': -0.018595771864056587}, {'X': 0.5098580121994019, 'Y': 0.702292799949646, 'Z': -0.025198599323630333}, {'X': 0.5032492876052856, 'Y': 0.6482142210006714, 'Z': -0.034200407564640045}, {'X': 0.5157096982002258, 'Y': 0.6226428151130676, 'Z': -0.030515948310494423}, {'X': 0.5206190943717957, 'Y': 0.6209255456924438, 'Z': 0.005946426186710596}, {'X': 0.49487751722335815, 'Y': 0.5585194230079651, 'Z': 0.0003667552664410323}, {'X': 0.47881242632865906, 'Y': 0.5359990000724792, 'Z': -0.00785213615745306}, {'X': 0.4664068818092346, 'Y': 0.5202820301055908, 'Z': -0.01692812517285347}, {'X': 0.550839364528656, 'Y': 0.6063838005065918, 'Z': 0.0019751775544136763}, {'X': 0.5478097796440125, 'Y': 0.524836003780365, 'Z': 0.008437625132501125}, {'X': 0.5436452627182007, 'Y': 0.49140480160713196, 'Z': 0.006201224401593208}, {'X': 0.5380229949951172, 'Y': 0.4700291156768799, 'Z': 0.001031777006573975}, {'X': 0.5759458541870117, 'Y': 0.6092419028282166, 'Z': -0.008128069341182709}, {'X': 0.5717573165893555, 'Y': 0.5361952781677246, 'Z': -0.006592357065528631}, {'X': 0.5681672096252441, 'Y': 0.5038611888885498, 'Z': -0.014233480207622051}, {'X': 0.5603383779525757, 'Y': 0.47811898589134216, 'Z': -0.022908592596650124}, {'X': 0.6008971333503723, 'Y': 0.6225107312202454, 'Z': -0.021813776344060898}, {'X': 0.5973043441772461, 'Y': 0.5670968294143677, 'Z': -0.024157488718628883}, {'X': 0.5922871828079224, 'Y': 0.5417120456695557, 'Z': -0.02943979762494564}, {'X': 0.5850266814231873, 'Y': 0.5187434554100037, 'Z': -0.032104846090078354}]
[{'X': 0.6090809106826782, 'Y': 0.7654134631156921, 'Z': -4.0695089410291985e-05}, {'X': 0.558335542678833, 'Y': 0.746995747089386, 'Z': -0.014149673283100128}, {'X': 0.5202038288116455, 'Y': 0.6988252401351929, 'Z': -0.01759382337331772}, {'X': 0.5123054385185242, 'Y': 0.6487381458282471, 'Z': -0.022868219763040543}, {'X': 0.5198795199394226, 'Y': 0.6188133358955383, 'Z': -0.017166173085570335}, {'X': 0.5207727551460266, 'Y': 0.6148495078086853, 'Z': 0.010377530939877033}, {'X': 0.4962749183177948, 'Y': 0.5535575151443481, 'Z': 0.008393153548240662}, {'X': 0.47843649983406067, 'Y': 0.5293614864349365, 'Z': 0.0020940874237567186}, {'X': 0.4644071161746979, 'Y': 0.5118609666824341, 'Z': -0.0035247502382844687}, {'X': 0.5529564023017883, 'Y': 0.5959162712097168, 'Z': 0.007459553424268961}, {'X': 0.5502301454544067, 'Y': 0.5207169055938721, 'Z': 0.02276889607310295}, {'X': 0.5471169948577881, 'Y': 0.4891948997974396, 'Z': 0.026957141235470772}, {'X': 0.5435939431190491, 'Y': 0.46938180923461914, 'Z': 0.027183081954717636}, {'X': 0.5785582065582275, 'Y': 0.594460129737854, 'Z': -0.0018430738709867}, {'X': 0.5722436904907227, 'Y': 0.5257924795150757, 'Z': 0.008453400805592537}, {'X': 0.567724883556366, 'Y': 0.490273118019104, 'Z': 0.00802042055875063}, {'X': 0.5617847442626953, 'Y': 0.460342675447464, 'Z': 0.0032774044666439295}, {'X': 0.6030611991882324, 'Y': 0.6039958000183105, 'Z': -0.015405179932713509}, {'X': 0.5926926136016846, 'Y': 0.5507087707519531, 'Z': -0.01166028343141079}, {'X': 0.5809319019317627, 'Y': 0.5312306880950928, 'Z': -0.009742368012666702}, {'X': 0.569409966468811, 'Y': 0.5128434300422668, 'Z': -0.005947635043412447}]
[{'X': 0.6053072214126587, 'Y': 0.758480429649353, 'Z': -2.4261060389108025e-05}, {'X': 0.5572190284729004, 'Y': 0.7415651082992554, 'Z': -0.0214246679097414}, {'X': 0.5233667492866516, 'Y': 0.6968324184417725, 'Z': -0.02333374135196209}, {'X': 0.523524284362793, 'Y': 0.6471593976020813, 'Z': -0.02434961311519146}, {'X': 0.5396448969841003, 'Y': 0.6225566267967224, 'Z': -0.013199646957218647}, {'X': 0.5267632007598877, 'Y': 0.6170828342437744, 'Z': 0.005347933620214462}, {'X': 0.5018681287765503, 'Y': 0.5615528225898743, 'Z': 0.004183848388493061}, {'X': 0.48540642857551575, 'Y': 0.5300750136375427, 'Z': -0.0002763068478088826}, {'X': 0.47243231534957886, 'Y': 0.5036303997039795, 'Z': -0.008670128881931305}, {'X': 0.5554249286651611, 'Y': 0.5989748239517212, 'Z': 0.008576429449021816}, {'X': 0.5478657484054565, 'Y': 0.5229622721672058, 'Z': 0.01731589250266552}, {'X': 0.5436718463897705, 'Y': 0.48171621561050415, 'Z': 0.013353089801967144}, {'X': 0.542539119720459, 'Y': 0.45184528827667236, 'Z': 0.0067357029765844345}, {'X': 0.5807669758796692, 'Y': 0.5971841216087341, 'Z': 0.008045070804655552}, {'X': 0.5752018094062805, 'Y': 0.5293442010879517, 'Z': 0.011710457503795624}, {'X': 0.5729039907455444, 'Y': 0.49055391550064087, 'Z': 0.00641301553696394}, {'X': 0.5703801512718201, 'Y': 0.45849621295928955, 'Z': -0.0017584047745913267}, {'X': 0.6067156791687012, 'Y': 0.6045631766319275, 'Z': 0.0026950358878821135}, {'X': 0.6028470396995544, 'Y': 0.5559960603713989, 'Z': 0.0009123454801738262}, {'X': 0.6004896759986877, 'Y': 0.5270677208900452, 'Z': -0.00391791295260191}, {'X': 0.5982196927070618, 'Y': 0.5002666711807251, 'Z': -0.0077636633068323135}]
[{'X': 0.6060317754745483, 'Y': 0.7557119131088257, 'Z': -5.428539225249551e-05}, {'X': 0.5606061816215515, 'Y': 0.7413398623466492, 'Z': -0.028577866032719612}, {'X': 0.5243812799453735, 'Y': 0.6941072344779968, 'Z': -0.03542536124587059}, {'X': 0.521501362323761, 'Y': 0.6410691142082214, 'Z': -0.04008520394563675}, {'X': 0.5340102910995483, 'Y': 0.608729898929596, 'Z': -0.03236992284655571}, {'X': 0.5261618494987488, 'Y': 0.6169756650924683, 'Z': -0.000892390264198184}, {'X': 0.49977749586105347, 'Y': 0.5586101412773132, 'Z': -0.005010111257433891}, {'X': 0.4831639528274536, 'Y': 0.5272353291511536, 'Z': -0.012853209860622883}, {'X': 0.4702135920524597, 'Y': 0.5002208352088928, 'Z': -0.02185244858264923}, {'X': 0.5554518699645996, 'Y': 0.5988048911094666, 'Z': 0.0033083991147577763}, {'X': 0.546478807926178, 'Y': 0.5223776698112488, 'Z': 0.007359735667705536}, {'X': 0.5422429442405701, 'Y': 0.4827161431312561, 'Z': -0.0010477377800270915}, {'X': 0.5402504801750183, 'Y': 0.4529913365840912, 'Z': -0.009858625940978527}, {'X': 0.5809826254844666, 'Y': 0.5964414477348328, 'Z': 0.0027862577699124813}, {'X': 0.5737987160682678, 'Y': 0.5281929969787598, 'Z': 0.0035027761477977037}, {'X': 0.5698541402816772, 'Y': 0.49009576439857483, 'Z': -0.006636417005211115}, {'X': 0.5657397508621216, 'Y': 0.4576765298843384, 'Z': -0.01817864552140236}, {'X': 0.607022225856781, 'Y': 0.6035457849502563, 'Z': -0.002343728207051754}, {'X': 0.6016787886619568, 'Y': 0.5538516044616699, 'Z': -0.006115613970905542}, {'X': 0.5975217819213867, 'Y': 0.5255661010742188, 'Z': -0.013665092177689075}, {'X': 0.5938735604286194, 'Y': 0.4992346465587616, 'Z': -0.019207922741770744}]
[{'X': 0.6022588014602661, 'Y': 0.7470009326934814, 'Z': -4.58719878224656e-05}, {'X': 0.5577815771102905, 'Y': 0.7257257699966431, 'Z': -0.025093624368309975}, {'X': 0.5281355381011963, 'Y': 0.6733841896057129, 'Z': -0.033517953008413315}, {'X': 0.5221129655838013, 'Y': 0.6177650094032288, 'Z': -0.042251281440258026}, {'X': 0.5225694179534912, 'Y': 0.576675295829773, 'Z': -0.04130076244473457}, {'X': 0.5236921310424805, 'Y': 0.6030747890472412, 'Z': -0.0020922913681715727}, {'X': 0.4988170564174652, 'Y': 0.5477790832519531, 'Z': -0.006662425119429827}, {'X': 0.4832752048969269, 'Y': 0.5179307460784912, 'Z': -0.013966395519673824}, {'X': 0.470407098531723, 'Y': 0.491901695728302, 'Z': -0.02285400964319706}, {'X': 0.5526748895645142, 'Y': 0.5876677632331848, 'Z': -0.0014818301424384117}, {'X': 0.546815037727356, 'Y': 0.5109238028526306, 'Z': -0.00016975856851786375}, {'X': 0.5435107946395874, 'Y': 0.4712032377719879, 'Z': -0.009287589229643345}, {'X': 0.540756106376648, 'Y': 0.4424726366996765, 'Z': -0.018084010109305382}, {'X': 0.5780108571052551, 'Y': 0.5880206227302551, 'Z': -0.005707302130758762}, {'X': 0.5736448168754578, 'Y': 0.5192009806632996, 'Z': -0.00919116847217083}, {'X': 0.5713279843330383, 'Y': 0.48256343603134155, 'Z': -0.022022683173418045}, {'X': 0.566135823726654, 'Y': 0.45244985818862915, 'Z': -0.03505007177591324}, {'X': 0.6040539741516113, 'Y': 0.5974574685096741, 'Z': -0.012819016352295876}, {'X': 0.6007874011993408, 'Y': 0.5448809266090393, 'Z': -0.021138792857527733}, {'X': 0.5977581143379211, 'Y': 0.5173815488815308, 'Z': -0.0310574509203434}, {'X': 0.5939488410949707, 'Y': 0.4924655258655548, 'Z': -0.036735761910676956}]
[{'X': 0.6025741696357727, 'Y': 0.7460700273513794, 'Z': -5.864745980943553e-05}, {'X': 0.5619463920593262, 'Y': 0.716370701789856, 'Z': -0.01260504499077797}, {'X': 0.5350319147109985, 'Y': 0.6642817258834839, 'Z': -0.010493813082575798}, {'X': 0.5366070866584778, 'Y': 0.6170992255210876, 'Z': -0.007839235477149487}, {'X': 0.5406628847122192, 'Y': 0.5913671255111694, 'Z': 0.00614681001752615}, {'X': 0.5251793265342712, 'Y': 0.6037459373474121, 'Z': -0.003243079176172614}, {'X': 0.49714577198028564, 'Y': 0.5464795827865601, 'Z': -0.008967125788331032}, {'X': 0.4808572232723236, 'Y': 0.51859450340271, 'Z': -0.015381678007543087}, {'X': 0.46616899967193604, 'Y': 0.49527156352996826, 'Z': -0.022797705605626106}, {'X': 0.5526884198188782, 'Y': 0.5864472985267639, 'Z': -0.002854387043043971}, {'X': 0.5491379499435425, 'Y': 0.5127374529838562, 'Z': 0.0030974801629781723}, {'X': 0.5453670024871826, 'Y': 0.4786610007286072, 'Z': 0.0009857314871624112}, {'X': 0.5413521528244019, 'Y': 0.45539969205856323, 'Z': -0.003554483177140355}, {'X': 0.5770078301429749, 'Y': 0.5850428342819214, 'Z': -0.006010870914906263}, {'X': 0.5743359327316284, 'Y': 0.5214078426361084, 'Z': -0.004458044655621052}, {'X': 0.5703046321868896, 'Y': 0.48635053634643555, 'Z': -0.011372926644980907}, {'X': 0.5652968287467957, 'Y': 0.45771485567092896, 'Z': -0.018760139122605324}, {'X': 0.5997757315635681, 'Y': 0.5947545766830444, 'Z': -0.012363146059215069}, {'X': 0.5907905101776123, 'Y': 0.5492220520973206, 'Z': -0.011309503577649593}, {'X': 0.5812923908233643, 'Y': 0.5365707874298096, 'Z': -0.013554085977375507}, {'X': 0.5739808678627014, 'Y': 0.5273560881614685, 'Z': -0.012714342214167118}]
[{'X': 0.5946199297904968, 'Y': 0.7258421778678894, 'Z': -6.58599819871597e-05}, {'X': 0.558742344379425, 'Y': 0.702945351600647, 'Z': -0.0282878577709198}, {'X': 0.5351161956787109, 'Y': 0.6584152579307556, 'Z': -0.04048459231853485}, {'X': 0.5386416912078857, 'Y': 0.6146684885025024, 'Z': -0.047833796590566635}, {'X': 0.5488776564598083, 'Y': 0.583433985710144, 'Z': -0.04418518394231796}, {'X': 0.5258540511131287, 'Y': 0.5927438735961914, 'Z': -0.024742096662521362}, {'X': 0.49879521131515503, 'Y': 0.5390901565551758, 'Z': -0.041663046926259995}, {'X': 0.4856400489807129, 'Y': 0.5087522268295288, 'Z': -0.05326409265398979}, {'X': 0.47413161396980286, 'Y': 0.4839524030685425, 'Z': -0.061164166778326035}, {'X': 0.5528908371925354, 'Y': 0.577511727809906, 'Z': -0.022433875128626823}, {'X': 0.5479148030281067, 'Y': 0.5109968185424805, 'Z': -0.02958504669368267}, {'X': 0.5466241240501404, 'Y': 0.47527772188186646, 'Z': -0.034605130553245544}, {'X': 0.5457675457000732, 'Y': 0.4515792727470398, 'Z': -0.036937031894922256}, {'X': 0.5772325396537781, 'Y': 0.582805335521698, 'Z': -0.022363482043147087}, {'X': 0.5772161483764648, 'Y': 0.5238616466522217, 'Z': -0.032750651240348816}, {'X': 0.5767426490783691, 'Y': 0.4908277094364166, 'Z': -0.039925988763570786}, {'X': 0.574091374874115, 'Y': 0.46574199199676514, 'Z': -0.04375772178173065}, {'X': 0.600644588470459, 'Y': 0.6008307337760925, 'Z': -0.02762194350361824}, {'X': 0.594327986240387, 'Y': 0.5666359663009644, 'Z': -0.04531867802143097}, {'X': 0.584300696849823, 'Y': 0.5663321614265442, 'Z': -0.05737784132361412}, {'X': 0.5754139423370361, 'Y': 0.5716237425804138, 'Z': -0.06094128265976906}]
[{'X': 0.6035605669021606, 'Y': 0.7310699820518494, 'Z': -3.8731388485757634e-05}, {'X': 0.5618406534194946, 'Y': 0.7011632919311523, 'Z': -0.013956515118479729}, {'X': 0.5340772271156311, 'Y': 0.6516437530517578, 'Z': -0.013120109215378761}, {'X': 0.5330684185028076, 'Y': 0.603114902973175, 'Z': -0.010854941792786121}, {'X': 0.5390706658363342, 'Y': 0.5779231786727905, 'Z': 0.002055140445008874}, {'X': 0.5258713960647583, 'Y': 0.5965055823326111, 'Z': -0.0026121779810637236}, {'X': 0.5014051795005798, 'Y': 0.5390342473983765, 'Z': -0.007997347041964531}, {'X': 0.4883706271648407, 'Y': 0.5084314942359924, 'Z': -0.013358148746192455}, {'X': 0.4769155979156494, 'Y': 0.48403769731521606, 'Z': -0.018813740462064743}, {'X': 0.5527268648147583, 'Y': 0.5814908146858215, 'Z': -0.0007790439995005727}, {'X': 0.548931896686554, 'Y': 0.5108618140220642, 'Z': 0.006118654273450375}, {'X': 0.5483177900314331, 'Y': 0.47665634751319885, 'Z': 0.005508664064109325}, {'X': 0.5478655695915222, 'Y': 0.4521004557609558, 'Z': 0.002592995762825012}, {'X': 0.5768152475357056, 'Y': 0.5796771049499512, 'Z': -0.002313546370714903}, {'X': 0.5725173354148865, 'Y': 0.5186344981193542, 'Z': 0.0008303347276523709}, {'X': 0.5708019733428955, 'Y': 0.4845581352710724, 'Z': -0.0033624263014644384}, {'X': 0.5686705112457275, 'Y': 0.4572237432003021, 'Z': -0.01007591187953949}, {'X': 0.6001242399215698, 'Y': 0.5872438549995422, 'Z': -0.00802197027951479}, {'X': 0.5907531976699829, 'Y': 0.5420421361923218, 'Z': -0.008230815641582012}, {'X': 0.5824844837188721, 'Y': 0.5239011645317078, 'Z': -0.013087154366075993}, {'X': 0.5759518146514893, 'Y': 0.5094561576843262, 'Z': -0.01571015827357769}]
