[{'X': 0.7311798334121704, 'Y': 0.4190586805343628, 'Z': -7.108484714990482e-05}, {'X': 0.6823144555091858, 'Y': 0.3988490700721741, 'Z': -0.05032562091946602}, {'X': 0.6506191492080688, 'Y': 0.33519768714904785, 'Z': -0.0681246817111969}, {'X': 0.6366260647773743, 'Y': 0.27806270122528076, 'Z': -0.08374829590320587}, {'X': 0.6160270571708679, 'Y': 0.23964793980121613, 'Z': -0.10253702104091644}, {'X': 0.7061828970909119, 'Y': 0.24480204284191132, 'Z': -0.04782906547188759}, {'X': 0.7026102542877197, 'Y': 0.1625012755393982, 'Z': -0.07107105851173401}, {'X': 0.7022508978843689, 'Y': 0.11537839472293854, 'Z': -0.09059698134660721}, {'X': 0.7037087678909302, 'Y': 0.07242812216281891, 'Z': -0.1057979166507721}, {'X': 0.7440364360809326, 'Y': 0.24463030695915222, 'Z': -0.040985073894262314}, {'X': 0.7579027414321899, 'Y': 0.1572015881538391, 'Z': -0.05658404529094696}, {'X': 0.7694846987724304, 'Y': 0.1084761768579483, 'Z': -0.08191788196563721}, {'X': 0.7801639437675476, 'Y': 0.06917650997638702, 'Z': -0.10318470001220703}, {'X': 0.7760657668113708, 'Y': 0.2641441822052002, 'Z': -0.037838470190763474}, {'X': 0.7983051538467407, 'Y': 0.18932950496673584, 'Z': -0.05479754880070686}, {'X': 0.8117631077766418, 'Y': 0.14581091701984406, 'Z': -0.08532670885324478}, {'X': 0.8206977248191833, 'Y': 0.11027392745018005, 'Z': -0.11291446536779404}, {'X': 0.8053110241889954, 'Y': 0.2967190742492676, 'Z': -0.03934457153081894}, {'X': 0.8326576352119446, 'Y': 0.25068679451942444, 'Z': -0.0649452731013298}, {'X': 0.8506518602371216, 'Y': 0.22194920480251312, 'Z': -0.09284518659114838}, {'X': 0.8647426962852478, 'Y': 0.19592364132404327, 'Z': -0.11531998962163925}]
[{'X': 0.7306569218635559, 'Y': 0.42752790451049805, 'Z': -6.058183134882711e-05}, {'X': 0.6822067499160767, 'Y': 0.40146777033805847, 'Z': -0.046285003423690796}, {'X': 0.65130215883255, 'Y': 0.3383445739746094, 'Z': -0.06446894258260727}, {'X': 0.6374867558479309, 'Y': 0.28182482719421387, 'Z': -0.08254878968000412}, {'X': 0.6172217130661011, 'Y': 0.24357318878173828, 'Z': -0.10602229088544846}, {'X': 0.7067013382911682, 'Y': 0.24541032314300537, 'Z': -0.03136178478598595}, {'X': 0.7014434933662415, 'Y': 0.16882804036140442, 'Z': -0.04706670343875885}, {'X': 0.7009134888648987, 'Y': 0.12148125469684601, 'Z': -0.06502228230237961}, {'X': 0.7017419934272766, 'Y': 0.07767993211746216, 'Z': -0.08137263357639313}, {'X': 0.7453231811523438, 'Y': 0.24565543234348297, 'Z': -0.02737455442547798}, {'X': 0.7591168880462646, 'Y': 0.16454899311065674, 'Z': -0.03718317300081253}, {'X': 0.7710199952125549, 'Y': 0.11333797872066498, 'Z': -0.060996558517217636}, {'X': 0.7824656367301941, 'Y': 0.07083801925182343, 'Z': -0.08170835673809052}, {'X': 0.7772082090377808, 'Y': 0.26701995730400085, 'Z': -0.02785705029964447}, {'X': 0.7982622385025024, 'Y': 0.19748836755752563, 'Z': -0.040995121002197266}, {'X': 0.8113571405410767, 'Y': 0.1554425060749054, 'Z': -0.07064634561538696}, {'X': 0.8212548494338989, 'Y': 0.12092532217502594, 'Z': -0.09870581328868866}, {'X': 0.8053987622261047, 'Y': 0.3020455837249756, 'Z': -0.033014681190252304}, {'X': 0.8321694731712341, 'Y': 0.25889137387275696, 'Z': -0.057707417756319046}, {'X': 0.8495967388153076, 'Y': 0.23231248557567596, 'Z': -0.08625912666320801}, {'X': 0.8640064597129822, 'Y': 0.20816799998283386, 'Z': -0.11049021780490875}]
[{'X': 0.7324829697608948, 'Y': 0.4286368489265442, 'Z': -6.907081115059555e-05}, {'X': 0.6818151473999023, 'Y': 0.39974313974380493, 'Z': -0.03848738595843315}, {'X': 0.6492771506309509, 'Y': 0.33651867508888245, 'Z': -0.0531252920627594}, {'X': 0.6343293190002441, 'Y': 0.2807466685771942, 'Z': -0.06958340108394623}, {'X': 0.6151881814002991, 'Y': 0.2430141717195511, 'Z': -0.090847909450531}, {'X': 0.7089821696281433, 'Y': 0.24557961523532867, 'Z': -0.014748428016901016}, {'X': 0.7036671042442322, 'Y': 0.1679728925228119, 'Z': -0.028169700875878334}, {'X': 0.70194411277771, 'Y': 0.12236104905605316, 'Z': -0.04460998624563217}, {'X': 0.7013354301452637, 'Y': 0.08036914467811584, 'Z': -0.06043771281838417}, {'X': 0.74729323387146, 'Y': 0.24604587256908417, 'Z': -0.01302313432097435}, {'X': 0.7611507773399353, 'Y': 0.16800923645496368, 'Z': -0.019159628078341484}, {'X': 0.7717122435569763, 'Y': 0.12062779068946838, 'Z': -0.04036886990070343}, {'X': 0.7814061045646667, 'Y': 0.08134208619594574, 'Z': -0.05819311365485191}, {'X': 0.7782869935035706, 'Y': 0.2663860321044922, 'Z': -0.015770982950925827}, {'X': 0.7991986274719238, 'Y': 0.19923967123031616, 'Z': -0.025122273713350296}, {'X': 0.8102005124092102, 'Y': 0.15741635859012604, 'Z': -0.049456290900707245}, {'X': 0.8172121047973633, 'Y': 0.12296679615974426, 'Z': -0.07253830879926682}, {'X': 0.8060943484306335, 'Y': 0.3003907799720764, 'Z': -0.023171396926045418}, {'X': 0.8323767185211182, 'Y': 0.25772979855537415, 'Z': -0.04193393886089325}, {'X': 0.8478260040283203, 'Y': 0.2321998029947281, 'Z': -0.06492423266172409}, {'X': 0.8586636781692505, 'Y': 0.2091948539018631, 'Z': -0.08470316976308823}]
[{'X': 0.7330200672149658, 'Y': 0.42757683992385864, 'Z': -4.228126636007801e-05}, {'X': 0.6800107359886169, 'Y': 0.39864981174468994, 'Z': -0.0394119992852211}, {'X': 0.6476016640663147, 'Y': 0.33773237466812134, 'Z': -0.05505947023630142}, {'X': 0.6330174803733826, 'Y': 0.28251099586486816, 'Z': -0.07147636264562607}, {'X': 0.6149609088897705, 'Y': 0.24490176141262054, 'Z': -0.09251877665519714}, {'X': 0.7065563797950745, 'Y': 0.24794496595859528, 'Z': -0.021975863724946976}, {'X': 0.7018510103225708, 'Y': 0.16819985210895538, 'Z': -0.03998193144798279}, {'X': 0.7005500793457031, 'Y': 0.1204419881105423, 'Z': -0.06046662479639053}, {'X': 0.7013381719589233, 'Y': 0.07642132043838501, 'Z': -0.07863765954971313}, {'X': 0.7446154356002808, 'Y': 0.24819721281528473, 'Z': -0.02034972608089447}, {'X': 0.7594475150108337, 'Y': 0.1663224995136261, 'Z': -0.030444709584116936}, {'X': 0.7709187269210815, 'Y': 0.11549267172813416, 'Z': -0.05638032779097557}, {'X': 0.782211422920227, 'Y': 0.07268010079860687, 'Z': -0.07797843962907791}, {'X': 0.7763335108757019, 'Y': 0.2685752213001251, 'Z': -0.022875918075442314}, {'X': 0.7978321313858032, 'Y': 0.1982346624135971, 'Z': -0.03633110225200653}, {'X': 0.8111136555671692, 'Y': 0.15505415201187134, 'Z': -0.062481701374053955}, {'X': 0.8210873603820801, 'Y': 0.11856061220169067, 'Z': -0.08608175069093704}, {'X': 0.8052973747253418, 'Y': 0.30223745107650757, 'Z': -0.03008316271007061}, {'X': 0.8334168195724487, 'Y': 0.25744226574897766, 'Z': -0.05214420333504677}, {'X': 0.8502024412155151, 'Y': 0.23068742454051971, 'Z': -0.07524023950099945}, {'X': 0.8627109527587891, 'Y': 0.20505797863006592, 'Z': -0.09361136704683304}]
[{'X': 0.7316828370094299, 'Y': 0.43003103137016296, 'Z': -6.552555714733899e-05}, {'X': 0.6804203987121582, 'Y': 0.40245959162712097, 'Z': -0.047833528369665146}, {'X': 0.6484485864639282, 'Y': 0.3381877541542053, 'Z': -0.06671423465013504}, {'X': 0.6344663500785828, 'Y': 0.27948373556137085, 'Z': -0.08518822491168976}, {'X': 0.612364649772644, 'Y': 0.23974597454071045, 'Z': -0.10806679725646973}, {'X': 0.705142080783844, 'Y': 0.2443477213382721, 'Z': -0.03333078324794769}, {'X': 0.7013759613037109, 'Y': 0.16306395828723907, 'Z': -0.05082670971751213}, {'X': 0.7013083100318909, 'Y': 0.1159822940826416, 'Z': -0.06823385506868362}, {'X': 0.7025312185287476, 'Y': 0.07202492654323578, 'Z': -0.08390779048204422}, {'X': 0.7435683012008667, 'Y': 0.24420283734798431, 'Z': -0.027255753055214882}, {'X': 0.757028341293335, 'Y': 0.1607397496700287, 'Z': -0.038798987865448}, {'X': 0.7675701379776001, 'Y': 0.11249813437461853, 'Z': -0.061638157814741135}, {'X': 0.777107834815979, 'Y': 0.07269629836082458, 'Z': -0.08141791820526123}, {'X': 0.7753195762634277, 'Y': 0.26490500569343567, 'Z': -0.025689976289868355}, {'X': 0.7956780195236206, 'Y': 0.19211283326148987, 'Z': -0.03900561481714249}, {'X': 0.8074962496757507, 'Y': 0.1484452486038208, 'Z': -0.06803535670042038}, {'X': 0.8153446912765503, 'Y': 0.11278659105300903, 'Z': -0.09464998543262482}, {'X': 0.8038643598556519, 'Y': 0.29906579852104187, 'Z': -0.028878048062324524}, {'X': 0.8306246995925903, 'Y': 0.25410789251327515, 'Z': -0.050350550562143326}, {'X': 0.8476096391677856, 'Y': 0.2269262820482254, 'Z': -0.07602252066135406}, {'X': 0.860541045665741, 'Y': 0.20303799211978912, 'Z': -0.09810535609722137}]
[{'X': 0.7276777625083923, 'Y': 0.42568960785865784, 'Z': -5.0838130846386775e-05}, {'X': 0.6756681799888611, 'Y': 0.39706921577453613, 'Z': -0.04418637230992317}, {'X': 0.6421899199485779, 'Y': 0.3366931676864624, 'Z': -0.06432389467954636}, {'X': 0.6279754638671875, 'Y': 0.2818555235862732, 'Z': -0.0843358263373375}, {'X': 0.6096882820129395, 'Y': 0.24465861916542053, 'Z': -0.10727157443761826}, {'X': 0.7029262185096741, 'Y': 0.23916953802108765, 'Z': -0.03566545993089676}, {'X': 0.7007026076316833, 'Y': 0.16035228967666626, 'Z': -0.05616428703069687}, {'X': 0.7023672461509705, 'Y': 0.11511561274528503, 'Z': -0.07526841759681702}, {'X': 0.7068014144897461, 'Y': 0.07411542534828186, 'Z': -0.09262512624263763}, {'X': 0.7418268322944641, 'Y': 0.23978713154792786, 'Z': -0.03481500595808029}, {'X': 0.7549697756767273, 'Y': 0.1542460322380066, 'Z': -0.052866481244564056}, {'X': 0.767632007598877, 'Y': 0.10255727171897888, 'Z': -0.07907206565141678}, {'X': 0.7813540101051331, 'Y': 0.05947917699813843, 'Z': -0.10153056681156158}, {'X': 0.7747761607170105, 'Y': 0.2619985044002533, 'Z': -0.03692392632365227}, {'X': 0.7936393022537231, 'Y': 0.18862903118133545, 'Z': -0.05833650007843971}, {'X': 0.8062889575958252, 'Y': 0.14621460437774658, 'Z': -0.08517346531152725}, {'X': 0.8163864016532898, 'Y': 0.11117087304592133, 'Z': -0.10777541995048523}, {'X': 0.805008590221405, 'Y': 0.2980979382991791, 'Z': -0.04457401484251022}, {'X': 0.8293536901473999, 'Y': 0.249222531914711, 'Z': -0.07238806039094925}, {'X': 0.8431071043014526, 'Y': 0.22167238593101501, 'Z': -0.09546081721782684}, {'X': 0.8530478477478027, 'Y': 0.19717863202095032, 'Z': -0.11265315115451813}]
[{'X': 0.7266442775726318, 'Y': 0.4346863031387329, 'Z': -6.524902710225433e-05}, {'X': 0.6767905950546265, 'Y': 0.40612858533859253, 'Z': -0.04504408314824104}, {'X': 0.6448522806167603, 'Y': 0.34278571605682373, 'Z': -0.06374305486679077}, {'X': 0.6300451159477234, 'Y': 0.28398120403289795, 'Z': -0.08071359992027283}, {'X': 0.6107519268989563, 'Y': 0.24735572934150696, 'Z': -0.0986848697066307}, {'X': 0.7014433741569519, 'Y': 0.2406376302242279, 'Z': -0.0397353321313858}, {'X': 0.7043646574020386, 'Y': 0.162478506565094, 'Z': -0.05769284814596176}, {'X': 0.7132741212844849, 'Y': 0.11861568689346313, 'Z': -0.0771251916885376}, {'X': 0.7240592837333679, 'Y': 0.08207111060619354, 'Z': -0.09493747353553772}, {'X': 0.7397698163986206, 'Y': 0.2421538233757019, 'Z': -0.03385282680392265}, {'X': 0.7532780766487122, 'Y': 0.15679411590099335, 'Z': -0.0475597009062767}, {'X': 0.768003523349762, 'Y': 0.10589763522148132, 'Z': -0.06953103095293045}, {'X': 0.7821815013885498, 'Y': 0.06604573130607605, 'Z': -0.08931932598352432}, {'X': 0.7723705768585205, 'Y': 0.2644752562046051, 'Z': -0.03178137168288231}, {'X': 0.7933455109596252, 'Y': 0.19178006052970886, 'Z': -0.04666817560791969}, {'X': 0.8067898750305176, 'Y': 0.14900413155555725, 'Z': -0.07061173766851425}, {'X': 0.8161191344261169, 'Y': 0.11458884179592133, 'Z': -0.09357474744319916}, {'X': 0.8012441396713257, 'Y': 0.3007710874080658, 'Z': -0.03391813486814499}, {'X': 0.8266725540161133, 'Y': 0.25328826904296875, 'Z': -0.055655911564826965}, {'X': 0.8400495052337646, 'Y': 0.2259594202041626, 'Z': -0.07685519754886627}, {'X': 0.8492231369018555, 'Y': 0.20297937095165253, 'Z': -0.0947396531701088}]
[{'X': 0.7219207882881165, 'Y': 0.4164590537548065, 'Z': -4.5723962102783844e-05}, {'X': 0.6739552021026611, 'Y': 0.39468225836753845, 'Z': -0.04803130030632019}, {'X': 0.6441080570220947, 'Y': 0.3384314179420471, 'Z': -0.0707678273320198}, {'X': 0.6273506879806519, 'Y': 0.2839403450489044, 'Z': -0.08775536715984344}, {'X': 0.6094017028808594, 'Y': 0.24616670608520508, 'Z': -0.10373803973197937}, {'X': 0.7057057619094849, 'Y': 0.24502445757389069, 'Z': -0.053179457783699036}, {'X': 0.7198326587677002, 'Y': 0.16898596286773682, 'Z': -0.07515540719032288}, {'X': 0.7335077524185181, 'Y': 0.12361103296279907, 'Z': -0.09827791154384613}, {'X': 0.7480334639549255, 'Y': 0.08660994470119476, 'Z': -0.11588229984045029}, {'X': 0.74045330286026, 'Y': 0.24801422655582428, 'Z': -0.04682055115699768}, {'X': 0.7590465545654297, 'Y': 0.16761526465415955, 'Z': -0.06622827798128128}, {'X': 0.7733129262924194, 'Y': 0.1174483522772789, 'Z': -0.09773840755224228}, {'X': 0.7867134213447571, 'Y': 0.07478362321853638, 'Z': -0.12472737580537796}, {'X': 0.7700248956680298, 'Y': 0.27107304334640503, 'Z': -0.04432836174964905}, {'X': 0.7983537316322327, 'Y': 0.2073676884174347, 'Z': -0.06964671611785889}, {'X': 0.8151775002479553, 'Y': 0.1775057017803192, 'Z': -0.10137537121772766}, {'X': 0.8289751410484314, 'Y': 0.1514941155910492, 'Z': -0.12842774391174316}, {'X': 0.795525848865509, 'Y': 0.306545227766037, 'Z': -0.04541235417127609}, {'X': 0.8224936723709106, 'Y': 0.2622165381908417, 'Z': -0.07225779443979263}, {'X': 0.8412018418312073, 'Y': 0.23657840490341187, 'Z': -0.09734644740819931}, {'X': 0.8583306670188904, 'Y': 0.21093066036701202, 'Z': -0.11851770430803299}]
[{'X': 0.716983437538147, 'Y': 0.4193989932537079, 'Z': -8.040403190534562e-05}, {'X': 0.6679386496543884, 'Y': 0.39373940229415894, 'Z': -0.04079033434391022}, {'X': 0.6407725811004639, 'Y': 0.3339182138442993, 'Z': -0.062096767127513885}, {'X': 0.626072108745575, 'Y': 0.28350937366485596, 'Z': -0.08233577758073807}, {'X': 0.608006477355957, 'Y': 0.25199565291404724, 'Z': -0.09842737764120102}, {'X': 0.713595449924469, 'Y': 0.24766409397125244, 'Z': -0.0326550267636776}, {'X': 0.7287212014198303, 'Y': 0.1797797828912735, 'Z': -0.051808081567287445}, {'X': 0.7389533519744873, 'Y': 0.14857178926467896, 'Z': -0.06936740130186081}, {'X': 0.7479702830314636, 'Y': 0.12576240301132202, 'Z': -0.08201445639133453}, {'X': 0.7459231019020081, 'Y': 0.2517661452293396, 'Z': -0.02889741212129593}, {'X': 0.7633557915687561, 'Y': 0.17227791249752045, 'Z': -0.03835071623325348}, {'X': 0.7741816639900208, 'Y': 0.12593555450439453, 'Z': -0.05485665425658226}, {'X': 0.7828629016876221, 'Y': 0.0891561210155487, 'Z': -0.07005179673433304}, {'X': 0.7726580500602722, 'Y': 0.2721681594848633, 'Z': -0.028506111353635788}, {'X': 0.796898365020752, 'Y': 0.20663237571716309, 'Z': -0.037750910967588425}, {'X': 0.808245062828064, 'Y': 0.17020544409751892, 'Z': -0.05185234919190407}, {'X': 0.8154456615447998, 'Y': 0.1407165378332138, 'Z': -0.0655227079987526}, {'X': 0.7968302369117737, 'Y': 0.3044963479042053, 'Z': -0.03310195729136467}, {'X': 0.8208677768707275, 'Y': 0.2569516897201538, 'Z': -0.047449707984924316}, {'X': 0.8327884674072266, 'Y': 0.23257045447826385, 'Z': -0.060844484716653824}, {'X': 0.8424585461616516, 'Y': 0.2106676697731018, 'Z': -0.0716569572687149}]
[{'X': 0.715309739112854, 'Y': 0.4271322190761566, 'Z': -0.00015778538363520056}, {'X': 0.6661955714225769, 'Y': 0.3942475914955139, 'Z': -0.04103558138012886}, {'X': 0.6390301585197449, 'Y': 0.3320205807685852, 'Z': -0.06441964954137802}, {'X': 0.6258113980293274, 'Y': 0.27899253368377686, 'Z': -0.08465634286403656}, {'X': 0.610812783241272, 'Y': 0.2448439598083496, 'Z': -0.10096285492181778}, {'X': 0.6993987560272217, 'Y': 0.25997355580329895, 'Z': -0.05669798329472542}, {'X': 0.6958585977554321, 'Y': 0.22209280729293823, 'Z': -0.08774392306804657}, {'X': 0.6953895092010498, 'Y': 0.253449022769928, 'Z': -0.10471875220537186}, {'X': 0.6966171860694885, 'Y': 0.28158342838287354, 'Z': -0.11656422168016434}, {'X': 0.7353143095970154, 'Y': 0.26254943013191223, 'Z': -0.05449546501040459}, {'X': 0.7508928775787354, 'Y': 0.1827843338251114, 'Z': -0.06989213824272156}, {'X': 0.7589329481124878, 'Y': 0.13548745214939117, 'Z': -0.0883924812078476}, {'X': 0.7642368674278259, 'Y': 0.09744372963905334, 'Z': -0.1099296510219574}, {'X': 0.7654091715812683, 'Y': 0.2824438810348511, 'Z': -0.05415213853120804}, {'X': 0.783992350101471, 'Y': 0.2144971489906311, 'Z': -0.06757558882236481}, {'X': 0.7915794849395752, 'Y': 0.17986838519573212, 'Z': -0.08230579644441605}, {'X': 0.7951858043670654, 'Y': 0.15588226914405823, 'Z': -0.09879888594150543}, {'X': 0.7908597588539124, 'Y': 0.31424614787101746, 'Z': -0.059446826577186584}, {'X': 0.8141210675239563, 'Y': 0.26483941078186035, 'Z': -0.07451843470335007}, {'X': 0.8223116397857666, 'Y': 0.23812304437160492, 'Z': -0.08760350197553635}, {'X': 0.826531708240509, 'Y': 0.2165939211845398, 'Z': -0.1019519791007042}]
[{'X': 0.7152896523475647, 'Y': 0.41076263785362244, 'Z': -9.790931653697044e-05}, {'X': 0.6757234930992126, 'Y': 0.37181898951530457, 'Z': -0.031006596982479095}, {'X': 0.6568891406059265, 'Y': 0.3162628412246704, 'Z': -0.05275169387459755}, {'X': 0.6441083550453186, 'Y': 0.27286574244499207, 'Z': -0.07487795501947403}, {'X': 0.6276724338531494, 'Y': 0.23803013563156128, 'Z': -0.0967479720711708}, {'X': 0.7077675461769104, 'Y': 0.2723936438560486, 'Z': -0.047739021480083466}, {'X': 0.7086407542228699, 'Y': 0.24907897412776947, 'Z': -0.08789732307195663}, {'X': 0.7080417275428772, 'Y': 0.28405189514160156, 'Z': -0.09738868474960327}, {'X': 0.7071049809455872, 'Y': 0.32048743963241577, 'Z': -0.09418564289808273}, {'X': 0.7371982336044312, 'Y': 0.273112416267395, 'Z': -0.0471385158598423}, {'X': 0.7507792115211487, 'Y': 0.20260022580623627, 'Z': -0.07165040820837021}, {'X': 0.75640469789505, 'Y': 0.15939119458198547, 'Z': -0.0882868692278862}, {'X': 0.7590829133987427, 'Y': 0.12434121966362, 'Z': -0.10335243493318558}, {'X': 0.7627955079078674, 'Y': 0.2904282212257385, 'Z': -0.04956350848078728}, {'X': 0.784141480922699, 'Y': 0.22285723686218262, 'Z': -0.0673338994383812}, {'X': 0.7949652075767517, 'Y': 0.19112175703048706, 'Z': -0.08022991567850113}, {'X': 0.8014689683914185, 'Y': 0.16647696495056152, 'Z': -0.08844290673732758}, {'X': 0.7849472165107727, 'Y': 0.31693917512893677, 'Z': -0.05649616941809654}, {'X': 0.809475302696228, 'Y': 0.2694380283355713, 'Z': -0.07343624532222748}, {'X': 0.8192245960235596, 'Y': 0.24204331636428833, 'Z': -0.08429770916700363}, {'X': 0.8233908414840698, 'Y': 0.2156693935394287, 'Z': -0.09204361587762833}]
