[{'X': 0.6758596897125244, 'Y': 0.6194576025009155, 'Z': 1.8285610394741525e-06}, {'X': 0.6252508759498596, 'Y': 0.5974271297454834, 'Z': -0.043339572846889496}, {'X': 0.5948342680931091, 'Y': 0.5577983856201172, 'Z': -0.07340287417173386}, {'X': 0.5761992931365967, 'Y': 0.517530083656311, 'Z': -0.10414125770330429}, {'X': 0.5565643310546875, 'Y': 0.48556676506996155, 'Z': -0.13469092547893524}, {'X': 0.6361958384513855, 'Y': 0.4618557095527649, 'Z': -0.04534708335995674}, {'X': 0.6199617981910706, 'Y': 0.39787232875823975, 'Z': -0.07185832411050797}, {'X': 0.6059169769287109, 'Y': 0.3617956042289734, 'Z': -0.0974409282207489}, {'X': 0.5924347043037415, 'Y': 0.33031564950942993, 'Z': -0.1140093058347702}, {'X': 0.6698179244995117, 'Y': 0.45849424600601196, 'Z': -0.045979369431734085}, {'X': 0.673039436340332, 'Y': 0.38626933097839355, 'Z': -0.0671943724155426}, {'X': 0.6769996285438538, 'Y': 0.3368518352508545, 'Z': -0.09383885562419891}, {'X': 0.6804686784744263, 'Y': 0.29355883598327637, 'Z': -0.11397354304790497}, {'X': 0.699757993221283, 'Y': 0.47413042187690735, 'Z': -0.04997991770505905}, {'X': 0.7101272940635681, 'Y': 0.4094627797603607, 'Z': -0.07049404084682465}, {'X': 0.7158277034759521, 'Y': 0.36468958854675293, 'Z': -0.0931779146194458}, {'X': 0.716640055179596, 'Y': 0.3248139023780823, 'Z': -0.11217238754034042}, {'X': 0.7289876341819763, 'Y': 0.5030235648155212, 'Z': -0.05834447592496872}, {'X': 0.7469007968902588, 'Y': 0.45650559663772583, 'Z': -0.08268658071756363}, {'X': 0.7565532326698303, 'Y': 0.4221861958503723, 'Z': -0.09658414870500565}, {'X': 0.7620359659194946, 'Y': 0.38789671659469604, 'Z': -0.10788245499134064}]
[{'X': 0.6785959601402283, 'Y': 0.6031051874160767, 'Z': -2.8168762582936324e-05}, {'X': 0.62949138879776, 'Y': 0.5995724201202393, 'Z': -0.04326359182596207}, {'X': 0.5963637828826904, 'Y': 0.5628926753997803, 'Z': -0.07012378424406052}, {'X': 0.5767982602119446, 'Y': 0.5237823724746704, 'Z': -0.09361924231052399}, {'X': 0.561249852180481, 'Y': 0.49015238881111145, 'Z': -0.11566266417503357}, {'X': 0.6354832053184509, 'Y': 0.46307262778282166, 'Z': -0.04600635915994644}, {'X': 0.6202094554901123, 'Y': 0.40009966492652893, 'Z': -0.07362330704927444}, {'X': 0.606837272644043, 'Y': 0.36432644724845886, 'Z': -0.09973879903554916}, {'X': 0.5942190885543823, 'Y': 0.3357831835746765, 'Z': -0.11751848459243774}, {'X': 0.668731689453125, 'Y': 0.4572944641113281, 'Z': -0.04424915090203285}, {'X': 0.673288106918335, 'Y': 0.390963077545166, 'Z': -0.060655780136585236}, {'X': 0.6765597462654114, 'Y': 0.3458579480648041, 'Z': -0.08323346078395844}, {'X': 0.6801059246063232, 'Y': 0.30685901641845703, 'Z': -0.10180239379405975}, {'X': 0.698487401008606, 'Y': 0.47007250785827637, 'Z': -0.04803534597158432}, {'X': 0.7074905037879944, 'Y': 0.40748530626296997, 'Z': -0.06473042815923691}, {'X': 0.714353621006012, 'Y': 0.36688730120658875, 'Z': -0.08448243141174316}, {'X': 0.7180467844009399, 'Y': 0.33023619651794434, 'Z': -0.1011289432644844}, {'X': 0.7266334891319275, 'Y': 0.49668294191360474, 'Z': -0.0552796833217144}, {'X': 0.7444292306900024, 'Y': 0.45424404740333557, 'Z': -0.07397826761007309}, {'X': 0.7566962242126465, 'Y': 0.4251987338066101, 'Z': -0.08746962249279022}, {'X': 0.7652344107627869, 'Y': 0.3965495824813843, 'Z': -0.09785196185112}]
[{'X': 0.6801835298538208, 'Y': 0.605654239654541, 'Z': -2.0747746020788327e-05}, {'X': 0.630553662776947, 'Y': 0.6014214158058167, 'Z': -0.04823175072669983}, {'X': 0.5986132025718689, 'Y': 0.5634816288948059, 'Z': -0.0799083337187767}, {'X': 0.5782458186149597, 'Y': 0.5256169438362122, 'Z': -0.10743600875139236}, {'X': 0.5583320260047913, 'Y': 0.49125996232032776, 'Z': -0.13498258590698242}, {'X': 0.634696900844574, 'Y': 0.4644080102443695, 'Z': -0.05528814345598221}, {'X': 0.6207172870635986, 'Y': 0.4041311740875244, 'Z': -0.08195850998163223}, {'X': 0.6087334156036377, 'Y': 0.36402392387390137, 'Z': -0.10749837756156921}, {'X': 0.5977250933647156, 'Y': 0.32766860723495483, 'Z': -0.12682580947875977}, {'X': 0.6689255237579346, 'Y': 0.4582519829273224, 'Z': -0.052452683448791504}, {'X': 0.6751803159713745, 'Y': 0.39883893728256226, 'Z': -0.072259321808815}, {'X': 0.6813950538635254, 'Y': 0.35579466819763184, 'Z': -0.09264092147350311}, {'X': 0.687250554561615, 'Y': 0.3197360038757324, 'Z': -0.10801395773887634}, {'X': 0.698611319065094, 'Y': 0.4701767563819885, 'Z': -0.05506552755832672}, {'X': 0.708736777305603, 'Y': 0.4117428660392761, 'Z': -0.07519837468862534}, {'X': 0.7173793315887451, 'Y': 0.37039637565612793, 'Z': -0.09458797425031662}, {'X': 0.7224034070968628, 'Y': 0.33433568477630615, 'Z': -0.10953142493963242}, {'X': 0.726770281791687, 'Y': 0.49641716480255127, 'Z': -0.06293538212776184}, {'X': 0.7447987198829651, 'Y': 0.45191818475723267, 'Z': -0.07952321320772171}, {'X': 0.7571156620979309, 'Y': 0.4236592650413513, 'Z': -0.08875109255313873}, {'X': 0.7665336728096008, 'Y': 0.39528581500053406, 'Z': -0.09687593579292297}]
[{'X': 0.6751203536987305, 'Y': 0.6216074228286743, 'Z': -4.0384740714216605e-05}, {'X': 0.6265902519226074, 'Y': 0.5947762131690979, 'Z': -0.027167316526174545}, {'X': 0.5905665159225464, 'Y': 0.5609737038612366, 'Z': -0.05513403192162514}, {'X': 0.5643690228462219, 'Y': 0.5278087854385376, 'Z': -0.07855553179979324}, {'X': 0.5482432246208191, 'Y': 0.49347856640815735, 'Z': -0.10039537400007248}, {'X': 0.6232114434242249, 'Y': 0.4862241744995117, 'Z': -0.08548609167337418}, {'X': 0.6128401756286621, 'Y': 0.4236391484737396, 'Z': -0.12153373658657074}, {'X': 0.6077402234077454, 'Y': 0.3822956383228302, 'Z': -0.14024348556995392}, {'X': 0.6023373603820801, 'Y': 0.34663116931915283, 'Z': -0.15661461651325226}, {'X': 0.6471241116523743, 'Y': 0.4956430196762085, 'Z': -0.09326986223459244}, {'X': 0.659011721611023, 'Y': 0.4572121500968933, 'Z': -0.1416277140378952}, {'X': 0.6737509965896606, 'Y': 0.45430368185043335, 'Z': -0.165885329246521}, {'X': 0.6873652935028076, 'Y': 0.4561816453933716, 'Z': -0.18053403496742249}, {'X': 0.6667044162750244, 'Y': 0.518072783946991, 'Z': -0.10182344913482666}, {'X': 0.6743957996368408, 'Y': 0.493482768535614, 'Z': -0.14604781568050385}, {'X': 0.6896300315856934, 'Y': 0.4948321282863617, 'Z': -0.17342965304851532}, {'X': 0.7029399275779724, 'Y': 0.5034357309341431, 'Z': -0.1883022040128708}, {'X': 0.6831799149513245, 'Y': 0.5459457039833069, 'Z': -0.10985087603330612}, {'X': 0.6874297261238098, 'Y': 0.5370213389396667, 'Z': -0.14628192782402039}, {'X': 0.6990596652030945, 'Y': 0.5351219773292542, 'Z': -0.17403776943683624}, {'X': 0.706261396408081, 'Y': 0.5365437269210815, 'Z': -0.1945069432258606}]
[{'X': 0.6751203536987305, 'Y': 0.6216074228286743, 'Z': -4.0384740714216605e-05}, {'X': 0.6265902519226074, 'Y': 0.5947762131690979, 'Z': -0.027167316526174545}, {'X': 0.5905665159225464, 'Y': 0.5609737038612366, 'Z': -0.05513403192162514}, {'X': 0.5643690228462219, 'Y': 0.5278087854385376, 'Z': -0.07855553179979324}, {'X': 0.5482432246208191, 'Y': 0.49347856640815735, 'Z': -0.10039537400007248}, {'X': 0.6232114434242249, 'Y': 0.4862241744995117, 'Z': -0.08548609167337418}, {'X': 0.6128401756286621, 'Y': 0.4236391484737396, 'Z': -0.12153373658657074}, {'X': 0.6077402234077454, 'Y': 0.3822956383228302, 'Z': -0.14024348556995392}, {'X': 0.6023373603820801, 'Y': 0.34663116931915283, 'Z': -0.15661461651325226}, {'X': 0.6471241116523743, 'Y': 0.4956430196762085, 'Z': -0.09326986223459244}, {'X': 0.659011721611023, 'Y': 0.4572121500968933, 'Z': -0.1416277140378952}, {'X': 0.6737509965896606, 'Y': 0.45430368185043335, 'Z': -0.165885329246521}, {'X': 0.6873652935028076, 'Y': 0.4561816453933716, 'Z': -0.18053403496742249}, {'X': 0.6667044162750244, 'Y': 0.518072783946991, 'Z': -0.10182344913482666}, {'X': 0.6743957996368408, 'Y': 0.493482768535614, 'Z': -0.14604781568050385}, {'X': 0.6896300315856934, 'Y': 0.4948321282863617, 'Z': -0.17342965304851532}, {'X': 0.7029399275779724, 'Y': 0.5034357309341431, 'Z': -0.1883022040128708}, {'X': 0.6831799149513245, 'Y': 0.5459457039833069, 'Z': -0.10985087603330612}, {'X': 0.6874297261238098, 'Y': 0.5370213389396667, 'Z': -0.14628192782402039}, {'X': 0.6990596652030945, 'Y': 0.5351219773292542, 'Z': -0.17403776943683624}, {'X': 0.706261396408081, 'Y': 0.5365437269210815, 'Z': -0.1945069432258606}]
[{'X': 0.6766285300254822, 'Y': 0.6227551698684692, 'Z': -2.3925709683680907e-05}, {'X': 0.6276929378509521, 'Y': 0.5965715646743774, 'Z': -0.035402584820985794}, {'X': 0.5954942107200623, 'Y': 0.555700957775116, 'Z': -0.05854500085115433}, {'X': 0.5758299231529236, 'Y': 0.5141792893409729, 'Z': -0.08346202224493027}, {'X': 0.5579538941383362, 'Y': 0.48426809906959534, 'Z': -0.10717514157295227}, {'X': 0.6373564004898071, 'Y': 0.4604894816875458, 'Z': -0.03706944361329079}, {'X': 0.620474636554718, 'Y': 0.3928906321525574, 'Z': -0.0629868283867836}, {'X': 0.6084526181221008, 'Y': 0.3538395166397095, 'Z': -0.08853216469287872}, {'X': 0.5978081822395325, 'Y': 0.3199106752872467, 'Z': -0.10451996326446533}, {'X': 0.6718463897705078, 'Y': 0.4552050828933716, 'Z': -0.037818409502506256}, {'X': 0.6739364266395569, 'Y': 0.381259024143219, 'Z': -0.057299092411994934}, {'X': 0.6750263571739197, 'Y': 0.3326212167739868, 'Z': -0.08426740765571594}, {'X': 0.6768016815185547, 'Y': 0.29196715354919434, 'Z': -0.10449746996164322}, {'X': 0.7022813558578491, 'Y': 0.4682154655456543, 'Z': -0.04292020946741104}, {'X': 0.7132633328437805, 'Y': 0.4052901268005371, 'Z': -0.06264487653970718}, {'X': 0.7184627652168274, 'Y': 0.36090970039367676, 'Z': -0.08850855380296707}, {'X': 0.720339834690094, 'Y': 0.32425278425216675, 'Z': -0.11026124656200409}, {'X': 0.7306893467903137, 'Y': 0.49369102716445923, 'Z': -0.050823502242565155}, {'X': 0.750569760799408, 'Y': 0.4477112591266632, 'Z': -0.07584453374147415}, {'X': 0.7606343030929565, 'Y': 0.41582924127578735, 'Z': -0.09310329705476761}, {'X': 0.7669208645820618, 'Y': 0.38536307215690613, 'Z': -0.10654532164335251}]
[{'X': 0.6763092875480652, 'Y': 0.6167619228363037, 'Z': -2.3277054424397647e-05}, {'X': 0.6286382675170898, 'Y': 0.594805121421814, 'Z': -0.04330498352646828}, {'X': 0.5993325710296631, 'Y': 0.5542042255401611, 'Z': -0.07341061532497406}, {'X': 0.5805308222770691, 'Y': 0.5125958323478699, 'Z': -0.1037207841873169}, {'X': 0.5608854293823242, 'Y': 0.4797229766845703, 'Z': -0.13307565450668335}, {'X': 0.6365540027618408, 'Y': 0.46381446719169617, 'Z': -0.04999571666121483}, {'X': 0.6202265620231628, 'Y': 0.3973614573478699, 'Z': -0.07686711102724075}, {'X': 0.6087154746055603, 'Y': 0.3580669164657593, 'Z': -0.10195625573396683}, {'X': 0.5982348918914795, 'Y': 0.3232887387275696, 'Z': -0.11721189320087433}, {'X': 0.6704505085945129, 'Y': 0.460985004901886, 'Z': -0.04989785701036453}, {'X': 0.6742497086524963, 'Y': 0.3884180188179016, 'Z': -0.07000599056482315}, {'X': 0.6789612770080566, 'Y': 0.33883368968963623, 'Z': -0.0947132408618927}, {'X': 0.6829360723495483, 'Y': 0.2960638999938965, 'Z': -0.11346317082643509}, {'X': 0.7006159424781799, 'Y': 0.4759409427642822, 'Z': -0.052907269448041916}, {'X': 0.7133432626724243, 'Y': 0.4108600914478302, 'Z': -0.07294958084821701}, {'X': 0.7218900322914124, 'Y': 0.36672669649124146, 'Z': -0.09541117399930954}, {'X': 0.7250955104827881, 'Y': 0.3277651369571686, 'Z': -0.11472385376691818}, {'X': 0.7290423512458801, 'Y': 0.5031439661979675, 'Z': -0.060089170932769775}, {'X': 0.7489734888076782, 'Y': 0.45706596970558167, 'Z': -0.08307145535945892}, {'X': 0.7594903111457825, 'Y': 0.42411673069000244, 'Z': -0.09810871630907059}, {'X': 0.7654144763946533, 'Y': 0.3912392556667328, 'Z': -0.11047221720218658}]
[{'X': 0.6776463389396667, 'Y': 0.6121753454208374, 'Z': -2.5595367333153263e-05}, {'X': 0.636172354221344, 'Y': 0.5990260243415833, 'Z': -0.06398606300354004}, {'X': 0.6119564175605774, 'Y': 0.5652967691421509, 'Z': -0.10348732024431229}, {'X': 0.6016331315040588, 'Y': 0.5418680310249329, 'Z': -0.1401607245206833}, {'X': 0.5913501977920532, 'Y': 0.5208072662353516, 'Z': -0.1782376617193222}, {'X': 0.6337772011756897, 'Y': 0.4709410071372986, 'Z': -0.06552504003047943}, {'X': 0.626674473285675, 'Y': 0.42127180099487305, 'Z': -0.09235244244337082}, {'X': 0.6212344169616699, 'Y': 0.38847115635871887, 'Z': -0.12403281033039093}, {'X': 0.6145795583724976, 'Y': 0.36025145649909973, 'Z': -0.14730075001716614}, {'X': 0.6689356565475464, 'Y': 0.4695064425468445, 'Z': -0.05554809421300888}, {'X': 0.6736763119697571, 'Y': 0.426943838596344, 'Z': -0.0858292505145073}, {'X': 0.6773439049720764, 'Y': 0.4065333306789398, 'Z': -0.12019217014312744}, {'X': 0.6777403354644775, 'Y': 0.3972448706626892, 'Z': -0.14616245031356812}, {'X': 0.6999372243881226, 'Y': 0.48017194867134094, 'Z': -0.051636673510074615}, {'X': 0.7100285291671753, 'Y': 0.4347485303878784, 'Z': -0.07267194986343384}, {'X': 0.7178823947906494, 'Y': 0.41590654850006104, 'Z': -0.09791192412376404}, {'X': 0.7210336923599243, 'Y': 0.4042499363422394, 'Z': -0.11778394877910614}, {'X': 0.728508472442627, 'Y': 0.4981796443462372, 'Z': -0.055085986852645874}, {'X': 0.747687816619873, 'Y': 0.4578935503959656, 'Z': -0.07179025560617447}, {'X': 0.7626436352729797, 'Y': 0.4325512647628784, 'Z': -0.08700423687696457}, {'X': 0.7726572751998901, 'Y': 0.4056241512298584, 'Z': -0.10321761667728424}]
[{'X': 0.6756994724273682, 'Y': 0.6063119173049927, 'Z': -2.3987242457224056e-05}, {'X': 0.6305221915245056, 'Y': 0.5873100757598877, 'Z': -0.04943017661571503}, {'X': 0.6021543741226196, 'Y': 0.5462252497673035, 'Z': -0.08048103004693985}, {'X': 0.5928157567977905, 'Y': 0.5026917457580566, 'Z': -0.10766857862472534}, {'X': 0.5845953822135925, 'Y': 0.4648708701133728, 'Z': -0.1330561339855194}, {'X': 0.6358296275138855, 'Y': 0.4601297080516815, 'Z': -0.054850008338689804}, {'X': 0.6233891248703003, 'Y': 0.40060824155807495, 'Z': -0.08321588486433029}, {'X': 0.6164520978927612, 'Y': 0.362093448638916, 'Z': -0.11047536879777908}, {'X': 0.6121113896369934, 'Y': 0.33010172843933105, 'Z': -0.13014736771583557}, {'X': 0.670258104801178, 'Y': 0.4556415379047394, 'Z': -0.049256931990385056}, {'X': 0.678347110748291, 'Y': 0.39193838834762573, 'Z': -0.06662679463624954}, {'X': 0.6853488683700562, 'Y': 0.34960561990737915, 'Z': -0.08883915841579437}, {'X': 0.6934576034545898, 'Y': 0.31158018112182617, 'Z': -0.10719223320484161}, {'X': 0.7005226016044617, 'Y': 0.47012004256248474, 'Z': -0.049740586429834366}, {'X': 0.7150886058807373, 'Y': 0.4123508930206299, 'Z': -0.06745465099811554}, {'X': 0.7261571884155273, 'Y': 0.37436503171920776, 'Z': -0.08922182768583298}, {'X': 0.7335906028747559, 'Y': 0.33942508697509766, 'Z': -0.10862991958856583}, {'X': 0.7287065982818604, 'Y': 0.49657896161079407, 'Z': -0.053926896303892136}, {'X': 0.7484208345413208, 'Y': 0.4574272930622101, 'Z': -0.0690455362200737}, {'X': 0.7605454325675964, 'Y': 0.4323004186153412, 'Z': -0.08281752467155457}, {'X': 0.7685422301292419, 'Y': 0.40620023012161255, 'Z': -0.09500953555107117}]
[{'X': 0.6731308102607727, 'Y': 0.6088142395019531, 'Z': -3.2950749300653115e-05}, {'X': 0.6284460425376892, 'Y': 0.5912818908691406, 'Z': -0.04768206179141998}, {'X': 0.6054778099060059, 'Y': 0.5450511574745178, 'Z': -0.0779634341597557}, {'X': 0.5975010395050049, 'Y': 0.5035042762756348, 'Z': -0.10399889200925827}, {'X': 0.590821385383606, 'Y': 0.46503815054893494, 'Z': -0.127231165766716}, {'X': 0.6415911912918091, 'Y': 0.4758557677268982, 'Z': -0.05621062219142914}, {'X': 0.6341153979301453, 'Y': 0.4281961917877197, 'Z': -0.08673901110887527}, {'X': 0.6256365180015564, 'Y': 0.3979729115962982, 'Z': -0.11794779449701309}, {'X': 0.6185253858566284, 'Y': 0.3753804564476013, 'Z': -0.14143680036067963}, {'X': 0.6732140779495239, 'Y': 0.4740076959133148, 'Z': -0.04876786470413208}, {'X': 0.6861523985862732, 'Y': 0.4191247522830963, 'Z': -0.07248839735984802}, {'X': 0.6960306167602539, 'Y': 0.3812903165817261, 'Z': -0.09797396510839462}, {'X': 0.7074705362319946, 'Y': 0.3484712243080139, 'Z': -0.11932297796010971}, {'X': 0.7004324197769165, 'Y': 0.4859924614429474, 'Z': -0.04691855236887932}, {'X': 0.7202656269073486, 'Y': 0.4371448755264282, 'Z': -0.06468668580055237}, {'X': 0.7364946007728577, 'Y': 0.40274375677108765, 'Z': -0.08522006869316101}, {'X': 0.7499286532402039, 'Y': 0.3720829486846924, 'Z': -0.10434700548648834}, {'X': 0.7253081798553467, 'Y': 0.5068204998970032, 'Z': -0.049527257680892944}, {'X': 0.7450657486915588, 'Y': 0.46391770243644714, 'Z': -0.061374180018901825}, {'X': 0.7582998275756836, 'Y': 0.4361814856529236, 'Z': -0.07215892523527145}, {'X': 0.7695772051811218, 'Y': 0.4098045527935028, 'Z': -0.08324828743934631}]
[{'X': 0.6731308102607727, 'Y': 0.6088142395019531, 'Z': -3.2950749300653115e-05}, {'X': 0.6284460425376892, 'Y': 0.5912818908691406, 'Z': -0.04768206179141998}, {'X': 0.6054778099060059, 'Y': 0.5450511574745178, 'Z': -0.0779634341597557}, {'X': 0.5975010395050049, 'Y': 0.5035042762756348, 'Z': -0.10399889200925827}, {'X': 0.590821385383606, 'Y': 0.46503815054893494, 'Z': -0.127231165766716}, {'X': 0.6415911912918091, 'Y': 0.4758557677268982, 'Z': -0.05621062219142914}, {'X': 0.6341153979301453, 'Y': 0.4281961917877197, 'Z': -0.08673901110887527}, {'X': 0.6256365180015564, 'Y': 0.3979729115962982, 'Z': -0.11794779449701309}, {'X': 0.6185253858566284, 'Y': 0.3753804564476013, 'Z': -0.14143680036067963}, {'X': 0.6732140779495239, 'Y': 0.4740076959133148, 'Z': -0.04876786470413208}, {'X': 0.6861523985862732, 'Y': 0.4191247522830963, 'Z': -0.07248839735984802}, {'X': 0.6960306167602539, 'Y': 0.3812903165817261, 'Z': -0.09797396510839462}, {'X': 0.7074705362319946, 'Y': 0.3484712243080139, 'Z': -0.11932297796010971}, {'X': 0.7004324197769165, 'Y': 0.4859924614429474, 'Z': -0.04691855236887932}, {'X': 0.7202656269073486, 'Y': 0.4371448755264282, 'Z': -0.06468668580055237}, {'X': 0.7364946007728577, 'Y': 0.40274375677108765, 'Z': -0.08522006869316101}, {'X': 0.7499286532402039, 'Y': 0.3720829486846924, 'Z': -0.10434700548648834}, {'X': 0.7253081798553467, 'Y': 0.5068204998970032, 'Z': -0.049527257680892944}, {'X': 0.7450657486915588, 'Y': 0.46391770243644714, 'Z': -0.061374180018901825}, {'X': 0.7582998275756836, 'Y': 0.4361814856529236, 'Z': -0.07215892523527145}, {'X': 0.7695772051811218, 'Y': 0.4098045527935028, 'Z': -0.08324828743934631}]
