[{'X': 0.6858327388763428, 'Y': 0.6705036163330078, 'Z': -5.4887583246454597e-05}, {'X': 0.6352958679199219, 'Y': 0.6516451835632324, 'Z': -0.03310403600335121}, {'X': 0.6015034914016724, 'Y': 0.6146069765090942, 'Z': -0.05102487653493881}, {'X': 0.578461766242981, 'Y': 0.576738715171814, 'Z': -0.06984496861696243}, {'X': 0.555174708366394, 'Y': 0.5448429584503174, 'Z': -0.08330200612545013}, {'X': 0.6403946280479431, 'Y': 0.5239916443824768, 'Z': -0.03173185512423515}, {'X': 0.622316837310791, 'Y': 0.46290555596351624, 'Z': -0.05825179070234299}, {'X': 0.6062467694282532, 'Y': 0.43416693806648254, 'Z': -0.08128001540899277}, {'X': 0.5912696123123169, 'Y': 0.4096646010875702, 'Z': -0.09523579478263855}, {'X': 0.6733177900314331, 'Y': 0.5152978301048279, 'Z': -0.03194722533226013}, {'X': 0.6754857301712036, 'Y': 0.4417690634727478, 'Z': -0.047074612230062485}, {'X': 0.6792764067649841, 'Y': 0.3996264636516571, 'Z': -0.06758711487054825}, {'X': 0.6817726492881775, 'Y': 0.36326080560684204, 'Z': -0.08181224763393402}, {'X': 0.7019256949424744, 'Y': 0.5257610082626343, 'Z': -0.03657558187842369}, {'X': 0.7123527526855469, 'Y': 0.4647010862827301, 'Z': -0.05107858031988144}, {'X': 0.7192659378051758, 'Y': 0.42627277970314026, 'Z': -0.0654391199350357}, {'X': 0.7202404737472534, 'Y': 0.39474034309387207, 'Z': -0.07502046227455139}, {'X': 0.7293974757194519, 'Y': 0.5493921637535095, 'Z': -0.04338502511382103}, {'X': 0.7471839785575867, 'Y': 0.5061904191970825, 'Z': -0.06076357886195183}, {'X': 0.7575249671936035, 'Y': 0.4791083037853241, 'Z': -0.06738784164190292}, {'X': 0.7622249722480774, 'Y': 0.4529808759689331, 'Z': -0.06729914993047714}]
[{'X': 0.6756027936935425, 'Y': 0.6773558259010315, 'Z': -5.342893928172998e-05}, {'X': 0.6290990114212036, 'Y': 0.6524787545204163, 'Z': -0.027845680713653564}, {'X': 0.5974776744842529, 'Y': 0.612450897693634, 'Z': -0.03906555473804474}, {'X': 0.5754081010818481, 'Y': 0.5708281397819519, 'Z': -0.05141554772853851}, {'X': 0.5550816059112549, 'Y': 0.5376657247543335, 'Z': -0.056209154427051544}, {'X': 0.6359127759933472, 'Y': 0.523969292640686, 'Z': -0.021908972412347794}, {'X': 0.6164157390594482, 'Y': 0.46124982833862305, 'Z': -0.04477353021502495}, {'X': 0.6005721092224121, 'Y': 0.4276351034641266, 'Z': -0.0659465566277504}, {'X': 0.5859776735305786, 'Y': 0.395928293466568, 'Z': -0.07974127680063248}, {'X': 0.668274998664856, 'Y': 0.516975998878479, 'Z': -0.023166324943304062}, {'X': 0.6710630059242249, 'Y': 0.4411892890930176, 'Z': -0.03556852042675018}, {'X': 0.6768769025802612, 'Y': 0.4002312421798706, 'Z': -0.05572343245148659}, {'X': 0.6801323890686035, 'Y': 0.3668518662452698, 'Z': -0.07017333805561066}, {'X': 0.696410596370697, 'Y': 0.5284519195556641, 'Z': -0.029767975211143494}, {'X': 0.705894410610199, 'Y': 0.46536627411842346, 'Z': -0.04421982541680336}, {'X': 0.713476300239563, 'Y': 0.4267082214355469, 'Z': -0.05759737640619278}, {'X': 0.7132899165153503, 'Y': 0.39454805850982666, 'Z': -0.06772267073392868}, {'X': 0.723901093006134, 'Y': 0.5532169342041016, 'Z': -0.03784170001745224}, {'X': 0.7424765825271606, 'Y': 0.5099110007286072, 'Z': -0.054959580302238464}, {'X': 0.7538044452667236, 'Y': 0.4823707342147827, 'Z': -0.06328249722719193}, {'X': 0.7580713033676147, 'Y': 0.4553588926792145, 'Z': -0.06467294692993164}]
[{'X': 0.6691721677780151, 'Y': 0.6818839311599731, 'Z': -2.2901383999851532e-05}, {'X': 0.6226714253425598, 'Y': 0.6527130007743835, 'Z': -0.027772434055805206}, {'X': 0.5909018516540527, 'Y': 0.6110166311264038, 'Z': -0.039750970900058746}, {'X': 0.5694206953048706, 'Y': 0.570442259311676, 'Z': -0.0525425560772419}, {'X': 0.5509494543075562, 'Y': 0.5400746464729309, 'Z': -0.05868227034807205}, {'X': 0.6325163245201111, 'Y': 0.5210182070732117, 'Z': -0.017332520335912704}, {'X': 0.6139639019966125, 'Y': 0.4590291976928711, 'Z': -0.03653445094823837}, {'X': 0.601791262626648, 'Y': 0.4275994300842285, 'Z': -0.058031026273965836}, {'X': 0.5915964841842651, 'Y': 0.40128278732299805, 'Z': -0.07136828452348709}, {'X': 0.6645052433013916, 'Y': 0.5140039324760437, 'Z': -0.017597714439034462}, {'X': 0.6688280701637268, 'Y': 0.4372069239616394, 'Z': -0.02642872743308544}, {'X': 0.6727640628814697, 'Y': 0.3965054750442505, 'Z': -0.04565015435218811}, {'X': 0.6752040982246399, 'Y': 0.3647056221961975, 'Z': -0.058966610580682755}, {'X': 0.6914615631103516, 'Y': 0.5255967378616333, 'Z': -0.023504136130213737}, {'X': 0.70485919713974, 'Y': 0.4622124135494232, 'Z': -0.032505836337804794}, {'X': 0.7119579315185547, 'Y': 0.42658546566963196, 'Z': -0.04842435196042061}, {'X': 0.7132629156112671, 'Y': 0.3973315954208374, 'Z': -0.06067134067416191}, {'X': 0.716507613658905, 'Y': 0.5511044263839722, 'Z': -0.03134745731949806}, {'X': 0.7375245094299316, 'Y': 0.5084664821624756, 'Z': -0.04574967548251152}, {'X': 0.7494438290596008, 'Y': 0.48182040452957153, 'Z': -0.0560205802321434}, {'X': 0.7567586302757263, 'Y': 0.4552578628063202, 'Z': -0.06181328371167183}]
[{'X': 0.66498863697052, 'Y': 0.684613823890686, 'Z': 8.123004590743221e-06}, {'X': 0.6200801134109497, 'Y': 0.6512622833251953, 'Z': -0.022528480738401413}, {'X': 0.5869933366775513, 'Y': 0.6070083975791931, 'Z': -0.03491324186325073}, {'X': 0.5639322400093079, 'Y': 0.5690485239028931, 'Z': -0.05019206553697586}, {'X': 0.5412803888320923, 'Y': 0.5412947535514832, 'Z': -0.06339023262262344}, {'X': 0.6280442476272583, 'Y': 0.5198138952255249, 'Z': -0.01856890507042408}, {'X': 0.6095072627067566, 'Y': 0.4592171013355255, 'Z': -0.038933031260967255}, {'X': 0.5979461073875427, 'Y': 0.42896661162376404, 'Z': -0.06313295662403107}, {'X': 0.5879144668579102, 'Y': 0.40293237566947937, 'Z': -0.08112992346286774}, {'X': 0.6594431400299072, 'Y': 0.5137283802032471, 'Z': -0.026010850444436073}, {'X': 0.6644525527954102, 'Y': 0.4380847215652466, 'Z': -0.039757706224918365}, {'X': 0.6672608852386475, 'Y': 0.39695942401885986, 'Z': -0.06522451341152191}, {'X': 0.6682969331741333, 'Y': 0.3662460148334503, 'Z': -0.0850420892238617}, {'X': 0.6861823797225952, 'Y': 0.5261542797088623, 'Z': -0.03703022003173828}, {'X': 0.7011827826499939, 'Y': 0.46156734228134155, 'Z': -0.05110502615571022}, {'X': 0.7074689269065857, 'Y': 0.42482519149780273, 'Z': -0.07282938063144684}, {'X': 0.7080423831939697, 'Y': 0.3959214985370636, 'Z': -0.09053036570549011}, {'X': 0.7105245590209961, 'Y': 0.5526639223098755, 'Z': -0.05037380009889603}, {'X': 0.7332075834274292, 'Y': 0.5092085599899292, 'Z': -0.07059407979249954}, {'X': 0.7443218231201172, 'Y': 0.48041588068008423, 'Z': -0.0841841772198677}, {'X': 0.7500911951065063, 'Y': 0.4535260498523712, 'Z': -0.09441975504159927}]
[{'X': 0.6633334159851074, 'Y': 0.666425347328186, 'Z': 1.882423930510413e-06}, {'X': 0.6167274117469788, 'Y': 0.6436426639556885, 'Z': -0.029945561662316322}, {'X': 0.5834043025970459, 'Y': 0.6035981178283691, 'Z': -0.04547423496842384}, {'X': 0.5615670084953308, 'Y': 0.5673507452011108, 'Z': -0.06356186419725418}, {'X': 0.5413709878921509, 'Y': 0.5429348945617676, 'Z': -0.07675834000110626}, {'X': 0.6231850385665894, 'Y': 0.5130777359008789, 'Z': -0.029332829639315605}, {'X': 0.6031123399734497, 'Y': 0.45433732867240906, 'Z': -0.050315674394369125}, {'X': 0.5913425087928772, 'Y': 0.42518487572669983, 'Z': -0.07103281468153}, {'X': 0.580376386642456, 'Y': 0.3996703028678894, 'Z': -0.08599705249071121}, {'X': 0.6553847789764404, 'Y': 0.5067399740219116, 'Z': -0.029890524223446846}, {'X': 0.657879114151001, 'Y': 0.4314090609550476, 'Z': -0.04240243509411812}, {'X': 0.6608595848083496, 'Y': 0.3933771848678589, 'Z': -0.06358008831739426}, {'X': 0.6625300049781799, 'Y': 0.3643699884414673, 'Z': -0.07758661359548569}, {'X': 0.682807981967926, 'Y': 0.5184186100959778, 'Z': -0.035306502133607864}, {'X': 0.6957311630249023, 'Y': 0.45540034770965576, 'Z': -0.04743890464305878}, {'X': 0.7017912864685059, 'Y': 0.42119351029396057, 'Z': -0.06558544933795929}, {'X': 0.7025831937789917, 'Y': 0.3933172821998596, 'Z': -0.07915060222148895}, {'X': 0.7085826992988586, 'Y': 0.5432131886482239, 'Z': -0.04327394440770149}, {'X': 0.728484570980072, 'Y': 0.49985170364379883, 'Z': -0.06241849064826965}, {'X': 0.7394993901252747, 'Y': 0.4744340777397156, 'Z': -0.0752839520573616}, {'X': 0.74561607837677, 'Y': 0.44985753297805786, 'Z': -0.08302941173315048}]
[{'X': 0.6633334159851074, 'Y': 0.666425347328186, 'Z': 1.882423930510413e-06}, {'X': 0.6167274117469788, 'Y': 0.6436426639556885, 'Z': -0.029945561662316322}, {'X': 0.5834043025970459, 'Y': 0.6035981178283691, 'Z': -0.04547423496842384}, {'X': 0.5615670084953308, 'Y': 0.5673507452011108, 'Z': -0.06356186419725418}, {'X': 0.5413709878921509, 'Y': 0.5429348945617676, 'Z': -0.07675834000110626}, {'X': 0.6231850385665894, 'Y': 0.5130777359008789, 'Z': -0.029332829639315605}, {'X': 0.6031123399734497, 'Y': 0.45433732867240906, 'Z': -0.050315674394369125}, {'X': 0.5913425087928772, 'Y': 0.42518487572669983, 'Z': -0.07103281468153}, {'X': 0.580376386642456, 'Y': 0.3996703028678894, 'Z': -0.08599705249071121}, {'X': 0.6553847789764404, 'Y': 0.5067399740219116, 'Z': -0.029890524223446846}, {'X': 0.657879114151001, 'Y': 0.4314090609550476, 'Z': -0.04240243509411812}, {'X': 0.6608595848083496, 'Y': 0.3933771848678589, 'Z': -0.06358008831739426}, {'X': 0.6625300049781799, 'Y': 0.3643699884414673, 'Z': -0.07758661359548569}, {'X': 0.682807981967926, 'Y': 0.5184186100959778, 'Z': -0.035306502133607864}, {'X': 0.6957311630249023, 'Y': 0.45540034770965576, 'Z': -0.04743890464305878}, {'X': 0.7017912864685059, 'Y': 0.42119351029396057, 'Z': -0.06558544933795929}, {'X': 0.7025831937789917, 'Y': 0.3933172821998596, 'Z': -0.07915060222148895}, {'X': 0.7085826992988586, 'Y': 0.5432131886482239, 'Z': -0.04327394440770149}, {'X': 0.728484570980072, 'Y': 0.49985170364379883, 'Z': -0.06241849064826965}, {'X': 0.7394993901252747, 'Y': 0.4744340777397156, 'Z': -0.0752839520573616}, {'X': 0.74561607837677, 'Y': 0.44985753297805786, 'Z': -0.08302941173315048}]
[{'X': 0.6593682765960693, 'Y': 0.6644335389137268, 'Z': -3.735665086423978e-05}, {'X': 0.6125963926315308, 'Y': 0.6436541080474854, 'Z': -0.034623611718416214}, {'X': 0.5807240605354309, 'Y': 0.606529712677002, 'Z': -0.05308743566274643}, {'X': 0.5594093799591064, 'Y': 0.5719907879829407, 'Z': -0.07252410799264908}, {'X': 0.5401144623756409, 'Y': 0.5444520711898804, 'Z': -0.08708556741476059}, {'X': 0.6200200319290161, 'Y': 0.5177993774414062, 'Z': -0.030228562653064728}, {'X': 0.6021317839622498, 'Y': 0.4577370285987854, 'Z': -0.04846975579857826}, {'X': 0.5878552198410034, 'Y': 0.4294752776622772, 'Z': -0.06729479134082794}, {'X': 0.5752066969871521, 'Y': 0.4072326123714447, 'Z': -0.07989125698804855}, {'X': 0.6518149375915527, 'Y': 0.5116175413131714, 'Z': -0.028544476255774498}, {'X': 0.6576452851295471, 'Y': 0.43830379843711853, 'Z': -0.037826333194971085}, {'X': 0.6614012718200684, 'Y': 0.4007492959499359, 'Z': -0.05472636595368385}, {'X': 0.6634745597839355, 'Y': 0.3694456219673157, 'Z': -0.0670325830578804}, {'X': 0.6792042851448059, 'Y': 0.5228338241577148, 'Z': -0.032149892300367355}, {'X': 0.6892803311347961, 'Y': 0.46128034591674805, 'Z': -0.03892121464014053}, {'X': 0.6934905648231506, 'Y': 0.4234769940376282, 'Z': -0.05244428664445877}, {'X': 0.6927923560142517, 'Y': 0.39145010709762573, 'Z': -0.06310952454805374}, {'X': 0.7050933837890625, 'Y': 0.5466604232788086, 'Z': -0.03858571872115135}, {'X': 0.7236880660057068, 'Y': 0.5036014318466187, 'Z': -0.05132508650422096}, {'X': 0.7348162531852722, 'Y': 0.47729915380477905, 'Z': -0.059896618127822876}, {'X': 0.7419137358665466, 'Y': 0.4514036774635315, 'Z': -0.0652746632695198}]
[{'X': 0.6575689911842346, 'Y': 0.6669799089431763, 'Z': -3.8348913221852854e-05}, {'X': 0.6110619306564331, 'Y': 0.6481766700744629, 'Z': -0.03366127237677574}, {'X': 0.5791865587234497, 'Y': 0.6089176535606384, 'Z': -0.04960034042596817}, {'X': 0.5582650303840637, 'Y': 0.5709830522537231, 'Z': -0.06622482091188431}, {'X': 0.5391072630882263, 'Y': 0.5417288541793823, 'Z': -0.07679899036884308}, {'X': 0.617310643196106, 'Y': 0.5185372233390808, 'Z': -0.028991343453526497}, {'X': 0.5972088575363159, 'Y': 0.4571633040904999, 'Z': -0.046854883432388306}, {'X': 0.5859963893890381, 'Y': 0.42765334248542786, 'Z': -0.06475508958101273}, {'X': 0.5759515166282654, 'Y': 0.4017394185066223, 'Z': -0.07650116086006165}, {'X': 0.6491312384605408, 'Y': 0.5096508264541626, 'Z': -0.02665281668305397}, {'X': 0.6527277827262878, 'Y': 0.43454232811927795, 'Z': -0.03513295203447342}, {'X': 0.657245397567749, 'Y': 0.3980141282081604, 'Z': -0.05166247859597206}, {'X': 0.6601264476776123, 'Y': 0.3690989315509796, 'Z': -0.06278426945209503}, {'X': 0.6766473650932312, 'Y': 0.5198007822036743, 'Z': -0.030171798542141914}, {'X': 0.6884129643440247, 'Y': 0.457722932100296, 'Z': -0.0390770360827446}, {'X': 0.6949688196182251, 'Y': 0.42187264561653137, 'Z': -0.05485474690794945}, {'X': 0.6957471966743469, 'Y': 0.3920261263847351, 'Z': -0.06657513976097107}, {'X': 0.7025855183601379, 'Y': 0.5439355969429016, 'Z': -0.03654193505644798}, {'X': 0.7224738001823425, 'Y': 0.5027658343315125, 'Z': -0.05274123698472977}, {'X': 0.7349491715431213, 'Y': 0.47849276661872864, 'Z': -0.06334374845027924}, {'X': 0.7426879405975342, 'Y': 0.4542216658592224, 'Z': -0.06941112875938416}]
[{'X': 0.6586446762084961, 'Y': 0.6672999262809753, 'Z': -2.0768176909768954e-05}, {'X': 0.6109023094177246, 'Y': 0.6477195620536804, 'Z': -0.03623010963201523}, {'X': 0.5777769088745117, 'Y': 0.6079903841018677, 'Z': -0.05349154397845268}, {'X': 0.5559489727020264, 'Y': 0.5704225301742554, 'Z': -0.07094376534223557}, {'X': 0.5364735126495361, 'Y': 0.5424749255180359, 'Z': -0.08468795567750931}, {'X': 0.6159372329711914, 'Y': 0.5182671546936035, 'Z': -0.03034239448606968}, {'X': 0.5967388153076172, 'Y': 0.45741990208625793, 'Z': -0.0491015799343586}, {'X': 0.584791898727417, 'Y': 0.4256458580493927, 'Z': -0.06771159172058105}, {'X': 0.5736720561981201, 'Y': 0.3994617760181427, 'Z': -0.08050578087568283}, {'X': 0.6481543779373169, 'Y': 0.5107725262641907, 'Z': -0.026903826743364334}, {'X': 0.6499894261360168, 'Y': 0.43823182582855225, 'Z': -0.03635049983859062}, {'X': 0.6531781554222107, 'Y': 0.3981439471244812, 'Z': -0.05550698935985565}, {'X': 0.6554296612739563, 'Y': 0.36473482847213745, 'Z': -0.06986051052808762}, {'X': 0.6754503846168518, 'Y': 0.5216493606567383, 'Z': -0.028613468632102013}, {'X': 0.6849257946014404, 'Y': 0.46066832542419434, 'Z': -0.038017645478248596}, {'X': 0.6906342506408691, 'Y': 0.4234318733215332, 'Z': -0.0538511797785759}, {'X': 0.6918334364891052, 'Y': 0.3926312029361725, 'Z': -0.06651988625526428}, {'X': 0.7016203999519348, 'Y': 0.5451040863990784, 'Z': -0.03322550654411316}, {'X': 0.7197350859642029, 'Y': 0.5029621124267578, 'Z': -0.05005837231874466}, {'X': 0.7313091158866882, 'Y': 0.4776573181152344, 'Z': -0.059536922723054886}, {'X': 0.7386270761489868, 'Y': 0.453210711479187, 'Z': -0.06496652960777283}]
[{'X': 0.6550359725952148, 'Y': 0.6677455902099609, 'Z': -2.038819366134703e-05}, {'X': 0.6092270016670227, 'Y': 0.6461709141731262, 'Z': -0.03698184713721275}, {'X': 0.577506959438324, 'Y': 0.6060361862182617, 'Z': -0.05426379293203354}, {'X': 0.5564150214195251, 'Y': 0.5679053664207458, 'Z': -0.07116423547267914}, {'X': 0.5372530221939087, 'Y': 0.5385966897010803, 'Z': -0.08328370749950409}, {'X': 0.6157174110412598, 'Y': 0.5159427523612976, 'Z': -0.03174227103590965}, {'X': 0.5975231528282166, 'Y': 0.45419004559516907, 'Z': -0.04964565858244896}, {'X': 0.5861021280288696, 'Y': 0.42397114634513855, 'Z': -0.0688462108373642}, {'X': 0.5751495957374573, 'Y': 0.3982595205307007, 'Z': -0.08153004199266434}, {'X': 0.6478180289268494, 'Y': 0.5085800886154175, 'Z': -0.028449872508645058}, {'X': 0.6522281169891357, 'Y': 0.4347330331802368, 'Z': -0.03754931315779686}, {'X': 0.6563452482223511, 'Y': 0.3968102037906647, 'Z': -0.05679680034518242}, {'X': 0.6586422920227051, 'Y': 0.36666879057884216, 'Z': -0.07083828002214432}, {'X': 0.6748684048652649, 'Y': 0.5193941593170166, 'Z': -0.030621591955423355}, {'X': 0.6864525675773621, 'Y': 0.457595556974411, 'Z': -0.03884164243936539}, {'X': 0.6927694082260132, 'Y': 0.42081451416015625, 'Z': -0.05545977130532265}, {'X': 0.6936520934104919, 'Y': 0.39049771428108215, 'Z': -0.06859967857599258}, {'X': 0.7004050016403198, 'Y': 0.5440497398376465, 'Z': -0.03613194823265076}, {'X': 0.7197911143302917, 'Y': 0.5013036727905273, 'Z': -0.05093640089035034}, {'X': 0.7313416600227356, 'Y': 0.476049542427063, 'Z': -0.06089913472533226}, {'X': 0.7384659647941589, 'Y': 0.4512336850166321, 'Z': -0.06725572049617767}]
[{'X': 0.6574675440788269, 'Y': 0.6676144599914551, 'Z': -4.243417060934007e-05}, {'X': 0.608384907245636, 'Y': 0.6472134590148926, 'Z': -0.036713048815727234}, {'X': 0.576690673828125, 'Y': 0.6075460910797119, 'Z': -0.053489573299884796}, {'X': 0.5561171174049377, 'Y': 0.5684675574302673, 'Z': -0.07005143910646439}, {'X': 0.5372525453567505, 'Y': 0.5379714965820312, 'Z': -0.08118566870689392}, {'X': 0.6151216626167297, 'Y': 0.5187334418296814, 'Z': -0.029117748141288757}, {'X': 0.5966500639915466, 'Y': 0.4565112590789795, 'Z': -0.046717334538698196}, {'X': 0.5849747657775879, 'Y': 0.42678412795066833, 'Z': -0.06525666266679764}, {'X': 0.5741763114929199, 'Y': 0.4028145670890808, 'Z': -0.07780314236879349}, {'X': 0.6477656960487366, 'Y': 0.5109334588050842, 'Z': -0.024991273880004883}, {'X': 0.651913046836853, 'Y': 0.43788090348243713, 'Z': -0.032651327550411224}, {'X': 0.6571779847145081, 'Y': 0.39883431792259216, 'Z': -0.05126335099339485}, {'X': 0.6606617569923401, 'Y': 0.36674970388412476, 'Z': -0.06559587270021439}, {'X': 0.675114631652832, 'Y': 0.5214135050773621, 'Z': -0.026473943144083023}, {'X': 0.6863117814064026, 'Y': 0.46038055419921875, 'Z': -0.034007616341114044}, {'X': 0.6925708055496216, 'Y': 0.42398592829704285, 'Z': -0.04925660416483879}, {'X': 0.6935136914253235, 'Y': 0.3941919207572937, 'Z': -0.06133735924959183}, {'X': 0.7014137506484985, 'Y': 0.5444517135620117, 'Z': -0.030930157750844955}, {'X': 0.7200192809104919, 'Y': 0.5025882720947266, 'Z': -0.044760312885046005}, {'X': 0.7313060760498047, 'Y': 0.47653836011886597, 'Z': -0.05305266007781029}, {'X': 0.7380390167236328, 'Y': 0.4506937265396118, 'Z': -0.05719907954335213}]
