[{'X': 0.653732419013977, 'Y': 0.6973493695259094, 'Z': 1.8477030607755296e-05}, {'X': 0.6147204041481018, 'Y': 0.6755474209785461, 'Z': -0.035323601216077805}, {'X': 0.5870693922042847, 'Y': 0.6460794806480408, 'Z': -0.06158824637532234}, {'X': 0.5771002173423767, 'Y': 0.6150142550468445, 'Z': -0.08267880231142044}, {'X': 0.5829378366470337, 'Y': 0.5930445194244385, 'Z': -0.10028421133756638}, {'X': 0.6027191877365112, 'Y': 0.584691047668457, 'Z': -0.05526956915855408}, {'X': 0.5942099094390869, 'Y': 0.5545868277549744, 'Z': -0.08480371534824371}, {'X': 0.590227484703064, 'Y': 0.5455768704414368, 'Z': -0.10439445078372955}, {'X': 0.5860130190849304, 'Y': 0.5443073511123657, 'Z': -0.12090503424406052}, {'X': 0.6244961619377136, 'Y': 0.5752230286598206, 'Z': -0.051454346626996994}, {'X': 0.6165109276771545, 'Y': 0.5508324503898621, 'Z': -0.07618044316768646}, {'X': 0.6130800843238831, 'Y': 0.5434163808822632, 'Z': -0.09230422228574753}, {'X': 0.609144389629364, 'Y': 0.5422701835632324, 'Z': -0.10262011736631393}, {'X': 0.644124448299408, 'Y': 0.5745207071304321, 'Z': -0.049760740250349045}, {'X': 0.6370704770088196, 'Y': 0.5489913821220398, 'Z': -0.0673791766166687}, {'X': 0.6324658393859863, 'Y': 0.5403661131858826, 'Z': -0.07528170198202133}, {'X': 0.6269683837890625, 'Y': 0.5355141162872314, 'Z': -0.08049564063549042}, {'X': 0.6647595167160034, 'Y': 0.5807911157608032, 'Z': -0.05187920480966568}, {'X': 0.6603939533233643, 'Y': 0.5551028251647949, 'Z': -0.06556471437215805}, {'X': 0.6551213264465332, 'Y': 0.5461698770523071, 'Z': -0.07329269498586655}, {'X': 0.6475856304168701, 'Y': 0.5395443439483643, 'Z': -0.0799335390329361}]
[{'X': 0.6513586044311523, 'Y': 0.6579118371009827, 'Z': 3.299040599813452e-06}, {'X': 0.6175393462181091, 'Y': 0.6688988208770752, 'Z': -0.05383949354290962}, {'X': 0.5882611870765686, 'Y': 0.6519173383712769, 'Z': -0.08903223276138306}, {'X': 0.5799626111984253, 'Y': 0.6260029077529907, 'Z': -0.11790376901626587}, {'X': 0.5867570638656616, 'Y': 0.6067514419555664, 'Z': -0.13959693908691406}, {'X': 0.594458281993866, 'Y': 0.5710051655769348, 'Z': -0.08315534889698029}, {'X': 0.5725572109222412, 'Y': 0.5246378779411316, 'Z': -0.11587222665548325}, {'X': 0.5596109628677368, 'Y': 0.4942702651023865, 'Z': -0.1384587436914444}, {'X': 0.5513812303543091, 'Y': 0.4685383141040802, 'Z': -0.15496458113193512}, {'X': 0.6203672289848328, 'Y': 0.5557798743247986, 'Z': -0.07566390186548233}, {'X': 0.6184580326080322, 'Y': 0.5054059028625488, 'Z': -0.10905874520540237}, {'X': 0.6166858673095703, 'Y': 0.4747273027896881, 'Z': -0.13250936567783356}, {'X': 0.6170741319656372, 'Y': 0.4478474259376526, 'Z': -0.1514418125152588}, {'X': 0.6474643349647522, 'Y': 0.5552111268043518, 'Z': -0.07084093242883682}, {'X': 0.650218665599823, 'Y': 0.5088996887207031, 'Z': -0.09862534701824188}, {'X': 0.6535216569900513, 'Y': 0.4792636036872864, 'Z': -0.11345933377742767}, {'X': 0.6553968787193298, 'Y': 0.4518072009086609, 'Z': -0.12611469626426697}, {'X': 0.6745062470436096, 'Y': 0.5659000277519226, 'Z': -0.07215967774391174}, {'X': 0.6812549233436584, 'Y': 0.5252878069877625, 'Z': -0.0929204523563385}, {'X': 0.6859734058380127, 'Y': 0.499674916267395, 'Z': -0.10552217811346054}, {'X': 0.6893755793571472, 'Y': 0.47319015860557556, 'Z': -0.11698983609676361}]
[{'X': 0.6533478498458862, 'Y': 0.7001367807388306, 'Z': -9.555030374031048e-06}, {'X': 0.6121200323104858, 'Y': 0.6728359460830688, 'Z': -0.03677622601389885}, {'X': 0.5866491794586182, 'Y': 0.6410794854164124, 'Z': -0.060861892998218536}, {'X': 0.5801318287849426, 'Y': 0.6114392280578613, 'Z': -0.08087852597236633}, {'X': 0.5855541825294495, 'Y': 0.5895503163337708, 'Z': -0.0994492843747139}, {'X': 0.5980860590934753, 'Y': 0.582749605178833, 'Z': -0.045566000044345856}, {'X': 0.5966395139694214, 'Y': 0.5512051582336426, 'Z': -0.07218114286661148}, {'X': 0.6002284288406372, 'Y': 0.5414475202560425, 'Z': -0.0977950319647789}, {'X': 0.6043749451637268, 'Y': 0.5430765748023987, 'Z': -0.12120114266872406}, {'X': 0.6208593845367432, 'Y': 0.5776406526565552, 'Z': -0.04082302749156952}, {'X': 0.619332492351532, 'Y': 0.5531114935874939, 'Z': -0.06482391804456711}, {'X': 0.6264835596084595, 'Y': 0.5467275381088257, 'Z': -0.08963742107152939}, {'X': 0.6340500116348267, 'Y': 0.5507501363754272, 'Z': -0.10862550884485245}, {'X': 0.640599250793457, 'Y': 0.581210196018219, 'Z': -0.038884930312633514}, {'X': 0.6392310857772827, 'Y': 0.5565283298492432, 'Z': -0.05741898715496063}, {'X': 0.6446865200996399, 'Y': 0.5520749688148499, 'Z': -0.07309383898973465}, {'X': 0.6484850645065308, 'Y': 0.5569840669631958, 'Z': -0.0838375836610794}, {'X': 0.6609783172607422, 'Y': 0.5908480286598206, 'Z': -0.04111284762620926}, {'X': 0.6589030623435974, 'Y': 0.567390501499176, 'Z': -0.058489009737968445}, {'X': 0.660912275314331, 'Y': 0.5597391724586487, 'Z': -0.07083233445882797}, {'X': 0.661251962184906, 'Y': 0.5579086542129517, 'Z': -0.08266483247280121}]
[{'X': 0.6538936495780945, 'Y': 0.6894388198852539, 'Z': 2.926137312897481e-05}, {'X': 0.6238407492637634, 'Y': 0.673702597618103, 'Z': -0.049275901168584824}, {'X': 0.6042070388793945, 'Y': 0.6462671160697937, 'Z': -0.08400343358516693}, {'X': 0.6033926606178284, 'Y': 0.6274352073669434, 'Z': -0.11125101894140244}, {'X': 0.6048136949539185, 'Y': 0.6123023629188538, 'Z': -0.1357055902481079}, {'X': 0.6171183586120605, 'Y': 0.5966172814369202, 'Z': -0.09709365665912628}, {'X': 0.611668050289154, 'Y': 0.5703024864196777, 'Z': -0.13638679683208466}, {'X': 0.5992331504821777, 'Y': 0.5550104379653931, 'Z': -0.165547177195549}, {'X': 0.5833702683448792, 'Y': 0.5485374331474304, 'Z': -0.18590326607227325}, {'X': 0.6408976316452026, 'Y': 0.5925959944725037, 'Z': -0.08577583730220795}, {'X': 0.6371762156486511, 'Y': 0.5630708932876587, 'Z': -0.12337280064821243}, {'X': 0.6260033845901489, 'Y': 0.5480921268463135, 'Z': -0.1472764015197754}, {'X': 0.6077305674552917, 'Y': 0.5414267778396606, 'Z': -0.16530539095401764}, {'X': 0.6618044376373291, 'Y': 0.5959069132804871, 'Z': -0.07636939734220505}, {'X': 0.6619566679000854, 'Y': 0.5650193691253662, 'Z': -0.10528481751680374}, {'X': 0.6525958180427551, 'Y': 0.5463158488273621, 'Z': -0.12241340428590775}, {'X': 0.6361292004585266, 'Y': 0.5343960523605347, 'Z': -0.13644999265670776}, {'X': 0.6801443696022034, 'Y': 0.6055268049240112, 'Z': -0.06991484016180038}, {'X': 0.6831556558609009, 'Y': 0.5728275179862976, 'Z': -0.09003642201423645}, {'X': 0.6783995628356934, 'Y': 0.5533420443534851, 'Z': -0.09922949969768524}, {'X': 0.6669357419013977, 'Y': 0.5382661819458008, 'Z': -0.10775817930698395}]
[{'X': 0.6616970300674438, 'Y': 0.6680323481559753, 'Z': -4.091107621206902e-05}, {'X': 0.6198885440826416, 'Y': 0.6684486865997314, 'Z': -0.04707670211791992}, {'X': 0.5867971777915955, 'Y': 0.6435320377349854, 'Z': -0.07523461431264877}, {'X': 0.578123152256012, 'Y': 0.6096094250679016, 'Z': -0.09959346055984497}, {'X': 0.5929986834526062, 'Y': 0.5897189974784851, 'Z': -0.11743701994419098}, {'X': 0.5998520255088806, 'Y': 0.5576815009117126, 'Z': -0.050906892865896225}, {'X': 0.5754168033599854, 'Y': 0.5113179683685303, 'Z': -0.07713516801595688}, {'X': 0.5616738796234131, 'Y': 0.4819612503051758, 'Z': -0.09618071466684341}, {'X': 0.5500825643539429, 'Y': 0.4587015211582184, 'Z': -0.10579206049442291}, {'X': 0.6259804368019104, 'Y': 0.5430182218551636, 'Z': -0.045723315328359604}, {'X': 0.6167251467704773, 'Y': 0.4832489788532257, 'Z': -0.06227929890155792}, {'X': 0.6148092150688171, 'Y': 0.44442322850227356, 'Z': -0.07838720828294754}, {'X': 0.6137438416481018, 'Y': 0.4107293486595154, 'Z': -0.09411560744047165}, {'X': 0.6520059704780579, 'Y': 0.544529914855957, 'Z': -0.044145617634058}, {'X': 0.6486814022064209, 'Y': 0.48704075813293457, 'Z': -0.06108608841896057}, {'X': 0.6483082175254822, 'Y': 0.44938498735427856, 'Z': -0.07642745971679688}, {'X': 0.646117627620697, 'Y': 0.4141828417778015, 'Z': -0.09104158729314804}, {'X': 0.6802789568901062, 'Y': 0.5570644736289978, 'Z': -0.04710646718740463}, {'X': 0.6859078407287598, 'Y': 0.511713445186615, 'Z': -0.06394924968481064}, {'X': 0.6896134614944458, 'Y': 0.4830959439277649, 'Z': -0.0741661787033081}, {'X': 0.6911318898200989, 'Y': 0.45483410358428955, 'Z': -0.08378720283508301}]
[{'X': 0.6615703105926514, 'Y': 0.6710909605026245, 'Z': -5.396330016083084e-05}, {'X': 0.620684802532196, 'Y': 0.6713733077049255, 'Z': -0.04890363663434982}, {'X': 0.5891419053077698, 'Y': 0.6461450457572937, 'Z': -0.07491916418075562}, {'X': 0.5817188024520874, 'Y': 0.6133266687393188, 'Z': -0.0969444066286087}, {'X': 0.5957236886024475, 'Y': 0.5954508185386658, 'Z': -0.1126166358590126}, {'X': 0.6015856266021729, 'Y': 0.560228705406189, 'Z': -0.05017745867371559}, {'X': 0.5746262669563293, 'Y': 0.5134857892990112, 'Z': -0.07210497558116913}, {'X': 0.5597617626190186, 'Y': 0.4837993383407593, 'Z': -0.08961599320173264}, {'X': 0.5484225749969482, 'Y': 0.4608372449874878, 'Z': -0.10070093721151352}, {'X': 0.6276525855064392, 'Y': 0.5445363521575928, 'Z': -0.041473519057035446}, {'X': 0.6170701384544373, 'Y': 0.4830286204814911, 'Z': -0.05414900928735733}, {'X': 0.6159681081771851, 'Y': 0.44341152906417847, 'Z': -0.07087000459432602}, {'X': 0.6161295771598816, 'Y': 0.40888848900794983, 'Z': -0.08778628706932068}, {'X': 0.6533321738243103, 'Y': 0.544901430606842, 'Z': -0.03574521467089653}, {'X': 0.6493046879768372, 'Y': 0.4868376851081848, 'Z': -0.04796741530299187}, {'X': 0.6494203805923462, 'Y': 0.45074063539505005, 'Z': -0.0647088810801506}, {'X': 0.647706925868988, 'Y': 0.4175448417663574, 'Z': -0.07969112694263458}, {'X': 0.680869996547699, 'Y': 0.5554458498954773, 'Z': -0.03539450094103813}, {'X': 0.686389148235321, 'Y': 0.5117549300193787, 'Z': -0.04884498566389084}, {'X': 0.6909275054931641, 'Y': 0.4847656786441803, 'Z': -0.058319080621004105}, {'X': 0.6928966641426086, 'Y': 0.4575853645801544, 'Z': -0.06721552461385727}]
[{'X': 0.6621856093406677, 'Y': 0.6712839007377625, 'Z': -7.987209392013028e-05}, {'X': 0.6240832209587097, 'Y': 0.6625093221664429, 'Z': -0.04441061615943909}, {'X': 0.5955337882041931, 'Y': 0.6337184906005859, 'Z': -0.07090111076831818}, {'X': 0.587943434715271, 'Y': 0.596889078617096, 'Z': -0.09383334219455719}, {'X': 0.598994791507721, 'Y': 0.5714845657348633, 'Z': -0.11220499128103256}, {'X': 0.6054006218910217, 'Y': 0.5577888488769531, 'Z': -0.05231134966015816}, {'X': 0.5816065669059753, 'Y': 0.5085564255714417, 'Z': -0.07536503672599792}, {'X': 0.5687026977539062, 'Y': 0.4800291955471039, 'Z': -0.09279396384954453}, {'X': 0.5590682625770569, 'Y': 0.45971018075942993, 'Z': -0.10500943660736084}, {'X': 0.6307443976402283, 'Y': 0.5439256429672241, 'Z': -0.04745641350746155}, {'X': 0.6227294206619263, 'Y': 0.4801834225654602, 'Z': -0.06326106935739517}, {'X': 0.6213777661323547, 'Y': 0.43893754482269287, 'Z': -0.08289989084005356}, {'X': 0.6213290691375732, 'Y': 0.40217259526252747, 'Z': -0.10159604251384735}, {'X': 0.6564531326293945, 'Y': 0.5457964539527893, 'Z': -0.04471457749605179}, {'X': 0.652486264705658, 'Y': 0.4866597652435303, 'Z': -0.05577995255589485}, {'X': 0.6524438858032227, 'Y': 0.4483443796634674, 'Z': -0.0724085345864296}, {'X': 0.6504823565483093, 'Y': 0.41469651460647583, 'Z': -0.08873635530471802}, {'X': 0.6843001246452332, 'Y': 0.5565657019615173, 'Z': -0.046183302998542786}, {'X': 0.6890566349029541, 'Y': 0.5104603171348572, 'Z': -0.05880042538046837}, {'X': 0.6912863254547119, 'Y': 0.48176026344299316, 'Z': -0.06812097132205963}, {'X': 0.6910000443458557, 'Y': 0.45538148283958435, 'Z': -0.0788501724600792}]
[{'X': 0.6597501635551453, 'Y': 0.6589158773422241, 'Z': -4.700284989667125e-05}, {'X': 0.621383547782898, 'Y': 0.6559456586837769, 'Z': -0.041628506034612656}, {'X': 0.5944661498069763, 'Y': 0.62214595079422, 'Z': -0.0670369565486908}, {'X': 0.588727593421936, 'Y': 0.5848047733306885, 'Z': -0.08966413885354996}, {'X': 0.5988178253173828, 'Y': 0.5592377781867981, 'Z': -0.10726393759250641}, {'X': 0.607008159160614, 'Y': 0.5537492036819458, 'Z': -0.05297617241740227}, {'X': 0.5941922664642334, 'Y': 0.5124101042747498, 'Z': -0.08345679938793182}, {'X': 0.589252769947052, 'Y': 0.5123076438903809, 'Z': -0.10561392456293106}, {'X': 0.588696300983429, 'Y': 0.520687460899353, 'Z': -0.11979468911886215}, {'X': 0.6305961012840271, 'Y': 0.5398896336555481, 'Z': -0.04829360172152519}, {'X': 0.6268625855445862, 'Y': 0.4814111590385437, 'Z': -0.06600957363843918}, {'X': 0.6282475590705872, 'Y': 0.4422699511051178, 'Z': -0.08577229827642441}, {'X': 0.6292792558670044, 'Y': 0.4050832986831665, 'Z': -0.10493867844343185}, {'X': 0.6542754769325256, 'Y': 0.5398951768875122, 'Z': -0.046808019280433655}, {'X': 0.6528285145759583, 'Y': 0.4829787015914917, 'Z': -0.0577169731259346}, {'X': 0.6555377244949341, 'Y': 0.4466530680656433, 'Z': -0.07440252602100372}, {'X': 0.6557737588882446, 'Y': 0.4137014150619507, 'Z': -0.09083840996026993}, {'X': 0.6790345311164856, 'Y': 0.5498563051223755, 'Z': -0.04884897172451019}, {'X': 0.6859793663024902, 'Y': 0.5055205225944519, 'Z': -0.05740850418806076}, {'X': 0.6911800503730774, 'Y': 0.47628334164619446, 'Z': -0.06262574344873428}, {'X': 0.6944003105163574, 'Y': 0.44606417417526245, 'Z': -0.070499487221241}]
[{'X': 0.654152512550354, 'Y': 0.6540995836257935, 'Z': -8.965010056272149e-05}, {'X': 0.6189165115356445, 'Y': 0.6415184736251831, 'Z': -0.023603936657309532}, {'X': 0.5996326804161072, 'Y': 0.5989401340484619, 'Z': -0.038589924573898315}, {'X': 0.6013230681419373, 'Y': 0.5576353669166565, 'Z': -0.0526859275996685}, {'X': 0.6123151183128357, 'Y': 0.5327803492546082, 'Z': -0.06229009851813316}, {'X': 0.6082094311714172, 'Y': 0.5510004758834839, 'Z': -0.023969123139977455}, {'X': 0.6027942895889282, 'Y': 0.5039451122283936, 'Z': -0.047185447067022324}, {'X': 0.6030521392822266, 'Y': 0.49628934264183044, 'Z': -0.06598279625177383}, {'X': 0.6050440669059753, 'Y': 0.4992642104625702, 'Z': -0.077335886657238}, {'X': 0.630738377571106, 'Y': 0.5438339114189148, 'Z': -0.023808181285858154}, {'X': 0.6294026374816895, 'Y': 0.4856904149055481, 'Z': -0.035247888416051865}, {'X': 0.6307503581047058, 'Y': 0.4467322528362274, 'Z': -0.04926850646734238}, {'X': 0.6323930621147156, 'Y': 0.4128958582878113, 'Z': -0.061673033982515335}, {'X': 0.6523315906524658, 'Y': 0.5474492311477661, 'Z': -0.02617676369845867}, {'X': 0.6530631184577942, 'Y': 0.4921649694442749, 'Z': -0.03552020341157913}, {'X': 0.6550750136375427, 'Y': 0.4557597041130066, 'Z': -0.0468066968023777}, {'X': 0.6563303470611572, 'Y': 0.4221925139427185, 'Z': -0.05585407465696335}, {'X': 0.6743059754371643, 'Y': 0.5591369867324829, 'Z': -0.03124668262898922}, {'X': 0.6780059933662415, 'Y': 0.5123332142829895, 'Z': -0.03886350616812706}, {'X': 0.680023729801178, 'Y': 0.48380959033966064, 'Z': -0.04241340607404709}, {'X': 0.6806187629699707, 'Y': 0.45570552349090576, 'Z': -0.046816013753414154}]
[{'X': 0.6481756567955017, 'Y': 0.6456738710403442, 'Z': -6.506645877379924e-05}, {'X': 0.6174538135528564, 'Y': 0.6272594928741455, 'Z': -0.026886751875281334}, {'X': 0.6043527126312256, 'Y': 0.5837933421134949, 'Z': -0.03716764971613884}, {'X': 0.6141213774681091, 'Y': 0.5473374128341675, 'Z': -0.04413602501153946}, {'X': 0.6243909597396851, 'Y': 0.5253617763519287, 'Z': -0.04618656635284424}, {'X': 0.6086138486862183, 'Y': 0.5352247953414917, 'Z': -0.022666186094284058}, {'X': 0.60932457447052, 'Y': 0.4870021343231201, 'Z': -0.037988632917404175}, {'X': 0.6147682666778564, 'Y': 0.45794588327407837, 'Z': -0.05038601532578468}, {'X': 0.6220192313194275, 'Y': 0.4344499707221985, 'Z': -0.061653900891542435}, {'X': 0.6304128170013428, 'Y': 0.5322402119636536, 'Z': -0.019444018602371216}, {'X': 0.6304292678833008, 'Y': 0.48030057549476624, 'Z': -0.033870894461870193}, {'X': 0.6348196268081665, 'Y': 0.4443560242652893, 'Z': -0.04702609032392502}, {'X': 0.641201913356781, 'Y': 0.4140034317970276, 'Z': -0.058956265449523926}, {'X': 0.6500673294067383, 'Y': 0.5375827550888062, 'Z': -0.019280672073364258}, {'X': 0.6521968841552734, 'Y': 0.49072909355163574, 'Z': -0.03330264240503311}, {'X': 0.6573578715324402, 'Y': 0.4597470164299011, 'Z': -0.045758865773677826}, {'X': 0.6627249121665955, 'Y': 0.4317083954811096, 'Z': -0.05392901226878166}, {'X': 0.6694105267524719, 'Y': 0.5510692596435547, 'Z': -0.022283514961600304}, {'X': 0.6701359748840332, 'Y': 0.5127456784248352, 'Z': -0.037376902997493744}, {'X': 0.6697176098823547, 'Y': 0.49034634232521057, 'Z': -0.046796299517154694}, {'X': 0.669678807258606, 'Y': 0.46869197487831116, 'Z': -0.05331667512655258}]
[{'X': 0.6479635834693909, 'Y': 0.6523495316505432, 'Z': -5.884371785214171e-05}, {'X': 0.6168327927589417, 'Y': 0.6307852864265442, 'Z': -0.0317053347826004}, {'X': 0.6017112135887146, 'Y': 0.5900918841362, 'Z': -0.05178513005375862}, {'X': 0.6112141609191895, 'Y': 0.5540716052055359, 'Z': -0.06746583431959152}, {'X': 0.6202661991119385, 'Y': 0.529809296131134, 'Z': -0.07605789601802826}, {'X': 0.6055731177330017, 'Y': 0.5391533970832825, 'Z': -0.03625958785414696}, {'X': 0.6041484475135803, 'Y': 0.49545714259147644, 'Z': -0.06316334754228592}, {'X': 0.6086867451667786, 'Y': 0.4890803396701813, 'Z': -0.09228862822055817}, {'X': 0.6118180155754089, 'Y': 0.4983377456665039, 'Z': -0.11383330076932907}, {'X': 0.629601240158081, 'Y': 0.5347610712051392, 'Z': -0.03508330509066582}, {'X': 0.6280787587165833, 'Y': 0.47784656286239624, 'Z': -0.05694316700100899}, {'X': 0.6292687058448792, 'Y': 0.4496956169605255, 'Z': -0.07806932926177979}, {'X': 0.6297895908355713, 'Y': 0.43637973070144653, 'Z': -0.09346095472574234}, {'X': 0.6512128114700317, 'Y': 0.5440146923065186, 'Z': -0.03806104511022568}, {'X': 0.6535504460334778, 'Y': 0.4907190203666687, 'Z': -0.06267309933900833}, {'X': 0.6538875699043274, 'Y': 0.47108781337738037, 'Z': -0.0824950784444809}, {'X': 0.6538956761360168, 'Y': 0.46085813641548157, 'Z': -0.09492716938257217}, {'X': 0.6730518937110901, 'Y': 0.5631763935089111, 'Z': -0.04332411661744118}, {'X': 0.6699454188346863, 'Y': 0.5352218151092529, 'Z': -0.07020804286003113}, {'X': 0.6629853248596191, 'Y': 0.5416164994239807, 'Z': -0.08550257980823517}, {'X': 0.6590703725814819, 'Y': 0.5503556132316589, 'Z': -0.09484867751598358}]
