[{'X': 0.7353246212005615, 'Y': 0.740917444229126, 'Z': -5.1250102842459455e-05}, {'X': 0.6843763589859009, 'Y': 0.7013309597969055, 'Z': -0.025838708505034447}, {'X': 0.6525737643241882, 'Y': 0.6597166061401367, 'Z': -0.045573391020298004}, {'X': 0.6320669054985046, 'Y': 0.6222453117370605, 'Z': -0.06571270525455475}, {'X': 0.6195481419563293, 'Y': 0.5853757858276367, 'Z': -0.0887853130698204}, {'X': 0.6765154600143433, 'Y': 0.5833352208137512, 'Z': -0.02101079747080803}, {'X': 0.6637740731239319, 'Y': 0.5351864099502563, 'Z': -0.03332704305648804}, {'X': 0.6528016328811646, 'Y': 0.4997304081916809, 'Z': -0.04723663628101349}, {'X': 0.6407546401023865, 'Y': 0.4683465361595154, 'Z': -0.06394683569669724}, {'X': 0.7034245729446411, 'Y': 0.5810920596122742, 'Z': -0.02435196191072464}, {'X': 0.7035498023033142, 'Y': 0.5461450815200806, 'Z': -0.04183555394411087}, {'X': 0.7096884250640869, 'Y': 0.5340303182601929, 'Z': -0.06711124628782272}, {'X': 0.7136700749397278, 'Y': 0.5325719118118286, 'Z': -0.08524054288864136}, {'X': 0.7264988422393799, 'Y': 0.5889474749565125, 'Z': -0.03152002766728401}, {'X': 0.728530764579773, 'Y': 0.5577462911605835, 'Z': -0.04387383162975311}, {'X': 0.7368894815444946, 'Y': 0.5469263792037964, 'Z': -0.07100864499807358}, {'X': 0.7405008673667908, 'Y': 0.5469006896018982, 'Z': -0.08875598013401031}, {'X': 0.750097393989563, 'Y': 0.6059283018112183, 'Z': -0.041677139699459076}, {'X': 0.7497467398643494, 'Y': 0.5787596702575684, 'Z': -0.055307209491729736}, {'X': 0.7518454194068909, 'Y': 0.5636494159698486, 'Z': -0.07313807308673859}, {'X': 0.7497523427009583, 'Y': 0.554465115070343, 'Z': -0.08840435743331909}]
[{'X': 0.7329860925674438, 'Y': 0.7299088835716248, 'Z': 2.006947215704713e-05}, {'X': 0.6875650882720947, 'Y': 0.6983239650726318, 'Z': -0.02817162685096264}, {'X': 0.6515468955039978, 'Y': 0.6544084548950195, 'Z': -0.03896455839276314}, {'X': 0.6347185373306274, 'Y': 0.6139819622039795, 'Z': -0.05206476151943207}, {'X': 0.6243088841438293, 'Y': 0.5865316987037659, 'Z': -0.060368165373802185}, {'X': 0.6784475445747375, 'Y': 0.5465246438980103, 'Z': -4.4116564822616056e-05}, {'X': 0.6566309332847595, 'Y': 0.4851391911506653, 'Z': -0.007332125678658485}, {'X': 0.6429475545883179, 'Y': 0.4506246745586395, 'Z': -0.02463884837925434}, {'X': 0.6307708621025085, 'Y': 0.4218009114265442, 'Z': -0.039284661412239075}, {'X': 0.7119387984275818, 'Y': 0.5341406464576721, 'Z': -0.0011676870053634048}, {'X': 0.7145025730133057, 'Y': 0.4545866549015045, 'Z': 0.0012961893808096647}, {'X': 0.7157679796218872, 'Y': 0.4112289547920227, 'Z': -0.016655581071972847}, {'X': 0.7161827683448792, 'Y': 0.3826235830783844, 'Z': -0.0332961343228817}, {'X': 0.7408457398414612, 'Y': 0.540334939956665, 'Z': -0.008638061583042145}, {'X': 0.7498318552970886, 'Y': 0.46917736530303955, 'Z': -0.009288820438086987}, {'X': 0.7535662055015564, 'Y': 0.42746350169181824, 'Z': -0.028113190084695816}, {'X': 0.7528226971626282, 'Y': 0.3944317400455475, 'Z': -0.04691683501005173}, {'X': 0.7681331038475037, 'Y': 0.5617434978485107, 'Z': -0.020752640441060066}, {'X': 0.7828430533409119, 'Y': 0.5129718780517578, 'Z': -0.032878629863262177}, {'X': 0.7894508838653564, 'Y': 0.4819605052471161, 'Z': -0.045556481927633286}, {'X': 0.7913683652877808, 'Y': 0.45386388897895813, 'Z': -0.05653189867734909}]
[{'X': 0.7327218055725098, 'Y': 0.7157978415489197, 'Z': 1.4347336218634155e-05}, {'X': 0.6880089640617371, 'Y': 0.6885859966278076, 'Z': -0.036059681326150894}, {'X': 0.6536059975624084, 'Y': 0.6472384333610535, 'Z': -0.05167138949036598}, {'X': 0.6358528733253479, 'Y': 0.6081267595291138, 'Z': -0.06777900457382202}, {'X': 0.624418318271637, 'Y': 0.58027184009552, 'Z': -0.07927397638559341}, {'X': 0.6806930303573608, 'Y': 0.5430886149406433, 'Z': -0.01649569347500801}, {'X': 0.6587717533111572, 'Y': 0.4797179698944092, 'Z': -0.02739465981721878}, {'X': 0.6459043025970459, 'Y': 0.44496291875839233, 'Z': -0.04701533541083336}, {'X': 0.6356334686279297, 'Y': 0.41726359724998474, 'Z': -0.06186798959970474}, {'X': 0.7134489417076111, 'Y': 0.531318187713623, 'Z': -0.013534734956920147}, {'X': 0.715968132019043, 'Y': 0.4502876102924347, 'Z': -0.016545074060559273}, {'X': 0.7186415791511536, 'Y': 0.4074273109436035, 'Z': -0.036406293511390686}, {'X': 0.7210919260978699, 'Y': 0.37786003947257996, 'Z': -0.053838349878787994}, {'X': 0.741226077079773, 'Y': 0.5382274389266968, 'Z': -0.01604086346924305}, {'X': 0.7511671185493469, 'Y': 0.4675256609916687, 'Z': -0.01923985779285431}, {'X': 0.7561308741569519, 'Y': 0.4281129837036133, 'Z': -0.038169149309396744}, {'X': 0.7573060989379883, 'Y': 0.3974689245223999, 'Z': -0.056237976998090744}, {'X': 0.767296552658081, 'Y': 0.5595384240150452, 'Z': -0.02372453361749649}, {'X': 0.7832343578338623, 'Y': 0.5118480324745178, 'Z': -0.03586442023515701}, {'X': 0.7909950017929077, 'Y': 0.4843466877937317, 'Z': -0.04604093357920647}, {'X': 0.7945988774299622, 'Y': 0.4605400562286377, 'Z': -0.055956870317459106}]
[{'X': 0.73088139295578, 'Y': 0.7616127729415894, 'Z': -2.3992823116714135e-05}, {'X': 0.6836790442466736, 'Y': 0.7134814858436584, 'Z': -0.008192446082830429}, {'X': 0.6490476727485657, 'Y': 0.6636176705360413, 'Z': -0.014204424805939198}, {'X': 0.6354581117630005, 'Y': 0.6191554069519043, 'Z': -0.025988979265093803}, {'X': 0.6396034955978394, 'Y': 0.5927584767341614, 'Z': -0.03318722918629646}, {'X': 0.6732321977615356, 'Y': 0.5649912357330322, 'Z': 0.01087967213243246}, {'X': 0.6517739295959473, 'Y': 0.507798433303833, 'Z': 0.0011351933935657144}, {'X': 0.6356231570243835, 'Y': 0.4644830822944641, 'Z': -0.013722345232963562}, {'X': 0.6229560375213623, 'Y': 0.4309457838535309, 'Z': -0.030324023216962814}, {'X': 0.7077648043632507, 'Y': 0.5570399761199951, 'Z': 0.0018674771999940276}, {'X': 0.7113761305809021, 'Y': 0.49715036153793335, 'Z': 0.011029770597815514}, {'X': 0.7117980122566223, 'Y': 0.45669475197792053, 'Z': 0.007875104434788227}, {'X': 0.7134120464324951, 'Y': 0.42412370443344116, 'Z': 0.0010457028402015567}, {'X': 0.7385080456733704, 'Y': 0.5647767186164856, 'Z': -0.011424963362514973}, {'X': 0.7447584867477417, 'Y': 0.506087064743042, 'Z': -0.00461050309240818}, {'X': 0.7467213869094849, 'Y': 0.466999888420105, 'Z': -0.00927700474858284}, {'X': 0.7469199895858765, 'Y': 0.4314897656440735, 'Z': -0.014276226051151752}, {'X': 0.7673072218894958, 'Y': 0.5866650342941284, 'Z': -0.028984708711504936}, {'X': 0.7805595993995667, 'Y': 0.5398553013801575, 'Z': -0.0284024216234684}, {'X': 0.7872282266616821, 'Y': 0.5058120489120483, 'Z': -0.027922408655285835}, {'X': 0.7913029789924622, 'Y': 0.4704497456550598, 'Z': -0.027380377054214478}]
[{'X': 0.73088139295578, 'Y': 0.7616127729415894, 'Z': -2.3992823116714135e-05}, {'X': 0.6836790442466736, 'Y': 0.7134814858436584, 'Z': -0.008192446082830429}, {'X': 0.6490476727485657, 'Y': 0.6636176705360413, 'Z': -0.014204424805939198}, {'X': 0.6354581117630005, 'Y': 0.6191554069519043, 'Z': -0.025988979265093803}, {'X': 0.6396034955978394, 'Y': 0.5927584767341614, 'Z': -0.03318722918629646}, {'X': 0.6732321977615356, 'Y': 0.5649912357330322, 'Z': 0.01087967213243246}, {'X': 0.6517739295959473, 'Y': 0.507798433303833, 'Z': 0.0011351933935657144}, {'X': 0.6356231570243835, 'Y': 0.4644830822944641, 'Z': -0.013722345232963562}, {'X': 0.6229560375213623, 'Y': 0.4309457838535309, 'Z': -0.030324023216962814}, {'X': 0.7077648043632507, 'Y': 0.5570399761199951, 'Z': 0.0018674771999940276}, {'X': 0.7113761305809021, 'Y': 0.49715036153793335, 'Z': 0.011029770597815514}, {'X': 0.7117980122566223, 'Y': 0.45669475197792053, 'Z': 0.007875104434788227}, {'X': 0.7134120464324951, 'Y': 0.42412370443344116, 'Z': 0.0010457028402015567}, {'X': 0.7385080456733704, 'Y': 0.5647767186164856, 'Z': -0.011424963362514973}, {'X': 0.7447584867477417, 'Y': 0.506087064743042, 'Z': -0.00461050309240818}, {'X': 0.7467213869094849, 'Y': 0.466999888420105, 'Z': -0.00927700474858284}, {'X': 0.7469199895858765, 'Y': 0.4314897656440735, 'Z': -0.014276226051151752}, {'X': 0.7673072218894958, 'Y': 0.5866650342941284, 'Z': -0.028984708711504936}, {'X': 0.7805595993995667, 'Y': 0.5398553013801575, 'Z': -0.0284024216234684}, {'X': 0.7872282266616821, 'Y': 0.5058120489120483, 'Z': -0.027922408655285835}, {'X': 0.7913029789924622, 'Y': 0.4704497456550598, 'Z': -0.027380377054214478}]
[{'X': 0.7232236862182617, 'Y': 0.7414074540138245, 'Z': -3.435456892475486e-05}, {'X': 0.675161600112915, 'Y': 0.6935594081878662, 'Z': -0.02561458945274353}, {'X': 0.6470295786857605, 'Y': 0.6442146897315979, 'Z': -0.04135384038090706}, {'X': 0.6467723250389099, 'Y': 0.6057112812995911, 'Z': -0.055856529623270035}, {'X': 0.6576408743858337, 'Y': 0.589286744594574, 'Z': -0.06542477011680603}, {'X': 0.6636857390403748, 'Y': 0.5547018051147461, 'Z': -0.03603493794798851}, {'X': 0.6489415168762207, 'Y': 0.4932652413845062, 'Z': -0.056181952357292175}, {'X': 0.6387926936149597, 'Y': 0.4493867754936218, 'Z': -0.06796161085367203}, {'X': 0.6310362815856934, 'Y': 0.411166250705719, 'Z': -0.0823243260383606}, {'X': 0.6983382105827332, 'Y': 0.5497475862503052, 'Z': -0.039199091494083405}, {'X': 0.7013797760009766, 'Y': 0.49167442321777344, 'Z': -0.05215270444750786}, {'X': 0.7049310803413391, 'Y': 0.4539414644241333, 'Z': -0.05752642825245857}, {'X': 0.7085838317871094, 'Y': 0.42461737990379333, 'Z': -0.06437192112207413}, {'X': 0.7294978499412537, 'Y': 0.5567771196365356, 'Z': -0.04641388729214668}, {'X': 0.7346131205558777, 'Y': 0.49625200033187866, 'Z': -0.05432024225592613}, {'X': 0.7388392686843872, 'Y': 0.4550507664680481, 'Z': -0.055625736713409424}, {'X': 0.7414960265159607, 'Y': 0.41989773511886597, 'Z': -0.059143632650375366}, {'X': 0.7574604749679565, 'Y': 0.5747545957565308, 'Z': -0.057457685470581055}, {'X': 0.7657923102378845, 'Y': 0.5194952487945557, 'Z': -0.06644832342863083}, {'X': 0.7678030133247375, 'Y': 0.48103067278862, 'Z': -0.07012953609228134}, {'X': 0.767906129360199, 'Y': 0.4435728192329407, 'Z': -0.07477874308824539}]
[{'X': 0.7258392572402954, 'Y': 0.6883968710899353, 'Z': -3.2804644433781505e-05}, {'X': 0.6831210255622864, 'Y': 0.6656926870346069, 'Z': -0.026975572109222412}, {'X': 0.6610015034675598, 'Y': 0.6131801605224609, 'Z': -0.041084907948970795}, {'X': 0.6673890948295593, 'Y': 0.5669958591461182, 'Z': -0.05536018684506416}, {'X': 0.6831426620483398, 'Y': 0.5385288596153259, 'Z': -0.062702476978302}, {'X': 0.6683269143104553, 'Y': 0.5418798327445984, 'Z': -0.01246690284460783}, {'X': 0.6571120023727417, 'Y': 0.47984424233436584, 'Z': -0.026176612824201584}, {'X': 0.6549316644668579, 'Y': 0.44359323382377625, 'Z': -0.037406228482723236}, {'X': 0.6534649133682251, 'Y': 0.41641002893447876, 'Z': -0.0448152981698513}, {'X': 0.6981837153434753, 'Y': 0.5324532389640808, 'Z': -0.015137548558413982}, {'X': 0.7023457884788513, 'Y': 0.4652455747127533, 'Z': -0.02632605843245983}, {'X': 0.7060296535491943, 'Y': 0.43697869777679443, 'Z': -0.04461630806326866}, {'X': 0.7058731317520142, 'Y': 0.42875391244888306, 'Z': -0.05852354317903519}, {'X': 0.7259814143180847, 'Y': 0.534936249256134, 'Z': -0.022510617971420288}, {'X': 0.7292162775993347, 'Y': 0.47417545318603516, 'Z': -0.03000866435468197}, {'X': 0.7316443920135498, 'Y': 0.44228851795196533, 'Z': -0.047023095190525055}, {'X': 0.7311060428619385, 'Y': 0.42332786321640015, 'Z': -0.061983007937669754}, {'X': 0.7554647326469421, 'Y': 0.54787278175354, 'Z': -0.033859655261039734}, {'X': 0.7573286890983582, 'Y': 0.49370837211608887, 'Z': -0.04073113203048706}, {'X': 0.7550643086433411, 'Y': 0.4647228717803955, 'Z': -0.04895494133234024}, {'X': 0.7515851855278015, 'Y': 0.4432273805141449, 'Z': -0.05832155421376228}]
[{'X': 0.7241238951683044, 'Y': 0.6765286326408386, 'Z': -1.7056945580407046e-05}, {'X': 0.6877972483634949, 'Y': 0.6416836380958557, 'Z': -0.018905486911535263}, {'X': 0.6686932444572449, 'Y': 0.5850854516029358, 'Z': -0.02859075739979744}, {'X': 0.6806660294532776, 'Y': 0.5333400368690491, 'Z': -0.04078584536910057}, {'X': 0.6974549889564514, 'Y': 0.5003550052642822, 'Z': -0.04493842273950577}, {'X': 0.6678552627563477, 'Y': 0.5206882953643799, 'Z': 0.013540290296077728}, {'X': 0.6622251868247986, 'Y': 0.4629608392715454, 'Z': 0.011335275135934353}, {'X': 0.663125216960907, 'Y': 0.42855045199394226, 'Z': 0.006935012526810169}, {'X': 0.6658989787101746, 'Y': 0.402079313993454, 'Z': 0.0012771363835781813}, {'X': 0.6941595077514648, 'Y': 0.5116739869117737, 'Z': 0.006712363567203283}, {'X': 0.6912661790847778, 'Y': 0.4464074969291687, 'Z': -0.004829145036637783}, {'X': 0.6915379762649536, 'Y': 0.4174063205718994, 'Z': -0.022787094116210938}, {'X': 0.6920793652534485, 'Y': 0.4080938696861267, 'Z': -0.03408415615558624}, {'X': 0.719190239906311, 'Y': 0.5145155191421509, 'Z': -0.006547393277287483}, {'X': 0.7166222929954529, 'Y': 0.4568305015563965, 'Z': -0.027592184022068977}, {'X': 0.7130804061889648, 'Y': 0.4411839544773102, 'Z': -0.05205324664711952}, {'X': 0.7096307277679443, 'Y': 0.43856722116470337, 'Z': -0.0653502345085144}, {'X': 0.7464625239372253, 'Y': 0.5301548838615417, 'Z': -0.022293932735919952}, {'X': 0.7442114353179932, 'Y': 0.48110365867614746, 'Z': -0.03559640049934387}, {'X': 0.7398796677589417, 'Y': 0.4535394310951233, 'Z': -0.05104728415608406}, {'X': 0.7346794009208679, 'Y': 0.43214181065559387, 'Z': -0.06241302937269211}]
[{'X': 0.7275989055633545, 'Y': 0.6678834557533264, 'Z': -5.4181389714358374e-05}, {'X': 0.6902168393135071, 'Y': 0.6408677101135254, 'Z': -0.026001835241913795}, {'X': 0.6679627299308777, 'Y': 0.5905753374099731, 'Z': -0.04316550865769386}, {'X': 0.675092875957489, 'Y': 0.5411961674690247, 'Z': -0.05964234471321106}, {'X': 0.6914741396903992, 'Y': 0.5071898698806763, 'Z': -0.06850797683000565}, {'X': 0.6708382368087769, 'Y': 0.5152984857559204, 'Z': -0.0093515170738101}, {'X': 0.6701509356498718, 'Y': 0.45341747999191284, 'Z': -0.021752016618847847}, {'X': 0.6653984189033508, 'Y': 0.4274196922779083, 'Z': -0.03834780678153038}, {'X': 0.6620385050773621, 'Y': 0.41927382349967957, 'Z': -0.0548282116651535}, {'X': 0.6958582997322083, 'Y': 0.5069011449813843, 'Z': -0.013358820229768753}, {'X': 0.6983460187911987, 'Y': 0.4345382750034332, 'Z': -0.037383291870355606}, {'X': 0.6883777976036072, 'Y': 0.4242945909500122, 'Z': -0.06820325553417206}, {'X': 0.678848922252655, 'Y': 0.44297853112220764, 'Z': -0.08928890526294708}, {'X': 0.7194559574127197, 'Y': 0.5101096630096436, 'Z': -0.02154502086341381}, {'X': 0.7215380668640137, 'Y': 0.44278600811958313, 'Z': -0.045528970658779144}, {'X': 0.711579442024231, 'Y': 0.44008752703666687, 'Z': -0.07270301133394241}, {'X': 0.702682375907898, 'Y': 0.45992130041122437, 'Z': -0.08916174620389938}, {'X': 0.74462890625, 'Y': 0.5228897333145142, 'Z': -0.031892258673906326}, {'X': 0.741084635257721, 'Y': 0.4691285192966461, 'Z': -0.05078274756669998}, {'X': 0.7308977246284485, 'Y': 0.4540793001651764, 'Z': -0.06708032637834549}, {'X': 0.7217397689819336, 'Y': 0.4575340151786804, 'Z': -0.07776403427124023}]
[{'X': 0.7288241386413574, 'Y': 0.665730893611908, 'Z': -6.760641554137692e-05}, {'X': 0.6903828382492065, 'Y': 0.6338894963264465, 'Z': -0.02074168622493744}, {'X': 0.6716079711914062, 'Y': 0.5875358581542969, 'Z': -0.030957983806729317}, {'X': 0.6711041331291199, 'Y': 0.5410124659538269, 'Z': -0.039257362484931946}, {'X': 0.6814507246017456, 'Y': 0.5100399255752563, 'Z': -0.040496088564395905}, {'X': 0.6794085502624512, 'Y': 0.5156080722808838, 'Z': 0.0034457151778042316}, {'X': 0.6789065599441528, 'Y': 0.44852831959724426, 'Z': -0.0023306950461119413}, {'X': 0.6730886697769165, 'Y': 0.4383866488933563, 'Z': -0.0209406316280365}, {'X': 0.6700869202613831, 'Y': 0.4506305456161499, 'Z': -0.035701535642147064}, {'X': 0.6995028257369995, 'Y': 0.507891058921814, 'Z': 0.004141747020184994}, {'X': 0.6964112520217896, 'Y': 0.4334350526332855, 'Z': -0.0035327498335391283}, {'X': 0.6859501600265503, 'Y': 0.43095189332962036, 'Z': -0.027341943234205246}, {'X': 0.6802915334701538, 'Y': 0.4526662826538086, 'Z': -0.043511051684617996}, {'X': 0.7178643941879272, 'Y': 0.5114412903785706, 'Z': 0.0011508605675771832}, {'X': 0.7128946781158447, 'Y': 0.4428841769695282, 'Z': -0.004312893375754356}, {'X': 0.7032089829444885, 'Y': 0.4417349398136139, 'Z': -0.01951848343014717}, {'X': 0.6989827156066895, 'Y': 0.4587492048740387, 'Z': -0.029683465138077736}, {'X': 0.7367143630981445, 'Y': 0.5243242979049683, 'Z': -0.0038862728979438543}, {'X': 0.728207528591156, 'Y': 0.4693232476711273, 'Z': -0.009380249306559563}, {'X': 0.7183153629302979, 'Y': 0.453584223985672, 'Z': -0.016395704820752144}, {'X': 0.7134625911712646, 'Y': 0.45313721895217896, 'Z': -0.022181162610650063}]
[{'X': 0.7173547744750977, 'Y': 0.6515617370605469, 'Z': -3.9914288208819926e-05}, {'X': 0.6918731927871704, 'Y': 0.6157492399215698, 'Z': -0.024174321442842484}, {'X': 0.680628776550293, 'Y': 0.5617117285728455, 'Z': -0.029785504564642906}, {'X': 0.6821461319923401, 'Y': 0.5158687233924866, 'Z': -0.03260541707277298}, {'X': 0.6863270401954651, 'Y': 0.48562708497047424, 'Z': -0.02761511504650116}, {'X': 0.6795481443405151, 'Y': 0.5097879767417908, 'Z': 0.003529026871547103}, {'X': 0.676240086555481, 'Y': 0.4553525745868683, 'Z': -0.0032884906977415085}, {'X': 0.6736354827880859, 'Y': 0.4434478282928467, 'Z': -0.0192949827760458}, {'X': 0.6721315979957581, 'Y': 0.4471852481365204, 'Z': -0.029888203367590904}, {'X': 0.6965596675872803, 'Y': 0.5068545341491699, 'Z': 0.010137402452528477}, {'X': 0.6931384205818176, 'Y': 0.4452471137046814, 'Z': 0.008307544514536858}, {'X': 0.6892555952072144, 'Y': 0.4365985691547394, 'Z': -0.004047910217195749}, {'X': 0.6854181289672852, 'Y': 0.4457119405269623, 'Z': -0.011414680629968643}, {'X': 0.710861325263977, 'Y': 0.5142406821250916, 'Z': 0.011940552853047848}, {'X': 0.7063403129577637, 'Y': 0.46188753843307495, 'Z': 0.008879121392965317}, {'X': 0.702137291431427, 'Y': 0.45999523997306824, 'Z': -0.002154730958864093}, {'X': 0.699573814868927, 'Y': 0.4664405882358551, 'Z': -0.007757626473903656}, {'X': 0.7244588732719421, 'Y': 0.5298610329627991, 'Z': 0.01093652006238699}, {'X': 0.7157211303710938, 'Y': 0.4920750856399536, 'Z': 0.007369312923401594}, {'X': 0.7077450752258301, 'Y': 0.48360928893089294, 'Z': 0.0008911769255064428}, {'X': 0.7035794854164124, 'Y': 0.4803287982940674, 'Z': -0.0033061073627322912}]
