[{'X': 0.7090091109275818, 'Y': 0.7792671918869019, 'Z': -0.0001224660809384659}, {'X': 0.65010005235672, 'Y': 0.7509841918945312, 'Z': -0.041516974568367004}, {'X': 0.6083096265792847, 'Y': 0.6573501825332642, 'Z': -0.05482383072376251}, {'X': 0.582244336605072, 'Y': 0.5777328610420227, 'Z': -0.06734917312860489}, {'X': 0.5502275228500366, 'Y': 0.5305071473121643, 'Z': -0.08182818442583084}, {'X': 0.6590632796287537, 'Y': 0.5085121989250183, 'Z': -0.029977530241012573}, {'X': 0.6539216637611389, 'Y': 0.40362635254859924, 'Z': -0.055584415793418884}, {'X': 0.6475075483322144, 'Y': 0.32811668515205383, 'Z': -0.07935566455125809}, {'X': 0.6434170007705688, 'Y': 0.2631809413433075, 'Z': -0.09843099117279053}, {'X': 0.6994116306304932, 'Y': 0.5029562711715698, 'Z': -0.03202393651008606}, {'X': 0.7070683240890503, 'Y': 0.38070642948150635, 'Z': -0.0491328090429306}, {'X': 0.7090417146682739, 'Y': 0.2933931052684784, 'Z': -0.07983915507793427}, {'X': 0.7134001851081848, 'Y': 0.22430777549743652, 'Z': -0.10078146308660507}, {'X': 0.7366156578063965, 'Y': 0.5257531404495239, 'Z': -0.03827504813671112}, {'X': 0.7523243427276611, 'Y': 0.41216397285461426, 'Z': -0.061085280030965805}, {'X': 0.7568269371986389, 'Y': 0.3319721817970276, 'Z': -0.0937332883477211}, {'X': 0.7603048086166382, 'Y': 0.2614811062812805, 'Z': -0.11825493723154068}, {'X': 0.770658552646637, 'Y': 0.574591338634491, 'Z': -0.04746087267994881}, {'X': 0.7920256853103638, 'Y': 0.5073387622833252, 'Z': -0.0795966386795044}, {'X': 0.8052263259887695, 'Y': 0.45776599645614624, 'Z': -0.1070721447467804}, {'X': 0.817335844039917, 'Y': 0.4106736183166504, 'Z': -0.1260116845369339}]
[{'X': 0.7081335186958313, 'Y': 0.7688678503036499, 'Z': -0.0001321164600085467}, {'X': 0.6470648050308228, 'Y': 0.7470014095306396, 'Z': -0.0368310920894146}, {'X': 0.607145369052887, 'Y': 0.649193286895752, 'Z': -0.04722118377685547}, {'X': 0.5833605527877808, 'Y': 0.5676908493041992, 'Z': -0.05731526389718056}, {'X': 0.552147626876831, 'Y': 0.5179750323295593, 'Z': -0.06915626674890518}, {'X': 0.6588472723960876, 'Y': 0.5121642351150513, 'Z': -0.02081482857465744}, {'X': 0.6546750068664551, 'Y': 0.4017631411552429, 'Z': -0.04306655749678612}, {'X': 0.6488426327705383, 'Y': 0.3240278959274292, 'Z': -0.06631622463464737}, {'X': 0.6466509103775024, 'Y': 0.2566203773021698, 'Z': -0.08513903617858887}, {'X': 0.701255738735199, 'Y': 0.5062612891197205, 'Z': -0.022332366555929184}, {'X': 0.7093326449394226, 'Y': 0.38266199827194214, 'Z': -0.04026800021529198}, {'X': 0.7126582264900208, 'Y': 0.2945714592933655, 'Z': -0.06782130151987076}, {'X': 0.7188097834587097, 'Y': 0.22605767846107483, 'Z': -0.08533742278814316}, {'X': 0.7402063012123108, 'Y': 0.5282031297683716, 'Z': -0.028484730049967766}, {'X': 0.7556139826774597, 'Y': 0.4102630317211151, 'Z': -0.05335807800292969}, {'X': 0.7605053186416626, 'Y': 0.32865530252456665, 'Z': -0.08320252597332001}, {'X': 0.7639932036399841, 'Y': 0.25849419832229614, 'Z': -0.10443612933158875}, {'X': 0.7753638029098511, 'Y': 0.5735650658607483, 'Z': -0.03598450869321823}, {'X': 0.7944297194480896, 'Y': 0.5126341581344604, 'Z': -0.06880202889442444}, {'X': 0.8026188015937805, 'Y': 0.47570568323135376, 'Z': -0.09330379962921143}, {'X': 0.80948805809021, 'Y': 0.4425537586212158, 'Z': -0.10920478403568268}]
[{'X': 0.7060378193855286, 'Y': 0.7690033912658691, 'Z': -0.000143889119499363}, {'X': 0.647220253944397, 'Y': 0.7462427020072937, 'Z': -0.04771100729703903}, {'X': 0.6069425344467163, 'Y': 0.6556479334831238, 'Z': -0.06087357923388481}, {'X': 0.5813883543014526, 'Y': 0.5820079445838928, 'Z': -0.06946368515491486}, {'X': 0.5506948828697205, 'Y': 0.5316102504730225, 'Z': -0.07853853702545166}, {'X': 0.6600838303565979, 'Y': 0.5143842101097107, 'Z': -0.04517844691872597}, {'X': 0.6558164358139038, 'Y': 0.4047545790672302, 'Z': -0.0756075531244278}, {'X': 0.6494449377059937, 'Y': 0.3280472755432129, 'Z': -0.1041707992553711}, {'X': 0.6450389623641968, 'Y': 0.26086416840553284, 'Z': -0.12659761309623718}, {'X': 0.7021409869194031, 'Y': 0.5087181925773621, 'Z': -0.04084400460124016}, {'X': 0.7112724184989929, 'Y': 0.3864225149154663, 'Z': -0.06584233790636063}, {'X': 0.713543713092804, 'Y': 0.2996272146701813, 'Z': -0.09187638759613037}, {'X': 0.7181139588356018, 'Y': 0.22939804196357727, 'Z': -0.10648194700479507}, {'X': 0.7401152849197388, 'Y': 0.5315220355987549, 'Z': -0.04251953214406967}, {'X': 0.7556173801422119, 'Y': 0.4212689697742462, 'Z': -0.0737910121679306}, {'X': 0.7569910287857056, 'Y': 0.34562116861343384, 'Z': -0.10156014561653137}, {'X': 0.7573002576828003, 'Y': 0.281504362821579, 'Z': -0.11897832155227661}, {'X': 0.7719349265098572, 'Y': 0.5791566967964172, 'Z': -0.045891694724559784}, {'X': 0.7885105013847351, 'Y': 0.5242366790771484, 'Z': -0.08581551164388657}, {'X': 0.7911005616188049, 'Y': 0.4934741258621216, 'Z': -0.11068890243768692}, {'X': 0.7932177782058716, 'Y': 0.4708980917930603, 'Z': -0.1236124187707901}]
[{'X': 0.7065275311470032, 'Y': 0.7700518369674683, 'Z': -0.00012916684499941766}, {'X': 0.6463927030563354, 'Y': 0.7461395859718323, 'Z': -0.047054581344127655}, {'X': 0.6056993007659912, 'Y': 0.655277669429779, 'Z': -0.059972021728754044}, {'X': 0.5791983008384705, 'Y': 0.5825283527374268, 'Z': -0.06787502765655518}, {'X': 0.5480784177780151, 'Y': 0.5319993495941162, 'Z': -0.0767739862203598}, {'X': 0.6611229181289673, 'Y': 0.5173528790473938, 'Z': -0.04765317589044571}, {'X': 0.6587762236595154, 'Y': 0.401797354221344, 'Z': -0.07742784917354584}, {'X': 0.6540024280548096, 'Y': 0.324493408203125, 'Z': -0.10681035369634628}, {'X': 0.650123119354248, 'Y': 0.2565632164478302, 'Z': -0.13070550560951233}, {'X': 0.702454149723053, 'Y': 0.5130525827407837, 'Z': -0.041699063032865524}, {'X': 0.7130792140960693, 'Y': 0.38814109563827515, 'Z': -0.06731963902711868}, {'X': 0.7160208821296692, 'Y': 0.29999175667762756, 'Z': -0.09380480647087097}, {'X': 0.7200688719749451, 'Y': 0.22813692688941956, 'Z': -0.10969209671020508}, {'X': 0.7396665811538696, 'Y': 0.5358050465583801, 'Z': -0.04154961183667183}, {'X': 0.7558395266532898, 'Y': 0.4265492558479309, 'Z': -0.07193777710199356}, {'X': 0.7572564482688904, 'Y': 0.3520236611366272, 'Z': -0.09893713146448135}, {'X': 0.7571640610694885, 'Y': 0.28880664706230164, 'Z': -0.11629844456911087}, {'X': 0.7698114514350891, 'Y': 0.582453191280365, 'Z': -0.042385540902614594}, {'X': 0.7853536605834961, 'Y': 0.5276404619216919, 'Z': -0.08192593604326248}, {'X': 0.7863175868988037, 'Y': 0.5024975538253784, 'Z': -0.10563122481107712}, {'X': 0.7865641713142395, 'Y': 0.48591873049736023, 'Z': -0.11746551096439362}]
[{'X': 0.7086129188537598, 'Y': 0.7730873823165894, 'Z': -0.00012609350960701704}, {'X': 0.6503068804740906, 'Y': 0.746306300163269, 'Z': -0.05170142278075218}, {'X': 0.6098552942276001, 'Y': 0.6546180248260498, 'Z': -0.06895937770605087}, {'X': 0.5831565260887146, 'Y': 0.5782016515731812, 'Z': -0.08067245036363602}, {'X': 0.5526920557022095, 'Y': 0.5259289741516113, 'Z': -0.09334228932857513}, {'X': 0.6620227098464966, 'Y': 0.5098079442977905, 'Z': -0.04511948674917221}, {'X': 0.6549038887023926, 'Y': 0.4030402600765228, 'Z': -0.0755147784948349}, {'X': 0.6473177671432495, 'Y': 0.32497358322143555, 'Z': -0.10203522443771362}, {'X': 0.6428585052490234, 'Y': 0.25761398673057556, 'Z': -0.12228215485811234}, {'X': 0.7033804655075073, 'Y': 0.5059267282485962, 'Z': -0.039590831845998764}, {'X': 0.7104775905609131, 'Y': 0.38254696130752563, 'Z': -0.060786910355091095}, {'X': 0.7124460935592651, 'Y': 0.29393813014030457, 'Z': -0.08676400780677795}, {'X': 0.7173038125038147, 'Y': 0.22310295701026917, 'Z': -0.10223668813705444}, {'X': 0.7411426901817322, 'Y': 0.5293735861778259, 'Z': -0.040425729006528854}, {'X': 0.7571848630905151, 'Y': 0.41894251108169556, 'Z': -0.06558831036090851}, {'X': 0.7601039409637451, 'Y': 0.33891773223876953, 'Z': -0.09513980895280838}, {'X': 0.7617632746696472, 'Y': 0.2701854407787323, 'Z': -0.11508462578058243}, {'X': 0.7735756635665894, 'Y': 0.5770976543426514, 'Z': -0.043062373995780945}, {'X': 0.7910265326499939, 'Y': 0.5195879936218262, 'Z': -0.07909385859966278}, {'X': 0.7958984971046448, 'Y': 0.48142409324645996, 'Z': -0.10502640157938004}, {'X': 0.7994720935821533, 'Y': 0.45103174448013306, 'Z': -0.11995583772659302}]
[{'X': 0.7083520293235779, 'Y': 0.7693736553192139, 'Z': -0.0001228813489433378}, {'X': 0.6483146548271179, 'Y': 0.7463333606719971, 'Z': -0.05318163335323334}, {'X': 0.6075834035873413, 'Y': 0.6522658467292786, 'Z': -0.07159455865621567}, {'X': 0.5808596611022949, 'Y': 0.5762925744056702, 'Z': -0.08410483598709106}, {'X': 0.5498127937316895, 'Y': 0.5201652646064758, 'Z': -0.09807508438825607}, {'X': 0.6629453301429749, 'Y': 0.5133627653121948, 'Z': -0.05982664227485657}, {'X': 0.6621317863464355, 'Y': 0.3918517827987671, 'Z': -0.09691352397203445}, {'X': 0.65672367811203, 'Y': 0.30995333194732666, 'Z': -0.13380557298660278}, {'X': 0.6516246795654297, 'Y': 0.23915496468544006, 'Z': -0.165155291557312}, {'X': 0.7038509845733643, 'Y': 0.5122255086898804, 'Z': -0.052683427929878235}, {'X': 0.7162728905677795, 'Y': 0.38595670461654663, 'Z': -0.0860881358385086}, {'X': 0.7209388017654419, 'Y': 0.29635822772979736, 'Z': -0.11495664715766907}, {'X': 0.7259078025817871, 'Y': 0.22211235761642456, 'Z': -0.1326475739479065}, {'X': 0.7415978908538818, 'Y': 0.5361462831497192, 'Z': -0.05316571518778801}, {'X': 0.7589918971061707, 'Y': 0.42754441499710083, 'Z': -0.09006817638874054}, {'X': 0.7624573707580566, 'Y': 0.3500995934009552, 'Z': -0.12076670676469803}, {'X': 0.763995885848999, 'Y': 0.28404515981674194, 'Z': -0.14120391011238098}, {'X': 0.7718541622161865, 'Y': 0.5823379158973694, 'Z': -0.055154528468847275}, {'X': 0.7875232696533203, 'Y': 0.5254814028739929, 'Z': -0.09696376323699951}, {'X': 0.7915957570075989, 'Y': 0.489952951669693, 'Z': -0.1264367401599884}, {'X': 0.7958947420120239, 'Y': 0.46102166175842285, 'Z': -0.14485247433185577}]
[{'X': 0.7107517719268799, 'Y': 0.7704105973243713, 'Z': -0.00011750739940907806}, {'X': 0.6501049399375916, 'Y': 0.7485595941543579, 'Z': -0.04802099987864494}, {'X': 0.6087669134140015, 'Y': 0.6546366810798645, 'Z': -0.06146899610757828}, {'X': 0.5810991525650024, 'Y': 0.5793631672859192, 'Z': -0.06917710602283478}, {'X': 0.5500602126121521, 'Y': 0.5237138867378235, 'Z': -0.07687188684940338}, {'X': 0.6641659736633301, 'Y': 0.5182631611824036, 'Z': -0.05499355122447014}, {'X': 0.6627192497253418, 'Y': 0.4045827388763428, 'Z': -0.08704336732625961}, {'X': 0.6575022339820862, 'Y': 0.33000773191452026, 'Z': -0.1177019402384758}, {'X': 0.6512698531150818, 'Y': 0.2638297975063324, 'Z': -0.14234952628612518}, {'X': 0.7040157318115234, 'Y': 0.5172125101089478, 'Z': -0.047527115792036057}, {'X': 0.7167279124259949, 'Y': 0.39345479011535645, 'Z': -0.07584352791309357}, {'X': 0.71921306848526, 'Y': 0.3040013909339905, 'Z': -0.10309401899576187}, {'X': 0.7224994897842407, 'Y': 0.2287253439426422, 'Z': -0.11848491430282593}, {'X': 0.7401805520057678, 'Y': 0.5420960187911987, 'Z': -0.04631501063704491}, {'X': 0.7585545182228088, 'Y': 0.4416816830635071, 'Z': -0.07942792773246765}, {'X': 0.7603051662445068, 'Y': 0.3688426613807678, 'Z': -0.10796971619129181}, {'X': 0.7600376605987549, 'Y': 0.3060486316680908, 'Z': -0.12531203031539917}, {'X': 0.768294095993042, 'Y': 0.5887967944145203, 'Z': -0.04561205580830574}, {'X': 0.7808417081832886, 'Y': 0.5387994050979614, 'Z': -0.08944445848464966}, {'X': 0.775590181350708, 'Y': 0.5179544687271118, 'Z': -0.11504943668842316}, {'X': 0.7690261602401733, 'Y': 0.5056658983230591, 'Z': -0.1271703690290451}]
[{'X': 0.7068692445755005, 'Y': 0.7703956365585327, 'Z': -0.00015330311725847423}, {'X': 0.6499057412147522, 'Y': 0.739871621131897, 'Z': -0.03649841621518135}, {'X': 0.6105093955993652, 'Y': 0.6428526639938354, 'Z': -0.0466536208987236}, {'X': 0.5836177468299866, 'Y': 0.567224383354187, 'Z': -0.05666152760386467}, {'X': 0.5565890073776245, 'Y': 0.5178441405296326, 'Z': -0.06738513708114624}, {'X': 0.669505774974823, 'Y': 0.5039145946502686, 'Z': -0.015237189829349518}, {'X': 0.6684476733207703, 'Y': 0.41602832078933716, 'Z': -0.03598860651254654}, {'X': 0.6649768352508545, 'Y': 0.36543354392051697, 'Z': -0.05946202948689461}, {'X': 0.6619375944137573, 'Y': 0.323474645614624, 'Z': -0.07591484487056732}, {'X': 0.7092593908309937, 'Y': 0.4978603720664978, 'Z': -0.014472240582108498}, {'X': 0.7220967411994934, 'Y': 0.38609743118286133, 'Z': -0.0231278445571661}, {'X': 0.724406898021698, 'Y': 0.3030473589897156, 'Z': -0.043356623500585556}, {'X': 0.7267829179763794, 'Y': 0.23333564400672913, 'Z': -0.0582713708281517}, {'X': 0.7454347610473633, 'Y': 0.5219307541847229, 'Z': -0.01851586438715458}, {'X': 0.7640203833580017, 'Y': 0.41916540265083313, 'Z': -0.03467322513461113}, {'X': 0.7690293788909912, 'Y': 0.3383302092552185, 'Z': -0.05697984993457794}, {'X': 0.7704892158508301, 'Y': 0.26702386140823364, 'Z': -0.07059963792562485}, {'X': 0.7756438255310059, 'Y': 0.5703193545341492, 'Z': -0.024635564535856247}, {'X': 0.7910643815994263, 'Y': 0.5259138345718384, 'Z': -0.05111097916960716}, {'X': 0.7920453548431396, 'Y': 0.5035595297813416, 'Z': -0.06547103822231293}, {'X': 0.7897422313690186, 'Y': 0.48678797483444214, 'Z': -0.07262638211250305}]
[{'X': 0.7016732692718506, 'Y': 0.7688044309616089, 'Z': -0.00013033142022322863}, {'X': 0.6441908478736877, 'Y': 0.737870454788208, 'Z': -0.04226626455783844}, {'X': 0.6090900301933289, 'Y': 0.641658365726471, 'Z': -0.06337004154920578}, {'X': 0.5819444060325623, 'Y': 0.5670856237411499, 'Z': -0.08008566498756409}, {'X': 0.5549443364143372, 'Y': 0.5134820342063904, 'Z': -0.09928245842456818}, {'X': 0.666538655757904, 'Y': 0.5157110691070557, 'Z': -0.06806722283363342}, {'X': 0.6716554760932922, 'Y': 0.4116615056991577, 'Z': -0.09871546924114227}, {'X': 0.6726560592651367, 'Y': 0.3649557828903198, 'Z': -0.12125669419765472}, {'X': 0.6723540425300598, 'Y': 0.33157771825790405, 'Z': -0.13708244264125824}, {'X': 0.7074379920959473, 'Y': 0.5200114846229553, 'Z': -0.06323081254959106}, {'X': 0.7276325225830078, 'Y': 0.4109228253364563, 'Z': -0.09479474276304245}, {'X': 0.7325873374938965, 'Y': 0.3318204879760742, 'Z': -0.12868604063987732}, {'X': 0.7379159331321716, 'Y': 0.2710416913032532, 'Z': -0.1563589870929718}, {'X': 0.7421920895576477, 'Y': 0.554556131362915, 'Z': -0.059997815638780594}, {'X': 0.7600041031837463, 'Y': 0.4676966667175293, 'Z': -0.09232980012893677}, {'X': 0.757100522518158, 'Y': 0.4016115069389343, 'Z': -0.12714353203773499}, {'X': 0.7535261511802673, 'Y': 0.3519551157951355, 'Z': -0.15278217196464539}, {'X': 0.7668722867965698, 'Y': 0.6085008382797241, 'Z': -0.05805886909365654}, {'X': 0.7780218124389648, 'Y': 0.5652239322662354, 'Z': -0.09670354425907135}, {'X': 0.7722334861755371, 'Y': 0.5425265431404114, 'Z': -0.12344763427972794}, {'X': 0.7609386444091797, 'Y': 0.5267329812049866, 'Z': -0.1435328722000122}]
[{'X': 0.7020204067230225, 'Y': 0.7559238076210022, 'Z': -0.00014304993965197355}, {'X': 0.6447705030441284, 'Y': 0.731713056564331, 'Z': -0.04777149111032486}, {'X': 0.6128472685813904, 'Y': 0.637957751750946, 'Z': -0.07093878090381622}, {'X': 0.5949746966362, 'Y': 0.5668737292289734, 'Z': -0.09484557062387466}, {'X': 0.5660728812217712, 'Y': 0.5139355659484863, 'Z': -0.1259009838104248}, {'X': 0.6692107915878296, 'Y': 0.4938858449459076, 'Z': -0.025780484080314636}, {'X': 0.672962486743927, 'Y': 0.4018245339393616, 'Z': -0.06584668159484863}, {'X': 0.661316454410553, 'Y': 0.38638171553611755, 'Z': -0.10512199997901917}, {'X': 0.6561627388000488, 'Y': 0.40848565101623535, 'Z': -0.1300789713859558}, {'X': 0.7136275172233582, 'Y': 0.4977094531059265, 'Z': -0.02363736927509308}, {'X': 0.731440007686615, 'Y': 0.3984498381614685, 'Z': -0.03367031738162041}, {'X': 0.7320996522903442, 'Y': 0.324515163898468, 'Z': -0.05714283511042595}, {'X': 0.7358907461166382, 'Y': 0.27178704738616943, 'Z': -0.07683918625116348}, {'X': 0.7505574226379395, 'Y': 0.528773307800293, 'Z': -0.029911458492279053}, {'X': 0.771777868270874, 'Y': 0.43617570400238037, 'Z': -0.053271643817424774}, {'X': 0.7788524627685547, 'Y': 0.3621740937232971, 'Z': -0.08481161296367645}, {'X': 0.7835044264793396, 'Y': 0.30199337005615234, 'Z': -0.10698013752698898}, {'X': 0.7816081643104553, 'Y': 0.5782047510147095, 'Z': -0.038156382739543915}, {'X': 0.7952021956443787, 'Y': 0.5363063216209412, 'Z': -0.0726095661520958}, {'X': 0.7956977486610413, 'Y': 0.5273414254188538, 'Z': -0.0943916067481041}, {'X': 0.7953994274139404, 'Y': 0.5243926644325256, 'Z': -0.108402319252491}]
[{'X': 0.6973832249641418, 'Y': 0.7643362283706665, 'Z': -9.469164069741964e-05}, {'X': 0.6405853629112244, 'Y': 0.7233068943023682, 'Z': -0.023931462317705154}, {'X': 0.6073297262191772, 'Y': 0.630001425743103, 'Z': -0.03874654322862625}, {'X': 0.5823226571083069, 'Y': 0.5588560104370117, 'Z': -0.05781494826078415}, {'X': 0.5569214820861816, 'Y': 0.5060783624649048, 'Z': -0.08345069736242294}, {'X': 0.666897177696228, 'Y': 0.5058181881904602, 'Z': -0.01564534194767475}, {'X': 0.670648455619812, 'Y': 0.41168224811553955, 'Z': -0.044222693890333176}, {'X': 0.6686192750930786, 'Y': 0.3881203532218933, 'Z': -0.0741247683763504}, {'X': 0.6684889793395996, 'Y': 0.39373689889907837, 'Z': -0.09392113983631134}, {'X': 0.7055453658103943, 'Y': 0.5112360119819641, 'Z': -0.017824701964855194}, {'X': 0.7278091907501221, 'Y': 0.4229587912559509, 'Z': -0.036260735243558884}, {'X': 0.7330829501152039, 'Y': 0.3652755320072174, 'Z': -0.07012210041284561}, {'X': 0.737328827381134, 'Y': 0.3326731026172638, 'Z': -0.0974637120962143}, {'X': 0.7363349795341492, 'Y': 0.5453895926475525, 'Z': -0.023795897141098976}, {'X': 0.7608852386474609, 'Y': 0.47742581367492676, 'Z': -0.042293570935726166}, {'X': 0.7607613205909729, 'Y': 0.4240082800388336, 'Z': -0.07420506328344345}, {'X': 0.757242739200592, 'Y': 0.3879913091659546, 'Z': -0.09808386862277985}, {'X': 0.7579801678657532, 'Y': 0.5996913313865662, 'Z': -0.03040897659957409}, {'X': 0.7766424417495728, 'Y': 0.57035231590271, 'Z': -0.05669548362493515}, {'X': 0.7774934768676758, 'Y': 0.5484782457351685, 'Z': -0.08073544502258301}, {'X': 0.7692543864250183, 'Y': 0.5283900499343872, 'Z': -0.10031110793352127}]
