[{'X': 0.7152711749076843, 'Y': 0.7540991902351379, 'Z': -0.0001151069300249219}, {'X': 0.6469249129295349, 'Y': 0.7342928051948547, 'Z': 0.020721159875392914}, {'X': 0.5987648367881775, 'Y': 0.6551092267036438, 'Z': 0.03395458310842514}, {'X': 0.5726416707038879, 'Y': 0.5879853367805481, 'Z': 0.03461587056517601}, {'X': 0.5558099150657654, 'Y': 0.5478149652481079, 'Z': 0.030295638367533684}, {'X': 0.6299789547920227, 'Y': 0.508671760559082, 'Z': 0.0645279511809349}, {'X': 0.6159869432449341, 'Y': 0.40077319741249084, 'Z': 0.07531934231519699}, {'X': 0.6063451766967773, 'Y': 0.3274024426937103, 'Z': 0.0697392150759697}, {'X': 0.5961564779281616, 'Y': 0.2646557092666626, 'Z': 0.058088093996047974}, {'X': 0.6622958183288574, 'Y': 0.4900025725364685, 'Z': 0.040190309286117554}, {'X': 0.643031656742096, 'Y': 0.371690571308136, 'Z': 0.04626668617129326}, {'X': 0.6247990131378174, 'Y': 0.2922601103782654, 'Z': 0.026219401508569717}, {'X': 0.6105523705482483, 'Y': 0.231387197971344, 'Z': 0.014687923714518547}, {'X': 0.69956374168396, 'Y': 0.48874345421791077, 'Z': 0.014194333925843239}, {'X': 0.6768204569816589, 'Y': 0.37028276920318604, 'Z': 0.014172891154885292}, {'X': 0.6541011929512024, 'Y': 0.30573856830596924, 'Z': -0.0068913716822862625}, {'X': 0.6361128091812134, 'Y': 0.2560504078865051, 'Z': -0.021044960245490074}, {'X': 0.7387603521347046, 'Y': 0.5073140859603882, 'Z': -0.01063910685479641}, {'X': 0.7283072471618652, 'Y': 0.4101523160934448, 'Z': -0.015247589908540249}, {'X': 0.7142829895019531, 'Y': 0.3454015254974365, 'Z': -0.029524464160203934}, {'X': 0.6969324350357056, 'Y': 0.2867874801158905, 'Z': -0.03933774307370186}]
[{'X': 0.713698148727417, 'Y': 0.7389503121376038, 'Z': -8.019606320885941e-05}, {'X': 0.6486334204673767, 'Y': 0.7244314551353455, 'Z': 0.020008118823170662}, {'X': 0.6023107171058655, 'Y': 0.6486014127731323, 'Z': 0.02834237925708294}, {'X': 0.5742003917694092, 'Y': 0.5801352262496948, 'Z': 0.026056475937366486}, {'X': 0.5497997403144836, 'Y': 0.5413139462471008, 'Z': 0.018913893029093742}, {'X': 0.6304391622543335, 'Y': 0.5029821991920471, 'Z': 0.06322969496250153}, {'X': 0.6175541281700134, 'Y': 0.4035071134567261, 'Z': 0.07305323332548141}, {'X': 0.6080201864242554, 'Y': 0.3336260914802551, 'Z': 0.0684252679347992}, {'X': 0.5981662273406982, 'Y': 0.2731791138648987, 'Z': 0.05833297595381737}, {'X': 0.6618317365646362, 'Y': 0.4823901057243347, 'Z': 0.03911346197128296}, {'X': 0.6446533799171448, 'Y': 0.375112384557724, 'Z': 0.045543234795331955}, {'X': 0.6269591450691223, 'Y': 0.3013509213924408, 'Z': 0.027713043615221977}, {'X': 0.6113263368606567, 'Y': 0.2437005639076233, 'Z': 0.016443496569991112}, {'X': 0.699841320514679, 'Y': 0.48211461305618286, 'Z': 0.01328959595412016}, {'X': 0.6796613931655884, 'Y': 0.37102043628692627, 'Z': 0.013407205231487751}, {'X': 0.6586225628852844, 'Y': 0.3133806884288788, 'Z': -0.005237294360995293}, {'X': 0.6403506398200989, 'Y': 0.27002739906311035, 'Z': -0.015401474200189114}, {'X': 0.7411959171295166, 'Y': 0.5027697086334229, 'Z': -0.010954844765365124}, {'X': 0.732312798500061, 'Y': 0.40915048122406006, 'Z': -0.016043422743678093}, {'X': 0.7189828753471375, 'Y': 0.3484744131565094, 'Z': -0.02709798514842987}, {'X': 0.700912594795227, 'Y': 0.2945427894592285, 'Z': -0.033853679895401}]
[{'X': 0.7129100561141968, 'Y': 0.7294349074363708, 'Z': -7.855419244151562e-05}, {'X': 0.6481556296348572, 'Y': 0.7207110524177551, 'Z': 0.03319565951824188}, {'X': 0.6039444804191589, 'Y': 0.6510511636734009, 'Z': 0.047874510288238525}, {'X': 0.5754388570785522, 'Y': 0.5813817977905273, 'Z': 0.05083872005343437}, {'X': 0.5521232485771179, 'Y': 0.5405979156494141, 'Z': 0.047320276498794556}, {'X': 0.6288714408874512, 'Y': 0.5076175332069397, 'Z': 0.0747760683298111}, {'X': 0.6177211403846741, 'Y': 0.40362969040870667, 'Z': 0.09268500655889511}, {'X': 0.6086029410362244, 'Y': 0.33430570363998413, 'Z': 0.09097146987915039}, {'X': 0.5989357233047485, 'Y': 0.2769494354724884, 'Z': 0.08309923857450485}, {'X': 0.661359965801239, 'Y': 0.4849628806114197, 'Z': 0.05114506557583809}, {'X': 0.6450942754745483, 'Y': 0.3747914433479309, 'Z': 0.06609896570444107}, {'X': 0.6270341277122498, 'Y': 0.29990074038505554, 'Z': 0.05273896083235741}, {'X': 0.6114149689674377, 'Y': 0.24397122859954834, 'Z': 0.043991316109895706}, {'X': 0.7000057101249695, 'Y': 0.48201119899749756, 'Z': 0.02848743088543415}, {'X': 0.6790329217910767, 'Y': 0.3703768849372864, 'Z': 0.03671157732605934}, {'X': 0.657713770866394, 'Y': 0.3074229061603546, 'Z': 0.025663213804364204}, {'X': 0.6387820839881897, 'Y': 0.2597694396972656, 'Z': 0.02034694515168667}, {'X': 0.7414482235908508, 'Y': 0.49945324659347534, 'Z': 0.00793424341827631}, {'X': 0.7317349314689636, 'Y': 0.40509140491485596, 'Z': 0.011079087853431702}, {'X': 0.7190631628036499, 'Y': 0.343671977519989, 'Z': 0.007198603358119726}, {'X': 0.7015812993049622, 'Y': 0.29024654626846313, 'Z': 0.00571883749216795}]
[{'X': 0.7159603238105774, 'Y': 0.7492753267288208, 'Z': -0.00011530258052516729}, {'X': 0.6484009623527527, 'Y': 0.7348853945732117, 'Z': 0.020393088459968567}, {'X': 0.6015195846557617, 'Y': 0.6553182005882263, 'Z': 0.033306632190942764}, {'X': 0.5742009282112122, 'Y': 0.5867004990577698, 'Z': 0.035925619304180145}, {'X': 0.5516583323478699, 'Y': 0.5454789996147156, 'Z': 0.03356887027621269}, {'X': 0.6325997710227966, 'Y': 0.5036367774009705, 'Z': 0.05379815027117729}, {'X': 0.6179340481758118, 'Y': 0.3939095735549927, 'Z': 0.05735449120402336}, {'X': 0.6072909235954285, 'Y': 0.3215818405151367, 'Z': 0.046937521547079086}, {'X': 0.5971390008926392, 'Y': 0.25845208764076233, 'Z': 0.03294527158141136}, {'X': 0.6652634739875793, 'Y': 0.48472362756729126, 'Z': 0.03032873198390007}, {'X': 0.645886242389679, 'Y': 0.36722666025161743, 'Z': 0.03314070776104927}, {'X': 0.627108097076416, 'Y': 0.2856520414352417, 'Z': 0.014966006390750408}, {'X': 0.612538754940033, 'Y': 0.2209075391292572, 'Z': 0.0033681695349514484}, {'X': 0.7028705477714539, 'Y': 0.48563849925994873, 'Z': 0.004887309391051531}, {'X': 0.6820477843284607, 'Y': 0.36817681789398193, 'Z': 0.0050053223967552185}, {'X': 0.6600303053855896, 'Y': 0.2994632422924042, 'Z': -0.011922795325517654}, {'X': 0.6410606503486633, 'Y': 0.24399727582931519, 'Z': -0.023656662553548813}, {'X': 0.7426284551620483, 'Y': 0.5064955949783325, 'Z': -0.019457848742604256}, {'X': 0.731745183467865, 'Y': 0.41297072172164917, 'Z': -0.024808473885059357}, {'X': 0.7177755832672119, 'Y': 0.35085928440093994, 'Z': -0.0363088995218277}, {'X': 0.7003594040870667, 'Y': 0.2932375967502594, 'Z': -0.04366839677095413}]
[{'X': 0.7231556177139282, 'Y': 0.7368630170822144, 'Z': -0.00010401315375929698}, {'X': 0.6563643217086792, 'Y': 0.7251932621002197, 'Z': 0.0199357271194458}, {'X': 0.6056339740753174, 'Y': 0.6523959040641785, 'Z': 0.03703990578651428}, {'X': 0.5768494606018066, 'Y': 0.5819939374923706, 'Z': 0.044944632798433304}, {'X': 0.5568435192108154, 'Y': 0.5392870306968689, 'Z': 0.05309630185365677}, {'X': 0.6342414617538452, 'Y': 0.5005234479904175, 'Z': 0.05472591519355774}, {'X': 0.6206737756729126, 'Y': 0.39216113090515137, 'Z': 0.061590541154146194}, {'X': 0.61176598072052, 'Y': 0.3206336498260498, 'Z': 0.06271812319755554}, {'X': 0.6040627360343933, 'Y': 0.2632526159286499, 'Z': 0.060073718428611755}, {'X': 0.6688154339790344, 'Y': 0.4761795103549957, 'Z': 0.040023647248744965}, {'X': 0.6494820713996887, 'Y': 0.3567509353160858, 'Z': 0.048771027475595474}, {'X': 0.6314176917076111, 'Y': 0.2752517759799957, 'Z': 0.042453598231077194}, {'X': 0.6166508793830872, 'Y': 0.2117631733417511, 'Z': 0.037461716681718826}, {'X': 0.70754474401474, 'Y': 0.47347232699394226, 'Z': 0.024404654279351234}, {'X': 0.689541757106781, 'Y': 0.36023586988449097, 'Z': 0.0290216151624918}, {'X': 0.6672857403755188, 'Y': 0.2928893566131592, 'Z': 0.019849471747875214}, {'X': 0.6461685299873352, 'Y': 0.2456659972667694, 'Z': 0.01611345261335373}, {'X': 0.7487539052963257, 'Y': 0.4933614730834961, 'Z': 0.009279937483370304}, {'X': 0.7359678745269775, 'Y': 0.40753334760665894, 'Z': 0.0052208974957466125}, {'X': 0.7192599177360535, 'Y': 0.364948570728302, 'Z': -0.004560357891023159}, {'X': 0.6988584995269775, 'Y': 0.3435084819793701, 'Z': -0.009157584980130196}]
[{'X': 0.718089759349823, 'Y': 0.7344970107078552, 'Z': -8.074370998656377e-05}, {'X': 0.6528862118721008, 'Y': 0.7293055057525635, 'Z': 0.04518813639879227}, {'X': 0.6059606075286865, 'Y': 0.6532429456710815, 'Z': 0.07903927564620972}, {'X': 0.5746486186981201, 'Y': 0.5846033692359924, 'Z': 0.10278583317995071}, {'X': 0.5505079030990601, 'Y': 0.5527054071426392, 'Z': 0.12963567674160004}, {'X': 0.6326654553413391, 'Y': 0.5023195147514343, 'Z': 0.08932703733444214}, {'X': 0.6207447648048401, 'Y': 0.3907066285610199, 'Z': 0.11838711053133011}, {'X': 0.6138537526130676, 'Y': 0.3216772675514221, 'Z': 0.13080273568630219}, {'X': 0.6082698106765747, 'Y': 0.2713291347026825, 'Z': 0.1355520784854889}, {'X': 0.6688777804374695, 'Y': 0.4786829948425293, 'Z': 0.07503504306077957}, {'X': 0.6536710858345032, 'Y': 0.35673004388809204, 'Z': 0.10154269635677338}, {'X': 0.6362585425376892, 'Y': 0.27550235390663147, 'Z': 0.10312075912952423}, {'X': 0.622085690498352, 'Y': 0.21729028224945068, 'Z': 0.10432258248329163}, {'X': 0.7093622088432312, 'Y': 0.4765368700027466, 'Z': 0.06454812735319138}, {'X': 0.6963031888008118, 'Y': 0.36110255122184753, 'Z': 0.08789615333080292}, {'X': 0.674326479434967, 'Y': 0.2994481921195984, 'Z': 0.09353678673505783}, {'X': 0.6543535590171814, 'Y': 0.2634774446487427, 'Z': 0.10215355455875397}, {'X': 0.7509839534759521, 'Y': 0.49555858969688416, 'Z': 0.0564567930996418}, {'X': 0.7411954998970032, 'Y': 0.40538546442985535, 'Z': 0.07066069543361664}, {'X': 0.7257795929908752, 'Y': 0.3709182143211365, 'Z': 0.07977619767189026}, {'X': 0.7089130878448486, 'Y': 0.36345553398132324, 'Z': 0.08999554067850113}]
[{'X': 0.7191232442855835, 'Y': 0.7341527342796326, 'Z': -9.569023677613586e-05}, {'X': 0.6537188291549683, 'Y': 0.7280141115188599, 'Z': 0.012308994308114052}, {'X': 0.6049942374229431, 'Y': 0.6496561765670776, 'Z': 0.036636967211961746}, {'X': 0.5780367255210876, 'Y': 0.5815321207046509, 'Z': 0.050499361008405685}, {'X': 0.5499277710914612, 'Y': 0.5534673929214478, 'Z': 0.0620083287358284}, {'X': 0.6367497444152832, 'Y': 0.493660032749176, 'Z': 0.0766894668340683}, {'X': 0.6244487762451172, 'Y': 0.3798372149467468, 'Z': 0.09954006224870682}, {'X': 0.6157932281494141, 'Y': 0.30724748969078064, 'Z': 0.11042259633541107}, {'X': 0.6086376309394836, 'Y': 0.2499712109565735, 'Z': 0.11072597652673721}, {'X': 0.6721317768096924, 'Y': 0.46951353549957275, 'Z': 0.05887698382139206}, {'X': 0.6610947251319885, 'Y': 0.34512829780578613, 'Z': 0.06849569827318192}, {'X': 0.6433221697807312, 'Y': 0.26347965002059937, 'Z': 0.0559261254966259}, {'X': 0.6293599009513855, 'Y': 0.2114659547805786, 'Z': 0.04624930024147034}, {'X': 0.7111117839813232, 'Y': 0.4719114601612091, 'Z': 0.03684946149587631}, {'X': 0.7015289068222046, 'Y': 0.3526420295238495, 'Z': 0.02441982738673687}, {'X': 0.6782701015472412, 'Y': 0.31814104318618774, 'Z': -0.010538865812122822}, {'X': 0.6592382788658142, 'Y': 0.3161178231239319, 'Z': -0.02572697587311268}, {'X': 0.7537704110145569, 'Y': 0.49370819330215454, 'Z': 0.016455987468361855}, {'X': 0.7477425932884216, 'Y': 0.40735018253326416, 'Z': -0.022974861785769463}, {'X': 0.7298579812049866, 'Y': 0.39567556977272034, 'Z': -0.05924505740404129}, {'X': 0.7105515003204346, 'Y': 0.420699805021286, 'Z': -0.074935182929039}]
[{'X': 0.7218031287193298, 'Y': 0.7391549348831177, 'Z': -0.00012857375259045511}, {'X': 0.6555011868476868, 'Y': 0.7299013733863831, 'Z': 0.008537466637790203}, {'X': 0.6067930459976196, 'Y': 0.6484098434448242, 'Z': 0.028811657801270485}, {'X': 0.5796288847923279, 'Y': 0.5804538726806641, 'Z': 0.0385078601539135}, {'X': 0.5538891553878784, 'Y': 0.556184709072113, 'Z': 0.047517672181129456}, {'X': 0.6388819217681885, 'Y': 0.49536311626434326, 'Z': 0.07252203673124313}, {'X': 0.6239840388298035, 'Y': 0.39386892318725586, 'Z': 0.09145443141460419}, {'X': 0.6096490621566772, 'Y': 0.3265853524208069, 'Z': 0.09743985533714294}, {'X': 0.5977799296379089, 'Y': 0.2796594798564911, 'Z': 0.0960829108953476}, {'X': 0.6754584312438965, 'Y': 0.47028660774230957, 'Z': 0.05264968052506447}, {'X': 0.6657907962799072, 'Y': 0.3522568345069885, 'Z': 0.06153372302651405}, {'X': 0.6452106237411499, 'Y': 0.2756250500679016, 'Z': 0.05701156705617905}, {'X': 0.6280816793441772, 'Y': 0.2273470163345337, 'Z': 0.054381586611270905}, {'X': 0.7136109471321106, 'Y': 0.46881112456321716, 'Z': 0.026034120470285416}, {'X': 0.7016059756278992, 'Y': 0.3589315712451935, 'Z': 0.0023805226664990187}, {'X': 0.6820254325866699, 'Y': 0.3782917857170105, 'Z': -0.03305467218160629}, {'X': 0.6694737076759338, 'Y': 0.41751495003700256, 'Z': -0.04261843487620354}, {'X': 0.7539806365966797, 'Y': 0.48107194900512695, 'Z': 0.0017926925793290138}, {'X': 0.7424226999282837, 'Y': 0.4033515453338623, 'Z': -0.04444041848182678}, {'X': 0.7285880446434021, 'Y': 0.4253309965133667, 'Z': -0.07902991026639938}, {'X': 0.7179631590843201, 'Y': 0.4701418876647949, 'Z': -0.09265255928039551}]
[{'X': 0.7217046618461609, 'Y': 0.7389875650405884, 'Z': -0.00012820071424357593}, {'X': 0.653675377368927, 'Y': 0.729404091835022, 'Z': 0.010894030332565308}, {'X': 0.6059175133705139, 'Y': 0.6510937809944153, 'Z': 0.028854385018348694}, {'X': 0.5788285136222839, 'Y': 0.5892682075500488, 'Z': 0.0379292257130146}, {'X': 0.5517915487289429, 'Y': 0.564336359500885, 'Z': 0.04671378433704376}, {'X': 0.6391317248344421, 'Y': 0.5080187916755676, 'Z': 0.05950292572379112}, {'X': 0.6255964636802673, 'Y': 0.40276038646698, 'Z': 0.07011328637599945}, {'X': 0.6121008992195129, 'Y': 0.3324999511241913, 'Z': 0.0697052851319313}, {'X': 0.597557783126831, 'Y': 0.28396594524383545, 'Z': 0.06247847527265549}, {'X': 0.6748219132423401, 'Y': 0.4874874949455261, 'Z': 0.03789537400007248}, {'X': 0.6639144420623779, 'Y': 0.37165704369544983, 'Z': 0.032557275146245956}, {'X': 0.6434164643287659, 'Y': 0.30372241139411926, 'Z': 0.013638369739055634}, {'X': 0.6241552829742432, 'Y': 0.26471638679504395, 'Z': 0.002146662212908268}, {'X': 0.7125052213668823, 'Y': 0.4900609850883484, 'Z': 0.012329029850661755}, {'X': 0.703813910484314, 'Y': 0.38296401500701904, 'Z': -0.014628772623836994}, {'X': 0.684862494468689, 'Y': 0.3673987090587616, 'Z': -0.05283147096633911}, {'X': 0.6700605750083923, 'Y': 0.38009023666381836, 'Z': -0.06883653998374939}, {'X': 0.7503190636634827, 'Y': 0.5101981163024902, 'Z': -0.012015432119369507}, {'X': 0.7423906922340393, 'Y': 0.4250043034553528, 'Z': -0.053616393357515335}, {'X': 0.7261079549789429, 'Y': 0.4018533229827881, 'Z': -0.08755339682102203}, {'X': 0.7092820405960083, 'Y': 0.4084298312664032, 'Z': -0.10620919615030289}]
[{'X': 0.7128758430480957, 'Y': 0.7366144061088562, 'Z': -9.872369992081076e-05}, {'X': 0.6450589299201965, 'Y': 0.725960373878479, 'Z': 0.011287611909210682}, {'X': 0.6012357473373413, 'Y': 0.6487548351287842, 'Z': 0.03009243868291378}, {'X': 0.5777698755264282, 'Y': 0.5903900861740112, 'Z': 0.04391095042228699}, {'X': 0.555056095123291, 'Y': 0.5700624585151672, 'Z': 0.05854698270559311}, {'X': 0.6370938420295715, 'Y': 0.5036596655845642, 'Z': 0.05858748406171799}, {'X': 0.6242831945419312, 'Y': 0.4049442410469055, 'Z': 0.06451147794723511}, {'X': 0.6099209189414978, 'Y': 0.3338909149169922, 'Z': 0.057131703943014145}, {'X': 0.5947388410568237, 'Y': 0.28848549723625183, 'Z': 0.046169113367795944}, {'X': 0.6751880049705505, 'Y': 0.487057626247406, 'Z': 0.03937886655330658}, {'X': 0.6678426861763, 'Y': 0.3739127516746521, 'Z': 0.02278216928243637}, {'X': 0.6483514904975891, 'Y': 0.32266974449157715, 'Z': -0.00670814560726285}, {'X': 0.6308860182762146, 'Y': 0.3121410608291626, 'Z': -0.018880821764469147}, {'X': 0.7141942381858826, 'Y': 0.4929470419883728, 'Z': 0.017526725307106972}, {'X': 0.7114412188529968, 'Y': 0.3841922879219055, 'Z': -0.011561059392988682}, {'X': 0.6948341131210327, 'Y': 0.3872208893299103, 'Z': -0.050929807126522064}, {'X': 0.6811820864677429, 'Y': 0.4204746186733246, 'Z': -0.06423971056938171}, {'X': 0.7520531415939331, 'Y': 0.5167718529701233, 'Z': -0.003538599004969001}, {'X': 0.7497498989105225, 'Y': 0.4362078011035919, 'Z': -0.048659782856702805}, {'X': 0.7370261549949646, 'Y': 0.4348808526992798, 'Z': -0.08087386190891266}, {'X': 0.7236480712890625, 'Y': 0.46402502059936523, 'Z': -0.09506537765264511}]
[{'X': 0.7176382541656494, 'Y': 0.7485633492469788, 'Z': -0.0001020834461087361}, {'X': 0.6483094096183777, 'Y': 0.7324327826499939, 'Z': 0.017015041783452034}, {'X': 0.6020284295082092, 'Y': 0.6524802446365356, 'Z': 0.03792054206132889}, {'X': 0.5780395865440369, 'Y': 0.5952702164649963, 'Z': 0.05014963448047638}, {'X': 0.5555347204208374, 'Y': 0.5716164112091064, 'Z': 0.06036897748708725}, {'X': 0.6384891867637634, 'Y': 0.5088250637054443, 'Z': 0.07117390632629395}, {'X': 0.6270102858543396, 'Y': 0.4085046947002411, 'Z': 0.0812462717294693}, {'X': 0.6136879324913025, 'Y': 0.3392464518547058, 'Z': 0.07488471269607544}, {'X': 0.5994408130645752, 'Y': 0.29658931493759155, 'Z': 0.06477262079715729}, {'X': 0.6745575666427612, 'Y': 0.4901595711708069, 'Z': 0.05054429918527603}, {'X': 0.6662602424621582, 'Y': 0.3767765462398529, 'Z': 0.04136886075139046}, {'X': 0.6451060175895691, 'Y': 0.32472145557403564, 'Z': 0.01701406203210354}, {'X': 0.6253852248191833, 'Y': 0.3119553029537201, 'Z': 0.005312182940542698}, {'X': 0.7110527753829956, 'Y': 0.49394550919532776, 'Z': 0.027155574411153793}, {'X': 0.7043058276176453, 'Y': 0.38494548201560974, 'Z': 0.0016095717437565327}, {'X': 0.6848205327987671, 'Y': 0.389629602432251, 'Z': -0.03789941966533661}, {'X': 0.6696885228157043, 'Y': 0.42723914980888367, 'Z': -0.05340586602687836}, {'X': 0.7457616329193115, 'Y': 0.5148090720176697, 'Z': 0.00491474149748683}, {'X': 0.7367416024208069, 'Y': 0.4303814172744751, 'Z': -0.03572624549269676}, {'X': 0.7183349132537842, 'Y': 0.4178580343723297, 'Z': -0.06814868748188019}, {'X': 0.7008341550827026, 'Y': 0.43987607955932617, 'Z': -0.08502914756536484}]
