[{'X': 0.701995849609375, 'Y': 0.7979223132133484, 'Z': -6.987737288000062e-05}, {'X': 0.6381304264068604, 'Y': 0.7568416595458984, 'Z': -0.027424583211541176}, {'X': 0.5881259441375732, 'Y': 0.6588770747184753, 'Z': -0.032707199454307556}, {'X': 0.5572347640991211, 'Y': 0.5800990462303162, 'Z': -0.04338846355676651}, {'X': 0.5257695317268372, 'Y': 0.547204315662384, 'Z': -0.062186773866415024}, {'X': 0.6339045763015747, 'Y': 0.5134916305541992, 'Z': 0.025523023679852486}, {'X': 0.6260538697242737, 'Y': 0.3973011374473572, 'Z': 0.019284788519144058}, {'X': 0.6216855645179749, 'Y': 0.32710230350494385, 'Z': 0.004787606652826071}, {'X': 0.6176690459251404, 'Y': 0.2652081847190857, 'Z': -0.011723554693162441}, {'X': 0.672884464263916, 'Y': 0.49332788586616516, 'Z': 0.017615705728530884}, {'X': 0.6627184748649597, 'Y': 0.36878710985183716, 'Z': 0.015545814298093319}, {'X': 0.6538782715797424, 'Y': 0.2946871519088745, 'Z': -0.011812619864940643}, {'X': 0.6457323431968689, 'Y': 0.2279101014137268, 'Z': -0.03156333416700363}, {'X': 0.7124325037002563, 'Y': 0.4981610178947449, 'Z': 0.0024234408047050238}, {'X': 0.7063021063804626, 'Y': 0.37011003494262695, 'Z': -0.006420945283025503}, {'X': 0.697822630405426, 'Y': 0.29206299781799316, 'Z': -0.03799150884151459}, {'X': 0.6889501214027405, 'Y': 0.22360235452651978, 'Z': -0.06266319751739502}, {'X': 0.7539958953857422, 'Y': 0.5286861658096313, 'Z': -0.015600880607962608}, {'X': 0.7711600065231323, 'Y': 0.4331115186214447, 'Z': -0.030882827937602997}, {'X': 0.7795366644859314, 'Y': 0.3656904995441437, 'Z': -0.05082841217517853}, {'X': 0.7826693058013916, 'Y': 0.29779568314552307, 'Z': -0.07056932896375656}]
[{'X': 0.7031892538070679, 'Y': 0.7974274158477783, 'Z': -7.232543430291116e-05}, {'X': 0.6384790539741516, 'Y': 0.7572178840637207, 'Z': -0.031246192753314972}, {'X': 0.5874974131584167, 'Y': 0.6602370738983154, 'Z': -0.040438272058963776}, {'X': 0.5564479827880859, 'Y': 0.581398069858551, 'Z': -0.05477447435259819}, {'X': 0.5286881327629089, 'Y': 0.5447632670402527, 'Z': -0.0773329809308052}, {'X': 0.6344032883644104, 'Y': 0.5132246613502502, 'Z': 0.01862781122326851}, {'X': 0.6259127855300903, 'Y': 0.3992214500904083, 'Z': 0.0088196424767375}, {'X': 0.620613157749176, 'Y': 0.3282994031906128, 'Z': -0.007083728443831205}, {'X': 0.615947961807251, 'Y': 0.2673753499984741, 'Z': -0.023705536499619484}, {'X': 0.6733272671699524, 'Y': 0.4924231171607971, 'Z': 0.01131936814635992}, {'X': 0.6633699536323547, 'Y': 0.3681703507900238, 'Z': 0.006356954108923674}, {'X': 0.6536449193954468, 'Y': 0.29216843843460083, 'Z': -0.022072194144129753}, {'X': 0.6445868015289307, 'Y': 0.2245602011680603, 'Z': -0.042880620807409286}, {'X': 0.7127607464790344, 'Y': 0.4974764585494995, 'Z': -0.003667621873319149}, {'X': 0.707127571105957, 'Y': 0.3689587712287903, 'Z': -0.014363325200974941}, {'X': 0.6984595656394958, 'Y': 0.2901967167854309, 'Z': -0.04630688577890396}, {'X': 0.6890145540237427, 'Y': 0.2230846881866455, 'Z': -0.0712926983833313}, {'X': 0.7542903423309326, 'Y': 0.5297315120697021, 'Z': -0.021783530712127686}, {'X': 0.7722392678260803, 'Y': 0.4349197745323181, 'Z': -0.03849190101027489}, {'X': 0.7810912728309631, 'Y': 0.3682175576686859, 'Z': -0.0582505464553833}, {'X': 0.7851460576057434, 'Y': 0.3026652932167053, 'Z': -0.07864107191562653}]
[{'X': 0.7006751894950867, 'Y': 0.8075253963470459, 'Z': -8.516853267792612e-05}, {'X': 0.6372951865196228, 'Y': 0.7649960517883301, 'Z': -0.03125575929880142}, {'X': 0.5879062414169312, 'Y': 0.6631239056587219, 'Z': -0.042867980897426605}, {'X': 0.5582720637321472, 'Y': 0.5815309882164001, 'Z': -0.059268008917570114}, {'X': 0.5287556648254395, 'Y': 0.5495857000350952, 'Z': -0.08402056246995926}, {'X': 0.6333671808242798, 'Y': 0.5211886167526245, 'Z': 0.002281214576214552}, {'X': 0.6255855560302734, 'Y': 0.40964508056640625, 'Z': -0.018467716872692108}, {'X': 0.6208173036575317, 'Y': 0.33789485692977905, 'Z': -0.038596972823143005}, {'X': 0.6156592965126038, 'Y': 0.27349188923835754, 'Z': -0.056063905358314514}, {'X': 0.6719881296157837, 'Y': 0.5009539127349854, 'Z': -0.00866932887583971}, {'X': 0.6602612733840942, 'Y': 0.3797292113304138, 'Z': -0.022984573617577553}, {'X': 0.648906409740448, 'Y': 0.3014594614505768, 'Z': -0.05234751105308533}, {'X': 0.6395225524902344, 'Y': 0.229536771774292, 'Z': -0.07378529012203217}, {'X': 0.7125731110572815, 'Y': 0.5056926608085632, 'Z': -0.025707898661494255}, {'X': 0.7038390636444092, 'Y': 0.3803306818008423, 'Z': -0.043107062578201294}, {'X': 0.6950476169586182, 'Y': 0.30000078678131104, 'Z': -0.07622137665748596}, {'X': 0.6861827969551086, 'Y': 0.2267552614212036, 'Z': -0.10258585214614868}, {'X': 0.7563769221305847, 'Y': 0.536547064781189, 'Z': -0.04587312787771225}, {'X': 0.7715810537338257, 'Y': 0.44029906392097473, 'Z': -0.06603638827800751}, {'X': 0.7807168364524841, 'Y': 0.37164390087127686, 'Z': -0.08671239763498306}, {'X': 0.784573495388031, 'Y': 0.29992201924324036, 'Z': -0.10931187123060226}]
[{'X': 0.7022188901901245, 'Y': 0.8083990812301636, 'Z': -5.0289574573980644e-05}, {'X': 0.6363896727561951, 'Y': 0.7690504789352417, 'Z': -0.022846365347504616}, {'X': 0.586212158203125, 'Y': 0.6695687770843506, 'Z': -0.029937081038951874}, {'X': 0.5560396909713745, 'Y': 0.5831811428070068, 'Z': -0.04158918559551239}, {'X': 0.5233489274978638, 'Y': 0.5430901646614075, 'Z': -0.059239257127046585}, {'X': 0.6323965787887573, 'Y': 0.5133430361747742, 'Z': 0.022165916860103607}, {'X': 0.6249256730079651, 'Y': 0.3963892459869385, 'Z': 0.017043478786945343}, {'X': 0.6192649006843567, 'Y': 0.32710444927215576, 'Z': 0.005291457287967205}, {'X': 0.6132944822311401, 'Y': 0.2653774917125702, 'Z': -0.00906679779291153}, {'X': 0.6731504797935486, 'Y': 0.49325495958328247, 'Z': 0.013216051273047924}, {'X': 0.6631625890731812, 'Y': 0.36827021837234497, 'Z': 0.012199729681015015}, {'X': 0.6525272130966187, 'Y': 0.29475727677345276, 'Z': -0.012133193202316761}, {'X': 0.64306640625, 'Y': 0.22881534695625305, 'Z': -0.03029274009168148}, {'X': 0.7140195369720459, 'Y': 0.4992750287055969, 'Z': -0.0013518474297598004}, {'X': 0.7079194188117981, 'Y': 0.3698467016220093, 'Z': -0.009326166473329067}, {'X': 0.6995089650154114, 'Y': 0.29143983125686646, 'Z': -0.04094720259308815}, {'X': 0.6913449764251709, 'Y': 0.22209981083869934, 'Z': -0.06599464267492294}, {'X': 0.7571858763694763, 'Y': 0.5310274362564087, 'Z': -0.017320197075605392}, {'X': 0.7728384137153625, 'Y': 0.43528395891189575, 'Z': -0.03270607441663742}, {'X': 0.7808222770690918, 'Y': 0.3674682378768921, 'Z': -0.053116749972105026}, {'X': 0.7833543419837952, 'Y': 0.29884645342826843, 'Z': -0.07299892604351044}]
[{'X': 0.7056384086608887, 'Y': 0.8159466981887817, 'Z': -5.4833082685945556e-05}, {'X': 0.6397825479507446, 'Y': 0.7711900472640991, 'Z': -0.02806658297777176}, {'X': 0.5876250267028809, 'Y': 0.6721704006195068, 'Z': -0.03890370577573776}, {'X': 0.5547648668289185, 'Y': 0.5880082845687866, 'Z': -0.05330387502908707}, {'X': 0.5238189697265625, 'Y': 0.5496526956558228, 'Z': -0.07455988973379135}, {'X': 0.6339686512947083, 'Y': 0.5176815390586853, 'Z': 0.008972376585006714}, {'X': 0.6238187551498413, 'Y': 0.39779895544052124, 'Z': -0.004729501903057098}, {'X': 0.617967426776886, 'Y': 0.32761240005493164, 'Z': -0.019040357321500778}, {'X': 0.6123586297035217, 'Y': 0.2642671465873718, 'Z': -0.033410683274269104}, {'X': 0.6740503311157227, 'Y': 0.49838438630104065, 'Z': 0.00020051591855008155}, {'X': 0.6617435216903687, 'Y': 0.3708522319793701, 'Z': -0.00921705923974514}, {'X': 0.6519287824630737, 'Y': 0.2985767722129822, 'Z': -0.03511255607008934}, {'X': 0.6441636085510254, 'Y': 0.23218652606010437, 'Z': -0.05378672853112221}, {'X': 0.7141447067260742, 'Y': 0.503934919834137, 'Z': -0.015103316865861416}, {'X': 0.7060754299163818, 'Y': 0.3736286759376526, 'Z': -0.029033184051513672}, {'X': 0.6973451375961304, 'Y': 0.2956239581108093, 'Z': -0.061973970383405685}, {'X': 0.6895248889923096, 'Y': 0.22499704360961914, 'Z': -0.08885332196950912}, {'X': 0.7572586536407471, 'Y': 0.5347797274589539, 'Z': -0.032042499631643295}, {'X': 0.7717399597167969, 'Y': 0.43809762597084045, 'Z': -0.0490097738802433}, {'X': 0.780715823173523, 'Y': 0.368446409702301, 'Z': -0.07085668295621872}, {'X': 0.7845149040222168, 'Y': 0.2953310012817383, 'Z': -0.09363701194524765}]
[{'X': 0.7032271027565002, 'Y': 0.8041716814041138, 'Z': -4.777390859089792e-05}, {'X': 0.6392964124679565, 'Y': 0.7645684480667114, 'Z': -0.032131362706422806}, {'X': 0.5890953540802002, 'Y': 0.6690530776977539, 'Z': -0.04375385493040085}, {'X': 0.5555668473243713, 'Y': 0.5864390730857849, 'Z': -0.05833843722939491}, {'X': 0.5238592028617859, 'Y': 0.5485343933105469, 'Z': -0.08047369122505188}, {'X': 0.6349896192550659, 'Y': 0.5218599438667297, 'Z': 0.005151586141437292}, {'X': 0.6241635680198669, 'Y': 0.40177881717681885, 'Z': -0.012343407608568668}, {'X': 0.6180956959724426, 'Y': 0.3296928107738495, 'Z': -0.031195497140288353}, {'X': 0.612496554851532, 'Y': 0.2644219696521759, 'Z': -0.048574481159448624}, {'X': 0.674201250076294, 'Y': 0.502545177936554, 'Z': -0.0033989627845585346}, {'X': 0.6621509790420532, 'Y': 0.3753110468387604, 'Z': -0.016227200627326965}, {'X': 0.6520860195159912, 'Y': 0.3009856939315796, 'Z': -0.04642516374588013}, {'X': 0.6432656645774841, 'Y': 0.23275381326675415, 'Z': -0.068781279027462}, {'X': 0.7146110534667969, 'Y': 0.5083553194999695, 'Z': -0.01907682605087757}, {'X': 0.7070177793502808, 'Y': 0.3790223002433777, 'Z': -0.03396289050579071}, {'X': 0.698769211769104, 'Y': 0.30062800645828247, 'Z': -0.07178705185651779}, {'X': 0.6906046271324158, 'Y': 0.22862204909324646, 'Z': -0.10233228653669357}, {'X': 0.7584256529808044, 'Y': 0.5382160544395447, 'Z': -0.03711064159870148}, {'X': 0.7728216648101807, 'Y': 0.44258150458335876, 'Z': -0.05531803518533707}, {'X': 0.7814896106719971, 'Y': 0.3735932409763336, 'Z': -0.0783567801117897}, {'X': 0.7842026948928833, 'Y': 0.30182623863220215, 'Z': -0.1023758053779602}]
[{'X': 0.7028266191482544, 'Y': 0.8108657002449036, 'Z': -5.0521215598564595e-05}, {'X': 0.6361786127090454, 'Y': 0.76382976770401, 'Z': -0.029519282281398773}, {'X': 0.5862481594085693, 'Y': 0.6688046455383301, 'Z': -0.03952813148498535}, {'X': 0.5536014437675476, 'Y': 0.587661862373352, 'Z': -0.05374016985297203}, {'X': 0.5243668556213379, 'Y': 0.5490049123764038, 'Z': -0.07497606426477432}, {'X': 0.6341884732246399, 'Y': 0.5247762799263, 'Z': 0.01449823472648859}, {'X': 0.6240500211715698, 'Y': 0.40435659885406494, 'Z': -0.003187585389241576}, {'X': 0.6186659932136536, 'Y': 0.3300110101699829, 'Z': -0.021720996126532555}, {'X': 0.6139793992042542, 'Y': 0.26416024565696716, 'Z': -0.03794071450829506}, {'X': 0.6736835241317749, 'Y': 0.5062127709388733, 'Z': 0.004427026491612196}, {'X': 0.6618292927742004, 'Y': 0.3771372139453888, 'Z': -0.008194753900170326}, {'X': 0.6523038148880005, 'Y': 0.3009635806083679, 'Z': -0.036654528230428696}, {'X': 0.6443988084793091, 'Y': 0.23293066024780273, 'Z': -0.05696367472410202}, {'X': 0.714115560054779, 'Y': 0.5104209780693054, 'Z': -0.01322023756802082}, {'X': 0.7053677439689636, 'Y': 0.3811618387699127, 'Z': -0.028672559186816216}, {'X': 0.6962660551071167, 'Y': 0.30286720395088196, 'Z': -0.06537637859582901}, {'X': 0.6876059174537659, 'Y': 0.2322864830493927, 'Z': -0.0942797064781189}, {'X': 0.7580686807632446, 'Y': 0.5376594662666321, 'Z': -0.03310303017497063}, {'X': 0.7723755836486816, 'Y': 0.4417540729045868, 'Z': -0.05032787099480629}, {'X': 0.7814403772354126, 'Y': 0.3716103434562683, 'Z': -0.0721372589468956}, {'X': 0.784623384475708, 'Y': 0.29902711510658264, 'Z': -0.09580259770154953}]
[{'X': 0.7028995156288147, 'Y': 0.8134839534759521, 'Z': -4.4971857278142124e-05}, {'X': 0.6382421851158142, 'Y': 0.7669345736503601, 'Z': -0.026021962985396385}, {'X': 0.5874139666557312, 'Y': 0.66808021068573, 'Z': -0.035734836012125015}, {'X': 0.5551580190658569, 'Y': 0.5843849182128906, 'Z': -0.049515724182128906}, {'X': 0.5236271023750305, 'Y': 0.5482332706451416, 'Z': -0.0708010196685791}, {'X': 0.6339153051376343, 'Y': 0.5236119031906128, 'Z': 0.004354614764451981}, {'X': 0.625842273235321, 'Y': 0.4014129638671875, 'Z': -0.009824195876717567}, {'X': 0.6199465394020081, 'Y': 0.33186081051826477, 'Z': -0.025415273383259773}, {'X': 0.612838089466095, 'Y': 0.26919642090797424, 'Z': -0.0413091741502285}, {'X': 0.6735351085662842, 'Y': 0.5068345069885254, 'Z': -0.004897414240986109}, {'X': 0.6613597869873047, 'Y': 0.3807007074356079, 'Z': -0.019583217799663544}, {'X': 0.6504367589950562, 'Y': 0.30725163221359253, 'Z': -0.050588566809892654}, {'X': 0.6399115920066833, 'Y': 0.24004366993904114, 'Z': -0.07306484133005142}, {'X': 0.7143227458000183, 'Y': 0.5131165981292725, 'Z': -0.019292017444968224}, {'X': 0.7058689594268799, 'Y': 0.3832058608531952, 'Z': -0.037149570882320404}, {'X': 0.6961665153503418, 'Y': 0.30598050355911255, 'Z': -0.07109376043081284}, {'X': 0.6852425932884216, 'Y': 0.2370486855506897, 'Z': -0.09749758988618851}, {'X': 0.7579960823059082, 'Y': 0.5435618162155151, 'Z': -0.03473087400197983}, {'X': 0.7720897793769836, 'Y': 0.4448026418685913, 'Z': -0.053289223462343216}, {'X': 0.7797192335128784, 'Y': 0.3754733204841614, 'Z': -0.073753722012043}, {'X': 0.7806640863418579, 'Y': 0.30255502462387085, 'Z': -0.0954509899020195}]
[{'X': 0.7061813473701477, 'Y': 0.8055611848831177, 'Z': -4.277148036635481e-05}, {'X': 0.6438672542572021, 'Y': 0.7545487880706787, 'Z': -0.02609715797007084}, {'X': 0.5945411324501038, 'Y': 0.657370924949646, 'Z': -0.0366283655166626}, {'X': 0.5630673170089722, 'Y': 0.5789275169372559, 'Z': -0.05217917636036873}, {'X': 0.5308640599250793, 'Y': 0.5451033711433411, 'Z': -0.07531283050775528}, {'X': 0.6361535787582397, 'Y': 0.5169558525085449, 'Z': 0.01615111157298088}, {'X': 0.625838577747345, 'Y': 0.40367087721824646, 'Z': 0.007394568063318729}, {'X': 0.619225263595581, 'Y': 0.3359149098396301, 'Z': -0.007524828426539898}, {'X': 0.6139785647392273, 'Y': 0.275219202041626, 'Z': -0.023962555453181267}, {'X': 0.6756458282470703, 'Y': 0.5005061626434326, 'Z': 0.009349897503852844}, {'X': 0.6619434356689453, 'Y': 0.38909751176834106, 'Z': 0.002565959934145212}, {'X': 0.6503922939300537, 'Y': 0.32429230213165283, 'Z': -0.02343224361538887}, {'X': 0.6409071683883667, 'Y': 0.265028178691864, 'Z': -0.04270266368985176}, {'X': 0.7141075134277344, 'Y': 0.5032848715782166, 'Z': -0.0032817074097692966}, {'X': 0.7099729180335999, 'Y': 0.3876771628856659, 'Z': -0.013513495214283466}, {'X': 0.7003599405288696, 'Y': 0.3158930242061615, 'Z': -0.039075806736946106}, {'X': 0.6891162395477295, 'Y': 0.25392594933509827, 'Z': -0.058238424360752106}, {'X': 0.7554353475570679, 'Y': 0.5283726453781128, 'Z': -0.01817283034324646}, {'X': 0.7714160680770874, 'Y': 0.4350265860557556, 'Z': -0.031157569959759712}, {'X': 0.7788388133049011, 'Y': 0.37197718024253845, 'Z': -0.04380834102630615}, {'X': 0.7808977961540222, 'Y': 0.3093268871307373, 'Z': -0.05772700533270836}]
[{'X': 0.7065457701683044, 'Y': 0.8134610652923584, 'Z': -3.839291093754582e-05}, {'X': 0.6431812047958374, 'Y': 0.7598227262496948, 'Z': -0.022876081988215446}, {'X': 0.5930461883544922, 'Y': 0.6598416566848755, 'Z': -0.034710295498371124}, {'X': 0.561767041683197, 'Y': 0.5798599123954773, 'Z': -0.05375908687710762}, {'X': 0.5308024883270264, 'Y': 0.5431262254714966, 'Z': -0.0820668563246727}, {'X': 0.6297732591629028, 'Y': 0.5059791207313538, 'Z': 0.021292345598340034}, {'X': 0.6249478459358215, 'Y': 0.39405983686447144, 'Z': 0.017100274562835693}, {'X': 0.6212058067321777, 'Y': 0.328324556350708, 'Z': 0.005645676515996456}, {'X': 0.6170567274093628, 'Y': 0.2691633403301239, 'Z': -0.006576405838131905}, {'X': 0.6705600619316101, 'Y': 0.493865042924881, 'Z': 0.013234544545412064}, {'X': 0.6625291705131531, 'Y': 0.3908008337020874, 'Z': 0.008731091395020485}, {'X': 0.6520917415618896, 'Y': 0.331043541431427, 'Z': -0.012522058561444283}, {'X': 0.6418917775154114, 'Y': 0.2810109257698059, 'Z': -0.029049046337604523}, {'X': 0.7110187411308289, 'Y': 0.5008783936500549, 'Z': 0.00022007884399499744}, {'X': 0.7081261277198792, 'Y': 0.3990764915943146, 'Z': -0.00794808566570282}, {'X': 0.6963940262794495, 'Y': 0.3356207609176636, 'Z': -0.028528990224003792}, {'X': 0.6827787756919861, 'Y': 0.2844827175140381, 'Z': -0.04331934079527855}, {'X': 0.7540709376335144, 'Y': 0.5274470448493958, 'Z': -0.016306277364492416}, {'X': 0.7659990191459656, 'Y': 0.43818292021751404, 'Z': -0.025293773040175438}, {'X': 0.7717316746711731, 'Y': 0.3751915991306305, 'Z': -0.032073359936475754}, {'X': 0.771995484828949, 'Y': 0.31232649087905884, 'Z': -0.0394052192568779}]
[{'X': 0.7032313346862793, 'Y': 0.7819557189941406, 'Z': -0.0001222954160766676}, {'X': 0.6445150971412659, 'Y': 0.7550914287567139, 'Z': -0.021055150777101517}, {'X': 0.5958108901977539, 'Y': 0.6483743190765381, 'Z': -0.03317784145474434}, {'X': 0.5613374710083008, 'Y': 0.5727607607841492, 'Z': -0.04960392415523529}, {'X': 0.535031795501709, 'Y': 0.5347444415092468, 'Z': -0.08438204973936081}, {'X': 0.6373515725135803, 'Y': 0.5283066630363464, 'Z': 0.017949165776371956}, {'X': 0.6258206963539124, 'Y': 0.39863401651382446, 'Z': 0.021453652530908585}, {'X': 0.6217348575592041, 'Y': 0.3189546465873718, 'Z': 0.007487820461392403}, {'X': 0.6194953918457031, 'Y': 0.25392016768455505, 'Z': -0.011670766398310661}, {'X': 0.6744908690452576, 'Y': 0.5252301692962646, 'Z': 0.0008555270032957196}, {'X': 0.6492815613746643, 'Y': 0.46940693259239197, 'Z': -0.06480640918016434}, {'X': 0.6305978298187256, 'Y': 0.547493040561676, 'Z': -0.11646106839179993}, {'X': 0.6217402219772339, 'Y': 0.6173281073570251, 'Z': -0.12040036916732788}, {'X': 0.7129127979278564, 'Y': 0.5277519822120667, 'Z': -0.019869700074195862}, {'X': 0.7071637511253357, 'Y': 0.416747510433197, 'Z': -0.04319807514548302}, {'X': 0.683192253112793, 'Y': 0.35655343532562256, 'Z': -0.08386251330375671}, {'X': 0.6592779755592346, 'Y': 0.30574071407318115, 'Z': -0.10763208568096161}, {'X': 0.7525336146354675, 'Y': 0.5411586165428162, 'Z': -0.042301833629608154}, {'X': 0.7628594636917114, 'Y': 0.44630932807922363, 'Z': -0.05595336854457855}, {'X': 0.7690318822860718, 'Y': 0.3787814974784851, 'Z': -0.07286105304956436}, {'X': 0.7691108584403992, 'Y': 0.30746206641197205, 'Z': -0.08870824426412582}]
