[{'X': 0.6731584668159485, 'Y': 0.720210611820221, 'Z': -0.00010939880303340033}, {'X': 0.6197725534439087, 'Y': 0.7042237520217896, 'Z': -0.029194854199886322}, {'X': 0.5809314846992493, 'Y': 0.6240687370300293, 'Z': -0.04297005385160446}, {'X': 0.5578253269195557, 'Y': 0.5562479496002197, 'Z': -0.060248035937547684}, {'X': 0.5251150727272034, 'Y': 0.5212257504463196, 'Z': -0.08242478221654892}, {'X': 0.6174341440200806, 'Y': 0.4912324845790863, 'Z': -0.0017690642271190882}, {'X': 0.6149606704711914, 'Y': 0.39971423149108887, 'Z': -0.017802029848098755}, {'X': 0.6114721298217773, 'Y': 0.3344273567199707, 'Z': -0.04043703153729439}, {'X': 0.6084346771240234, 'Y': 0.27461037039756775, 'Z': -0.05994768440723419}, {'X': 0.6522045135498047, 'Y': 0.4731735587120056, 'Z': -0.010699520818889141}, {'X': 0.647294282913208, 'Y': 0.37189939618110657, 'Z': -0.024740377441048622}, {'X': 0.638118326663971, 'Y': 0.30136987566947937, 'Z': -0.05584539845585823}, {'X': 0.6309862732887268, 'Y': 0.24066612124443054, 'Z': -0.07696449756622314}, {'X': 0.6886969208717346, 'Y': 0.481243371963501, 'Z': -0.024297593161463737}, {'X': 0.685763418674469, 'Y': 0.37087202072143555, 'Z': -0.03828585520386696}, {'X': 0.6777740716934204, 'Y': 0.3009655475616455, 'Z': -0.06873238831758499}, {'X': 0.6716333031654358, 'Y': 0.24150735139846802, 'Z': -0.0925837978720665}, {'X': 0.7267299890518188, 'Y': 0.5116071701049805, 'Z': -0.041807953268289566}, {'X': 0.7380421757698059, 'Y': 0.4310135841369629, 'Z': -0.057951267808675766}, {'X': 0.7440580725669861, 'Y': 0.37136590480804443, 'Z': -0.07623276859521866}, {'X': 0.750376284122467, 'Y': 0.3130156695842743, 'Z': -0.09187684953212738}]
[{'X': 0.6792264580726624, 'Y': 0.7275134921073914, 'Z': -8.100217382889241e-05}, {'X': 0.6238526105880737, 'Y': 0.7072268724441528, 'Z': -0.024977346882224083}, {'X': 0.5822579860687256, 'Y': 0.6245678663253784, 'Z': -0.03569184988737106}, {'X': 0.5575931072235107, 'Y': 0.554568350315094, 'Z': -0.05130463093519211}, {'X': 0.5263141989707947, 'Y': 0.5157083868980408, 'Z': -0.07322577387094498}, {'X': 0.6195172667503357, 'Y': 0.49073684215545654, 'Z': 0.016794908791780472}, {'X': 0.6144232153892517, 'Y': 0.3970407545566559, 'Z': 0.0066831097938120365}, {'X': 0.609770655632019, 'Y': 0.33311712741851807, 'Z': -0.013050362467765808}, {'X': 0.6067807078361511, 'Y': 0.27496540546417236, 'Z': -0.03104972653090954}, {'X': 0.6544998288154602, 'Y': 0.4725209176540375, 'Z': 0.0078089297749102116}, {'X': 0.6475852727890015, 'Y': 0.36703604459762573, 'Z': 0.0032661862205713987}, {'X': 0.6371719837188721, 'Y': 0.2959848940372467, 'Z': -0.02380985952913761}, {'X': 0.6288862824440002, 'Y': 0.23591813445091248, 'Z': -0.04315045103430748}, {'X': 0.6908332109451294, 'Y': 0.4789220690727234, 'Z': -0.005908458027988672}, {'X': 0.6870775818824768, 'Y': 0.3663315773010254, 'Z': -0.013814503327012062}, {'X': 0.6788309812545776, 'Y': 0.2946048974990845, 'Z': -0.04192445054650307}, {'X': 0.6713243126869202, 'Y': 0.23413380980491638, 'Z': -0.06342858076095581}, {'X': 0.7288542985916138, 'Y': 0.5074746608734131, 'Z': -0.023550240322947502}, {'X': 0.7377605438232422, 'Y': 0.4190824329853058, 'Z': -0.037508200854063034}, {'X': 0.7407913208007812, 'Y': 0.3573874235153198, 'Z': -0.054093919694423676}, {'X': 0.7417194247245789, 'Y': 0.3002253770828247, 'Z': -0.06758921593427658}]
[{'X': 0.6820672154426575, 'Y': 0.7357344031333923, 'Z': -0.00010380554158473387}, {'X': 0.6259878873825073, 'Y': 0.7077824473381042, 'Z': -0.02085021883249283}, {'X': 0.5829031467437744, 'Y': 0.6246517300605774, 'Z': -0.02768935076892376}, {'X': 0.5553930997848511, 'Y': 0.5557331442832947, 'Z': -0.03981240093708038}, {'X': 0.5257043242454529, 'Y': 0.5218068957328796, 'Z': -0.05744978412985802}, {'X': 0.6226739287376404, 'Y': 0.4873788356781006, 'Z': 0.024534577503800392}, {'X': 0.6181974411010742, 'Y': 0.3902209997177124, 'Z': 0.019504131749272346}, {'X': 0.6131535768508911, 'Y': 0.3260880708694458, 'Z': 0.004103705286979675}, {'X': 0.6090000867843628, 'Y': 0.2693713903427124, 'Z': -0.010827884078025818}, {'X': 0.6567867994308472, 'Y': 0.4705260992050171, 'Z': 0.016149427741765976}, {'X': 0.6496585011482239, 'Y': 0.36192286014556885, 'Z': 0.016701407730579376}, {'X': 0.6392019987106323, 'Y': 0.2928031086921692, 'Z': -0.006809344049543142}, {'X': 0.6303975582122803, 'Y': 0.23542582988739014, 'Z': -0.02345922216773033}, {'X': 0.6921511292457581, 'Y': 0.4760974645614624, 'Z': 0.003031462896615267}, {'X': 0.6881347298622131, 'Y': 0.3626311421394348, 'Z': -0.0003002946323249489}, {'X': 0.6798223257064819, 'Y': 0.2922412157058716, 'Z': -0.027438124641776085}, {'X': 0.6721312403678894, 'Y': 0.23298409581184387, 'Z': -0.048734284937381744}, {'X': 0.7295529246330261, 'Y': 0.5033676028251648, 'Z': -0.013085118494927883}, {'X': 0.7401826977729797, 'Y': 0.417672723531723, 'Z': -0.02263627015054226}, {'X': 0.7440021634101868, 'Y': 0.35697680711746216, 'Z': -0.03904347866773605}, {'X': 0.7452643513679504, 'Y': 0.300559937953949, 'Z': -0.05396902188658714}]
[{'X': 0.67921382188797, 'Y': 0.7277579307556152, 'Z': -9.516538557363674e-05}, {'X': 0.6235820651054382, 'Y': 0.7054387331008911, 'Z': -0.022680122405290604}, {'X': 0.5823721289634705, 'Y': 0.6229302883148193, 'Z': -0.031112344935536385}, {'X': 0.5571563839912415, 'Y': 0.5560358762741089, 'Z': -0.04398546740412712}, {'X': 0.5248763561248779, 'Y': 0.5238880515098572, 'Z': -0.06282877922058105}, {'X': 0.6191987991333008, 'Y': 0.49302151799201965, 'Z': 0.015029488131403923}, {'X': 0.613772988319397, 'Y': 0.3990570604801178, 'Z': 0.005416437983512878}, {'X': 0.6095107793807983, 'Y': 0.33544236421585083, 'Z': -0.014183573424816132}, {'X': 0.6061229705810547, 'Y': 0.27831536531448364, 'Z': -0.03175818547606468}, {'X': 0.6543834209442139, 'Y': 0.47379764914512634, 'Z': 0.007186406757682562}, {'X': 0.6480831503868103, 'Y': 0.36828070878982544, 'Z': 0.0014361197827383876}, {'X': 0.6377010345458984, 'Y': 0.2974698543548584, 'Z': -0.027798114344477654}, {'X': 0.6285879611968994, 'Y': 0.23794278502464294, 'Z': -0.04919864237308502}, {'X': 0.690841794013977, 'Y': 0.4795377552509308, 'Z': -0.0048508779145777225}, {'X': 0.6871093511581421, 'Y': 0.36644306778907776, 'Z': -0.012534558773040771}, {'X': 0.6787365078926086, 'Y': 0.29451674222946167, 'Z': -0.04029102623462677}, {'X': 0.6713411808013916, 'Y': 0.23384690284729004, 'Z': -0.06259507685899734}, {'X': 0.7289423942565918, 'Y': 0.5080607533454895, 'Z': -0.020180905237793922}, {'X': 0.7391575574874878, 'Y': 0.4203128218650818, 'Z': -0.03281122446060181}, {'X': 0.7431427836418152, 'Y': 0.35730281472206116, 'Z': -0.049062684178352356}, {'X': 0.7454071640968323, 'Y': 0.299493670463562, 'Z': -0.06343915313482285}]
[{'X': 0.6791856288909912, 'Y': 0.7257897853851318, 'Z': -9.872218652162701e-05}, {'X': 0.6253430247306824, 'Y': 0.7042322158813477, 'Z': -0.021962441504001617}, {'X': 0.5844964385032654, 'Y': 0.6224498748779297, 'Z': -0.03120708279311657}, {'X': 0.5592178106307983, 'Y': 0.5552225112915039, 'Z': -0.046905070543289185}, {'X': 0.5277104377746582, 'Y': 0.5205553770065308, 'Z': -0.067071333527565}, {'X': 0.6189553737640381, 'Y': 0.4944545328617096, 'Z': 0.016901949420571327}, {'X': 0.6137377619743347, 'Y': 0.39928779006004333, 'Z': 0.002397896721959114}, {'X': 0.6077673435211182, 'Y': 0.33212029933929443, 'Z': -0.019838698208332062}, {'X': 0.6031625866889954, 'Y': 0.27456945180892944, 'Z': -0.03714406117796898}, {'X': 0.6530996561050415, 'Y': 0.47544100880622864, 'Z': 0.0036143918987363577}, {'X': 0.6460391879081726, 'Y': 0.3708389401435852, 'Z': -0.007269266527146101}, {'X': 0.6345301270484924, 'Y': 0.29792654514312744, 'Z': -0.038312993943691254}, {'X': 0.6256018877029419, 'Y': 0.23802587389945984, 'Z': -0.060289569199085236}, {'X': 0.6894835233688354, 'Y': 0.4814048707485199, 'Z': -0.01548494677990675}, {'X': 0.6863034963607788, 'Y': 0.36881011724472046, 'Z': -0.026269838213920593}, {'X': 0.6774756908416748, 'Y': 0.2972525656223297, 'Z': -0.055681128054857254}, {'X': 0.6692101955413818, 'Y': 0.23844483494758606, 'Z': -0.07838059961795807}, {'X': 0.7272782325744629, 'Y': 0.5111287236213684, 'Z': -0.03794919699430466}, {'X': 0.7393240928649902, 'Y': 0.4284825325012207, 'Z': -0.051686499267816544}, {'X': 0.7450633645057678, 'Y': 0.3667161464691162, 'Z': -0.0689392164349556}, {'X': 0.7498053312301636, 'Y': 0.3090256154537201, 'Z': -0.08397184312343597}]
[{'X': 0.6723502278327942, 'Y': 0.7094268798828125, 'Z': -9.446767944609746e-05}, {'X': 0.618699312210083, 'Y': 0.6957301497459412, 'Z': -0.023933742195367813}, {'X': 0.5823209881782532, 'Y': 0.6174282431602478, 'Z': -0.03921885788440704}, {'X': 0.5589231848716736, 'Y': 0.5521870255470276, 'Z': -0.05958295240998268}, {'X': 0.5273618698120117, 'Y': 0.5230839252471924, 'Z': -0.08427701145410538}, {'X': 0.6180822849273682, 'Y': 0.49444955587387085, 'Z': -0.008950591087341309}, {'X': 0.6158536076545715, 'Y': 0.40313199162483215, 'Z': -0.028158055618405342}, {'X': 0.6085758209228516, 'Y': 0.3360998034477234, 'Z': -0.05326349288225174}, {'X': 0.6022751927375793, 'Y': 0.2768538296222687, 'Z': -0.07327394187450409}, {'X': 0.6514544486999512, 'Y': 0.47356241941452026, 'Z': -0.019879357889294624}, {'X': 0.6428599953651428, 'Y': 0.3747703433036804, 'Z': -0.04100394248962402}, {'X': 0.6305855512619019, 'Y': 0.30180662870407104, 'Z': -0.07230247557163239}, {'X': 0.6222179532051086, 'Y': 0.23982039093971252, 'Z': -0.0938991829752922}, {'X': 0.6878318786621094, 'Y': 0.48136335611343384, 'Z': -0.035009268671274185}, {'X': 0.6825063228607178, 'Y': 0.37121886014938354, 'Z': -0.05469880625605583}, {'X': 0.6719447374343872, 'Y': 0.29902857542037964, 'Z': -0.08351270854473114}, {'X': 0.6635468602180481, 'Y': 0.2379702627658844, 'Z': -0.10793546587228775}, {'X': 0.7244970202445984, 'Y': 0.5125152468681335, 'Z': -0.05283975228667259}, {'X': 0.7354414463043213, 'Y': 0.43460026383399963, 'Z': -0.07119644433259964}, {'X': 0.7418918609619141, 'Y': 0.3754717707633972, 'Z': -0.08838104456663132}, {'X': 0.7501087188720703, 'Y': 0.31721657514572144, 'Z': -0.10667520016431808}]
[{'X': 0.6806274056434631, 'Y': 0.7153124213218689, 'Z': -6.291441241046414e-05}, {'X': 0.626107394695282, 'Y': 0.6946268081665039, 'Z': -0.02362159453332424}, {'X': 0.5861948132514954, 'Y': 0.6174793839454651, 'Z': -0.03536431863903999}, {'X': 0.5600471496582031, 'Y': 0.5539594292640686, 'Z': -0.053129468113183975}, {'X': 0.5287666320800781, 'Y': 0.5189661383628845, 'Z': -0.07715363800525665}, {'X': 0.6251722574234009, 'Y': 0.4923422336578369, 'Z': 0.006527941208332777}, {'X': 0.6181893944740295, 'Y': 0.40530747175216675, 'Z': -0.004328047391027212}, {'X': 0.6111833453178406, 'Y': 0.346201092004776, 'Z': -0.022808469831943512}, {'X': 0.6051564812660217, 'Y': 0.29261481761932373, 'Z': -0.04143114387989044}, {'X': 0.6574861407279968, 'Y': 0.4746898114681244, 'Z': -0.0018951644888147712}, {'X': 0.6457293629646301, 'Y': 0.3805573582649231, 'Z': -0.011865493841469288}, {'X': 0.6313779950141907, 'Y': 0.3188343048095703, 'Z': -0.04088686406612396}, {'X': 0.6173412799835205, 'Y': 0.26298874616622925, 'Z': -0.06358950585126877}, {'X': 0.6920005679130554, 'Y': 0.4782014489173889, 'Z': -0.014161821454763412}, {'X': 0.6902402639389038, 'Y': 0.3693434000015259, 'Z': -0.027061916887760162}, {'X': 0.68111252784729, 'Y': 0.29948657751083374, 'Z': -0.053697213530540466}, {'X': 0.6693512797355652, 'Y': 0.2408030927181244, 'Z': -0.07420790940523148}, {'X': 0.7290786504745483, 'Y': 0.5034610033035278, 'Z': -0.02915142849087715}, {'X': 0.7420461177825928, 'Y': 0.41362839937210083, 'Z': -0.04195976257324219}, {'X': 0.7480617165565491, 'Y': 0.35277533531188965, 'Z': -0.05479513481259346}, {'X': 0.7503684759140015, 'Y': 0.29512834548950195, 'Z': -0.06802263855934143}]
[{'X': 0.6864575147628784, 'Y': 0.6998612880706787, 'Z': -5.0117989303544164e-05}, {'X': 0.6350126266479492, 'Y': 0.6810494661331177, 'Z': -0.03331140801310539}, {'X': 0.5908114910125732, 'Y': 0.6008398532867432, 'Z': -0.054086145013570786}, {'X': 0.5647596716880798, 'Y': 0.5425208806991577, 'Z': -0.0792321041226387}, {'X': 0.5398732423782349, 'Y': 0.5122826099395752, 'Z': -0.10938339680433273}, {'X': 0.623489260673523, 'Y': 0.48429059982299805, 'Z': -0.011394604109227657}, {'X': 0.6122680306434631, 'Y': 0.3978882431983948, 'Z': -0.03106156922876835}, {'X': 0.6078051924705505, 'Y': 0.3318626284599304, 'Z': -0.05401013791561127}, {'X': 0.6041690707206726, 'Y': 0.2729889750480652, 'Z': -0.07391316443681717}, {'X': 0.6587375998497009, 'Y': 0.4695624113082886, 'Z': -0.018775440752506256}, {'X': 0.6492059230804443, 'Y': 0.37979358434677124, 'Z': -0.04245492443442345}, {'X': 0.6400739550590515, 'Y': 0.3201604187488556, 'Z': -0.07282603532075882}, {'X': 0.6325011849403381, 'Y': 0.2692015767097473, 'Z': -0.09404754638671875}, {'X': 0.694481372833252, 'Y': 0.47310885787010193, 'Z': -0.030700352042913437}, {'X': 0.6879681348800659, 'Y': 0.3763914108276367, 'Z': -0.052042413502931595}, {'X': 0.6769665479660034, 'Y': 0.3118743896484375, 'Z': -0.07852299511432648}, {'X': 0.6660593748092651, 'Y': 0.2592272460460663, 'Z': -0.09659671783447266}, {'X': 0.7310789823532104, 'Y': 0.49648845195770264, 'Z': -0.047767918556928635}, {'X': 0.7404343485832214, 'Y': 0.4111703634262085, 'Z': -0.06365100294351578}, {'X': 0.7468308210372925, 'Y': 0.35105252265930176, 'Z': -0.07637879252433777}, {'X': 0.7502610683441162, 'Y': 0.2928376793861389, 'Z': -0.08859576284885406}]
[{'X': 0.6901237964630127, 'Y': 0.6963847875595093, 'Z': -0.00011161858856212348}, {'X': 0.6477599740028381, 'Y': 0.6699084043502808, 'Z': -0.007864555343985558}, {'X': 0.6029596924781799, 'Y': 0.5824620127677917, 'Z': -0.017288977280259132}, {'X': 0.564221978187561, 'Y': 0.5296444296836853, 'Z': -0.034685324877500534}, {'X': 0.5446040630340576, 'Y': 0.5079304575920105, 'Z': -0.06813890486955643}, {'X': 0.6311649680137634, 'Y': 0.4943769574165344, 'Z': 0.016690857708454132}, {'X': 0.614450991153717, 'Y': 0.3834584057331085, 'Z': 0.01868339441716671}, {'X': 0.6080008149147034, 'Y': 0.31556373834609985, 'Z': 0.00474556814879179}, {'X': 0.6047960519790649, 'Y': 0.2603004276752472, 'Z': -0.012006914243102074}, {'X': 0.6565119028091431, 'Y': 0.49568846821784973, 'Z': -0.002930370392277837}, {'X': 0.6402219533920288, 'Y': 0.44220972061157227, 'Z': -0.042866095900535583}, {'X': 0.6277280449867249, 'Y': 0.5028878450393677, 'Z': -0.0755392536520958}, {'X': 0.6234778761863708, 'Y': 0.553394615650177, 'Z': -0.07658651471138}, {'X': 0.685360312461853, 'Y': 0.4985194504261017, 'Z': -0.026490570977330208}, {'X': 0.6823636293411255, 'Y': 0.4014067053794861, 'Z': -0.04270940274000168}, {'X': 0.6633895039558411, 'Y': 0.34499025344848633, 'Z': -0.07447317242622375}, {'X': 0.6484643816947937, 'Y': 0.2896595001220703, 'Z': -0.09356863051652908}, {'X': 0.7175454497337341, 'Y': 0.5122874975204468, 'Z': -0.0512317530810833}, {'X': 0.7187530994415283, 'Y': 0.4353569746017456, 'Z': -0.06085933372378349}, {'X': 0.7196371555328369, 'Y': 0.38338926434516907, 'Z': -0.07876752316951752}, {'X': 0.7238463759422302, 'Y': 0.3270036280155182, 'Z': -0.0942142978310585}]
[{'X': 0.6883590221405029, 'Y': 0.6894637942314148, 'Z': -9.555379074299708e-05}, {'X': 0.6447924375534058, 'Y': 0.6692519187927246, 'Z': -0.024273177608847618}, {'X': 0.5986244082450867, 'Y': 0.5833302140235901, 'Z': -0.03580090403556824}, {'X': 0.5685060620307922, 'Y': 0.5230718851089478, 'Z': -0.051012132316827774}, {'X': 0.5445073246955872, 'Y': 0.48990628123283386, 'Z': -0.07582762092351913}, {'X': 0.6274439692497253, 'Y': 0.496064156293869, 'Z': 0.005018558818846941}, {'X': 0.6162918210029602, 'Y': 0.39910775423049927, 'Z': -0.006178864743560553}, {'X': 0.606473982334137, 'Y': 0.328700453042984, 'Z': -0.026812363415956497}, {'X': 0.5980134010314941, 'Y': 0.26966798305511475, 'Z': -0.04713945835828781}, {'X': 0.6584452390670776, 'Y': 0.48727333545684814, 'Z': -0.006329687312245369}, {'X': 0.6412639617919922, 'Y': 0.4337734580039978, 'Z': -0.056774795055389404}, {'X': 0.6321256756782532, 'Y': 0.5023353099822998, 'Z': -0.08389753848314285}, {'X': 0.6330199241638184, 'Y': 0.5583811402320862, 'Z': -0.08190247416496277}, {'X': 0.691179096698761, 'Y': 0.4870847463607788, 'Z': -0.024001799523830414}, {'X': 0.6808573603630066, 'Y': 0.396119624376297, 'Z': -0.04792946204543114}, {'X': 0.6565022468566895, 'Y': 0.36479586362838745, 'Z': -0.0751616433262825}, {'X': 0.6383026838302612, 'Y': 0.33195358514785767, 'Z': -0.0905718207359314}, {'X': 0.7257457375526428, 'Y': 0.49659502506256104, 'Z': -0.04454494267702103}, {'X': 0.7306646108627319, 'Y': 0.4208565950393677, 'Z': -0.05387421324849129}, {'X': 0.7342535853385925, 'Y': 0.3679716885089874, 'Z': -0.06574354320764542}, {'X': 0.7410524487495422, 'Y': 0.3073081970214844, 'Z': -0.07806407660245895}]
[{'X': 0.6770845055580139, 'Y': 0.6783885955810547, 'Z': -0.00012975312711205333}, {'X': 0.6387185454368591, 'Y': 0.6562451720237732, 'Z': -0.015061110258102417}, {'X': 0.5997215509414673, 'Y': 0.5709962844848633, 'Z': -0.029393352568149567}, {'X': 0.5711241960525513, 'Y': 0.51578289270401, 'Z': -0.04508817568421364}, {'X': 0.5385310649871826, 'Y': 0.49542367458343506, 'Z': -0.0730229988694191}, {'X': 0.6277603507041931, 'Y': 0.4930148720741272, 'Z': -0.028476150706410408}, {'X': 0.6162115335464478, 'Y': 0.40795573592185974, 'Z': -0.04557643458247185}, {'X': 0.6028953790664673, 'Y': 0.34795886278152466, 'Z': -0.0600074902176857}, {'X': 0.5873857736587524, 'Y': 0.29693663120269775, 'Z': -0.07508622854948044}, {'X': 0.6575052738189697, 'Y': 0.48606133460998535, 'Z': -0.04448096081614494}, {'X': 0.6440026760101318, 'Y': 0.42268407344818115, 'Z': -0.08475972712039948}, {'X': 0.6304203867912292, 'Y': 0.4486411213874817, 'Z': -0.1008601188659668}, {'X': 0.623752236366272, 'Y': 0.482295960187912, 'Z': -0.10377968847751617}, {'X': 0.6895772814750671, 'Y': 0.4952619671821594, 'Z': -0.06121305748820305}, {'X': 0.6748671531677246, 'Y': 0.41617146134376526, 'Z': -0.09572425484657288}, {'X': 0.6465378403663635, 'Y': 0.3923147916793823, 'Z': -0.12549369037151337}, {'X': 0.627687394618988, 'Y': 0.38454440236091614, 'Z': -0.14673081040382385}, {'X': 0.7200087904930115, 'Y': 0.5192493200302124, 'Z': -0.08035419136285782}, {'X': 0.7129504084587097, 'Y': 0.4559984505176544, 'Z': -0.10739347338676453}, {'X': 0.7002547383308411, 'Y': 0.4183664321899414, 'Z': -0.13016480207443237}, {'X': 0.6886698007583618, 'Y': 0.39054960012435913, 'Z': -0.15367072820663452}]
