[{'X': 0.6983007192611694, 'Y': 0.911980152130127, 'Z': -2.587733615655452e-05}, {'X': 0.6336681246757507, 'Y': 0.878024697303772, 'Z': 0.0038220766000449657}, {'X': 0.5934420824050903, 'Y': 0.79071444272995, 'Z': 0.0075723095797002316}, {'X': 0.5672962665557861, 'Y': 0.7179421782493591, 'Z': 0.003530245739966631}, {'X': 0.536366879940033, 'Y': 0.6823124885559082, 'Z': -0.006551303435117006}, {'X': 0.6352642774581909, 'Y': 0.6468217372894287, 'Z': 0.04680723696947098}, {'X': 0.6278702616691589, 'Y': 0.542121171951294, 'Z': 0.04921805486083031}, {'X': 0.6242519617080688, 'Y': 0.47716230154037476, 'Z': 0.0411137118935585}, {'X': 0.6215850114822388, 'Y': 0.4202588200569153, 'Z': 0.031221387907862663}, {'X': 0.6699126362800598, 'Y': 0.6313295364379883, 'Z': 0.030012162402272224}, {'X': 0.6615296006202698, 'Y': 0.5118677616119385, 'Z': 0.03919175639748573}, {'X': 0.654952347278595, 'Y': 0.43689945340156555, 'Z': 0.02486508898437023}, {'X': 0.6506592035293579, 'Y': 0.37623947858810425, 'Z': 0.00998831819742918}, {'X': 0.704829216003418, 'Y': 0.6374890208244324, 'Z': 0.0077390605583786964}, {'X': 0.6986426115036011, 'Y': 0.5244189500808716, 'Z': 0.00794409029185772}, {'X': 0.6918066740036011, 'Y': 0.4526636600494385, 'Z': -0.009318577125668526}, {'X': 0.6862769722938538, 'Y': 0.39351239800453186, 'Z': -0.025598717853426933}, {'X': 0.7425222396850586, 'Y': 0.6651546955108643, 'Z': -0.015090368688106537}, {'X': 0.7512089014053345, 'Y': 0.577383279800415, 'Z': -0.026209073141217232}, {'X': 0.7549607157707214, 'Y': 0.5194082260131836, 'Z': -0.039952054619789124}, {'X': 0.7567543387413025, 'Y': 0.4638640582561493, 'Z': -0.05369196832180023}]
[{'X': 0.6934657096862793, 'Y': 0.9007692337036133, 'Z': -2.9199769414844923e-05}, {'X': 0.632383406162262, 'Y': 0.8720592260360718, 'Z': 0.0017873836914077401}, {'X': 0.5959674119949341, 'Y': 0.7858572602272034, 'Z': 0.00509278941899538}, {'X': 0.5738539099693298, 'Y': 0.7119252681732178, 'Z': 0.0015701797092333436}, {'X': 0.5478150844573975, 'Y': 0.6714990735054016, 'Z': -0.0057623619213700294}, {'X': 0.6349583864212036, 'Y': 0.6409173011779785, 'Z': 0.035270772874355316}, {'X': 0.6285496354103088, 'Y': 0.5407680869102478, 'Z': 0.034430962055921555}, {'X': 0.6260055899620056, 'Y': 0.47628164291381836, 'Z': 0.024863453581929207}, {'X': 0.6242045164108276, 'Y': 0.4212682545185089, 'Z': 0.012852979823946953}, {'X': 0.6692237854003906, 'Y': 0.6260544061660767, 'Z': 0.018567658960819244}, {'X': 0.6613749265670776, 'Y': 0.5150891542434692, 'Z': 0.0242873877286911}, {'X': 0.6541045904159546, 'Y': 0.439863920211792, 'Z': 0.00883741769939661}, {'X': 0.6494128704071045, 'Y': 0.3809073567390442, 'Z': -0.0076635126024484634}, {'X': 0.7048439979553223, 'Y': 0.6351922154426575, 'Z': -0.0031492903362959623}, {'X': 0.6982601881027222, 'Y': 0.5237103700637817, 'Z': -0.005464089568704367}, {'X': 0.6906373500823975, 'Y': 0.4513015151023865, 'Z': -0.0231629628688097}, {'X': 0.6841472387313843, 'Y': 0.3933025598526001, 'Z': -0.03916256129741669}, {'X': 0.7436321973800659, 'Y': 0.6670682430267334, 'Z': -0.025740353390574455}, {'X': 0.7549125552177429, 'Y': 0.5793588161468506, 'Z': -0.03851013258099556}, {'X': 0.7604943513870239, 'Y': 0.5192192792892456, 'Z': -0.05268389731645584}, {'X': 0.7625344395637512, 'Y': 0.4622190594673157, 'Z': -0.0653814822435379}]
[{'X': 0.6964301466941833, 'Y': 0.8999189138412476, 'Z': -6.410161586245522e-05}, {'X': 0.6334150433540344, 'Y': 0.8740271925926208, 'Z': 0.01077637542039156}, {'X': 0.5959914326667786, 'Y': 0.7885175943374634, 'Z': 0.018857484683394432}, {'X': 0.5731666684150696, 'Y': 0.7177647948265076, 'Z': 0.018897831439971924}, {'X': 0.547185480594635, 'Y': 0.6812809705734253, 'Z': 0.014708580449223518}, {'X': 0.6387900710105896, 'Y': 0.650151252746582, 'Z': 0.04715656116604805}, {'X': 0.6320191025733948, 'Y': 0.5490802526473999, 'Z': 0.05035536363720894}, {'X': 0.629676878452301, 'Y': 0.48571741580963135, 'Z': 0.04437979683279991}, {'X': 0.6276215314865112, 'Y': 0.43150755763053894, 'Z': 0.036691050976514816}, {'X': 0.6718276143074036, 'Y': 0.6335858106613159, 'Z': 0.0307795237749815}, {'X': 0.6650227308273315, 'Y': 0.5175601243972778, 'Z': 0.04104776680469513}, {'X': 0.658604085445404, 'Y': 0.44348761439323425, 'Z': 0.030090898275375366}, {'X': 0.6533737778663635, 'Y': 0.3844924867153168, 'Z': 0.01814304105937481}, {'X': 0.7050548195838928, 'Y': 0.6386095881462097, 'Z': 0.010746361687779427}, {'X': 0.7006177306175232, 'Y': 0.5230578184127808, 'Z': 0.01243295893073082}, {'X': 0.6930212378501892, 'Y': 0.45314908027648926, 'Z': -0.004806921351701021}, {'X': 0.6867119073867798, 'Y': 0.39682888984680176, 'Z': -0.01859164983034134}, {'X': 0.7407868504524231, 'Y': 0.6653246283531189, 'Z': -0.008726420812308788}, {'X': 0.7534811496734619, 'Y': 0.5761289596557617, 'Z': -0.015663567930459976}, {'X': 0.7607192993164062, 'Y': 0.5209156274795532, 'Z': -0.02852795645594597}, {'X': 0.7656847834587097, 'Y': 0.4688653349876404, 'Z': -0.04011666402220726}]
[{'X': 0.698703408241272, 'Y': 0.8961000442504883, 'Z': -6.829595076851547e-05}, {'X': 0.6343324780464172, 'Y': 0.87430739402771, 'Z': 0.019856605678796768}, {'X': 0.5979241728782654, 'Y': 0.7914692759513855, 'Z': 0.030651230365037918}, {'X': 0.5762512683868408, 'Y': 0.7179355621337891, 'Z': 0.03391343355178833}, {'X': 0.5511810779571533, 'Y': 0.6797621846199036, 'Z': 0.031932707875967026}, {'X': 0.6402862071990967, 'Y': 0.6494572758674622, 'Z': 0.0481933169066906}, {'X': 0.6330093741416931, 'Y': 0.5460655689239502, 'Z': 0.05322092026472092}, {'X': 0.6293151378631592, 'Y': 0.4816458225250244, 'Z': 0.04747077822685242}, {'X': 0.6253656148910522, 'Y': 0.4298352301120758, 'Z': 0.03973928093910217}, {'X': 0.6754223704338074, 'Y': 0.6319438815116882, 'Z': 0.029950305819511414}, {'X': 0.6669642329216003, 'Y': 0.5174349546432495, 'Z': 0.040363479405641556}, {'X': 0.6605780720710754, 'Y': 0.43732234835624695, 'Z': 0.03073831833899021}, {'X': 0.6551089882850647, 'Y': 0.3779337704181671, 'Z': 0.019381875172257423}, {'X': 0.7108478546142578, 'Y': 0.6395834684371948, 'Z': 0.009596151299774647}, {'X': 0.7049775719642639, 'Y': 0.5246497988700867, 'Z': 0.01339388731867075}, {'X': 0.6973549723625183, 'Y': 0.45053988695144653, 'Z': 0.001052822801284492}, {'X': 0.6895574927330017, 'Y': 0.3926391005516052, 'Z': -0.009939726442098618}, {'X': 0.7479531764984131, 'Y': 0.6695876121520996, 'Z': -0.008638208732008934}, {'X': 0.7597193717956543, 'Y': 0.582165002822876, 'Z': -0.012440168298780918}, {'X': 0.7658935189247131, 'Y': 0.5250267386436462, 'Z': -0.021480202674865723}, {'X': 0.7676312923431396, 'Y': 0.47324007749557495, 'Z': -0.03001190908253193}]
[{'X': 0.7013748288154602, 'Y': 0.9130384922027588, 'Z': -6.854768435005099e-05}, {'X': 0.6388608813285828, 'Y': 0.877452552318573, 'Z': 0.007498298771679401}, {'X': 0.5969454050064087, 'Y': 0.7882412672042847, 'Z': 0.010621709749102592}, {'X': 0.5656599402427673, 'Y': 0.7172776460647583, 'Z': 0.007767697796225548}, {'X': 0.5327013731002808, 'Y': 0.683670163154602, 'Z': -0.0015760894166305661}, {'X': 0.6408799290657043, 'Y': 0.6472869515419006, 'Z': 0.04388105869293213}, {'X': 0.6306980848312378, 'Y': 0.5450328588485718, 'Z': 0.045559972524642944}, {'X': 0.6268609166145325, 'Y': 0.48014962673187256, 'Z': 0.04004223644733429}, {'X': 0.6230964660644531, 'Y': 0.4252393841743469, 'Z': 0.03481278568506241}, {'X': 0.6754872798919678, 'Y': 0.6311988234519958, 'Z': 0.028454195708036423}, {'X': 0.6658313274383545, 'Y': 0.5141696929931641, 'Z': 0.03830380365252495}, {'X': 0.6587293148040771, 'Y': 0.441236674785614, 'Z': 0.029263461008667946}, {'X': 0.6521854400634766, 'Y': 0.3825187087059021, 'Z': 0.021594814956188202}, {'X': 0.7101988196372986, 'Y': 0.6391216516494751, 'Z': 0.008589099161326885}, {'X': 0.7052394151687622, 'Y': 0.5218970775604248, 'Z': 0.011885999701917171}, {'X': 0.6961145997047424, 'Y': 0.4547353982925415, 'Z': -0.0038764323107898235}, {'X': 0.6875143647193909, 'Y': 0.4000933766365051, 'Z': -0.012939130887389183}, {'X': 0.747419536113739, 'Y': 0.6696711182594299, 'Z': -0.010621240362524986}, {'X': 0.7592282891273499, 'Y': 0.5796633958816528, 'Z': -0.015888597816228867}, {'X': 0.7651575803756714, 'Y': 0.5235152244567871, 'Z': -0.027888687327504158}, {'X': 0.7687903046607971, 'Y': 0.46817073225975037, 'Z': -0.038364432752132416}]
[{'X': 0.699447751045227, 'Y': 0.9054903388023376, 'Z': -5.030636384617537e-05}, {'X': 0.6350350975990295, 'Y': 0.8738526105880737, 'Z': 0.012247997336089611}, {'X': 0.5970157980918884, 'Y': 0.7840155959129333, 'Z': 0.020510230213403702}, {'X': 0.5736944079399109, 'Y': 0.7124147415161133, 'Z': 0.020568042993545532}, {'X': 0.5474788546562195, 'Y': 0.6738678812980652, 'Z': 0.013961860910058022}, {'X': 0.6390008330345154, 'Y': 0.6477925777435303, 'Z': 0.050302837044000626}, {'X': 0.6347497701644897, 'Y': 0.5462496876716614, 'Z': 0.05252227932214737}, {'X': 0.6308645009994507, 'Y': 0.48323124647140503, 'Z': 0.04348854348063469}, {'X': 0.6253480911254883, 'Y': 0.4296005964279175, 'Z': 0.03250977396965027}, {'X': 0.6740084290504456, 'Y': 0.6338592767715454, 'Z': 0.030218861997127533}, {'X': 0.6651514172554016, 'Y': 0.5225626230239868, 'Z': 0.03851911798119545}, {'X': 0.6565842628479004, 'Y': 0.44625771045684814, 'Z': 0.02277660183608532}, {'X': 0.648777186870575, 'Y': 0.3867588937282562, 'Z': 0.005816670134663582}, {'X': 0.7099549174308777, 'Y': 0.6418719291687012, 'Z': 0.005927328020334244}, {'X': 0.700930655002594, 'Y': 0.5317612886428833, 'Z': 0.006343775894492865}, {'X': 0.691250741481781, 'Y': 0.4613149166107178, 'Z': -0.011436165310442448}, {'X': 0.6815301179885864, 'Y': 0.4050697684288025, 'Z': -0.027863118797540665}, {'X': 0.7491999864578247, 'Y': 0.6712950468063354, 'Z': -0.017337210476398468}, {'X': 0.7604488730430603, 'Y': 0.5836734175682068, 'Z': -0.02610233798623085}, {'X': 0.7664112448692322, 'Y': 0.5268009305000305, 'Z': -0.038478437811136246}, {'X': 0.7691093683242798, 'Y': 0.4711059331893921, 'Z': -0.05195889249444008}]
[{'X': 0.697318971157074, 'Y': 0.8964240550994873, 'Z': -5.784823224530555e-05}, {'X': 0.6364290714263916, 'Y': 0.8725315928459167, 'Z': 0.0132767204195261}, {'X': 0.5998031497001648, 'Y': 0.7848333120346069, 'Z': 0.023041188716888428}, {'X': 0.5753087997436523, 'Y': 0.7117791175842285, 'Z': 0.023704297840595245}, {'X': 0.5482208132743835, 'Y': 0.6754348874092102, 'Z': 0.019081654027104378}, {'X': 0.6421146392822266, 'Y': 0.6464086174964905, 'Z': 0.057271212339401245}, {'X': 0.6357552409172058, 'Y': 0.5452052354812622, 'Z': 0.06148313730955124}, {'X': 0.6322687864303589, 'Y': 0.4826856255531311, 'Z': 0.05438050255179405}, {'X': 0.6277595162391663, 'Y': 0.4311622679233551, 'Z': 0.04541778936982155}, {'X': 0.6756696701049805, 'Y': 0.6318087577819824, 'Z': 0.03729337826371193}, {'X': 0.6661862730979919, 'Y': 0.5208835005760193, 'Z': 0.04629319906234741}, {'X': 0.6562018990516663, 'Y': 0.44628414511680603, 'Z': 0.030851498246192932}, {'X': 0.6465328931808472, 'Y': 0.3902868330478668, 'Z': 0.01553283166140318}, {'X': 0.710970401763916, 'Y': 0.6395750045776367, 'Z': 0.012874677777290344}, {'X': 0.7011311054229736, 'Y': 0.5275895595550537, 'Z': 0.015302357263863087}, {'X': 0.6885687112808228, 'Y': 0.45856773853302, 'Z': -0.004188499879091978}, {'X': 0.6765309572219849, 'Y': 0.40492451190948486, 'Z': -0.020089417695999146}, {'X': 0.7496547698974609, 'Y': 0.6694393754005432, 'Z': -0.010571620427072048}, {'X': 0.7606956958770752, 'Y': 0.5802699327468872, 'Z': -0.016867922618985176}, {'X': 0.7670862674713135, 'Y': 0.5248687267303467, 'Z': -0.02851579338312149}, {'X': 0.7698675990104675, 'Y': 0.47368085384368896, 'Z': -0.04030538350343704}]
[{'X': 0.7012395262718201, 'Y': 0.9235595464706421, 'Z': 9.012264854391105e-06}, {'X': 0.6426467895507812, 'Y': 0.879132866859436, 'Z': 0.0028171688318252563}, {'X': 0.6047282814979553, 'Y': 0.7868162393569946, 'Z': 0.006264484953135252}, {'X': 0.5788016319274902, 'Y': 0.7073183059692383, 'Z': 0.0012505294289439917}, {'X': 0.5516387224197388, 'Y': 0.6665751934051514, 'Z': -0.006408386863768101}, {'X': 0.6422626376152039, 'Y': 0.6487729549407959, 'Z': 0.05099709704518318}, {'X': 0.6358912587165833, 'Y': 0.5480246543884277, 'Z': 0.058072034269571304}, {'X': 0.6329218745231628, 'Y': 0.48230960965156555, 'Z': 0.05752355977892876}, {'X': 0.6320728063583374, 'Y': 0.4268474578857422, 'Z': 0.05656184256076813}, {'X': 0.6779921054840088, 'Y': 0.6357341408729553, 'Z': 0.03559377044439316}, {'X': 0.6686094999313354, 'Y': 0.5217746496200562, 'Z': 0.04085289314389229}, {'X': 0.6600862741470337, 'Y': 0.4438251852989197, 'Z': 0.030107922852039337}, {'X': 0.6551851034164429, 'Y': 0.37596696615219116, 'Z': 0.018653536215424538}, {'X': 0.7148805856704712, 'Y': 0.6460022330284119, 'Z': 0.014177961274981499}, {'X': 0.709635853767395, 'Y': 0.545650064945221, 'Z': 0.003996511921286583}, {'X': 0.6942729949951172, 'Y': 0.5166373252868652, 'Z': -0.018496938049793243}, {'X': 0.6801732182502747, 'Y': 0.5027639269828796, 'Z': -0.032614875584840775}, {'X': 0.7527754306793213, 'Y': 0.6707291007041931, 'Z': -0.006625237874686718}, {'X': 0.7659534215927124, 'Y': 0.585529088973999, 'Z': -0.014766701497137547}, {'X': 0.7722880840301514, 'Y': 0.5239487290382385, 'Z': -0.027983231469988823}, {'X': 0.774337649345398, 'Y': 0.45938846468925476, 'Z': -0.0400453582406044}]
[{'X': 0.7062672972679138, 'Y': 0.9298425316810608, 'Z': 5.659118414769182e-06}, {'X': 0.6443833112716675, 'Y': 0.8828223943710327, 'Z': -0.0003257759381085634}, {'X': 0.6098405122756958, 'Y': 0.7871091961860657, 'Z': -0.0002043833228526637}, {'X': 0.5844564437866211, 'Y': 0.7093345522880554, 'Z': -0.009074380621314049}, {'X': 0.5558977723121643, 'Y': 0.6680799126625061, 'Z': -0.022644823417067528}, {'X': 0.6497116088867188, 'Y': 0.6552162766456604, 'Z': 0.060260191559791565}, {'X': 0.6426646709442139, 'Y': 0.5628054738044739, 'Z': 0.07198796421289444}, {'X': 0.637902021408081, 'Y': 0.5030540227890015, 'Z': 0.06852758675813675}, {'X': 0.6362800598144531, 'Y': 0.44656962156295776, 'Z': 0.06600400805473328}, {'X': 0.6841530203819275, 'Y': 0.6405551433563232, 'Z': 0.04586653411388397}, {'X': 0.6742981672286987, 'Y': 0.5316512584686279, 'Z': 0.05208504945039749}, {'X': 0.659912645816803, 'Y': 0.4621248245239258, 'Z': 0.040590737015008926}, {'X': 0.6488862633705139, 'Y': 0.3991425931453705, 'Z': 0.02983773499727249}, {'X': 0.7197384834289551, 'Y': 0.6472562551498413, 'Z': 0.026548046618700027}, {'X': 0.7181063294410706, 'Y': 0.5524593591690063, 'Z': 0.017425209283828735}, {'X': 0.7054802775382996, 'Y': 0.5667579770088196, 'Z': -0.008848173543810844}, {'X': 0.6974905729293823, 'Y': 0.5882208943367004, 'Z': -0.020491670817136765}, {'X': 0.7534788250923157, 'Y': 0.6685097217559814, 'Z': 0.007332263048738241}, {'X': 0.7576854228973389, 'Y': 0.5822564959526062, 'Z': 0.013251958414912224}, {'X': 0.7546448707580566, 'Y': 0.5165385007858276, 'Z': 0.01016455888748169}, {'X': 0.75015789270401, 'Y': 0.44961464405059814, 'Z': 0.006186996586620808}]
[{'X': 0.6929513216018677, 'Y': 0.9266026020050049, 'Z': -5.948928082943894e-05}, {'X': 0.6366669535636902, 'Y': 0.8616368174552917, 'Z': 0.028442099690437317}, {'X': 0.6129567623138428, 'Y': 0.7520732879638672, 'Z': 0.045401137322187424}, {'X': 0.5955223441123962, 'Y': 0.6919997334480286, 'Z': 0.050115298479795456}, {'X': 0.5681354999542236, 'Y': 0.6685695648193359, 'Z': 0.05078279972076416}, {'X': 0.6653419733047485, 'Y': 0.6414708495140076, 'Z': 0.08895867317914963}, {'X': 0.6635922789573669, 'Y': 0.543508768081665, 'Z': 0.0838104858994484}, {'X': 0.6527417898178101, 'Y': 0.49055904150009155, 'Z': 0.07763002067804337}, {'X': 0.6398032307624817, 'Y': 0.4484235644340515, 'Z': 0.07868459075689316}, {'X': 0.6968368291854858, 'Y': 0.6447872519493103, 'Z': 0.05558935925364494}, {'X': 0.6874843239784241, 'Y': 0.5545939803123474, 'Z': 0.018657276406884193}, {'X': 0.6652670502662659, 'Y': 0.5599806308746338, 'Z': -0.017005445435643196}, {'X': 0.6491976380348206, 'Y': 0.580251157283783, 'Z': -0.03257080540060997}, {'X': 0.7261670827865601, 'Y': 0.6609144806861877, 'Z': 0.019345568493008614}, {'X': 0.7049077153205872, 'Y': 0.618774950504303, 'Z': -0.027269555255770683}, {'X': 0.6801902651786804, 'Y': 0.7037795782089233, 'Z': -0.05002454295754433}, {'X': 0.6684735417366028, 'Y': 0.7676963210105896, 'Z': -0.04871538281440735}, {'X': 0.7561260461807251, 'Y': 0.686984658241272, 'Z': -0.014571918174624443}, {'X': 0.7504816055297852, 'Y': 0.6051045656204224, 'Z': -0.04352997615933418}, {'X': 0.739486813545227, 'Y': 0.5530309081077576, 'Z': -0.05663524195551872}, {'X': 0.7278521656990051, 'Y': 0.49995550513267517, 'Z': -0.06098519638180733}]
[{'X': 0.678213357925415, 'Y': 0.8982234001159668, 'Z': -0.00010511596337892115}, {'X': 0.6324716806411743, 'Y': 0.8340266942977905, 'Z': 0.018870148807764053}, {'X': 0.6078618168830872, 'Y': 0.733305037021637, 'Z': 0.034258585423231125}, {'X': 0.5883693099021912, 'Y': 0.6779568195343018, 'Z': 0.04134858399629593}, {'X': 0.5665069222450256, 'Y': 0.6637359857559204, 'Z': 0.045452214777469635}, {'X': 0.664566159248352, 'Y': 0.6383479833602905, 'Z': 0.06660923361778259}, {'X': 0.6630362868309021, 'Y': 0.5403062701225281, 'Z': 0.06068302318453789}, {'X': 0.6528681516647339, 'Y': 0.4951837360858917, 'Z': 0.05365484952926636}, {'X': 0.6364462971687317, 'Y': 0.464546799659729, 'Z': 0.051094986498355865}, {'X': 0.6942628026008606, 'Y': 0.6496340036392212, 'Z': 0.039272475987672806}, {'X': 0.683388888835907, 'Y': 0.5525972843170166, 'Z': 0.003708184463903308}, {'X': 0.6612576246261597, 'Y': 0.5260627269744873, 'Z': -0.029638392850756645}, {'X': 0.6398881673812866, 'Y': 0.5242389440536499, 'Z': -0.04631958156824112}, {'X': 0.7215895652770996, 'Y': 0.6732029914855957, 'Z': 0.010101675987243652}, {'X': 0.7014155387878418, 'Y': 0.6361949443817139, 'Z': -0.03390383720397949}, {'X': 0.6854771971702576, 'Y': 0.7173023819923401, 'Z': -0.04807886853814125}, {'X': 0.6752524971961975, 'Y': 0.7802360653877258, 'Z': -0.04095770791172981}, {'X': 0.7488767504692078, 'Y': 0.7078120708465576, 'Z': -0.018290722742676735}, {'X': 0.7410619258880615, 'Y': 0.6245061159133911, 'Z': -0.04716937988996506}, {'X': 0.731857180595398, 'Y': 0.5766139626502991, 'Z': -0.05975502356886864}, {'X': 0.7215059399604797, 'Y': 0.5317476987838745, 'Z': -0.06339408457279205}]
