[{'X': 0.5815722942352295, 'Y': 0.6967700123786926, 'Z': -8.971624629339203e-05}, {'X': 0.5166298151016235, 'Y': 0.7019802927970886, 'Z': 0.010144274681806564}, {'X': 0.4634099006652832, 'Y': 0.6223806738853455, 'Z': 0.02846960909664631}, {'X': 0.4303736686706543, 'Y': 0.5556445121765137, 'Z': 0.03708184137940407}, {'X': 0.4025428593158722, 'Y': 0.5413612723350525, 'Z': 0.04509492963552475}, {'X': 0.49123090505599976, 'Y': 0.45760342478752136, 'Z': 0.06514621526002884}, {'X': 0.47078737616539, 'Y': 0.3569675385951996, 'Z': 0.07374762743711472}, {'X': 0.4578012526035309, 'Y': 0.29314494132995605, 'Z': 0.0701041966676712}, {'X': 0.44735100865364075, 'Y': 0.24219761788845062, 'Z': 0.060131072998046875}, {'X': 0.522133469581604, 'Y': 0.4228869378566742, 'Z': 0.047236859798431396}, {'X': 0.4991734027862549, 'Y': 0.3071850538253784, 'Z': 0.061691612005233765}, {'X': 0.47698158025741577, 'Y': 0.235821932554245, 'Z': 0.04821058362722397}, {'X': 0.4591045379638672, 'Y': 0.17593562602996826, 'Z': 0.03731671720743179}, {'X': 0.5571998357772827, 'Y': 0.40851086378097534, 'Z': 0.024624723941087723}, {'X': 0.5350063443183899, 'Y': 0.2882922291755676, 'Z': 0.031548529863357544}, {'X': 0.5136349201202393, 'Y': 0.21871404349803925, 'Z': 0.015188288874924183}, {'X': 0.4934082627296448, 'Y': 0.15689989924430847, 'Z': 0.0033868313767015934}, {'X': 0.5975693464279175, 'Y': 0.4147126376628876, 'Z': 0.0015205313684418797}, {'X': 0.5984815359115601, 'Y': 0.31228747963905334, 'Z': -0.0026824597734957933}, {'X': 0.5961556434631348, 'Y': 0.24907031655311584, 'Z': -0.011475172825157642}, {'X': 0.5908816456794739, 'Y': 0.18973970413208008, 'Z': -0.018238460645079613}]
[{'X': 0.5789101719856262, 'Y': 0.6978572010993958, 'Z': -9.291555761592463e-05}, {'X': 0.5139471888542175, 'Y': 0.7007485032081604, 'Z': 0.00872123148292303}, {'X': 0.4612571895122528, 'Y': 0.6216316223144531, 'Z': 0.026303837075829506}, {'X': 0.4298449754714966, 'Y': 0.555285632610321, 'Z': 0.03493571653962135}, {'X': 0.40430670976638794, 'Y': 0.5427147150039673, 'Z': 0.04276249185204506}, {'X': 0.4915594756603241, 'Y': 0.45603105425834656, 'Z': 0.062356285750865936}, {'X': 0.47067686915397644, 'Y': 0.35574615001678467, 'Z': 0.06929749250411987}, {'X': 0.45672619342803955, 'Y': 0.29249799251556396, 'Z': 0.06449364125728607}, {'X': 0.44570791721343994, 'Y': 0.24297817051410675, 'Z': 0.05400075763463974}, {'X': 0.5221683979034424, 'Y': 0.4211008548736572, 'Z': 0.04525865614414215}, {'X': 0.49886980652809143, 'Y': 0.30555540323257446, 'Z': 0.057452138513326645}, {'X': 0.47611376643180847, 'Y': 0.23529310524463654, 'Z': 0.04268185794353485}, {'X': 0.4576595425605774, 'Y': 0.175603449344635, 'Z': 0.03182709962129593}, {'X': 0.556661069393158, 'Y': 0.4063558280467987, 'Z': 0.02383095771074295}, {'X': 0.534827709197998, 'Y': 0.2852116525173187, 'Z': 0.02990983985364437}, {'X': 0.5138102173805237, 'Y': 0.2168041169643402, 'Z': 0.013919582590460777}, {'X': 0.49371999502182007, 'Y': 0.15584781765937805, 'Z': 0.0025525586679577827}, {'X': 0.5966088175773621, 'Y': 0.41226595640182495, 'Z': 0.0018202118808403611}, {'X': 0.5973997712135315, 'Y': 0.3081924021244049, 'Z': -0.003148909192532301}, {'X': 0.5953324437141418, 'Y': 0.24356518685817719, 'Z': -0.012182770296931267}, {'X': 0.5902772545814514, 'Y': 0.18326416611671448, 'Z': -0.019130408763885498}]
[{'X': 0.5785240530967712, 'Y': 0.6976214051246643, 'Z': -5.2766983571927994e-05}, {'X': 0.5118155479431152, 'Y': 0.7020044326782227, 'Z': 0.005719336681067944}, {'X': 0.45975732803344727, 'Y': 0.6250849962234497, 'Z': 0.027686089277267456}, {'X': 0.42531946301460266, 'Y': 0.5586907863616943, 'Z': 0.0408097505569458}, {'X': 0.4043966829776764, 'Y': 0.533657968044281, 'Z': 0.059974219650030136}, {'X': 0.48926421999931335, 'Y': 0.45608747005462646, 'Z': 0.06222463771700859}, {'X': 0.4670490622520447, 'Y': 0.35430940985679626, 'Z': 0.07052067667245865}, {'X': 0.45337381958961487, 'Y': 0.29189595580101013, 'Z': 0.0675496757030487}, {'X': 0.44141554832458496, 'Y': 0.23997962474822998, 'Z': 0.058042485266923904}, {'X': 0.5165267586708069, 'Y': 0.425112247467041, 'Z': 0.0460205003619194}, {'X': 0.4924303889274597, 'Y': 0.30363112688064575, 'Z': 0.061731915920972824}, {'X': 0.4741976857185364, 'Y': 0.2340388000011444, 'Z': 0.04579748213291168}, {'X': 0.45873942971229553, 'Y': 0.1767457127571106, 'Z': 0.03187113255262375}, {'X': 0.5497727394104004, 'Y': 0.4129442274570465, 'Z': 0.026068909093737602}, {'X': 0.5307976007461548, 'Y': 0.2922844886779785, 'Z': 0.03858241066336632}, {'X': 0.5129913687705994, 'Y': 0.2197340726852417, 'Z': 0.019446393474936485}, {'X': 0.4949313700199127, 'Y': 0.1558772623538971, 'Z': 0.003577211871743202}, {'X': 0.5885431170463562, 'Y': 0.4202526807785034, 'Z': 0.0026669574435800314}, {'X': 0.5908417701721191, 'Y': 0.32577428221702576, 'Z': 0.010058395564556122}, {'X': 0.5908117294311523, 'Y': 0.2613075375556946, 'Z': 0.0015429838094860315}, {'X': 0.586469292640686, 'Y': 0.1958981156349182, 'Z': -0.008925321511924267}]
[{'X': 0.5802155137062073, 'Y': 0.69745272397995, 'Z': -7.215208461275324e-05}, {'X': 0.5122283101081848, 'Y': 0.7001901268959045, 'Z': 0.01478907186537981}, {'X': 0.4605916738510132, 'Y': 0.6250592470169067, 'Z': 0.04155666381120682}, {'X': 0.4262305796146393, 'Y': 0.5585950613021851, 'Z': 0.05662838742136955}, {'X': 0.4076346755027771, 'Y': 0.5299310684204102, 'Z': 0.07653085142374039}, {'X': 0.48809754848480225, 'Y': 0.45640403032302856, 'Z': 0.0821632370352745}, {'X': 0.46954965591430664, 'Y': 0.356514036655426, 'Z': 0.09764832258224487}, {'X': 0.4565597474575043, 'Y': 0.2933593988418579, 'Z': 0.0974838063120842}, {'X': 0.4456034004688263, 'Y': 0.23991626501083374, 'Z': 0.09122006595134735}, {'X': 0.5147566795349121, 'Y': 0.4265797734260559, 'Z': 0.06542970985174179}, {'X': 0.4937477111816406, 'Y': 0.30720481276512146, 'Z': 0.08785716444253922}, {'X': 0.47489163279533386, 'Y': 0.2336849570274353, 'Z': 0.07496964186429977}, {'X': 0.46093279123306274, 'Y': 0.17520633339881897, 'Z': 0.06426327675580978}, {'X': 0.5485138893127441, 'Y': 0.4139615297317505, 'Z': 0.045943986624479294}, {'X': 0.5310775637626648, 'Y': 0.2974308729171753, 'Z': 0.06435296684503555}, {'X': 0.5124150514602661, 'Y': 0.22630727291107178, 'Z': 0.051082950085401535}, {'X': 0.4951965808868408, 'Y': 0.16594454646110535, 'Z': 0.04065152630209923}, {'X': 0.5882266163825989, 'Y': 0.4200153946876526, 'Z': 0.022797653451561928}, {'X': 0.5890713334083557, 'Y': 0.3313888907432556, 'Z': 0.033505115658044815}, {'X': 0.5887416005134583, 'Y': 0.26915594935417175, 'Z': 0.027533384039998055}, {'X': 0.5859531164169312, 'Y': 0.2064882218837738, 'Z': 0.020460378378629684}]
[{'X': 0.5795626640319824, 'Y': 0.6959525942802429, 'Z': -6.572023266926408e-05}, {'X': 0.5130419135093689, 'Y': 0.7042189836502075, 'Z': 0.009534457698464394}, {'X': 0.4622587561607361, 'Y': 0.6308910846710205, 'Z': 0.0293402262032032}, {'X': 0.4303606450557709, 'Y': 0.562250554561615, 'Z': 0.04015505686402321}, {'X': 0.410352498292923, 'Y': 0.5367324948310852, 'Z': 0.05324659124016762}, {'X': 0.48857954144477844, 'Y': 0.45907947421073914, 'Z': 0.07201194763183594}, {'X': 0.46727073192596436, 'Y': 0.3620414733886719, 'Z': 0.08131592720746994}, {'X': 0.4527358412742615, 'Y': 0.29995179176330566, 'Z': 0.07830169796943665}, {'X': 0.4417445659637451, 'Y': 0.2492809295654297, 'Z': 0.06976699084043503}, {'X': 0.516244113445282, 'Y': 0.4253006875514984, 'Z': 0.0552169531583786}, {'X': 0.49284878373146057, 'Y': 0.30952227115631104, 'Z': 0.07007258385419846}, {'X': 0.47175514698028564, 'Y': 0.2407843917608261, 'Z': 0.055088676512241364}, {'X': 0.4559871256351471, 'Y': 0.18395373225212097, 'Z': 0.0437016561627388}, {'X': 0.5501114726066589, 'Y': 0.4097727835178375, 'Z': 0.035216011106967926}, {'X': 0.5298904776573181, 'Y': 0.2930978536605835, 'Z': 0.047149546444416046}, {'X': 0.510733425617218, 'Y': 0.224410742521286, 'Z': 0.032025568187236786}, {'X': 0.4934750199317932, 'Y': 0.16648361086845398, 'Z': 0.02049800381064415}, {'X': 0.5903745889663696, 'Y': 0.4137119650840759, 'Z': 0.012093784287571907}, {'X': 0.5912452340126038, 'Y': 0.31777864694595337, 'Z': 0.017322633415460587}, {'X': 0.5912448167800903, 'Y': 0.2536007761955261, 'Z': 0.008709563873708248}, {'X': 0.5883938670158386, 'Y': 0.19151073694229126, 'Z': 0.00011328157415846363}]
[{'X': 0.5834434628486633, 'Y': 0.6951456069946289, 'Z': -8.887780859367922e-05}, {'X': 0.5177018046379089, 'Y': 0.7016396522521973, 'Z': 0.008200924843549728}, {'X': 0.46375975012779236, 'Y': 0.6259574294090271, 'Z': 0.029088174924254417}, {'X': 0.4312281906604767, 'Y': 0.5584391951560974, 'Z': 0.03958193585276604}, {'X': 0.40554332733154297, 'Y': 0.5419920682907104, 'Z': 0.048007264733314514}, {'X': 0.490264356136322, 'Y': 0.46145936846733093, 'Z': 0.07645189017057419}, {'X': 0.46993839740753174, 'Y': 0.3704124093055725, 'Z': 0.08916906267404556}, {'X': 0.45548728108406067, 'Y': 0.3122625946998596, 'Z': 0.08813083916902542}, {'X': 0.4444226026535034, 'Y': 0.26361775398254395, 'Z': 0.07918933779001236}, {'X': 0.5186340808868408, 'Y': 0.4269156754016876, 'Z': 0.060306381434202194}, {'X': 0.4935605227947235, 'Y': 0.32441282272338867, 'Z': 0.07614950835704803}, {'X': 0.4713042378425598, 'Y': 0.2677641212940216, 'Z': 0.06220278516411781}, {'X': 0.45255762338638306, 'Y': 0.21871623396873474, 'Z': 0.05150248855352402}, {'X': 0.5525916814804077, 'Y': 0.4093881845474243, 'Z': 0.040099576115608215}, {'X': 0.5301176309585571, 'Y': 0.30028486251831055, 'Z': 0.05031181126832962}, {'X': 0.5087963342666626, 'Y': 0.24050742387771606, 'Z': 0.035744089633226395}, {'X': 0.4891815185546875, 'Y': 0.18762987852096558, 'Z': 0.0244364645332098}, {'X': 0.5932459235191345, 'Y': 0.4100213050842285, 'Z': 0.017629122361540794}, {'X': 0.5950194001197815, 'Y': 0.31583601236343384, 'Z': 0.020456979051232338}, {'X': 0.5949364900588989, 'Y': 0.25379201769828796, 'Z': 0.012081809341907501}, {'X': 0.5912519097328186, 'Y': 0.19227057695388794, 'Z': 0.003485695458948612}]
[{'X': 0.5753162503242493, 'Y': 0.692895770072937, 'Z': -8.552728832000867e-05}, {'X': 0.5120800137519836, 'Y': 0.6944960355758667, 'Z': 0.001980561064556241}, {'X': 0.46205127239227295, 'Y': 0.625534176826477, 'Z': 0.020319269970059395}, {'X': 0.4314989447593689, 'Y': 0.5612277388572693, 'Z': 0.027827071025967598}, {'X': 0.41252201795578003, 'Y': 0.5351426601409912, 'Z': 0.036981359124183655}, {'X': 0.49112382531166077, 'Y': 0.46330490708351135, 'Z': 0.06943174451589584}, {'X': 0.470675528049469, 'Y': 0.36381906270980835, 'Z': 0.0752987265586853}, {'X': 0.4578869044780731, 'Y': 0.29894107580184937, 'Z': 0.06913035362958908}, {'X': 0.44661539793014526, 'Y': 0.24738554656505585, 'Z': 0.05654076114296913}, {'X': 0.5178905725479126, 'Y': 0.43470698595046997, 'Z': 0.051332902163267136}, {'X': 0.49353349208831787, 'Y': 0.3196370601654053, 'Z': 0.059970561414957047}, {'X': 0.47377949953079224, 'Y': 0.25165605545043945, 'Z': 0.0420297347009182}, {'X': 0.4557517468929291, 'Y': 0.1972118616104126, 'Z': 0.02792542055249214}, {'X': 0.551091730594635, 'Y': 0.42213064432144165, 'Z': 0.029011903330683708}, {'X': 0.5287826657295227, 'Y': 0.31031888723373413, 'Z': 0.03773186728358269}, {'X': 0.5062734484672546, 'Y': 0.2527838945388794, 'Z': 0.02105800062417984}, {'X': 0.4853231906890869, 'Y': 0.20697006583213806, 'Z': 0.009070535190403461}, {'X': 0.5902512073516846, 'Y': 0.4255964159965515, 'Z': 0.0021235039457678795}, {'X': 0.5885137319564819, 'Y': 0.33583468198776245, 'Z': 0.005227663088589907}, {'X': 0.5855209827423096, 'Y': 0.2794035077095032, 'Z': -0.0023515571374446154}, {'X': 0.5813557505607605, 'Y': 0.22590738534927368, 'Z': -0.010347950272262096}]
[{'X': 0.5832338333129883, 'Y': 0.7005891799926758, 'Z': -9.597095049684867e-05}, {'X': 0.5167567133903503, 'Y': 0.6919571757316589, 'Z': 0.012716036289930344}, {'X': 0.4636516571044922, 'Y': 0.6225998401641846, 'Z': 0.034665122628211975}, {'X': 0.4315730333328247, 'Y': 0.5633270144462585, 'Z': 0.04581349343061447}, {'X': 0.41882753372192383, 'Y': 0.5339926481246948, 'Z': 0.05723831057548523}, {'X': 0.4927176237106323, 'Y': 0.4711688756942749, 'Z': 0.05880025401711464}, {'X': 0.4727885127067566, 'Y': 0.3699553608894348, 'Z': 0.06231185421347618}, {'X': 0.45363447070121765, 'Y': 0.3147535026073456, 'Z': 0.05615631118416786}, {'X': 0.4371039569377899, 'Y': 0.26812976598739624, 'Z': 0.046276334673166275}, {'X': 0.5183913111686707, 'Y': 0.44463855028152466, 'Z': 0.035144466906785965}, {'X': 0.49419671297073364, 'Y': 0.3312503695487976, 'Z': 0.04107702150940895}, {'X': 0.4718116521835327, 'Y': 0.2632977366447449, 'Z': 0.020265597850084305}, {'X': 0.45515474677085876, 'Y': 0.20792442560195923, 'Z': 0.0006171885179355741}, {'X': 0.551176905632019, 'Y': 0.43248116970062256, 'Z': 0.007242049090564251}, {'X': 0.5273807644844055, 'Y': 0.3310449719429016, 'Z': 0.002173618646338582}, {'X': 0.4996040165424347, 'Y': 0.2882119417190552, 'Z': -0.02612023986876011}, {'X': 0.4752475321292877, 'Y': 0.25552916526794434, 'Z': -0.04669904708862305}, {'X': 0.5900543928146362, 'Y': 0.4358760714530945, 'Z': -0.02226426638662815}, {'X': 0.5822052359580994, 'Y': 0.3562237620353699, 'Z': -0.030229711905121803}, {'X': 0.5761149525642395, 'Y': 0.30308395624160767, 'Z': -0.044342298060655594}, {'X': 0.5683034658432007, 'Y': 0.24754101037979126, 'Z': -0.059212155640125275}]
[{'X': 0.5752485394477844, 'Y': 0.6916640996932983, 'Z': -6.686911365250126e-05}, {'X': 0.5130457282066345, 'Y': 0.6875050663948059, 'Z': 0.016051799058914185}, {'X': 0.470407098531723, 'Y': 0.6142759323120117, 'Z': 0.033649247139692307}, {'X': 0.44271209836006165, 'Y': 0.5534886121749878, 'Z': 0.03921380266547203}, {'X': 0.4215985834598541, 'Y': 0.525348424911499, 'Z': 0.04024741053581238}, {'X': 0.4981551468372345, 'Y': 0.4667656123638153, 'Z': 0.06657635420560837}, {'X': 0.48179060220718384, 'Y': 0.3715660870075226, 'Z': 0.0789065882563591}, {'X': 0.4621790945529938, 'Y': 0.3202187716960907, 'Z': 0.07692216336727142}, {'X': 0.4432159960269928, 'Y': 0.28201615810394287, 'Z': 0.07361005991697311}, {'X': 0.5232164859771729, 'Y': 0.4419918656349182, 'Z': 0.0412343367934227}, {'X': 0.5030181407928467, 'Y': 0.33896899223327637, 'Z': 0.05206926912069321}, {'X': 0.4766733646392822, 'Y': 0.29783937335014343, 'Z': 0.0427311435341835}, {'X': 0.4591301679611206, 'Y': 0.276043564081192, 'Z': 0.034935884177684784}, {'X': 0.5547518730163574, 'Y': 0.4337283670902252, 'Z': 0.01092427410185337}, {'X': 0.5314344763755798, 'Y': 0.33074796199798584, 'Z': 0.013857315294444561}, {'X': 0.49916908144950867, 'Y': 0.3130219876766205, 'Z': -0.01058387290686369}, {'X': 0.4745759963989258, 'Y': 0.3116261959075928, 'Z': -0.02908913418650627}, {'X': 0.5901247262954712, 'Y': 0.4393346607685089, 'Z': -0.020199934020638466}, {'X': 0.581599235534668, 'Y': 0.35407164692878723, 'Z': -0.024678589776158333}, {'X': 0.5732082724571228, 'Y': 0.30596238374710083, 'Z': -0.03808855637907982}, {'X': 0.5669081211090088, 'Y': 0.26408013701438904, 'Z': -0.05342848226428032}]
[{'X': 0.5757558345794678, 'Y': 0.6835862398147583, 'Z': -9.684528049547225e-05}, {'X': 0.511939525604248, 'Y': 0.6858394145965576, 'Z': 0.012316195294260979}, {'X': 0.46699759364128113, 'Y': 0.6124547123908997, 'Z': 0.02361220121383667}, {'X': 0.4398990273475647, 'Y': 0.5476964116096497, 'Z': 0.019884862005710602}, {'X': 0.42554157972335815, 'Y': 0.5173794627189636, 'Z': 0.014924596063792706}, {'X': 0.49421072006225586, 'Y': 0.45588183403015137, 'Z': 0.08131276816129684}, {'X': 0.4770292639732361, 'Y': 0.3595123291015625, 'Z': 0.10028517991304398}, {'X': 0.4605500102043152, 'Y': 0.3047301769256592, 'Z': 0.10582961142063141}, {'X': 0.446262001991272, 'Y': 0.2665840983390808, 'Z': 0.10729343444108963}, {'X': 0.5214477181434631, 'Y': 0.43176889419555664, 'Z': 0.056133851408958435}, {'X': 0.5035538077354431, 'Y': 0.31123653054237366, 'Z': 0.07235097885131836}, {'X': 0.4787970185279846, 'Y': 0.24066239595413208, 'Z': 0.06324873119592667}, {'X': 0.4613937735557556, 'Y': 0.1902148425579071, 'Z': 0.052277613431215286}, {'X': 0.5556184649467468, 'Y': 0.4296960234642029, 'Z': 0.025460949167609215}, {'X': 0.5212669372558594, 'Y': 0.3428831696510315, 'Z': 0.010578052140772343}, {'X': 0.49176889657974243, 'Y': 0.3870343267917633, 'Z': -0.031634990125894547}, {'X': 0.4779178202152252, 'Y': 0.4445887804031372, 'Z': -0.05281517282128334}, {'X': 0.5928943157196045, 'Y': 0.425986111164093, 'Z': -0.003098168643191457}, {'X': 0.5812302231788635, 'Y': 0.3294999301433563, 'Z': -0.008222680538892746}, {'X': 0.5744437575340271, 'Y': 0.26310521364212036, 'Z': -0.031215621158480644}, {'X': 0.5701006054878235, 'Y': 0.2051893174648285, 'Z': -0.051609188318252563}]
[{'X': 0.5595847964286804, 'Y': 0.698462188243866, 'Z': 1.6969561329460703e-05}, {'X': 0.49964624643325806, 'Y': 0.6686110496520996, 'Z': -0.02115067094564438}, {'X': 0.46563369035720825, 'Y': 0.5982934832572937, 'Z': -0.05384480208158493}, {'X': 0.4440097510814667, 'Y': 0.5450268983840942, 'Z': -0.08170185983181}, {'X': 0.41980957984924316, 'Y': 0.5141497850418091, 'Z': -0.11466167867183685}, {'X': 0.4933837950229645, 'Y': 0.5453310608863831, 'Z': -0.1512881964445114}, {'X': 0.4858377277851105, 'Y': 0.43476903438568115, 'Z': -0.20044632256031036}, {'X': 0.47537073493003845, 'Y': 0.37075620889663696, 'Z': -0.22448177635669708}, {'X': 0.46458590030670166, 'Y': 0.3285638093948364, 'Z': -0.24152520298957825}, {'X': 0.5294312834739685, 'Y': 0.5527092218399048, 'Z': -0.16227757930755615}, {'X': 0.5340045094490051, 'Y': 0.44371503591537476, 'Z': -0.22055573761463165}, {'X': 0.5247231721878052, 'Y': 0.40098074078559875, 'Z': -0.2518208920955658}, {'X': 0.5148143768310547, 'Y': 0.383955180644989, 'Z': -0.27739953994750977}, {'X': 0.5654578804969788, 'Y': 0.5705333948135376, 'Z': -0.1673993021249771}, {'X': 0.5721991658210754, 'Y': 0.4715436100959778, 'Z': -0.22108227014541626}, {'X': 0.5608180165290833, 'Y': 0.4214477837085724, 'Z': -0.25339630246162415}, {'X': 0.5507254004478455, 'Y': 0.3933609426021576, 'Z': -0.2791946530342102}, {'X': 0.5975872874259949, 'Y': 0.5950343012809753, 'Z': -0.17051400244235992}, {'X': 0.6086739897727966, 'Y': 0.5315585136413574, 'Z': -0.21616612374782562}, {'X': 0.601047933101654, 'Y': 0.49245554208755493, 'Z': -0.24702514708042145}, {'X': 0.5870863199234009, 'Y': 0.4627443850040436, 'Z': -0.272320032119751}]
