[{'X': 0.7784640789031982, 'Y': 0.7201369404792786, 'Z': -5.1530703785829246e-05}, {'X': 0.718116819858551, 'Y': 0.6885785460472107, 'Z': -0.028654474765062332}, {'X': 0.6739051342010498, 'Y': 0.5946649312973022, 'Z': -0.04151107370853424}, {'X': 0.6516806483268738, 'Y': 0.5078834891319275, 'Z': -0.05614373832941055}, {'X': 0.6249691247940063, 'Y': 0.44751811027526855, 'Z': -0.07317031174898148}, {'X': 0.7153305411338806, 'Y': 0.46192437410354614, 'Z': 0.0013165350537747145}, {'X': 0.7028880715370178, 'Y': 0.3567432165145874, 'Z': -0.012221834622323513}, {'X': 0.6983653903007507, 'Y': 0.2923610210418701, 'Z': -0.027805114164948463}, {'X': 0.696216344833374, 'Y': 0.230878084897995, 'Z': -0.041451290249824524}, {'X': 0.7544808983802795, 'Y': 0.4482609033584595, 'Z': -0.0014871982857584953}, {'X': 0.7489420771598816, 'Y': 0.3313743770122528, 'Z': -0.006909011397510767}, {'X': 0.7457922101020813, 'Y': 0.25407737493515015, 'Z': -0.02869570441544056}, {'X': 0.7462977766990662, 'Y': 0.18523365259170532, 'Z': -0.048630908131599426}, {'X': 0.7931315898895264, 'Y': 0.45955032110214233, 'Z': -0.010196411982178688}, {'X': 0.7897243499755859, 'Y': 0.34618330001831055, 'Z': -0.01865539327263832}, {'X': 0.7859511971473694, 'Y': 0.2729088068008423, 'Z': -0.03943018615245819}, {'X': 0.7838518619537354, 'Y': 0.2081906497478485, 'Z': -0.05773909389972687}, {'X': 0.833482027053833, 'Y': 0.49049246311187744, 'Z': -0.021434979513287544}, {'X': 0.8340274095535278, 'Y': 0.39995917677879333, 'Z': -0.032679181545972824}, {'X': 0.8310554027557373, 'Y': 0.3438096344470978, 'Z': -0.04638545960187912}, {'X': 0.8271200060844421, 'Y': 0.29022037982940674, 'Z': -0.05965122953057289}]
[{'X': 0.7788755893707275, 'Y': 0.7116607427597046, 'Z': -4.7182773414533585e-05}, {'X': 0.7191699743270874, 'Y': 0.6796875, 'Z': -0.028029680252075195}, {'X': 0.6763407588005066, 'Y': 0.5867863893508911, 'Z': -0.03967184200882912}, {'X': 0.6546772718429565, 'Y': 0.5010936260223389, 'Z': -0.052143022418022156}, {'X': 0.6289567947387695, 'Y': 0.4430815577507019, 'Z': -0.06695060431957245}, {'X': 0.7168806791305542, 'Y': 0.45656245946884155, 'Z': 0.0030786297284066677}, {'X': 0.703746497631073, 'Y': 0.3513365089893341, 'Z': -0.010369199328124523}, {'X': 0.6978391408920288, 'Y': 0.28563863039016724, 'Z': -0.027299413457512856}, {'X': 0.6944103837013245, 'Y': 0.22343853116035461, 'Z': -0.04278888180851936}, {'X': 0.7567452192306519, 'Y': 0.44332775473594666, 'Z': 0.00013752427184954286}, {'X': 0.7519732117652893, 'Y': 0.32501959800720215, 'Z': -0.004827071912586689}, {'X': 0.7479197978973389, 'Y': 0.2477932721376419, 'Z': -0.027226334437727928}, {'X': 0.7480101585388184, 'Y': 0.1804123818874359, 'Z': -0.04665319249033928}, {'X': 0.7954360246658325, 'Y': 0.4539494514465332, 'Z': -0.008303702808916569}, {'X': 0.7940214276313782, 'Y': 0.3398698568344116, 'Z': -0.015995405614376068}, {'X': 0.7895224094390869, 'Y': 0.2662065625190735, 'Z': -0.03610747680068016}, {'X': 0.7865760326385498, 'Y': 0.2009851336479187, 'Z': -0.053126826882362366}, {'X': 0.8350002765655518, 'Y': 0.48483845591545105, 'Z': -0.019055945798754692}, {'X': 0.8368802666664124, 'Y': 0.3952568769454956, 'Z': -0.031733542680740356}, {'X': 0.8336797952651978, 'Y': 0.3386872708797455, 'Z': -0.0450553260743618}, {'X': 0.8286792635917664, 'Y': 0.2847697138786316, 'Z': -0.05716155841946602}]
[{'X': 0.7814036011695862, 'Y': 0.7127209305763245, 'Z': -4.1993062041001394e-05}, {'X': 0.7203717231750488, 'Y': 0.682924747467041, 'Z': -0.03135063871741295}, {'X': 0.6766433119773865, 'Y': 0.5901888012886047, 'Z': -0.045701589435338974}, {'X': 0.6540728211402893, 'Y': 0.5032203197479248, 'Z': -0.06165298447012901}, {'X': 0.6257784962654114, 'Y': 0.44319361448287964, 'Z': -0.07917275279760361}, {'X': 0.7175236344337463, 'Y': 0.45538589358329773, 'Z': -0.003655759384855628}, {'X': 0.7036794424057007, 'Y': 0.3489505648612976, 'Z': -0.01825908198952675}, {'X': 0.699279248714447, 'Y': 0.2842326760292053, 'Z': -0.03397468477487564}, {'X': 0.6981251239776611, 'Y': 0.2218012809753418, 'Z': -0.047535158693790436}, {'X': 0.7565079927444458, 'Y': 0.4412406384944916, 'Z': -0.005624508485198021}, {'X': 0.7502837777137756, 'Y': 0.32238757610321045, 'Z': -0.013713228516280651}, {'X': 0.7478531002998352, 'Y': 0.24490052461624146, 'Z': -0.03676343336701393}, {'X': 0.7492146492004395, 'Y': 0.1753450334072113, 'Z': -0.057997867465019226}, {'X': 0.7950499057769775, 'Y': 0.45245739817619324, 'Z': -0.013358572497963905}, {'X': 0.7914141416549683, 'Y': 0.33717548847198486, 'Z': -0.023915424942970276}, {'X': 0.7879270911216736, 'Y': 0.26278001070022583, 'Z': -0.04610471799969673}, {'X': 0.7861153483390808, 'Y': 0.19702589511871338, 'Z': -0.06563127040863037}, {'X': 0.8356701135635376, 'Y': 0.4829770624637604, 'Z': -0.024019809439778328}, {'X': 0.8359009623527527, 'Y': 0.3913733959197998, 'Z': -0.03705713152885437}, {'X': 0.8329992294311523, 'Y': 0.3349829316139221, 'Z': -0.05158011615276337}, {'X': 0.8290698528289795, 'Y': 0.2818170487880707, 'Z': -0.06571383774280548}]
[{'X': 0.7790148854255676, 'Y': 0.7269314527511597, 'Z': -4.7921857913024724e-05}, {'X': 0.7177139520645142, 'Y': 0.6945990920066833, 'Z': -0.02715918980538845}, {'X': 0.6741468906402588, 'Y': 0.6002278923988342, 'Z': -0.03903551027178764}, {'X': 0.6518182754516602, 'Y': 0.5124279260635376, 'Z': -0.05314641073346138}, {'X': 0.6236556768417358, 'Y': 0.4546014964580536, 'Z': -0.0686015784740448}, {'X': 0.7152258157730103, 'Y': 0.46659213304519653, 'Z': 0.005855015479028225}, {'X': 0.7011078596115112, 'Y': 0.3619500398635864, 'Z': -0.004770189058035612}, {'X': 0.6966089010238647, 'Y': 0.2978907525539398, 'Z': -0.018986981362104416}, {'X': 0.6951342821121216, 'Y': 0.2371450662612915, 'Z': -0.032151076942682266}, {'X': 0.7544247508049011, 'Y': 0.4523782730102539, 'Z': 0.0029350435361266136}, {'X': 0.747622549533844, 'Y': 0.33411380648612976, 'Z': -0.0024911868385970592}, {'X': 0.7449842691421509, 'Y': 0.25760358572006226, 'Z': -0.024891285225749016}, {'X': 0.7462605834007263, 'Y': 0.19058603048324585, 'Z': -0.04552605375647545}, {'X': 0.7928639650344849, 'Y': 0.463290274143219, 'Z': -0.005854432936757803}, {'X': 0.7883580327033997, 'Y': 0.34926795959472656, 'Z': -0.013721962459385395}, {'X': 0.7841436862945557, 'Y': 0.27641671895980835, 'Z': -0.03398417308926582}, {'X': 0.7818849682807922, 'Y': 0.21378889679908752, 'Z': -0.052479855716228485}, {'X': 0.8333463668823242, 'Y': 0.4931810200214386, 'Z': -0.017507916316390038}, {'X': 0.8314511775970459, 'Y': 0.4024966359138489, 'Z': -0.02869691699743271}, {'X': 0.8276976943016052, 'Y': 0.346599280834198, 'Z': -0.042631037533283234}, {'X': 0.8233476877212524, 'Y': 0.29452237486839294, 'Z': -0.056226182729005814}]
[{'X': 0.777936577796936, 'Y': 0.7303280234336853, 'Z': -6.111967377364635e-05}, {'X': 0.7166841626167297, 'Y': 0.6955229043960571, 'Z': -0.02381342276930809}, {'X': 0.6722402572631836, 'Y': 0.5977389812469482, 'Z': -0.03080488182604313}, {'X': 0.6519783139228821, 'Y': 0.5107227563858032, 'Z': -0.0395490936934948}, {'X': 0.6278271079063416, 'Y': 0.4509439170360565, 'Z': -0.04798400402069092}, {'X': 0.7140295505523682, 'Y': 0.4638044536113739, 'Z': 0.021560655906796455}, {'X': 0.7031840085983276, 'Y': 0.3656696081161499, 'Z': 0.012736527249217033}, {'X': 0.7007266283035278, 'Y': 0.30355703830718994, 'Z': -0.0025085126981139183}, {'X': 0.6998925805091858, 'Y': 0.24371862411499023, 'Z': -0.018232839182019234}, {'X': 0.7533648014068604, 'Y': 0.45163750648498535, 'Z': 0.019826291128993034}, {'X': 0.7496353387832642, 'Y': 0.3429103493690491, 'Z': 0.01719292812049389}, {'X': 0.7478320002555847, 'Y': 0.275409460067749, 'Z': -0.005500911734998226}, {'X': 0.7488378882408142, 'Y': 0.21604213118553162, 'Z': -0.02538580819964409}, {'X': 0.7912916541099548, 'Y': 0.4597910940647125, 'Z': 0.010999315418303013}, {'X': 0.7880695462226868, 'Y': 0.3537678122520447, 'Z': 0.006777418777346611}, {'X': 0.7839794754981995, 'Y': 0.28560882806777954, 'Z': -0.01213258970528841}, {'X': 0.7812632322311401, 'Y': 0.22465795278549194, 'Z': -0.02826002798974514}, {'X': 0.8309595584869385, 'Y': 0.48743289709091187, 'Z': 4.052807344123721e-05}, {'X': 0.8298330903053284, 'Y': 0.40209895372390747, 'Z': -0.00789650622755289}, {'X': 0.8259608149528503, 'Y': 0.34547245502471924, 'Z': -0.018755022436380386}, {'X': 0.8197031021118164, 'Y': 0.2916369140148163, 'Z': -0.029856152832508087}]
[{'X': 0.7794612646102905, 'Y': 0.7106907963752747, 'Z': -5.842281893819745e-07}, {'X': 0.7190485000610352, 'Y': 0.6938547492027283, 'Z': -0.008977976627647877}, {'X': 0.6785624623298645, 'Y': 0.5910385251045227, 'Z': -0.01003993395715952}, {'X': 0.6525737643241882, 'Y': 0.5073003768920898, 'Z': -0.01738032139837742}, {'X': 0.6295909881591797, 'Y': 0.45638930797576904, 'Z': -0.025862663984298706}, {'X': 0.7100741863250732, 'Y': 0.4703787863254547, 'Z': 0.03557884320616722}, {'X': 0.7013271450996399, 'Y': 0.36032068729400635, 'Z': 0.047853950411081314}, {'X': 0.6999574899673462, 'Y': 0.3023558259010315, 'Z': 0.047872357070446014}, {'X': 0.701167106628418, 'Y': 0.2526037096977234, 'Z': 0.042266905307769775}, {'X': 0.746617317199707, 'Y': 0.4633080065250397, 'Z': 0.022435801103711128}, {'X': 0.7430692315101624, 'Y': 0.3732382357120514, 'Z': -0.011365960352122784}, {'X': 0.7360844612121582, 'Y': 0.4200233519077301, 'Z': -0.044514983892440796}, {'X': 0.7304061651229858, 'Y': 0.46252018213272095, 'Z': -0.047598447650671005}, {'X': 0.783801794052124, 'Y': 0.46332621574401855, 'Z': 0.008060253225266933}, {'X': 0.7908836603164673, 'Y': 0.3565673530101776, 'Z': -0.004517493769526482}, {'X': 0.7861509919166565, 'Y': 0.29406052827835083, 'Z': -0.02607041224837303}, {'X': 0.7804584503173828, 'Y': 0.22848613560199738, 'Z': -0.037351518869400024}, {'X': 0.8214143514633179, 'Y': 0.47765859961509705, 'Z': -0.008939624764025211}, {'X': 0.8204494714736938, 'Y': 0.39140206575393677, 'Z': -0.02008255571126938}, {'X': 0.815015435218811, 'Y': 0.33759135007858276, 'Z': -0.03378583490848541}, {'X': 0.8069219589233398, 'Y': 0.2832966446876526, 'Z': -0.04159043729305267}]
[{'X': 0.7776274085044861, 'Y': 0.705655038356781, 'Z': -4.1465020331088454e-05}, {'X': 0.7233747243881226, 'Y': 0.6865580081939697, 'Z': -0.004712691064924002}, {'X': 0.6832517385482788, 'Y': 0.5871829986572266, 'Z': 0.005191178526729345}, {'X': 0.658530592918396, 'Y': 0.5078839659690857, 'Z': 0.009548835456371307}, {'X': 0.6315885782241821, 'Y': 0.46584752202033997, 'Z': 0.01171966828405857}, {'X': 0.712292492389679, 'Y': 0.4873105585575104, 'Z': 0.04577784985303879}, {'X': 0.705049991607666, 'Y': 0.3875204920768738, 'Z': 0.05314056947827339}, {'X': 0.7037040591239929, 'Y': 0.32469436526298523, 'Z': 0.04947500675916672}, {'X': 0.7034156918525696, 'Y': 0.2684630751609802, 'Z': 0.04007486253976822}, {'X': 0.7449994087219238, 'Y': 0.47955313324928284, 'Z': 0.03599654510617256}, {'X': 0.7330776453018188, 'Y': 0.41432738304138184, 'Z': -0.013397949747741222}, {'X': 0.7293356657028198, 'Y': 0.4949887692928314, 'Z': -0.03701980784535408}, {'X': 0.7286143898963928, 'Y': 0.5578855276107788, 'Z': -0.028546607121825218}, {'X': 0.7790602445602417, 'Y': 0.47719961404800415, 'Z': 0.02180878445506096}, {'X': 0.7785746455192566, 'Y': 0.3837881088256836, 'Z': 0.00630367873236537}, {'X': 0.7687920928001404, 'Y': 0.3460904359817505, 'Z': -0.007167945150285959}, {'X': 0.7587588429450989, 'Y': 0.2986406683921814, 'Z': -0.012253412976861}, {'X': 0.8161682486534119, 'Y': 0.48652610182762146, 'Z': 0.005743625108152628}, {'X': 0.8142247200012207, 'Y': 0.40068772435188293, 'Z': 0.0012617498869076371}, {'X': 0.8095173239707947, 'Y': 0.34963569045066833, 'Z': -0.0078219473361969}, {'X': 0.8031972050666809, 'Y': 0.2942360043525696, 'Z': -0.015984106808900833}]
[{'X': 0.7749825716018677, 'Y': 0.7089138031005859, 'Z': -7.652266504010186e-05}, {'X': 0.722865641117096, 'Y': 0.6786069869995117, 'Z': -0.00762140192091465}, {'X': 0.6830969452857971, 'Y': 0.5765154361724854, 'Z': 0.0012685348046943545}, {'X': 0.6620332598686218, 'Y': 0.4996439814567566, 'Z': 0.0033802641555666924}, {'X': 0.6355401277542114, 'Y': 0.4592595398426056, 'Z': 0.0017364639788866043}, {'X': 0.7143240571022034, 'Y': 0.4834233224391937, 'Z': 0.04889791086316109}, {'X': 0.7104171514511108, 'Y': 0.38256657123565674, 'Z': 0.05310802906751633}, {'X': 0.7111276984214783, 'Y': 0.3176179528236389, 'Z': 0.050847623497247696}, {'X': 0.7100847959518433, 'Y': 0.26442617177963257, 'Z': 0.04037728160619736}, {'X': 0.7481785416603088, 'Y': 0.4794881343841553, 'Z': 0.03872426599264145}, {'X': 0.7367554903030396, 'Y': 0.4334203600883484, 'Z': -0.016662269830703735}, {'X': 0.7375051379203796, 'Y': 0.5205150246620178, 'Z': -0.029775163158774376}, {'X': 0.7355872988700867, 'Y': 0.5866246223449707, 'Z': -0.014272407628595829}, {'X': 0.7809889912605286, 'Y': 0.4800976812839508, 'Z': 0.022090114653110504}, {'X': 0.7733922004699707, 'Y': 0.39205020666122437, 'Z': 0.0034378133714199066}, {'X': 0.7665705680847168, 'Y': 0.35774242877960205, 'Z': -0.005717885214835405}, {'X': 0.7565383911132812, 'Y': 0.3195078372955322, 'Z': -0.010839405469596386}, {'X': 0.8158536553382874, 'Y': 0.4873616099357605, 'Z': 0.002439395757392049}, {'X': 0.814888596534729, 'Y': 0.4010128378868103, 'Z': -0.0031685803551226854}, {'X': 0.812401533126831, 'Y': 0.3527613878250122, 'Z': -0.014944668859243393}, {'X': 0.8070930242538452, 'Y': 0.30461955070495605, 'Z': -0.028204569593071938}]
[{'X': 0.7796191573143005, 'Y': 0.725251317024231, 'Z': -6.90343658789061e-05}, {'X': 0.7267411947250366, 'Y': 0.6924346089363098, 'Z': -0.006039436906576157}, {'X': 0.6871523857116699, 'Y': 0.5870093107223511, 'Z': 0.002168295904994011}, {'X': 0.663235068321228, 'Y': 0.5059807896614075, 'Z': 0.004585267975926399}, {'X': 0.6338603496551514, 'Y': 0.45966413617134094, 'Z': 0.004359559156000614}, {'X': 0.7183693647384644, 'Y': 0.48738521337509155, 'Z': 0.051153820008039474}, {'X': 0.7132112979888916, 'Y': 0.3866390883922577, 'Z': 0.06084184721112251}, {'X': 0.7131814360618591, 'Y': 0.3208271265029907, 'Z': 0.06270521879196167}, {'X': 0.7121442556381226, 'Y': 0.26622217893600464, 'Z': 0.0556156150996685}, {'X': 0.752718448638916, 'Y': 0.4836027920246124, 'Z': 0.04029478132724762}, {'X': 0.7414647340774536, 'Y': 0.4341057538986206, 'Z': -0.015090770088136196}, {'X': 0.7367791533470154, 'Y': 0.525967001914978, 'Z': -0.02971198782324791}, {'X': 0.7318689823150635, 'Y': 0.5944516062736511, 'Z': -0.014880874194204807}, {'X': 0.786257266998291, 'Y': 0.4827178716659546, 'Z': 0.023639015853405}, {'X': 0.7819193601608276, 'Y': 0.3945412039756775, 'Z': 0.007141916546970606}, {'X': 0.770476222038269, 'Y': 0.3642505705356598, 'Z': -0.0006962644984014332}, {'X': 0.7574734687805176, 'Y': 0.3285665214061737, 'Z': -0.003770385170355439}, {'X': 0.8207655549049377, 'Y': 0.4905138611793518, 'Z': 0.004265130963176489}, {'X': 0.8208776116371155, 'Y': 0.40480273962020874, 'Z': 0.0024466300383210182}, {'X': 0.8169348835945129, 'Y': 0.35574179887771606, 'Z': -0.004819710273295641}, {'X': 0.8103488683700562, 'Y': 0.30707693099975586, 'Z': -0.014725490473210812}]
[{'X': 0.7845667004585266, 'Y': 0.7376807928085327, 'Z': -7.538506906712428e-05}, {'X': 0.7320454716682434, 'Y': 0.697794497013092, 'Z': -0.006067295093089342}, {'X': 0.6899257898330688, 'Y': 0.5903765559196472, 'Z': 0.004856735933572054}, {'X': 0.6648695468902588, 'Y': 0.5089792609214783, 'Z': 0.008042510598897934}, {'X': 0.6347679495811462, 'Y': 0.46838030219078064, 'Z': 0.007403629366308451}, {'X': 0.7181316018104553, 'Y': 0.4880898594856262, 'Z': 0.057987384498119354}, {'X': 0.7119089365005493, 'Y': 0.3837534785270691, 'Z': 0.06573569774627686}, {'X': 0.7130028009414673, 'Y': 0.3162795603275299, 'Z': 0.06950416415929794}, {'X': 0.7119898796081543, 'Y': 0.2612279951572418, 'Z': 0.06613530963659286}, {'X': 0.752347469329834, 'Y': 0.4829525053501129, 'Z': 0.04764411225914955}, {'X': 0.7384520173072815, 'Y': 0.4265887141227722, 'Z': -0.011506495997309685}, {'X': 0.7390820980072021, 'Y': 0.5173894762992859, 'Z': -0.026888392865657806}, {'X': 0.7390100955963135, 'Y': 0.5896898508071899, 'Z': -0.008514270186424255}, {'X': 0.7856946587562561, 'Y': 0.4830375909805298, 'Z': 0.030763844028115273}, {'X': 0.7776098847389221, 'Y': 0.3881088197231293, 'Z': 0.01036299392580986}, {'X': 0.7688948512077332, 'Y': 0.35730910301208496, 'Z': -0.0001081830050679855}, {'X': 0.7579362392425537, 'Y': 0.3252565860748291, 'Z': -0.0035493781324476004}, {'X': 0.820941150188446, 'Y': 0.4908294081687927, 'Z': 0.01116213295608759}, {'X': 0.8191453814506531, 'Y': 0.4023866057395935, 'Z': 0.0058846003375947475}, {'X': 0.8161811828613281, 'Y': 0.3511674404144287, 'Z': -0.00670425221323967}, {'X': 0.8107143044471741, 'Y': 0.30027830600738525, 'Z': -0.018143989145755768}]
[{'X': 0.780887246131897, 'Y': 0.7110716700553894, 'Z': -6.346618192765163e-06}, {'X': 0.7181537747383118, 'Y': 0.6867079734802246, 'Z': -0.0005526310997083783}, {'X': 0.6780831813812256, 'Y': 0.5885147452354431, 'Z': 0.010983981192111969}, {'X': 0.6514787077903748, 'Y': 0.5109285712242126, 'Z': 0.012387767434120178}, {'X': 0.6253542900085449, 'Y': 0.47144320607185364, 'Z': 0.00889501255005598}, {'X': 0.7139521837234497, 'Y': 0.4813038408756256, 'Z': 0.06371121853590012}, {'X': 0.7055186629295349, 'Y': 0.3776203393936157, 'Z': 0.06792430579662323}, {'X': 0.7025122046470642, 'Y': 0.3111063838005066, 'Z': 0.05804430693387985}, {'X': 0.7016867995262146, 'Y': 0.25249823927879333, 'Z': 0.05008044093847275}, {'X': 0.748322069644928, 'Y': 0.47772058844566345, 'Z': 0.05060691013932228}, {'X': 0.7410867810249329, 'Y': 0.39281949400901794, 'Z': 0.01153801940381527}, {'X': 0.7334352731704712, 'Y': 0.4459088146686554, 'Z': -0.026457684114575386}, {'X': 0.7285677790641785, 'Y': 0.49435868859291077, 'Z': -0.027915552258491516}, {'X': 0.7850635051727295, 'Y': 0.47555050253868103, 'Z': 0.0351436510682106}, {'X': 0.7909667491912842, 'Y': 0.3796064555644989, 'Z': 0.016789846122264862}, {'X': 0.7819812297821045, 'Y': 0.33460643887519836, 'Z': -0.009683390147984028}, {'X': 0.7723594903945923, 'Y': 0.2846108078956604, 'Z': -0.018041834235191345}, {'X': 0.8236857652664185, 'Y': 0.48744744062423706, 'Z': 0.018904993310570717}, {'X': 0.8210135698318481, 'Y': 0.4068833887577057, 'Z': 0.014334697276353836}, {'X': 0.8171855211257935, 'Y': 0.3500904440879822, 'Z': 0.006308598443865776}, {'X': 0.8105921745300293, 'Y': 0.2923564910888672, 'Z': 0.004924552980810404}]
