[{'X': 0.7859713435173035, 'Y': 0.7139060497283936, 'Z': -3.6400233511812985e-05}, {'X': 0.727863073348999, 'Y': 0.6954805850982666, 'Z': -0.019331293180584908}, {'X': 0.681565523147583, 'Y': 0.6081562042236328, 'Z': -0.02139892242848873}, {'X': 0.6551068425178528, 'Y': 0.5279108285903931, 'Z': -0.02732665464282036}, {'X': 0.6259543299674988, 'Y': 0.48477980494499207, 'Z': -0.035942193120718}, {'X': 0.7144064903259277, 'Y': 0.48490965366363525, 'Z': 0.016095425933599472}, {'X': 0.698177695274353, 'Y': 0.38451939821243286, 'Z': 0.007578779477626085}, {'X': 0.6901938319206238, 'Y': 0.3228466510772705, 'Z': -0.006001799367368221}, {'X': 0.6857050061225891, 'Y': 0.2645105719566345, 'Z': -0.019304463639855385}, {'X': 0.7508829832077026, 'Y': 0.46411463618278503, 'Z': 0.009748857468366623}, {'X': 0.7382921576499939, 'Y': 0.3486250042915344, 'Z': 0.009184698574244976}, {'X': 0.7286722660064697, 'Y': 0.27322065830230713, 'Z': -0.013793010264635086}, {'X': 0.7239154577255249, 'Y': 0.20507702231407166, 'Z': -0.032781604677438736}, {'X': 0.7894390225410461, 'Y': 0.4675941467285156, 'Z': -0.0008213109686039388}, {'X': 0.7822220325469971, 'Y': 0.3524170219898224, 'Z': -0.007466313894838095}, {'X': 0.7749065160751343, 'Y': 0.2793014645576477, 'Z': -0.030234405770897865}, {'X': 0.769881546497345, 'Y': 0.21355190873146057, 'Z': -0.04869072511792183}, {'X': 0.8308058381080627, 'Y': 0.492335706949234, 'Z': -0.01324071642011404}, {'X': 0.8317341804504395, 'Y': 0.40061017870903015, 'Z': -0.02696121856570244}, {'X': 0.8292204141616821, 'Y': 0.3430255651473999, 'Z': -0.041569627821445465}, {'X': 0.8255335092544556, 'Y': 0.28802764415740967, 'Z': -0.05376841500401497}]
[{'X': 0.7891784310340881, 'Y': 0.7068907022476196, 'Z': -4.1288705688202754e-05}, {'X': 0.7291532754898071, 'Y': 0.6885166764259338, 'Z': -0.014449913054704666}, {'X': 0.6820412874221802, 'Y': 0.6017087697982788, 'Z': -0.013512677513062954}, {'X': 0.6548922657966614, 'Y': 0.5219019651412964, 'Z': -0.017562301829457283}, {'X': 0.6265636682510376, 'Y': 0.47802722454071045, 'Z': -0.023961983621120453}, {'X': 0.7154290676116943, 'Y': 0.47490957379341125, 'Z': 0.02340141497552395}, {'X': 0.6977236866950989, 'Y': 0.3732315003871918, 'Z': 0.018487252295017242}, {'X': 0.6900756359100342, 'Y': 0.3103463649749756, 'Z': 0.008402330800890923}, {'X': 0.6861168146133423, 'Y': 0.25280827283859253, 'Z': -0.0024913169909268618}, {'X': 0.7521300315856934, 'Y': 0.4541081190109253, 'Z': 0.014531003311276436}, {'X': 0.7398018836975098, 'Y': 0.33665573596954346, 'Z': 0.01508477982133627}, {'X': 0.7317892909049988, 'Y': 0.2598455548286438, 'Z': -0.008489565923810005}, {'X': 0.7280433773994446, 'Y': 0.19253230094909668, 'Z': -0.030134540051221848}, {'X': 0.791294276714325, 'Y': 0.4591296315193176, 'Z': 0.0011206928174942732}, {'X': 0.7821924090385437, 'Y': 0.34478461742401123, 'Z': -0.003253961680456996}, {'X': 0.7748437523841858, 'Y': 0.27300935983657837, 'Z': -0.02489173784852028}, {'X': 0.7694862484931946, 'Y': 0.20994096994400024, 'Z': -0.044148437678813934}, {'X': 0.8336396217346191, 'Y': 0.4838803708553314, 'Z': -0.014226139523088932}, {'X': 0.8343058824539185, 'Y': 0.39258694648742676, 'Z': -0.02678672969341278}, {'X': 0.831100583076477, 'Y': 0.3352075517177582, 'Z': -0.04116199165582657}, {'X': 0.826790988445282, 'Y': 0.28144556283950806, 'Z': -0.05473800003528595}]
[{'X': 0.7907134294509888, 'Y': 0.7172597050666809, 'Z': -3.387236938579008e-05}, {'X': 0.7312501668930054, 'Y': 0.6960328817367554, 'Z': -0.01629594713449478}, {'X': 0.6834668517112732, 'Y': 0.6070007085800171, 'Z': -0.017383689060807228}, {'X': 0.6560202240943909, 'Y': 0.5254544615745544, 'Z': -0.02259833551943302}, {'X': 0.6269744038581848, 'Y': 0.4810296595096588, 'Z': -0.028992334380745888}, {'X': 0.7163119912147522, 'Y': 0.4765882194042206, 'Z': 0.016858812421560287}, {'X': 0.6991413831710815, 'Y': 0.37318870425224304, 'Z': 0.011235370300710201}, {'X': 0.6922582387924194, 'Y': 0.309461772441864, 'Z': 0.000576576276216656}, {'X': 0.6885844469070435, 'Y': 0.2509651184082031, 'Z': -0.011335481889545918}, {'X': 0.7530416250228882, 'Y': 0.45548728108406067, 'Z': 0.010136039927601814}, {'X': 0.7401113510131836, 'Y': 0.33702418208122253, 'Z': 0.00996963307261467}, {'X': 0.7321075797080994, 'Y': 0.2604718804359436, 'Z': -0.012614610604941845}, {'X': 0.7283188104629517, 'Y': 0.19305825233459473, 'Z': -0.03446178510785103}, {'X': 0.7916900515556335, 'Y': 0.4601784944534302, 'Z': -0.0008562603616155684}, {'X': 0.7824312448501587, 'Y': 0.34446799755096436, 'Z': -0.0052363877184689045}, {'X': 0.7749590277671814, 'Y': 0.27290067076683044, 'Z': -0.02572277933359146}, {'X': 0.7695430517196655, 'Y': 0.2104189097881317, 'Z': -0.044375818222761154}, {'X': 0.8336102366447449, 'Y': 0.4850102663040161, 'Z': -0.01357842143625021}, {'X': 0.8336541652679443, 'Y': 0.39306288957595825, 'Z': -0.02403491921722889}, {'X': 0.8311475515365601, 'Y': 0.33612388372421265, 'Z': -0.037102241069078445}, {'X': 0.8276184797286987, 'Y': 0.28271108865737915, 'Z': -0.05018803849816322}]
[{'X': 0.7855305075645447, 'Y': 0.7157964706420898, 'Z': -2.985330138471909e-05}, {'X': 0.7268500328063965, 'Y': 0.6966204047203064, 'Z': -0.016992663964629173}, {'X': 0.6803410649299622, 'Y': 0.609062910079956, 'Z': -0.01742717996239662}, {'X': 0.6533437371253967, 'Y': 0.5301796793937683, 'Z': -0.021506715565919876}, {'X': 0.6245874166488647, 'Y': 0.4887363910675049, 'Z': -0.02763677015900612}, {'X': 0.7147862911224365, 'Y': 0.4856468141078949, 'Z': 0.016590803861618042}, {'X': 0.6982151865959167, 'Y': 0.3833503723144531, 'Z': 0.00782201997935772}, {'X': 0.6903266310691833, 'Y': 0.3210253119468689, 'Z': -0.005202962085604668}, {'X': 0.6859094500541687, 'Y': 0.2623823881149292, 'Z': -0.018520312383770943}, {'X': 0.7509115934371948, 'Y': 0.4652760922908783, 'Z': 0.009147011674940586}, {'X': 0.7385796308517456, 'Y': 0.3482985496520996, 'Z': 0.00674101710319519}, {'X': 0.7297458648681641, 'Y': 0.2720978260040283, 'Z': -0.01706840842962265}, {'X': 0.7260650396347046, 'Y': 0.20367678999900818, 'Z': -0.03723420202732086}, {'X': 0.7892375588417053, 'Y': 0.4697687029838562, 'Z': -0.0024410674814134836}, {'X': 0.7811480760574341, 'Y': 0.35456931591033936, 'Z': -0.00980543252080679}, {'X': 0.773614227771759, 'Y': 0.28162646293640137, 'Z': -0.03312264755368233}, {'X': 0.7687755823135376, 'Y': 0.216594398021698, 'Z': -0.05269705131649971}, {'X': 0.8307651877403259, 'Y': 0.4948648512363434, 'Z': -0.01568436622619629}, {'X': 0.8314969539642334, 'Y': 0.4027096629142761, 'Z': -0.029610244557261467}, {'X': 0.8286938667297363, 'Y': 0.34446099400520325, 'Z': -0.04562784731388092}, {'X': 0.8249234557151794, 'Y': 0.28946012258529663, 'Z': -0.05927759036421776}]
[{'X': 0.7869184613227844, 'Y': 0.7218235731124878, 'Z': -5.761834836448543e-05}, {'X': 0.726871132850647, 'Y': 0.7003695964813232, 'Z': -0.011457898654043674}, {'X': 0.6794759035110474, 'Y': 0.6119489073753357, 'Z': -0.00958598218858242}, {'X': 0.6522818207740784, 'Y': 0.5326171517372131, 'Z': -0.012957110069692135}, {'X': 0.6240306496620178, 'Y': 0.4901580512523651, 'Z': -0.01849585585296154}, {'X': 0.7132057547569275, 'Y': 0.4845888614654541, 'Z': 0.026901209726929665}, {'X': 0.6960060000419617, 'Y': 0.385247141122818, 'Z': 0.024482112377882004}, {'X': 0.6891878843307495, 'Y': 0.3236212134361267, 'Z': 0.01469166949391365}, {'X': 0.6851850748062134, 'Y': 0.26692259311676025, 'Z': 0.003865254344418645}, {'X': 0.74994957447052, 'Y': 0.4643828272819519, 'Z': 0.019417941570281982}, {'X': 0.7384623885154724, 'Y': 0.3484078049659729, 'Z': 0.023057851940393448}, {'X': 0.7313606142997742, 'Y': 0.27214038372039795, 'Z': 0.0018928893841803074}, {'X': 0.7284269332885742, 'Y': 0.20521825551986694, 'Z': -0.01907920464873314}, {'X': 0.7886437177658081, 'Y': 0.46916231513023376, 'Z': 0.007563387043774128}, {'X': 0.7795495986938477, 'Y': 0.3568856120109558, 'Z': 0.006184653844684362}, {'X': 0.772135853767395, 'Y': 0.2871703803539276, 'Z': -0.012323097325861454}, {'X': 0.7673162221908569, 'Y': 0.22634252905845642, 'Z': -0.029388464987277985}, {'X': 0.8301717042922974, 'Y': 0.4929553270339966, 'Z': -0.006424764171242714}, {'X': 0.8296973705291748, 'Y': 0.4023129940032959, 'Z': -0.014044111594557762}, {'X': 0.827372133731842, 'Y': 0.34667864441871643, 'Z': -0.025503642857074738}, {'X': 0.8244366645812988, 'Y': 0.2954331636428833, 'Z': -0.037108782678842545}]
[{'X': 0.7869913578033447, 'Y': 0.7194960117340088, 'Z': -3.583122088457458e-05}, {'X': 0.7286658883094788, 'Y': 0.6960387229919434, 'Z': -0.013854525052011013}, {'X': 0.6827149987220764, 'Y': 0.6066062450408936, 'Z': -0.014274870045483112}, {'X': 0.656936526298523, 'Y': 0.5269182920455933, 'Z': -0.018445024266839027}, {'X': 0.6290708780288696, 'Y': 0.4846953749656677, 'Z': -0.022803759202361107}, {'X': 0.7153584957122803, 'Y': 0.4799342453479767, 'Z': 0.02033974416553974}, {'X': 0.6983025074005127, 'Y': 0.38096731901168823, 'Z': 0.012984748929738998}, {'X': 0.6920146942138672, 'Y': 0.3201271891593933, 'Z': 0.0020790949929505587}, {'X': 0.688811719417572, 'Y': 0.2619628310203552, 'Z': -0.01013514120131731}, {'X': 0.7521216869354248, 'Y': 0.45954981446266174, 'Z': 0.01265445351600647}, {'X': 0.7410997152328491, 'Y': 0.34505966305732727, 'Z': 0.011393950320780277}, {'X': 0.7343913912773132, 'Y': 0.270803302526474, 'Z': -0.010086867958307266}, {'X': 0.7327058911323547, 'Y': 0.20496642589569092, 'Z': -0.0296943299472332}, {'X': 0.7908737063407898, 'Y': 0.4628821909427643, 'Z': 0.0009550368413329124}, {'X': 0.7820601463317871, 'Y': 0.3489299416542053, 'Z': -0.0046255989000201225}, {'X': 0.7746645212173462, 'Y': 0.27794575691223145, 'Z': -0.02522958815097809}, {'X': 0.7702942490577698, 'Y': 0.21495604515075684, 'Z': -0.042888421565294266}, {'X': 0.8330782651901245, 'Y': 0.4865657389163971, 'Z': -0.012299422174692154}, {'X': 0.8327633142471313, 'Y': 0.39518022537231445, 'Z': -0.023219266906380653}, {'X': 0.8293849229812622, 'Y': 0.3379089832305908, 'Z': -0.03691709041595459}, {'X': 0.8258594274520874, 'Y': 0.28400689363479614, 'Z': -0.049452044069767}]
[{'X': 0.7895726561546326, 'Y': 0.7187589406967163, 'Z': 2.005928399739787e-05}, {'X': 0.730051577091217, 'Y': 0.7071880102157593, 'Z': -0.012673143297433853}, {'X': 0.685253918170929, 'Y': 0.6063495874404907, 'Z': -0.01229541003704071}, {'X': 0.6529946327209473, 'Y': 0.5230167508125305, 'Z': -0.01670008711516857}, {'X': 0.6258547902107239, 'Y': 0.47775885462760925, 'Z': -0.021917326375842094}, {'X': 0.7127651572227478, 'Y': 0.4762096107006073, 'Z': 0.038287125527858734}, {'X': 0.6987447142601013, 'Y': 0.37469249963760376, 'Z': 0.049840040504932404}, {'X': 0.6945133209228516, 'Y': 0.3164280354976654, 'Z': 0.05118895694613457}, {'X': 0.692578911781311, 'Y': 0.26604875922203064, 'Z': 0.04636508971452713}, {'X': 0.7490139007568359, 'Y': 0.4622555375099182, 'Z': 0.028458941727876663}, {'X': 0.7416988611221313, 'Y': 0.3667173683643341, 'Z': -0.006225707940757275}, {'X': 0.7403504252433777, 'Y': 0.41445615887641907, 'Z': -0.0458182729780674}, {'X': 0.7394003868103027, 'Y': 0.46400877833366394, 'Z': -0.05037939175963402}, {'X': 0.787049412727356, 'Y': 0.45938578248023987, 'Z': 0.017062686383724213}, {'X': 0.7887028455734253, 'Y': 0.35489457845687866, 'Z': 0.004318482242524624}, {'X': 0.7811285853385925, 'Y': 0.2993898391723633, 'Z': -0.021872928366065025}, {'X': 0.7712910771369934, 'Y': 0.24515727162361145, 'Z': -0.03431003540754318}, {'X': 0.8255953192710876, 'Y': 0.47252410650253296, 'Z': 0.0031787813641130924}, {'X': 0.8277958035469055, 'Y': 0.3907051682472229, 'Z': -0.005892681423574686}, {'X': 0.8257972002029419, 'Y': 0.336365669965744, 'Z': -0.01879710704088211}, {'X': 0.8204467296600342, 'Y': 0.2838393449783325, 'Z': -0.024181043729186058}]
[{'X': 0.785720944404602, 'Y': 0.7320899963378906, 'Z': -4.254461236996576e-05}, {'X': 0.7304869890213013, 'Y': 0.7128855586051941, 'Z': -0.003069710684940219}, {'X': 0.6892315745353699, 'Y': 0.6129823327064514, 'Z': 0.0008811697480268776}, {'X': 0.6592005491256714, 'Y': 0.5334877371788025, 'Z': -0.002338164485991001}, {'X': 0.63051438331604, 'Y': 0.49322572350502014, 'Z': -0.013117075897753239}, {'X': 0.7124556303024292, 'Y': 0.5083042979240417, 'Z': 0.0457276776432991}, {'X': 0.7037990093231201, 'Y': 0.41204094886779785, 'Z': 0.05630095675587654}, {'X': 0.6985037326812744, 'Y': 0.34246280789375305, 'Z': 0.05415989086031914}, {'X': 0.6934880018234253, 'Y': 0.28095564246177673, 'Z': 0.04200216755270958}, {'X': 0.7448853850364685, 'Y': 0.4953697919845581, 'Z': 0.031591981649398804}, {'X': 0.7317412495613098, 'Y': 0.4212399125099182, 'Z': -0.008334549143910408}, {'X': 0.7265028953552246, 'Y': 0.49454009532928467, 'Z': -0.042482890188694}, {'X': 0.7277136445045471, 'Y': 0.5535565614700317, 'Z': -0.04393981397151947}, {'X': 0.7798847556114197, 'Y': 0.4858287572860718, 'Z': 0.016480986028909683}, {'X': 0.7779623866081238, 'Y': 0.3883875012397766, 'Z': 0.006130347494035959}, {'X': 0.7661251425743103, 'Y': 0.36197853088378906, 'Z': -0.008929342031478882}, {'X': 0.7555524706840515, 'Y': 0.32662534713745117, 'Z': -0.013241315260529518}, {'X': 0.8185307383537292, 'Y': 0.4913780689239502, 'Z': -0.0019684412982314825}, {'X': 0.8157235383987427, 'Y': 0.4046022593975067, 'Z': -0.007178485859185457}, {'X': 0.8112052083015442, 'Y': 0.35121721029281616, 'Z': -0.018403617665171623}, {'X': 0.8055200576782227, 'Y': 0.2969854176044464, 'Z': -0.02467242255806923}]
[{'X': 0.7888383865356445, 'Y': 0.731518566608429, 'Z': -3.734036363312043e-05}, {'X': 0.739079475402832, 'Y': 0.7095537781715393, 'Z': -0.01438877359032631}, {'X': 0.6926004886627197, 'Y': 0.6087060570716858, 'Z': -0.010907451622188091}, {'X': 0.6652485728263855, 'Y': 0.5322039127349854, 'Z': -0.012613512575626373}, {'X': 0.6376771926879883, 'Y': 0.48414382338523865, 'Z': -0.01545019168406725}, {'X': 0.715308666229248, 'Y': 0.4991965889930725, 'Z': 0.03892438858747482}, {'X': 0.7067391872406006, 'Y': 0.40469932556152344, 'Z': 0.04446200653910637}, {'X': 0.7038850784301758, 'Y': 0.3386021852493286, 'Z': 0.04587044194340706}, {'X': 0.6998516321182251, 'Y': 0.27752870321273804, 'Z': 0.035333309322595596}, {'X': 0.7483933568000793, 'Y': 0.49026626348495483, 'Z': 0.031140489503741264}, {'X': 0.7362895607948303, 'Y': 0.43185651302337646, 'Z': -0.030415993183851242}, {'X': 0.7331367135047913, 'Y': 0.519233763217926, 'Z': -0.057816531509160995}, {'X': 0.7333183288574219, 'Y': 0.5813869833946228, 'Z': -0.05071527510881424}, {'X': 0.7820112109184265, 'Y': 0.48367321491241455, 'Z': 0.0183931402862072}, {'X': 0.7789862751960754, 'Y': 0.3938753604888916, 'Z': 0.0004086639091838151}, {'X': 0.7633864283561707, 'Y': 0.37340396642684937, 'Z': -0.009172954596579075}, {'X': 0.7485021352767944, 'Y': 0.3432278037071228, 'Z': -0.00940206740051508}, {'X': 0.818942666053772, 'Y': 0.4866877496242523, 'Z': 0.0010141205275431275}, {'X': 0.8179815411567688, 'Y': 0.3995734751224518, 'Z': -0.0034266950096935034}, {'X': 0.8148757815361023, 'Y': 0.35006749629974365, 'Z': -0.010971155017614365}, {'X': 0.8094705939292908, 'Y': 0.2974839210510254, 'Z': -0.014310096390545368}]
[{'X': 0.783696711063385, 'Y': 0.7181268334388733, 'Z': -9.437860171601642e-06}, {'X': 0.7253202795982361, 'Y': 0.7053866386413574, 'Z': -0.006034151650965214}, {'X': 0.681120753288269, 'Y': 0.6107152104377747, 'Z': 0.0016114985337480903}, {'X': 0.6491100192070007, 'Y': 0.533161461353302, 'Z': 0.001921112067066133}, {'X': 0.6195530295372009, 'Y': 0.49781402945518494, 'Z': 0.0027337900828570127}, {'X': 0.7104400396347046, 'Y': 0.4889509379863739, 'Z': 0.054734278470277786}, {'X': 0.6989232301712036, 'Y': 0.38677316904067993, 'Z': 0.060758452862501144}, {'X': 0.6946200132369995, 'Y': 0.32246583700180054, 'Z': 0.05511024221777916}, {'X': 0.6927995085716248, 'Y': 0.2689764201641083, 'Z': 0.04625839367508888}, {'X': 0.7448928952217102, 'Y': 0.47412604093551636, 'Z': 0.04244672879576683}, {'X': 0.732952356338501, 'Y': 0.3935970067977905, 'Z': -0.0026224651373922825}, {'X': 0.7281224727630615, 'Y': 0.4622918963432312, 'Z': -0.03746320679783821}, {'X': 0.7254541516304016, 'Y': 0.5197306871414185, 'Z': -0.03423250466585159}, {'X': 0.7825945615768433, 'Y': 0.46749046444892883, 'Z': 0.027351627126336098}, {'X': 0.7833883762359619, 'Y': 0.3698211908340454, 'Z': 0.012343603186309338}, {'X': 0.7716216444969177, 'Y': 0.34228482842445374, 'Z': -0.009426957927644253}, {'X': 0.758061408996582, 'Y': 0.30871784687042236, 'Z': -0.01830255798995495}, {'X': 0.8217671513557434, 'Y': 0.4778536260128021, 'Z': 0.010142029263079166}, {'X': 0.8226138949394226, 'Y': 0.39418911933898926, 'Z': 0.0078214630484581}, {'X': 0.8209536075592041, 'Y': 0.3421567380428314, 'Z': -0.001294046058319509}, {'X': 0.8151105046272278, 'Y': 0.28964927792549133, 'Z': -0.006063567008823156}]
[{'X': 0.7860928773880005, 'Y': 0.7399570941925049, 'Z': -6.279687659116462e-05}, {'X': 0.7263681292533875, 'Y': 0.7122081518173218, 'Z': -0.016854150220751762}, {'X': 0.6766964793205261, 'Y': 0.6206967830657959, 'Z': -0.01692115142941475}, {'X': 0.6472493410110474, 'Y': 0.5407080054283142, 'Z': -0.018757391721010208}, {'X': 0.6159222722053528, 'Y': 0.49995285272598267, 'Z': -0.021152008324861526}, {'X': 0.7094075083732605, 'Y': 0.4864674508571625, 'Z': 0.019504869356751442}, {'X': 0.6936219930648804, 'Y': 0.3911858797073364, 'Z': 0.01379579771310091}, {'X': 0.686717689037323, 'Y': 0.3325924873352051, 'Z': 0.001463519292883575}, {'X': 0.6833073496818542, 'Y': 0.275484561920166, 'Z': -0.011167196556925774}, {'X': 0.7470791339874268, 'Y': 0.4663819372653961, 'Z': 0.015382814221084118}, {'X': 0.7366337776184082, 'Y': 0.36636707186698914, 'Z': 0.014020450413227081}, {'X': 0.7297915816307068, 'Y': 0.3074961304664612, 'Z': -0.0066124508157372475}, {'X': 0.7267522215843201, 'Y': 0.25520503520965576, 'Z': -0.02252872847020626}, {'X': 0.78547602891922, 'Y': 0.465650737285614, 'Z': 0.006195650435984135}, {'X': 0.7792210578918457, 'Y': 0.3658420741558075, 'Z': 0.0020944487769156694}, {'X': 0.7703414559364319, 'Y': 0.30272507667541504, 'Z': -0.017987944185733795}, {'X': 0.7635222673416138, 'Y': 0.24606063961982727, 'Z': -0.032349977642297745}, {'X': 0.8256001472473145, 'Y': 0.4864063560962677, 'Z': -0.004561698064208031}, {'X': 0.8253633975982666, 'Y': 0.40508028864860535, 'Z': -0.012994310818612576}, {'X': 0.8226838111877441, 'Y': 0.3480381965637207, 'Z': -0.02383536659181118}, {'X': 0.8168637752532959, 'Y': 0.2904871106147766, 'Z': -0.03402651846408844}]
