[{'X': 0.7543037533760071, 'Y': 0.25311926007270813, 'Z': -3.909771112375893e-05}, {'X': 0.6895886659622192, 'Y': 0.20676440000534058, 'Z': -0.05514834076166153}, {'X': 0.6488059163093567, 'Y': 0.10789196193218231, 'Z': -0.0953528881072998}, {'X': 0.629042387008667, 'Y': 0.015346789732575417, 'Z': -0.13402116298675537}, {'X': 0.6187934279441833, 'Y': -0.06022363528609276, 'Z': -0.16568471491336823}, {'X': 0.6860527992248535, 'Y': -0.012374443002045155, 'Z': -0.07187998294830322}, {'X': 0.6896336078643799, 'Y': -0.10642987489700317, 'Z': -0.12720009684562683}, {'X': 0.6936163306236267, 'Y': -0.057955581694841385, 'Z': -0.15196673572063446}, {'X': 0.6973121166229248, 'Y': -0.0048589762300252914, 'Z': -0.15825897455215454}, {'X': 0.7275039553642273, 'Y': -0.01968812197446823, 'Z': -0.06464529037475586}, {'X': 0.7324275374412537, 'Y': -0.10778152942657471, 'Z': -0.1196620985865593}, {'X': 0.73213791847229, 'Y': -0.04680757224559784, 'Z': -0.14379194378852844}, {'X': 0.7334719300270081, 'Y': -0.006422960665076971, 'Z': -0.15275174379348755}, {'X': 0.7677422761917114, 'Y': -0.01501714251935482, 'Z': -0.062089577317237854}, {'X': 0.7719687223434448, 'Y': -0.10953342169523239, 'Z': -0.10932324081659317}, {'X': 0.7698966860771179, 'Y': -0.06281495094299316, 'Z': -0.1251901388168335}, {'X': 0.7711111307144165, 'Y': -0.020911138504743576, 'Z': -0.1299959123134613}, {'X': 0.8069791793823242, 'Y': -0.002507916884496808, 'Z': -0.06341444700956345}, {'X': 0.8119339942932129, 'Y': -0.10359258204698563, 'Z': -0.08869420737028122}, {'X': 0.808406412601471, 'Y': -0.1246829479932785, 'Z': -0.10042767226696014}, {'X': 0.8049810528755188, 'Y': -0.1333986520767212, 'Z': -0.10621439665555954}]
[{'X': 0.7387669086456299, 'Y': 0.33437973260879517, 'Z': -0.0001224818843184039}, {'X': 0.6784355044364929, 'Y': 0.28726011514663696, 'Z': -0.008616895414888859}, {'X': 0.6389001607894897, 'Y': 0.18481871485710144, 'Z': -0.01689278706908226}, {'X': 0.6165924072265625, 'Y': 0.09804365038871765, 'Z': -0.03576897084712982}, {'X': 0.5925188660621643, 'Y': 0.03574064373970032, 'Z': -0.053814686834812164}, {'X': 0.693260669708252, 'Y': 0.04815375432372093, 'Z': 0.02909209206700325}, {'X': 0.6903802752494812, 'Y': -0.055797114968299866, 'Z': 0.019914019852876663}, {'X': 0.6930648684501648, 'Y': -0.12744462490081787, 'Z': 0.008486654609441757}, {'X': 0.6959878206253052, 'Y': -0.1882278472185135, 'Z': 0.0014951027696952224}, {'X': 0.7283778786659241, 'Y': 0.04028403386473656, 'Z': 0.014407061971724033}, {'X': 0.731242835521698, 'Y': -0.07898105680942535, 'Z': 0.009807189926505089}, {'X': 0.7367473840713501, 'Y': -0.15961825847625732, 'Z': 0.0021982798352837563}, {'X': 0.7421849966049194, 'Y': -0.22688059508800507, 'Z': 3.450382428127341e-05}, {'X': 0.7613248229026794, 'Y': 0.050123222172260284, 'Z': -0.00518015306442976}, {'X': 0.7671987414360046, 'Y': -0.06138479709625244, 'Z': -0.010715686716139317}, {'X': 0.7736311554908752, 'Y': -0.13508091866970062, 'Z': -0.012189104221761227}, {'X': 0.7781078815460205, 'Y': -0.197612002491951, 'Z': -0.013294086791574955}, {'X': 0.793646514415741, 'Y': 0.07961541414260864, 'Z': -0.028307609260082245}, {'X': 0.8011696934700012, 'Y': -0.016679324209690094, 'Z': -0.03347204625606537}, {'X': 0.8064539432525635, 'Y': -0.07758629322052002, 'Z': -0.03583879396319389}, {'X': 0.8088690638542175, 'Y': -0.131906658411026, 'Z': -0.03571467101573944}]
[{'X': 0.7301098108291626, 'Y': 0.38902896642684937, 'Z': -9.15341151994653e-05}, {'X': 0.6713442206382751, 'Y': 0.35156139731407166, 'Z': -0.021085284650325775}, {'X': 0.6325300931930542, 'Y': 0.2593814730644226, 'Z': -0.035797297954559326}, {'X': 0.6110994219779968, 'Y': 0.17617470026016235, 'Z': -0.05729236081242561}, {'X': 0.5875732898712158, 'Y': 0.11229386925697327, 'Z': -0.07773667573928833}, {'X': 0.6812376976013184, 'Y': 0.12766359746456146, 'Z': 0.002066574292257428}, {'X': 0.671351969242096, 'Y': 0.02724955976009369, 'Z': -0.01725536584854126}, {'X': 0.6685660481452942, 'Y': -0.039133861660957336, 'Z': -0.03525436297059059}, {'X': 0.6682470440864563, 'Y': -0.09854263067245483, 'Z': -0.04578656330704689}, {'X': 0.7164257764816284, 'Y': 0.11645948886871338, 'Z': -0.007440474815666676}, {'X': 0.7152740955352783, 'Y': 0.0028463155031204224, 'Z': -0.02366051636636257}, {'X': 0.7166292071342468, 'Y': -0.07378968596458435, 'Z': -0.04091853275895119}, {'X': 0.7190752625465393, 'Y': -0.13867995142936707, 'Z': -0.05098925530910492}, {'X': 0.7490965723991394, 'Y': 0.12499669194221497, 'Z': -0.021742071956396103}, {'X': 0.7513226866722107, 'Y': 0.01734165847301483, 'Z': -0.03519361838698387}, {'X': 0.7544004321098328, 'Y': -0.052254751324653625, 'Z': -0.04641932621598244}, {'X': 0.7557950019836426, 'Y': -0.11238953471183777, 'Z': -0.054650191217660904}, {'X': 0.7814754247665405, 'Y': 0.15214744210243225, 'Z': -0.03946454077959061}, {'X': 0.7870477437973022, 'Y': 0.0577826052904129, 'Z': -0.051151543855667114}, {'X': 0.789411723613739, 'Y': -0.000934109091758728, 'Z': -0.05965138226747513}, {'X': 0.7882593274116516, 'Y': -0.054103657603263855, 'Z': -0.0656561404466629}]
[{'X': 0.7215948700904846, 'Y': 0.4531242549419403, 'Z': -6.134358409326524e-05}, {'X': 0.6620389223098755, 'Y': 0.4204750061035156, 'Z': -0.02534634806215763}, {'X': 0.6245241761207581, 'Y': 0.3285689949989319, 'Z': -0.03867640718817711}, {'X': 0.6062391400337219, 'Y': 0.24632123112678528, 'Z': -0.057259451597929}, {'X': 0.5861716866493225, 'Y': 0.18303950130939484, 'Z': -0.07408101111650467}, {'X': 0.6743189096450806, 'Y': 0.20323126018047333, 'Z': -0.0037180669605731964}, {'X': 0.6606559753417969, 'Y': 0.10179129242897034, 'Z': -0.026287110522389412}, {'X': 0.651521623134613, 'Y': 0.03827764093875885, 'Z': -0.045788176357746124}, {'X': 0.6447134017944336, 'Y': -0.019683554768562317, 'Z': -0.05553355813026428}, {'X': 0.7077388167381287, 'Y': 0.1899450123310089, 'Z': -0.011073993518948555}, {'X': 0.7031990885734558, 'Y': 0.0698157399892807, 'Z': -0.026768440380692482}, {'X': 0.699039876461029, 'Y': -0.004122063517570496, 'Z': -0.04933783411979675}, {'X': 0.6956825852394104, 'Y': -0.06715631484985352, 'Z': -0.0633828192949295}, {'X': 0.7377942800521851, 'Y': 0.1970324069261551, 'Z': -0.02268384024500847}, {'X': 0.7400686144828796, 'Y': 0.0825379490852356, 'Z': -0.03424237668514252}, {'X': 0.7387981414794922, 'Y': 0.012270674109458923, 'Z': -0.05341969430446625}, {'X': 0.734972357749939, 'Y': -0.05048057436943054, 'Z': -0.06945620477199554}, {'X': 0.7669659852981567, 'Y': 0.2219354212284088, 'Z': -0.038139697164297104}, {'X': 0.7736570835113525, 'Y': 0.12767180800437927, 'Z': -0.050754766911268234}, {'X': 0.7735432982444763, 'Y': 0.07083950936794281, 'Z': -0.06314992904663086}, {'X': 0.7686049342155457, 'Y': 0.01955185830593109, 'Z': -0.0725138708949089}]
[{'X': 0.7049302458763123, 'Y': 0.532675564289093, 'Z': -6.770391337340698e-05}, {'X': 0.6520522236824036, 'Y': 0.49271127581596375, 'Z': 0.0018235888564959168}, {'X': 0.6246788501739502, 'Y': 0.3960254192352295, 'Z': 0.00016973914171103388}, {'X': 0.6121178865432739, 'Y': 0.31420034170150757, 'Z': -0.008943538181483746}, {'X': 0.5935148000717163, 'Y': 0.24777863919734955, 'Z': -0.016986189410090446}, {'X': 0.6676245927810669, 'Y': 0.2782297730445862, 'Z': 0.030198855325579643}, {'X': 0.6585191488265991, 'Y': 0.1863008737564087, 'Z': 0.017949776723980904}, {'X': 0.6467967629432678, 'Y': 0.12829498946666718, 'Z': 0.0015307551948353648}, {'X': 0.6345331072807312, 'Y': 0.07848292589187622, 'Z': -0.00988492276519537}, {'X': 0.6966620683670044, 'Y': 0.2660853862762451, 'Z': 0.01288754865527153}, {'X': 0.6922393441200256, 'Y': 0.16011010110378265, 'Z': 0.007059398107230663}, {'X': 0.6797798275947571, 'Y': 0.09003174304962158, 'Z': -0.012444837018847466}, {'X': 0.6666190028190613, 'Y': 0.03593549132347107, 'Z': -0.02842484973371029}, {'X': 0.7236618399620056, 'Y': 0.274117112159729, 'Z': -0.00896717794239521}, {'X': 0.722522497177124, 'Y': 0.1689990907907486, 'Z': -0.012403546832501888}, {'X': 0.7106361985206604, 'Y': 0.10124403238296509, 'Z': -0.026715686544775963}, {'X': 0.6967667937278748, 'Y': 0.047061145305633545, 'Z': -0.039882250130176544}, {'X': 0.751494288444519, 'Y': 0.29889732599258423, 'Z': -0.03193323314189911}, {'X': 0.751600444316864, 'Y': 0.20515969395637512, 'Z': -0.039720114320516586}, {'X': 0.7429842352867126, 'Y': 0.1458020955324173, 'Z': -0.05047623813152313}, {'X': 0.7305983304977417, 'Y': 0.09288640320301056, 'Z': -0.05952942371368408}]
[{'X': 0.6941372156143188, 'Y': 0.5938879251480103, 'Z': -4.724582322523929e-05}, {'X': 0.6464555859565735, 'Y': 0.5543724894523621, 'Z': 0.00702874967828393}, {'X': 0.6237941980361938, 'Y': 0.45568978786468506, 'Z': 0.01121498178690672}, {'X': 0.6138705611228943, 'Y': 0.3741718530654907, 'Z': 0.0061798095703125}, {'X': 0.5969617962837219, 'Y': 0.3025659918785095, 'Z': 0.002762831747531891}, {'X': 0.665975034236908, 'Y': 0.3430916368961334, 'Z': 0.04085569456219673}, {'X': 0.6585540175437927, 'Y': 0.24857494235038757, 'Z': 0.029671546071767807}, {'X': 0.6433333158493042, 'Y': 0.19405865669250488, 'Z': 0.010653707198798656}, {'X': 0.6251074075698853, 'Y': 0.15051664412021637, 'Z': -0.005246791988611221}, {'X': 0.6906495094299316, 'Y': 0.3347432315349579, 'Z': 0.01890631951391697}, {'X': 0.685050904750824, 'Y': 0.22558706998825073, 'Z': 0.010631084442138672}, {'X': 0.6679793000221252, 'Y': 0.15597569942474365, 'Z': -0.012374943122267723}, {'X': 0.6488955616950989, 'Y': 0.10521826148033142, 'Z': -0.029989197850227356}, {'X': 0.7136685252189636, 'Y': 0.34545597434043884, 'Z': -0.007890749722719193}, {'X': 0.7127317786216736, 'Y': 0.23613746464252472, 'Z': -0.01663593202829361}, {'X': 0.6959956884384155, 'Y': 0.166219100356102, 'Z': -0.03579152375459671}, {'X': 0.6760047674179077, 'Y': 0.11167430877685547, 'Z': -0.05161941051483154}, {'X': 0.7375543713569641, 'Y': 0.3726752698421478, 'Z': -0.0348527655005455}, {'X': 0.7383893132209778, 'Y': 0.2797033190727234, 'Z': -0.05075034126639366}, {'X': 0.7245960831642151, 'Y': 0.22102274000644684, 'Z': -0.0674237459897995}, {'X': 0.7052083611488342, 'Y': 0.17299884557724, 'Z': -0.08032714575529099}]
[{'X': 0.6823630928993225, 'Y': 0.6376974582672119, 'Z': -6.939524610061198e-05}, {'X': 0.6409468650817871, 'Y': 0.5950097441673279, 'Z': 0.017142975702881813}, {'X': 0.6249099373817444, 'Y': 0.5002771615982056, 'Z': 0.02185896784067154}, {'X': 0.6159452199935913, 'Y': 0.42934852838516235, 'Z': 0.016766395419836044}, {'X': 0.6009641885757446, 'Y': 0.357023149728775, 'Z': 0.008699334226548672}, {'X': 0.6704832911491394, 'Y': 0.39814701676368713, 'Z': 0.03902943804860115}, {'X': 0.6650946140289307, 'Y': 0.3092420697212219, 'Z': 0.025592301040887833}, {'X': 0.6463461518287659, 'Y': 0.25196409225463867, 'Z': 0.0033641005866229534}, {'X': 0.6217784881591797, 'Y': 0.20690104365348816, 'Z': -0.01725066266953945}, {'X': 0.6905505657196045, 'Y': 0.3987504243850708, 'Z': 0.011211331933736801}, {'X': 0.6894993185997009, 'Y': 0.2941429316997528, 'Z': -0.00327480211853981}, {'X': 0.6679993271827698, 'Y': 0.22341172397136688, 'Z': -0.025420483201742172}, {'X': 0.6421800255775452, 'Y': 0.16790154576301575, 'Z': -0.042175471782684326}, {'X': 0.7084797620773315, 'Y': 0.4151015877723694, 'Z': -0.02139422670006752}, {'X': 0.7103008031845093, 'Y': 0.3079174757003784, 'Z': -0.037302397191524506}, {'X': 0.6895177960395813, 'Y': 0.24051372706890106, 'Z': -0.05767669901251793}, {'X': 0.6658034920692444, 'Y': 0.1888255476951599, 'Z': -0.07097326964139938}, {'X': 0.7258093953132629, 'Y': 0.44627660512924194, 'Z': -0.05292074754834175}, {'X': 0.7274931073188782, 'Y': 0.35650506615638733, 'Z': -0.07228643447160721}, {'X': 0.7114246487617493, 'Y': 0.30142736434936523, 'Z': -0.08999480307102203}, {'X': 0.6902287602424622, 'Y': 0.258445143699646, 'Z': -0.10150514543056488}]
[{'X': 0.6835911273956299, 'Y': 0.6789196729660034, 'Z': -2.7347679861122742e-05}, {'X': 0.6407203674316406, 'Y': 0.6334209442138672, 'Z': 0.015211772173643112}, {'X': 0.6270447969436646, 'Y': 0.535297155380249, 'Z': 0.02036786824464798}, {'X': 0.6213570237159729, 'Y': 0.4630149304866791, 'Z': 0.014140504412353039}, {'X': 0.6056885719299316, 'Y': 0.3930493891239166, 'Z': 0.004077645018696785}, {'X': 0.6695717573165894, 'Y': 0.4364517331123352, 'Z': 0.034093037247657776}, {'X': 0.6632845401763916, 'Y': 0.34531423449516296, 'Z': 0.018570365384221077}, {'X': 0.6450669169425964, 'Y': 0.2885452210903168, 'Z': -0.004809422884136438}, {'X': 0.6220716238021851, 'Y': 0.24742238223552704, 'Z': -0.024204451590776443}, {'X': 0.6903979778289795, 'Y': 0.441433310508728, 'Z': 0.0047247945331037045}, {'X': 0.6909924745559692, 'Y': 0.3332182765007019, 'Z': -0.011337443254888058}, {'X': 0.6692021489143372, 'Y': 0.2683115005493164, 'Z': -0.03799667954444885}, {'X': 0.6411226391792297, 'Y': 0.22773118317127228, 'Z': -0.059335313737392426}, {'X': 0.7079375386238098, 'Y': 0.46300509572029114, 'Z': -0.02835356444120407}, {'X': 0.7135931849479675, 'Y': 0.35486459732055664, 'Z': -0.04628414288163185}, {'X': 0.6879655718803406, 'Y': 0.2957950830459595, 'Z': -0.07227710634469986}, {'X': 0.6583926677703857, 'Y': 0.26303672790527344, 'Z': -0.09271745383739471}, {'X': 0.7243852019309998, 'Y': 0.4977406859397888, 'Z': -0.06113412603735924}, {'X': 0.7243036031723022, 'Y': 0.4100548326969147, 'Z': -0.08277009427547455}, {'X': 0.7034242749214172, 'Y': 0.35839608311653137, 'Z': -0.10532785207033157}, {'X': 0.6766614317893982, 'Y': 0.3244176208972931, 'Z': -0.12466838210821152}]
[{'X': 0.7313619256019592, 'Y': 0.5555635690689087, 'Z': -4.958851059200242e-05}, {'X': 0.6968337297439575, 'Y': 0.49371060729026794, 'Z': 0.0015219718916341662}, {'X': 0.673832356929779, 'Y': 0.4497314691543579, 'Z': -0.022809330374002457}, {'X': 0.6534727811813354, 'Y': 0.42107510566711426, 'Z': -0.052541423588991165}, {'X': 0.630997359752655, 'Y': 0.39418232440948486, 'Z': -0.08187846839427948}, {'X': 0.7099161148071289, 'Y': 0.36601728200912476, 'Z': -0.0578954815864563}, {'X': 0.6769075989723206, 'Y': 0.3218199908733368, 'Z': -0.10410895198583603}, {'X': 0.6534423232078552, 'Y': 0.2959349751472473, 'Z': -0.1315334290266037}, {'X': 0.6321544051170349, 'Y': 0.274655818939209, 'Z': -0.15001170337200165}, {'X': 0.7232653498649597, 'Y': 0.38268470764160156, 'Z': -0.08254314213991165}, {'X': 0.6833789348602295, 'Y': 0.32702744007110596, 'Z': -0.13275586068630219}, {'X': 0.6551058292388916, 'Y': 0.30096662044525146, 'Z': -0.1564263552427292}, {'X': 0.6315752267837524, 'Y': 0.2765839397907257, 'Z': -0.17156445980072021}, {'X': 0.7294578552246094, 'Y': 0.41752612590789795, 'Z': -0.10690406709909439}, {'X': 0.6943663358688354, 'Y': 0.3643207252025604, 'Z': -0.14930890500545502}, {'X': 0.6650811433792114, 'Y': 0.33789563179016113, 'Z': -0.16657862067222595}, {'X': 0.6415482759475708, 'Y': 0.3126341700553894, 'Z': -0.17703783512115479}, {'X': 0.7300329804420471, 'Y': 0.46468019485473633, 'Z': -0.1307954043149948}, {'X': 0.7070228457450867, 'Y': 0.43403589725494385, 'Z': -0.17220212519168854}, {'X': 0.6866922974586487, 'Y': 0.4075222611427307, 'Z': -0.19507545232772827}, {'X': 0.6682109832763672, 'Y': 0.3789992928504944, 'Z': -0.21345767378807068}]
[{'X': 0.7245112061500549, 'Y': 0.6823498010635376, 'Z': -4.042494038003497e-05}, {'X': 0.674008846282959, 'Y': 0.6368136405944824, 'Z': -0.005773051176220179}, {'X': 0.6459303498268127, 'Y': 0.5774606466293335, 'Z': -0.0287956353276968}, {'X': 0.629185676574707, 'Y': 0.5319761037826538, 'Z': -0.058766379952430725}, {'X': 0.6072818040847778, 'Y': 0.47562381625175476, 'Z': -0.08683856576681137}, {'X': 0.6900037527084351, 'Y': 0.467471718788147, 'Z': -0.037588585168123245}, {'X': 0.6712478995323181, 'Y': 0.3933437168598175, 'Z': -0.08115363121032715}, {'X': 0.6506552696228027, 'Y': 0.3518276810646057, 'Z': -0.11678547412157059}, {'X': 0.6260262727737427, 'Y': 0.3181729316711426, 'Z': -0.1401308923959732}, {'X': 0.7093839645385742, 'Y': 0.4736873507499695, 'Z': -0.06201939284801483}, {'X': 0.6911575198173523, 'Y': 0.38812583684921265, 'Z': -0.10826895385980606}, {'X': 0.6639091968536377, 'Y': 0.3463194966316223, 'Z': -0.14061392843723297}, {'X': 0.6345710158348083, 'Y': 0.3123389482498169, 'Z': -0.16124317049980164}, {'X': 0.7258750200271606, 'Y': 0.5036267638206482, 'Z': -0.08961420506238937}, {'X': 0.7126060724258423, 'Y': 0.4258766770362854, 'Z': -0.12993744015693665}, {'X': 0.6846306324005127, 'Y': 0.38394296169281006, 'Z': -0.15934346616268158}, {'X': 0.6563986539840698, 'Y': 0.349969744682312, 'Z': -0.17908737063407898}, {'X': 0.7399044632911682, 'Y': 0.5496497750282288, 'Z': -0.11672977358102798}, {'X': 0.7296191453933716, 'Y': 0.49664124846458435, 'Z': -0.15242654085159302}, {'X': 0.7086116075515747, 'Y': 0.45845338702201843, 'Z': -0.1779252141714096}, {'X': 0.6868964433670044, 'Y': 0.4214555323123932, 'Z': -0.19990307092666626}]
[{'X': 0.70482337474823, 'Y': 0.7742031812667847, 'Z': -2.1401841877377592e-05}, {'X': 0.6572415828704834, 'Y': 0.7340951561927795, 'Z': -0.012741433456540108}, {'X': 0.6358887553215027, 'Y': 0.6399614214897156, 'Z': -0.025122271850705147}, {'X': 0.6267523169517517, 'Y': 0.5685358643531799, 'Z': -0.045004863291978836}, {'X': 0.6100637912750244, 'Y': 0.4996870458126068, 'Z': -0.06806020438671112}, {'X': 0.6834877133369446, 'Y': 0.5407185554504395, 'Z': -0.024610064923763275}, {'X': 0.6716182827949524, 'Y': 0.44976404309272766, 'Z': -0.06554748117923737}, {'X': 0.6522517800331116, 'Y': 0.4006320834159851, 'Z': -0.1003102958202362}, {'X': 0.6288453936576843, 'Y': 0.36171936988830566, 'Z': -0.12466572225093842}, {'X': 0.7075810432434082, 'Y': 0.5456575155258179, 'Z': -0.046923890709877014}, {'X': 0.7036223411560059, 'Y': 0.44246503710746765, 'Z': -0.08804213255643845}, {'X': 0.6787070035934448, 'Y': 0.38849562406539917, 'Z': -0.12338416278362274}, {'X': 0.6487711071968079, 'Y': 0.3482450246810913, 'Z': -0.14825470745563507}, {'X': 0.7289395928382874, 'Y': 0.5804047584533691, 'Z': -0.07364402711391449}, {'X': 0.7304843664169312, 'Y': 0.48110049962997437, 'Z': -0.11419583857059479}, {'X': 0.7043640613555908, 'Y': 0.42744535207748413, 'Z': -0.1508532017469406}, {'X': 0.6752906441688538, 'Y': 0.3857985734939575, 'Z': -0.176401749253273}, {'X': 0.7481983304023743, 'Y': 0.6337401270866394, 'Z': -0.10170864313840866}, {'X': 0.7479006052017212, 'Y': 0.5616584420204163, 'Z': -0.1414397656917572}, {'X': 0.7284701466560364, 'Y': 0.517139196395874, 'Z': -0.17371605336666107}, {'X': 0.7056887149810791, 'Y': 0.4768776297569275, 'Z': -0.20090797543525696}]
