[{'X': 0.7432217597961426, 'Y': 0.7744947075843811, 'Z': -6.0430375015130267e-05}, {'X': 0.685323178768158, 'Y': 0.7532945871353149, 'Z': -0.02731318213045597}, {'X': 0.6499698758125305, 'Y': 0.6635689735412598, 'Z': -0.036247946321964264}, {'X': 0.637449324131012, 'Y': 0.5754684805870056, 'Z': -0.04784628748893738}, {'X': 0.6221692562103271, 'Y': 0.5043851137161255, 'Z': -0.06273858994245529}, {'X': 0.6860191226005554, 'Y': 0.5607675909996033, 'Z': 0.011497076600790024}, {'X': 0.6712793707847595, 'Y': 0.46552664041519165, 'Z': -0.004365320783108473}, {'X': 0.6613596081733704, 'Y': 0.406410276889801, 'Z': -0.023060455918312073}, {'X': 0.6541544198989868, 'Y': 0.34922918677330017, 'Z': -0.038488104939460754}, {'X': 0.7228525876998901, 'Y': 0.5472539663314819, 'Z': 0.0065060025081038475}, {'X': 0.7147559523582458, 'Y': 0.44237494468688965, 'Z': -0.0008031480247154832}, {'X': 0.7071653008460999, 'Y': 0.37096714973449707, 'Z': -0.02991442196071148}, {'X': 0.7016324996948242, 'Y': 0.30612581968307495, 'Z': -0.05180041864514351}, {'X': 0.759191632270813, 'Y': 0.5535555481910706, 'Z': -0.004026147071272135}, {'X': 0.7574595212936401, 'Y': 0.45077329874038696, 'Z': -0.011787805706262589}, {'X': 0.7506359219551086, 'Y': 0.38271546363830566, 'Z': -0.04042065516114235}, {'X': 0.7434782981872559, 'Y': 0.32287198305130005, 'Z': -0.06303997337818146}, {'X': 0.796170711517334, 'Y': 0.5774340033531189, 'Z': -0.017944401130080223}, {'X': 0.8026317358016968, 'Y': 0.494590163230896, 'Z': -0.029950665310025215}, {'X': 0.7999638915061951, 'Y': 0.4405948519706726, 'Z': -0.048015523701906204}, {'X': 0.7940142154693604, 'Y': 0.39060458540916443, 'Z': -0.06369400024414062}]
[{'X': 0.744125247001648, 'Y': 0.7783631086349487, 'Z': -8.082059503067285e-05}, {'X': 0.6863357424736023, 'Y': 0.7558441162109375, 'Z': -0.02934105694293976}, {'X': 0.6497058272361755, 'Y': 0.6659587025642395, 'Z': -0.039463091641664505}, {'X': 0.636134147644043, 'Y': 0.5780864357948303, 'Z': -0.05188676714897156}, {'X': 0.6212832927703857, 'Y': 0.5055378675460815, 'Z': -0.0668812021613121}, {'X': 0.6852272748947144, 'Y': 0.5594750046730042, 'Z': 0.008016183041036129}, {'X': 0.6699257493019104, 'Y': 0.46445804834365845, 'Z': -0.0070787169970571995}, {'X': 0.659923791885376, 'Y': 0.4056045711040497, 'Z': -0.025604909285902977}, {'X': 0.6532586216926575, 'Y': 0.3476907014846802, 'Z': -0.041520409286022186}, {'X': 0.7225286364555359, 'Y': 0.5475459098815918, 'Z': 0.004305573180317879}, {'X': 0.7133156061172485, 'Y': 0.44186991453170776, 'Z': -0.002420910634100437}, {'X': 0.7059613466262817, 'Y': 0.3712362051010132, 'Z': -0.03291443735361099}, {'X': 0.7012915015220642, 'Y': 0.30618545413017273, 'Z': -0.056142408400774}, {'X': 0.7590472102165222, 'Y': 0.5551496148109436, 'Z': -0.00427439296618104}, {'X': 0.7572365999221802, 'Y': 0.452776700258255, 'Z': -0.01161833107471466}, {'X': 0.7509080171585083, 'Y': 0.38508033752441406, 'Z': -0.04122495278716087}, {'X': 0.7442662715911865, 'Y': 0.3248642683029175, 'Z': -0.06399515271186829}, {'X': 0.7962287664413452, 'Y': 0.5801330208778381, 'Z': -0.016344640403985977}, {'X': 0.802116334438324, 'Y': 0.4970382750034332, 'Z': -0.029036886990070343}, {'X': 0.7993015646934509, 'Y': 0.4429871737957001, 'Z': -0.04769756644964218}, {'X': 0.7931340932846069, 'Y': 0.3923460841178894, 'Z': -0.063314288854599}]
[{'X': 0.7439297437667847, 'Y': 0.7808358669281006, 'Z': -7.137196371331811e-05}, {'X': 0.6870402097702026, 'Y': 0.7595788836479187, 'Z': -0.028728889301419258}, {'X': 0.6491469144821167, 'Y': 0.6686282157897949, 'Z': -0.038302503526210785}, {'X': 0.635414183139801, 'Y': 0.5805602669715881, 'Z': -0.04997626319527626}, {'X': 0.6247050762176514, 'Y': 0.5085409879684448, 'Z': -0.06242937222123146}, {'X': 0.6853851079940796, 'Y': 0.5554122924804688, 'Z': 0.007343523669987917}, {'X': 0.6700955033302307, 'Y': 0.46235764026641846, 'Z': -0.007541326805949211}, {'X': 0.6602073907852173, 'Y': 0.40546858310699463, 'Z': -0.025982566177845}, {'X': 0.6534051895141602, 'Y': 0.3481181859970093, 'Z': -0.04193961247801781}, {'X': 0.7224336862564087, 'Y': 0.5432220697402954, 'Z': 0.003618307411670685}, {'X': 0.7142136693000793, 'Y': 0.43965065479278564, 'Z': -0.002761476906016469}, {'X': 0.707243025302887, 'Y': 0.3720490634441376, 'Z': -0.030471354722976685}, {'X': 0.7020851373672485, 'Y': 0.3089093267917633, 'Z': -0.0509696863591671}, {'X': 0.7588142156600952, 'Y': 0.5511178374290466, 'Z': -0.004937414545565844}, {'X': 0.7572139501571655, 'Y': 0.45156463980674744, 'Z': -0.011631079018115997}, {'X': 0.7512162327766418, 'Y': 0.38517826795578003, 'Z': -0.04036243259906769}, {'X': 0.7443509101867676, 'Y': 0.3258424997329712, 'Z': -0.061593130230903625}, {'X': 0.7958046793937683, 'Y': 0.5773833990097046, 'Z': -0.016980314627289772}, {'X': 0.8006359338760376, 'Y': 0.4973430037498474, 'Z': -0.02928754687309265}, {'X': 0.798252284526825, 'Y': 0.4431775212287903, 'Z': -0.04770183563232422}, {'X': 0.7922319173812866, 'Y': 0.39204418659210205, 'Z': -0.06277113407850266}]
[{'X': 0.7449766397476196, 'Y': 0.7758843898773193, 'Z': -6.438838317990303e-05}, {'X': 0.6871132254600525, 'Y': 0.7525783777236938, 'Z': -0.030230671167373657}, {'X': 0.6498662233352661, 'Y': 0.6641799211502075, 'Z': -0.04054948687553406}, {'X': 0.6368735432624817, 'Y': 0.5773501992225647, 'Z': -0.05300872027873993}, {'X': 0.6233839988708496, 'Y': 0.5059917569160461, 'Z': -0.06789780408143997}, {'X': 0.685081422328949, 'Y': 0.5554786920547485, 'Z': 0.007172390818595886}, {'X': 0.6695389151573181, 'Y': 0.46082931756973267, 'Z': -0.007482706103473902}, {'X': 0.6592237949371338, 'Y': 0.40240418910980225, 'Z': -0.02534596435725689}, {'X': 0.652015209197998, 'Y': 0.34535419940948486, 'Z': -0.040600378066301346}, {'X': 0.7224140763282776, 'Y': 0.543249785900116, 'Z': 0.00342154991813004}, {'X': 0.7132520079612732, 'Y': 0.43817728757858276, 'Z': -0.003778930054977536}, {'X': 0.7063114047050476, 'Y': 0.3683280348777771, 'Z': -0.033642563968896866}, {'X': 0.7015697956085205, 'Y': 0.3040933310985565, 'Z': -0.05652737617492676}, {'X': 0.7589586973190308, 'Y': 0.5516700148582458, 'Z': -0.005012592300772667}, {'X': 0.7569875121116638, 'Y': 0.44976913928985596, 'Z': -0.012451539747416973}, {'X': 0.7509472966194153, 'Y': 0.3830123245716095, 'Z': -0.04127149656414986}, {'X': 0.7440772652626038, 'Y': 0.3239123225212097, 'Z': -0.06298962980508804}, {'X': 0.7965438961982727, 'Y': 0.5775655508041382, 'Z': -0.01665954664349556}, {'X': 0.801937460899353, 'Y': 0.49526113271713257, 'Z': -0.030055655166506767}, {'X': 0.7988318204879761, 'Y': 0.4410601854324341, 'Z': -0.048766933381557465}, {'X': 0.7919284701347351, 'Y': 0.3904949128627777, 'Z': -0.06403651833534241}]
[{'X': 0.745796263217926, 'Y': 0.7779048681259155, 'Z': -8.080789120867848e-05}, {'X': 0.6884959936141968, 'Y': 0.7598526477813721, 'Z': -0.030029449611902237}, {'X': 0.6504236459732056, 'Y': 0.6693944334983826, 'Z': -0.0390717051923275}, {'X': 0.6368515491485596, 'Y': 0.58111572265625, 'Z': -0.05042232945561409}, {'X': 0.6254938840866089, 'Y': 0.508766233921051, 'Z': -0.06251481920480728}, {'X': 0.6854343414306641, 'Y': 0.5565927624702454, 'Z': 0.009117809124290943}, {'X': 0.6704291105270386, 'Y': 0.46285516023635864, 'Z': -0.005401660222560167}, {'X': 0.6604428291320801, 'Y': 0.4054797291755676, 'Z': -0.02392159216105938}, {'X': 0.6536176800727844, 'Y': 0.3481430411338806, 'Z': -0.03977929428219795}, {'X': 0.7226302623748779, 'Y': 0.5437235832214355, 'Z': 0.0059321788139641285}, {'X': 0.7147215008735657, 'Y': 0.43929269909858704, 'Z': 0.00012647501716855913}, {'X': 0.7077556252479553, 'Y': 0.37093424797058105, 'Z': -0.028736967593431473}, {'X': 0.7024635672569275, 'Y': 0.3071703016757965, 'Z': -0.04970844089984894}, {'X': 0.7592447996139526, 'Y': 0.5505859851837158, 'Z': -0.002318425802513957}, {'X': 0.7576955556869507, 'Y': 0.4504183530807495, 'Z': -0.008657818660140038}, {'X': 0.7515068650245667, 'Y': 0.3836491107940674, 'Z': -0.03825146332383156}, {'X': 0.7443500757217407, 'Y': 0.32403355836868286, 'Z': -0.060211628675460815}, {'X': 0.7962648868560791, 'Y': 0.5757623910903931, 'Z': -0.014255363494157791}, {'X': 0.8018772602081299, 'Y': 0.49624204635620117, 'Z': -0.026548396795988083}, {'X': 0.8003337383270264, 'Y': 0.4420601427555084, 'Z': -0.044885702431201935}, {'X': 0.7950255274772644, 'Y': 0.3908884823322296, 'Z': -0.05996253713965416}]
[{'X': 0.7468550205230713, 'Y': 0.7800921201705933, 'Z': -7.807085785316303e-05}, {'X': 0.6889504790306091, 'Y': 0.7565217018127441, 'Z': -0.03226090595126152}, {'X': 0.6526054739952087, 'Y': 0.6681938767433167, 'Z': -0.04561685398221016}, {'X': 0.6392353773117065, 'Y': 0.5809494853019714, 'Z': -0.06072775274515152}, {'X': 0.6261481642723083, 'Y': 0.5076847672462463, 'Z': -0.07821221649646759}, {'X': 0.6874202489852905, 'Y': 0.559373676776886, 'Z': 0.004155405797064304}, {'X': 0.672439694404602, 'Y': 0.46254420280456543, 'Z': -0.011878499761223793}, {'X': 0.6627150177955627, 'Y': 0.4030035734176636, 'Z': -0.03148616850376129}, {'X': 0.6558899879455566, 'Y': 0.34495484828948975, 'Z': -0.04812615364789963}, {'X': 0.7252097129821777, 'Y': 0.5476696491241455, 'Z': 0.0014868428697809577}, {'X': 0.71650230884552, 'Y': 0.44117528200149536, 'Z': -0.00632021389901638}, {'X': 0.7094839215278625, 'Y': 0.37085437774658203, 'Z': -0.0361282080411911}, {'X': 0.7048579454421997, 'Y': 0.3062777817249298, 'Z': -0.059032849967479706}, {'X': 0.762173056602478, 'Y': 0.5551934242248535, 'Z': -0.0063333651050925255}, {'X': 0.7593823671340942, 'Y': 0.45185646414756775, 'Z': -0.013061718083918095}, {'X': 0.7520378828048706, 'Y': 0.38661181926727295, 'Z': -0.041334718465805054}, {'X': 0.7447054982185364, 'Y': 0.3291618227958679, 'Z': -0.06327138096094131}, {'X': 0.8000624775886536, 'Y': 0.5795927047729492, 'Z': -0.018169593065977097}, {'X': 0.8049551844596863, 'Y': 0.4960882365703583, 'Z': -0.030131014063954353}, {'X': 0.8016536235809326, 'Y': 0.4429568648338318, 'Z': -0.047598280012607574}, {'X': 0.7953594326972961, 'Y': 0.3941134810447693, 'Z': -0.06293097883462906}]
[{'X': 0.7485174536705017, 'Y': 0.7877070903778076, 'Z': -7.964359974721447e-05}, {'X': 0.6923585534095764, 'Y': 0.7635315656661987, 'Z': -0.033719465136528015}, {'X': 0.6534974575042725, 'Y': 0.6724121570587158, 'Z': -0.043906260281801224}, {'X': 0.6403266191482544, 'Y': 0.5844453573226929, 'Z': -0.05623898655176163}, {'X': 0.6327444911003113, 'Y': 0.5140340924263, 'Z': -0.06596996635198593}, {'X': 0.6898655295372009, 'Y': 0.5561118125915527, 'Z': 0.005823968909680843}, {'X': 0.6747517585754395, 'Y': 0.4627974033355713, 'Z': -0.009631066583096981}, {'X': 0.6640941500663757, 'Y': 0.406885027885437, 'Z': -0.027819007635116577}, {'X': 0.6572918891906738, 'Y': 0.3532089591026306, 'Z': -0.04300516098737717}, {'X': 0.7279024720191956, 'Y': 0.544211745262146, 'Z': 0.004646312445402145}, {'X': 0.7189147472381592, 'Y': 0.44016003608703613, 'Z': -0.003015333553776145}, {'X': 0.711974024772644, 'Y': 0.37637221813201904, 'Z': -0.032593097537755966}, {'X': 0.7072434425354004, 'Y': 0.3163469433784485, 'Z': -0.05417056009173393}, {'X': 0.7647913694381714, 'Y': 0.5527371764183044, 'Z': -0.0023085554130375385}, {'X': 0.7629953622817993, 'Y': 0.4550771415233612, 'Z': -0.008384493179619312}, {'X': 0.7547284364700317, 'Y': 0.3937951326370239, 'Z': -0.03711657598614693}, {'X': 0.7463200092315674, 'Y': 0.3398186266422272, 'Z': -0.058381278067827225}, {'X': 0.8013288974761963, 'Y': 0.5796871781349182, 'Z': -0.013193711638450623}, {'X': 0.8055704236030579, 'Y': 0.5006253719329834, 'Z': -0.0262974314391613}, {'X': 0.8013749122619629, 'Y': 0.4481959640979767, 'Z': -0.04688509926199913}, {'X': 0.79364413022995, 'Y': 0.3988078832626343, 'Z': -0.06369860470294952}]
[{'X': 0.7506546378135681, 'Y': 0.7964136004447937, 'Z': -6.909324292792007e-05}, {'X': 0.6931322813034058, 'Y': 0.7675787210464478, 'Z': -0.033347468823194504}, {'X': 0.6543862223625183, 'Y': 0.6756735444068909, 'Z': -0.043813325464725494}, {'X': 0.6409395933151245, 'Y': 0.5872082710266113, 'Z': -0.05680184066295624}, {'X': 0.6350762248039246, 'Y': 0.513961911201477, 'Z': -0.06765571981668472}, {'X': 0.6912779211997986, 'Y': 0.5528037548065186, 'Z': 0.012591183185577393}, {'X': 0.6791582703590393, 'Y': 0.46416836977005005, 'Z': -0.003525875275954604}, {'X': 0.6701308488845825, 'Y': 0.4110431969165802, 'Z': -0.02587670274078846}, {'X': 0.6631221771240234, 'Y': 0.3638039231300354, 'Z': -0.04316634684801102}, {'X': 0.7300663590431213, 'Y': 0.5405845046043396, 'Z': 0.012419761158525944}, {'X': 0.7237772941589355, 'Y': 0.44241052865982056, 'Z': 0.0035512938629835844}, {'X': 0.7164722681045532, 'Y': 0.3835829496383667, 'Z': -0.02764100395143032}, {'X': 0.7096865773200989, 'Y': 0.33377164602279663, 'Z': -0.04941796511411667}, {'X': 0.7674638032913208, 'Y': 0.5498946905136108, 'Z': 0.005295123439282179}, {'X': 0.7667603492736816, 'Y': 0.45589691400527954, 'Z': -0.0013041229685768485}, {'X': 0.7574824690818787, 'Y': 0.40013861656188965, 'Z': -0.03147315979003906}, {'X': 0.7470070123672485, 'Y': 0.3556710481643677, 'Z': -0.05248541012406349}, {'X': 0.803900957107544, 'Y': 0.5787766575813293, 'Z': -0.005961270537227392}, {'X': 0.8084502220153809, 'Y': 0.5021618604660034, 'Z': -0.020512770861387253}, {'X': 0.8037426471710205, 'Y': 0.45197734236717224, 'Z': -0.04381989687681198}, {'X': 0.7940384149551392, 'Y': 0.4063847064971924, 'Z': -0.06197211891412735}]
[{'X': 0.7527604699134827, 'Y': 0.7944416999816895, 'Z': -5.445928036351688e-05}, {'X': 0.6960417628288269, 'Y': 0.7644342184066772, 'Z': -0.03342060372233391}, {'X': 0.6568666100502014, 'Y': 0.6744926571846008, 'Z': -0.046318329870700836}, {'X': 0.6439613699913025, 'Y': 0.5862633585929871, 'Z': -0.060629960149526596}, {'X': 0.634386420249939, 'Y': 0.5105079412460327, 'Z': -0.07461493462324142}, {'X': 0.6916864514350891, 'Y': 0.5527516603469849, 'Z': -0.0002584991161711514}, {'X': 0.6803823113441467, 'Y': 0.4598034620285034, 'Z': -0.017623990774154663}, {'X': 0.6742309331893921, 'Y': 0.4061707854270935, 'Z': -0.043052446097135544}, {'X': 0.6660864353179932, 'Y': 0.3591064214706421, 'Z': -0.0634259432554245}, {'X': 0.7313910126686096, 'Y': 0.5423530340194702, 'Z': -0.0018542668549343944}, {'X': 0.7257239818572998, 'Y': 0.4425719082355499, 'Z': -0.017516177147626877}, {'X': 0.7207014560699463, 'Y': 0.3850134611129761, 'Z': -0.058852147310972214}, {'X': 0.7127591371536255, 'Y': 0.34300804138183594, 'Z': -0.08990803360939026}, {'X': 0.7687495946884155, 'Y': 0.5537781119346619, 'Z': -0.0077308001928031445}, {'X': 0.7668929696083069, 'Y': 0.457759827375412, 'Z': -0.01865767128765583}, {'X': 0.7587822079658508, 'Y': 0.4035637378692627, 'Z': -0.05389932915568352}, {'X': 0.7475543022155762, 'Y': 0.3629767894744873, 'Z': -0.08157818764448166}, {'X': 0.8056765794754028, 'Y': 0.5821077227592468, 'Z': -0.01688769832253456}, {'X': 0.8083991408348083, 'Y': 0.5024996995925903, 'Z': -0.031381603330373764}, {'X': 0.8036236763000488, 'Y': 0.4546416997909546, 'Z': -0.055329207330942154}, {'X': 0.7936302423477173, 'Y': 0.41220125555992126, 'Z': -0.0765097364783287}]
[{'X': 0.7529690265655518, 'Y': 0.8034729957580566, 'Z': -6.483933248091489e-05}, {'X': 0.6956791877746582, 'Y': 0.768890917301178, 'Z': -0.03214864432811737}, {'X': 0.6567480564117432, 'Y': 0.6766197681427002, 'Z': -0.04333493486046791}, {'X': 0.6448619365692139, 'Y': 0.5865405201911926, 'Z': -0.056409597396850586}, {'X': 0.6414319276809692, 'Y': 0.5127728581428528, 'Z': -0.0663844496011734}, {'X': 0.6958584189414978, 'Y': 0.554362416267395, 'Z': 0.004893128294497728}, {'X': 0.6824828386306763, 'Y': 0.4642205238342285, 'Z': -0.01117643527686596}, {'X': 0.6747975945472717, 'Y': 0.41056302189826965, 'Z': -0.03322821483016014}, {'X': 0.6670691967010498, 'Y': 0.3639412820339203, 'Z': -0.051653940230607986}, {'X': 0.7357624173164368, 'Y': 0.5434991717338562, 'Z': 0.003475739387795329}, {'X': 0.7291240096092224, 'Y': 0.44419628381729126, 'Z': -0.011153611354529858}, {'X': 0.7230486869812012, 'Y': 0.38665926456451416, 'Z': -0.04790478199720383}, {'X': 0.7152374982833862, 'Y': 0.3445325791835785, 'Z': -0.07402681559324265}, {'X': 0.7727887034416199, 'Y': 0.5546373724937439, 'Z': -0.0034013751428574324}, {'X': 0.7704228758811951, 'Y': 0.4588318467140198, 'Z': -0.013939917087554932}, {'X': 0.760547399520874, 'Y': 0.4041105806827545, 'Z': -0.04539834335446358}, {'X': 0.7481709718704224, 'Y': 0.3648000955581665, 'Z': -0.06875286996364594}, {'X': 0.8083568215370178, 'Y': 0.5842588543891907, 'Z': -0.013704327866435051}, {'X': 0.8105391263961792, 'Y': 0.5046007633209229, 'Z': -0.028522657230496407}, {'X': 0.8048211932182312, 'Y': 0.4556516706943512, 'Z': -0.052984852343797684}, {'X': 0.7932238578796387, 'Y': 0.4143970012664795, 'Z': -0.07381606101989746}]
[{'X': 0.7490301132202148, 'Y': 0.8000583052635193, 'Z': -5.427201904240064e-05}, {'X': 0.6947130560874939, 'Y': 0.7707167863845825, 'Z': -0.03403676301240921}, {'X': 0.6559714674949646, 'Y': 0.6745234727859497, 'Z': -0.04469829052686691}, {'X': 0.6434516906738281, 'Y': 0.5848342180252075, 'Z': -0.057977672666311264}, {'X': 0.6395681500434875, 'Y': 0.5130153298377991, 'Z': -0.06864415109157562}, {'X': 0.6968089938163757, 'Y': 0.5544608235359192, 'Z': -0.0007853200659155846}, {'X': 0.685166597366333, 'Y': 0.4617421627044678, 'Z': -0.019411219283938408}, {'X': 0.6765150427818298, 'Y': 0.4096033573150635, 'Z': -0.04248794540762901}, {'X': 0.6673566699028015, 'Y': 0.3655194938182831, 'Z': -0.062061164528131485}, {'X': 0.7369632720947266, 'Y': 0.5455045104026794, 'Z': -0.0036242033820599318}, {'X': 0.7321162819862366, 'Y': 0.4437185823917389, 'Z': -0.02094705030322075}, {'X': 0.7251225709915161, 'Y': 0.38771241903305054, 'Z': -0.05883070454001427}, {'X': 0.7158574461936951, 'Y': 0.34949249029159546, 'Z': -0.08444254100322723}, {'X': 0.7737915515899658, 'Y': 0.5584434866905212, 'Z': -0.012110207229852676}, {'X': 0.7753910422325134, 'Y': 0.4604654610157013, 'Z': -0.024722091853618622}, {'X': 0.7655442357063293, 'Y': 0.4050130248069763, 'Z': -0.059313587844371796}, {'X': 0.7514106035232544, 'Y': 0.36550062894821167, 'Z': -0.08413343876600266}, {'X': 0.808282196521759, 'Y': 0.5911265015602112, 'Z': -0.02352972887456417}, {'X': 0.8147886991500854, 'Y': 0.5113086700439453, 'Z': -0.039593882858753204}, {'X': 0.8099818229675293, 'Y': 0.4612540602684021, 'Z': -0.0649237260222435}, {'X': 0.7975618839263916, 'Y': 0.4180963933467865, 'Z': -0.08614625781774521}]
