[{'X': 0.7731900811195374, 'Y': 0.641067385673523, 'Z': -4.418605749378912e-05}, {'X': 0.718705952167511, 'Y': 0.6202486753463745, 'Z': -0.025434931740164757}, {'X': 0.6777547597885132, 'Y': 0.533508837223053, 'Z': -0.028493033722043037}, {'X': 0.6548654437065125, 'Y': 0.45125436782836914, 'Z': -0.03432738780975342}, {'X': 0.6274484992027283, 'Y': 0.40139681100845337, 'Z': -0.04302423074841499}, {'X': 0.7001549005508423, 'Y': 0.41340091824531555, 'Z': 0.021870730444788933}, {'X': 0.6866748332977295, 'Y': 0.3252239227294922, 'Z': 0.010057040490210056}, {'X': 0.6821232438087463, 'Y': 0.26580655574798584, 'Z': -0.01004455704241991}, {'X': 0.6799754500389099, 'Y': 0.20743003487586975, 'Z': -0.027518559247255325}, {'X': 0.7326124310493469, 'Y': 0.3915531039237976, 'Z': 0.018202614039182663}, {'X': 0.7207469344139099, 'Y': 0.28895288705825806, 'Z': 0.01895533688366413}, {'X': 0.7125420570373535, 'Y': 0.2186630219221115, 'Z': -0.0028845369815826416}, {'X': 0.7063406705856323, 'Y': 0.15286698937416077, 'Z': -0.017751386389136314}, {'X': 0.7684221863746643, 'Y': 0.3900792598724365, 'Z': 0.007582050748169422}, {'X': 0.7604273557662964, 'Y': 0.2873535454273224, 'Z': 0.00518322829157114}, {'X': 0.7523279786109924, 'Y': 0.21990516781806946, 'Z': -0.017516538500785828}, {'X': 0.7443847060203552, 'Y': 0.15620234608650208, 'Z': -0.03477397933602333}, {'X': 0.8077653050422668, 'Y': 0.41024503111839294, 'Z': -0.0070863752625882626}, {'X': 0.8107959032058716, 'Y': 0.33175230026245117, 'Z': -0.018925324082374573}, {'X': 0.8111388683319092, 'Y': 0.2763158977031708, 'Z': -0.03564901649951935}, {'X': 0.8084957599639893, 'Y': 0.21987324953079224, 'Z': -0.04807540401816368}]
[{'X': 0.7729079723358154, 'Y': 0.6406382322311401, 'Z': -4.94376290589571e-05}, {'X': 0.7190912365913391, 'Y': 0.6175720691680908, 'Z': -0.01843579113483429}, {'X': 0.6790142059326172, 'Y': 0.5299534201622009, 'Z': -0.02119762822985649}, {'X': 0.6572588682174683, 'Y': 0.44651731848716736, 'Z': -0.028364427387714386}, {'X': 0.628713846206665, 'Y': 0.3987518846988678, 'Z': -0.03813003748655319}, {'X': 0.7033999562263489, 'Y': 0.4101954400539398, 'Z': 0.024122238159179688}, {'X': 0.6889961361885071, 'Y': 0.3193948268890381, 'Z': 0.015617208555340767}, {'X': 0.6840601563453674, 'Y': 0.26510724425315857, 'Z': 0.001267824089154601}, {'X': 0.6818140745162964, 'Y': 0.21235434710979462, 'Z': -0.012501638382673264}, {'X': 0.7365601658821106, 'Y': 0.388653039932251, 'Z': 0.01731761172413826}, {'X': 0.7247665524482727, 'Y': 0.2846331000328064, 'Z': 0.02007511630654335}, {'X': 0.7156025171279907, 'Y': 0.21827521920204163, 'Z': -0.000828243384603411}, {'X': 0.7084935307502747, 'Y': 0.15430021286010742, 'Z': -0.015858082100749016}, {'X': 0.7724640965461731, 'Y': 0.3883599042892456, 'Z': 0.005199691746383905}, {'X': 0.7654867172241211, 'Y': 0.2824336290359497, 'Z': 0.0014044124400243163}, {'X': 0.7570884227752686, 'Y': 0.21691925823688507, 'Z': -0.0221245177090168}, {'X': 0.7494763135910034, 'Y': 0.15414193272590637, 'Z': -0.03929552435874939}, {'X': 0.8116887211799622, 'Y': 0.4092664122581482, 'Z': -0.00941073801368475}, {'X': 0.8160061240196228, 'Y': 0.3250119388103485, 'Z': -0.021358506754040718}, {'X': 0.8170519471168518, 'Y': 0.26962119340896606, 'Z': -0.03617247939109802}, {'X': 0.8160669803619385, 'Y': 0.21307244896888733, 'Z': -0.046938590705394745}]
[{'X': 0.7752335667610168, 'Y': 0.6432048082351685, 'Z': -5.030272586736828e-05}, {'X': 0.7214060425758362, 'Y': 0.617915689945221, 'Z': -0.01787145808339119}, {'X': 0.6810466051101685, 'Y': 0.5308362245559692, 'Z': -0.020844699814915657}, {'X': 0.6584776639938354, 'Y': 0.44740167260169983, 'Z': -0.027490630745887756}, {'X': 0.6281301379203796, 'Y': 0.39996930956840515, 'Z': -0.03661598265171051}, {'X': 0.7046406865119934, 'Y': 0.41269853711128235, 'Z': 0.020992407575249672}, {'X': 0.6895016431808472, 'Y': 0.32091620564460754, 'Z': 0.014614352956414223}, {'X': 0.6844935417175293, 'Y': 0.2646494507789612, 'Z': 0.0018005036981776357}, {'X': 0.6821539402008057, 'Y': 0.21088162064552307, 'Z': -0.011127998121082783}, {'X': 0.7384200692176819, 'Y': 0.39104682207107544, 'Z': 0.016152869910001755}, {'X': 0.7265721559524536, 'Y': 0.288030207157135, 'Z': 0.019479891285300255}, {'X': 0.7175611853599548, 'Y': 0.22177451848983765, 'Z': -0.0014559251721948385}, {'X': 0.7105088829994202, 'Y': 0.16027572751045227, 'Z': -0.01863839477300644}, {'X': 0.7749819755554199, 'Y': 0.39003485441207886, 'Z': 0.0065015763975679874}, {'X': 0.7677115201950073, 'Y': 0.2867569029331207, 'Z': 0.0035016483161598444}, {'X': 0.7584758400917053, 'Y': 0.22296254336833954, 'Z': -0.0188332200050354}, {'X': 0.7500894665718079, 'Y': 0.16522470116615295, 'Z': -0.035279761999845505}, {'X': 0.8146572709083557, 'Y': 0.409134179353714, 'Z': -0.005201687105000019}, {'X': 0.8178840279579163, 'Y': 0.32485976815223694, 'Z': -0.01563158445060253}, {'X': 0.8179821968078613, 'Y': 0.2693641781806946, 'Z': -0.028693081811070442}, {'X': 0.8160765767097473, 'Y': 0.21478913724422455, 'Z': -0.03799280896782875}]
[{'X': 0.7716947793960571, 'Y': 0.6602187156677246, 'Z': -3.866994666168466e-05}, {'X': 0.720840334892273, 'Y': 0.6294047832489014, 'Z': -0.02119014598429203}, {'X': 0.6803682446479797, 'Y': 0.5381594896316528, 'Z': -0.019584182649850845}, {'X': 0.6557267904281616, 'Y': 0.4552302956581116, 'Z': -0.024029843509197235}, {'X': 0.6322106719017029, 'Y': 0.40356534719467163, 'Z': -0.026974109932780266}, {'X': 0.7028036117553711, 'Y': 0.4240071177482605, 'Z': 0.0370967835187912}, {'X': 0.6904283165931702, 'Y': 0.3333445191383362, 'Z': 0.043004848062992096}, {'X': 0.6845835447311401, 'Y': 0.27593278884887695, 'Z': 0.03789352625608444}, {'X': 0.6816601157188416, 'Y': 0.22533182799816132, 'Z': 0.03273297846317291}, {'X': 0.7349156737327576, 'Y': 0.40619316697120667, 'Z': 0.034338634461164474}, {'X': 0.7281094193458557, 'Y': 0.3090648055076599, 'Z': 0.04105996713042259}, {'X': 0.7233225107192993, 'Y': 0.2501404881477356, 'Z': 0.0240973848849535}, {'X': 0.7192272543907166, 'Y': 0.19962677359580994, 'Z': 0.01231776736676693}, {'X': 0.7698529958724976, 'Y': 0.40696102380752563, 'Z': 0.025378704071044922}, {'X': 0.7683104872703552, 'Y': 0.31700587272644043, 'Z': 0.018768148496747017}, {'X': 0.7542622089385986, 'Y': 0.3041125535964966, 'Z': -0.011918062344193459}, {'X': 0.7402442097663879, 'Y': 0.30530276894569397, 'Z': -0.027175497263669968}, {'X': 0.8065193295478821, 'Y': 0.42020633816719055, 'Z': 0.012460226193070412}, {'X': 0.8121945261955261, 'Y': 0.3450711667537689, 'Z': 0.010035881772637367}, {'X': 0.815459132194519, 'Y': 0.28210264444351196, 'Z': -0.008193828165531158}, {'X': 0.8147550225257874, 'Y': 0.2201988399028778, 'Z': -0.02396589331328869}]
[{'X': 0.7745919227600098, 'Y': 0.6529848575592041, 'Z': -3.3068798074964434e-05}, {'X': 0.7177543044090271, 'Y': 0.6244455575942993, 'Z': -0.027553454041481018}, {'X': 0.6802076101303101, 'Y': 0.5318184494972229, 'Z': -0.026858823373913765}, {'X': 0.6570927500724792, 'Y': 0.44583550095558167, 'Z': -0.026755576953291893}, {'X': 0.6308887600898743, 'Y': 0.3995843827724457, 'Z': -0.025812456384301186}, {'X': 0.7032552361488342, 'Y': 0.4114428758621216, 'Z': 0.03907524421811104}, {'X': 0.6917162537574768, 'Y': 0.3230312168598175, 'Z': 0.041597675532102585}, {'X': 0.6849344372749329, 'Y': 0.26498183608055115, 'Z': 0.03074963390827179}, {'X': 0.6796652674674988, 'Y': 0.21719680726528168, 'Z': 0.022790346294641495}, {'X': 0.7390627861022949, 'Y': 0.39547818899154663, 'Z': 0.039555083960294724}, {'X': 0.7324050068855286, 'Y': 0.29858675599098206, 'Z': 0.035005778074264526}, {'X': 0.7246620059013367, 'Y': 0.2515612542629242, 'Z': 0.007069788407534361}, {'X': 0.71718829870224, 'Y': 0.2211848646402359, 'Z': -0.009462833404541016}, {'X': 0.7761884927749634, 'Y': 0.39789238572120667, 'Z': 0.03148626908659935}, {'X': 0.7775567173957825, 'Y': 0.3095267415046692, 'Z': 0.007661485578864813}, {'X': 0.7688678503036499, 'Y': 0.3395810127258301, 'Z': -0.03592856600880623}, {'X': 0.7594947218894958, 'Y': 0.3848356008529663, 'Z': -0.054530609399080276}, {'X': 0.8131178021430969, 'Y': 0.41462743282318115, 'Z': 0.02317875809967518}, {'X': 0.8171563148498535, 'Y': 0.3356724977493286, 'Z': 0.013456322252750397}, {'X': 0.8142367601394653, 'Y': 0.2781340479850769, 'Z': -0.005367561709135771}, {'X': 0.807262122631073, 'Y': 0.22928491234779358, 'Z': -0.016761397942900658}]
[{'X': 0.7761238217353821, 'Y': 0.6512199640274048, 'Z': -2.4116508939187042e-05}, {'X': 0.7222787737846375, 'Y': 0.6220252513885498, 'Z': -0.029547378420829773}, {'X': 0.6831273436546326, 'Y': 0.5319634079933167, 'Z': -0.031404584646224976}, {'X': 0.6597102284431458, 'Y': 0.4494920074939728, 'Z': -0.03459945693612099}, {'X': 0.6335875988006592, 'Y': 0.39793190360069275, 'Z': -0.03393534943461418}, {'X': 0.7060322165489197, 'Y': 0.4043201208114624, 'Z': 0.02172680012881756}, {'X': 0.6929360032081604, 'Y': 0.3194475769996643, 'Z': 0.01467342022806406}, {'X': 0.6882002353668213, 'Y': 0.2616461515426636, 'Z': 0.0015170718543231487}, {'X': 0.6845001578330994, 'Y': 0.21534103155136108, 'Z': -0.009894870221614838}, {'X': 0.7416167855262756, 'Y': 0.3893488645553589, 'Z': 0.02040233463048935}, {'X': 0.7358160614967346, 'Y': 0.29502320289611816, 'Z': -0.0014180383877828717}, {'X': 0.7307244539260864, 'Y': 0.2661166787147522, 'Z': -0.0424610860645771}, {'X': 0.7265107035636902, 'Y': 0.2677091360092163, 'Z': -0.06800109148025513}, {'X': 0.7786380648612976, 'Y': 0.3928948640823364, 'Z': 0.012429418973624706}, {'X': 0.7790157794952393, 'Y': 0.298880010843277, 'Z': -0.017229394987225533}, {'X': 0.7688452005386353, 'Y': 0.3036317229270935, 'Z': -0.06321067363023758}, {'X': 0.7588523626327515, 'Y': 0.3384435474872589, 'Z': -0.08711397647857666}, {'X': 0.8161838054656982, 'Y': 0.4146285057067871, 'Z': 0.003993092104792595}, {'X': 0.8184025883674622, 'Y': 0.3430858552455902, 'Z': -0.017884431406855583}, {'X': 0.8130842447280884, 'Y': 0.29514265060424805, 'Z': -0.04703078791499138}, {'X': 0.8039754629135132, 'Y': 0.2645024359226227, 'Z': -0.06738284975290298}]
[{'X': 0.7733947038650513, 'Y': 0.6589885950088501, 'Z': -5.6853237765608355e-05}, {'X': 0.7183788418769836, 'Y': 0.6216644644737244, 'Z': -0.018304169178009033}, {'X': 0.6776695251464844, 'Y': 0.5366844534873962, 'Z': -0.015905015170574188}, {'X': 0.6565203666687012, 'Y': 0.45685696601867676, 'Z': -0.016992589458823204}, {'X': 0.6327340602874756, 'Y': 0.40037405490875244, 'Z': -0.017729757353663445}, {'X': 0.7019004821777344, 'Y': 0.4177905023097992, 'Z': 0.03435222804546356}, {'X': 0.6889925003051758, 'Y': 0.3288751244544983, 'Z': 0.029189182445406914}, {'X': 0.6809695959091187, 'Y': 0.2719511389732361, 'Z': 0.018812334164977074}, {'X': 0.6767960786819458, 'Y': 0.2308029979467392, 'Z': 0.009201088920235634}, {'X': 0.736922025680542, 'Y': 0.40017256140708923, 'Z': 0.030017588287591934}, {'X': 0.7314936518669128, 'Y': 0.2958478331565857, 'Z': 0.004963649902492762}, {'X': 0.7226241230964661, 'Y': 0.27327799797058105, 'Z': -0.03460456058382988}, {'X': 0.7210963368415833, 'Y': 0.2938339412212372, 'Z': -0.054166700690984726}, {'X': 0.772543728351593, 'Y': 0.3995073735713959, 'Z': 0.0179668590426445}, {'X': 0.7731775045394897, 'Y': 0.2919601798057556, 'Z': -0.008407661691308022}, {'X': 0.7625229358673096, 'Y': 0.2965611219406128, 'Z': -0.050895851105451584}, {'X': 0.7554574608802795, 'Y': 0.3421458601951599, 'Z': -0.07215772569179535}, {'X': 0.809916615486145, 'Y': 0.41874268651008606, 'Z': 0.006060084328055382}, {'X': 0.8120824694633484, 'Y': 0.33835142850875854, 'Z': -0.018797889351844788}, {'X': 0.8020447492599487, 'Y': 0.3099563717842102, 'Z': -0.050796281546354294}, {'X': 0.7923833727836609, 'Y': 0.31826263666152954, 'Z': -0.07379534095525742}]
[{'X': 0.7732526659965515, 'Y': 0.6464182138442993, 'Z': -4.494511449593119e-05}, {'X': 0.7195061445236206, 'Y': 0.6180899143218994, 'Z': -0.02634042128920555}, {'X': 0.6790722012519836, 'Y': 0.538311243057251, 'Z': -0.022679191082715988}, {'X': 0.6568982005119324, 'Y': 0.462738037109375, 'Z': -0.02224375680088997}, {'X': 0.6336528062820435, 'Y': 0.40806305408477783, 'Z': -0.024062039330601692}, {'X': 0.7020583152770996, 'Y': 0.41814661026000977, 'Z': 0.03945998102426529}, {'X': 0.6878432035446167, 'Y': 0.3331161141395569, 'Z': 0.037122972309589386}, {'X': 0.6795987486839294, 'Y': 0.2761608958244324, 'Z': 0.02539740689098835}, {'X': 0.6759763360023499, 'Y': 0.23260541260242462, 'Z': 0.013639798387885094}, {'X': 0.7359685897827148, 'Y': 0.40216124057769775, 'Z': 0.037803519517183304}, {'X': 0.7296321988105774, 'Y': 0.3009865880012512, 'Z': 0.010902542620897293}, {'X': 0.720805287361145, 'Y': 0.28459078073501587, 'Z': -0.03683212772011757}, {'X': 0.7194080352783203, 'Y': 0.30676501989364624, 'Z': -0.06106017902493477}, {'X': 0.7695536017417908, 'Y': 0.40015509724617004, 'Z': 0.027788901701569557}, {'X': 0.7678404450416565, 'Y': 0.29445764422416687, 'Z': -0.0038895984180271626}, {'X': 0.7566134929656982, 'Y': 0.3089066743850708, 'Z': -0.054531555622816086}, {'X': 0.7501224875450134, 'Y': 0.3610592782497406, 'Z': -0.07942862063646317}, {'X': 0.8054836988449097, 'Y': 0.41636818647384644, 'Z': 0.016587048768997192}, {'X': 0.8067255020141602, 'Y': 0.3379029631614685, 'Z': -0.013628100045025349}, {'X': 0.794130802154541, 'Y': 0.31790852546691895, 'Z': -0.05028523504734039}, {'X': 0.7828043103218079, 'Y': 0.3332477807998657, 'Z': -0.07473427057266235}]
[{'X': 0.7770727872848511, 'Y': 0.6563524603843689, 'Z': -4.3271033064229414e-05}, {'X': 0.7186815738677979, 'Y': 0.6165100336074829, 'Z': -0.01170132402330637}, {'X': 0.6781245470046997, 'Y': 0.5310943126678467, 'Z': 0.0010919125052168965}, {'X': 0.6565747261047363, 'Y': 0.4574703574180603, 'Z': 0.00813234131783247}, {'X': 0.6352174282073975, 'Y': 0.40765637159347534, 'Z': 0.013559906743466854}, {'X': 0.7065174579620361, 'Y': 0.4160839915275574, 'Z': 0.06178489327430725}, {'X': 0.6932550668716431, 'Y': 0.3237878084182739, 'Z': 0.06644782423973083}, {'X': 0.6852601170539856, 'Y': 0.26657605171203613, 'Z': 0.05826333537697792}, {'X': 0.6823483109474182, 'Y': 0.2231939285993576, 'Z': 0.0489189513027668}, {'X': 0.738075315952301, 'Y': 0.40108245611190796, 'Z': 0.055262040346860886}, {'X': 0.7290155291557312, 'Y': 0.2998281419277191, 'Z': 0.031013116240501404}, {'X': 0.7193140387535095, 'Y': 0.294838011264801, 'Z': -0.010860546492040157}, {'X': 0.7184824347496033, 'Y': 0.3275136351585388, 'Z': -0.030212461948394775}, {'X': 0.7701961398124695, 'Y': 0.397494912147522, 'Z': 0.03957078605890274}, {'X': 0.7660297751426697, 'Y': 0.29581379890441895, 'Z': 0.008795632049441338}, {'X': 0.7562322020530701, 'Y': 0.3228939473628998, 'Z': -0.039818279445171356}, {'X': 0.7524965405464172, 'Y': 0.3856857419013977, 'Z': -0.06118357181549072}, {'X': 0.8061341047286987, 'Y': 0.4089866578578949, 'Z': 0.02523016184568405}, {'X': 0.8046650290489197, 'Y': 0.32391735911369324, 'Z': -0.005057957023382187}, {'X': 0.7929651737213135, 'Y': 0.32072049379348755, 'Z': -0.04037206992506981}, {'X': 0.7850728034973145, 'Y': 0.3544839918613434, 'Z': -0.060853175818920135}]
[{'X': 0.7770963311195374, 'Y': 0.6606237888336182, 'Z': -4.8244350182358176e-05}, {'X': 0.7188584804534912, 'Y': 0.61485356092453, 'Z': -0.0043237959034740925}, {'X': 0.6794737577438354, 'Y': 0.5258575677871704, 'Z': 0.006849176716059446}, {'X': 0.6586666107177734, 'Y': 0.453266978263855, 'Z': 0.011088564991950989}, {'X': 0.6342421174049377, 'Y': 0.40861672163009644, 'Z': 0.015929238870739937}, {'X': 0.7061264514923096, 'Y': 0.41210195422172546, 'Z': 0.06473090499639511}, {'X': 0.6946644186973572, 'Y': 0.3207981586456299, 'Z': 0.07305449992418289}, {'X': 0.6854246258735657, 'Y': 0.2631600797176361, 'Z': 0.06998657435178757}, {'X': 0.679792046546936, 'Y': 0.21574732661247253, 'Z': 0.06442411988973618}, {'X': 0.7378737926483154, 'Y': 0.3966943919658661, 'Z': 0.05221518501639366}, {'X': 0.7285106778144836, 'Y': 0.2957666218280792, 'Z': 0.025798246264457703}, {'X': 0.7183110117912292, 'Y': 0.31113487482070923, 'Z': -0.00676597049459815}, {'X': 0.7157114744186401, 'Y': 0.3501388728618622, 'Z': -0.02059086039662361}, {'X': 0.770153820514679, 'Y': 0.3943033814430237, 'Z': 0.03155237436294556}, {'X': 0.7633885741233826, 'Y': 0.3036990165710449, 'Z': -0.007862847298383713}, {'X': 0.7557513117790222, 'Y': 0.37012434005737305, 'Z': -0.0493457093834877}, {'X': 0.7543477416038513, 'Y': 0.4499428868293762, 'Z': -0.06276760250329971}, {'X': 0.8074691891670227, 'Y': 0.4045514762401581, 'Z': 0.013924676924943924}, {'X': 0.7974333763122559, 'Y': 0.318724662065506, 'Z': -0.01621876284480095}, {'X': 0.7852421402931213, 'Y': 0.3403410315513611, 'Z': -0.040662214159965515}, {'X': 0.7803831696510315, 'Y': 0.3861325681209564, 'Z': -0.05239972472190857}]
[{'X': 0.7770582437515259, 'Y': 0.6592056751251221, 'Z': -2.44899947574595e-05}, {'X': 0.7167138457298279, 'Y': 0.6208441257476807, 'Z': -0.015586896799504757}, {'X': 0.6778349280357361, 'Y': 0.533279538154602, 'Z': -0.008255322463810444}, {'X': 0.6570692658424377, 'Y': 0.45637643337249756, 'Z': -0.0051253787241876125}, {'X': 0.6329280734062195, 'Y': 0.41121000051498413, 'Z': -0.0009885753970593214}, {'X': 0.7017806172370911, 'Y': 0.4193878173828125, 'Z': 0.047147538512945175}, {'X': 0.6919693350791931, 'Y': 0.32779693603515625, 'Z': 0.0460936576128006}, {'X': 0.6861931681632996, 'Y': 0.2723584771156311, 'Z': 0.039015814661979675}, {'X': 0.6813597679138184, 'Y': 0.22121569514274597, 'Z': 0.03480949625372887}, {'X': 0.7353941798210144, 'Y': 0.40698355436325073, 'Z': 0.041609641164541245}, {'X': 0.729097843170166, 'Y': 0.3087444305419922, 'Z': 0.006711160764098167}, {'X': 0.7230556011199951, 'Y': 0.3259454071521759, 'Z': -0.02846698835492134}, {'X': 0.7212599515914917, 'Y': 0.357726514339447, 'Z': -0.03990909084677696}, {'X': 0.769487202167511, 'Y': 0.4069698452949524, 'Z': 0.027669131755828857}, {'X': 0.7677246332168579, 'Y': 0.3332381248474121, 'Z': -0.01975657232105732}, {'X': 0.7627143859863281, 'Y': 0.41075825691223145, 'Z': -0.05812564492225647}, {'X': 0.7620516419410706, 'Y': 0.48921138048171997, 'Z': -0.06315267086029053}, {'X': 0.8079023957252502, 'Y': 0.42204537987709045, 'Z': 0.016096891835331917}, {'X': 0.8022065162658691, 'Y': 0.34036320447921753, 'Z': -0.007774667348712683}, {'X': 0.789953887462616, 'Y': 0.342165470123291, 'Z': -0.022065982222557068}, {'X': 0.7833542227745056, 'Y': 0.3621164858341217, 'Z': -0.021917646750807762}]
