[{'X': 0.7041516304016113, 'Y': 0.7275893688201904, 'Z': -2.192238753195852e-05}, {'X': 0.6563163995742798, 'Y': 0.7101474404335022, 'Z': -0.01889527402818203}, {'X': 0.6148694753646851, 'Y': 0.6451805830001831, 'Z': -0.025154830887913704}, {'X': 0.5872147679328918, 'Y': 0.5867498517036438, 'Z': -0.03320120647549629}, {'X': 0.562052309513092, 'Y': 0.5487398505210876, 'Z': -0.04315873235464096}, {'X': 0.6449418663978577, 'Y': 0.5241448283195496, 'Z': 0.021132295951247215}, {'X': 0.6396633386611938, 'Y': 0.44670766592025757, 'Z': 0.019098466262221336}, {'X': 0.6391217708587646, 'Y': 0.3963940143585205, 'Z': 0.007142315618693829}, {'X': 0.640123724937439, 'Y': 0.3479293882846832, 'Z': -0.004675077740103006}, {'X': 0.6711030006408691, 'Y': 0.5158394575119019, 'Z': 0.019191375002264977}, {'X': 0.6645320057868958, 'Y': 0.42363062500953674, 'Z': 0.022843586280941963}, {'X': 0.6630753874778748, 'Y': 0.36701375246047974, 'Z': 0.009380246512591839}, {'X': 0.6626647710800171, 'Y': 0.3164745569229126, 'Z': 1.5694864487159066e-05}, {'X': 0.6989162564277649, 'Y': 0.5195091366767883, 'Z': 0.013238770887255669}, {'X': 0.6925738453865051, 'Y': 0.4307999014854431, 'Z': 0.014170617796480656}, {'X': 0.6879513263702393, 'Y': 0.37817227840423584, 'Z': 0.0006742326077073812}, {'X': 0.6849128603935242, 'Y': 0.3307744264602661, 'Z': -0.00879790261387825}, {'X': 0.7292340397834778, 'Y': 0.5363762378692627, 'Z': 0.004359421785920858}, {'X': 0.7238143682479858, 'Y': 0.46969687938690186, 'Z': 0.0003874695103149861}, {'X': 0.7187603116035461, 'Y': 0.42808884382247925, 'Z': -0.007788922172039747}, {'X': 0.7126610279083252, 'Y': 0.38704901933670044, 'Z': -0.013714124448597431}]
[{'X': 0.7031143307685852, 'Y': 0.7253686189651489, 'Z': -3.2374260626966134e-05}, {'X': 0.6555609703063965, 'Y': 0.7082692980766296, 'Z': -0.01850048638880253}, {'X': 0.6150334477424622, 'Y': 0.6424526572227478, 'Z': -0.025606650859117508}, {'X': 0.5878956317901611, 'Y': 0.5829032063484192, 'Z': -0.03466743230819702}, {'X': 0.5616961717605591, 'Y': 0.5446130633354187, 'Z': -0.046406157314777374}, {'X': 0.6439061760902405, 'Y': 0.5211185812950134, 'Z': 0.02014075219631195}, {'X': 0.6387275457382202, 'Y': 0.44432851672172546, 'Z': 0.017146944999694824}, {'X': 0.6382309794425964, 'Y': 0.3945344388484955, 'Z': 0.0050138141959905624}, {'X': 0.6389915347099304, 'Y': 0.3473285436630249, 'Z': -0.007098582573235035}, {'X': 0.6705310344696045, 'Y': 0.5112894773483276, 'Z': 0.017667001113295555}, {'X': 0.6636314988136292, 'Y': 0.4202020764350891, 'Z': 0.021050510928034782}, {'X': 0.6610177755355835, 'Y': 0.3633876442909241, 'Z': 0.008314711041748524}, {'X': 0.659363329410553, 'Y': 0.3136013150215149, 'Z': -0.0006126817897893488}, {'X': 0.6993792653083801, 'Y': 0.5145080089569092, 'Z': 0.011256953701376915}, {'X': 0.6924046277999878, 'Y': 0.42666304111480713, 'Z': 0.011511063203215599}, {'X': 0.6865969300270081, 'Y': 0.37473174929618835, 'Z': -0.0018636912573128939}, {'X': 0.6824114918708801, 'Y': 0.3282797336578369, 'Z': -0.01089624036103487}, {'X': 0.7307851314544678, 'Y': 0.5317167639732361, 'Z': 0.0019708899781107903}, {'X': 0.7246114611625671, 'Y': 0.4641369879245758, 'Z': -0.0024141676258295774}, {'X': 0.7182012796401978, 'Y': 0.4222848117351532, 'Z': -0.011063805781304836}, {'X': 0.7105146646499634, 'Y': 0.38168323040008545, 'Z': -0.01761924847960472}]
[{'X': 0.7036155462265015, 'Y': 0.7157365083694458, 'Z': -3.265706982347183e-05}, {'X': 0.657310426235199, 'Y': 0.7019870281219482, 'Z': -0.025972682982683182}, {'X': 0.6163426637649536, 'Y': 0.6372783184051514, 'Z': -0.036414455622434616}, {'X': 0.5897759795188904, 'Y': 0.5743861198425293, 'Z': -0.048093441873788834}, {'X': 0.5650414824485779, 'Y': 0.5291366577148438, 'Z': -0.061834365129470825}, {'X': 0.6438575983047485, 'Y': 0.5169069766998291, 'Z': 0.015140651725232601}, {'X': 0.6393534541130066, 'Y': 0.4378364682197571, 'Z': 0.010612593963742256}, {'X': 0.6398126482963562, 'Y': 0.3861265778541565, 'Z': -0.002695542061701417}, {'X': 0.6405068635940552, 'Y': 0.337219774723053, 'Z': -0.01601439155638218}, {'X': 0.6712263226509094, 'Y': 0.5059182047843933, 'Z': 0.01575520448386669}, {'X': 0.6649061441421509, 'Y': 0.41474461555480957, 'Z': 0.017596535384655}, {'X': 0.6634100675582886, 'Y': 0.3577607274055481, 'Z': 0.0015237797051668167}, {'X': 0.662135124206543, 'Y': 0.30768993496894836, 'Z': -0.01148836687207222}, {'X': 0.7004820704460144, 'Y': 0.5086812973022461, 'Z': 0.011732464656233788}, {'X': 0.6936015486717224, 'Y': 0.4208284020423889, 'Z': 0.010426764376461506}, {'X': 0.6885391473770142, 'Y': 0.36841320991516113, 'Z': -0.006294024642556906}, {'X': 0.684572696685791, 'Y': 0.3224208950996399, 'Z': -0.018993742763996124}, {'X': 0.7325326204299927, 'Y': 0.5255181789398193, 'Z': 0.0045895823277533054}, {'X': 0.7263745069503784, 'Y': 0.4574573338031769, 'Z': -0.0009570834808982909}, {'X': 0.7193827629089355, 'Y': 0.41652071475982666, 'Z': -0.010250159539282322}, {'X': 0.7111356854438782, 'Y': 0.37761563062667847, 'Z': -0.018358862027525902}]
[{'X': 0.7033373713493347, 'Y': 0.7312027215957642, 'Z': -3.406651740078814e-05}, {'X': 0.6512956023216248, 'Y': 0.708458423614502, 'Z': -0.018834641203284264}, {'X': 0.6136593818664551, 'Y': 0.6408868432044983, 'Z': -0.02450667694211006}, {'X': 0.5926214456558228, 'Y': 0.5766779780387878, 'Z': -0.0323137603700161}, {'X': 0.5740687251091003, 'Y': 0.5291749835014343, 'Z': -0.04204835370182991}, {'X': 0.6436483860015869, 'Y': 0.5245733261108398, 'Z': 0.023064224049448967}, {'X': 0.6387803554534912, 'Y': 0.44572848081588745, 'Z': 0.019433459267020226}, {'X': 0.6377866268157959, 'Y': 0.3940352201461792, 'Z': 0.0054971594363451}, {'X': 0.638247549533844, 'Y': 0.3437056243419647, 'Z': -0.007477703038603067}, {'X': 0.6700636744499207, 'Y': 0.5166693925857544, 'Z': 0.020210856571793556}, {'X': 0.6640846133232117, 'Y': 0.42248573899269104, 'Z': 0.02503865398466587}, {'X': 0.6642094254493713, 'Y': 0.36234480142593384, 'Z': 0.011224016547203064}, {'X': 0.6648604273796082, 'Y': 0.30952754616737366, 'Z': 0.0016592908650636673}, {'X': 0.6976472735404968, 'Y': 0.5200321078300476, 'Z': 0.012293201871216297}, {'X': 0.6924537420272827, 'Y': 0.4303189516067505, 'Z': 0.014860288240015507}, {'X': 0.6886260509490967, 'Y': 0.3734302818775177, 'Z': 0.0020537362433969975}, {'X': 0.6851516962051392, 'Y': 0.32354795932769775, 'Z': -0.007677938789129257}, {'X': 0.7272147536277771, 'Y': 0.5357656478881836, 'Z': 0.001510918722487986}, {'X': 0.7222619652748108, 'Y': 0.46850526332855225, 'Z': -0.0015504377661272883}, {'X': 0.7178705930709839, 'Y': 0.424430787563324, 'Z': -0.009544051252305508}, {'X': 0.7119198441505432, 'Y': 0.38153332471847534, 'Z': -0.015657437965273857}]
[{'X': 0.7047908902168274, 'Y': 0.7310311794281006, 'Z': -4.9867383495438844e-05}, {'X': 0.6543325185775757, 'Y': 0.7125228643417358, 'Z': -0.019509047269821167}, {'X': 0.6174941062927246, 'Y': 0.6442016363143921, 'Z': -0.0255289264023304}, {'X': 0.6028761863708496, 'Y': 0.5724390745162964, 'Z': -0.03357008099555969}, {'X': 0.5937409996986389, 'Y': 0.5165735483169556, 'Z': -0.04208371788263321}, {'X': 0.6422990560531616, 'Y': 0.5316092371940613, 'Z': 0.02486187033355236}, {'X': 0.6355574131011963, 'Y': 0.4533268213272095, 'Z': 0.024815542623400688}, {'X': 0.6353744864463806, 'Y': 0.4015190005302429, 'Z': 0.014171181246638298}, {'X': 0.6358070969581604, 'Y': 0.3540935814380646, 'Z': 0.003607829799875617}, {'X': 0.6700047254562378, 'Y': 0.5186370611190796, 'Z': 0.024623354896903038}, {'X': 0.6627444624900818, 'Y': 0.4269300103187561, 'Z': 0.034184686839580536}, {'X': 0.6619450449943542, 'Y': 0.37005895376205444, 'Z': 0.024056024849414825}, {'X': 0.6612722277641296, 'Y': 0.320215106010437, 'Z': 0.015909343957901}, {'X': 0.69865483045578, 'Y': 0.5207340717315674, 'Z': 0.019339412450790405}, {'X': 0.6905770897865295, 'Y': 0.4332200884819031, 'Z': 0.025609295815229416}, {'X': 0.6857337951660156, 'Y': 0.3796254098415375, 'Z': 0.013178286142647266}, {'X': 0.6816518306732178, 'Y': 0.3333547115325928, 'Z': 0.0030854488722980022}, {'X': 0.7290807366371155, 'Y': 0.536531388759613, 'Z': 0.011386596597731113}, {'X': 0.7216174006462097, 'Y': 0.46975672245025635, 'Z': 0.010571558959782124}, {'X': 0.7153709530830383, 'Y': 0.42746400833129883, 'Z': 0.003064955584704876}, {'X': 0.7075412273406982, 'Y': 0.38800740242004395, 'Z': -0.00384809379465878}]
[{'X': 0.699729323387146, 'Y': 0.7162702083587646, 'Z': -5.13600098202005e-05}, {'X': 0.6493542194366455, 'Y': 0.7036895751953125, 'Z': -0.026378221809864044}, {'X': 0.6128614544868469, 'Y': 0.6344184875488281, 'Z': -0.0338812991976738}, {'X': 0.6032854318618774, 'Y': 0.5578640103340149, 'Z': -0.04226958379149437}, {'X': 0.6104752421379089, 'Y': 0.49597111344337463, 'Z': -0.05085022374987602}, {'X': 0.6365348100662231, 'Y': 0.540199339389801, 'Z': 0.023430077359080315}, {'X': 0.6330597400665283, 'Y': 0.45962220430374146, 'Z': 0.015318911522626877}, {'X': 0.6344889998435974, 'Y': 0.4057776629924774, 'Z': 0.001134548569098115}, {'X': 0.6371288895606995, 'Y': 0.35794928669929504, 'Z': -0.01279386505484581}, {'X': 0.664243757724762, 'Y': 0.5258082747459412, 'Z': 0.022566702216863632}, {'X': 0.6601197123527527, 'Y': 0.43734264373779297, 'Z': 0.02369232475757599}, {'X': 0.6598823666572571, 'Y': 0.3736306428909302, 'Z': 0.00843918789178133}, {'X': 0.6598392724990845, 'Y': 0.31916525959968567, 'Z': -0.0019553788006305695}, {'X': 0.6931131482124329, 'Y': 0.5254768133163452, 'Z': 0.014339744113385677}, {'X': 0.687057375907898, 'Y': 0.4392330050468445, 'Z': 0.012391348369419575}, {'X': 0.6830848455429077, 'Y': 0.38324999809265137, 'Z': -0.003066187258809805}, {'X': 0.6805578470230103, 'Y': 0.3355848789215088, 'Z': -0.01494582649320364}, {'X': 0.7229693531990051, 'Y': 0.5389006733894348, 'Z': 0.002405836945399642}, {'X': 0.7174677848815918, 'Y': 0.47399136424064636, 'Z': -0.004695195239037275}, {'X': 0.7118179202079773, 'Y': 0.42787614464759827, 'Z': -0.014292626641690731}, {'X': 0.705641508102417, 'Y': 0.3845669627189636, 'Z': -0.0211567934602499}]
[{'X': 0.7008776068687439, 'Y': 0.7096461653709412, 'Z': -4.183006603852846e-05}, {'X': 0.6523941159248352, 'Y': 0.6895573139190674, 'Z': -0.0151235805824399}, {'X': 0.6176115870475769, 'Y': 0.6137831807136536, 'Z': -0.01286755595356226}, {'X': 0.6207957863807678, 'Y': 0.5388900637626648, 'Z': -0.011170993559062481}, {'X': 0.6447603702545166, 'Y': 0.5051782727241516, 'Z': -0.008344143629074097}, {'X': 0.6410073637962341, 'Y': 0.5356969237327576, 'Z': 0.031004447489976883}, {'X': 0.6339539289474487, 'Y': 0.46025633811950684, 'Z': 0.018601248040795326}, {'X': 0.6325793862342834, 'Y': 0.4079655408859253, 'Z': 0.0031615786720067263}, {'X': 0.6334354877471924, 'Y': 0.36128509044647217, 'Z': -0.006999798119068146}, {'X': 0.6666609048843384, 'Y': 0.5206864476203918, 'Z': 0.027839476242661476}, {'X': 0.661016047000885, 'Y': 0.4355921447277069, 'Z': 0.022440357133746147}, {'X': 0.6594728231430054, 'Y': 0.37344521284103394, 'Z': 0.007822060026228428}, {'X': 0.6579082012176514, 'Y': 0.32158803939819336, 'Z': 0.0009607935789972544}, {'X': 0.6942864656448364, 'Y': 0.522010862827301, 'Z': 0.018257150426506996}, {'X': 0.689128577709198, 'Y': 0.4369109272956848, 'Z': 0.012414932250976562}, {'X': 0.6834357976913452, 'Y': 0.38407665491104126, 'Z': -0.0021640064660459757}, {'X': 0.6788370013237, 'Y': 0.33710572123527527, 'Z': -0.010082672350108624}, {'X': 0.724311351776123, 'Y': 0.5367763042449951, 'Z': 0.0059862579219043255}, {'X': 0.7211214900016785, 'Y': 0.47120553255081177, 'Z': -0.00524938153102994}, {'X': 0.7156040072441101, 'Y': 0.4232832193374634, 'Z': -0.016527200117707253}, {'X': 0.7072558999061584, 'Y': 0.3767578899860382, 'Z': -0.02285352721810341}]
[{'X': 0.7041246294975281, 'Y': 0.7039636373519897, 'Z': -3.4604228858370334e-05}, {'X': 0.6571317911148071, 'Y': 0.6786532402038574, 'Z': -0.017554542049765587}, {'X': 0.6268265247344971, 'Y': 0.5993016958236694, 'Z': -0.013578714802861214}, {'X': 0.6429415941238403, 'Y': 0.5241621136665344, 'Z': -0.009259569458663464}, {'X': 0.6717955470085144, 'Y': 0.4970115125179291, 'Z': -0.0013027573004364967}, {'X': 0.6430808901786804, 'Y': 0.533149003982544, 'Z': 0.035175640136003494}, {'X': 0.6351874470710754, 'Y': 0.46081846952438354, 'Z': 0.022857559844851494}, {'X': 0.6334564685821533, 'Y': 0.412547767162323, 'Z': 0.010073439218103886}, {'X': 0.6335320472717285, 'Y': 0.3686630129814148, 'Z': 0.0032305556815117598}, {'X': 0.6685750484466553, 'Y': 0.5170740485191345, 'Z': 0.03319219872355461}, {'X': 0.6612644195556641, 'Y': 0.43742942810058594, 'Z': 0.027748610824346542}, {'X': 0.6582145094871521, 'Y': 0.38078534603118896, 'Z': 0.012107059359550476}, {'X': 0.6561806797981262, 'Y': 0.33404049277305603, 'Z': 0.006611586548388004}, {'X': 0.6952400803565979, 'Y': 0.5180096626281738, 'Z': 0.02426740899682045}, {'X': 0.6900168061256409, 'Y': 0.43707093596458435, 'Z': 0.01705734059214592}, {'X': 0.6836388111114502, 'Y': 0.38530728220939636, 'Z': -0.0017938772216439247}, {'X': 0.67924964427948, 'Y': 0.33876273036003113, 'Z': -0.010151322931051254}, {'X': 0.7243744730949402, 'Y': 0.5343860387802124, 'Z': 0.012178604491055012}, {'X': 0.7200049161911011, 'Y': 0.4712304174900055, 'Z': 0.00036114477552473545}, {'X': 0.7121670246124268, 'Y': 0.4266202747821808, 'Z': -0.011790421791374683}, {'X': 0.7029238343238831, 'Y': 0.3842693567276001, 'Z': -0.016658470034599304}]
[{'X': 0.7057984471321106, 'Y': 0.7104237079620361, 'Z': -4.409297616803087e-05}, {'X': 0.6587157249450684, 'Y': 0.6765081882476807, 'Z': -0.016638414934277534}, {'X': 0.6308354735374451, 'Y': 0.5973084568977356, 'Z': -0.011080235242843628}, {'X': 0.6476535201072693, 'Y': 0.5229565501213074, 'Z': -0.006066144444048405}, {'X': 0.6759063005447388, 'Y': 0.4931039810180664, 'Z': 0.0018474782118573785}, {'X': 0.6442567110061646, 'Y': 0.5385656356811523, 'Z': 0.04132654890418053}, {'X': 0.6353949904441833, 'Y': 0.46636220812797546, 'Z': 0.030534621328115463}, {'X': 0.6333982944488525, 'Y': 0.4181058704853058, 'Z': 0.019297104328870773}, {'X': 0.6326386332511902, 'Y': 0.3736880421638489, 'Z': 0.013606437481939793}, {'X': 0.6693442463874817, 'Y': 0.5242812037467957, 'Z': 0.039493490010499954}, {'X': 0.6622546911239624, 'Y': 0.4454113245010376, 'Z': 0.03594674542546272}, {'X': 0.6590234041213989, 'Y': 0.38758155703544617, 'Z': 0.020272286608815193}, {'X': 0.656196117401123, 'Y': 0.3394995331764221, 'Z': 0.015202105976641178}, {'X': 0.696060299873352, 'Y': 0.5246671438217163, 'Z': 0.029826052486896515}, {'X': 0.6910721659660339, 'Y': 0.44355508685112, 'Z': 0.024937937036156654}, {'X': 0.6844133734703064, 'Y': 0.3904980719089508, 'Z': 0.0054394700564444065}, {'X': 0.6791634559631348, 'Y': 0.34321287274360657, 'Z': -0.004272803198546171}, {'X': 0.7252649664878845, 'Y': 0.5393785238265991, 'Z': 0.016923096030950546}, {'X': 0.7214494347572327, 'Y': 0.4761876165866852, 'Z': 0.006944558117538691}, {'X': 0.7133846879005432, 'Y': 0.42975491285324097, 'Z': -0.007080284412950277}, {'X': 0.7033196091651917, 'Y': 0.38572025299072266, 'Z': -0.013416140340268612}]
[{'X': 0.7036808133125305, 'Y': 0.7073144316673279, 'Z': -5.086685996502638e-05}, {'X': 0.6588886976242065, 'Y': 0.6760987639427185, 'Z': -0.015204144641757011}, {'X': 0.6308389902114868, 'Y': 0.6003732681274414, 'Z': -0.010708831250667572}, {'X': 0.6456241011619568, 'Y': 0.5270065069198608, 'Z': -0.007324880454689264}, {'X': 0.6741119027137756, 'Y': 0.4937433898448944, 'Z': -0.001390373334288597}, {'X': 0.6439788341522217, 'Y': 0.5422295331954956, 'Z': 0.03890788555145264}, {'X': 0.6357316374778748, 'Y': 0.47266238927841187, 'Z': 0.026066290214657784}, {'X': 0.6340161561965942, 'Y': 0.4243244528770447, 'Z': 0.013174867257475853}, {'X': 0.6333861947059631, 'Y': 0.3791998028755188, 'Z': 0.006497501395642757}, {'X': 0.6685604453086853, 'Y': 0.5280392169952393, 'Z': 0.035857751965522766}, {'X': 0.6622563600540161, 'Y': 0.4520794749259949, 'Z': 0.030920950695872307}, {'X': 0.6596185564994812, 'Y': 0.3933650851249695, 'Z': 0.014455831609666348}, {'X': 0.6567598581314087, 'Y': 0.3429110646247864, 'Z': 0.008752471767365932}, {'X': 0.6952380537986755, 'Y': 0.5282817482948303, 'Z': 0.025312049314379692}, {'X': 0.6906918287277222, 'Y': 0.4489540457725525, 'Z': 0.018695196136832237}, {'X': 0.6850214004516602, 'Y': 0.3971197009086609, 'Z': 0.0008714766008779407}, {'X': 0.6804080605506897, 'Y': 0.34976011514663696, 'Z': -0.008393397554755211}, {'X': 0.7243863940238953, 'Y': 0.542064368724823, 'Z': 0.012136527337133884}, {'X': 0.7215107083320618, 'Y': 0.4801711440086365, 'Z': 0.0017125919694080949}, {'X': 0.7146785259246826, 'Y': 0.4341612458229065, 'Z': -0.010988263413310051}, {'X': 0.7059622406959534, 'Y': 0.38979360461235046, 'Z': -0.016419099643826485}]
[{'X': 0.7060934901237488, 'Y': 0.7178349494934082, 'Z': -6.958754238439724e-05}, {'X': 0.6578596234321594, 'Y': 0.679378867149353, 'Z': -0.01316306833177805}, {'X': 0.6292024254798889, 'Y': 0.5983650088310242, 'Z': -0.006872160360217094}, {'X': 0.643799901008606, 'Y': 0.5228424668312073, 'Z': -0.001990924123674631}, {'X': 0.6726676821708679, 'Y': 0.4895206689834595, 'Z': 0.004733352456241846}, {'X': 0.6427100300788879, 'Y': 0.5458229780197144, 'Z': 0.043191857635974884}, {'X': 0.6340892910957336, 'Y': 0.4755690097808838, 'Z': 0.030906783416867256}, {'X': 0.6318681240081787, 'Y': 0.42768698930740356, 'Z': 0.019838811829686165}, {'X': 0.6303598880767822, 'Y': 0.3817477822303772, 'Z': 0.01570868492126465}, {'X': 0.666280210018158, 'Y': 0.5340763330459595, 'Z': 0.04077165946364403}, {'X': 0.6600598096847534, 'Y': 0.4550885856151581, 'Z': 0.0383373387157917}, {'X': 0.6566370129585266, 'Y': 0.3966466784477234, 'Z': 0.02402479760348797}, {'X': 0.6522036194801331, 'Y': 0.34570974111557007, 'Z': 0.019554097205400467}, {'X': 0.6932199001312256, 'Y': 0.5344123840332031, 'Z': 0.030252713710069656}, {'X': 0.6889832615852356, 'Y': 0.453148752450943, 'Z': 0.025722561404109}, {'X': 0.6825850009918213, 'Y': 0.40152084827423096, 'Z': 0.009258429519832134}, {'X': 0.6760749816894531, 'Y': 0.3542226552963257, 'Z': 0.0002282307541463524}, {'X': 0.7233075499534607, 'Y': 0.5473589301109314, 'Z': 0.017063161358237267}, {'X': 0.7206525802612305, 'Y': 0.4842318892478943, 'Z': 0.01013240683823824}, {'X': 0.7135399580001831, 'Y': 0.43591687083244324, 'Z': -0.0022402096074074507}, {'X': 0.7032771706581116, 'Y': 0.38840922713279724, 'Z': -0.00845128484070301}]
