[{'X': 0.6941049695014954, 'Y': 0.7438925504684448, 'Z': -6.35616306681186e-05}, {'X': 0.6443010568618774, 'Y': 0.7389088869094849, 'Z': -0.025896623730659485}, {'X': 0.6021331548690796, 'Y': 0.6745139956474304, 'Z': -0.03889692947268486}, {'X': 0.5750359892845154, 'Y': 0.6102621555328369, 'Z': -0.05495400354266167}, {'X': 0.5469583868980408, 'Y': 0.5627049207687378, 'Z': -0.07540084421634674}, {'X': 0.6300347447395325, 'Y': 0.5410879850387573, 'Z': 0.01531082671135664}, {'X': 0.6240305304527283, 'Y': 0.4536048173904419, 'Z': 0.00854149367660284}, {'X': 0.6232373714447021, 'Y': 0.3960530161857605, 'Z': -0.00812031514942646}, {'X': 0.6235434412956238, 'Y': 0.34145066142082214, 'Z': -0.022575946524739265}, {'X': 0.6594962477684021, 'Y': 0.5272995829582214, 'Z': 0.013041362166404724}, {'X': 0.6533627510070801, 'Y': 0.4288652539253235, 'Z': 0.011377306655049324}, {'X': 0.6505204439163208, 'Y': 0.36399349570274353, 'Z': -0.009886306710541248}, {'X': 0.6488081812858582, 'Y': 0.3089972138404846, 'Z': -0.0262843519449234}, {'X': 0.6914337873458862, 'Y': 0.5314703583717346, 'Z': 0.005938095506280661}, {'X': 0.68415367603302, 'Y': 0.4353627562522888, 'Z': 0.0034377537667751312}, {'X': 0.6780254244804382, 'Y': 0.376800000667572, 'Z': -0.017620595172047615}, {'X': 0.6724500060081482, 'Y': 0.32642829418182373, 'Z': -0.03259357437491417}, {'X': 0.7264721989631653, 'Y': 0.5519685745239258, 'Z': -0.00510363606736064}, {'X': 0.7196015119552612, 'Y': 0.47693854570388794, 'Z': -0.010980256833136082}, {'X': 0.7118712067604065, 'Y': 0.42947036027908325, 'Z': -0.022644245997071266}, {'X': 0.702063798904419, 'Y': 0.38466066122055054, 'Z': -0.0327189564704895}]
[{'X': 0.6940537095069885, 'Y': 0.7499769926071167, 'Z': -8.028357842704281e-05}, {'X': 0.6447454690933228, 'Y': 0.7401787042617798, 'Z': -0.022952115163207054}, {'X': 0.602351188659668, 'Y': 0.6740199327468872, 'Z': -0.03406958654522896}, {'X': 0.5754539966583252, 'Y': 0.6090452075004578, 'Z': -0.04731813445687294}, {'X': 0.5491185188293457, 'Y': 0.5615658164024353, 'Z': -0.0635903924703598}, {'X': 0.6323332190513611, 'Y': 0.5383386611938477, 'Z': 0.017479974776506424}, {'X': 0.6268994808197021, 'Y': 0.45089948177337646, 'Z': 0.011973562650382519}, {'X': 0.6258137226104736, 'Y': 0.39343205094337463, 'Z': -0.002833219012245536}, {'X': 0.6253466606140137, 'Y': 0.3388759195804596, 'Z': -0.01697687804698944}, {'X': 0.6614407896995544, 'Y': 0.5244792699813843, 'Z': 0.013669213280081749}, {'X': 0.6550992727279663, 'Y': 0.42517298460006714, 'Z': 0.013639568351209164}, {'X': 0.6518300175666809, 'Y': 0.3599892258644104, 'Z': -0.004555536899715662}, {'X': 0.649482786655426, 'Y': 0.30419597029685974, 'Z': -0.018312610685825348}, {'X': 0.6930286288261414, 'Y': 0.5289344191551208, 'Z': 0.004676975775510073}, {'X': 0.6856940984725952, 'Y': 0.4333410859107971, 'Z': 0.0028754903469234705}, {'X': 0.6792265176773071, 'Y': 0.37552493810653687, 'Z': -0.015816235914826393}, {'X': 0.6743336915969849, 'Y': 0.3254374861717224, 'Z': -0.029733343049883842}, {'X': 0.7275384664535522, 'Y': 0.55031818151474, 'Z': -0.007577257230877876}, {'X': 0.7209734916687012, 'Y': 0.47602248191833496, 'Z': -0.013997072353959084}, {'X': 0.7122067213058472, 'Y': 0.4284038245677948, 'Z': -0.026061920449137688}, {'X': 0.701829195022583, 'Y': 0.383415162563324, 'Z': -0.035916320979595184}]
[{'X': 0.6953760385513306, 'Y': 0.7510300278663635, 'Z': -7.648296741535887e-05}, {'X': 0.6461825370788574, 'Y': 0.7421236634254456, 'Z': -0.026390574872493744}, {'X': 0.6032350659370422, 'Y': 0.6762890815734863, 'Z': -0.038597580045461655}, {'X': 0.5761250257492065, 'Y': 0.6106691956520081, 'Z': -0.052019279450178146}, {'X': 0.550006628036499, 'Y': 0.5611038208007812, 'Z': -0.06770028173923492}, {'X': 0.6325450539588928, 'Y': 0.5391941666603088, 'Z': 0.01487015187740326}, {'X': 0.6274380087852478, 'Y': 0.45080801844596863, 'Z': 0.007085057441145182}, {'X': 0.6263753771781921, 'Y': 0.3933941721916199, 'Z': -0.009772778488695621}, {'X': 0.625650942325592, 'Y': 0.3386949598789215, 'Z': -0.025140853598713875}, {'X': 0.6615874171257019, 'Y': 0.5250551104545593, 'Z': 0.012520965188741684}, {'X': 0.6554446220397949, 'Y': 0.42521700263023376, 'Z': 0.010090185329318047}, {'X': 0.6522678732872009, 'Y': 0.36017948389053345, 'Z': -0.009228182956576347}, {'X': 0.6499077677726746, 'Y': 0.303366094827652, 'Z': -0.023480137810111046}, {'X': 0.6931731104850769, 'Y': 0.5290670990943909, 'Z': 0.004443741869181395}, {'X': 0.6856909990310669, 'Y': 0.43298667669296265, 'Z': 0.00033618442830629647}, {'X': 0.6795501112937927, 'Y': 0.37476956844329834, 'Z': -0.0190883819013834}, {'X': 0.6749441027641296, 'Y': 0.32322269678115845, 'Z': -0.033604465425014496}, {'X': 0.7278558015823364, 'Y': 0.5501033067703247, 'Z': -0.007090236525982618}, {'X': 0.7214363217353821, 'Y': 0.4751555025577545, 'Z': -0.014696774072945118}, {'X': 0.7130399942398071, 'Y': 0.42757347226142883, 'Z': -0.02698252908885479}, {'X': 0.7034325003623962, 'Y': 0.38238680362701416, 'Z': -0.03716116026043892}]
[{'X': 0.692942202091217, 'Y': 0.7461228370666504, 'Z': -6.076028512325138e-05}, {'X': 0.6448384523391724, 'Y': 0.7395212054252625, 'Z': -0.025975171476602554}, {'X': 0.6035659313201904, 'Y': 0.6758501529693604, 'Z': -0.037846650928258896}, {'X': 0.5777280926704407, 'Y': 0.6115038394927979, 'Z': -0.05222145467996597}, {'X': 0.5522726774215698, 'Y': 0.5625625252723694, 'Z': -0.07088460773229599}, {'X': 0.6326279044151306, 'Y': 0.5430535078048706, 'Z': 0.01832146756350994}, {'X': 0.6267193555831909, 'Y': 0.4548313617706299, 'Z': 0.011386483907699585}, {'X': 0.6254143714904785, 'Y': 0.3971526026725769, 'Z': -0.005425752140581608}, {'X': 0.6246395707130432, 'Y': 0.34314244985580444, 'Z': -0.02050231769680977}, {'X': 0.6612443923950195, 'Y': 0.5299619436264038, 'Z': 0.014583835378289223}, {'X': 0.6545385122299194, 'Y': 0.43063220381736755, 'Z': 0.0128718800842762}, {'X': 0.6516412496566772, 'Y': 0.3651686906814575, 'Z': -0.008382975123822689}, {'X': 0.649228036403656, 'Y': 0.3085610568523407, 'Z': -0.02461804635822773}, {'X': 0.692755937576294, 'Y': 0.5342719554901123, 'Z': 0.005263390485197306}, {'X': 0.6853001117706299, 'Y': 0.43861663341522217, 'Z': 0.002441601362079382}, {'X': 0.6788796186447144, 'Y': 0.37943679094314575, 'Z': -0.018134497106075287}, {'X': 0.6731637716293335, 'Y': 0.3274793028831482, 'Z': -0.03362011909484863}, {'X': 0.7276527285575867, 'Y': 0.5549624562263489, 'Z': -0.007666907273232937}, {'X': 0.7208259105682373, 'Y': 0.47923099994659424, 'Z': -0.015193267725408077}, {'X': 0.7120060324668884, 'Y': 0.4307631850242615, 'Z': -0.027221614494919777}, {'X': 0.7011998295783997, 'Y': 0.3851736783981323, 'Z': -0.037663813680410385}]
[{'X': 0.6944547891616821, 'Y': 0.7539687752723694, 'Z': -6.549189856741577e-05}, {'X': 0.6467451453208923, 'Y': 0.7461988925933838, 'Z': -0.02878757193684578}, {'X': 0.605186402797699, 'Y': 0.6795355677604675, 'Z': -0.04258701577782631}, {'X': 0.5803118348121643, 'Y': 0.6134184002876282, 'Z': -0.059240274131298065}, {'X': 0.55621337890625, 'Y': 0.5602248311042786, 'Z': -0.0790717676281929}, {'X': 0.633272111415863, 'Y': 0.5437049865722656, 'Z': 0.013785026967525482}, {'X': 0.6250631809234619, 'Y': 0.4572691321372986, 'Z': 0.008444704115390778}, {'X': 0.6225975751876831, 'Y': 0.4006305932998657, 'Z': -0.005324517376720905}, {'X': 0.6220797300338745, 'Y': 0.3485299348831177, 'Z': -0.017713062465190887}, {'X': 0.6622398495674133, 'Y': 0.5296908020973206, 'Z': 0.01334006804972887}, {'X': 0.6544991135597229, 'Y': 0.4309738874435425, 'Z': 0.01543815340846777}, {'X': 0.651237428188324, 'Y': 0.3682946562767029, 'Z': -0.0018022804288193583}, {'X': 0.6493819355964661, 'Y': 0.3142099678516388, 'Z': -0.014957765117287636}, {'X': 0.6930325627326965, 'Y': 0.5338662266731262, 'Z': 0.007369651924818754}, {'X': 0.6853388547897339, 'Y': 0.4384000301361084, 'Z': 0.009274490177631378}, {'X': 0.6785996556282043, 'Y': 0.380628764629364, 'Z': -0.009754312224686146}, {'X': 0.6731822490692139, 'Y': 0.3304815888404846, 'Z': -0.024939710274338722}, {'X': 0.7267869710922241, 'Y': 0.5546467900276184, 'Z': -0.0028438058216124773}, {'X': 0.7198833227157593, 'Y': 0.4799262583255768, 'Z': -0.0070560709573328495}, {'X': 0.711927592754364, 'Y': 0.4332083463668823, 'Z': -0.019176233559846878}, {'X': 0.7025531530380249, 'Y': 0.3897513747215271, 'Z': -0.030337583273649216}]
[{'X': 0.6958916783332825, 'Y': 0.7509138584136963, 'Z': -8.243145566666499e-05}, {'X': 0.645595133304596, 'Y': 0.742983877658844, 'Z': -0.033821236342191696}, {'X': 0.6071930527687073, 'Y': 0.6741300821304321, 'Z': -0.04864855110645294}, {'X': 0.5893189311027527, 'Y': 0.6023696660995483, 'Z': -0.06424113363027573}, {'X': 0.5738741159439087, 'Y': 0.5421388745307922, 'Z': -0.08107194304466248}, {'X': 0.631012499332428, 'Y': 0.5460960268974304, 'Z': 0.013070443645119667}, {'X': 0.623392641544342, 'Y': 0.46092888712882996, 'Z': 0.004634491633623838}, {'X': 0.6223379373550415, 'Y': 0.40278875827789307, 'Z': -0.012633382342755795}, {'X': 0.6221417188644409, 'Y': 0.3478984832763672, 'Z': -0.027643872424960136}, {'X': 0.6612035036087036, 'Y': 0.5310692191123962, 'Z': 0.013780464418232441}, {'X': 0.6530225872993469, 'Y': 0.43249303102493286, 'Z': 0.013689033687114716}, {'X': 0.6504921317100525, 'Y': 0.3692750930786133, 'Z': -0.005295915529131889}, {'X': 0.6485216617584229, 'Y': 0.3118876814842224, 'Z': -0.01862751878798008}, {'X': 0.6925514936447144, 'Y': 0.5346698760986328, 'Z': 0.00820460356771946}, {'X': 0.683674156665802, 'Y': 0.44050151109695435, 'Z': 0.008348140865564346}, {'X': 0.6771637201309204, 'Y': 0.3821554183959961, 'Z': -0.011420343071222305}, {'X': 0.6717005968093872, 'Y': 0.33016255497932434, 'Z': -0.02650681883096695}, {'X': 0.7264676094055176, 'Y': 0.5546108484268188, 'Z': -0.002041608327999711}, {'X': 0.7187470197677612, 'Y': 0.48081010580062866, 'Z': -0.007920922711491585}, {'X': 0.7098585367202759, 'Y': 0.43387722969055176, 'Z': -0.021156631410121918}, {'X': 0.6995211243629456, 'Y': 0.38988709449768066, 'Z': -0.032365236431360245}]
[{'X': 0.6920971274375916, 'Y': 0.7336922883987427, 'Z': -6.47225824650377e-05}, {'X': 0.6456043124198914, 'Y': 0.722226083278656, 'Z': -0.03706271946430206}, {'X': 0.6148891448974609, 'Y': 0.6486245393753052, 'Z': -0.05178682133555412}, {'X': 0.6093631982803345, 'Y': 0.5713798403739929, 'Z': -0.06586897373199463}, {'X': 0.612277090549469, 'Y': 0.5069806575775146, 'Z': -0.08053874224424362}, {'X': 0.6309535503387451, 'Y': 0.549030601978302, 'Z': -0.0013777277199551463}, {'X': 0.6241536140441895, 'Y': 0.45841294527053833, 'Z': -0.01833898201584816}, {'X': 0.6236021518707275, 'Y': 0.39723044633865356, 'Z': -0.03949836269021034}, {'X': 0.6259437799453735, 'Y': 0.3425930142402649, 'Z': -0.05712972953915596}, {'X': 0.6603978872299194, 'Y': 0.5367653369903564, 'Z': 0.0007912816945463419}, {'X': 0.6525315642356873, 'Y': 0.4408569931983948, 'Z': -0.0053148274309933186}, {'X': 0.6497892141342163, 'Y': 0.37352675199508667, 'Z': -0.027043117210268974}, {'X': 0.6483697295188904, 'Y': 0.31143271923065186, 'Z': -0.04250790551304817}, {'X': 0.690910816192627, 'Y': 0.5421822667121887, 'Z': -0.0038465510588139296}, {'X': 0.6838499903678894, 'Y': 0.4496273398399353, 'Z': -0.007325952406972647}, {'X': 0.6774109601974487, 'Y': 0.38695788383483887, 'Z': -0.02789064310491085}, {'X': 0.6723120212554932, 'Y': 0.32911989092826843, 'Z': -0.04319799691438675}, {'X': 0.7238595485687256, 'Y': 0.5633977651596069, 'Z': -0.013755926862359047}, {'X': 0.7178791761398315, 'Y': 0.49081212282180786, 'Z': -0.022234749048948288}, {'X': 0.7105318903923035, 'Y': 0.4410548210144043, 'Z': -0.034724339842796326}, {'X': 0.701723575592041, 'Y': 0.39289164543151855, 'Z': -0.04512815549969673}]
[{'X': 0.6943519115447998, 'Y': 0.7355109453201294, 'Z': -5.586040788330138e-05}, {'X': 0.6494603157043457, 'Y': 0.7036532163619995, 'Z': -0.026259170845150948}, {'X': 0.6238535046577454, 'Y': 0.6186478137969971, 'Z': -0.027245042845606804}, {'X': 0.6378389596939087, 'Y': 0.5343965888023376, 'Z': -0.027640417218208313}, {'X': 0.6586759686470032, 'Y': 0.4790235161781311, 'Z': -0.027315784245729446}, {'X': 0.634963870048523, 'Y': 0.5459413528442383, 'Z': 0.029772184789180756}, {'X': 0.6257950067520142, 'Y': 0.4628322124481201, 'Z': 0.01586408168077469}, {'X': 0.6236363053321838, 'Y': 0.40819138288497925, 'Z': 0.0010645672446116805}, {'X': 0.6239138245582581, 'Y': 0.3574913740158081, 'Z': -0.009840288199484348}, {'X': 0.6634398102760315, 'Y': 0.5313396453857422, 'Z': 0.029719315469264984}, {'X': 0.6556599140167236, 'Y': 0.44347846508026123, 'Z': 0.023586930707097054}, {'X': 0.6519622206687927, 'Y': 0.3792845606803894, 'Z': 0.0077168866991996765}, {'X': 0.6494892239570618, 'Y': 0.3242724537849426, 'Z': 0.0011496671941131353}, {'X': 0.6933666467666626, 'Y': 0.5356576442718506, 'Z': 0.02041487768292427}, {'X': 0.6875607371330261, 'Y': 0.4463121294975281, 'Z': 0.01189056783914566}, {'X': 0.6800861358642578, 'Y': 0.38861411809921265, 'Z': -0.012529395520687103}, {'X': 0.6749281883239746, 'Y': 0.33547520637512207, 'Z': -0.025736873969435692}, {'X': 0.7246902585029602, 'Y': 0.5573084950447083, 'Z': 0.007147412281483412}, {'X': 0.7193810343742371, 'Y': 0.48947858810424805, 'Z': -0.007492533884942532}, {'X': 0.7104706168174744, 'Y': 0.4400902986526489, 'Z': -0.02578437514603138}, {'X': 0.6997108459472656, 'Y': 0.3939965069293976, 'Z': -0.0357472188770771}]
[{'X': 0.6995754241943359, 'Y': 0.734657883644104, 'Z': -2.8564974854816683e-05}, {'X': 0.6570184230804443, 'Y': 0.6996562480926514, 'Z': -0.024278508499264717}, {'X': 0.6345243453979492, 'Y': 0.6153919696807861, 'Z': -0.02287435531616211}, {'X': 0.6504321098327637, 'Y': 0.5331974029541016, 'Z': -0.021838439628481865}, {'X': 0.6707901358604431, 'Y': 0.4794435501098633, 'Z': -0.018550654873251915}, {'X': 0.639276385307312, 'Y': 0.5558494925498962, 'Z': 0.029302580282092094}, {'X': 0.6297712922096252, 'Y': 0.4724150598049164, 'Z': 0.01176506094634533}, {'X': 0.6282309889793396, 'Y': 0.4183574318885803, 'Z': -0.004976267460733652}, {'X': 0.629431426525116, 'Y': 0.367994487285614, 'Z': -0.016376296058297157}, {'X': 0.6666425466537476, 'Y': 0.5396678447723389, 'Z': 0.0293026864528656}, {'X': 0.6586334705352783, 'Y': 0.45236024260520935, 'Z': 0.020417002961039543}, {'X': 0.6544721126556396, 'Y': 0.38831281661987305, 'Z': 0.0011911570327356458}, {'X': 0.6519983410835266, 'Y': 0.332561731338501, 'Z': -0.008246757090091705}, {'X': 0.6956613659858704, 'Y': 0.5417882204055786, 'Z': 0.0203609187155962}, {'X': 0.6899692416191101, 'Y': 0.4534757435321808, 'Z': 0.009630152024328709}, {'X': 0.6824480891227722, 'Y': 0.39700013399124146, 'Z': -0.01783747225999832}, {'X': 0.6775864958763123, 'Y': 0.34443825483322144, 'Z': -0.033413633704185486}, {'X': 0.7264925241470337, 'Y': 0.5601850748062134, 'Z': 0.007783439941704273}, {'X': 0.7220456600189209, 'Y': 0.49404290318489075, 'Z': -0.008603738620877266}, {'X': 0.713909387588501, 'Y': 0.44818246364593506, 'Z': -0.028025289997458458}, {'X': 0.7047247290611267, 'Y': 0.4038603603839874, 'Z': -0.03869950398802757}]
[{'X': 0.6965721249580383, 'Y': 0.7566505670547485, 'Z': -6.721552927047014e-05}, {'X': 0.6542755961418152, 'Y': 0.7110037207603455, 'Z': -0.022959748283028603}, {'X': 0.633819580078125, 'Y': 0.6143019795417786, 'Z': -0.019287018105387688}, {'X': 0.6531143188476562, 'Y': 0.528262197971344, 'Z': -0.014548374339938164}, {'X': 0.6765236258506775, 'Y': 0.4697510302066803, 'Z': -0.007642635144293308}, {'X': 0.6421718597412109, 'Y': 0.5525242686271667, 'Z': 0.0374586246907711}, {'X': 0.6345804929733276, 'Y': 0.4703856110572815, 'Z': 0.02376299723982811}, {'X': 0.6337839961051941, 'Y': 0.41687196493148804, 'Z': 0.008692325092852116}, {'X': 0.6351461410522461, 'Y': 0.36860769987106323, 'Z': -0.0006198721821419895}, {'X': 0.6687045097351074, 'Y': 0.5412254929542542, 'Z': 0.037802502512931824}, {'X': 0.6636402606964111, 'Y': 0.44942450523376465, 'Z': 0.03505696728825569}, {'X': 0.6604286432266235, 'Y': 0.38818758726119995, 'Z': 0.020764796063303947}, {'X': 0.6586018204689026, 'Y': 0.337171345949173, 'Z': 0.01623748429119587}, {'X': 0.697880744934082, 'Y': 0.5467039942741394, 'Z': 0.028832105919718742}, {'X': 0.6955046057701111, 'Y': 0.4578357934951782, 'Z': 0.025530928745865822}, {'X': 0.6875905394554138, 'Y': 0.4000994563102722, 'Z': 0.002465649042278528}, {'X': 0.681593120098114, 'Y': 0.34836602210998535, 'Z': -0.010074125602841377}, {'X': 0.727875828742981, 'Y': 0.5680510401725769, 'Z': 0.015948183834552765}, {'X': 0.7249058485031128, 'Y': 0.5010215044021606, 'Z': 0.007028344087302685}, {'X': 0.715999960899353, 'Y': 0.44953376054763794, 'Z': -0.009191052056849003}, {'X': 0.7058654427528381, 'Y': 0.4029192328453064, 'Z': -0.017761649563908577}]
[{'X': 0.698715329170227, 'Y': 0.7430620193481445, 'Z': -5.685852011083625e-05}, {'X': 0.6553371548652649, 'Y': 0.7036031484603882, 'Z': -0.02340291254222393}, {'X': 0.6348340511322021, 'Y': 0.6119440793991089, 'Z': -0.019174490123987198}, {'X': 0.6556419730186462, 'Y': 0.5276352763175964, 'Z': -0.014446035958826542}, {'X': 0.6790109872817993, 'Y': 0.4730486571788788, 'Z': -0.006305570714175701}, {'X': 0.6408745050430298, 'Y': 0.5520732402801514, 'Z': 0.035216644406318665}, {'X': 0.6324739456176758, 'Y': 0.4697166085243225, 'Z': 0.018223965540528297}, {'X': 0.6310954689979553, 'Y': 0.4152587056159973, 'Z': 0.0019474810687825084}, {'X': 0.6318172216415405, 'Y': 0.36399200558662415, 'Z': -0.007761552929878235}, {'X': 0.6684051156044006, 'Y': 0.5377918481826782, 'Z': 0.034983206540346146}, {'X': 0.662600040435791, 'Y': 0.44774243235588074, 'Z': 0.029005087912082672}, {'X': 0.6594390869140625, 'Y': 0.386688232421875, 'Z': 0.012495879083871841}, {'X': 0.6577735543251038, 'Y': 0.3350391983985901, 'Z': 0.0076394472271203995}, {'X': 0.6980326771736145, 'Y': 0.5421296954154968, 'Z': 0.02542843297123909}, {'X': 0.6948825120925903, 'Y': 0.4522678256034851, 'Z': 0.017129024490714073}, {'X': 0.6879023313522339, 'Y': 0.39496317505836487, 'Z': -0.008917358703911304}, {'X': 0.6834986805915833, 'Y': 0.34230363368988037, 'Z': -0.021973591297864914}, {'X': 0.7289659976959229, 'Y': 0.563464343547821, 'Z': 0.012003117240965366}, {'X': 0.7256309390068054, 'Y': 0.4981788396835327, 'Z': -0.0011801979271695018}, {'X': 0.7175624966621399, 'Y': 0.44853144884109497, 'Z': -0.019366376101970673}, {'X': 0.7085116505622864, 'Y': 0.4026572108268738, 'Z': -0.02744622901082039}]
