[{'X': 0.69659024477005, 'Y': 0.6106431484222412, 'Z': -3.816433604697522e-07}, {'X': 0.6599076986312866, 'Y': 0.577164888381958, 'Z': -0.012079032137989998}, {'X': 0.6406179070472717, 'Y': 0.5191652774810791, 'Z': -0.017482051625847816}, {'X': 0.6632140278816223, 'Y': 0.47390878200531006, 'Z': -0.023925796151161194}, {'X': 0.6974265575408936, 'Y': 0.4669034779071808, 'Z': -0.02703750692307949}, {'X': 0.6584540009498596, 'Y': 0.4772094488143921, 'Z': 0.0025931948330253363}, {'X': 0.6611268520355225, 'Y': 0.42505764961242676, 'Z': -0.020058536902070045}, {'X': 0.6586169004440308, 'Y': 0.4647810757160187, 'Z': -0.03206302225589752}, {'X': 0.6594470739364624, 'Y': 0.48981615900993347, 'Z': -0.03645842522382736}, {'X': 0.6854055523872375, 'Y': 0.4846625030040741, 'Z': 6.557632787007606e-06}, {'X': 0.6923660039901733, 'Y': 0.43301907181739807, 'Z': -0.021456457674503326}, {'X': 0.6832214593887329, 'Y': 0.4806358218193054, 'Z': -0.024351095780730247}, {'X': 0.6799942255020142, 'Y': 0.5026362538337708, 'Z': -0.020042693242430687}, {'X': 0.7107464671134949, 'Y': 0.4985700249671936, 'Z': -0.007042033597826958}, {'X': 0.7171003818511963, 'Y': 0.4582582116127014, 'Z': -0.03031018376350403}, {'X': 0.7003636956214905, 'Y': 0.5060973167419434, 'Z': -0.023489758372306824}, {'X': 0.6937815546989441, 'Y': 0.5287929177284241, 'Z': -0.011564777232706547}, {'X': 0.7358503937721252, 'Y': 0.5196818113327026, 'Z': -0.015396294184029102}, {'X': 0.7344380021095276, 'Y': 0.4902029037475586, 'Z': -0.02975439839065075}, {'X': 0.7192779183387756, 'Y': 0.5225349068641663, 'Z': -0.023659612983465195}, {'X': 0.7129930853843689, 'Y': 0.5428719520568848, 'Z': -0.014713400974869728}]
[{'X': 0.6979964971542358, 'Y': 0.6150305867195129, 'Z': -3.5789361163551803e-07}, {'X': 0.6596785187721252, 'Y': 0.5821316242218018, 'Z': -0.013205128721892834}, {'X': 0.6408132314682007, 'Y': 0.52078777551651, 'Z': -0.018840059638023376}, {'X': 0.6643878221511841, 'Y': 0.47226276993751526, 'Z': -0.02541094645857811}, {'X': 0.7011709213256836, 'Y': 0.4673233926296234, 'Z': -0.02892456203699112}, {'X': 0.6573439836502075, 'Y': 0.4776369333267212, 'Z': 0.0015437353868037462}, {'X': 0.6609795689582825, 'Y': 0.42470452189445496, 'Z': -0.020424894988536835}, {'X': 0.6598606109619141, 'Y': 0.4617166221141815, 'Z': -0.03271716088056564}, {'X': 0.6598029732704163, 'Y': 0.4887520372867584, 'Z': -0.03751116991043091}, {'X': 0.6848073601722717, 'Y': 0.4847167134284973, 'Z': -0.0008248393423855305}, {'X': 0.6914592981338501, 'Y': 0.43236178159713745, 'Z': -0.02191164717078209}, {'X': 0.6846354007720947, 'Y': 0.47651731967926025, 'Z': -0.02589721977710724}, {'X': 0.6809102892875671, 'Y': 0.5014264583587646, 'Z': -0.022335046902298927}, {'X': 0.7105458378791809, 'Y': 0.4988018870353699, 'Z': -0.007535725831985474}, {'X': 0.7157206535339355, 'Y': 0.4592578411102295, 'Z': -0.030658598989248276}, {'X': 0.7019516825675964, 'Y': 0.5074255466461182, 'Z': -0.025058569386601448}, {'X': 0.6958267688751221, 'Y': 0.5337001085281372, 'Z': -0.013882901519536972}, {'X': 0.7363662719726562, 'Y': 0.5202631950378418, 'Z': -0.015671532601118088}, {'X': 0.7343686819076538, 'Y': 0.48954078555107117, 'Z': -0.03022404946386814}, {'X': 0.7211185097694397, 'Y': 0.5224893689155579, 'Z': -0.024602215737104416}, {'X': 0.7156049013137817, 'Y': 0.5452696084976196, 'Z': -0.015948301181197166}]
[{'X': 0.6964218616485596, 'Y': 0.6148623824119568, 'Z': -3.779360326916503e-07}, {'X': 0.6589867472648621, 'Y': 0.5798456072807312, 'Z': -0.012387138791382313}, {'X': 0.6400514245033264, 'Y': 0.518473744392395, 'Z': -0.01739475131034851}, {'X': 0.66386878490448, 'Y': 0.4723799228668213, 'Z': -0.023581700399518013}, {'X': 0.6998628973960876, 'Y': 0.47048622369766235, 'Z': -0.02630777470767498}, {'X': 0.658200740814209, 'Y': 0.478524774312973, 'Z': 0.0031786635518074036}, {'X': 0.6603506803512573, 'Y': 0.42674437165260315, 'Z': -0.019088689237833023}, {'X': 0.6579569578170776, 'Y': 0.46835917234420776, 'Z': -0.03043443337082863}, {'X': 0.6593739986419678, 'Y': 0.490694135427475, 'Z': -0.03471345081925392}, {'X': 0.6854084134101868, 'Y': 0.48554596304893494, 'Z': 0.0006805765442550182}, {'X': 0.6906431913375854, 'Y': 0.4367997348308563, 'Z': -0.020164377987384796}, {'X': 0.6815756559371948, 'Y': 0.4841955602169037, 'Z': -0.02197176218032837}, {'X': 0.6793978214263916, 'Y': 0.5019432306289673, 'Z': -0.017280535772442818}, {'X': 0.7105485796928406, 'Y': 0.49968233704566956, 'Z': -0.0065331426449120045}, {'X': 0.7160682082176208, 'Y': 0.4605042040348053, 'Z': -0.028882179409265518}, {'X': 0.6998742818832397, 'Y': 0.509037971496582, 'Z': -0.021199209615588188}, {'X': 0.6942259669303894, 'Y': 0.5293098092079163, 'Z': -0.009180170483887196}, {'X': 0.7354199886322021, 'Y': 0.5208568572998047, 'Z': -0.015266253612935543}, {'X': 0.7338561415672302, 'Y': 0.49145427346229553, 'Z': -0.028340063989162445}, {'X': 0.7185649871826172, 'Y': 0.5231310129165649, 'Z': -0.021871596574783325}, {'X': 0.712645947933197, 'Y': 0.5417751669883728, 'Z': -0.013077435083687305}]
[{'X': 0.6960669159889221, 'Y': 0.6172677278518677, 'Z': -3.675162645322416e-07}, {'X': 0.6597491502761841, 'Y': 0.581285834312439, 'Z': -0.011661634780466557}, {'X': 0.6399332284927368, 'Y': 0.5228339433670044, 'Z': -0.017586825415492058}, {'X': 0.6626092195510864, 'Y': 0.47723445296287537, 'Z': -0.024955157190561295}, {'X': 0.6990839242935181, 'Y': 0.4746659994125366, 'Z': -0.02923082374036312}, {'X': 0.6575875878334045, 'Y': 0.481638103723526, 'Z': 0.003169564064592123}, {'X': 0.660194456577301, 'Y': 0.42900246381759644, 'Z': -0.01992691121995449}, {'X': 0.6588031649589539, 'Y': 0.4678405821323395, 'Z': -0.03255659341812134}, {'X': 0.6595402359962463, 'Y': 0.493251234292984, 'Z': -0.03731314092874527}, {'X': 0.6848743557929993, 'Y': 0.48907557129859924, 'Z': 8.297571184812114e-05}, {'X': 0.6906859278678894, 'Y': 0.4380573034286499, 'Z': -0.02195170894265175}, {'X': 0.6828374862670898, 'Y': 0.4859946072101593, 'Z': -0.025201527401804924}, {'X': 0.6797083616256714, 'Y': 0.5091058611869812, 'Z': -0.02092183381319046}, {'X': 0.7105368971824646, 'Y': 0.5032688975334167, 'Z': -0.007509432267397642}, {'X': 0.7158746123313904, 'Y': 0.46168914437294006, 'Z': -0.030456725507974625}, {'X': 0.700778603553772, 'Y': 0.5101354122161865, 'Z': -0.023577788844704628}, {'X': 0.6945859789848328, 'Y': 0.534207284450531, 'Z': -0.011537805199623108}, {'X': 0.7358905076980591, 'Y': 0.5249819159507751, 'Z': -0.016474951058626175}, {'X': 0.7348863482475281, 'Y': 0.4923383295536041, 'Z': -0.029849262908101082}, {'X': 0.7204972505569458, 'Y': 0.5234410166740417, 'Z': -0.023339858278632164}, {'X': 0.7143012881278992, 'Y': 0.5441915988922119, 'Z': -0.014191381633281708}]
[{'X': 0.6956873536109924, 'Y': 0.6168127655982971, 'Z': -3.8651202771688986e-07}, {'X': 0.6586095690727234, 'Y': 0.5834895968437195, 'Z': -0.011902508325874805}, {'X': 0.6394774317741394, 'Y': 0.5235643982887268, 'Z': -0.017289655283093452}, {'X': 0.6633791327476501, 'Y': 0.47915640473365784, 'Z': -0.02371366322040558}, {'X': 0.6994210481643677, 'Y': 0.47626060247421265, 'Z': -0.026807771995663643}, {'X': 0.6574468016624451, 'Y': 0.4818832278251648, 'Z': 0.0008030735771171749}, {'X': 0.6595500111579895, 'Y': 0.429352730512619, 'Z': -0.02177014760673046}, {'X': 0.6567422747612, 'Y': 0.47058936953544617, 'Z': -0.033402878791093826}, {'X': 0.6571759581565857, 'Y': 0.49467039108276367, 'Z': -0.03784282132983208}, {'X': 0.6846181750297546, 'Y': 0.489026814699173, 'Z': -0.001989284297451377}, {'X': 0.6898760795593262, 'Y': 0.4380161166191101, 'Z': -0.023204224184155464}, {'X': 0.6813825368881226, 'Y': 0.4855400025844574, 'Z': -0.025459768250584602}, {'X': 0.6785228252410889, 'Y': 0.505347728729248, 'Z': -0.02108132652938366}, {'X': 0.7101137638092041, 'Y': 0.50291907787323, 'Z': -0.00913071446120739}, {'X': 0.7153969407081604, 'Y': 0.46237707138061523, 'Z': -0.031905703246593475}, {'X': 0.6993715167045593, 'Y': 0.5113332271575928, 'Z': -0.0242614708840847}, {'X': 0.6930097937583923, 'Y': 0.5330755114555359, 'Z': -0.012234115041792393}, {'X': 0.7354913353919983, 'Y': 0.523767352104187, 'Z': -0.017626773566007614}, {'X': 0.73356693983078, 'Y': 0.4940973222255707, 'Z': -0.0316428579390049}, {'X': 0.7187247276306152, 'Y': 0.527286171913147, 'Z': -0.025161994621157646}, {'X': 0.7127149105072021, 'Y': 0.5471606254577637, 'Z': -0.016211362555623055}]
[{'X': 0.694286048412323, 'Y': 0.6204821467399597, 'Z': -3.4553818295535166e-07}, {'X': 0.6587198376655579, 'Y': 0.5840033888816833, 'Z': -0.01318319234997034}, {'X': 0.639318585395813, 'Y': 0.5232332348823547, 'Z': -0.019176224246621132}, {'X': 0.6622774600982666, 'Y': 0.47514608502388, 'Z': -0.026411712169647217}, {'X': 0.6994493007659912, 'Y': 0.47525128722190857, 'Z': -0.030537374317646027}, {'X': 0.6566232442855835, 'Y': 0.4836511015892029, 'Z': 0.003604856552556157}, {'X': 0.6585050821304321, 'Y': 0.43096691370010376, 'Z': -0.018612634390592575}, {'X': 0.6566959619522095, 'Y': 0.46827197074890137, 'Z': -0.030706996098160744}, {'X': 0.6577627658843994, 'Y': 0.49347150325775146, 'Z': -0.03524090722203255}, {'X': 0.6838590502738953, 'Y': 0.4903664290904999, 'Z': 0.0017231871606782079}, {'X': 0.6894189715385437, 'Y': 0.440879225730896, 'Z': -0.01936461217701435}, {'X': 0.6816663146018982, 'Y': 0.4868070185184479, 'Z': -0.022373495623469353}, {'X': 0.6792480945587158, 'Y': 0.5099084973335266, 'Z': -0.01811155304312706}, {'X': 0.7092699408531189, 'Y': 0.5037832260131836, 'Z': -0.00489647826179862}, {'X': 0.714709997177124, 'Y': 0.46507441997528076, 'Z': -0.02755201980471611}, {'X': 0.6993395090103149, 'Y': 0.5117124319076538, 'Z': -0.021505171433091164}, {'X': 0.6929435133934021, 'Y': 0.5362239480018616, 'Z': -0.010023072361946106}, {'X': 0.7344745397567749, 'Y': 0.5244367718696594, 'Z': -0.013086962513625622}, {'X': 0.7345961928367615, 'Y': 0.49128443002700806, 'Z': -0.02687963657081127}, {'X': 0.7199869751930237, 'Y': 0.5216657519340515, 'Z': -0.02153640240430832}, {'X': 0.7126918435096741, 'Y': 0.5436772108078003, 'Z': -0.013150639832019806}]
[{'X': 0.695734977722168, 'Y': 0.6170966029167175, 'Z': -3.4743715104923467e-07}, {'X': 0.6590506434440613, 'Y': 0.582373857498169, 'Z': -0.012314126826822758}, {'X': 0.6405249834060669, 'Y': 0.5242567658424377, 'Z': -0.018361518159508705}, {'X': 0.6626351475715637, 'Y': 0.47918492555618286, 'Z': -0.025460314005613327}, {'X': 0.6973375082015991, 'Y': 0.47349199652671814, 'Z': -0.029651202261447906}, {'X': 0.6583250164985657, 'Y': 0.4823257029056549, 'Z': 0.0011231157695874572}, {'X': 0.6611024737358093, 'Y': 0.43013063073158264, 'Z': -0.02089141309261322}, {'X': 0.6602895855903625, 'Y': 0.4654587209224701, 'Z': -0.03329486772418022}, {'X': 0.6603480577468872, 'Y': 0.49192291498184204, 'Z': -0.03810111805796623}, {'X': 0.6853561401367188, 'Y': 0.4897761940956116, 'Z': -0.0012986210640519857}, {'X': 0.6916696429252625, 'Y': 0.4387464225292206, 'Z': -0.02150755189359188}, {'X': 0.6844222545623779, 'Y': 0.4818746745586395, 'Z': -0.025418246164917946}, {'X': 0.680579423904419, 'Y': 0.5050919055938721, 'Z': -0.022556792944669724}, {'X': 0.7108913064002991, 'Y': 0.5039376616477966, 'Z': -0.007891400717198849}, {'X': 0.7173286080360413, 'Y': 0.4628532826900482, 'Z': -0.030199307948350906}, {'X': 0.7017927765846252, 'Y': 0.5095667839050293, 'Z': -0.02431284636259079}, {'X': 0.6942489743232727, 'Y': 0.5351990461349487, 'Z': -0.013522055931389332}, {'X': 0.7358420491218567, 'Y': 0.5251665711402893, 'Z': -0.015802521258592606}, {'X': 0.7356221079826355, 'Y': 0.4930484890937805, 'Z': -0.030112048611044884}, {'X': 0.720897912979126, 'Y': 0.5238644480705261, 'Z': -0.024499211460351944}, {'X': 0.7137957811355591, 'Y': 0.545976996421814, 'Z': -0.016067499294877052}]
[{'X': 0.6972813606262207, 'Y': 0.6196688413619995, 'Z': -3.9248575944839104e-07}, {'X': 0.6601041555404663, 'Y': 0.5868997573852539, 'Z': -0.012666470371186733}, {'X': 0.6415325403213501, 'Y': 0.526044487953186, 'Z': -0.018680889159440994}, {'X': 0.6650955677032471, 'Y': 0.4776473343372345, 'Z': -0.02562549151480198}, {'X': 0.6999534368515015, 'Y': 0.46796146035194397, 'Z': -0.0292525514960289}, {'X': 0.6584532260894775, 'Y': 0.48416411876678467, 'Z': -0.00055003009038046}, {'X': 0.6621274352073669, 'Y': 0.42808324098587036, 'Z': -0.024319523945450783}, {'X': 0.6611098647117615, 'Y': 0.4672035574913025, 'Z': -0.036541033536195755}, {'X': 0.6619747281074524, 'Y': 0.49446699023246765, 'Z': -0.04095155745744705}, {'X': 0.6861069798469543, 'Y': 0.491838663816452, 'Z': -0.003490935079753399}, {'X': 0.6925578117370605, 'Y': 0.43841907382011414, 'Z': -0.026352768763899803}, {'X': 0.684302031993866, 'Y': 0.4860292673110962, 'Z': -0.029721315950155258}, {'X': 0.6809335350990295, 'Y': 0.5078340172767639, 'Z': -0.025721296668052673}, {'X': 0.7120210528373718, 'Y': 0.5060811042785645, 'Z': -0.01075436919927597}, {'X': 0.717663049697876, 'Y': 0.4631624221801758, 'Z': -0.035119473934173584}, {'X': 0.7018470764160156, 'Y': 0.5130402445793152, 'Z': -0.027484212070703506}, {'X': 0.695696234703064, 'Y': 0.535514771938324, 'Z': -0.015106579288840294}, {'X': 0.7374626398086548, 'Y': 0.527039110660553, 'Z': -0.019374018535017967}, {'X': 0.735977292060852, 'Y': 0.49566856026649475, 'Z': -0.034454189240932465}, {'X': 0.7214732766151428, 'Y': 0.5298187136650085, 'Z': -0.027626175433397293}, {'X': 0.7160242795944214, 'Y': 0.5504214763641357, 'Z': -0.01817132532596588}]
[{'X': 0.6971033215522766, 'Y': 0.6256755590438843, 'Z': -3.543045181686466e-07}, {'X': 0.6593490839004517, 'Y': 0.5926320552825928, 'Z': -0.013662646524608135}, {'X': 0.6415203213691711, 'Y': 0.5319859981536865, 'Z': -0.020179349929094315}, {'X': 0.6641435027122498, 'Y': 0.4836151897907257, 'Z': -0.027680834755301476}, {'X': 0.6989648342132568, 'Y': 0.4732421338558197, 'Z': -0.03173171356320381}, {'X': 0.657978892326355, 'Y': 0.4843607246875763, 'Z': 0.0005056551308371127}, {'X': 0.662284791469574, 'Y': 0.42661356925964355, 'Z': -0.023335371166467667}, {'X': 0.6626237034797668, 'Y': 0.46239838004112244, 'Z': -0.03674416244029999}, {'X': 0.6622815728187561, 'Y': 0.4927767217159271, 'Z': -0.04179917648434639}, {'X': 0.6862654685974121, 'Y': 0.4932456314563751, 'Z': -0.0021472428925335407}, {'X': 0.6923626065254211, 'Y': 0.4410911500453949, 'Z': -0.024677729234099388}, {'X': 0.6860777139663696, 'Y': 0.4838371276855469, 'Z': -0.029497960582375526}, {'X': 0.6817813515663147, 'Y': 0.5084197521209717, 'Z': -0.026713019236922264}, {'X': 0.7124309539794922, 'Y': 0.5089992880821228, 'Z': -0.009340752847492695}, {'X': 0.7174859046936035, 'Y': 0.4680996537208557, 'Z': -0.0331728495657444}, {'X': 0.7030606269836426, 'Y': 0.5161479115486145, 'Z': -0.026683425530791283}, {'X': 0.696054995059967, 'Y': 0.5421058535575867, 'Z': -0.015236206352710724}, {'X': 0.7382401823997498, 'Y': 0.5315648913383484, 'Z': -0.01816057413816452}, {'X': 0.7365069389343262, 'Y': 0.5016021132469177, 'Z': -0.03317543491721153}, {'X': 0.7219793200492859, 'Y': 0.534075915813446, 'Z': -0.027069251984357834}, {'X': 0.7149483561515808, 'Y': 0.5559012293815613, 'Z': -0.01815156638622284}]
[{'X': 0.6914625763893127, 'Y': 0.6253495812416077, 'Z': -3.2265359095617896e-07}, {'X': 0.6565392017364502, 'Y': 0.5960139632225037, 'Z': -0.01354014128446579}, {'X': 0.6382861733436584, 'Y': 0.5357829928398132, 'Z': -0.019436070695519447}, {'X': 0.6588587760925293, 'Y': 0.4888518452644348, 'Z': -0.025982502847909927}, {'X': 0.6915279030799866, 'Y': 0.4810589551925659, 'Z': -0.029236987233161926}, {'X': 0.6555017232894897, 'Y': 0.4835410416126251, 'Z': -0.0026503545232117176}, {'X': 0.6635839343070984, 'Y': 0.4224283993244171, 'Z': -0.022708116099238396}, {'X': 0.6639619469642639, 'Y': 0.44493481516838074, 'Z': -0.03181594982743263}, {'X': 0.6607673764228821, 'Y': 0.47190067172050476, 'Z': -0.034492213279008865}, {'X': 0.6836658716201782, 'Y': 0.49393025040626526, 'Z': -0.0043512205593287945}, {'X': 0.6919727325439453, 'Y': 0.44626984000205994, 'Z': -0.02548602968454361}, {'X': 0.6840534210205078, 'Y': 0.4895723760128021, 'Z': -0.028080960735678673}, {'X': 0.6779013276100159, 'Y': 0.5139233469963074, 'Z': -0.023895887657999992}, {'X': 0.7092689871788025, 'Y': 0.5101192593574524, 'Z': -0.009947026148438454}, {'X': 0.714735746383667, 'Y': 0.4729979932308197, 'Z': -0.031884387135505676}, {'X': 0.6993657350540161, 'Y': 0.5179939866065979, 'Z': -0.024258937686681747}, {'X': 0.6917330026626587, 'Y': 0.5416278839111328, 'Z': -0.012797154486179352}, {'X': 0.73423832654953, 'Y': 0.5327813029289246, 'Z': -0.017133070155978203}, {'X': 0.7346826195716858, 'Y': 0.5071849226951599, 'Z': -0.032290223985910416}, {'X': 0.7201560735702515, 'Y': 0.5366695523262024, 'Z': -0.02680278941988945}, {'X': 0.7125392556190491, 'Y': 0.555104672908783, 'Z': -0.01847993955016136}]
[{'X': 0.6917510032653809, 'Y': 0.628663957118988, 'Z': -1.8651910238531855e-07}, {'X': 0.656973659992218, 'Y': 0.5980033874511719, 'Z': -0.014273387379944324}, {'X': 0.6384173035621643, 'Y': 0.5379582047462463, 'Z': -0.020723532885313034}, {'X': 0.6632413864135742, 'Y': 0.4935424327850342, 'Z': -0.027306994423270226}, {'X': 0.6978065967559814, 'Y': 0.4864761531352997, 'Z': -0.0326266884803772}, {'X': 0.6565331816673279, 'Y': 0.4815797805786133, 'Z': -0.0024360630195587873}, {'X': 0.6570248007774353, 'Y': 0.4338793158531189, 'Z': -0.019580097869038582}, {'X': 0.663752555847168, 'Y': 0.41162341833114624, 'Z': -0.02894735150039196}, {'X': 0.6718804240226746, 'Y': 0.4022715389728546, 'Z': -0.034511957317590714}, {'X': 0.684840202331543, 'Y': 0.4904754161834717, 'Z': -0.00481063686311245}, {'X': 0.6920811533927917, 'Y': 0.4462815523147583, 'Z': -0.028797311708331108}, {'X': 0.6818575859069824, 'Y': 0.4918634593486786, 'Z': -0.03032466396689415}, {'X': 0.6781277060508728, 'Y': 0.517784595489502, 'Z': -0.023854894563555717}, {'X': 0.7109062671661377, 'Y': 0.5070220828056335, 'Z': -0.010864893905818462}, {'X': 0.7170321345329285, 'Y': 0.4745514988899231, 'Z': -0.037663210183382034}, {'X': 0.6995991468429565, 'Y': 0.5209592580795288, 'Z': -0.02935013547539711}, {'X': 0.6930397748947144, 'Y': 0.5443196892738342, 'Z': -0.015755752101540565}, {'X': 0.7354397177696228, 'Y': 0.5311940908432007, 'Z': -0.018376396968960762}, {'X': 0.7358204126358032, 'Y': 0.5075635313987732, 'Z': -0.03896576538681984}, {'X': 0.7194337248802185, 'Y': 0.5396720170974731, 'Z': -0.0346188023686409}, {'X': 0.7117668986320496, 'Y': 0.5586937665939331, 'Z': -0.026198972016572952}]
