[{'X': 0.7232184410095215, 'Y': 0.6985752582550049, 'Z': -8.036426493163162e-07}, {'X': 0.6630590558052063, 'Y': 0.6445235013961792, 'Z': -0.02582639455795288}, {'X': 0.6104791760444641, 'Y': 0.5599881410598755, 'Z': -0.04737725108861923}, {'X': 0.6212154626846313, 'Y': 0.4852876663208008, 'Z': -0.07168754935264587}, {'X': 0.6806996464729309, 'Y': 0.47462597489356995, 'Z': -0.09079693257808685}, {'X': 0.6778380274772644, 'Y': 0.4376329481601715, 'Z': -0.013749796897172928}, {'X': 0.6655280590057373, 'Y': 0.36884188652038574, 'Z': -0.05897316336631775}, {'X': 0.6541764736175537, 'Y': 0.4412674605846405, 'Z': -0.08163507282733917}, {'X': 0.6607394218444824, 'Y': 0.4846087694168091, 'Z': -0.09117743372917175}, {'X': 0.726250171661377, 'Y': 0.451349675655365, 'Z': -0.020986342802643776}, {'X': 0.7119613885879517, 'Y': 0.3983052670955658, 'Z': -0.06823978573083878}, {'X': 0.6926310658454895, 'Y': 0.49046409130096436, 'Z': -0.07332926243543625}, {'X': 0.6971909403800964, 'Y': 0.5289783477783203, 'Z': -0.06553656607866287}, {'X': 0.7705873250961304, 'Y': 0.4746856689453125, 'Z': -0.03629797324538231}, {'X': 0.7517268061637878, 'Y': 0.4345921576023102, 'Z': -0.08264539390802383}, {'X': 0.7273889780044556, 'Y': 0.5246670246124268, 'Z': -0.0701059103012085}, {'X': 0.7298275232315063, 'Y': 0.5649855136871338, 'Z': -0.04888687655329704}, {'X': 0.8150199055671692, 'Y': 0.5074713826179504, 'Z': -0.05464239418506622}, {'X': 0.7893384099006653, 'Y': 0.47429198026657104, 'Z': -0.07848983258008957}, {'X': 0.7616233229637146, 'Y': 0.5350775122642517, 'Z': -0.06727231293916702}, {'X': 0.7580015063285828, 'Y': 0.5690919160842896, 'Z': -0.052128348499536514}]
[{'X': 0.7228804230690002, 'Y': 0.6953057050704956, 'Z': -7.729797175670683e-07}, {'X': 0.6597893834114075, 'Y': 0.6466624736785889, 'Z': -0.025772210210561752}, {'X': 0.6068824529647827, 'Y': 0.5601198077201843, 'Z': -0.044761527329683304}, {'X': 0.6203737258911133, 'Y': 0.48491668701171875, 'Z': -0.0659627616405487}, {'X': 0.6795482039451599, 'Y': 0.4734104573726654, 'Z': -0.08189000189304352}, {'X': 0.6730629801750183, 'Y': 0.44067633152008057, 'Z': -0.013998878188431263}, {'X': 0.6637403964996338, 'Y': 0.36651623249053955, 'Z': -0.05713025480508804}, {'X': 0.6540122628211975, 'Y': 0.4335789084434509, 'Z': -0.0784783735871315}, {'X': 0.6576974391937256, 'Y': 0.48376333713531494, 'Z': -0.08713757246732712}, {'X': 0.7233507037162781, 'Y': 0.4523164927959442, 'Z': -0.02032693475484848}, {'X': 0.7103198170661926, 'Y': 0.39936402440071106, 'Z': -0.06655358523130417}, {'X': 0.6947298645973206, 'Y': 0.4928072690963745, 'Z': -0.07170836627483368}, {'X': 0.6976727247238159, 'Y': 0.5375871658325195, 'Z': -0.06412574648857117}, {'X': 0.7687501311302185, 'Y': 0.47544217109680176, 'Z': -0.03446357697248459}, {'X': 0.7515102624893188, 'Y': 0.43575340509414673, 'Z': -0.07888931781053543}, {'X': 0.7300182580947876, 'Y': 0.5251371264457703, 'Z': -0.06694131344556808}, {'X': 0.7300829291343689, 'Y': 0.5689347982406616, 'Z': -0.046842996031045914}, {'X': 0.8130069971084595, 'Y': 0.5084438920021057, 'Z': -0.05166361853480339}, {'X': 0.7901097536087036, 'Y': 0.4797099828720093, 'Z': -0.07526788115501404}, {'X': 0.7639302015304565, 'Y': 0.5371274948120117, 'Z': -0.0654372125864029}, {'X': 0.759016215801239, 'Y': 0.5696442723274231, 'Z': -0.05157644301652908}]
[{'X': 0.7199319005012512, 'Y': 0.694665789604187, 'Z': -7.755479032311996e-07}, {'X': 0.6580994725227356, 'Y': 0.6447782516479492, 'Z': -0.02262069098651409}, {'X': 0.606511116027832, 'Y': 0.5608166456222534, 'Z': -0.04062975198030472}, {'X': 0.6191744804382324, 'Y': 0.4868633449077606, 'Z': -0.06172141805291176}, {'X': 0.67593914270401, 'Y': 0.4722815155982971, 'Z': -0.07809094339609146}, {'X': 0.6691162586212158, 'Y': 0.4413146674633026, 'Z': -0.010777344927191734}, {'X': 0.66078782081604, 'Y': 0.3693920373916626, 'Z': -0.05421271175146103}, {'X': 0.6526712775230408, 'Y': 0.4346558153629303, 'Z': -0.07753855735063553}, {'X': 0.6537818908691406, 'Y': 0.4856577217578888, 'Z': -0.08748947083950043}, {'X': 0.7192950248718262, 'Y': 0.4526495635509491, 'Z': -0.01884215883910656}, {'X': 0.7061747312545776, 'Y': 0.39852234721183777, 'Z': -0.06505284458398819}, {'X': 0.692362904548645, 'Y': 0.4896753132343292, 'Z': -0.07251209765672684}, {'X': 0.6924834251403809, 'Y': 0.536081850528717, 'Z': -0.06672406196594238}, {'X': 0.7654991149902344, 'Y': 0.47475868463516235, 'Z': -0.03437119722366333}, {'X': 0.7491087317466736, 'Y': 0.4329853951931, 'Z': -0.07842239737510681}, {'X': 0.7286815047264099, 'Y': 0.5211496353149414, 'Z': -0.06775739789009094}, {'X': 0.7253711819648743, 'Y': 0.5664267539978027, 'Z': -0.048696450889110565}, {'X': 0.8106432557106018, 'Y': 0.5068002343177795, 'Z': -0.052653152495622635}, {'X': 0.7901438474655151, 'Y': 0.4754091203212738, 'Z': -0.07592326402664185}, {'X': 0.7636711001396179, 'Y': 0.531965970993042, 'Z': -0.06589590758085251}, {'X': 0.7549826502799988, 'Y': 0.565212070941925, 'Z': -0.05203012749552727}]
[{'X': 0.7156506776809692, 'Y': 0.6976644992828369, 'Z': -7.877757184360235e-07}, {'X': 0.6555322408676147, 'Y': 0.6450110077857971, 'Z': -0.02285592257976532}, {'X': 0.6040910482406616, 'Y': 0.5606630444526672, 'Z': -0.042038172483444214}, {'X': 0.6155420541763306, 'Y': 0.4847720265388489, 'Z': -0.06422313302755356}, {'X': 0.6770097017288208, 'Y': 0.47328078746795654, 'Z': -0.08178737014532089}, {'X': 0.6672626733779907, 'Y': 0.4381413459777832, 'Z': -0.010953838005661964}, {'X': 0.6566405296325684, 'Y': 0.37223508954048157, 'Z': -0.05664037540555}, {'X': 0.6499178409576416, 'Y': 0.4411733150482178, 'Z': -0.08226019144058228}, {'X': 0.6526257991790771, 'Y': 0.48764684796333313, 'Z': -0.09377703070640564}, {'X': 0.7170461416244507, 'Y': 0.449809730052948, 'Z': -0.019346371293067932}, {'X': 0.7009180784225464, 'Y': 0.40078920125961304, 'Z': -0.06670721620321274}, {'X': 0.6885183453559875, 'Y': 0.4930846095085144, 'Z': -0.07403245568275452}, {'X': 0.6911222338676453, 'Y': 0.5348532795906067, 'Z': -0.06796225160360336}, {'X': 0.7631187438964844, 'Y': 0.47183042764663696, 'Z': -0.03548137843608856}, {'X': 0.7434031963348389, 'Y': 0.43424665927886963, 'Z': -0.07963889837265015}, {'X': 0.724409282207489, 'Y': 0.5226508378982544, 'Z': -0.06787993758916855}, {'X': 0.724178671836853, 'Y': 0.562928318977356, 'Z': -0.047965530306100845}, {'X': 0.8082628846168518, 'Y': 0.502993643283844, 'Z': -0.05454321950674057}, {'X': 0.7827662825584412, 'Y': 0.4781542122364044, 'Z': -0.07591390609741211}, {'X': 0.7588145732879639, 'Y': 0.5355916023254395, 'Z': -0.0645555779337883}, {'X': 0.755550742149353, 'Y': 0.5640774369239807, 'Z': -0.04994190111756325}]
[{'X': 0.7132245302200317, 'Y': 0.694558322429657, 'Z': -8.022681754482619e-07}, {'X': 0.6515704989433289, 'Y': 0.6449355483055115, 'Z': -0.023783167824149132}, {'X': 0.5990030169487, 'Y': 0.5616245865821838, 'Z': -0.042823124676942825}, {'X': 0.6110142469406128, 'Y': 0.486398845911026, 'Z': -0.0643395483493805}, {'X': 0.6695894598960876, 'Y': 0.47383835911750793, 'Z': -0.08082643896341324}, {'X': 0.6609869003295898, 'Y': 0.4413910210132599, 'Z': -0.013865543529391289}, {'X': 0.6495521664619446, 'Y': 0.37073513865470886, 'Z': -0.057635653764009476}, {'X': 0.6431609392166138, 'Y': 0.4415977895259857, 'Z': -0.0795072391629219}, {'X': 0.6470083594322205, 'Y': 0.4903721213340759, 'Z': -0.08854420483112335}, {'X': 0.7112736701965332, 'Y': 0.45142126083374023, 'Z': -0.021262960508465767}, {'X': 0.6955674886703491, 'Y': 0.39932483434677124, 'Z': -0.06798948347568512}, {'X': 0.6838489770889282, 'Y': 0.4938407242298126, 'Z': -0.07370904088020325}, {'X': 0.6855564713478088, 'Y': 0.5378493070602417, 'Z': -0.06646797806024551}, {'X': 0.7577625513076782, 'Y': 0.4722747206687927, 'Z': -0.03605284169316292}, {'X': 0.737389326095581, 'Y': 0.4352490305900574, 'Z': -0.0807143896818161}, {'X': 0.7192991971969604, 'Y': 0.527384340763092, 'Z': -0.06862499564886093}, {'X': 0.7180407643318176, 'Y': 0.5712696313858032, 'Z': -0.04847104847431183}, {'X': 0.8036237955093384, 'Y': 0.5029720067977905, 'Z': -0.053622663021087646}, {'X': 0.7767541408538818, 'Y': 0.4813026785850525, 'Z': -0.07750246673822403}, {'X': 0.7518520951271057, 'Y': 0.5433775782585144, 'Z': -0.0674939975142479}, {'X': 0.7458643913269043, 'Y': 0.5760636329650879, 'Z': -0.053479306399822235}]
[{'X': 0.7121203541755676, 'Y': 0.6918466091156006, 'Z': -8.076178801275091e-07}, {'X': 0.6498339176177979, 'Y': 0.6419851779937744, 'Z': -0.023888804018497467}, {'X': 0.5968230366706848, 'Y': 0.5615435838699341, 'Z': -0.043496061116456985}, {'X': 0.6065192222595215, 'Y': 0.48458993434906006, 'Z': -0.06578752398490906}, {'X': 0.6657786965370178, 'Y': 0.47114551067352295, 'Z': -0.08287988603115082}, {'X': 0.6589449048042297, 'Y': 0.4417969584465027, 'Z': -0.013569273985922337}, {'X': 0.6479092836380005, 'Y': 0.37124353647232056, 'Z': -0.05842011049389839}, {'X': 0.6409302353858948, 'Y': 0.44159069657325745, 'Z': -0.08125928789377213}, {'X': 0.6443108320236206, 'Y': 0.48959097266197205, 'Z': -0.09082027524709702}, {'X': 0.7088245749473572, 'Y': 0.452445387840271, 'Z': -0.02125406265258789}, {'X': 0.6928078532218933, 'Y': 0.4012393355369568, 'Z': -0.06855742633342743}, {'X': 0.6812503933906555, 'Y': 0.49458810687065125, 'Z': -0.07443492859601974}, {'X': 0.6844647526741028, 'Y': 0.5360216498374939, 'Z': -0.06747198104858398}, {'X': 0.7550039291381836, 'Y': 0.4733121693134308, 'Z': -0.03651067614555359}, {'X': 0.735499382019043, 'Y': 0.43572574853897095, 'Z': -0.08144903182983398}, {'X': 0.7166872620582581, 'Y': 0.5256265997886658, 'Z': -0.06877440214157104}, {'X': 0.7161140441894531, 'Y': 0.5662059783935547, 'Z': -0.0483429990708828}, {'X': 0.8002443909645081, 'Y': 0.5040429830551147, 'Z': -0.05467117950320244}, {'X': 0.7766256332397461, 'Y': 0.4774669408798218, 'Z': -0.0775814801454544}, {'X': 0.7513583302497864, 'Y': 0.5373980402946472, 'Z': -0.06636801362037659}, {'X': 0.7453832626342773, 'Y': 0.5689318180084229, 'Z': -0.051780328154563904}]
[{'X': 0.7117810845375061, 'Y': 0.6911619901657104, 'Z': -8.011685395103996e-07}, {'X': 0.6509902477264404, 'Y': 0.6417088508605957, 'Z': -0.023021355271339417}, {'X': 0.5968677401542664, 'Y': 0.5605748891830444, 'Z': -0.04257964715361595}, {'X': 0.6060802936553955, 'Y': 0.48398253321647644, 'Z': -0.06491376459598541}, {'X': 0.6658815741539001, 'Y': 0.4723588824272156, 'Z': -0.08260377496480942}, {'X': 0.6578437685966492, 'Y': 0.4419739544391632, 'Z': -0.01440865732729435}, {'X': 0.6463882327079773, 'Y': 0.37216851115226746, 'Z': -0.059108272194862366}, {'X': 0.6403582692146301, 'Y': 0.4401822090148926, 'Z': -0.08281084895133972}, {'X': 0.6444429755210876, 'Y': 0.4885101318359375, 'Z': -0.09306736290454865}, {'X': 0.7074553370475769, 'Y': 0.45257455110549927, 'Z': -0.021981287747621536}, {'X': 0.6908165812492371, 'Y': 0.4023803174495697, 'Z': -0.06868360191583633}, {'X': 0.6803077459335327, 'Y': 0.4927605986595154, 'Z': -0.07517629116773605}, {'X': 0.683469295501709, 'Y': 0.5356820225715637, 'Z': -0.0689193457365036}, {'X': 0.7535369396209717, 'Y': 0.473362535238266, 'Z': -0.036840975284576416}, {'X': 0.7325647473335266, 'Y': 0.43520745635032654, 'Z': -0.08058667927980423}, {'X': 0.7155562043190002, 'Y': 0.5227653384208679, 'Z': -0.0688774436712265}, {'X': 0.715818464756012, 'Y': 0.5648943185806274, 'Z': -0.04932986944913864}, {'X': 0.7986299991607666, 'Y': 0.5033251643180847, 'Z': -0.05447140708565712}, {'X': 0.7723530530929565, 'Y': 0.476885050535202, 'Z': -0.076772540807724}, {'X': 0.7499492168426514, 'Y': 0.534046471118927, 'Z': -0.06646949052810669}, {'X': 0.7469808459281921, 'Y': 0.5648301243782043, 'Z': -0.052628856152296066}]
[{'X': 0.7040392160415649, 'Y': 0.6916202902793884, 'Z': -7.762223503959831e-07}, {'X': 0.6440277695655823, 'Y': 0.6398217678070068, 'Z': -0.0265857744961977}, {'X': 0.592400312423706, 'Y': 0.5604512095451355, 'Z': -0.04797277972102165}, {'X': 0.6010203957557678, 'Y': 0.48692724108695984, 'Z': -0.07211853563785553}, {'X': 0.6575436592102051, 'Y': 0.47160378098487854, 'Z': -0.09066715091466904}, {'X': 0.6551921367645264, 'Y': 0.4392869174480438, 'Z': -0.01213312242180109}, {'X': 0.6433016061782837, 'Y': 0.36849260330200195, 'Z': -0.05764370784163475}, {'X': 0.6341345906257629, 'Y': 0.4382757246494293, 'Z': -0.08078204095363617}, {'X': 0.6391971111297607, 'Y': 0.4847741723060608, 'Z': -0.09039027243852615}, {'X': 0.7042632699012756, 'Y': 0.45066016912460327, 'Z': -0.01898607425391674}, {'X': 0.6892167925834656, 'Y': 0.397795170545578, 'Z': -0.06773108243942261}, {'X': 0.6735977530479431, 'Y': 0.48971855640411377, 'Z': -0.07496724277734756}, {'X': 0.67600017786026, 'Y': 0.5313705205917358, 'Z': -0.06839901208877563}, {'X': 0.7496706247329712, 'Y': 0.4729026257991791, 'Z': -0.034060388803482056}, {'X': 0.7300535440444946, 'Y': 0.432893306016922, 'Z': -0.0801178589463234}, {'X': 0.7090295553207397, 'Y': 0.5218425989151001, 'Z': -0.06917737424373627}, {'X': 0.7092189788818359, 'Y': 0.5641446113586426, 'Z': -0.04924912750720978}, {'X': 0.7948709726333618, 'Y': 0.5044446587562561, 'Z': -0.05231817066669464}, {'X': 0.7683755159378052, 'Y': 0.4784620404243469, 'Z': -0.07551630586385727}, {'X': 0.7424051761627197, 'Y': 0.5338237881660461, 'Z': -0.06630642712116241}, {'X': 0.7374297976493835, 'Y': 0.5639102458953857, 'Z': -0.052900414913892746}]
[{'X': 0.7080566883087158, 'Y': 0.6881297826766968, 'Z': -7.549084557467722e-07}, {'X': 0.646538257598877, 'Y': 0.6413490772247314, 'Z': -0.02234574407339096}, {'X': 0.5934133529663086, 'Y': 0.5614800453186035, 'Z': -0.04046250879764557}, {'X': 0.6027816534042358, 'Y': 0.486239492893219, 'Z': -0.06145362928509712}, {'X': 0.6596740484237671, 'Y': 0.47077128291130066, 'Z': -0.07764977961778641}, {'X': 0.6531189680099487, 'Y': 0.44286486506462097, 'Z': -0.011807666160166264}, {'X': 0.6424588561058044, 'Y': 0.369350790977478, 'Z': -0.05254318565130234}, {'X': 0.6356565952301025, 'Y': 0.42690756916999817, 'Z': -0.07217880338430405}, {'X': 0.6385127902030945, 'Y': 0.47566959261894226, 'Z': -0.08003205060958862}, {'X': 0.7030161023139954, 'Y': 0.4500851631164551, 'Z': -0.019450223073363304}, {'X': 0.6854867935180664, 'Y': 0.40019944310188293, 'Z': -0.06403101980686188}, {'X': 0.6741028428077698, 'Y': 0.48849308490753174, 'Z': -0.06984523683786392}, {'X': 0.6779633164405823, 'Y': 0.5297673940658569, 'Z': -0.06351441890001297}, {'X': 0.7491920590400696, 'Y': 0.46913278102874756, 'Z': -0.03420932590961456}, {'X': 0.7274323105812073, 'Y': 0.4332953989505768, 'Z': -0.07681123912334442}, {'X': 0.7097432017326355, 'Y': 0.5197780132293701, 'Z': -0.06558222323656082}, {'X': 0.7111151814460754, 'Y': 0.5591680407524109, 'Z': -0.047066718339920044}, {'X': 0.7943874597549438, 'Y': 0.4979654550552368, 'Z': -0.051741138100624084}, {'X': 0.7680280208587646, 'Y': 0.47679761052131653, 'Z': -0.07421538978815079}, {'X': 0.7443728446960449, 'Y': 0.5332567691802979, 'Z': -0.0649590864777565}, {'X': 0.7411489486694336, 'Y': 0.5604677200317383, 'Z': -0.05222616717219353}]
[{'X': 0.7033594250679016, 'Y': 0.6877386569976807, 'Z': -8.071443176049797e-07}, {'X': 0.6425668001174927, 'Y': 0.6372418403625488, 'Z': -0.021397527307271957}, {'X': 0.5899386405944824, 'Y': 0.5554144978523254, 'Z': -0.04001394286751747}, {'X': 0.5995030403137207, 'Y': 0.47885626554489136, 'Z': -0.06201549246907234}, {'X': 0.6571305394172668, 'Y': 0.4702296853065491, 'Z': -0.07923926413059235}, {'X': 0.6523000001907349, 'Y': 0.44219309091567993, 'Z': -0.013099029660224915}, {'X': 0.642654538154602, 'Y': 0.36436209082603455, 'Z': -0.05574508756399155}, {'X': 0.6335473656654358, 'Y': 0.42641159892082214, 'Z': -0.07700357586145401}, {'X': 0.6358568072319031, 'Y': 0.47476956248283386, 'Z': -0.08579939603805542}, {'X': 0.7001513838768005, 'Y': 0.4535021185874939, 'Z': -0.02133146859705448}, {'X': 0.6842861175537109, 'Y': 0.39970898628234863, 'Z': -0.06734077632427216}, {'X': 0.6719384789466858, 'Y': 0.4882117509841919, 'Z': -0.07292132824659348}, {'X': 0.6753242611885071, 'Y': 0.5305034518241882, 'Z': -0.06633302569389343}, {'X': 0.7450243830680847, 'Y': 0.4740675091743469, 'Z': -0.03661162406206131}, {'X': 0.7244100570678711, 'Y': 0.4324319362640381, 'Z': -0.07898459583520889}, {'X': 0.706261932849884, 'Y': 0.5177658796310425, 'Z': -0.06659366935491562}, {'X': 0.7072067856788635, 'Y': 0.5589410066604614, 'Z': -0.04716625437140465}, {'X': 0.7891964912414551, 'Y': 0.5031143426895142, 'Z': -0.054739151149988174}, {'X': 0.7638877034187317, 'Y': 0.47335711121559143, 'Z': -0.07527907937765121}, {'X': 0.7403291463851929, 'Y': 0.5268679261207581, 'Z': -0.06462271511554718}, {'X': 0.7371270656585693, 'Y': 0.5562044382095337, 'Z': -0.0511646568775177}]
[{'X': 0.7001078724861145, 'Y': 0.6745281219482422, 'Z': -4.904146635453799e-07}, {'X': 0.6411524415016174, 'Y': 0.6400523781776428, 'Z': -0.02502577006816864}, {'X': 0.5904016494750977, 'Y': 0.5554885864257812, 'Z': -0.04877801612019539}, {'X': 0.6000655889511108, 'Y': 0.48041820526123047, 'Z': -0.07563711702823639}, {'X': 0.6499165296554565, 'Y': 0.4679379165172577, 'Z': -0.10051983594894409}, {'X': 0.6497388482093811, 'Y': 0.43414127826690674, 'Z': -0.02570451982319355}, {'X': 0.6548744440078735, 'Y': 0.33138102293014526, 'Z': -0.07221189141273499}, {'X': 0.6372734904289246, 'Y': 0.3071342706680298, 'Z': -0.09884632378816605}, {'X': 0.6176842451095581, 'Y': 0.3252642750740051, 'Z': -0.11154115945100784}, {'X': 0.6993888020515442, 'Y': 0.4470837116241455, 'Z': -0.03438199311494827}, {'X': 0.6828868389129639, 'Y': 0.40475523471832275, 'Z': -0.08763299137353897}, {'X': 0.6670562028884888, 'Y': 0.48874467611312866, 'Z': -0.09386744350194931}, {'X': 0.6653662323951721, 'Y': 0.5342668890953064, 'Z': -0.08620285987854004}, {'X': 0.7432295083999634, 'Y': 0.47203463315963745, 'Z': -0.049910496920347214}, {'X': 0.7209412455558777, 'Y': 0.43876537680625916, 'Z': -0.0983995869755745}, {'X': 0.7023835778236389, 'Y': 0.5229946970939636, 'Z': -0.08148027211427689}, {'X': 0.7008172273635864, 'Y': 0.5641078948974609, 'Z': -0.05829329416155815}, {'X': 0.7853820323944092, 'Y': 0.5037517547607422, 'Z': -0.06869304180145264}, {'X': 0.7599387764930725, 'Y': 0.48078951239585876, 'Z': -0.0986953005194664}, {'X': 0.7370848655700684, 'Y': 0.538577675819397, 'Z': -0.08690404146909714}, {'X': 0.7324106097221375, 'Y': 0.5670926570892334, 'Z': -0.07082104682922363}]
