[{'X': 0.565848708152771, 'Y': 0.6862277984619141, 'Z': -3.9292484643738135e-07}, {'X': 0.5207173824310303, 'Y': 0.6659268736839294, 'Z': -0.019773293286561966}, {'X': 0.4832366406917572, 'Y': 0.6109440922737122, 'Z': -0.03222484141588211}, {'X': 0.4992048740386963, 'Y': 0.5623900294303894, 'Z': -0.04450007900595665}, {'X': 0.5455151796340942, 'Y': 0.5655748844146729, 'Z': -0.05293205752968788}, {'X': 0.4988287389278412, 'Y': 0.5414933562278748, 'Z': -0.01617354340851307}, {'X': 0.48205819725990295, 'Y': 0.49685904383659363, 'Z': -0.04384696111083031}, {'X': 0.48459160327911377, 'Y': 0.5461997389793396, 'Z': -0.05818551406264305}, {'X': 0.4948364198207855, 'Y': 0.5686265230178833, 'Z': -0.06607906520366669}, {'X': 0.5318517088890076, 'Y': 0.5333168506622314, 'Z': -0.019864657893776894}, {'X': 0.5181472301483154, 'Y': 0.4824971556663513, 'Z': -0.047887612134218216}, {'X': 0.5175530910491943, 'Y': 0.5392320156097412, 'Z': -0.05190111696720123}, {'X': 0.5257460474967957, 'Y': 0.5559175610542297, 'Z': -0.04843581095337868}, {'X': 0.5652329921722412, 'Y': 0.5388612747192383, 'Z': -0.028137076646089554}, {'X': 0.5567847490310669, 'Y': 0.49274277687072754, 'Z': -0.052137281745672226}, {'X': 0.5498185753822327, 'Y': 0.547063410282135, 'Z': -0.04441618174314499}, {'X': 0.5543511509895325, 'Y': 0.5640565752983093, 'Z': -0.033414315432310104}, {'X': 0.6000503897666931, 'Y': 0.5516515374183655, 'Z': -0.03900248929858208}, {'X': 0.585842490196228, 'Y': 0.531821072101593, 'Z': -0.05173415318131447}, {'X': 0.575568675994873, 'Y': 0.56581050157547, 'Z': -0.04615788906812668}, {'X': 0.5793566107749939, 'Y': 0.5789843201637268, 'Z': -0.03909881412982941}]
[{'X': 0.568225085735321, 'Y': 0.684278130531311, 'Z': -3.9960642084224673e-07}, {'X': 0.5222126245498657, 'Y': 0.6659305095672607, 'Z': -0.01781141757965088}, {'X': 0.48506227135658264, 'Y': 0.6118360757827759, 'Z': -0.0294228196144104}, {'X': 0.5017923712730408, 'Y': 0.562559962272644, 'Z': -0.0412890762090683}, {'X': 0.5467700958251953, 'Y': 0.5655917525291443, 'Z': -0.04987337440252304}, {'X': 0.49847131967544556, 'Y': 0.5433319807052612, 'Z': -0.016523411497473717}, {'X': 0.4792349934577942, 'Y': 0.4957217276096344, 'Z': -0.043120622634887695}, {'X': 0.4799007177352905, 'Y': 0.541951596736908, 'Z': -0.0569692887365818}, {'X': 0.4901439845561981, 'Y': 0.566174328327179, 'Z': -0.06460239738225937}, {'X': 0.5327747464179993, 'Y': 0.5340276956558228, 'Z': -0.02033013477921486}, {'X': 0.5189855694770813, 'Y': 0.48193180561065674, 'Z': -0.04763546586036682}, {'X': 0.5188366770744324, 'Y': 0.5405133962631226, 'Z': -0.051379937678575516}, {'X': 0.5281267166137695, 'Y': 0.5602198839187622, 'Z': -0.047843534499406815}, {'X': 0.5672453045845032, 'Y': 0.5379966497421265, 'Z': -0.028278879821300507}, {'X': 0.5582087635993958, 'Y': 0.48956695199012756, 'Z': -0.05099215358495712}, {'X': 0.5510964393615723, 'Y': 0.5458056330680847, 'Z': -0.0428890734910965}, {'X': 0.5565776824951172, 'Y': 0.5671055912971497, 'Z': -0.03173209726810455}, {'X': 0.6029199957847595, 'Y': 0.5489508509635925, 'Z': -0.038582272827625275}, {'X': 0.5884289741516113, 'Y': 0.5247141122817993, 'Z': -0.050096504390239716}, {'X': 0.5771273374557495, 'Y': 0.5564174652099609, 'Z': -0.04427777975797653}, {'X': 0.5809001922607422, 'Y': 0.570630669593811, 'Z': -0.03716348856687546}]
[{'X': 0.5680789947509766, 'Y': 0.6853963732719421, 'Z': -4.076443644862593e-07}, {'X': 0.5209353566169739, 'Y': 0.6670920252799988, 'Z': -0.019596002995967865}, {'X': 0.48285961151123047, 'Y': 0.6087266206741333, 'Z': -0.03073069080710411}, {'X': 0.4997774660587311, 'Y': 0.5605044960975647, 'Z': -0.041475556790828705}, {'X': 0.5454412698745728, 'Y': 0.5681371092796326, 'Z': -0.04832298681139946}, {'X': 0.4979979693889618, 'Y': 0.5378301739692688, 'Z': -0.016487235203385353}, {'X': 0.4824542701244354, 'Y': 0.4952274560928345, 'Z': -0.0437573567032814}, {'X': 0.48459020256996155, 'Y': 0.5452808737754822, 'Z': -0.05698453262448311}, {'X': 0.4943719208240509, 'Y': 0.5679996609687805, 'Z': -0.06408204138278961}, {'X': 0.5323460698127747, 'Y': 0.5294341444969177, 'Z': -0.01971408538520336}, {'X': 0.5206892490386963, 'Y': 0.48101672530174255, 'Z': -0.04759224131703377}, {'X': 0.5203742384910583, 'Y': 0.540020227432251, 'Z': -0.05023910477757454}, {'X': 0.5280346274375916, 'Y': 0.5563379526138306, 'Z': -0.04560499265789986}, {'X': 0.5669420957565308, 'Y': 0.5353807210922241, 'Z': -0.02758028358221054}, {'X': 0.5596191883087158, 'Y': 0.4912679195404053, 'Z': -0.05160556733608246}, {'X': 0.5529800653457642, 'Y': 0.5473495721817017, 'Z': -0.043348278850317}, {'X': 0.5573076009750366, 'Y': 0.5641471743583679, 'Z': -0.03181939199566841}, {'X': 0.6028929948806763, 'Y': 0.5487938523292542, 'Z': -0.03798710182309151}, {'X': 0.5898028612136841, 'Y': 0.5278051495552063, 'Z': -0.05137365683913231}, {'X': 0.57975172996521, 'Y': 0.5599980354309082, 'Z': -0.04643583297729492}, {'X': 0.58334881067276, 'Y': 0.5714670419692993, 'Z': -0.039571650326251984}]
[{'X': 0.5672361850738525, 'Y': 0.6872429847717285, 'Z': -3.956476177791046e-07}, {'X': 0.5197254419326782, 'Y': 0.6653648614883423, 'Z': -0.01710544154047966}, {'X': 0.4831657111644745, 'Y': 0.6099206805229187, 'Z': -0.028361409902572632}, {'X': 0.5000463128089905, 'Y': 0.5628912448883057, 'Z': -0.040080778300762177}, {'X': 0.5454785823822021, 'Y': 0.5689351558685303, 'Z': -0.04878121241927147}, {'X': 0.4974803924560547, 'Y': 0.54498291015625, 'Z': -0.014977791346609592}, {'X': 0.4784756600856781, 'Y': 0.4987996816635132, 'Z': -0.041037410497665405}, {'X': 0.47791558504104614, 'Y': 0.542174756526947, 'Z': -0.054664675146341324}, {'X': 0.4873410761356354, 'Y': 0.5671771168708801, 'Z': -0.06199856847524643}, {'X': 0.5315123796463013, 'Y': 0.5363931655883789, 'Z': -0.019095338881015778}, {'X': 0.5166014432907104, 'Y': 0.4835050106048584, 'Z': -0.04648109897971153}, {'X': 0.5154468417167664, 'Y': 0.538206934928894, 'Z': -0.050991613417863846}, {'X': 0.5238052606582642, 'Y': 0.5603581666946411, 'Z': -0.047820769250392914}, {'X': 0.5658152103424072, 'Y': 0.5407963991165161, 'Z': -0.02727651409804821}, {'X': 0.5558359026908875, 'Y': 0.4897094964981079, 'Z': -0.05054205656051636}, {'X': 0.548464298248291, 'Y': 0.5425443053245544, 'Z': -0.04417084902524948}, {'X': 0.5530654191970825, 'Y': 0.5664120316505432, 'Z': -0.03383858501911163}, {'X': 0.6013513207435608, 'Y': 0.5533520579338074, 'Z': -0.03767203912138939}, {'X': 0.586534857749939, 'Y': 0.5230898261070251, 'Z': -0.050824012607336044}, {'X': 0.5750043392181396, 'Y': 0.5525941848754883, 'Z': -0.04677214100956917}, {'X': 0.5779663920402527, 'Y': 0.5695861577987671, 'Z': -0.04057525098323822}]
[{'X': 0.5689830183982849, 'Y': 0.684267520904541, 'Z': -3.8746057384742016e-07}, {'X': 0.5225818157196045, 'Y': 0.6680324673652649, 'Z': -0.020647749304771423}, {'X': 0.4864155054092407, 'Y': 0.6087204217910767, 'Z': -0.031372908502817154}, {'X': 0.5047054886817932, 'Y': 0.5621129274368286, 'Z': -0.04145614802837372}, {'X': 0.5466975569725037, 'Y': 0.5681381821632385, 'Z': -0.04758305847644806}, {'X': 0.50823974609375, 'Y': 0.5322902202606201, 'Z': -0.013780990615487099}, {'X': 0.49819764494895935, 'Y': 0.4933050870895386, 'Z': -0.04185432940721512}, {'X': 0.5021055936813354, 'Y': 0.5443118810653687, 'Z': -0.05639210715889931}, {'X': 0.5109061002731323, 'Y': 0.5662039518356323, 'Z': -0.06402301043272018}, {'X': 0.5409501194953918, 'Y': 0.5271235704421997, 'Z': -0.01656907983124256}, {'X': 0.5310066938400269, 'Y': 0.4806070625782013, 'Z': -0.04476989433169365}, {'X': 0.5297637581825256, 'Y': 0.538466215133667, 'Z': -0.04816598445177078}, {'X': 0.5362859964370728, 'Y': 0.5534203052520752, 'Z': -0.043897584080696106}, {'X': 0.5724179744720459, 'Y': 0.5355462431907654, 'Z': -0.024517163634300232}, {'X': 0.5656334757804871, 'Y': 0.49290919303894043, 'Z': -0.04954396188259125}, {'X': 0.5590426325798035, 'Y': 0.5496684908866882, 'Z': -0.041176989674568176}, {'X': 0.562774121761322, 'Y': 0.565588653087616, 'Z': -0.029322991147637367}, {'X': 0.6049467325210571, 'Y': 0.5512135028839111, 'Z': -0.035099487751722336}, {'X': 0.5919483304023743, 'Y': 0.5335161685943604, 'Z': -0.04873332381248474}, {'X': 0.5827597975730896, 'Y': 0.5709445476531982, 'Z': -0.04280047491192818}, {'X': 0.5861371755599976, 'Y': 0.5826824903488159, 'Z': -0.03516099229454994}]
[{'X': 0.5703394412994385, 'Y': 0.6860204935073853, 'Z': -3.8137295632623136e-07}, {'X': 0.5239710211753845, 'Y': 0.66591876745224, 'Z': -0.018237370997667313}, {'X': 0.4880046844482422, 'Y': 0.6102645397186279, 'Z': -0.029476942494511604}, {'X': 0.5024853944778442, 'Y': 0.562869668006897, 'Z': -0.04122304543852806}, {'X': 0.5452865362167358, 'Y': 0.567126989364624, 'Z': -0.049303699284791946}, {'X': 0.5065191984176636, 'Y': 0.5411275625228882, 'Z': -0.010895618237555027}, {'X': 0.49737852811813354, 'Y': 0.49416062235832214, 'Z': -0.038287192583084106}, {'X': 0.5015826225280762, 'Y': 0.5426124930381775, 'Z': -0.053039051592350006}, {'X': 0.5105937123298645, 'Y': 0.5686744451522827, 'Z': -0.06065899506211281}, {'X': 0.5395450592041016, 'Y': 0.5337526798248291, 'Z': -0.015072937123477459}, {'X': 0.5318150520324707, 'Y': 0.4805293381214142, 'Z': -0.041948117315769196}, {'X': 0.5310863256454468, 'Y': 0.534796416759491, 'Z': -0.04627903923392296}, {'X': 0.5373272895812988, 'Y': 0.5537216067314148, 'Z': -0.043068110942840576}, {'X': 0.5722762942314148, 'Y': 0.5398373007774353, 'Z': -0.02416297048330307}, {'X': 0.5674408674240112, 'Y': 0.4914551079273224, 'Z': -0.047465115785598755}, {'X': 0.5606421232223511, 'Y': 0.5427215099334717, 'Z': -0.04068955034017563}, {'X': 0.5637183785438538, 'Y': 0.5610009431838989, 'Z': -0.030422283336520195}, {'X': 0.6062092781066895, 'Y': 0.5541989207267761, 'Z': -0.03574848547577858}, {'X': 0.594944953918457, 'Y': 0.5322327017784119, 'Z': -0.04770224168896675}, {'X': 0.5851739048957825, 'Y': 0.5649137496948242, 'Z': -0.0423414409160614}, {'X': 0.5876784920692444, 'Y': 0.5789622664451599, 'Z': -0.035679422318935394}]
[{'X': 0.5707800984382629, 'Y': 0.6876145005226135, 'Z': -3.7160575061534473e-07}, {'X': 0.5245864987373352, 'Y': 0.6649812459945679, 'Z': -0.01958690956234932}, {'X': 0.4880809187889099, 'Y': 0.612715482711792, 'Z': -0.03277359902858734}, {'X': 0.5030797123908997, 'Y': 0.5644369125366211, 'Z': -0.046632248908281326}, {'X': 0.547938883304596, 'Y': 0.5672836303710938, 'Z': -0.05682745575904846}, {'X': 0.505580484867096, 'Y': 0.541043758392334, 'Z': -0.012036590836942196}, {'X': 0.49365949630737305, 'Y': 0.49395960569381714, 'Z': -0.0414433591067791}, {'X': 0.49855002760887146, 'Y': 0.5410003662109375, 'Z': -0.05815129727125168}, {'X': 0.5093583464622498, 'Y': 0.5674552321434021, 'Z': -0.06688928604125977}, {'X': 0.5392507910728455, 'Y': 0.5340806841850281, 'Z': -0.01586795784533024}, {'X': 0.5290727615356445, 'Y': 0.48075366020202637, 'Z': -0.044926658272743225}, {'X': 0.5287860631942749, 'Y': 0.5357950329780579, 'Z': -0.050754643976688385}, {'X': 0.5358896851539612, 'Y': 0.5564440488815308, 'Z': -0.04843346029520035}, {'X': 0.5724424719810486, 'Y': 0.5405148267745972, 'Z': -0.024835538119077682}, {'X': 0.5659381747245789, 'Y': 0.48662787675857544, 'Z': -0.049900081008672714}, {'X': 0.5590659379959106, 'Y': 0.5393320322036743, 'Z': -0.043436769396066666}, {'X': 0.562764048576355, 'Y': 0.5622089505195618, 'Z': -0.03274732083082199}, {'X': 0.6070204973220825, 'Y': 0.5559237003326416, 'Z': -0.03639647737145424}, {'X': 0.5951971411705017, 'Y': 0.5264268517494202, 'Z': -0.049787409603595734}, {'X': 0.5838907957077026, 'Y': 0.5570006966590881, 'Z': -0.04513538256287575}, {'X': 0.5856598615646362, 'Y': 0.5739573836326599, 'Z': -0.03845662623643875}]
[{'X': 0.5728484392166138, 'Y': 0.6869142055511475, 'Z': -4.3030644292230136e-07}, {'X': 0.5254453420639038, 'Y': 0.6621605157852173, 'Z': -0.017046164721250534}, {'X': 0.4896533489227295, 'Y': 0.607158899307251, 'Z': -0.02898155339062214}, {'X': 0.5071889758110046, 'Y': 0.559745728969574, 'Z': -0.04214344918727875}, {'X': 0.5517005324363708, 'Y': 0.5641664862632751, 'Z': -0.052105166018009186}, {'X': 0.5113344192504883, 'Y': 0.5328434705734253, 'Z': -0.008804493583738804}, {'X': 0.503655195236206, 'Y': 0.4875503480434418, 'Z': -0.038328733295202255}, {'X': 0.5072392821311951, 'Y': 0.5367193222045898, 'Z': -0.05544310808181763}, {'X': 0.5160002708435059, 'Y': 0.5669490098953247, 'Z': -0.0639989823102951}, {'X': 0.5432695746421814, 'Y': 0.5281723737716675, 'Z': -0.01387104857712984}, {'X': 0.5350804924964905, 'Y': 0.47548606991767883, 'Z': -0.043352384120225906}, {'X': 0.5327494740486145, 'Y': 0.5311412215232849, 'Z': -0.04983554407954216}, {'X': 0.5377010703086853, 'Y': 0.5570235848426819, 'Z': -0.04751870036125183}, {'X': 0.5750046968460083, 'Y': 0.5352250933647156, 'Z': -0.023874549195170403}, {'X': 0.569909393787384, 'Y': 0.4868360757827759, 'Z': -0.049726709723472595}, {'X': 0.5626800656318665, 'Y': 0.5427044630050659, 'Z': -0.04415887966752052}, {'X': 0.5649020671844482, 'Y': 0.569953441619873, 'Z': -0.03349347040057182}, {'X': 0.6079626083374023, 'Y': 0.5510798096656799, 'Z': -0.03615788370370865}, {'X': 0.5957291722297668, 'Y': 0.5273842215538025, 'Z': -0.04921803995966911}, {'X': 0.5854543447494507, 'Y': 0.5639549493789673, 'Z': -0.04399191215634346}, {'X': 0.5868775248527527, 'Y': 0.5836397409439087, 'Z': -0.03679994121193886}]
[{'X': 0.5707433223724365, 'Y': 0.6788612604141235, 'Z': -2.8535717433442187e-07}, {'X': 0.5248899459838867, 'Y': 0.6654775142669678, 'Z': -0.02131780795753002}, {'X': 0.48739704489707947, 'Y': 0.605842113494873, 'Z': -0.03422117233276367}, {'X': 0.5055110454559326, 'Y': 0.5590143203735352, 'Z': -0.046722810715436935}, {'X': 0.5497065186500549, 'Y': 0.5637257695198059, 'Z': -0.05675818398594856}, {'X': 0.5115058422088623, 'Y': 0.5284436345100403, 'Z': -0.016928764060139656}, {'X': 0.5071252584457397, 'Y': 0.4709332585334778, 'Z': -0.044143158942461014}, {'X': 0.5048160552978516, 'Y': 0.5132623910903931, 'Z': -0.06188599392771721}, {'X': 0.5107145309448242, 'Y': 0.5511198043823242, 'Z': -0.07184534519910812}, {'X': 0.5437818765640259, 'Y': 0.5203047394752502, 'Z': -0.019870461896061897}, {'X': 0.539195716381073, 'Y': 0.45318111777305603, 'Z': -0.048928216099739075}, {'X': 0.5329480171203613, 'Y': 0.49723494052886963, 'Z': -0.059730831533670425}, {'X': 0.5375605225563049, 'Y': 0.5367457866668701, 'Z': -0.06045524403452873}, {'X': 0.5749715566635132, 'Y': 0.527445375919342, 'Z': -0.027003943920135498}, {'X': 0.5732145309448242, 'Y': 0.4604029655456543, 'Z': -0.05263408273458481}, {'X': 0.5636210441589355, 'Y': 0.5089693665504456, 'Z': -0.05380290374159813}, {'X': 0.5631420016288757, 'Y': 0.5493296980857849, 'Z': -0.04842164367437363}, {'X': 0.6072317957878113, 'Y': 0.5461706519126892, 'Z': -0.036326613277196884}, {'X': 0.5970410704612732, 'Y': 0.5239725112915039, 'Z': -0.05569666624069214}, {'X': 0.5871700048446655, 'Y': 0.5606434345245361, 'Z': -0.05758465453982353}, {'X': 0.5873490571975708, 'Y': 0.5873274803161621, 'Z': -0.05490653216838837}]
[{'X': 0.57832270860672, 'Y': 0.6849302053451538, 'Z': 1.0791742255378267e-07}, {'X': 0.5287300944328308, 'Y': 0.6645381450653076, 'Z': -0.015944339334964752}, {'X': 0.4944533109664917, 'Y': 0.6038073301315308, 'Z': -0.018228378146886826}, {'X': 0.5148378610610962, 'Y': 0.558801531791687, 'Z': -0.019787803292274475}, {'X': 0.5546598434448242, 'Y': 0.5575742721557617, 'Z': -0.021726418286561966}, {'X': 0.5159949064254761, 'Y': 0.5247988104820251, 'Z': 0.00033553302637301385}, {'X': 0.5038508176803589, 'Y': 0.4750027358531952, 'Z': -0.004731782246381044}, {'X': 0.49888643622398376, 'Y': 0.4471283555030823, 'Z': -0.01303363498300314}, {'X': 0.49319472908973694, 'Y': 0.42182421684265137, 'Z': -0.022013001143932343}, {'X': 0.548427402973175, 'Y': 0.5166924595832825, 'Z': -0.002122984267771244}, {'X': 0.5408226847648621, 'Y': 0.46420714259147644, 'Z': -0.0063623120076954365}, {'X': 0.5369865298271179, 'Y': 0.43365204334259033, 'Z': -0.015564294531941414}, {'X': 0.5324695706367493, 'Y': 0.4085087776184082, 'Z': -0.023471659049391747}, {'X': 0.5795272588729858, 'Y': 0.5259497165679932, 'Z': -0.007930302992463112}, {'X': 0.5806324481964111, 'Y': 0.4820566773414612, 'Z': -0.020481567829847336}, {'X': 0.5782725811004639, 'Y': 0.46270379424095154, 'Z': -0.03368106484413147}, {'X': 0.5746799111366272, 'Y': 0.4481683671474457, 'Z': -0.042787451297044754}, {'X': 0.6109614968299866, 'Y': 0.5478893518447876, 'Z': -0.015303387306630611}, {'X': 0.6058841943740845, 'Y': 0.5220174193382263, 'Z': -0.03148573264479637}, {'X': 0.5998983979225159, 'Y': 0.5416796803474426, 'Z': -0.037485066801309586}, {'X': 0.5945300459861755, 'Y': 0.5630262494087219, 'Z': -0.04111926630139351}]
[{'X': 0.5813172459602356, 'Y': 0.6883915662765503, 'Z': 1.8448889704814064e-07}, {'X': 0.5341305136680603, 'Y': 0.6653696298599243, 'Z': -0.018870877102017403}, {'X': 0.49883705377578735, 'Y': 0.6039178967475891, 'Z': -0.024443456903100014}, {'X': 0.5183071494102478, 'Y': 0.5540594458580017, 'Z': -0.028055701404809952}, {'X': 0.5574853420257568, 'Y': 0.5424299240112305, 'Z': -0.03383423015475273}, {'X': 0.5195044279098511, 'Y': 0.5224275588989258, 'Z': -0.010684555396437645}, {'X': 0.501783013343811, 'Y': 0.4594210386276245, 'Z': -0.01818344183266163}, {'X': 0.49404510855674744, 'Y': 0.4196377098560333, 'Z': -0.027121027931571007}, {'X': 0.48616868257522583, 'Y': 0.38232332468032837, 'Z': -0.036554817110300064}, {'X': 0.5536376237869263, 'Y': 0.510465681552887, 'Z': -0.015516683459281921}, {'X': 0.5414125919342041, 'Y': 0.4323258697986603, 'Z': -0.023534569889307022}, {'X': 0.5354323387145996, 'Y': 0.3835604190826416, 'Z': -0.03523328900337219}, {'X': 0.5296005010604858, 'Y': 0.34302452206611633, 'Z': -0.0443749763071537}, {'X': 0.5858064889907837, 'Y': 0.5169599652290344, 'Z': -0.022974073886871338}, {'X': 0.5848400592803955, 'Y': 0.4482356309890747, 'Z': -0.04253338649868965}, {'X': 0.5827060341835022, 'Y': 0.4050767421722412, 'Z': -0.060998816043138504}, {'X': 0.5818389058113098, 'Y': 0.3668687045574188, 'Z': -0.07360269129276276}, {'X': 0.6173635721206665, 'Y': 0.5394138097763062, 'Z': -0.0313078910112381}, {'X': 0.6037630438804626, 'Y': 0.5085735321044922, 'Z': -0.0555444210767746}, {'X': 0.5998441576957703, 'Y': 0.5480138063430786, 'Z': -0.06114526465535164}, {'X': 0.6022652387619019, 'Y': 0.5864028930664062, 'Z': -0.06393513828516006}]
