[{'X': 0.656004786491394, 'Y': 0.7233957052230835, 'Z': -5.149799449100101e-07}, {'X': 0.6059977412223816, 'Y': 0.696270763874054, 'Z': -0.016300173476338387}, {'X': 0.5636406540870667, 'Y': 0.6481421589851379, 'Z': -0.028363637626171112}, {'X': 0.5565687417984009, 'Y': 0.5880562663078308, 'Z': -0.042547937482595444}, {'X': 0.5876893997192383, 'Y': 0.5577244162559509, 'Z': -0.05287281423807144}, {'X': 0.5964251160621643, 'Y': 0.5713117718696594, 'Z': 0.001738490303978324}, {'X': 0.5874007344245911, 'Y': 0.5228796601295471, 'Z': -0.027429528534412384}, {'X': 0.5881754755973816, 'Y': 0.570259690284729, 'Z': -0.04157041385769844}, {'X': 0.5938737988471985, 'Y': 0.5949450135231018, 'Z': -0.04680894687771797}, {'X': 0.6293713450431824, 'Y': 0.5687122941017151, 'Z': -0.0027898456901311874}, {'X': 0.6191302537918091, 'Y': 0.5250776410102844, 'Z': -0.03298472240567207}, {'X': 0.6188068985939026, 'Y': 0.5870934128761292, 'Z': -0.036990467458963394}, {'X': 0.6241503357887268, 'Y': 0.6068795919418335, 'Z': -0.03156975656747818}, {'X': 0.6617388129234314, 'Y': 0.5733299255371094, 'Z': -0.01310868002474308}, {'X': 0.650580108165741, 'Y': 0.5325446724891663, 'Z': -0.04343161731958389}, {'X': 0.647400438785553, 'Y': 0.5955492854118347, 'Z': -0.03303775563836098}, {'X': 0.6521568298339844, 'Y': 0.6155791282653809, 'Z': -0.017042063176631927}, {'X': 0.6955744624137878, 'Y': 0.5869394540786743, 'Z': -0.025214798748493195}, {'X': 0.6791352033615112, 'Y': 0.5553407669067383, 'Z': -0.04035763442516327}, {'X': 0.6722273230552673, 'Y': 0.6004801988601685, 'Z': -0.03004530631005764}, {'X': 0.6755619645118713, 'Y': 0.6196915507316589, 'Z': -0.017456315457820892}]
[{'X': 0.6578628420829773, 'Y': 0.7242286205291748, 'Z': -5.138824690220645e-07}, {'X': 0.6072974801063538, 'Y': 0.6956799626350403, 'Z': -0.01603388786315918}, {'X': 0.5647085309028625, 'Y': 0.6471397876739502, 'Z': -0.02792200818657875}, {'X': 0.5567845106124878, 'Y': 0.586578905582428, 'Z': -0.04194137826561928}, {'X': 0.5888628363609314, 'Y': 0.5560128092765808, 'Z': -0.052119310945272446}, {'X': 0.598620593547821, 'Y': 0.5718371272087097, 'Z': 0.0021816089283674955}, {'X': 0.5888969898223877, 'Y': 0.5220569968223572, 'Z': -0.0262705497443676}, {'X': 0.5895488262176514, 'Y': 0.5664340853691101, 'Z': -0.04049535095691681}, {'X': 0.595593273639679, 'Y': 0.5908588767051697, 'Z': -0.046083271503448486}, {'X': 0.6313092708587646, 'Y': 0.5684738159179688, 'Z': -0.0023767859674990177}, {'X': 0.6197499632835388, 'Y': 0.5256321430206299, 'Z': -0.032742831856012344}, {'X': 0.6203996539115906, 'Y': 0.5859165787696838, 'Z': -0.03740888833999634}, {'X': 0.6270653605461121, 'Y': 0.6061538457870483, 'Z': -0.03245184198021889}, {'X': 0.663588285446167, 'Y': 0.5722728371620178, 'Z': -0.012586831115186214}, {'X': 0.6515932679176331, 'Y': 0.5328523516654968, 'Z': -0.04275716841220856}, {'X': 0.648976743221283, 'Y': 0.5937089323997498, 'Z': -0.032834239304065704}, {'X': 0.6544157862663269, 'Y': 0.6131953001022339, 'Z': -0.01723838783800602}, {'X': 0.6973350048065186, 'Y': 0.5853291153907776, 'Z': -0.024607928469777107}, {'X': 0.6803536415100098, 'Y': 0.5545099973678589, 'Z': -0.039417166262865067}, {'X': 0.6736622452735901, 'Y': 0.5986650586128235, 'Z': -0.02918294258415699}, {'X': 0.677564799785614, 'Y': 0.6177263259887695, 'Z': -0.016796991229057312}]
[{'X': 0.6570941209793091, 'Y': 0.7232852578163147, 'Z': -4.997441465093289e-07}, {'X': 0.6074615120887756, 'Y': 0.6931433081626892, 'Z': -0.01821221597492695}, {'X': 0.5657025575637817, 'Y': 0.6464089751243591, 'Z': -0.03175073489546776}, {'X': 0.558653712272644, 'Y': 0.5878303647041321, 'Z': -0.047383904457092285}, {'X': 0.5881123542785645, 'Y': 0.5546855926513672, 'Z': -0.058586545288562775}, {'X': 0.5991455912590027, 'Y': 0.5687106251716614, 'Z': 0.0007915159803815186}, {'X': 0.5891273617744446, 'Y': 0.522333025932312, 'Z': -0.030851783230900764}, {'X': 0.5903091430664062, 'Y': 0.5743574500083923, 'Z': -0.046397898346185684}, {'X': 0.5975667834281921, 'Y': 0.5980343818664551, 'Z': -0.052299197763204575}, {'X': 0.6325578689575195, 'Y': 0.5677265524864197, 'Z': -0.0029035131447017193}, {'X': 0.6201973557472229, 'Y': 0.5291026830673218, 'Z': -0.035512398928403854}, {'X': 0.620125412940979, 'Y': 0.5909096598625183, 'Z': -0.040645770728588104}, {'X': 0.6263307332992554, 'Y': 0.6064866185188293, 'Z': -0.03596075624227524}, {'X': 0.6651058793067932, 'Y': 0.5728739500045776, 'Z': -0.012868551537394524}, {'X': 0.6515344381332397, 'Y': 0.5347598791122437, 'Z': -0.04457715526223183}, {'X': 0.6484882235527039, 'Y': 0.597416877746582, 'Z': -0.03436236083507538}, {'X': 0.6541674733161926, 'Y': 0.6146147847175598, 'Z': -0.01852666214108467}, {'X': 0.6989582777023315, 'Y': 0.5864214897155762, 'Z': -0.024878835305571556}, {'X': 0.6812755465507507, 'Y': 0.5569685697555542, 'Z': -0.04027378559112549}, {'X': 0.6741793155670166, 'Y': 0.6011689305305481, 'Z': -0.030378330498933792}, {'X': 0.6784541606903076, 'Y': 0.6184474229812622, 'Z': -0.017960526049137115}]
[{'X': 0.6565549969673157, 'Y': 0.7261906862258911, 'Z': -5.20805940595892e-07}, {'X': 0.6064223647117615, 'Y': 0.6972486972808838, 'Z': -0.01659977249801159}, {'X': 0.5638428330421448, 'Y': 0.6487916707992554, 'Z': -0.029281536117196083}, {'X': 0.5576949715614319, 'Y': 0.587280809879303, 'Z': -0.04405868053436279}, {'X': 0.5896660685539246, 'Y': 0.5567768812179565, 'Z': -0.05477225035429001}, {'X': 0.5976459383964539, 'Y': 0.5721020698547363, 'Z': 0.0010014909785240889}, {'X': 0.5891187787055969, 'Y': 0.5219847559928894, 'Z': -0.028389064595103264}, {'X': 0.5894047021865845, 'Y': 0.5704408884048462, 'Z': -0.04259064048528671}, {'X': 0.5948065519332886, 'Y': 0.5952698588371277, 'Z': -0.04797139763832092}, {'X': 0.6310420632362366, 'Y': 0.5694785118103027, 'Z': -0.003460835199803114}, {'X': 0.6198914647102356, 'Y': 0.527506947517395, 'Z': -0.033773135393857956}, {'X': 0.6196250915527344, 'Y': 0.5892069935798645, 'Z': -0.037795424461364746}, {'X': 0.6251089572906494, 'Y': 0.6076281070709229, 'Z': -0.03258760645985603}, {'X': 0.6635313630104065, 'Y': 0.5737025141716003, 'Z': -0.013745150528848171}, {'X': 0.6510165333747864, 'Y': 0.5349186658859253, 'Z': -0.04337053745985031}, {'X': 0.6479129791259766, 'Y': 0.5968809723854065, 'Z': -0.03271475061774254}, {'X': 0.6528820395469666, 'Y': 0.615111768245697, 'Z': -0.017020193859934807}, {'X': 0.6975444555282593, 'Y': 0.5869962573051453, 'Z': -0.02597835659980774}, {'X': 0.6800479292869568, 'Y': 0.5570319890975952, 'Z': -0.0404355451464653}, {'X': 0.6732147932052612, 'Y': 0.6020853519439697, 'Z': -0.03001011162996292}, {'X': 0.6770137548446655, 'Y': 0.6207994818687439, 'Z': -0.017600378021597862}]
[{'X': 0.6570226550102234, 'Y': 0.7281979918479919, 'Z': -5.306888510858698e-07}, {'X': 0.6068454384803772, 'Y': 0.7001098990440369, 'Z': -0.01738187111914158}, {'X': 0.5642686486244202, 'Y': 0.6503720283508301, 'Z': -0.030042462050914764}, {'X': 0.5579515695571899, 'Y': 0.5886424779891968, 'Z': -0.04462504759430885}, {'X': 0.5904536247253418, 'Y': 0.5577869415283203, 'Z': -0.05525251477956772}, {'X': 0.5972011089324951, 'Y': 0.5729233622550964, 'Z': 0.0007053055451251566}, {'X': 0.588718593120575, 'Y': 0.5231181979179382, 'Z': -0.028722021728754044}, {'X': 0.5883349776268005, 'Y': 0.5688892006874084, 'Z': -0.04252585768699646}, {'X': 0.5934340357780457, 'Y': 0.5951603055000305, 'Z': -0.047370895743370056}, {'X': 0.6302800178527832, 'Y': 0.5699383616447449, 'Z': -0.0033452874049544334}, {'X': 0.6197237372398376, 'Y': 0.5276931524276733, 'Z': -0.035042859613895416}, {'X': 0.619535505771637, 'Y': 0.5917717218399048, 'Z': -0.03918853774666786}, {'X': 0.6255553364753723, 'Y': 0.6134414672851562, 'Z': -0.03330079838633537}, {'X': 0.6630734801292419, 'Y': 0.5742983818054199, 'Z': -0.013151653110980988}, {'X': 0.6514962315559387, 'Y': 0.5360568761825562, 'Z': -0.04531228542327881}, {'X': 0.6483885645866394, 'Y': 0.6013427972793579, 'Z': -0.03482251241803169}, {'X': 0.6534548401832581, 'Y': 0.6230048537254333, 'Z': -0.018160121515393257}, {'X': 0.6973240375518799, 'Y': 0.5879570841789246, 'Z': -0.02474280633032322}, {'X': 0.6800915002822876, 'Y': 0.5583038330078125, 'Z': -0.04134223982691765}, {'X': 0.6732883453369141, 'Y': 0.6062333583831787, 'Z': -0.03102896735072136}, {'X': 0.6767915487289429, 'Y': 0.6266574859619141, 'Z': -0.017971092835068703}]
[{'X': 0.6572895646095276, 'Y': 0.730404257774353, 'Z': -4.959173907082004e-07}, {'X': 0.6064738631248474, 'Y': 0.6997190117835999, 'Z': -0.01675492897629738}, {'X': 0.5647862553596497, 'Y': 0.6514810919761658, 'Z': -0.028845246881246567}, {'X': 0.5574014782905579, 'Y': 0.5912009477615356, 'Z': -0.04314224794507027}, {'X': 0.588584840297699, 'Y': 0.5587589740753174, 'Z': -0.05365343391895294}, {'X': 0.6005919575691223, 'Y': 0.5737284421920776, 'Z': 0.004735478665679693}, {'X': 0.5907129049301147, 'Y': 0.5260841846466064, 'Z': -0.024096284061670303}, {'X': 0.5911503434181213, 'Y': 0.5726124048233032, 'Z': -0.03932827711105347}, {'X': 0.5973660349845886, 'Y': 0.5996719598770142, 'Z': -0.04523121565580368}, {'X': 0.63295978307724, 'Y': 0.5715823173522949, 'Z': 0.0005830215523019433}, {'X': 0.6214023232460022, 'Y': 0.5272185206413269, 'Z': -0.03008938394486904}, {'X': 0.6214481592178345, 'Y': 0.5898259878158569, 'Z': -0.03590742126107216}, {'X': 0.628500759601593, 'Y': 0.6155549883842468, 'Z': -0.031216882169246674}, {'X': 0.6653005480766296, 'Y': 0.5765913724899292, 'Z': -0.009512263350188732}, {'X': 0.6530740857124329, 'Y': 0.5337954163551331, 'Z': -0.04071378335356712}, {'X': 0.6493832468986511, 'Y': 0.597585141658783, 'Z': -0.032123200595378876}, {'X': 0.654747724533081, 'Y': 0.625118613243103, 'Z': -0.01647528074681759}, {'X': 0.6996734142303467, 'Y': 0.5910158753395081, 'Z': -0.021355630829930305}, {'X': 0.6818965673446655, 'Y': 0.5571918487548828, 'Z': -0.037690721452236176}, {'X': 0.6738947629928589, 'Y': 0.6024796366691589, 'Z': -0.02855898253619671}, {'X': 0.676965594291687, 'Y': 0.6264945268630981, 'Z': -0.016200505197048187}]
[{'X': 0.6555111408233643, 'Y': 0.7291991710662842, 'Z': -4.832441504731833e-07}, {'X': 0.6017916202545166, 'Y': 0.7013657689094543, 'Z': -0.014772620052099228}, {'X': 0.5633391737937927, 'Y': 0.6512198448181152, 'Z': -0.024181999266147614}, {'X': 0.5584110617637634, 'Y': 0.5949474573135376, 'Z': -0.035550281405448914}, {'X': 0.5787645578384399, 'Y': 0.5581591725349426, 'Z': -0.0436827577650547}, {'X': 0.5998181104660034, 'Y': 0.5747390389442444, 'Z': 0.0019336937693879008}, {'X': 0.5924542546272278, 'Y': 0.5215254426002502, 'Z': -0.024866484105587006}, {'X': 0.5956428050994873, 'Y': 0.5657510161399841, 'Z': -0.04227062314748764}, {'X': 0.6007028818130493, 'Y': 0.6031640768051147, 'Z': -0.0500677116215229}, {'X': 0.6326208710670471, 'Y': 0.5722387433052063, 'Z': -0.002634420758113265}, {'X': 0.6232826113700867, 'Y': 0.5198577046394348, 'Z': -0.030235012993216515}, {'X': 0.6238316297531128, 'Y': 0.5779209136962891, 'Z': -0.03974156826734543}, {'X': 0.6281763911247253, 'Y': 0.6160198450088501, 'Z': -0.03912411630153656}, {'X': 0.6657251715660095, 'Y': 0.5777398943901062, 'Z': -0.011998728848993778}, {'X': 0.6577086448669434, 'Y': 0.5234173536300659, 'Z': -0.03888526186347008}, {'X': 0.6529182195663452, 'Y': 0.582244336605072, 'Z': -0.03344634175300598}, {'X': 0.6539151668548584, 'Y': 0.6218605637550354, 'Z': -0.021783463656902313}, {'X': 0.7003617882728577, 'Y': 0.5925413370132446, 'Z': -0.022988086566329002}, {'X': 0.6887099146842957, 'Y': 0.5551632642745972, 'Z': -0.039440032094717026}, {'X': 0.6787260174751282, 'Y': 0.5941517949104309, 'Z': -0.03272376209497452}, {'X': 0.6773737072944641, 'Y': 0.6234344244003296, 'Z': -0.0225942712277174}]
[{'X': 0.6548500061035156, 'Y': 0.7207769751548767, 'Z': 1.616167288887027e-08}, {'X': 0.6013312935829163, 'Y': 0.7080733180046082, 'Z': -0.021600134670734406}, {'X': 0.5617780089378357, 'Y': 0.6611712574958801, 'Z': -0.03342628851532936}, {'X': 0.5399324893951416, 'Y': 0.614172637462616, 'Z': -0.04523472860455513}, {'X': 0.5323541760444641, 'Y': 0.569922149181366, 'Z': -0.054801132529973984}, {'X': 0.6023374199867249, 'Y': 0.56463623046875, 'Z': -0.003032976994290948}, {'X': 0.5938719511032104, 'Y': 0.5065945982933044, 'Z': -0.021453404799103737}, {'X': 0.586975634098053, 'Y': 0.48408520221710205, 'Z': -0.03883654624223709}, {'X': 0.5823318362236023, 'Y': 0.48871511220932007, 'Z': -0.04924365505576134}, {'X': 0.6369665265083313, 'Y': 0.5566887855529785, 'Z': -0.005292424000799656}, {'X': 0.6349347233772278, 'Y': 0.4879170060157776, 'Z': -0.026305116713047028}, {'X': 0.6299437880516052, 'Y': 0.4901304543018341, 'Z': -0.04254099726676941}, {'X': 0.6268584728240967, 'Y': 0.518795907497406, 'Z': -0.049531590193510056}, {'X': 0.6700674891471863, 'Y': 0.5633979439735413, 'Z': -0.011587098240852356}, {'X': 0.6754983067512512, 'Y': 0.49300646781921387, 'Z': -0.03181977942585945}, {'X': 0.6687642931938171, 'Y': 0.5135090947151184, 'Z': -0.036086637526750565}, {'X': 0.664577841758728, 'Y': 0.5480520725250244, 'Z': -0.03440279886126518}, {'X': 0.7048314809799194, 'Y': 0.5835465788841248, 'Z': -0.020143898203969002}, {'X': 0.7085338830947876, 'Y': 0.5334393382072449, 'Z': -0.037510946393013}, {'X': 0.6982996463775635, 'Y': 0.5522805452346802, 'Z': -0.03866805136203766}, {'X': 0.6903603076934814, 'Y': 0.5842506289482117, 'Z': -0.03542628511786461}]
[{'X': 0.6574217081069946, 'Y': 0.7358171939849854, 'Z': 2.700586207993183e-07}, {'X': 0.6027789115905762, 'Y': 0.7129909992218018, 'Z': -0.023518461734056473}, {'X': 0.55954909324646, 'Y': 0.6622664928436279, 'Z': -0.033716652542352676}, {'X': 0.5301794409751892, 'Y': 0.6165454983711243, 'Z': -0.041881266981363297}, {'X': 0.5028195977210999, 'Y': 0.5799946784973145, 'Z': -0.04915499687194824}, {'X': 0.602229654788971, 'Y': 0.5481025576591492, 'Z': -0.01023463811725378}, {'X': 0.5842185616493225, 'Y': 0.4830918610095978, 'Z': -0.021099641919136047}, {'X': 0.5738166570663452, 'Y': 0.4446362853050232, 'Z': -0.032710641622543335}, {'X': 0.5653676986694336, 'Y': 0.4103098511695862, 'Z': -0.04232911765575409}, {'X': 0.6417341828346252, 'Y': 0.5387147665023804, 'Z': -0.010779845528304577}, {'X': 0.6421298980712891, 'Y': 0.4670882523059845, 'Z': -0.017618045210838318}, {'X': 0.6426254510879517, 'Y': 0.42525166273117065, 'Z': -0.02734208293259144}, {'X': 0.641349732875824, 'Y': 0.3955336809158325, 'Z': -0.035673707723617554}, {'X': 0.676264226436615, 'Y': 0.5490033626556396, 'Z': -0.015470351092517376}, {'X': 0.6892905831336975, 'Y': 0.4915792942047119, 'Z': -0.025477292016148567}, {'X': 0.6947008967399597, 'Y': 0.4576684534549713, 'Z': -0.03393694385886192}, {'X': 0.6949243545532227, 'Y': 0.42912667989730835, 'Z': -0.0404340885579586}, {'X': 0.7064687013626099, 'Y': 0.5735002756118774, 'Z': -0.022860903292894363}, {'X': 0.7216742038726807, 'Y': 0.5286401510238647, 'Z': -0.033233728259801865}, {'X': 0.7269188165664673, 'Y': 0.502299964427948, 'Z': -0.03821077197790146}, {'X': 0.7279078364372253, 'Y': 0.47747892141342163, 'Z': -0.041717175394296646}]
[{'X': 0.660402774810791, 'Y': 0.7376708388328552, 'Z': 3.263099870309816e-07}, {'X': 0.6049438118934631, 'Y': 0.71505206823349, 'Z': -0.024568095803260803}, {'X': 0.5604350566864014, 'Y': 0.6665034294128418, 'Z': -0.037455737590789795}, {'X': 0.5268731713294983, 'Y': 0.624749481678009, 'Z': -0.04824366047978401}, {'X': 0.4951038956642151, 'Y': 0.5952732563018799, 'Z': -0.058905139565467834}, {'X': 0.6024261116981506, 'Y': 0.549045741558075, 'Z': -0.019256170839071274}, {'X': 0.5805807709693909, 'Y': 0.47910767793655396, 'Z': -0.03331756964325905}, {'X': 0.5673097968101501, 'Y': 0.4365638792514801, 'Z': -0.046020954847335815}, {'X': 0.5572706460952759, 'Y': 0.3986039459705353, 'Z': -0.056262437254190445}, {'X': 0.6423685550689697, 'Y': 0.5377596616744995, 'Z': -0.021082645282149315}, {'X': 0.642656147480011, 'Y': 0.4568678140640259, 'Z': -0.03220806270837784}, {'X': 0.6445919871330261, 'Y': 0.40648701786994934, 'Z': -0.044027019292116165}, {'X': 0.6462626457214355, 'Y': 0.3649865984916687, 'Z': -0.05362405627965927}, {'X': 0.6775585412979126, 'Y': 0.5481561422348022, 'Z': -0.02657291665673256}, {'X': 0.6938524842262268, 'Y': 0.4786187708377838, 'Z': -0.04218461737036705}, {'X': 0.7040314078330994, 'Y': 0.43342721462249756, 'Z': -0.05476946383714676}, {'X': 0.7106819152832031, 'Y': 0.3914979100227356, 'Z': -0.06366224586963654}, {'X': 0.708142876625061, 'Y': 0.5730890035629272, 'Z': -0.0341971181333065}, {'X': 0.7300950884819031, 'Y': 0.5194851756095886, 'Z': -0.049221958965063095}, {'X': 0.7430592775344849, 'Y': 0.4847825765609741, 'Z': -0.05648982152342796}, {'X': 0.7534803152084351, 'Y': 0.44861164689064026, 'Z': -0.061492618173360825}]
[{'X': 0.655343770980835, 'Y': 0.7321576476097107, 'Z': 3.5403039078119036e-07}, {'X': 0.6017186045646667, 'Y': 0.7106685638427734, 'Z': -0.02401617355644703}, {'X': 0.5590311884880066, 'Y': 0.6640872955322266, 'Z': -0.038677312433719635}, {'X': 0.5247633457183838, 'Y': 0.6234377026557922, 'Z': -0.05134133994579315}, {'X': 0.4915406405925751, 'Y': 0.597602128982544, 'Z': -0.06437339633703232}, {'X': 0.6005852222442627, 'Y': 0.5459139943122864, 'Z': -0.022215694189071655}, {'X': 0.5782027244567871, 'Y': 0.4781457483768463, 'Z': -0.03760862722992897}, {'X': 0.5646222829818726, 'Y': 0.43704867362976074, 'Z': -0.051576465368270874}, {'X': 0.5549952387809753, 'Y': 0.40008342266082764, 'Z': -0.06269034743309021}, {'X': 0.6407667398452759, 'Y': 0.5343194603919983, 'Z': -0.024727940559387207}, {'X': 0.6412407755851746, 'Y': 0.4532610774040222, 'Z': -0.03804074972867966}, {'X': 0.6439059972763062, 'Y': 0.40155550837516785, 'Z': -0.051493387669324875}, {'X': 0.6466667652130127, 'Y': 0.35704025626182556, 'Z': -0.06214166805148125}, {'X': 0.676067054271698, 'Y': 0.5458768606185913, 'Z': -0.03044678270816803}, {'X': 0.6937761902809143, 'Y': 0.47554147243499756, 'Z': -0.04784983769059181}, {'X': 0.7054600715637207, 'Y': 0.42871367931365967, 'Z': -0.06180961802601814}, {'X': 0.713652491569519, 'Y': 0.38624829053878784, 'Z': -0.07139863818883896}, {'X': 0.7063144445419312, 'Y': 0.5723254084587097, 'Z': -0.03798450902104378}, {'X': 0.7293137311935425, 'Y': 0.5158832669258118, 'Z': -0.05384693294763565}, {'X': 0.7426787614822388, 'Y': 0.4797367453575134, 'Z': -0.06144003942608833}, {'X': 0.7532895803451538, 'Y': 0.44305816292762756, 'Z': -0.06662789732217789}]
