[{'X': 0.612647294998169, 'Y': 0.5606362819671631, 'Z': -5.964336082797672e-07}, {'X': 0.5379932522773743, 'Y': 0.5285792350769043, 'Z': -0.01685904711484909}, {'X': 0.48091182112693787, 'Y': 0.4575980007648468, 'Z': -0.026805704459547997}, {'X': 0.4928251802921295, 'Y': 0.380720853805542, 'Z': -0.04103649780154228}, {'X': 0.5458681583404541, 'Y': 0.35511714220046997, 'Z': -0.05203895643353462}, {'X': 0.5205851793289185, 'Y': 0.363102525472641, 'Z': 0.009138019755482674}, {'X': 0.5023098587989807, 'Y': 0.2919493317604065, 'Z': -0.028894901275634766}, {'X': 0.5057324171066284, 'Y': 0.34335875511169434, 'Z': -0.05089811980724335}, {'X': 0.5179613828659058, 'Y': 0.3821442127227783, 'Z': -0.05980577692389488}, {'X': 0.5652489066123962, 'Y': 0.35609492659568787, 'Z': 0.0009961242321878672}, {'X': 0.5470712184906006, 'Y': 0.28299403190612793, 'Z': -0.03752335160970688}, {'X': 0.5490493178367615, 'Y': 0.35633328557014465, 'Z': -0.04627661406993866}, {'X': 0.5622738599777222, 'Y': 0.3882909417152405, 'Z': -0.04109027609229088}, {'X': 0.6102672815322876, 'Y': 0.35826852917671204, 'Z': -0.014553137123584747}, {'X': 0.5919825434684753, 'Y': 0.29424983263015747, 'Z': -0.0534064844250679}, {'X': 0.5897888541221619, 'Y': 0.3805026412010193, 'Z': -0.04208562523126602}, {'X': 0.6015107035636902, 'Y': 0.4156701862812042, 'Z': -0.021945171058177948}, {'X': 0.6612767577171326, 'Y': 0.3715531527996063, 'Z': -0.0324556790292263}, {'X': 0.6362225413322449, 'Y': 0.3212413787841797, 'Z': -0.051534999161958694}, {'X': 0.6264728307723999, 'Y': 0.38287895917892456, 'Z': -0.03767971694469452}, {'X': 0.6335681080818176, 'Y': 0.4131237268447876, 'Z': -0.02092299610376358}]
[{'X': 0.6121519804000854, 'Y': 0.560780942440033, 'Z': -6.600388928745815e-07}, {'X': 0.5370861291885376, 'Y': 0.5237245559692383, 'Z': -0.01994706504046917}, {'X': 0.4805878698825836, 'Y': 0.45316216349601746, 'Z': -0.03262334689497948}, {'X': 0.49157100915908813, 'Y': 0.3739040791988373, 'Z': -0.04937904328107834}, {'X': 0.5456481575965881, 'Y': 0.3438893258571625, 'Z': -0.061777107417583466}, {'X': 0.5193682312965393, 'Y': 0.3603653609752655, 'Z': 0.008142202161252499}, {'X': 0.5013135075569153, 'Y': 0.287923663854599, 'Z': -0.03267130255699158}, {'X': 0.5058169364929199, 'Y': 0.35220667719841003, 'Z': -0.05543925613164902}, {'X': 0.5186770558357239, 'Y': 0.38936495780944824, 'Z': -0.06455788761377335}, {'X': 0.5645621418952942, 'Y': 0.35521090030670166, 'Z': 0.0005213223048485816}, {'X': 0.5485383868217468, 'Y': 0.2818909287452698, 'Z': -0.04105784371495247}, {'X': 0.5492866635322571, 'Y': 0.3615298867225647, 'Z': -0.0497918426990509}, {'X': 0.5611162781715393, 'Y': 0.39230749011039734, 'Z': -0.04389761760830879}, {'X': 0.6099205017089844, 'Y': 0.3579561114311218, 'Z': -0.01524601224809885}, {'X': 0.5939841270446777, 'Y': 0.29380032420158386, 'Z': -0.05613221973180771}, {'X': 0.5901432037353516, 'Y': 0.38100796937942505, 'Z': -0.044395141303539276}, {'X': 0.6008542776107788, 'Y': 0.41338878870010376, 'Z': -0.02340010367333889}, {'X': 0.6601768732070923, 'Y': 0.37049877643585205, 'Z': -0.03374325856566429}, {'X': 0.6365486979484558, 'Y': 0.3207654058933258, 'Z': -0.05294857919216156}, {'X': 0.6262704133987427, 'Y': 0.38196155428886414, 'Z': -0.03905449062585831}, {'X': 0.6332261562347412, 'Y': 0.41138359904289246, 'Z': -0.02210976369678974}]
[{'X': 0.609512448310852, 'Y': 0.5622233152389526, 'Z': -6.681739250780083e-07}, {'X': 0.5353601574897766, 'Y': 0.5242694020271301, 'Z': -0.020561479032039642}, {'X': 0.4794197082519531, 'Y': 0.4542649984359741, 'Z': -0.03429562225937843}, {'X': 0.49108538031578064, 'Y': 0.37491142749786377, 'Z': -0.05181470513343811}, {'X': 0.5441592931747437, 'Y': 0.34252142906188965, 'Z': -0.0652475357055664}, {'X': 0.5205570459365845, 'Y': 0.3598233461380005, 'Z': 0.00438046595081687}, {'X': 0.5014747381210327, 'Y': 0.28658661246299744, 'Z': -0.03742295503616333}, {'X': 0.5057437419891357, 'Y': 0.3496537208557129, 'Z': -0.06101534888148308}, {'X': 0.5184946656227112, 'Y': 0.38739997148513794, 'Z': -0.07069084793329239}, {'X': 0.5651206374168396, 'Y': 0.35616493225097656, 'Z': -0.003100124653428793}, {'X': 0.5479674339294434, 'Y': 0.28238925337791443, 'Z': -0.045279476791620255}, {'X': 0.5484812259674072, 'Y': 0.3618896007537842, 'Z': -0.05451474338769913}, {'X': 0.5603980422019958, 'Y': 0.39323604106903076, 'Z': -0.049291666597127914}, {'X': 0.6099854111671448, 'Y': 0.36029717326164246, 'Z': -0.01847587525844574}, {'X': 0.5932158827781677, 'Y': 0.29434943199157715, 'Z': -0.060206420719623566}, {'X': 0.5886330008506775, 'Y': 0.38192370533943176, 'Z': -0.04850216209888458}, {'X': 0.5993584990501404, 'Y': 0.41573816537857056, 'Z': -0.027660131454467773}, {'X': 0.6596536636352539, 'Y': 0.37438616156578064, 'Z': -0.03650669381022453}, {'X': 0.6354028582572937, 'Y': 0.32109570503234863, 'Z': -0.057388897985219955}, {'X': 0.6245920658111572, 'Y': 0.38343507051467896, 'Z': -0.043661750853061676}, {'X': 0.6313050985336304, 'Y': 0.4155002534389496, 'Z': -0.02662760019302368}]
[{'X': 0.6087515354156494, 'Y': 0.5633060932159424, 'Z': -6.325026902231912e-07}, {'X': 0.5341739058494568, 'Y': 0.5318633317947388, 'Z': -0.017259664833545685}, {'X': 0.47695499658584595, 'Y': 0.45873987674713135, 'Z': -0.02594681642949581}, {'X': 0.4903571903705597, 'Y': 0.37875258922576904, 'Z': -0.0387006551027298}, {'X': 0.5445847511291504, 'Y': 0.356701135635376, 'Z': -0.047491852194070816}, {'X': 0.5162666440010071, 'Y': 0.36475425958633423, 'Z': 0.012651853263378143}, {'X': 0.49933356046676636, 'Y': 0.2927106022834778, 'Z': -0.025713378563523293}, {'X': 0.5029375553131104, 'Y': 0.3475349545478821, 'Z': -0.0473172664642334}, {'X': 0.5146694183349609, 'Y': 0.3847176730632782, 'Z': -0.05588368698954582}, {'X': 0.5616106390953064, 'Y': 0.3585495352745056, 'Z': 0.005028022453188896}, {'X': 0.545604407787323, 'Y': 0.28517836332321167, 'Z': -0.03402191773056984}, {'X': 0.5473780632019043, 'Y': 0.3634944260120392, 'Z': -0.04155794531106949}, {'X': 0.5604366064071655, 'Y': 0.39457181096076965, 'Z': -0.03493916988372803}, {'X': 0.6065327525138855, 'Y': 0.361858069896698, 'Z': -0.010607116855680943}, {'X': 0.5903823375701904, 'Y': 0.2965984344482422, 'Z': -0.049205515533685684}, {'X': 0.5865739583969116, 'Y': 0.3829503655433655, 'Z': -0.03689994290471077}, {'X': 0.5976828336715698, 'Y': 0.41524139046669006, 'Z': -0.015996046364307404}, {'X': 0.6576428413391113, 'Y': 0.37592920660972595, 'Z': -0.028845228254795074}, {'X': 0.6343791484832764, 'Y': 0.3262753188610077, 'Z': -0.04745503515005112}, {'X': 0.6236305832862854, 'Y': 0.38738614320755005, 'Z': -0.033802684396505356}, {'X': 0.6303948760032654, 'Y': 0.41517895460128784, 'Z': -0.017194798216223717}]
[{'X': 0.6082774996757507, 'Y': 0.5649049878120422, 'Z': -5.952188644187117e-07}, {'X': 0.5365952849388123, 'Y': 0.5363057851791382, 'Z': -0.01877257414162159}, {'X': 0.4791153371334076, 'Y': 0.4658318758010864, 'Z': -0.028740838170051575}, {'X': 0.490255206823349, 'Y': 0.3877405822277069, 'Z': -0.04203301668167114}, {'X': 0.5421139597892761, 'Y': 0.35857445001602173, 'Z': -0.051468443125486374}, {'X': 0.5152938365936279, 'Y': 0.36806783080101013, 'Z': 0.008572257123887539}, {'X': 0.4998239278793335, 'Y': 0.29685476422309875, 'Z': -0.029653921723365784}, {'X': 0.5053852796554565, 'Y': 0.34833016991615295, 'Z': -0.05195425823330879}, {'X': 0.5176500082015991, 'Y': 0.38760891556739807, 'Z': -0.06099414452910423}, {'X': 0.5605538487434387, 'Y': 0.3606610596179962, 'Z': 0.0017451354069635272}, {'X': 0.5458187460899353, 'Y': 0.2874285876750946, 'Z': -0.036450549960136414}, {'X': 0.5477635860443115, 'Y': 0.36158543825149536, 'Z': -0.044839680194854736}, {'X': 0.5601369738578796, 'Y': 0.39478039741516113, 'Z': -0.03914092853665352}, {'X': 0.6053564548492432, 'Y': 0.3637409210205078, 'Z': -0.012790334410965443}, {'X': 0.5908068418502808, 'Y': 0.30074700713157654, 'Z': -0.05010214075446129}, {'X': 0.5868490934371948, 'Y': 0.38445794582366943, 'Z': -0.038489241153001785}, {'X': 0.597303032875061, 'Y': 0.41744232177734375, 'Z': -0.018566887825727463}, {'X': 0.6562943458557129, 'Y': 0.3779652416706085, 'Z': -0.030020160600543022}, {'X': 0.6347090601921082, 'Y': 0.3308820426464081, 'Z': -0.04845160245895386}, {'X': 0.6237707138061523, 'Y': 0.3900033235549927, 'Z': -0.035256437957286835}, {'X': 0.6296781301498413, 'Y': 0.4163331687450409, 'Z': -0.01910571940243244}]
[{'X': 0.6074870824813843, 'Y': 0.5718548893928528, 'Z': -6.749801855221449e-07}, {'X': 0.5358968377113342, 'Y': 0.5422106981277466, 'Z': -0.018097616732120514}, {'X': 0.47848010063171387, 'Y': 0.4705280661582947, 'Z': -0.027491172775626183}, {'X': 0.48952558636665344, 'Y': 0.3927955627441406, 'Z': -0.040440771728754044}, {'X': 0.5418956279754639, 'Y': 0.3662557601928711, 'Z': -0.04881466552615166}, {'X': 0.5176082253456116, 'Y': 0.37576737999916077, 'Z': 0.008399992249906063}, {'X': 0.4988674521446228, 'Y': 0.30452650785446167, 'Z': -0.030367199331521988}, {'X': 0.5042536854743958, 'Y': 0.36910340189933777, 'Z': -0.05047802999615669}, {'X': 0.5146654844284058, 'Y': 0.402127206325531, 'Z': -0.05805983766913414}, {'X': 0.5614683032035828, 'Y': 0.3695868253707886, 'Z': 0.001179319340735674}, {'X': 0.5438593626022339, 'Y': 0.29942241311073303, 'Z': -0.03774691000580788}, {'X': 0.5462732911109924, 'Y': 0.38034260272979736, 'Z': -0.04362231120467186}, {'X': 0.5570875406265259, 'Y': 0.4050738215446472, 'Z': -0.036263082176446915}, {'X': 0.6056641936302185, 'Y': 0.37236344814300537, 'Z': -0.013974563218653202}, {'X': 0.5882717370986938, 'Y': 0.30831649899482727, 'Z': -0.052578315138816833}, {'X': 0.5859295725822449, 'Y': 0.3958944082260132, 'Z': -0.038847774267196655}, {'X': 0.5962665677070618, 'Y': 0.423076868057251, 'Z': -0.017351418733596802}, {'X': 0.6561386585235596, 'Y': 0.3850855231285095, 'Z': -0.03168140724301338}, {'X': 0.6330298185348511, 'Y': 0.3356616199016571, 'Z': -0.05033183470368385}, {'X': 0.623570442199707, 'Y': 0.39775681495666504, 'Z': -0.036122847348451614}, {'X': 0.6304550170898438, 'Y': 0.4235685467720032, 'Z': -0.01920294016599655}]
[{'X': 0.6083987355232239, 'Y': 0.5826252698898315, 'Z': -6.146789246486151e-07}, {'X': 0.5360771417617798, 'Y': 0.5544114708900452, 'Z': -0.01792987436056137}, {'X': 0.47907254099845886, 'Y': 0.4831937849521637, 'Z': -0.028383616358041763}, {'X': 0.4903894066810608, 'Y': 0.40567636489868164, 'Z': -0.04252349212765694}, {'X': 0.5423526167869568, 'Y': 0.3819877505302429, 'Z': -0.05284101888537407}, {'X': 0.5172608494758606, 'Y': 0.3864558935165405, 'Z': 0.00641883909702301}, {'X': 0.5002619624137878, 'Y': 0.3135802447795868, 'Z': -0.031839240342378616}, {'X': 0.5048547983169556, 'Y': 0.3696400225162506, 'Z': -0.05363175645470619}, {'X': 0.5154324173927307, 'Y': 0.4083729386329651, 'Z': -0.06268813461065292}, {'X': 0.561721920967102, 'Y': 0.3792800009250641, 'Z': -0.0010926276445388794}, {'X': 0.5447846055030823, 'Y': 0.3104292154312134, 'Z': -0.03918043151497841}, {'X': 0.5467547178268433, 'Y': 0.3862212598323822, 'Z': -0.046943940222263336}, {'X': 0.557604968547821, 'Y': 0.4143909215927124, 'Z': -0.04173899069428444}, {'X': 0.606113076210022, 'Y': 0.38208696246147156, 'Z': -0.016131144016981125}, {'X': 0.5896490812301636, 'Y': 0.3191630244255066, 'Z': -0.053166989237070084}, {'X': 0.5865922570228577, 'Y': 0.4028480052947998, 'Z': -0.04108148813247681}, {'X': 0.596248209476471, 'Y': 0.43308234214782715, 'Z': -0.021669302135705948}, {'X': 0.6559142470359802, 'Y': 0.39529499411582947, 'Z': -0.033822886645793915}, {'X': 0.6333994269371033, 'Y': 0.34979769587516785, 'Z': -0.05193932726979256}, {'X': 0.6233097910881042, 'Y': 0.40973415970802307, 'Z': -0.0387694276869297}, {'X': 0.6292051672935486, 'Y': 0.4359998404979706, 'Z': -0.023193133994936943}]
[{'X': 0.6131274700164795, 'Y': 0.5939415693283081, 'Z': -6.964608019188745e-07}, {'X': 0.5405645370483398, 'Y': 0.5578036904335022, 'Z': -0.018689583986997604}, {'X': 0.48234885931015015, 'Y': 0.4847603440284729, 'Z': -0.030827591195702553}, {'X': 0.4941287040710449, 'Y': 0.40694549679756165, 'Z': -0.046863969415426254}, {'X': 0.54880690574646, 'Y': 0.3835495114326477, 'Z': -0.05855942890048027}, {'X': 0.5233505368232727, 'Y': 0.38792169094085693, 'Z': 0.004726790823042393}, {'X': 0.5046613812446594, 'Y': 0.31671977043151855, 'Z': -0.03484298661351204}, {'X': 0.5078755617141724, 'Y': 0.3846409022808075, 'Z': -0.05577440187335014}, {'X': 0.5190647840499878, 'Y': 0.4192938804626465, 'Z': -0.06442204117774963}, {'X': 0.5680465698242188, 'Y': 0.38332033157348633, 'Z': -0.003312550950795412}, {'X': 0.5502235889434814, 'Y': 0.31417301297187805, 'Z': -0.04329723119735718}, {'X': 0.5514630079269409, 'Y': 0.39601513743400574, 'Z': -0.049501389265060425}, {'X': 0.5630369186401367, 'Y': 0.4219735264778137, 'Z': -0.042893216013908386}, {'X': 0.612865686416626, 'Y': 0.3872612714767456, 'Z': -0.019141443073749542}, {'X': 0.5944681763648987, 'Y': 0.32399463653564453, 'Z': -0.05800905078649521}, {'X': 0.5914888978004456, 'Y': 0.4112936854362488, 'Z': -0.04445628076791763}, {'X': 0.602361798286438, 'Y': 0.4393419623374939, 'Z': -0.02358807623386383}, {'X': 0.6625107526779175, 'Y': 0.4012298882007599, 'Z': -0.037631042301654816}, {'X': 0.635696530342102, 'Y': 0.3536583483219147, 'Z': -0.05599848926067352}, {'X': 0.6258168816566467, 'Y': 0.41625916957855225, 'Z': -0.041800279170274734}, {'X': 0.6333333849906921, 'Y': 0.44385194778442383, 'Z': -0.025368494912981987}]
[{'X': 0.6169975996017456, 'Y': 0.5943096876144409, 'Z': -6.574222766175808e-07}, {'X': 0.5452853441238403, 'Y': 0.5596023797988892, 'Z': -0.01708538644015789}, {'X': 0.4882785677909851, 'Y': 0.48825040459632874, 'Z': -0.028221318498253822}, {'X': 0.4983152449131012, 'Y': 0.413240909576416, 'Z': -0.043620992451906204}, {'X': 0.5496390461921692, 'Y': 0.38836807012557983, 'Z': -0.05523901805281639}, {'X': 0.5280948281288147, 'Y': 0.3893962502479553, 'Z': 0.006660600658506155}, {'X': 0.5100781321525574, 'Y': 0.32050591707229614, 'Z': -0.032585397362709045}, {'X': 0.5131381750106812, 'Y': 0.3813261389732361, 'Z': -0.05430491641163826}, {'X': 0.523322343826294, 'Y': 0.4171810746192932, 'Z': -0.06323911249637604}, {'X': 0.57208251953125, 'Y': 0.3843575119972229, 'Z': -0.001996294828131795}, {'X': 0.55536288022995, 'Y': 0.31679123640060425, 'Z': -0.041034355759620667}, {'X': 0.5551577806472778, 'Y': 0.3958582580089569, 'Z': -0.0483233779668808}, {'X': 0.5652191638946533, 'Y': 0.42132672667503357, 'Z': -0.04262862727046013}, {'X': 0.6167715191841125, 'Y': 0.38833314180374146, 'Z': -0.01826431415975094}, {'X': 0.6001405715942383, 'Y': 0.32670897245407104, 'Z': -0.056311167776584625}, {'X': 0.59590083360672, 'Y': 0.4125588536262512, 'Z': -0.04341408237814903}, {'X': 0.6052777171134949, 'Y': 0.43944641947746277, 'Z': -0.023165829479694366}, {'X': 0.6662649512290955, 'Y': 0.40211397409439087, 'Z': -0.03701678663492203}, {'X': 0.6431593298912048, 'Y': 0.3542180359363556, 'Z': -0.054198894649744034}, {'X': 0.6327126026153564, 'Y': 0.41522082686424255, 'Z': -0.03926815092563629}, {'X': 0.6389910578727722, 'Y': 0.44023263454437256, 'Z': -0.02249314822256565}]
[{'X': 0.6188897490501404, 'Y': 0.5977086424827576, 'Z': -6.179418505780632e-07}, {'X': 0.5484494566917419, 'Y': 0.5644657611846924, 'Z': -0.018590325489640236}, {'X': 0.49219614267349243, 'Y': 0.49591171741485596, 'Z': -0.031123457476496696}, {'X': 0.5015348196029663, 'Y': 0.41865018010139465, 'Z': -0.047763921320438385}, {'X': 0.5531297922134399, 'Y': 0.38787129521369934, 'Z': -0.060443274676799774}, {'X': 0.5301182866096497, 'Y': 0.39741504192352295, 'Z': 0.006292062811553478}, {'X': 0.5132937431335449, 'Y': 0.32636046409606934, 'Z': -0.03275176137685776}, {'X': 0.5163413882255554, 'Y': 0.38571232557296753, 'Z': -0.05460358038544655}, {'X': 0.5272008776664734, 'Y': 0.4202975034713745, 'Z': -0.06373527646064758}, {'X': 0.5739631652832031, 'Y': 0.391163170337677, 'Z': -0.0016441449988633394}, {'X': 0.5584697127342224, 'Y': 0.3209020495414734, 'Z': -0.04169942066073418}, {'X': 0.5574000477790833, 'Y': 0.3946295380592346, 'Z': -0.05088476091623306}, {'X': 0.5672388076782227, 'Y': 0.4213930070400238, 'Z': -0.04634762927889824}, {'X': 0.6181511282920837, 'Y': 0.3942156434059143, 'Z': -0.017139466479420662}, {'X': 0.6029468178749084, 'Y': 0.33232930302619934, 'Z': -0.05621055141091347}, {'X': 0.5983771085739136, 'Y': 0.4159924387931824, 'Z': -0.04508676379919052}, {'X': 0.6074084043502808, 'Y': 0.44620537757873535, 'Z': -0.025570807978510857}, {'X': 0.6670066118240356, 'Y': 0.40744930505752563, 'Z': -0.035140909254550934}, {'X': 0.6440479159355164, 'Y': 0.35908451676368713, 'Z': -0.05328616872429848}, {'X': 0.6340042948722839, 'Y': 0.4184993803501129, 'Z': -0.03981555625796318}, {'X': 0.6402807831764221, 'Y': 0.4464724063873291, 'Z': -0.023817840963602066}]
[{'X': 0.6269959807395935, 'Y': 0.6095631122589111, 'Z': -6.455635457314202e-07}, {'X': 0.5538938641548157, 'Y': 0.5698381066322327, 'Z': -0.02018635906279087}, {'X': 0.4976319670677185, 'Y': 0.5013135671615601, 'Z': -0.03370518237352371}, {'X': 0.5050382018089294, 'Y': 0.42354100942611694, 'Z': -0.051210545003414154}, {'X': 0.5556193590164185, 'Y': 0.38692691922187805, 'Z': -0.06476861983537674}, {'X': 0.5353414416313171, 'Y': 0.4000082314014435, 'Z': 0.007724383845925331}, {'X': 0.518602192401886, 'Y': 0.3353390693664551, 'Z': -0.03247456252574921}, {'X': 0.5227946043014526, 'Y': 0.3938277065753937, 'Z': -0.055157799273729324}, {'X': 0.533579409122467, 'Y': 0.4251716136932373, 'Z': -0.06483017653226852}, {'X': 0.5802457928657532, 'Y': 0.3942669630050659, 'Z': -0.00012669523130171}, {'X': 0.5648455619812012, 'Y': 0.32882925868034363, 'Z': -0.041794586926698685}, {'X': 0.5651322603225708, 'Y': 0.4090932309627533, 'Z': -0.05094939097762108}, {'X': 0.5743259191513062, 'Y': 0.43485724925994873, 'Z': -0.04582083597779274}, {'X': 0.625734269618988, 'Y': 0.39791324734687805, 'Z': -0.015976259484887123}, {'X': 0.6088197827339172, 'Y': 0.3386639952659607, 'Z': -0.05783414468169212}, {'X': 0.605707585811615, 'Y': 0.42577481269836426, 'Z': -0.04586440324783325}, {'X': 0.6151998043060303, 'Y': 0.45273149013519287, 'Z': -0.024864930659532547}, {'X': 0.6756782531738281, 'Y': 0.41248244047164917, 'Z': -0.03430213779211044}, {'X': 0.650483250617981, 'Y': 0.3653363883495331, 'Z': -0.053775642067193985}, {'X': 0.6419934034347534, 'Y': 0.42782509326934814, 'Z': -0.0385705828666687}, {'X': 0.6492967009544373, 'Y': 0.4535236954689026, 'Z': -0.02061331830918789}]
