[{'X': 0.7691331505775452, 'Y': 0.7023278474807739, 'Z': -8.658480510348454e-07}, {'X': 0.6806061267852783, 'Y': 0.6914651989936829, 'Z': -0.040957845747470856}, {'X': 0.585928201675415, 'Y': 0.6196629405021667, 'Z': -0.06764297187328339}, {'X': 0.5875978469848633, 'Y': 0.5171918272972107, 'Z': -0.09529630094766617}, {'X': 0.65824955701828, 'Y': 0.46881958842277527, 'Z': -0.11458726972341537}, {'X': 0.6072080135345459, 'Y': 0.4513511061668396, 'Z': -0.021918151527643204}, {'X': 0.5632722973823547, 'Y': 0.3788207769393921, 'Z': -0.08662153035402298}, {'X': 0.5913355350494385, 'Y': 0.46569475531578064, 'Z': -0.11837338656187057}, {'X': 0.623654305934906, 'Y': 0.5082530975341797, 'Z': -0.1318223774433136}, {'X': 0.668303906917572, 'Y': 0.4226244390010834, 'Z': -0.02811937779188156}, {'X': 0.6340317130088806, 'Y': 0.36810898780822754, 'Z': -0.09605958312749863}, {'X': 0.6560496091842651, 'Y': 0.4832194447517395, 'Z': -0.10407516360282898}, {'X': 0.6758497357368469, 'Y': 0.5074154138565063, 'Z': -0.09279286861419678}, {'X': 0.7290738821029663, 'Y': 0.41418278217315674, 'Z': -0.04604963958263397}, {'X': 0.7010674476623535, 'Y': 0.3911176323890686, 'Z': -0.10951406508684158}, {'X': 0.7146328091621399, 'Y': 0.5091660618782043, 'Z': -0.09233804792165756}, {'X': 0.7310628294944763, 'Y': 0.5229818224906921, 'Z': -0.06387987732887268}, {'X': 0.7957521677017212, 'Y': 0.4187600314617157, 'Z': -0.06913269311189651}, {'X': 0.7661210894584656, 'Y': 0.4219427704811096, 'Z': -0.10058728605508804}, {'X': 0.7642042636871338, 'Y': 0.5063440203666687, 'Z': -0.08721668273210526}, {'X': 0.7740005254745483, 'Y': 0.5161007642745972, 'Z': -0.06871648132801056}]
[{'X': 0.7724816203117371, 'Y': 0.7000429034233093, 'Z': -8.459072660116362e-07}, {'X': 0.6824806332588196, 'Y': 0.6894353628158569, 'Z': -0.0414719432592392}, {'X': 0.589080810546875, 'Y': 0.619937539100647, 'Z': -0.06976703554391861}, {'X': 0.5902819633483887, 'Y': 0.5196731686592102, 'Z': -0.09912397712469101}, {'X': 0.6635217666625977, 'Y': 0.4746197462081909, 'Z': -0.12024353444576263}, {'X': 0.6101346015930176, 'Y': 0.4531633257865906, 'Z': -0.02233690768480301}, {'X': 0.5663213729858398, 'Y': 0.3762245774269104, 'Z': -0.08709904551506042}, {'X': 0.595621645450592, 'Y': 0.46088624000549316, 'Z': -0.11994204670190811}, {'X': 0.6268965601921082, 'Y': 0.5063294172286987, 'Z': -0.13418687880039215}, {'X': 0.670928418636322, 'Y': 0.4248530864715576, 'Z': -0.028795532882213593}, {'X': 0.6343864798545837, 'Y': 0.3637425899505615, 'Z': -0.09808684140443802}, {'X': 0.6572840213775635, 'Y': 0.475115031003952, 'Z': -0.10885076224803925}, {'X': 0.6757504940032959, 'Y': 0.5054458379745483, 'Z': -0.09896310418844223}, {'X': 0.7319234609603882, 'Y': 0.41627612709999084, 'Z': -0.04671997204422951}, {'X': 0.7010916471481323, 'Y': 0.38817447423934937, 'Z': -0.11041278392076492}, {'X': 0.7179589867591858, 'Y': 0.50318443775177, 'Z': -0.09505616128444672}, {'X': 0.734767735004425, 'Y': 0.5210772752761841, 'Z': -0.06742088496685028}, {'X': 0.7987156510353088, 'Y': 0.4202563762664795, 'Z': -0.0697684958577156}, {'X': 0.765409529209137, 'Y': 0.4202059209346771, 'Z': -0.10181596130132675}, {'X': 0.7664135098457336, 'Y': 0.5021530389785767, 'Z': -0.08913444727659225}, {'X': 0.7773571014404297, 'Y': 0.5132761597633362, 'Z': -0.07085675001144409}]
[{'X': 0.7726436853408813, 'Y': 0.7042820453643799, 'Z': -8.790202628006227e-07}, {'X': 0.6823179125785828, 'Y': 0.689386785030365, 'Z': -0.039618875831365585}, {'X': 0.5900984406471252, 'Y': 0.6187964081764221, 'Z': -0.06745458394289017}, {'X': 0.5942370891571045, 'Y': 0.51746666431427, 'Z': -0.09665489941835403}, {'X': 0.6704913973808289, 'Y': 0.4725310802459717, 'Z': -0.11798324435949326}, {'X': 0.6106899976730347, 'Y': 0.45387059450149536, 'Z': -0.023026926442980766}, {'X': 0.5669664740562439, 'Y': 0.37839367985725403, 'Z': -0.08634544909000397}, {'X': 0.5972393751144409, 'Y': 0.46347320079803467, 'Z': -0.11817122250795364}, {'X': 0.6294084191322327, 'Y': 0.5082972049713135, 'Z': -0.131914421916008}, {'X': 0.67167067527771, 'Y': 0.4267452657222748, 'Z': -0.03007594682276249}, {'X': 0.6368353366851807, 'Y': 0.36388927698135376, 'Z': -0.09782446175813675}, {'X': 0.6589671969413757, 'Y': 0.47448086738586426, 'Z': -0.10797402262687683}, {'X': 0.6763718724250793, 'Y': 0.5062488317489624, 'Z': -0.09832511097192764}, {'X': 0.7327933311462402, 'Y': 0.41863948106765747, 'Z': -0.048041317611932755}, {'X': 0.7039745450019836, 'Y': 0.3889435827732086, 'Z': -0.10996835678815842}, {'X': 0.7199385166168213, 'Y': 0.5031974911689758, 'Z': -0.09409743547439575}, {'X': 0.7353502511978149, 'Y': 0.522844135761261, 'Z': -0.06659171730279922}, {'X': 0.7995429039001465, 'Y': 0.4235480725765228, 'Z': -0.07096778601408005}, {'X': 0.7679365277290344, 'Y': 0.41504377126693726, 'Z': -0.10049692541360855}, {'X': 0.7682645320892334, 'Y': 0.49620363116264343, 'Z': -0.08614656329154968}, {'X': 0.77822345495224, 'Y': 0.5100163817405701, 'Z': -0.06721656024456024}]
[{'X': 0.7739348411560059, 'Y': 0.7018568515777588, 'Z': -8.850891504152969e-07}, {'X': 0.6839572787284851, 'Y': 0.6929286122322083, 'Z': -0.03963769972324371}, {'X': 0.5890772342681885, 'Y': 0.6216223239898682, 'Z': -0.06676159799098969}, {'X': 0.590883731842041, 'Y': 0.520103394985199, 'Z': -0.09499873965978622}, {'X': 0.6671894788742065, 'Y': 0.4794653058052063, 'Z': -0.11519062519073486}, {'X': 0.6111327409744263, 'Y': 0.45789363980293274, 'Z': -0.023907285183668137}, {'X': 0.566452145576477, 'Y': 0.38125744462013245, 'Z': -0.08663740754127502}, {'X': 0.5977640748023987, 'Y': 0.4680613875389099, 'Z': -0.11819886416196823}, {'X': 0.630075991153717, 'Y': 0.5113623142242432, 'Z': -0.13235248625278473}, {'X': 0.6716923117637634, 'Y': 0.4293772280216217, 'Z': -0.03072495199739933}, {'X': 0.6353111267089844, 'Y': 0.3639233112335205, 'Z': -0.0985698476433754}, {'X': 0.6580379605293274, 'Y': 0.4755728542804718, 'Z': -0.10792483389377594}, {'X': 0.6756553053855896, 'Y': 0.5077486038208008, 'Z': -0.09781728684902191}, {'X': 0.7317941188812256, 'Y': 0.4200352132320404, 'Z': -0.04840246960520744}, {'X': 0.7013118267059326, 'Y': 0.3882414698600769, 'Z': -0.1088288202881813}, {'X': 0.7178511619567871, 'Y': 0.5028804540634155, 'Z': -0.0916304662823677}, {'X': 0.7331814765930176, 'Y': 0.5219226479530334, 'Z': -0.06396061182022095}, {'X': 0.7977650165557861, 'Y': 0.42292478680610657, 'Z': -0.07131170481443405}, {'X': 0.766085684299469, 'Y': 0.41957712173461914, 'Z': -0.09993914514780045}, {'X': 0.7663893103599548, 'Y': 0.5012022256851196, 'Z': -0.08594454824924469}, {'X': 0.7758263945579529, 'Y': 0.5135793685913086, 'Z': -0.06792348623275757}]
[{'X': 0.7734888792037964, 'Y': 0.7024989128112793, 'Z': -9.121218340624182e-07}, {'X': 0.6836124062538147, 'Y': 0.693596363067627, 'Z': -0.041231703013181686}, {'X': 0.5879275798797607, 'Y': 0.624958336353302, 'Z': -0.06891828030347824}, {'X': 0.590900719165802, 'Y': 0.5240461826324463, 'Z': -0.09733962267637253}, {'X': 0.6669740080833435, 'Y': 0.485284686088562, 'Z': -0.11703702807426453}, {'X': 0.6089817881584167, 'Y': 0.4569355249404907, 'Z': -0.026261091232299805}, {'X': 0.5657181739807129, 'Y': 0.3856104612350464, 'Z': -0.09063023328781128}, {'X': 0.5972890257835388, 'Y': 0.4785655438899994, 'Z': -0.12019575387239456}, {'X': 0.6284273266792297, 'Y': 0.5175601840019226, 'Z': -0.13243333995342255}, {'X': 0.6698234677314758, 'Y': 0.4299856722354889, 'Z': -0.03252522274851799}, {'X': 0.6323174834251404, 'Y': 0.36910080909729004, 'Z': -0.10124506056308746}, {'X': 0.6575661897659302, 'Y': 0.48502540588378906, 'Z': -0.10748797655105591}, {'X': 0.6767900586128235, 'Y': 0.5084493160247803, 'Z': -0.09496678411960602}, {'X': 0.7308471202850342, 'Y': 0.4209585189819336, 'Z': -0.050097063183784485}, {'X': 0.6995570063591003, 'Y': 0.39074209332466125, 'Z': -0.1138531044125557}, {'X': 0.7169793844223022, 'Y': 0.509138286113739, 'Z': -0.0949036180973053}, {'X': 0.7341441512107849, 'Y': 0.5227892398834229, 'Z': -0.06518235802650452}, {'X': 0.797870397567749, 'Y': 0.42416757345199585, 'Z': -0.07274075597524643}, {'X': 0.7644580602645874, 'Y': 0.41761523485183716, 'Z': -0.10365892201662064}, {'X': 0.7656659483909607, 'Y': 0.5024048089981079, 'Z': -0.08867049217224121}, {'X': 0.7771917581558228, 'Y': 0.5141468644142151, 'Z': -0.06925425678491592}]
[{'X': 0.771401047706604, 'Y': 0.7073076963424683, 'Z': -8.549390599910112e-07}, {'X': 0.683739423751831, 'Y': 0.6979776620864868, 'Z': -0.03811571002006531}, {'X': 0.5910608172416687, 'Y': 0.6268355250358582, 'Z': -0.06342309713363647}, {'X': 0.589687168598175, 'Y': 0.524319052696228, 'Z': -0.09012500941753387}, {'X': 0.6638268828392029, 'Y': 0.4819636642932892, 'Z': -0.1088147684931755}, {'X': 0.6093813180923462, 'Y': 0.4654507637023926, 'Z': -0.019319729879498482}, {'X': 0.568385899066925, 'Y': 0.382142037153244, 'Z': -0.07945678383111954}, {'X': 0.5961977243423462, 'Y': 0.4651760756969452, 'Z': -0.10823439806699753}, {'X': 0.6258866786956787, 'Y': 0.5149669647216797, 'Z': -0.1199023574590683}, {'X': 0.6697890758514404, 'Y': 0.43691980838775635, 'Z': -0.026442207396030426}, {'X': 0.6319361925125122, 'Y': 0.3713749647140503, 'Z': -0.09274502098560333}, {'X': 0.655258297920227, 'Y': 0.4781188666820526, 'Z': -0.10303507000207901}, {'X': 0.6760573387145996, 'Y': 0.5091919302940369, 'Z': -0.09280954301357269}, {'X': 0.7306429743766785, 'Y': 0.42693039774894714, 'Z': -0.04435160011053085}, {'X': 0.6999552249908447, 'Y': 0.3963259160518646, 'Z': -0.1046728566288948}, {'X': 0.7171845436096191, 'Y': 0.5057593584060669, 'Z': -0.09031116217374802}, {'X': 0.734025239944458, 'Y': 0.5217840075492859, 'Z': -0.06372298300266266}, {'X': 0.7976447343826294, 'Y': 0.42762845754623413, 'Z': -0.06703516840934753}, {'X': 0.7655948400497437, 'Y': 0.4216279983520508, 'Z': -0.09625373035669327}, {'X': 0.7665622234344482, 'Y': 0.5015396475791931, 'Z': -0.08350980281829834}, {'X': 0.7770329117774963, 'Y': 0.513055682182312, 'Z': -0.06574734300374985}]
[{'X': 0.7743163108825684, 'Y': 0.7050565481185913, 'Z': -8.896630561139318e-07}, {'X': 0.6851667761802673, 'Y': 0.6984860897064209, 'Z': -0.043139927089214325}, {'X': 0.5908401012420654, 'Y': 0.6307774186134338, 'Z': -0.07185889035463333}, {'X': 0.5925288796424866, 'Y': 0.5310975313186646, 'Z': -0.10097965598106384}, {'X': 0.6653971672058105, 'Y': 0.48798125982284546, 'Z': -0.12089530378580093}, {'X': 0.6073196530342102, 'Y': 0.4613052010536194, 'Z': -0.026568403467535973}, {'X': 0.5670850276947021, 'Y': 0.3874354064464569, 'Z': -0.09176624566316605}, {'X': 0.5999854803085327, 'Y': 0.476633220911026, 'Z': -0.12357641756534576}, {'X': 0.6300750970840454, 'Y': 0.5176739692687988, 'Z': -0.13765227794647217}, {'X': 0.6683228015899658, 'Y': 0.43220964074134827, 'Z': -0.03250877186655998}, {'X': 0.6349042057991028, 'Y': 0.3744823932647705, 'Z': -0.10235239565372467}, {'X': 0.6583054661750793, 'Y': 0.48774418234825134, 'Z': -0.111404187977314}, {'X': 0.672815203666687, 'Y': 0.5113587379455566, 'Z': -0.10078030824661255}, {'X': 0.7288851141929626, 'Y': 0.4230533242225647, 'Z': -0.05004699528217316}, {'X': 0.7041905522346497, 'Y': 0.40230438113212585, 'Z': -0.11304440349340439}, {'X': 0.7192782759666443, 'Y': 0.5146595239639282, 'Z': -0.09626492112874985}, {'X': 0.7305468320846558, 'Y': 0.5242432951927185, 'Z': -0.06850162148475647}, {'X': 0.7952781915664673, 'Y': 0.42553287744522095, 'Z': -0.07308594882488251}, {'X': 0.769461989402771, 'Y': 0.4275384247303009, 'Z': -0.10300276428461075}, {'X': 0.7693368196487427, 'Y': 0.5072749853134155, 'Z': -0.08925296366214752}, {'X': 0.7752816081047058, 'Y': 0.5145696401596069, 'Z': -0.0710926279425621}]
[{'X': 0.7649670839309692, 'Y': 0.7110872268676758, 'Z': -1.1523954981385032e-06}, {'X': 0.6665154099464417, 'Y': 0.6958572864532471, 'Z': -0.04311906546354294}, {'X': 0.5632355809211731, 'Y': 0.619838535785675, 'Z': -0.07125457376241684}, {'X': 0.5647516846656799, 'Y': 0.5201724767684937, 'Z': -0.09994346648454666}, {'X': 0.6498007774353027, 'Y': 0.4941386878490448, 'Z': -0.1193314716219902}, {'X': 0.6049647927284241, 'Y': 0.4471883177757263, 'Z': -0.0326174721121788}, {'X': 0.5672325491905212, 'Y': 0.38940587639808655, 'Z': -0.08934124559164047}, {'X': 0.5875519514083862, 'Y': 0.504970908164978, 'Z': -0.10966157913208008}, {'X': 0.6112543344497681, 'Y': 0.5191844701766968, 'Z': -0.12021909654140472}, {'X': 0.6714553236961365, 'Y': 0.4247659146785736, 'Z': -0.03938154876232147}, {'X': 0.6343846321105957, 'Y': 0.38040295243263245, 'Z': -0.1025523990392685}, {'X': 0.6549042463302612, 'Y': 0.509540319442749, 'Z': -0.09867110103368759}, {'X': 0.67620849609375, 'Y': 0.5114140510559082, 'Z': -0.08304981142282486}, {'X': 0.7364071607589722, 'Y': 0.4201886057853699, 'Z': -0.05718820169568062}, {'X': 0.7039496898651123, 'Y': 0.3898690938949585, 'Z': -0.11960108578205109}, {'X': 0.7147768139839172, 'Y': 0.5165009498596191, 'Z': -0.09202205389738083}, {'X': 0.7324865460395813, 'Y': 0.5181092023849487, 'Z': -0.05946211516857147}, {'X': 0.8060001134872437, 'Y': 0.43096593022346497, 'Z': -0.080219566822052}, {'X': 0.7679166793823242, 'Y': 0.41210776567459106, 'Z': -0.1094386950135231}, {'X': 0.7662363052368164, 'Y': 0.5017907023429871, 'Z': -0.08916303515434265}, {'X': 0.7794311046600342, 'Y': 0.5112780928611755, 'Z': -0.06837185472249985}]
[{'X': 0.7530034184455872, 'Y': 0.6860980987548828, 'Z': -8.287556738650892e-07}, {'X': 0.6574910879135132, 'Y': 0.6682887077331543, 'Z': -0.05554569140076637}, {'X': 0.5631920099258423, 'Y': 0.6193605661392212, 'Z': -0.09406635910272598}, {'X': 0.4825775623321533, 'Y': 0.5907317399978638, 'Z': -0.12672100961208344}, {'X': 0.4160410165786743, 'Y': 0.5807029008865356, 'Z': -0.1506350040435791}, {'X': 0.6173586845397949, 'Y': 0.3950308859348297, 'Z': -0.059146516025066376}, {'X': 0.5713271498680115, 'Y': 0.4286937117576599, 'Z': -0.1050594374537468}, {'X': 0.6063798069953918, 'Y': 0.5163396000862122, 'Z': -0.12909944355487823}, {'X': 0.629286527633667, 'Y': 0.5155258178710938, 'Z': -0.145975723862648}, {'X': 0.6793563961982727, 'Y': 0.36050742864608765, 'Z': -0.05504037067294121}, {'X': 0.6355875134468079, 'Y': 0.43198734521865845, 'Z': -0.10245658457279205}, {'X': 0.6592194437980652, 'Y': 0.5220048427581787, 'Z': -0.1116367056965828}, {'X': 0.6735960841178894, 'Y': 0.5039978623390198, 'Z': -0.11478669941425323}, {'X': 0.7417222857475281, 'Y': 0.3726221024990082, 'Z': -0.05763208866119385}, {'X': 0.7043031454086304, 'Y': 0.4508565068244934, 'Z': -0.10003308951854706}, {'X': 0.713057279586792, 'Y': 0.5315514802932739, 'Z': -0.0848659947514534}, {'X': 0.7255563735961914, 'Y': 0.511870801448822, 'Z': -0.07169147580862045}, {'X': 0.7964750528335571, 'Y': 0.4022592306137085, 'Z': -0.06660370528697968}, {'X': 0.7684823274612427, 'Y': 0.47712039947509766, 'Z': -0.08915694057941437}, {'X': 0.764781653881073, 'Y': 0.5356234312057495, 'Z': -0.07923046499490738}, {'X': 0.7739037871360779, 'Y': 0.5229828357696533, 'Z': -0.06990128010511398}]
[{'X': 0.7205074429512024, 'Y': 0.6725678443908691, 'Z': -5.865222192369401e-07}, {'X': 0.6235392093658447, 'Y': 0.6571551561355591, 'Z': -0.05077412724494934}, {'X': 0.530639111995697, 'Y': 0.6183566451072693, 'Z': -0.09023601561784744}, {'X': 0.45049023628234863, 'Y': 0.6056610941886902, 'Z': -0.12366792559623718}, {'X': 0.3874094486236572, 'Y': 0.6142778396606445, 'Z': -0.14896157383918762}, {'X': 0.5922091603279114, 'Y': 0.3988003730773926, 'Z': -0.06689383089542389}, {'X': 0.5519177317619324, 'Y': 0.4485556483268738, 'Z': -0.10157754272222519}, {'X': 0.5760146379470825, 'Y': 0.5245776772499084, 'Z': -0.1167742908000946}, {'X': 0.5946290493011475, 'Y': 0.502987802028656, 'Z': -0.12946203351020813}, {'X': 0.6541529893875122, 'Y': 0.36791855096817017, 'Z': -0.06322786211967468}, {'X': 0.608646035194397, 'Y': 0.4544745683670044, 'Z': -0.09839671850204468}, {'X': 0.6259363889694214, 'Y': 0.5302979946136475, 'Z': -0.1004766970872879}, {'X': 0.6434417366981506, 'Y': 0.4996274411678314, 'Z': -0.102104552090168}, {'X': 0.7127805352210999, 'Y': 0.3811986744403839, 'Z': -0.06385291367769241}, {'X': 0.670262336730957, 'Y': 0.46629798412323, 'Z': -0.0893264040350914}, {'X': 0.6753107905387878, 'Y': 0.5334348082542419, 'Z': -0.0730980709195137}, {'X': 0.6889036893844604, 'Y': 0.5033847689628601, 'Z': -0.06482801586389542}, {'X': 0.7656860947608948, 'Y': 0.4099728763103485, 'Z': -0.0712658017873764}, {'X': 0.7310921549797058, 'Y': 0.4887028932571411, 'Z': -0.08291187137365341}, {'X': 0.724546492099762, 'Y': 0.5386993288993835, 'Z': -0.07442223280668259}, {'X': 0.7349065542221069, 'Y': 0.5195926427841187, 'Z': -0.0695176050066948}]
[{'X': 0.6998196840286255, 'Y': 0.6635217666625977, 'Z': -6.870825473015429e-07}, {'X': 0.606737494468689, 'Y': 0.6487809419631958, 'Z': -0.04441196843981743}, {'X': 0.5198614001274109, 'Y': 0.6114307641983032, 'Z': -0.0774480327963829}, {'X': 0.4445210099220276, 'Y': 0.6026644706726074, 'Z': -0.10720827430486679}, {'X': 0.38762304186820984, 'Y': 0.6181393265724182, 'Z': -0.13090986013412476}, {'X': 0.5684216618537903, 'Y': 0.4097674787044525, 'Z': -0.04466899111866951}, {'X': 0.5208850502967834, 'Y': 0.437576562166214, 'Z': -0.08504411578178406}, {'X': 0.5547879338264465, 'Y': 0.5097157955169678, 'Z': -0.1100693792104721}, {'X': 0.5782330632209778, 'Y': 0.5163233876228333, 'Z': -0.1274498850107193}, {'X': 0.6217153668403625, 'Y': 0.3756827116012573, 'Z': -0.04367799311876297}, {'X': 0.5774192214012146, 'Y': 0.43388333916664124, 'Z': -0.0841248407959938}, {'X': 0.6021380424499512, 'Y': 0.5110001564025879, 'Z': -0.09468778967857361}, {'X': 0.620760440826416, 'Y': 0.5038818717002869, 'Z': -0.09950835257768631}, {'X': 0.678057074546814, 'Y': 0.38379767537117004, 'Z': -0.04851937294006348}, {'X': 0.6418038010597229, 'Y': 0.44807103276252747, 'Z': -0.08377590775489807}, {'X': 0.6505631804466248, 'Y': 0.5160514116287231, 'Z': -0.07250891625881195}, {'X': 0.6647211313247681, 'Y': 0.5036327242851257, 'Z': -0.06243332102894783}, {'X': 0.729070782661438, 'Y': 0.40826883912086487, 'Z': -0.05871278792619705}, {'X': 0.7023336887359619, 'Y': 0.46588295698165894, 'Z': -0.07430025935173035}, {'X': 0.6962165832519531, 'Y': 0.5185531973838806, 'Z': -0.06385504454374313}, {'X': 0.7044478058815002, 'Y': 0.5135458111763, 'Z': -0.0553378127515316}]
