[{'X': 0.7764485478401184, 'Y': 0.7838099002838135, 'Z': 4.2237397224198503e-07}, {'X': 0.6987954378128052, 'Y': 0.7592777609825134, 'Z': -0.03516988083720207}, {'X': 0.6366543173789978, 'Y': 0.7031372785568237, 'Z': -0.05045906454324722}, {'X': 0.6086531281471252, 'Y': 0.6278322339057922, 'Z': -0.0634816586971283}, {'X': 0.6098748445510864, 'Y': 0.553561270236969, 'Z': -0.07342242449522018}, {'X': 0.6624979376792908, 'Y': 0.5675801038742065, 'Z': -0.0011661952594295144}, {'X': 0.6278769969940186, 'Y': 0.49038374423980713, 'Z': -0.015220311470329762}, {'X': 0.6080145239830017, 'Y': 0.4392108917236328, 'Z': -0.030518345534801483}, {'X': 0.5941420793533325, 'Y': 0.3938731551170349, 'Z': -0.043251171708106995}, {'X': 0.709841787815094, 'Y': 0.5410022735595703, 'Z': 0.00048173757386393845}, {'X': 0.6983579397201538, 'Y': 0.4382352828979492, 'Z': -0.009840643033385277}, {'X': 0.6948271989822388, 'Y': 0.3745202422142029, 'Z': -0.022365529090166092}, {'X': 0.6920757293701172, 'Y': 0.31961095333099365, 'Z': -0.031938519328832626}, {'X': 0.7549459338188171, 'Y': 0.5403320789337158, 'Z': -0.00520101934671402}, {'X': 0.7453252077102661, 'Y': 0.44693276286125183, 'Z': -0.021982228383421898}, {'X': 0.7370335459709167, 'Y': 0.3868716359138489, 'Z': -0.0344526432454586}, {'X': 0.7287265658378601, 'Y': 0.33344972133636475, 'Z': -0.042826779186725616}, {'X': 0.804302990436554, 'Y': 0.5569002032279968, 'Z': -0.014800196513533592}, {'X': 0.8181779384613037, 'Y': 0.4841407239437103, 'Z': -0.030050255358219147}, {'X': 0.82608962059021, 'Y': 0.4342731237411499, 'Z': -0.03739846125245094}, {'X': 0.8311971426010132, 'Y': 0.3866729438304901, 'Z': -0.04225272685289383}]
[{'X': 0.7753602266311646, 'Y': 0.7810117602348328, 'Z': 4.260197670191701e-07}, {'X': 0.6979147791862488, 'Y': 0.7569581866264343, 'Z': -0.036966484040021896}, {'X': 0.6348351240158081, 'Y': 0.7016139626502991, 'Z': -0.05350643768906593}, {'X': 0.6075946092605591, 'Y': 0.6242799758911133, 'Z': -0.06740650534629822}, {'X': 0.6101044416427612, 'Y': 0.548494279384613, 'Z': -0.07814154028892517}, {'X': 0.6613569855690002, 'Y': 0.5640348792076111, 'Z': -0.0035387177485972643}, {'X': 0.6270889043807983, 'Y': 0.48715174198150635, 'Z': -0.017973724752664566}, {'X': 0.6073508858680725, 'Y': 0.4365391731262207, 'Z': -0.033311136066913605}, {'X': 0.5937314629554749, 'Y': 0.39156830310821533, 'Z': -0.04609227553009987}, {'X': 0.7089350819587708, 'Y': 0.5379774570465088, 'Z': -0.0010912519646808505}, {'X': 0.6980926394462585, 'Y': 0.43574121594429016, 'Z': -0.011671333573758602}, {'X': 0.6947753429412842, 'Y': 0.3726014494895935, 'Z': -0.023787565529346466}, {'X': 0.6923997402191162, 'Y': 0.31790781021118164, 'Z': -0.0330950953066349}, {'X': 0.7541201710700989, 'Y': 0.5380443930625916, 'Z': -0.0061217062175273895}, {'X': 0.7449142336845398, 'Y': 0.44485193490982056, 'Z': -0.023179544135928154}, {'X': 0.7367398738861084, 'Y': 0.3854430317878723, 'Z': -0.03537580370903015}, {'X': 0.7283353805541992, 'Y': 0.33209580183029175, 'Z': -0.043582409620285034}, {'X': 0.8036218285560608, 'Y': 0.5551682114601135, 'Z': -0.01520450972020626}, {'X': 0.8175647854804993, 'Y': 0.4826020896434784, 'Z': -0.030944539234042168}, {'X': 0.8251972794532776, 'Y': 0.4330374002456665, 'Z': -0.03858138248324394}, {'X': 0.8297730088233948, 'Y': 0.3852628767490387, 'Z': -0.043604858219623566}]
[{'X': 0.7768676280975342, 'Y': 0.7835545539855957, 'Z': 4.343685873209324e-07}, {'X': 0.6996847987174988, 'Y': 0.7588077783584595, 'Z': -0.036997340619564056}, {'X': 0.6354711055755615, 'Y': 0.7022460103034973, 'Z': -0.05370717868208885}, {'X': 0.6060857772827148, 'Y': 0.6234654188156128, 'Z': -0.06790865957736969}, {'X': 0.6113248467445374, 'Y': 0.5472748875617981, 'Z': -0.07882611453533173}, {'X': 0.6616086959838867, 'Y': 0.5654847621917725, 'Z': -0.0027958350256085396}, {'X': 0.6273576617240906, 'Y': 0.48641902208328247, 'Z': -0.017463695257902145}, {'X': 0.6076186895370483, 'Y': 0.4348626732826233, 'Z': -0.032632917165756226}, {'X': 0.5940342545509338, 'Y': 0.389988511800766, 'Z': -0.04513475298881531}, {'X': 0.7092844247817993, 'Y': 0.5396130681037903, 'Z': -0.00032422319054603577}, {'X': 0.6991544365882874, 'Y': 0.43531060218811035, 'Z': -0.010853445157408714}, {'X': 0.6961604356765747, 'Y': 0.3718392550945282, 'Z': -0.022402018308639526}, {'X': 0.6934247016906738, 'Y': 0.31686827540397644, 'Z': -0.031053105369210243}, {'X': 0.7546291947364807, 'Y': 0.5395494103431702, 'Z': -0.005467971786856651}, {'X': 0.7444236874580383, 'Y': 0.4442771077156067, 'Z': -0.022524328902363777}, {'X': 0.7355383038520813, 'Y': 0.3845170736312866, 'Z': -0.03417569398880005}, {'X': 0.7265603542327881, 'Y': 0.33142465353012085, 'Z': -0.041768427938222885}, {'X': 0.8043813705444336, 'Y': 0.5563347339630127, 'Z': -0.014735064469277859}, {'X': 0.8181180953979492, 'Y': 0.48215025663375854, 'Z': -0.030398502945899963}, {'X': 0.8259438872337341, 'Y': 0.43124765157699585, 'Z': -0.03794219344854355}, {'X': 0.8310103416442871, 'Y': 0.38252878189086914, 'Z': -0.042743533849716187}]
[{'X': 0.7767503261566162, 'Y': 0.7834550142288208, 'Z': 3.9625834347134514e-07}, {'X': 0.6992200016975403, 'Y': 0.7609098553657532, 'Z': -0.03643130511045456}, {'X': 0.6364138126373291, 'Y': 0.7045146822929382, 'Z': -0.05289364606142044}, {'X': 0.609145998954773, 'Y': 0.6242923736572266, 'Z': -0.06642819941043854}, {'X': 0.6139093041419983, 'Y': 0.5487344861030579, 'Z': -0.07703808695077896}, {'X': 0.6641027927398682, 'Y': 0.5727440118789673, 'Z': -0.007692363578826189}, {'X': 0.6289221048355103, 'Y': 0.4939853549003601, 'Z': -0.024292809888720512}, {'X': 0.6088364124298096, 'Y': 0.44167840480804443, 'Z': -0.040658459067344666}, {'X': 0.5952438712120056, 'Y': 0.39451736211776733, 'Z': -0.05415334925055504}, {'X': 0.7107377052307129, 'Y': 0.5458613038063049, 'Z': -0.005459457635879517}, {'X': 0.698434054851532, 'Y': 0.44127604365348816, 'Z': -0.018276164308190346}, {'X': 0.69509357213974, 'Y': 0.3765764832496643, 'Z': -0.03173673897981644}, {'X': 0.6927199363708496, 'Y': 0.31981348991394043, 'Z': -0.041925325989723206}, {'X': 0.7554247975349426, 'Y': 0.5451979041099548, 'Z': -0.010156015865504742}, {'X': 0.7443816065788269, 'Y': 0.4493337869644165, 'Z': -0.029626188799738884}, {'X': 0.7357062697410583, 'Y': 0.3878922760486603, 'Z': -0.04328896105289459}, {'X': 0.7278529405593872, 'Y': 0.3324052095413208, 'Z': -0.05231000855565071}, {'X': 0.8055017590522766, 'Y': 0.5620471239089966, 'Z': -0.018528617918491364}, {'X': 0.8180980682373047, 'Y': 0.487943559885025, 'Z': -0.036767903715372086}, {'X': 0.8257099986076355, 'Y': 0.4373309016227722, 'Z': -0.04571188613772392}, {'X': 0.8308166861534119, 'Y': 0.38820117712020874, 'Z': -0.051448021084070206}]
[{'X': 0.7761853933334351, 'Y': 0.7871707677841187, 'Z': 4.0686356328478723e-07}, {'X': 0.700381875038147, 'Y': 0.7628587484359741, 'Z': -0.03655332699418068}, {'X': 0.6380826234817505, 'Y': 0.706362247467041, 'Z': -0.052945997565984726}, {'X': 0.611416220664978, 'Y': 0.6258208751678467, 'Z': -0.06641440093517303}, {'X': 0.6164919137954712, 'Y': 0.5491793751716614, 'Z': -0.07689738273620605}, {'X': 0.6629934906959534, 'Y': 0.5746012926101685, 'Z': -0.006942402105778456}, {'X': 0.6287986040115356, 'Y': 0.4961637556552887, 'Z': -0.02275841496884823}, {'X': 0.6090113520622253, 'Y': 0.4443741738796234, 'Z': -0.03842270374298096}, {'X': 0.5953924655914307, 'Y': 0.3974972367286682, 'Z': -0.05138295516371727}, {'X': 0.7097033858299255, 'Y': 0.5482217669487, 'Z': -0.0044267065823078156}, {'X': 0.698340892791748, 'Y': 0.4435591697692871, 'Z': -0.016337240114808083}, {'X': 0.6953335404396057, 'Y': 0.37989962100982666, 'Z': -0.028786243870854378}, {'X': 0.6928625702857971, 'Y': 0.3249688148498535, 'Z': -0.03815847635269165}, {'X': 0.754543125629425, 'Y': 0.5475800633430481, 'Z': -0.008963686414062977}, {'X': 0.7441253066062927, 'Y': 0.4528677463531494, 'Z': -0.02752339467406273}, {'X': 0.7352526783943176, 'Y': 0.3926157057285309, 'Z': -0.040280018001794815}, {'X': 0.7266846299171448, 'Y': 0.3388083279132843, 'Z': -0.048612624406814575}, {'X': 0.8045587539672852, 'Y': 0.5636870265007019, 'Z': -0.017259718850255013}, {'X': 0.8172245025634766, 'Y': 0.489310085773468, 'Z': -0.03453024476766586}, {'X': 0.824695348739624, 'Y': 0.4382660686969757, 'Z': -0.04282296076416969}, {'X': 0.8293625712394714, 'Y': 0.38924747705459595, 'Z': -0.04808233305811882}]
[{'X': 0.7770007848739624, 'Y': 0.7803663611412048, 'Z': 4.3440925878712733e-07}, {'X': 0.7017573118209839, 'Y': 0.7572425603866577, 'Z': -0.036823440343141556}, {'X': 0.6394561529159546, 'Y': 0.6999790072441101, 'Z': -0.053676921874284744}, {'X': 0.613051176071167, 'Y': 0.6188385486602783, 'Z': -0.06738974899053574}, {'X': 0.6212517023086548, 'Y': 0.5446498990058899, 'Z': -0.07817819714546204}, {'X': 0.6646097898483276, 'Y': 0.5738009810447693, 'Z': -0.008922742679715157}, {'X': 0.631340503692627, 'Y': 0.49408602714538574, 'Z': -0.026028024032711983}, {'X': 0.6124954223632812, 'Y': 0.4423011541366577, 'Z': -0.043059077113866806}, {'X': 0.5992501974105835, 'Y': 0.39493250846862793, 'Z': -0.057019662111997604}, {'X': 0.711340606212616, 'Y': 0.5481829643249512, 'Z': -0.006330301519483328}, {'X': 0.7005446553230286, 'Y': 0.4445732831954956, 'Z': -0.019775651395320892}, {'X': 0.6974161267280579, 'Y': 0.3785845637321472, 'Z': -0.034653738141059875}, {'X': 0.6946823596954346, 'Y': 0.3206440210342407, 'Z': -0.045943208038806915}, {'X': 0.7554915547370911, 'Y': 0.5476136803627014, 'Z': -0.010480660945177078}, {'X': 0.7457071542739868, 'Y': 0.45317789912223816, 'Z': -0.03037765994668007}, {'X': 0.7374890446662903, 'Y': 0.39164549112319946, 'Z': -0.04514933004975319}, {'X': 0.7299872040748596, 'Y': 0.33716899156570435, 'Z': -0.05481639504432678}, {'X': 0.8054292798042297, 'Y': 0.5635685920715332, 'Z': -0.018199075013399124}, {'X': 0.8180242776870728, 'Y': 0.4888099730014801, 'Z': -0.036341968923807144}, {'X': 0.8253908753395081, 'Y': 0.43824633955955505, 'Z': -0.04558830335736275}, {'X': 0.8296244144439697, 'Y': 0.3902870714664459, 'Z': -0.0515923835337162}]
[{'X': 0.7793042659759521, 'Y': 0.7742323875427246, 'Z': 4.529138095676899e-07}, {'X': 0.7042748332023621, 'Y': 0.7478474378585815, 'Z': -0.03802862763404846}, {'X': 0.6418274641036987, 'Y': 0.6912564039230347, 'Z': -0.05596302077174187}, {'X': 0.6155614256858826, 'Y': 0.6109541654586792, 'Z': -0.0707145407795906}, {'X': 0.6221798658370972, 'Y': 0.5353593826293945, 'Z': -0.08248287439346313}, {'X': 0.6645331382751465, 'Y': 0.5656075477600098, 'Z': -0.008342725224792957}, {'X': 0.6317199468612671, 'Y': 0.4866102933883667, 'Z': -0.025226689875125885}, {'X': 0.6136273741722107, 'Y': 0.43535932898521423, 'Z': -0.041998520493507385}, {'X': 0.6013954877853394, 'Y': 0.3891298770904541, 'Z': -0.05566278472542763}, {'X': 0.7124710083007812, 'Y': 0.5408360958099365, 'Z': -0.00542792584747076}, {'X': 0.7016890645027161, 'Y': 0.43913957476615906, 'Z': -0.019024161621928215}, {'X': 0.6986156702041626, 'Y': 0.37488698959350586, 'Z': -0.03416931629180908}, {'X': 0.6965351104736328, 'Y': 0.3174484670162201, 'Z': -0.04550307244062424}, {'X': 0.7574939727783203, 'Y': 0.5410683751106262, 'Z': -0.00947620626538992}, {'X': 0.7483461499214172, 'Y': 0.447360098361969, 'Z': -0.029372036457061768}, {'X': 0.7401546239852905, 'Y': 0.38668572902679443, 'Z': -0.044034168124198914}, {'X': 0.7325802445411682, 'Y': 0.33261433243751526, 'Z': -0.05357610061764717}, {'X': 0.8077757954597473, 'Y': 0.5577379465103149, 'Z': -0.0171819981187582}, {'X': 0.8193473815917969, 'Y': 0.48400720953941345, 'Z': -0.03519399091601372}, {'X': 0.8253397941589355, 'Y': 0.43349575996398926, 'Z': -0.044126950204372406}, {'X': 0.82867830991745, 'Y': 0.3854145407676697, 'Z': -0.049804333597421646}]
[{'X': 0.7792379260063171, 'Y': 0.7673318386077881, 'Z': 3.485842512418458e-07}, {'X': 0.7059533596038818, 'Y': 0.7264851927757263, 'Z': -0.028809744864702225}, {'X': 0.652603268623352, 'Y': 0.6598837971687317, 'Z': -0.03843393176794052}, {'X': 0.6335012316703796, 'Y': 0.579106330871582, 'Z': -0.04726007580757141}, {'X': 0.6288448572158813, 'Y': 0.5056776404380798, 'Z': -0.0537046454846859}, {'X': 0.6729056239128113, 'Y': 0.5633228421211243, 'Z': 0.00801030546426773}, {'X': 0.6384368538856506, 'Y': 0.4874844253063202, 'Z': -0.00648509943857789}, {'X': 0.6185253262519836, 'Y': 0.4370696544647217, 'Z': -0.0221335981041193}, {'X': 0.6038777828216553, 'Y': 0.39106231927871704, 'Z': -0.03428506478667259}, {'X': 0.7176430225372314, 'Y': 0.5419078469276428, 'Z': 0.008092663250863552}, {'X': 0.7027530074119568, 'Y': 0.44102203845977783, 'Z': -0.0036064179148525}, {'X': 0.6964519023895264, 'Y': 0.3766886293888092, 'Z': -0.018213368952274323}, {'X': 0.6922562718391418, 'Y': 0.3213568925857544, 'Z': -0.028656059876084328}, {'X': 0.7607432007789612, 'Y': 0.5422536134719849, 'Z': 0.0012180856429040432}, {'X': 0.751097559928894, 'Y': 0.4503651261329651, 'Z': -0.01658344827592373}, {'X': 0.7432833909988403, 'Y': 0.3872968852519989, 'Z': -0.03056979738175869}, {'X': 0.7362874150276184, 'Y': 0.33324772119522095, 'Z': -0.038919929414987564}, {'X': 0.8087700605392456, 'Y': 0.5568855404853821, 'Z': -0.008876836858689785}, {'X': 0.8178315758705139, 'Y': 0.48163583874702454, 'Z': -0.023627115413546562}, {'X': 0.8205280303955078, 'Y': 0.4297168552875519, 'Z': -0.030485233291983604}, {'X': 0.8202004432678223, 'Y': 0.3837871253490448, 'Z': -0.03464264050126076}]
[{'X': 0.7800416946411133, 'Y': 0.7664154171943665, 'Z': 2.1229250535270694e-07}, {'X': 0.7061719298362732, 'Y': 0.716465413570404, 'Z': -0.017760474234819412}, {'X': 0.6628212332725525, 'Y': 0.6337381601333618, 'Z': -0.01586170680820942}, {'X': 0.649773120880127, 'Y': 0.546949028968811, 'Z': -0.014275871217250824}, {'X': 0.6411552429199219, 'Y': 0.4788162410259247, 'Z': -0.011110520921647549}, {'X': 0.6789315938949585, 'Y': 0.5832008719444275, 'Z': 0.024010788649320602}, {'X': 0.6467491388320923, 'Y': 0.5056979656219482, 'Z': 0.017030924558639526}, {'X': 0.6280438303947449, 'Y': 0.45538613200187683, 'Z': 0.006072287913411856}, {'X': 0.613663375377655, 'Y': 0.4095870852470398, 'Z': -0.0032089082524180412}, {'X': 0.722795307636261, 'Y': 0.5640919208526611, 'Z': 0.02215350791811943}, {'X': 0.7010787129402161, 'Y': 0.4744478762149811, 'Z': 0.01497670728713274}, {'X': 0.6887876391410828, 'Y': 0.4161263406276703, 'Z': -0.001447100192308426}, {'X': 0.6786466836929321, 'Y': 0.3639943301677704, 'Z': -0.013687601312994957}, {'X': 0.7656952738761902, 'Y': 0.5619516372680664, 'Z': 0.01468698214739561}, {'X': 0.754449188709259, 'Y': 0.47325727343559265, 'Z': -3.191561575022206e-07}, {'X': 0.7442578673362732, 'Y': 0.4136272370815277, 'Z': -0.01568378508090973}, {'X': 0.7350546717643738, 'Y': 0.3622366189956665, 'Z': -0.02559654228389263}, {'X': 0.812614917755127, 'Y': 0.5693971514701843, 'Z': 0.005363245029002428}, {'X': 0.8094369173049927, 'Y': 0.4964072108268738, 'Z': -0.008527310565114021}, {'X': 0.8042713403701782, 'Y': 0.4463030993938446, 'Z': -0.01604686677455902}, {'X': 0.7974870800971985, 'Y': 0.3996032476425171, 'Z': -0.02078150399029255}]
[{'X': 0.7797499895095825, 'Y': 0.7578436136245728, 'Z': 1.508627320845335e-07}, {'X': 0.7088155150413513, 'Y': 0.7045096755027771, 'Z': -0.017453216016292572}, {'X': 0.669559121131897, 'Y': 0.6208555102348328, 'Z': -0.013285676948726177}, {'X': 0.6603057384490967, 'Y': 0.5302138328552246, 'Z': -0.010207298211753368}, {'X': 0.6541838645935059, 'Y': 0.45810166001319885, 'Z': -0.005532221402972937}, {'X': 0.6776115298271179, 'Y': 0.5936146974563599, 'Z': 0.03398994728922844}, {'X': 0.6488534212112427, 'Y': 0.521507978439331, 'Z': 0.0288414116948843}, {'X': 0.6339133977890015, 'Y': 0.4736267328262329, 'Z': 0.018269065767526627}, {'X': 0.6216463446617126, 'Y': 0.4264262318611145, 'Z': 0.008651663549244404}, {'X': 0.7215306758880615, 'Y': 0.5749924182891846, 'Z': 0.032972510904073715}, {'X': 0.7018566727638245, 'Y': 0.49756044149398804, 'Z': 0.026263779029250145}, {'X': 0.6890947818756104, 'Y': 0.4441659152507782, 'Z': 0.008456156589090824}, {'X': 0.676850438117981, 'Y': 0.39220553636550903, 'Z': -0.005218992475420237}, {'X': 0.7652105689048767, 'Y': 0.5704358220100403, 'Z': 0.02575582265853882}, {'X': 0.7524551749229431, 'Y': 0.4943579137325287, 'Z': 0.010925508104264736}, {'X': 0.7407909035682678, 'Y': 0.4370992183685303, 'Z': -0.005704742390662432}, {'X': 0.7298516631126404, 'Y': 0.3869732618331909, 'Z': -0.016133133322000504}, {'X': 0.8133559226989746, 'Y': 0.5724443793296814, 'Z': 0.016420137137174606}, {'X': 0.8048281669616699, 'Y': 0.5041511654853821, 'Z': 0.002524578245356679}, {'X': 0.7969233989715576, 'Y': 0.4562971591949463, 'Z': -0.005772170145064592}, {'X': 0.7883257269859314, 'Y': 0.41113173961639404, 'Z': -0.011216938495635986}]
[{'X': 0.7910265922546387, 'Y': 0.7504941821098328, 'Z': 1.4783769586301787e-07}, {'X': 0.7187550067901611, 'Y': 0.6958553791046143, 'Z': -0.015069467015564442}, {'X': 0.6815156936645508, 'Y': 0.6071847677230835, 'Z': -0.006406025029718876}, {'X': 0.6875925660133362, 'Y': 0.5139586925506592, 'Z': 0.0008611023076809943}, {'X': 0.6975416541099548, 'Y': 0.4436150789260864, 'Z': 0.009519120678305626}, {'X': 0.6755492687225342, 'Y': 0.5881528258323669, 'Z': 0.0479544922709465}, {'X': 0.650469183921814, 'Y': 0.5165354013442993, 'Z': 0.049770817160606384}, {'X': 0.6406559944152832, 'Y': 0.46915799379348755, 'Z': 0.04264092072844505}, {'X': 0.6319660544395447, 'Y': 0.42376357316970825, 'Z': 0.03486674651503563}, {'X': 0.7202114462852478, 'Y': 0.567794919013977, 'Z': 0.04823516681790352}, {'X': 0.7025790214538574, 'Y': 0.49197348952293396, 'Z': 0.04798050969839096}, {'X': 0.6915891766548157, 'Y': 0.44178253412246704, 'Z': 0.03167198970913887}, {'X': 0.6796354055404663, 'Y': 0.3948805630207062, 'Z': 0.018604476004838943}, {'X': 0.7629514932632446, 'Y': 0.5622131824493408, 'Z': 0.04178857430815697}, {'X': 0.7476102709770203, 'Y': 0.4946994185447693, 'Z': 0.03138004615902901}, {'X': 0.7325549125671387, 'Y': 0.44375163316726685, 'Z': 0.014277726411819458}, {'X': 0.719582736492157, 'Y': 0.4006635546684265, 'Z': 0.0032431534491479397}, {'X': 0.8106547594070435, 'Y': 0.5608977675437927, 'Z': 0.0332103930413723}, {'X': 0.7961105108261108, 'Y': 0.49253422021865845, 'Z': 0.02298012189567089}, {'X': 0.7839219570159912, 'Y': 0.4467189610004425, 'Z': 0.015126224607229233}, {'X': 0.7720798254013062, 'Y': 0.4035094976425171, 'Z': 0.009446315467357635}]
