[{'X': 0.7152507901191711, 'Y': 0.7820889353752136, 'Z': 3.310493639219203e-07}, {'X': 0.6504373550415039, 'Y': 0.7612651586532593, 'Z': -0.03182447329163551}, {'X': 0.6003555059432983, 'Y': 0.7140913605690002, 'Z': -0.04533451050519943}, {'X': 0.5804086327552795, 'Y': 0.6539077162742615, 'Z': -0.056436873972415924}, {'X': 0.5749652981758118, 'Y': 0.597280740737915, 'Z': -0.06509168446063995}, {'X': 0.6250817179679871, 'Y': 0.5861151218414307, 'Z': -0.009455177932977676}, {'X': 0.59422767162323, 'Y': 0.5166813731193542, 'Z': -0.024549219757318497}, {'X': 0.5766134858131409, 'Y': 0.47022396326065063, 'Z': -0.03939225152134895}, {'X': 0.564782440662384, 'Y': 0.4298795461654663, 'Z': -0.051116909831762314}, {'X': 0.669338583946228, 'Y': 0.5656080842018127, 'Z': -0.007894926704466343}, {'X': 0.6668968200683594, 'Y': 0.4731200337409973, 'Z': -0.018856903538107872}, {'X': 0.6686099171638489, 'Y': 0.4176201820373535, 'Z': -0.0297109205275774}, {'X': 0.6698310971260071, 'Y': 0.36904579401016235, 'Z': -0.038236353546381}, {'X': 0.7087981104850769, 'Y': 0.5699204802513123, 'Z': -0.012439560145139694}, {'X': 0.7099448442459106, 'Y': 0.48914265632629395, 'Z': -0.02824990078806877}, {'X': 0.7105759382247925, 'Y': 0.43862414360046387, 'Z': -0.038044001907110214}, {'X': 0.7098759412765503, 'Y': 0.39216846227645874, 'Z': -0.044483933597803116}, {'X': 0.7490103244781494, 'Y': 0.5911225080490112, 'Z': -0.020616179332137108}, {'X': 0.7639181613922119, 'Y': 0.5313035845756531, 'Z': -0.03482413664460182}, {'X': 0.7734724283218384, 'Y': 0.49206745624542236, 'Z': -0.04016227275133133}, {'X': 0.7801092267036438, 'Y': 0.4536784887313843, 'Z': -0.04346075281500816}]
[{'X': 0.7146086692810059, 'Y': 0.7786775231361389, 'Z': 3.157315404678229e-07}, {'X': 0.6504279375076294, 'Y': 0.7593076825141907, 'Z': -0.03101341798901558}, {'X': 0.6001982092857361, 'Y': 0.7127069234848022, 'Z': -0.04452763870358467}, {'X': 0.5802239775657654, 'Y': 0.6527305841445923, 'Z': -0.055496945977211}, {'X': 0.5726737380027771, 'Y': 0.5956084728240967, 'Z': -0.06419969350099564}, {'X': 0.6234394311904907, 'Y': 0.5868759751319885, 'Z': -0.012413295917212963}, {'X': 0.5926077961921692, 'Y': 0.516227662563324, 'Z': -0.02833845466375351}, {'X': 0.5747025012969971, 'Y': 0.47003889083862305, 'Z': -0.0431988462805748}, {'X': 0.5624293088912964, 'Y': 0.43025514483451843, 'Z': -0.054729025810956955}, {'X': 0.6669930219650269, 'Y': 0.5667276382446289, 'Z': -0.01139267161488533}, {'X': 0.6631088852882385, 'Y': 0.47329822182655334, 'Z': -0.023404544219374657}, {'X': 0.6643421649932861, 'Y': 0.41752493381500244, 'Z': -0.03479757532477379}, {'X': 0.6655032634735107, 'Y': 0.36902064085006714, 'Z': -0.04364551976323128}, {'X': 0.7063206434249878, 'Y': 0.5710384845733643, 'Z': -0.016067450866103172}, {'X': 0.7061923146247864, 'Y': 0.48990100622177124, 'Z': -0.032983772456645966}, {'X': 0.7065981030464172, 'Y': 0.43856701254844666, 'Z': -0.04363732039928436}, {'X': 0.7058021426200867, 'Y': 0.3913945257663727, 'Z': -0.05060844495892525}, {'X': 0.7466024160385132, 'Y': 0.5916375517845154, 'Z': -0.024065079167485237}, {'X': 0.7608162760734558, 'Y': 0.5311858057975769, 'Z': -0.03951447084546089}, {'X': 0.7707536816596985, 'Y': 0.4918070435523987, 'Z': -0.045466817915439606}, {'X': 0.7778622508049011, 'Y': 0.453479528427124, 'Z': -0.04909317195415497}]
[{'X': 0.7139140963554382, 'Y': 0.7757310271263123, 'Z': 3.4592977726788376e-07}, {'X': 0.6502049565315247, 'Y': 0.757762610912323, 'Z': -0.03382613882422447}, {'X': 0.6001551747322083, 'Y': 0.7123640775680542, 'Z': -0.04878917336463928}, {'X': 0.5796607732772827, 'Y': 0.652044951915741, 'Z': -0.06085776165127754}, {'X': 0.5737335681915283, 'Y': 0.5925925970077515, 'Z': -0.07034435868263245}, {'X': 0.6234261989593506, 'Y': 0.5850630402565002, 'Z': -0.013676315546035767}, {'X': 0.5916270613670349, 'Y': 0.5157567858695984, 'Z': -0.029968349263072014}, {'X': 0.5740172863006592, 'Y': 0.4691532850265503, 'Z': -0.04491850361227989}, {'X': 0.5624969601631165, 'Y': 0.4284057915210724, 'Z': -0.056497972458601}, {'X': 0.6668975353240967, 'Y': 0.5642853379249573, 'Z': -0.011068674735724926}, {'X': 0.6639028787612915, 'Y': 0.47238072752952576, 'Z': -0.022979380562901497}, {'X': 0.6654419898986816, 'Y': 0.4167012572288513, 'Z': -0.03379166126251221}, {'X': 0.6667932271957397, 'Y': 0.36803749203681946, 'Z': -0.04206740856170654}, {'X': 0.7061229348182678, 'Y': 0.5683944821357727, 'Z': -0.014541223645210266}, {'X': 0.7060254216194153, 'Y': 0.4888989329338074, 'Z': -0.03105294518172741}, {'X': 0.7063881158828735, 'Y': 0.4383126497268677, 'Z': -0.040968555957078934}, {'X': 0.7058112621307373, 'Y': 0.39183509349823, 'Z': -0.04729548096656799}, {'X': 0.7460232973098755, 'Y': 0.5889290571212769, 'Z': -0.021700827404856682}, {'X': 0.7603356242179871, 'Y': 0.529676079750061, 'Z': -0.03657548874616623}, {'X': 0.7700977921485901, 'Y': 0.4906556010246277, 'Z': -0.04231027141213417}, {'X': 0.7772724628448486, 'Y': 0.4526613652706146, 'Z': -0.0456518828868866}]
[{'X': 0.7142358422279358, 'Y': 0.7803500294685364, 'Z': 3.057832600461552e-07}, {'X': 0.6505861878395081, 'Y': 0.758752703666687, 'Z': -0.029915327206254005}, {'X': 0.600021481513977, 'Y': 0.7112138271331787, 'Z': -0.04267014563083649}, {'X': 0.5810847878456116, 'Y': 0.6503581404685974, 'Z': -0.05317138507962227}, {'X': 0.5777087807655334, 'Y': 0.5932168960571289, 'Z': -0.061335489153862}, {'X': 0.624005913734436, 'Y': 0.5857332348823547, 'Z': -0.009899944998323917}, {'X': 0.5934740304946899, 'Y': 0.5167709589004517, 'Z': -0.02483469247817993}, {'X': 0.5760637521743774, 'Y': 0.47048109769821167, 'Z': -0.039263855665922165}, {'X': 0.5643250346183777, 'Y': 0.4302193820476532, 'Z': -0.050710294395685196}, {'X': 0.6679919958114624, 'Y': 0.565235435962677, 'Z': -0.0091007174924016}, {'X': 0.6651114225387573, 'Y': 0.47255855798721313, 'Z': -0.020317111164331436}, {'X': 0.6668598055839539, 'Y': 0.41744205355644226, 'Z': -0.031047355383634567}, {'X': 0.6679897904396057, 'Y': 0.36897921562194824, 'Z': -0.03939829021692276}, {'X': 0.7072868347167969, 'Y': 0.5695754885673523, 'Z': -0.014016203582286835}, {'X': 0.7079814076423645, 'Y': 0.4884929656982422, 'Z': -0.03003126010298729}, {'X': 0.7083612680435181, 'Y': 0.43803870677948, 'Z': -0.03975405916571617}, {'X': 0.707081139087677, 'Y': 0.39160996675491333, 'Z': -0.046132709830999374}, {'X': 0.7473946809768677, 'Y': 0.5910072326660156, 'Z': -0.022263383492827415}, {'X': 0.7616400718688965, 'Y': 0.5311656594276428, 'Z': -0.03656698390841484}, {'X': 0.7708489298820496, 'Y': 0.4918954372406006, 'Z': -0.04169277101755142}, {'X': 0.7769986391067505, 'Y': 0.4535491168498993, 'Z': -0.044796280562877655}]
[{'X': 0.7151423692703247, 'Y': 0.7818288803100586, 'Z': 3.397728107756848e-07}, {'X': 0.6546518802642822, 'Y': 0.7598384022712708, 'Z': -0.0316423699259758}, {'X': 0.6041086912155151, 'Y': 0.7141007781028748, 'Z': -0.04716551676392555}, {'X': 0.5862253904342651, 'Y': 0.6518735885620117, 'Z': -0.06020012125372887}, {'X': 0.5908607244491577, 'Y': 0.594103991985321, 'Z': -0.07074658572673798}, {'X': 0.6250045895576477, 'Y': 0.5880063772201538, 'Z': -0.012683089822530746}, {'X': 0.5954688191413879, 'Y': 0.518325686454773, 'Z': -0.028471775352954865}, {'X': 0.5780330300331116, 'Y': 0.47277477383613586, 'Z': -0.04330231249332428}, {'X': 0.5664337873458862, 'Y': 0.43276628851890564, 'Z': -0.05496256798505783}, {'X': 0.6683077216148376, 'Y': 0.569816529750824, 'Z': -0.011609877459704876}, {'X': 0.6664707064628601, 'Y': 0.47701194882392883, 'Z': -0.022998306900262833}, {'X': 0.668670117855072, 'Y': 0.42164480686187744, 'Z': -0.03401928395032883}, {'X': 0.6706889271736145, 'Y': 0.37239599227905273, 'Z': -0.04263801872730255}, {'X': 0.708015501499176, 'Y': 0.5750837326049805, 'Z': -0.016260739415884018}, {'X': 0.7076207995414734, 'Y': 0.49454692006111145, 'Z': -0.03222358226776123}, {'X': 0.7066101431846619, 'Y': 0.4433937966823578, 'Z': -0.042364783585071564}, {'X': 0.7041686177253723, 'Y': 0.39651328325271606, 'Z': -0.049192436039447784}, {'X': 0.7481980323791504, 'Y': 0.596107006072998, 'Z': -0.02433418296277523}, {'X': 0.7613099217414856, 'Y': 0.5350148677825928, 'Z': -0.03874532878398895}, {'X': 0.7706747651100159, 'Y': 0.4949859380722046, 'Z': -0.04417761415243149}, {'X': 0.7777572870254517, 'Y': 0.45649880170822144, 'Z': -0.047545481473207474}]
[{'X': 0.7169156074523926, 'Y': 0.7778083086013794, 'Z': 3.3573022051314183e-07}, {'X': 0.6584228873252869, 'Y': 0.7574605941772461, 'Z': -0.026293275877833366}, {'X': 0.6087854504585266, 'Y': 0.7078802585601807, 'Z': -0.03896206617355347}, {'X': 0.5955389738082886, 'Y': 0.6425994038581848, 'Z': -0.05000831559300423}, {'X': 0.614517867565155, 'Y': 0.5984460115432739, 'Z': -0.05916358903050423}, {'X': 0.6270782947540283, 'Y': 0.5870741605758667, 'Z': -0.010564586147665977}, {'X': 0.5980343818664551, 'Y': 0.5188907384872437, 'Z': -0.02436494454741478}, {'X': 0.5819151997566223, 'Y': 0.4736943542957306, 'Z': -0.037436287850141525}, {'X': 0.5710437297821045, 'Y': 0.4332796335220337, 'Z': -0.04856100305914879}, {'X': 0.6694663166999817, 'Y': 0.568747341632843, 'Z': -0.011989054270088673}, {'X': 0.6672449111938477, 'Y': 0.478597491979599, 'Z': -0.02345559187233448}, {'X': 0.669898271560669, 'Y': 0.42325907945632935, 'Z': -0.034651901572942734}, {'X': 0.6726645231246948, 'Y': 0.3752157390117645, 'Z': -0.0431327223777771}, {'X': 0.7088428735733032, 'Y': 0.5738712549209595, 'Z': -0.018176989629864693}, {'X': 0.7069710493087769, 'Y': 0.4945623278617859, 'Z': -0.034664638340473175}, {'X': 0.7046374082565308, 'Y': 0.44232240319252014, 'Z': -0.04625796526670456}, {'X': 0.7018319368362427, 'Y': 0.39592230319976807, 'Z': -0.05393975228071213}, {'X': 0.7500757575035095, 'Y': 0.5948421955108643, 'Z': -0.027072636410593987}, {'X': 0.7631480693817139, 'Y': 0.5358181595802307, 'Z': -0.04199139028787613}, {'X': 0.7715200185775757, 'Y': 0.4957042932510376, 'Z': -0.048381105065345764}, {'X': 0.7774379849433899, 'Y': 0.45802047848701477, 'Z': -0.05246933549642563}]
[{'X': 0.7204236388206482, 'Y': 0.7756433486938477, 'Z': 3.3196158710779855e-07}, {'X': 0.6636560559272766, 'Y': 0.7553178071975708, 'Z': -0.027388930320739746}, {'X': 0.6153316497802734, 'Y': 0.7043827772140503, 'Z': -0.04058434069156647}, {'X': 0.6059836149215698, 'Y': 0.636395275592804, 'Z': -0.05193386971950531}, {'X': 0.6270074844360352, 'Y': 0.5858847498893738, 'Z': -0.06079868599772453}, {'X': 0.6315404176712036, 'Y': 0.5870287418365479, 'Z': -0.010822311043739319}, {'X': 0.6001150012016296, 'Y': 0.5179287195205688, 'Z': -0.025845758616924286}, {'X': 0.5840334296226501, 'Y': 0.47147780656814575, 'Z': -0.038884200155735016}, {'X': 0.5744672417640686, 'Y': 0.4304857850074768, 'Z': -0.04956654831767082}, {'X': 0.6723952889442444, 'Y': 0.5667784810066223, 'Z': -0.011236405000090599}, {'X': 0.6691712737083435, 'Y': 0.4762956500053406, 'Z': -0.02406306564807892}, {'X': 0.6722255349159241, 'Y': 0.42029350996017456, 'Z': -0.0345299169421196}, {'X': 0.6760138273239136, 'Y': 0.3719184398651123, 'Z': -0.04184557870030403}, {'X': 0.710608959197998, 'Y': 0.570969820022583, 'Z': -0.016685327515006065}, {'X': 0.708586573600769, 'Y': 0.4921472370624542, 'Z': -0.03378096595406532}, {'X': 0.7076177597045898, 'Y': 0.43970686197280884, 'Z': -0.04376690834760666}, {'X': 0.7064162492752075, 'Y': 0.3921785354614258, 'Z': -0.04983808845281601}, {'X': 0.7508228421211243, 'Y': 0.5918316841125488, 'Z': -0.02504042163491249}, {'X': 0.7636451721191406, 'Y': 0.5343946218490601, 'Z': -0.03978179395198822}, {'X': 0.7724612951278687, 'Y': 0.4953542649745941, 'Z': -0.04515194147825241}, {'X': 0.7788265347480774, 'Y': 0.45841822028160095, 'Z': -0.048093874007463455}]
[{'X': 0.7221768498420715, 'Y': 0.7744462490081787, 'Z': 3.0497741931867495e-07}, {'X': 0.667331874370575, 'Y': 0.7518435716629028, 'Z': -0.02412596344947815}, {'X': 0.626366376876831, 'Y': 0.6935057640075684, 'Z': -0.03294610604643822}, {'X': 0.6265512108802795, 'Y': 0.6255264282226562, 'Z': -0.04093556106090546}, {'X': 0.6411954760551453, 'Y': 0.5779274106025696, 'Z': -0.04686212167143822}, {'X': 0.635966956615448, 'Y': 0.5867016911506653, 'Z': -0.005233794450759888}, {'X': 0.6027218103408813, 'Y': 0.517612099647522, 'Z': -0.018472759053111076}, {'X': 0.5868320465087891, 'Y': 0.4706959128379822, 'Z': -0.03062836453318596}, {'X': 0.5773724317550659, 'Y': 0.4300680160522461, 'Z': -0.04052504897117615}, {'X': 0.6757668852806091, 'Y': 0.5641977787017822, 'Z': -0.006458379328250885}, {'X': 0.6747239232063293, 'Y': 0.4739372432231903, 'Z': -0.01713857427239418}, {'X': 0.680350124835968, 'Y': 0.41696131229400635, 'Z': -0.026828816160559654}, {'X': 0.685681164264679, 'Y': 0.3698309063911438, 'Z': -0.03346306458115578}, {'X': 0.7129772305488586, 'Y': 0.5667796730995178, 'Z': -0.012694546021521091}, {'X': 0.7129567265510559, 'Y': 0.48662304878234863, 'Z': -0.028504854068160057}, {'X': 0.7132235765457153, 'Y': 0.43046146631240845, 'Z': -0.03991134092211723}, {'X': 0.7122898101806641, 'Y': 0.38229185342788696, 'Z': -0.04683849215507507}, {'X': 0.7513011693954468, 'Y': 0.5867509841918945, 'Z': -0.021666664630174637}, {'X': 0.7664146423339844, 'Y': 0.5316888093948364, 'Z': -0.03631334379315376}, {'X': 0.7754404544830322, 'Y': 0.49088600277900696, 'Z': -0.04304882511496544}, {'X': 0.7813217639923096, 'Y': 0.4546801447868347, 'Z': -0.04673173278570175}]
[{'X': 0.724999189376831, 'Y': 0.7712917327880859, 'Z': 2.948006567748962e-07}, {'X': 0.6705171465873718, 'Y': 0.7451137900352478, 'Z': -0.022414330393075943}, {'X': 0.6333902478218079, 'Y': 0.6836357712745667, 'Z': -0.029990779235959053}, {'X': 0.6396874785423279, 'Y': 0.6188702583312988, 'Z': -0.03676460310816765}, {'X': 0.6524869799613953, 'Y': 0.5765222311019897, 'Z': -0.04171428456902504}, {'X': 0.6387880444526672, 'Y': 0.5855419635772705, 'Z': -0.00596807012334466}, {'X': 0.6093485355377197, 'Y': 0.5142006874084473, 'Z': -0.01833060197532177}, {'X': 0.5961380004882812, 'Y': 0.46728217601776123, 'Z': -0.029939396306872368}, {'X': 0.58811354637146, 'Y': 0.42522871494293213, 'Z': -0.03953670337796211}, {'X': 0.6791244149208069, 'Y': 0.5645787119865417, 'Z': -0.00713933352380991}, {'X': 0.6819579601287842, 'Y': 0.4750574231147766, 'Z': -0.016826922073960304}, {'X': 0.6898285746574402, 'Y': 0.4187638759613037, 'Z': -0.026181623339653015}, {'X': 0.6965523958206177, 'Y': 0.37132930755615234, 'Z': -0.0328776016831398}, {'X': 0.7161862850189209, 'Y': 0.5678274631500244, 'Z': -0.012860709801316261}, {'X': 0.7162305116653442, 'Y': 0.48764389753341675, 'Z': -0.027175422757864}, {'X': 0.7165704369544983, 'Y': 0.43156856298446655, 'Z': -0.03827674686908722}, {'X': 0.7157471179962158, 'Y': 0.38260549306869507, 'Z': -0.04534124210476875}, {'X': 0.7541589736938477, 'Y': 0.5872824192047119, 'Z': -0.021124282851815224}, {'X': 0.7684154510498047, 'Y': 0.5311180353164673, 'Z': -0.03407719358801842}, {'X': 0.7772834897041321, 'Y': 0.4899290204048157, 'Z': -0.04006214067339897}, {'X': 0.7833586931228638, 'Y': 0.4526446759700775, 'Z': -0.04363046959042549}]
[{'X': 0.7295355200767517, 'Y': 0.7700001001358032, 'Z': 2.9188421990511415e-07}, {'X': 0.6777997016906738, 'Y': 0.7389909029006958, 'Z': -0.021863341331481934}, {'X': 0.6436194777488708, 'Y': 0.669304370880127, 'Z': -0.027155045419931412}, {'X': 0.6560086607933044, 'Y': 0.5952500700950623, 'Z': -0.031323857605457306}, {'X': 0.6844907402992249, 'Y': 0.5539136528968811, 'Z': -0.03349287435412407}, {'X': 0.6413977146148682, 'Y': 0.5837196111679077, 'Z': 0.0006161608034744859}, {'X': 0.6206647753715515, 'Y': 0.5105831027030945, 'Z': -0.007490634918212891}, {'X': 0.6135323643684387, 'Y': 0.4624535143375397, 'Z': -0.01617453806102276}, {'X': 0.6104063391685486, 'Y': 0.42088544368743896, 'Z': -0.024417446926236153}, {'X': 0.68059903383255, 'Y': 0.5654142498970032, 'Z': 0.00041576699004508555}, {'X': 0.6850556135177612, 'Y': 0.4760820269584656, 'Z': -0.006633325945585966}, {'X': 0.6947799324989319, 'Y': 0.42203789949417114, 'Z': -0.015698794275522232}, {'X': 0.7035066485404968, 'Y': 0.3783949017524719, 'Z': -0.02274266444146633}, {'X': 0.7173439860343933, 'Y': 0.5695235133171082, 'Z': -0.004371830727905035}, {'X': 0.7199442386627197, 'Y': 0.4881437122821808, 'Z': -0.017731407657265663}, {'X': 0.7232770919799805, 'Y': 0.4322206676006317, 'Z': -0.03048061951994896}, {'X': 0.7260298728942871, 'Y': 0.3837236166000366, 'Z': -0.03919070586562157}, {'X': 0.7554651498794556, 'Y': 0.5877184271812439, 'Z': -0.011389123275876045}, {'X': 0.7707550525665283, 'Y': 0.5297491550445557, 'Z': -0.024025293067097664}, {'X': 0.7809232473373413, 'Y': 0.4889693558216095, 'Z': -0.031105590984225273}, {'X': 0.789060115814209, 'Y': 0.45245084166526794, 'Z': -0.03613825514912605}]
[{'X': 0.7352635264396667, 'Y': 0.7685688734054565, 'Z': 3.0507044357364066e-07}, {'X': 0.6835816502571106, 'Y': 0.735122561454773, 'Z': -0.023886721581220627}, {'X': 0.6513475775718689, 'Y': 0.6675266623497009, 'Z': -0.029490545392036438}, {'X': 0.6647281050682068, 'Y': 0.5944311618804932, 'Z': -0.03343646973371506}, {'X': 0.6898385286331177, 'Y': 0.5499510169029236, 'Z': -0.03548821434378624}, {'X': 0.6476028561592102, 'Y': 0.5826235413551331, 'Z': 0.001527335960417986}, {'X': 0.631862998008728, 'Y': 0.5087599754333496, 'Z': -0.006559085100889206}, {'X': 0.6280704140663147, 'Y': 0.46125903725624084, 'Z': -0.01608128659427166}, {'X': 0.6273701190948486, 'Y': 0.4198105037212372, 'Z': -0.025135807693004608}, {'X': 0.6861568093299866, 'Y': 0.5664494633674622, 'Z': 0.0024294727481901646}, {'X': 0.6897749304771423, 'Y': 0.4788244664669037, 'Z': -0.004508972633630037}, {'X': 0.6987777352333069, 'Y': 0.42664194107055664, 'Z': -0.014635802246630192}, {'X': 0.7066745162010193, 'Y': 0.38311731815338135, 'Z': -0.02289731800556183}, {'X': 0.7212689518928528, 'Y': 0.5717166662216187, 'Z': -0.0016378380823880434}, {'X': 0.7244558334350586, 'Y': 0.4911257326602936, 'Z': -0.01578965224325657}, {'X': 0.7276734113693237, 'Y': 0.4375113844871521, 'Z': -0.02918660081923008}, {'X': 0.7308712005615234, 'Y': 0.3904363811016083, 'Z': -0.03856268525123596}, {'X': 0.7583447098731995, 'Y': 0.5898248553276062, 'Z': -0.008094637654721737}, {'X': 0.7722909450531006, 'Y': 0.5301277041435242, 'Z': -0.022592470049858093}, {'X': 0.7827063798904419, 'Y': 0.489441454410553, 'Z': -0.030850714072585106}, {'X': 0.7918442487716675, 'Y': 0.45091623067855835, 'Z': -0.03680556267499924}]
