[{'X': 0.7310270667076111, 'Y': 0.8744217753410339, 'Z': -1.4218448995961808e-06}, {'X': 0.6228616237640381, 'Y': 0.780721127986908, 'Z': -0.02986016869544983}, {'X': 0.5443815588951111, 'Y': 0.6454302668571472, 'Z': -0.046743012964725494}, {'X': 0.52159583568573, 'Y': 0.5016680955886841, 'Z': -0.06990354508161545}, {'X': 0.5691863894462585, 'Y': 0.4043554365634918, 'Z': -0.08266307413578033}, {'X': 0.6353051066398621, 'Y': 0.5146027207374573, 'Z': 0.019753433763980865}, {'X': 0.6027562618255615, 'Y': 0.4174501895904541, 'Z': -0.04465306177735329}, {'X': 0.611199676990509, 'Y': 0.5454118847846985, 'Z': -0.07736603170633316}, {'X': 0.6317287683486938, 'Y': 0.5933724641799927, 'Z': -0.0901014506816864}, {'X': 0.7047702074050903, 'Y': 0.5199933648109436, 'Z': 0.009879779070615768}, {'X': 0.6679778099060059, 'Y': 0.4374997019767761, 'Z': -0.05832342430949211}, {'X': 0.6737820506095886, 'Y': 0.5921235680580139, 'Z': -0.06717190146446228}, {'X': 0.697630763053894, 'Y': 0.6231192946434021, 'Z': -0.05545384809374809}, {'X': 0.7747417688369751, 'Y': 0.5344629287719727, 'Z': -0.013099602423608303}, {'X': 0.7422876358032227, 'Y': 0.447038471698761, 'Z': -0.0832647830247879}, {'X': 0.7329329252243042, 'Y': 0.6006598472595215, 'Z': -0.05520281940698624}, {'X': 0.7517685890197754, 'Y': 0.6430569291114807, 'Z': -0.0154108926653862}, {'X': 0.8493819236755371, 'Y': 0.5653430223464966, 'Z': -0.03992834314703941}, {'X': 0.8205248713493347, 'Y': 0.47883468866348267, 'Z': -0.07498922944068909}, {'X': 0.793874979019165, 'Y': 0.5880693793296814, 'Z': -0.04823506250977516}, {'X': 0.799283504486084, 'Y': 0.6383106708526611, 'Z': -0.01662030629813671}]
[{'X': 0.7301694750785828, 'Y': 0.8763563632965088, 'Z': -1.419569684912858e-06}, {'X': 0.6226498484611511, 'Y': 0.7799203991889954, 'Z': -0.03098236955702305}, {'X': 0.5455338954925537, 'Y': 0.6449519395828247, 'Z': -0.04767603799700737}, {'X': 0.5243600606918335, 'Y': 0.5022063255310059, 'Z': -0.07026901096105576}, {'X': 0.5666723251342773, 'Y': 0.4030362069606781, 'Z': -0.08155851066112518}, {'X': 0.6326619982719421, 'Y': 0.5107802748680115, 'Z': 0.021698370575904846}, {'X': 0.6008500456809998, 'Y': 0.4140165448188782, 'Z': -0.043181125074625015}, {'X': 0.6093752980232239, 'Y': 0.5426604151725769, 'Z': -0.07577656209468842}, {'X': 0.6298985481262207, 'Y': 0.588939905166626, 'Z': -0.08816293627023697}, {'X': 0.7031073570251465, 'Y': 0.517111599445343, 'Z': 0.012562454678118229}, {'X': 0.667952835559845, 'Y': 0.4373599886894226, 'Z': -0.05656871199607849}, {'X': 0.6721836924552917, 'Y': 0.5935268998146057, 'Z': -0.06581613421440125}, {'X': 0.6957497000694275, 'Y': 0.6175269484519958, 'Z': -0.0541159063577652}, {'X': 0.7733203172683716, 'Y': 0.5327595472335815, 'Z': -0.010126280598342419}, {'X': 0.7427249550819397, 'Y': 0.44735991954803467, 'Z': -0.08111049979925156}, {'X': 0.7318216562271118, 'Y': 0.6000165343284607, 'Z': -0.05390887334942818}, {'X': 0.7509235739707947, 'Y': 0.6334744095802307, 'Z': -0.014605610631406307}, {'X': 0.8474435806274414, 'Y': 0.5639007091522217, 'Z': -0.03675641492009163}, {'X': 0.8217217326164246, 'Y': 0.48129019141197205, 'Z': -0.07164644449949265}, {'X': 0.7931684255599976, 'Y': 0.5902470946311951, 'Z': -0.04530462250113487}, {'X': 0.7981152534484863, 'Y': 0.6357672214508057, 'Z': -0.013952690176665783}]
[{'X': 0.7316041588783264, 'Y': 0.8761813640594482, 'Z': -1.4372059240486124e-06}, {'X': 0.6240800023078918, 'Y': 0.782239556312561, 'Z': -0.02798720821738243}, {'X': 0.544411301612854, 'Y': 0.647800624370575, 'Z': -0.04437265917658806}, {'X': 0.5218226909637451, 'Y': 0.5037784576416016, 'Z': -0.06716281920671463}, {'X': 0.5660260319709778, 'Y': 0.4026530385017395, 'Z': -0.07904750853776932}, {'X': 0.6348506212234497, 'Y': 0.5147036910057068, 'Z': 0.02048661932349205}, {'X': 0.5993630886077881, 'Y': 0.4149899184703827, 'Z': -0.0444793663918972}, {'X': 0.6101366281509399, 'Y': 0.5430446863174438, 'Z': -0.07725164294242859}, {'X': 0.6320716738700867, 'Y': 0.5905359387397766, 'Z': -0.08972795307636261}, {'X': 0.7044363617897034, 'Y': 0.5207609534263611, 'Z': 0.009678425267338753}, {'X': 0.6657814979553223, 'Y': 0.4360946714878082, 'Z': -0.05878032371401787}, {'X': 0.6735680103302002, 'Y': 0.5923199653625488, 'Z': -0.06745683401823044}, {'X': 0.6979576945304871, 'Y': 0.619905412197113, 'Z': -0.05544058233499527}, {'X': 0.7742785811424255, 'Y': 0.5351073145866394, 'Z': -0.01413991954177618}, {'X': 0.7400084137916565, 'Y': 0.44573038816452026, 'Z': -0.08507286757230759}, {'X': 0.7322266697883606, 'Y': 0.6016404032707214, 'Z': -0.05678756907582283}, {'X': 0.7522913217544556, 'Y': 0.6403548717498779, 'Z': -0.01652190275490284}, {'X': 0.849032998085022, 'Y': 0.5654042959213257, 'Z': -0.041521377861499786}, {'X': 0.8193797469139099, 'Y': 0.47865915298461914, 'Z': -0.07690949738025665}, {'X': 0.7934215068817139, 'Y': 0.5891649127006531, 'Z': -0.04969503730535507}, {'X': 0.7997139096260071, 'Y': 0.6381829977035522, 'Z': -0.017462322488427162}]
[{'X': 0.7328001260757446, 'Y': 0.8721427917480469, 'Z': -1.4488321085082134e-06}, {'X': 0.6222413778305054, 'Y': 0.7771683931350708, 'Z': -0.030372073873877525}, {'X': 0.5418161153793335, 'Y': 0.6438579559326172, 'Z': -0.04738616570830345}, {'X': 0.5179702043533325, 'Y': 0.502551257610321, 'Z': -0.07008117437362671}, {'X': 0.5613860487937927, 'Y': 0.40274542570114136, 'Z': -0.08161937445402145}, {'X': 0.6342383623123169, 'Y': 0.50812166929245, 'Z': 0.018002400174736977}, {'X': 0.5967090725898743, 'Y': 0.4142768681049347, 'Z': -0.046332478523254395}, {'X': 0.6083253622055054, 'Y': 0.5452219247817993, 'Z': -0.07811792939901352}, {'X': 0.6313894391059875, 'Y': 0.5888333916664124, 'Z': -0.0904303789138794}, {'X': 0.7051715850830078, 'Y': 0.5146392583847046, 'Z': 0.008345979265868664}, {'X': 0.6645859479904175, 'Y': 0.4357718229293823, 'Z': -0.06043639034032822}, {'X': 0.6714233756065369, 'Y': 0.5944145917892456, 'Z': -0.06829363852739334}, {'X': 0.6967226266860962, 'Y': 0.6179811358451843, 'Z': -0.05611878260970116}, {'X': 0.7756841778755188, 'Y': 0.5297476053237915, 'Z': -0.014404257759451866}, {'X': 0.7395254373550415, 'Y': 0.4462566077709198, 'Z': -0.08584156632423401}, {'X': 0.7311647534370422, 'Y': 0.6036460995674133, 'Z': -0.056570518761873245}, {'X': 0.7526482343673706, 'Y': 0.6384457349777222, 'Z': -0.015974730253219604}, {'X': 0.8494318127632141, 'Y': 0.5607622265815735, 'Z': -0.040922682732343674}, {'X': 0.817825198173523, 'Y': 0.4784189462661743, 'Z': -0.07655669003725052}, {'X': 0.7916058301925659, 'Y': 0.5915396809577942, 'Z': -0.048736486583948135}, {'X': 0.7995572090148926, 'Y': 0.6388781070709229, 'Z': -0.016275517642498016}]
[{'X': 0.7346686124801636, 'Y': 0.8790046572685242, 'Z': -1.4374410284290207e-06}, {'X': 0.6211382150650024, 'Y': 0.7816562652587891, 'Z': -0.02632881887257099}, {'X': 0.5380207896232605, 'Y': 0.6478198766708374, 'Z': -0.04093439131975174}, {'X': 0.5143043994903564, 'Y': 0.5084367394447327, 'Z': -0.06204325705766678}, {'X': 0.538286566734314, 'Y': 0.4017382264137268, 'Z': -0.07274027168750763}, {'X': 0.6361211538314819, 'Y': 0.510175883769989, 'Z': 0.020283447578549385}, {'X': 0.5936407446861267, 'Y': 0.41530323028564453, 'Z': -0.041658222675323486}, {'X': 0.6032839417457581, 'Y': 0.5408633351325989, 'Z': -0.07300407439470291}, {'X': 0.6273577213287354, 'Y': 0.5859971046447754, 'Z': -0.08517537266016006}, {'X': 0.7048165798187256, 'Y': 0.5140344500541687, 'Z': 0.008224242366850376}, {'X': 0.6639348268508911, 'Y': 0.4358277916908264, 'Z': -0.05818875506520271}, {'X': 0.6687791347503662, 'Y': 0.5877558588981628, 'Z': -0.06716018170118332}, {'X': 0.6937404274940491, 'Y': 0.6137217283248901, 'Z': -0.056469742208719254}, {'X': 0.7733581066131592, 'Y': 0.5276831388473511, 'Z': -0.01633645035326481}, {'X': 0.7383370995521545, 'Y': 0.44644927978515625, 'Z': -0.08502184599637985}, {'X': 0.7289463877677917, 'Y': 0.597277820110321, 'Z': -0.0572705902159214}, {'X': 0.7490547895431519, 'Y': 0.6308742761611938, 'Z': -0.018926028162240982}, {'X': 0.8464722633361816, 'Y': 0.5578030347824097, 'Z': -0.04442673549056053}, {'X': 0.8174927234649658, 'Y': 0.475495308637619, 'Z': -0.0783371776342392}, {'X': 0.7902867794036865, 'Y': 0.5858739018440247, 'Z': -0.050498563796281815}, {'X': 0.7961122989654541, 'Y': 0.6321643590927124, 'Z': -0.018660301342606544}]
[{'X': 0.7335724830627441, 'Y': 0.8845551013946533, 'Z': -1.2700687648248277e-06}, {'X': 0.6248564124107361, 'Y': 0.7854769229888916, 'Z': -0.03811710327863693}, {'X': 0.5292670726776123, 'Y': 0.660807192325592, 'Z': -0.058895934373140335}, {'X': 0.4647829830646515, 'Y': 0.5410035848617554, 'Z': -0.0830201730132103}, {'X': 0.4166259169578552, 'Y': 0.4500979781150818, 'Z': -0.09604089707136154}, {'X': 0.6284312605857849, 'Y': 0.5057017803192139, 'Z': 0.005744061898440123}, {'X': 0.5887327790260315, 'Y': 0.4212915301322937, 'Z': -0.05403177812695503}, {'X': 0.6037682294845581, 'Y': 0.5437177419662476, 'Z': -0.08401571959257126}, {'X': 0.62541264295578, 'Y': 0.5829659700393677, 'Z': -0.09723394364118576}, {'X': 0.7001470923423767, 'Y': 0.5096966028213501, 'Z': -0.0005305454251356423}, {'X': 0.6588441133499146, 'Y': 0.4421204626560211, 'Z': -0.06649866700172424}, {'X': 0.663857638835907, 'Y': 0.5946043133735657, 'Z': -0.07836012542247772}, {'X': 0.6850038170814514, 'Y': 0.6158710718154907, 'Z': -0.07279674708843231}, {'X': 0.7692436575889587, 'Y': 0.5260316133499146, 'Z': -0.019150080159306526}, {'X': 0.7331937551498413, 'Y': 0.45187830924987793, 'Z': -0.08687399327754974}, {'X': 0.7238706350326538, 'Y': 0.6005700826644897, 'Z': -0.06180877983570099}, {'X': 0.742484450340271, 'Y': 0.6326369643211365, 'Z': -0.027924299240112305}, {'X': 0.8400342464447021, 'Y': 0.555154025554657, 'Z': -0.041910793632268906}, {'X': 0.8158978223800659, 'Y': 0.4793136715888977, 'Z': -0.07647247612476349}, {'X': 0.7878401279449463, 'Y': 0.5858396887779236, 'Z': -0.05156354978680611}, {'X': 0.791774570941925, 'Y': 0.6278499364852905, 'Z': -0.023485472425818443}]
[{'X': 0.734532356262207, 'Y': 0.8799164295196533, 'Z': -1.2251298358023632e-06}, {'X': 0.6244815587997437, 'Y': 0.7944220304489136, 'Z': -0.04422019049525261}, {'X': 0.5221947431564331, 'Y': 0.6837857961654663, 'Z': -0.07324212789535522}, {'X': 0.4400025010108948, 'Y': 0.583641529083252, 'Z': -0.10352522134780884}, {'X': 0.3764283359050751, 'Y': 0.5149468183517456, 'Z': -0.12151634693145752}, {'X': 0.626290500164032, 'Y': 0.5110474824905396, 'Z': -0.015916727483272552}, {'X': 0.5844560861587524, 'Y': 0.4281778037548065, 'Z': -0.0764598697423935}, {'X': 0.6008623838424683, 'Y': 0.5520673394203186, 'Z': -0.10304224491119385}, {'X': 0.6227391362190247, 'Y': 0.5792405605316162, 'Z': -0.11456742882728577}, {'X': 0.6987332105636597, 'Y': 0.5180923938751221, 'Z': -0.018698450177907944}, {'X': 0.6555988192558289, 'Y': 0.44827014207839966, 'Z': -0.08619237691164017}, {'X': 0.6580448746681213, 'Y': 0.6008681058883667, 'Z': -0.09376455098390579}, {'X': 0.6775928139686584, 'Y': 0.6100446581840515, 'Z': -0.08637523651123047}, {'X': 0.7677690982818604, 'Y': 0.5336108803749084, 'Z': -0.03286755830049515}, {'X': 0.7322340607643127, 'Y': 0.4582538604736328, 'Z': -0.09858748316764832}, {'X': 0.7199211716651917, 'Y': 0.6037889719009399, 'Z': -0.06936738640069962}, {'X': 0.7382658123970032, 'Y': 0.6259545087814331, 'Z': -0.03484148159623146}, {'X': 0.8366726636886597, 'Y': 0.5591048002243042, 'Z': -0.05184377729892731}, {'X': 0.8164616823196411, 'Y': 0.48073408007621765, 'Z': -0.08303967863321304}, {'X': 0.7866268157958984, 'Y': 0.5849927067756653, 'Z': -0.05600818246603012}, {'X': 0.7913117408752441, 'Y': 0.6242220401763916, 'Z': -0.027985844761133194}]
[{'X': 0.7300043702125549, 'Y': 0.8762146234512329, 'Z': -1.2299855143282912e-06}, {'X': 0.618393063545227, 'Y': 0.7896522283554077, 'Z': -0.03712373599410057}, {'X': 0.518144965171814, 'Y': 0.6839594841003418, 'Z': -0.06288129091262817}, {'X': 0.43612462282180786, 'Y': 0.5994411110877991, 'Z': -0.09220042079687119}, {'X': 0.36590635776519775, 'Y': 0.5588265657424927, 'Z': -0.11215053498744965}, {'X': 0.6222946643829346, 'Y': 0.5200136303901672, 'Z': -0.007990600541234016}, {'X': 0.5870498418807983, 'Y': 0.43200042843818665, 'Z': -0.06787528842687607}, {'X': 0.5985962748527527, 'Y': 0.5517688989639282, 'Z': -0.09814748167991638}, {'X': 0.6178809404373169, 'Y': 0.5822902917861938, 'Z': -0.11274060606956482}, {'X': 0.6942057013511658, 'Y': 0.5238583087921143, 'Z': -0.015152706764638424}, {'X': 0.6545222997665405, 'Y': 0.44920381903648376, 'Z': -0.08005117624998093}, {'X': 0.6544744372367859, 'Y': 0.5980523824691772, 'Z': -0.0885796993970871}, {'X': 0.6747865080833435, 'Y': 0.6140046119689941, 'Z': -0.08242015540599823}, {'X': 0.763394832611084, 'Y': 0.5381274223327637, 'Z': -0.033488236367702484}, {'X': 0.7285138368606567, 'Y': 0.45675063133239746, 'Z': -0.09647920727729797}, {'X': 0.7154415845870972, 'Y': 0.6008135080337524, 'Z': -0.06829263269901276}, {'X': 0.7336366176605225, 'Y': 0.6315538883209229, 'Z': -0.03491395339369774}, {'X': 0.8339351415634155, 'Y': 0.5632286071777344, 'Z': -0.056271664798259735}, {'X': 0.8118520379066467, 'Y': 0.47837021946907043, 'Z': -0.08459486067295074}, {'X': 0.7813616394996643, 'Y': 0.5814580321311951, 'Z': -0.056422311812639236}, {'X': 0.785017728805542, 'Y': 0.6265564560890198, 'Z': -0.028471941128373146}]
[{'X': 0.7348674535751343, 'Y': 0.8828098177909851, 'Z': -1.1745117944883532e-06}, {'X': 0.6211062073707581, 'Y': 0.797742486000061, 'Z': -0.03887253254652023}, {'X': 0.5189885497093201, 'Y': 0.6864071488380432, 'Z': -0.06562480330467224}, {'X': 0.4339039623737335, 'Y': 0.5976508259773254, 'Z': -0.09550756216049194}, {'X': 0.362292617559433, 'Y': 0.5689535140991211, 'Z': -0.11591316014528275}, {'X': 0.6189407706260681, 'Y': 0.5191054940223694, 'Z': -0.006138933822512627}, {'X': 0.5810016393661499, 'Y': 0.4357112646102905, 'Z': -0.06376097351312637}, {'X': 0.5977392196655273, 'Y': 0.5551795959472656, 'Z': -0.09246568381786346}, {'X': 0.619164228439331, 'Y': 0.5782554745674133, 'Z': -0.106840580701828}, {'X': 0.6926877498626709, 'Y': 0.5190865397453308, 'Z': -0.013333362527191639}, {'X': 0.6504581570625305, 'Y': 0.4508933126926422, 'Z': -0.07603373378515244}, {'X': 0.6544879674911499, 'Y': 0.5989212989807129, 'Z': -0.08370160311460495}, {'X': 0.6726362109184265, 'Y': 0.6068869829177856, 'Z': -0.07716380804777145}, {'X': 0.7644726037979126, 'Y': 0.5312325358390808, 'Z': -0.03197098523378372}, {'X': 0.7262237071990967, 'Y': 0.4595932364463806, 'Z': -0.09362483024597168}, {'X': 0.7175604104995728, 'Y': 0.6020880341529846, 'Z': -0.06651771068572998}, {'X': 0.7351009845733643, 'Y': 0.6223157644271851, 'Z': -0.03441620245575905}, {'X': 0.8367144465446472, 'Y': 0.554731011390686, 'Z': -0.05522976815700531}, {'X': 0.8083939552307129, 'Y': 0.4848734140396118, 'Z': -0.08142657577991486}, {'X': 0.7840230464935303, 'Y': 0.58735591173172, 'Z': -0.05319320410490036}, {'X': 0.7916123867034912, 'Y': 0.6220352053642273, 'Z': -0.025763383135199547}]
[{'X': 0.7386108040809631, 'Y': 0.8827946782112122, 'Z': -1.1512815945025068e-06}, {'X': 0.6256873607635498, 'Y': 0.7993674874305725, 'Z': -0.04399659112095833}, {'X': 0.5233949422836304, 'Y': 0.6878856420516968, 'Z': -0.07214999943971634}, {'X': 0.434609591960907, 'Y': 0.6006091237068176, 'Z': -0.10187927633523941}, {'X': 0.36291080713272095, 'Y': 0.5674900412559509, 'Z': -0.1201375350356102}, {'X': 0.6212242245674133, 'Y': 0.5147477388381958, 'Z': -0.011138887144625187}, {'X': 0.5810890197753906, 'Y': 0.4298518896102905, 'Z': -0.07123315334320068}, {'X': 0.5994675159454346, 'Y': 0.5550825595855713, 'Z': -0.10041381418704987}, {'X': 0.6195774674415588, 'Y': 0.5855821371078491, 'Z': -0.11373575031757355}, {'X': 0.6944432258605957, 'Y': 0.5167844891548157, 'Z': -0.013169130310416222}, {'X': 0.6510776281356812, 'Y': 0.4493172764778137, 'Z': -0.07824380695819855}, {'X': 0.6574724316596985, 'Y': 0.5991753339767456, 'Z': -0.08675311505794525}, {'X': 0.6761202812194824, 'Y': 0.6069474220275879, 'Z': -0.08034349977970123}, {'X': 0.7649447917938232, 'Y': 0.5302497744560242, 'Z': -0.026853177696466446}, {'X': 0.7277491688728333, 'Y': 0.45837774872779846, 'Z': -0.08759817481040955}, {'X': 0.7189149260520935, 'Y': 0.599295973777771, 'Z': -0.05999752879142761}, {'X': 0.7369687557220459, 'Y': 0.6201720237731934, 'Z': -0.02773887664079666}, {'X': 0.8337923288345337, 'Y': 0.5541005730628967, 'Z': -0.045757412910461426}, {'X': 0.8111652731895447, 'Y': 0.48495540022850037, 'Z': -0.07132367044687271}, {'X': 0.7839868664741516, 'Y': 0.5856683254241943, 'Z': -0.04437908157706261}, {'X': 0.7894635796546936, 'Y': 0.6215508580207825, 'Z': -0.017728012055158615}]
[{'X': 0.7380324006080627, 'Y': 0.875250518321991, 'Z': -1.2230568700033473e-06}, {'X': 0.623446524143219, 'Y': 0.7919449806213379, 'Z': -0.03869297355413437}, {'X': 0.5222533941268921, 'Y': 0.687846302986145, 'Z': -0.06494664400815964}, {'X': 0.43952101469039917, 'Y': 0.6012426018714905, 'Z': -0.09351342916488647}, {'X': 0.37232595682144165, 'Y': 0.5604060292243958, 'Z': -0.11126057803630829}, {'X': 0.6205804944038391, 'Y': 0.5165339708328247, 'Z': -0.010588182136416435}, {'X': 0.5858809351921082, 'Y': 0.43184104561805725, 'Z': -0.06869932264089584}, {'X': 0.5996255278587341, 'Y': 0.5509786605834961, 'Z': -0.09651461243629456}, {'X': 0.6189035773277283, 'Y': 0.5739501714706421, 'Z': -0.10981839895248413}, {'X': 0.6941064596176147, 'Y': 0.5196400880813599, 'Z': -0.016054963693022728}, {'X': 0.6561641097068787, 'Y': 0.44984742999076843, 'Z': -0.07893834263086319}, {'X': 0.657437801361084, 'Y': 0.5982522368431091, 'Z': -0.08585549145936966}, {'X': 0.6748432517051697, 'Y': 0.6034969687461853, 'Z': -0.07952253520488739}, {'X': 0.7640332579612732, 'Y': 0.5334669351577759, 'Z': -0.03242115303874016}, {'X': 0.7306175827980042, 'Y': 0.46145814657211304, 'Z': -0.09272647649049759}, {'X': 0.7184024453163147, 'Y': 0.602758526802063, 'Z': -0.06376862525939941}, {'X': 0.7355985641479492, 'Y': 0.6204056739807129, 'Z': -0.031577520072460175}, {'X': 0.8333204984664917, 'Y': 0.5578680038452148, 'Z': -0.053314968943595886}, {'X': 0.8126116991043091, 'Y': 0.48317787051200867, 'Z': -0.07828458398580551}, {'X': 0.7834943532943726, 'Y': 0.5865808129310608, 'Z': -0.048866529017686844}, {'X': 0.7889878749847412, 'Y': 0.6229956746101379, 'Z': -0.021156033501029015}]
