[{'X': 0.7612020969390869, 'Y': 0.8602368235588074, 'Z': -1.3594452639154042e-06}, {'X': 0.6503037810325623, 'Y': 0.7756820917129517, 'Z': -0.03582067787647247}, {'X': 0.557174026966095, 'Y': 0.6508916616439819, 'Z': -0.05067792907357216}, {'X': 0.5177990198135376, 'Y': 0.50992351770401, 'Z': -0.06881801038980484}, {'X': 0.5592448711395264, 'Y': 0.41098323464393616, 'Z': -0.07402024418115616}, {'X': 0.645649790763855, 'Y': 0.49949902296066284, 'Z': 0.022178346291184425}, {'X': 0.6070564389228821, 'Y': 0.4215714931488037, 'Z': -0.03724243864417076}, {'X': 0.6225143671035767, 'Y': 0.551360547542572, 'Z': -0.06719057261943817}, {'X': 0.643726110458374, 'Y': 0.5662010908126831, 'Z': -0.08092567324638367}, {'X': 0.7160332202911377, 'Y': 0.5020514726638794, 'Z': 0.017248205840587616}, {'X': 0.6767946481704712, 'Y': 0.4308690130710602, 'Z': -0.04757209122180939}, {'X': 0.686539351940155, 'Y': 0.5863199234008789, 'Z': -0.05417657271027565}, {'X': 0.7082201242446899, 'Y': 0.5877336263656616, 'Z': -0.0422128401696682}, {'X': 0.7841480374336243, 'Y': 0.5132740139961243, 'Z': -0.001483796862885356}, {'X': 0.7516645789146423, 'Y': 0.43187689781188965, 'Z': -0.06795420497655869}, {'X': 0.7457500100135803, 'Y': 0.5822012424468994, 'Z': -0.03978792950510979}, {'X': 0.7655898332595825, 'Y': 0.5974547863006592, 'Z': -0.0015784462448209524}, {'X': 0.8556938171386719, 'Y': 0.5343425869941711, 'Z': -0.024611447006464005}, {'X': 0.8291157484054565, 'Y': 0.45961251854896545, 'Z': -0.0541316494345665}, {'X': 0.8038918375968933, 'Y': 0.5699172019958496, 'Z': -0.027315229177474976}, {'X': 0.8097000122070312, 'Y': 0.6037629842758179, 'Z': 0.0028588944114744663}]
[{'X': 0.7600164413452148, 'Y': 0.860306978225708, 'Z': -1.357468363494263e-06}, {'X': 0.650282084941864, 'Y': 0.7761739492416382, 'Z': -0.03714766725897789}, {'X': 0.5595284104347229, 'Y': 0.6516673564910889, 'Z': -0.0511888712644577}, {'X': 0.5226274728775024, 'Y': 0.5118727087974548, 'Z': -0.06852459162473679}, {'X': 0.5615756511688232, 'Y': 0.4112381637096405, 'Z': -0.07292253524065018}, {'X': 0.6399179697036743, 'Y': 0.5006014704704285, 'Z': 0.02258763648569584}, {'X': 0.6023299098014832, 'Y': 0.4227138161659241, 'Z': -0.037917010486125946}, {'X': 0.616679310798645, 'Y': 0.5507113933563232, 'Z': -0.06640490889549255}, {'X': 0.6383813619613647, 'Y': 0.5635648965835571, 'Z': -0.07827874273061752}, {'X': 0.7120162844657898, 'Y': 0.5019446015357971, 'Z': 0.018607890233397484}, {'X': 0.6719965934753418, 'Y': 0.43119388818740845, 'Z': -0.048810869455337524}, {'X': 0.6811927556991577, 'Y': 0.5886051654815674, 'Z': -0.05458863824605942}, {'X': 0.7030519247055054, 'Y': 0.5860087275505066, 'Z': -0.040659330785274506}, {'X': 0.7815431952476501, 'Y': 0.5113842487335205, 'Z': 0.0003717308572959155}, {'X': 0.7489714622497559, 'Y': 0.434518426656723, 'Z': -0.06850604712963104}, {'X': 0.7424129247665405, 'Y': 0.5855558514595032, 'Z': -0.03973587229847908}, {'X': 0.7620824575424194, 'Y': 0.5949705839157104, 'Z': -4.7839548642514274e-05}, {'X': 0.8539808988571167, 'Y': 0.5298569798469543, 'Z': -0.02233795076608658}, {'X': 0.8271887302398682, 'Y': 0.45800337195396423, 'Z': -0.051145732402801514}, {'X': 0.8023450970649719, 'Y': 0.5690840482711792, 'Z': -0.023320097476243973}, {'X': 0.8102408647537231, 'Y': 0.5986494421958923, 'Z': 0.007695507258176804}]
[{'X': 0.7600534558296204, 'Y': 0.8542103171348572, 'Z': -1.299953169109358e-06}, {'X': 0.6479575634002686, 'Y': 0.768297016620636, 'Z': -0.03306089714169502}, {'X': 0.5548603534698486, 'Y': 0.6462855339050293, 'Z': -0.04565949738025665}, {'X': 0.5173770189285278, 'Y': 0.5069769620895386, 'Z': -0.0621689110994339}, {'X': 0.5514684915542603, 'Y': 0.4045235514640808, 'Z': -0.06571986526250839}, {'X': 0.6406578421592712, 'Y': 0.5015063285827637, 'Z': 0.026635244488716125}, {'X': 0.6048818826675415, 'Y': 0.4231026768684387, 'Z': -0.03452811390161514}, {'X': 0.6198983192443848, 'Y': 0.5503513813018799, 'Z': -0.06395221501588821}, {'X': 0.6421273350715637, 'Y': 0.5742096304893494, 'Z': -0.07572423666715622}, {'X': 0.7097026109695435, 'Y': 0.5028613805770874, 'Z': 0.02082926221191883}, {'X': 0.6764630079269409, 'Y': 0.42835327982902527, 'Z': -0.044983718544244766}, {'X': 0.6835298538208008, 'Y': 0.5837174654006958, 'Z': -0.05241032689809799}, {'X': 0.7028219103813171, 'Y': 0.590258002281189, 'Z': -0.04018944874405861}, {'X': 0.7782962918281555, 'Y': 0.5118138194084167, 'Z': 0.0010809488594532013}, {'X': 0.7516537308692932, 'Y': 0.4293091893196106, 'Z': -0.06739126145839691}, {'X': 0.7432360649108887, 'Y': 0.5826295018196106, 'Z': -0.0389196015894413}, {'X': 0.7591098546981812, 'Y': 0.6035282611846924, 'Z': 0.000783318595495075}, {'X': 0.8497417569160461, 'Y': 0.5332579016685486, 'Z': -0.022896675392985344}, {'X': 0.8305317163467407, 'Y': 0.4583187401294708, 'Z': -0.055021338164806366}, {'X': 0.8051198720932007, 'Y': 0.567274808883667, 'Z': -0.02883184887468815}, {'X': 0.8075600862503052, 'Y': 0.6044614315032959, 'Z': 0.002077909419313073}]
[{'X': 0.7602952718734741, 'Y': 0.8589680194854736, 'Z': -1.3796291113976622e-06}, {'X': 0.6487583518028259, 'Y': 0.7726298570632935, 'Z': -0.03836634010076523}, {'X': 0.5536019206047058, 'Y': 0.6395403742790222, 'Z': -0.049288149923086166}, {'X': 0.5043247938156128, 'Y': 0.5065587759017944, 'Z': -0.06349574774503708}, {'X': 0.5068589448928833, 'Y': 0.3956772983074188, 'Z': -0.06458614021539688}, {'X': 0.6408833265304565, 'Y': 0.4998302161693573, 'Z': 0.02609160542488098}, {'X': 0.6003337502479553, 'Y': 0.4220445156097412, 'Z': -0.03611665219068527}, {'X': 0.6203059554100037, 'Y': 0.5498633980751038, 'Z': -0.06424936652183533}, {'X': 0.6437653303146362, 'Y': 0.5798246264457703, 'Z': -0.0737597644329071}, {'X': 0.7115655541419983, 'Y': 0.4982629418373108, 'Z': 0.02239694632589817}, {'X': 0.6716153621673584, 'Y': 0.4318424463272095, 'Z': -0.04670379310846329}, {'X': 0.6832485198974609, 'Y': 0.587346076965332, 'Z': -0.0552382655441761}, {'X': 0.7040249705314636, 'Y': 0.5949577689170837, 'Z': -0.0429476723074913}, {'X': 0.7808422446250916, 'Y': 0.5068467259407043, 'Z': 0.003629873041063547}, {'X': 0.7476162910461426, 'Y': 0.43489086627960205, 'Z': -0.06886255741119385}, {'X': 0.7438291311264038, 'Y': 0.5865090489387512, 'Z': -0.04233178123831749}, {'X': 0.7612937688827515, 'Y': 0.6030033230781555, 'Z': -0.003123541595414281}, {'X': 0.8529151678085327, 'Y': 0.5255210995674133, 'Z': -0.019535724073648453}, {'X': 0.8277589678764343, 'Y': 0.45604848861694336, 'Z': -0.05372413992881775}, {'X': 0.8057267665863037, 'Y': 0.5664342045783997, 'Z': -0.02853913977742195}, {'X': 0.8119953274726868, 'Y': 0.6004074215888977, 'Z': 0.0017252854304388165}]
[{'X': 0.7616479992866516, 'Y': 0.8623701333999634, 'Z': -1.2895017107439344e-06}, {'X': 0.6521959900856018, 'Y': 0.7830346822738647, 'Z': -0.03977324068546295}, {'X': 0.5491820573806763, 'Y': 0.6573062539100647, 'Z': -0.053230155259370804}, {'X': 0.4820372462272644, 'Y': 0.5428657531738281, 'Z': -0.06855392456054688}, {'X': 0.435504674911499, 'Y': 0.45691266655921936, 'Z': -0.06970660388469696}, {'X': 0.6360154151916504, 'Y': 0.5005837082862854, 'Z': 0.012706139124929905}, {'X': 0.5967325568199158, 'Y': 0.4204902946949005, 'Z': -0.04453577101230621}, {'X': 0.6197299957275391, 'Y': 0.5497390627861023, 'Z': -0.06779877096414566}, {'X': 0.6417696475982666, 'Y': 0.5734919905662537, 'Z': -0.07624968141317368}, {'X': 0.7062156796455383, 'Y': 0.500689685344696, 'Z': 0.009234238415956497}, {'X': 0.6718391180038452, 'Y': 0.4349738359451294, 'Z': -0.05550330504775047}, {'X': 0.6796994209289551, 'Y': 0.5908691883087158, 'Z': -0.06270357966423035}, {'X': 0.6944524645805359, 'Y': 0.590602695941925, 'Z': -0.052459754049777985}, {'X': 0.7754866480827332, 'Y': 0.5126106142997742, 'Z': -0.007670375052839518}, {'X': 0.7478183507919312, 'Y': 0.4376365542411804, 'Z': -0.07568684220314026}, {'X': 0.7414453625679016, 'Y': 0.588167667388916, 'Z': -0.048981714993715286}, {'X': 0.7564824223518372, 'Y': 0.6016334891319275, 'Z': -0.012659202329814434}, {'X': 0.846583366394043, 'Y': 0.5335354804992676, 'Z': -0.028916407376527786}, {'X': 0.8294394016265869, 'Y': 0.4607466757297516, 'Z': -0.06297054141759872}, {'X': 0.8051687479019165, 'Y': 0.5689217448234558, 'Z': -0.03865206986665726}, {'X': 0.8070774674415588, 'Y': 0.6028040647506714, 'Z': -0.010094658471643925}]
[{'X': 0.7653545141220093, 'Y': 0.8578106164932251, 'Z': -1.1838018281196128e-06}, {'X': 0.6538884043693542, 'Y': 0.7851477861404419, 'Z': -0.041032575070858}, {'X': 0.5478426218032837, 'Y': 0.6674513816833496, 'Z': -0.05931694805622101}, {'X': 0.46595633029937744, 'Y': 0.5713954567909241, 'Z': -0.07921455800533295}, {'X': 0.3965139091014862, 'Y': 0.5229734182357788, 'Z': -0.0866924375295639}, {'X': 0.6322904229164124, 'Y': 0.5127166509628296, 'Z': 0.0051661268807947636}, {'X': 0.5981298089027405, 'Y': 0.4332737624645233, 'Z': -0.05254092440009117}, {'X': 0.6200037598609924, 'Y': 0.557361900806427, 'Z': -0.07828228175640106}, {'X': 0.6404774785041809, 'Y': 0.5744256377220154, 'Z': -0.08954550325870514}, {'X': 0.704115092754364, 'Y': 0.5091877579689026, 'Z': 0.0029240548610687256}, {'X': 0.6689653396606445, 'Y': 0.43859535455703735, 'Z': -0.06047796085476875}, {'X': 0.6774519085884094, 'Y': 0.5915987491607666, 'Z': -0.06756017357110977}, {'X': 0.6921713948249817, 'Y': 0.5901447534561157, 'Z': -0.05863234028220177}, {'X': 0.774272620677948, 'Y': 0.5161888599395752, 'Z': -0.011920242570340633}, {'X': 0.7451776266098022, 'Y': 0.43911421298980713, 'Z': -0.07678701728582382}, {'X': 0.7396992444992065, 'Y': 0.5873477458953857, 'Z': -0.04926546290516853}, {'X': 0.7559935450553894, 'Y': 0.6015743017196655, 'Z': -0.014256563037633896}, {'X': 0.8440409302711487, 'Y': 0.5314697027206421, 'Z': -0.03120073676109314}, {'X': 0.8261049389839172, 'Y': 0.46169811487197876, 'Z': -0.06110023334622383}, {'X': 0.8036595582962036, 'Y': 0.5681747198104858, 'Z': -0.035053800791502}, {'X': 0.8088380098342896, 'Y': 0.6014929413795471, 'Z': -0.007112165447324514}]
[{'X': 0.7652974128723145, 'Y': 0.8595290780067444, 'Z': -1.1805717576862662e-06}, {'X': 0.6546221375465393, 'Y': 0.7926878929138184, 'Z': -0.04459794983267784}, {'X': 0.5475919842720032, 'Y': 0.6858202219009399, 'Z': -0.06806313246488571}, {'X': 0.46078938245773315, 'Y': 0.5978785157203674, 'Z': -0.09252910315990448}, {'X': 0.3877160847187042, 'Y': 0.5613996982574463, 'Z': -0.10446304827928543}, {'X': 0.6298174858093262, 'Y': 0.5145308971405029, 'Z': -0.005664099007844925}, {'X': 0.5923768281936646, 'Y': 0.43267640471458435, 'Z': -0.0665196105837822}, {'X': 0.6210309863090515, 'Y': 0.5588788390159607, 'Z': -0.09452612698078156}, {'X': 0.6418325304985046, 'Y': 0.5822064876556396, 'Z': -0.10682684183120728}, {'X': 0.702985405921936, 'Y': 0.5101861357688904, 'Z': -0.006990960333496332}, {'X': 0.6637459993362427, 'Y': 0.4435816705226898, 'Z': -0.07439973950386047}, {'X': 0.6794038414955139, 'Y': 0.5953298211097717, 'Z': -0.08327808976173401}, {'X': 0.6939838528633118, 'Y': 0.5957838296890259, 'Z': -0.07553229480981827}, {'X': 0.7740964293479919, 'Y': 0.5167109966278076, 'Z': -0.020679382607340813}, {'X': 0.7415086030960083, 'Y': 0.4409210681915283, 'Z': -0.08678063005208969}, {'X': 0.7400399446487427, 'Y': 0.587612509727478, 'Z': -0.05983360856771469}, {'X': 0.7551683783531189, 'Y': 0.6018778085708618, 'Z': -0.025630131363868713}, {'X': 0.8443907499313354, 'Y': 0.5316201448440552, 'Z': -0.0392267145216465}, {'X': 0.8250094652175903, 'Y': 0.463844895362854, 'Z': -0.06946676969528198}, {'X': 0.8023709058761597, 'Y': 0.5704331994056702, 'Z': -0.04437805712223053}, {'X': 0.8052104711532593, 'Y': 0.6021847724914551, 'Z': -0.017596397548913956}]
[{'X': 0.764672040939331, 'Y': 0.8574473857879639, 'Z': -1.1306619853712618e-06}, {'X': 0.6535913348197937, 'Y': 0.7852925062179565, 'Z': -0.04364243894815445}, {'X': 0.5455067157745361, 'Y': 0.6791352033615112, 'Z': -0.06772235780954361}, {'X': 0.45815014839172363, 'Y': 0.5965207815170288, 'Z': -0.09339595586061478}, {'X': 0.38477301597595215, 'Y': 0.5615692138671875, 'Z': -0.10774924606084824}, {'X': 0.6297702789306641, 'Y': 0.5137370824813843, 'Z': -0.004899749998003244}, {'X': 0.592538595199585, 'Y': 0.44329485297203064, 'Z': -0.06331738084554672}, {'X': 0.6205630898475647, 'Y': 0.5599870085716248, 'Z': -0.08976934105157852}, {'X': 0.6399969458580017, 'Y': 0.5734283328056335, 'Z': -0.10192165523767471}, {'X': 0.7033386826515198, 'Y': 0.5080201029777527, 'Z': -0.007639504503458738}, {'X': 0.6633269190788269, 'Y': 0.44789353013038635, 'Z': -0.07314462214708328}, {'X': 0.6798403263092041, 'Y': 0.5946625471115112, 'Z': -0.0803299993276596}, {'X': 0.6946603655815125, 'Y': 0.5917530059814453, 'Z': -0.07196337729692459}, {'X': 0.7752335071563721, 'Y': 0.5138256549835205, 'Z': -0.022571997717022896}, {'X': 0.7409687638282776, 'Y': 0.4446992576122284, 'Z': -0.0876227542757988}, {'X': 0.7412587404251099, 'Y': 0.588473916053772, 'Z': -0.05999908223748207}, {'X': 0.7566676139831543, 'Y': 0.6006848216056824, 'Z': -0.025916343554854393}, {'X': 0.846554160118103, 'Y': 0.5300375819206238, 'Z': -0.04236513003706932}, {'X': 0.824265718460083, 'Y': 0.4646476209163666, 'Z': -0.07116607576608658}, {'X': 0.8033493161201477, 'Y': 0.569366991519928, 'Z': -0.045031070709228516}, {'X': 0.8082641363143921, 'Y': 0.5992213487625122, 'Z': -0.01825089007616043}]
[{'X': 0.7663513422012329, 'Y': 0.8590494990348816, 'Z': -1.1055515187763376e-06}, {'X': 0.655660092830658, 'Y': 0.7925288677215576, 'Z': -0.04713721200823784}, {'X': 0.5472911596298218, 'Y': 0.6846702098846436, 'Z': -0.07130015641450882}, {'X': 0.4585809111595154, 'Y': 0.5977808237075806, 'Z': -0.09546446055173874}, {'X': 0.3837754428386688, 'Y': 0.566239058971405, 'Z': -0.1069965735077858}, {'X': 0.6249784231185913, 'Y': 0.5203115344047546, 'Z': -0.008339553140103817}, {'X': 0.5937319993972778, 'Y': 0.43474775552749634, 'Z': -0.06568272411823273}, {'X': 0.6193462014198303, 'Y': 0.5583465099334717, 'Z': -0.08906999975442886}, {'X': 0.6360865831375122, 'Y': 0.5849584937095642, 'Z': -0.09853704273700714}, {'X': 0.7004828453063965, 'Y': 0.5115225315093994, 'Z': -0.0074878595769405365}, {'X': 0.6651923656463623, 'Y': 0.44234251976013184, 'Z': -0.07155875861644745}, {'X': 0.6790648102760315, 'Y': 0.5953744649887085, 'Z': -0.07806350290775299}, {'X': 0.6907944679260254, 'Y': 0.5990222692489624, 'Z': -0.06904025375843048}, {'X': 0.7735363841056824, 'Y': 0.5158212184906006, 'Z': -0.01875426433980465}, {'X': 0.744779646396637, 'Y': 0.4405393600463867, 'Z': -0.08244068920612335}, {'X': 0.7427377700805664, 'Y': 0.5869039297103882, 'Z': -0.05555006116628647}, {'X': 0.7552640438079834, 'Y': 0.6048200130462646, 'Z': -0.022076239809393883}, {'X': 0.8440713286399841, 'Y': 0.5306298732757568, 'Z': -0.03484417870640755}, {'X': 0.8268647193908691, 'Y': 0.4662063419818878, 'Z': -0.06502924114465714}, {'X': 0.8052825927734375, 'Y': 0.5719549655914307, 'Z': -0.040985483676195145}, {'X': 0.8063284158706665, 'Y': 0.6060259938240051, 'Z': -0.015255295671522617}]
[{'X': 0.767588198184967, 'Y': 0.8568923473358154, 'Z': -1.1001679922628682e-06}, {'X': 0.6574009656906128, 'Y': 0.7904742956161499, 'Z': -0.04946167394518852}, {'X': 0.5476014614105225, 'Y': 0.6845049858093262, 'Z': -0.07484384626150131}, {'X': 0.45930251479148865, 'Y': 0.5987035632133484, 'Z': -0.09974991530179977}, {'X': 0.38553011417388916, 'Y': 0.5652385354042053, 'Z': -0.11161123216152191}, {'X': 0.6259447932243347, 'Y': 0.5193785429000854, 'Z': -0.011517784558236599}, {'X': 0.5949012041091919, 'Y': 0.4401876926422119, 'Z': -0.07004782557487488}, {'X': 0.621321439743042, 'Y': 0.5633180737495422, 'Z': -0.09315814822912216}, {'X': 0.6391979455947876, 'Y': 0.5803446173667908, 'Z': -0.10279916226863861}, {'X': 0.7015625834465027, 'Y': 0.5125296115875244, 'Z': -0.010019645094871521}, {'X': 0.665322482585907, 'Y': 0.4435209631919861, 'Z': -0.07663437724113464}, {'X': 0.6788965463638306, 'Y': 0.5969196557998657, 'Z': -0.08174639940261841}, {'X': 0.691390872001648, 'Y': 0.5943767428398132, 'Z': -0.07104212045669556}, {'X': 0.7740510702133179, 'Y': 0.515967607498169, 'Z': -0.021017225459218025}, {'X': 0.7441460490226746, 'Y': 0.44022417068481445, 'Z': -0.08667155355215073}, {'X': 0.7423319220542908, 'Y': 0.5863649845123291, 'Z': -0.05805342271924019}, {'X': 0.7567766904830933, 'Y': 0.598764181137085, 'Z': -0.02285030484199524}, {'X': 0.8442291021347046, 'Y': 0.5281890630722046, 'Z': -0.0372014120221138}, {'X': 0.8267014026641846, 'Y': 0.4648815989494324, 'Z': -0.06787572056055069}, {'X': 0.8052489161491394, 'Y': 0.5696725249290466, 'Z': -0.04353873431682587}, {'X': 0.8081604242324829, 'Y': 0.6002260446548462, 'Z': -0.01750664971768856}]
[{'X': 0.7640772461891174, 'Y': 0.8563116788864136, 'Z': -1.1240308595006354e-06}, {'X': 0.6541350483894348, 'Y': 0.793502926826477, 'Z': -0.05271509289741516}, {'X': 0.5434106588363647, 'Y': 0.6806931495666504, 'Z': -0.08022678643465042}, {'X': 0.45690232515335083, 'Y': 0.5923832058906555, 'Z': -0.10708069801330566}, {'X': 0.38320764899253845, 'Y': 0.5596858263015747, 'Z': -0.12053702026605606}, {'X': 0.627335786819458, 'Y': 0.5085591673851013, 'Z': -0.015956513583660126}, {'X': 0.5917546153068542, 'Y': 0.4283650815486908, 'Z': -0.07676883041858673}, {'X': 0.6196445822715759, 'Y': 0.5573169589042664, 'Z': -0.10016503930091858}, {'X': 0.6394060254096985, 'Y': 0.5807483196258545, 'Z': -0.10904458910226822}, {'X': 0.7035296559333801, 'Y': 0.5040470361709595, 'Z': -0.013940827921032906}, {'X': 0.6644849181175232, 'Y': 0.4393977224826813, 'Z': -0.0821690484881401}, {'X': 0.6786079406738281, 'Y': 0.5969808101654053, 'Z': -0.08571740984916687}, {'X': 0.6916676759719849, 'Y': 0.5942299365997314, 'Z': -0.07338234037160873}, {'X': 0.7764499187469482, 'Y': 0.5103574991226196, 'Z': -0.02499464713037014}, {'X': 0.7442207336425781, 'Y': 0.4378974437713623, 'Z': -0.09273317456245422}, {'X': 0.7418698668479919, 'Y': 0.5893000960350037, 'Z': -0.06152639538049698}, {'X': 0.7566827535629272, 'Y': 0.6027038097381592, 'Z': -0.024185722693800926}, {'X': 0.8479335308074951, 'Y': 0.5246803760528564, 'Z': -0.041678961366415024}, {'X': 0.8277974128723145, 'Y': 0.4623587429523468, 'Z': -0.07398344576358795}, {'X': 0.8061118721961975, 'Y': 0.5722147822380066, 'Z': -0.04798249900341034}, {'X': 0.810062050819397, 'Y': 0.6038510203361511, 'Z': -0.020307181403040886}]
