[{'X': 0.7162588238716125, 'Y': 0.9942958354949951, 'Z': -8.567026839045866e-07}, {'X': 0.6454518437385559, 'Y': 0.9261218309402466, 'Z': -0.016066692769527435}, {'X': 0.6141738295555115, 'Y': 0.8159255981445312, 'Z': -0.02588183805346489}, {'X': 0.6451244354248047, 'Y': 0.7470388412475586, 'Z': -0.04107461869716644}, {'X': 0.6837083697319031, 'Y': 0.6994868516921997, 'Z': -0.052585940808057785}, {'X': 0.6287627220153809, 'Y': 0.7027217149734497, 'Z': 0.01618531160056591}, {'X': 0.5976146459579468, 'Y': 0.6646227240562439, 'Z': -0.027384113520383835}, {'X': 0.60564124584198, 'Y': 0.74811190366745, 'Z': -0.059778761118650436}, {'X': 0.6163451671600342, 'Y': 0.821751058101654, 'Z': -0.07407335937023163}, {'X': 0.6811937093734741, 'Y': 0.6979652643203735, 'Z': 0.0065973419696092606}, {'X': 0.6479063034057617, 'Y': 0.6577380895614624, 'Z': -0.03776722028851509}, {'X': 0.649931788444519, 'Y': 0.7587431073188782, 'Z': -0.0560183972120285}, {'X': 0.6569408774375916, 'Y': 0.8354777097702026, 'Z': -0.05634703114628792}, {'X': 0.737791121006012, 'Y': 0.7136022448539734, 'Z': -0.0106662567704916}, {'X': 0.7097424864768982, 'Y': 0.6699734330177307, 'Z': -0.05334101617336273}, {'X': 0.6977319717407227, 'Y': 0.778575599193573, 'Z': -0.04826546460390091}, {'X': 0.6916124820709229, 'Y': 0.8560267686843872, 'Z': -0.03181789442896843}, {'X': 0.7933826446533203, 'Y': 0.7429911494255066, 'Z': -0.030301552265882492}, {'X': 0.7650068998336792, 'Y': 0.7137933373451233, 'Z': -0.05727427452802658}, {'X': 0.7422566413879395, 'Y': 0.7894675135612488, 'Z': -0.04783973842859268}, {'X': 0.7311161160469055, 'Y': 0.8415454626083374, 'Z': -0.03197483345866203}]
[{'X': 0.7126386165618896, 'Y': 0.993480920791626, 'Z': -8.626666385680437e-07}, {'X': 0.6425173878669739, 'Y': 0.9232276678085327, 'Z': -0.01579771377146244}, {'X': 0.611904501914978, 'Y': 0.812656044960022, 'Z': -0.025889309123158455}, {'X': 0.6476311683654785, 'Y': 0.744788408279419, 'Z': -0.04183129221200943}, {'X': 0.6914871335029602, 'Y': 0.7007921934127808, 'Z': -0.05424008145928383}, {'X': 0.6280680894851685, 'Y': 0.7127078175544739, 'Z': 0.016503674909472466}, {'X': 0.5979238152503967, 'Y': 0.6648666858673096, 'Z': -0.026756595820188522}, {'X': 0.6067677140235901, 'Y': 0.7483370304107666, 'Z': -0.058631788939237595}, {'X': 0.6191417574882507, 'Y': 0.8217190504074097, 'Z': -0.07280410826206207}, {'X': 0.6796756386756897, 'Y': 0.7057155966758728, 'Z': 0.0064625428058207035}, {'X': 0.6476062536239624, 'Y': 0.6525521874427795, 'Z': -0.03817190229892731}, {'X': 0.6502577066421509, 'Y': 0.7533342838287354, 'Z': -0.056840162724256516}, {'X': 0.6572441458702087, 'Y': 0.8326048254966736, 'Z': -0.05724343657493591}, {'X': 0.735941469669342, 'Y': 0.7181115746498108, 'Z': -0.01120875682681799}, {'X': 0.7084382176399231, 'Y': 0.6665517091751099, 'Z': -0.053613364696502686}, {'X': 0.6980677247047424, 'Y': 0.7740596532821655, 'Z': -0.04914665222167969}, {'X': 0.69300776720047, 'Y': 0.8529967665672302, 'Z': -0.033039696514606476}, {'X': 0.7926694750785828, 'Y': 0.7434655427932739, 'Z': -0.031340841203927994}, {'X': 0.764731764793396, 'Y': 0.7082749605178833, 'Z': -0.05790221691131592}, {'X': 0.7423750758171082, 'Y': 0.783240020275116, 'Z': -0.0488872267305851}, {'X': 0.7316855192184448, 'Y': 0.8383767604827881, 'Z': -0.03368150815367699}]
[{'X': 0.7167964577674866, 'Y': 0.9971548318862915, 'Z': -7.925193585833767e-07}, {'X': 0.6467890739440918, 'Y': 0.9328730702400208, 'Z': -0.01983252540230751}, {'X': 0.6110696792602539, 'Y': 0.8228549957275391, 'Z': -0.030296828597784042}, {'X': 0.6371768712997437, 'Y': 0.7520179152488708, 'Z': -0.04507938772439957}, {'X': 0.6737304925918579, 'Y': 0.7080838680267334, 'Z': -0.05560198798775673}, {'X': 0.6264387369155884, 'Y': 0.7097107768058777, 'Z': 0.014245371334254742}, {'X': 0.5972706079483032, 'Y': 0.667066216468811, 'Z': -0.029503805562853813}, {'X': 0.6089856028556824, 'Y': 0.7508749961853027, 'Z': -0.06191406399011612}, {'X': 0.6227375268936157, 'Y': 0.8232573866844177, 'Z': -0.07618924230337143}, {'X': 0.6801285743713379, 'Y': 0.7018560171127319, 'Z': 0.007207916118204594}, {'X': 0.6502713561058044, 'Y': 0.6549903750419617, 'Z': -0.03698156401515007}, {'X': 0.6536218523979187, 'Y': 0.7580093145370483, 'Z': -0.054021306335926056}, {'X': 0.6612756848335266, 'Y': 0.8371886014938354, 'Z': -0.05322352796792984}, {'X': 0.7365232706069946, 'Y': 0.7149251103401184, 'Z': -0.007928475737571716}, {'X': 0.7110323309898376, 'Y': 0.6688185334205627, 'Z': -0.05036943778395653}, {'X': 0.701085090637207, 'Y': 0.7774974703788757, 'Z': -0.04400699958205223}, {'X': 0.6965534687042236, 'Y': 0.8577219247817993, 'Z': -0.026331769302487373}, {'X': 0.7907851934432983, 'Y': 0.7420035004615784, 'Z': -0.02600134164094925}, {'X': 0.7665700912475586, 'Y': 0.7090288996696472, 'Z': -0.053715575486421585}, {'X': 0.7453906536102295, 'Y': 0.7847064137458801, 'Z': -0.04446333274245262}, {'X': 0.7352286577224731, 'Y': 0.840842068195343, 'Z': -0.028378527611494064}]
[{'X': 0.7185730338096619, 'Y': 0.9992555975914001, 'Z': -8.79975345924322e-07}, {'X': 0.6478184461593628, 'Y': 0.9291141033172607, 'Z': -0.018964558839797974}, {'X': 0.6110578775405884, 'Y': 0.8178247213363647, 'Z': -0.029871709644794464}, {'X': 0.6371269822120667, 'Y': 0.7433470487594604, 'Z': -0.045766983181238174}, {'X': 0.6770043969154358, 'Y': 0.6931969523429871, 'Z': -0.057154104113578796}, {'X': 0.6238947510719299, 'Y': 0.7134811282157898, 'Z': 0.011111234314739704}, {'X': 0.5931203365325928, 'Y': 0.6644006371498108, 'Z': -0.031432293355464935}, {'X': 0.6072461009025574, 'Y': 0.7490012049674988, 'Z': -0.05975048243999481}, {'X': 0.6219748258590698, 'Y': 0.82286536693573, 'Z': -0.07129687815904617}, {'X': 0.6767044067382812, 'Y': 0.7059322595596313, 'Z': 0.0029427609406411648}, {'X': 0.6468765139579773, 'Y': 0.6495091319084167, 'Z': -0.04374338686466217}, {'X': 0.6525660753250122, 'Y': 0.7545696496963501, 'Z': -0.06037209555506706}, {'X': 0.6599912643432617, 'Y': 0.8356519937515259, 'Z': -0.058612629771232605}, {'X': 0.7339447736740112, 'Y': 0.71745365858078, 'Z': -0.01277028489857912}, {'X': 0.7091864943504333, 'Y': 0.6637045741081238, 'Z': -0.05675555765628815}, {'X': 0.6998268961906433, 'Y': 0.7740380167961121, 'Z': -0.04982106760144234}, {'X': 0.6946292519569397, 'Y': 0.854704737663269, 'Z': -0.03156707435846329}, {'X': 0.7908034324645996, 'Y': 0.7425327897071838, 'Z': -0.031248535960912704}, {'X': 0.7678345441818237, 'Y': 0.7038684487342834, 'Z': -0.05864768475294113}, {'X': 0.7447850704193115, 'Y': 0.7784353494644165, 'Z': -0.04891414940357208}, {'X': 0.7324650883674622, 'Y': 0.8337261080741882, 'Z': -0.03303017467260361}]
[{'X': 0.7195149064064026, 'Y': 1.0016204118728638, 'Z': -8.23008178940654e-07}, {'X': 0.649543046951294, 'Y': 0.9305813312530518, 'Z': -0.02012273669242859}, {'X': 0.6166556477546692, 'Y': 0.8201810121536255, 'Z': -0.03171299025416374}, {'X': 0.6496503949165344, 'Y': 0.7468531727790833, 'Z': -0.04832706227898598}, {'X': 0.6883271932601929, 'Y': 0.6930059790611267, 'Z': -0.060312289744615555}, {'X': 0.6244540810585022, 'Y': 0.7188168168067932, 'Z': 0.013344265520572662}, {'X': 0.5939792990684509, 'Y': 0.6638005971908569, 'Z': -0.030393918976187706}, {'X': 0.6057769656181335, 'Y': 0.7458973526954651, 'Z': -0.06150193139910698}, {'X': 0.6204916834831238, 'Y': 0.8170269727706909, 'Z': -0.07493764162063599}, {'X': 0.6765235066413879, 'Y': 0.7095077633857727, 'Z': 0.00566689670085907}, {'X': 0.6464480757713318, 'Y': 0.6476306319236755, 'Z': -0.038619767874479294}, {'X': 0.6505239009857178, 'Y': 0.7493175268173218, 'Z': -0.0554724745452404}, {'X': 0.6588079333305359, 'Y': 0.8270907998085022, 'Z': -0.054967235773801804}, {'X': 0.733450174331665, 'Y': 0.7204315066337585, 'Z': -0.010160230100154877}, {'X': 0.711386501789093, 'Y': 0.6578912138938904, 'Z': -0.0530984029173851}, {'X': 0.6998878121376038, 'Y': 0.7655805945396423, 'Z': -0.0467587411403656}, {'X': 0.695075511932373, 'Y': 0.8452763557434082, 'Z': -0.029314232990145683}, {'X': 0.7901830673217773, 'Y': 0.7454546689987183, 'Z': -0.02898348495364189}, {'X': 0.7710404396057129, 'Y': 0.6983846426010132, 'Z': -0.056651338934898376}, {'X': 0.7469143867492676, 'Y': 0.7712815999984741, 'Z': -0.0475551076233387}, {'X': 0.7339251041412354, 'Y': 0.8288638591766357, 'Z': -0.03208385780453682}]
[{'X': 0.7235594391822815, 'Y': 0.9886183738708496, 'Z': -4.833844400309317e-07}, {'X': 0.6484928727149963, 'Y': 0.9010534882545471, 'Z': -0.011002959683537483}, {'X': 0.6217567324638367, 'Y': 0.7855744361877441, 'Z': -0.016272064298391342}, {'X': 0.6671562790870667, 'Y': 0.7079499959945679, 'Z': -0.027444571256637573}, {'X': 0.7319371700286865, 'Y': 0.6876638531684875, 'Z': -0.037720583379268646}, {'X': 0.6369367241859436, 'Y': 0.715947687625885, 'Z': 0.017406202852725983}, {'X': 0.6244471669197083, 'Y': 0.6340888142585754, 'Z': -0.00987318530678749}, {'X': 0.6067022681236267, 'Y': 0.6283568143844604, 'Z': -0.036592815071344376}, {'X': 0.5935015678405762, 'Y': 0.6448780298233032, 'Z': -0.05258811637759209}, {'X': 0.6826653480529785, 'Y': 0.7025550603866577, 'Z': 0.006313534919172525}, {'X': 0.6757027506828308, 'Y': 0.6081252098083496, 'Z': -0.013674374669790268}, {'X': 0.650293231010437, 'Y': 0.6010681390762329, 'Z': -0.031499311327934265}, {'X': 0.628559947013855, 'Y': 0.627090573310852, 'Z': -0.041864994913339615}, {'X': 0.7333627939224243, 'Y': 0.7123963832855225, 'Z': -0.010775269940495491}, {'X': 0.7370959520339966, 'Y': 0.6147481203079224, 'Z': -0.03260636329650879}, {'X': 0.7072325944900513, 'Y': 0.6246738433837891, 'Z': -0.04305874556303024}, {'X': 0.6840800046920776, 'Y': 0.6681147217750549, 'Z': -0.046925291419029236}, {'X': 0.7867317795753479, 'Y': 0.7399412393569946, 'Z': -0.030653132125735283}, {'X': 0.7891586422920227, 'Y': 0.6600843071937561, 'Z': -0.04728091508150101}, {'X': 0.757666289806366, 'Y': 0.6727433204650879, 'Z': -0.05001024156808853}, {'X': 0.7293559908866882, 'Y': 0.7171861529350281, 'Z': -0.04990311712026596}]
[{'X': 0.7203850150108337, 'Y': 0.9816743731498718, 'Z': -8.861445621732855e-08}, {'X': 0.6558820605278015, 'Y': 0.9029825925827026, 'Z': -0.017078623175621033}, {'X': 0.634604811668396, 'Y': 0.7905227541923523, 'Z': -0.01785494200885296}, {'X': 0.686349093914032, 'Y': 0.7106456160545349, 'Z': -0.020203644409775734}, {'X': 0.7503224015235901, 'Y': 0.6998451948165894, 'Z': -0.021966779604554176}, {'X': 0.632718563079834, 'Y': 0.7174708843231201, 'Z': 0.010950601659715176}, {'X': 0.6093542575836182, 'Y': 0.6424756646156311, 'Z': 0.0007080012001097202}, {'X': 0.5924768447875977, 'Y': 0.6057224869728088, 'Z': -0.012592283077538013}, {'X': 0.5787683129310608, 'Y': 0.5712321400642395, 'Z': -0.02488318458199501}, {'X': 0.6822345852851868, 'Y': 0.6989812254905701, 'Z': 0.006077568978071213}, {'X': 0.6629366874694824, 'Y': 0.615067720413208, 'Z': -0.0016656310763210058}, {'X': 0.646824300289154, 'Y': 0.5609155893325806, 'Z': -0.01481776125729084}, {'X': 0.6339432001113892, 'Y': 0.5211515426635742, 'Z': -0.026531022042036057}, {'X': 0.7331176400184631, 'Y': 0.7080656290054321, 'Z': -0.004187490325421095}, {'X': 0.7293362021446228, 'Y': 0.6321163177490234, 'Z': -0.022174930199980736}, {'X': 0.7152242064476013, 'Y': 0.5899566411972046, 'Z': -0.042608585208654404}, {'X': 0.7016158103942871, 'Y': 0.5696955323219299, 'Z': -0.0562596395611763}, {'X': 0.7846578359603882, 'Y': 0.7298175692558289, 'Z': -0.01691518723964691}, {'X': 0.8050544261932373, 'Y': 0.6729921698570251, 'Z': -0.03758273646235466}, {'X': 0.8098087310791016, 'Y': 0.6421248316764832, 'Z': -0.05320995673537254}, {'X': 0.8097185492515564, 'Y': 0.631516695022583, 'Z': -0.06417449563741684}]
[{'X': 0.7424939274787903, 'Y': 0.9772804975509644, 'Z': 3.407600672744593e-07}, {'X': 0.6744668483734131, 'Y': 0.9209860563278198, 'Z': -0.0334591381251812}, {'X': 0.6466394066810608, 'Y': 0.8008530139923096, 'Z': -0.039192117750644684}, {'X': 0.7170844674110413, 'Y': 0.7175620794296265, 'Z': -0.04128378629684448}, {'X': 0.7965985536575317, 'Y': 0.7023584842681885, 'Z': -0.04213458672165871}, {'X': 0.6347326636314392, 'Y': 0.6738445162773132, 'Z': -0.013498829677700996}, {'X': 0.5914363265037537, 'Y': 0.5632029175758362, 'Z': -0.023708105087280273}, {'X': 0.5676336288452148, 'Y': 0.49028030037879944, 'Z': -0.035296328365802765}, {'X': 0.5474470853805542, 'Y': 0.4319780170917511, 'Z': -0.04731278494000435}, {'X': 0.6938120722770691, 'Y': 0.6539566516876221, 'Z': -0.013208329677581787}, {'X': 0.6690587401390076, 'Y': 0.5235296487808228, 'Z': -0.01839984580874443}, {'X': 0.6559690833091736, 'Y': 0.44124600291252136, 'Z': -0.02978835627436638}, {'X': 0.6449727416038513, 'Y': 0.3752836585044861, 'Z': -0.039674438536167145}, {'X': 0.7489501237869263, 'Y': 0.6726826429367065, 'Z': -0.018561191856861115}, {'X': 0.7494450807571411, 'Y': 0.5546528100967407, 'Z': -0.03577624633908272}, {'X': 0.7464698553085327, 'Y': 0.4636487364768982, 'Z': -0.0625145360827446}, {'X': 0.7443400621414185, 'Y': 0.38735678791999817, 'Z': -0.08219408243894577}, {'X': 0.8008782863616943, 'Y': 0.7142009735107422, 'Z': -0.026850104331970215}, {'X': 0.842525839805603, 'Y': 0.6417230367660522, 'Z': -0.05377970635890961}, {'X': 0.8722103834152222, 'Y': 0.5847383737564087, 'Z': -0.07473617792129517}, {'X': 0.898095428943634, 'Y': 0.5359996557235718, 'Z': -0.08900833874940872}]
[{'X': 0.7430837750434875, 'Y': 0.9849073886871338, 'Z': 3.7739945923931373e-07}, {'X': 0.6730525493621826, 'Y': 0.9304419755935669, 'Z': -0.03339151665568352}, {'X': 0.6468845009803772, 'Y': 0.8115687370300293, 'Z': -0.04086092859506607}, {'X': 0.7196438908576965, 'Y': 0.7285647988319397, 'Z': -0.04602137580513954}, {'X': 0.7967864274978638, 'Y': 0.7081923484802246, 'Z': -0.050361983478069305}, {'X': 0.6369156837463379, 'Y': 0.6748091578483582, 'Z': -0.013731395825743675}, {'X': 0.5916123390197754, 'Y': 0.5635523796081543, 'Z': -0.025931568816304207}, {'X': 0.5677176713943481, 'Y': 0.49026358127593994, 'Z': -0.038250505924224854}, {'X': 0.5474787354469299, 'Y': 0.4322311282157898, 'Z': -0.05078100040555}, {'X': 0.6983964443206787, 'Y': 0.6533119678497314, 'Z': -0.015037552453577518}, {'X': 0.6766541600227356, 'Y': 0.522445797920227, 'Z': -0.022424310445785522}, {'X': 0.664340615272522, 'Y': 0.4413642883300781, 'Z': -0.03450457379221916}, {'X': 0.6522822380065918, 'Y': 0.3763188421726227, 'Z': -0.044685423374176025}, {'X': 0.756108283996582, 'Y': 0.6731460690498352, 'Z': -0.02228759415447712}, {'X': 0.756350040435791, 'Y': 0.5522347688674927, 'Z': -0.04213337600231171}, {'X': 0.7500503659248352, 'Y': 0.46238845586776733, 'Z': -0.06922179460525513}, {'X': 0.7449958324432373, 'Y': 0.3869653344154358, 'Z': -0.08912653475999832}, {'X': 0.8093904852867126, 'Y': 0.717341959476471, 'Z': -0.03253740072250366}, {'X': 0.8590384721755981, 'Y': 0.6484735608100891, 'Z': -0.06234945356845856}, {'X': 0.8934236764907837, 'Y': 0.5912986397743225, 'Z': -0.08549777418375015}, {'X': 0.924712598323822, 'Y': 0.5409016013145447, 'Z': -0.10117660462856293}]
[{'X': 0.7417877912521362, 'Y': 0.9801361560821533, 'Z': 3.886580088874325e-07}, {'X': 0.6773120760917664, 'Y': 0.9278891086578369, 'Z': -0.034326180815696716}, {'X': 0.6519930958747864, 'Y': 0.810975193977356, 'Z': -0.04212760552763939}, {'X': 0.725187361240387, 'Y': 0.7321704030036926, 'Z': -0.047536782920360565}, {'X': 0.8016445636749268, 'Y': 0.710487961769104, 'Z': -0.052766453474760056}, {'X': 0.6427432894706726, 'Y': 0.6772754192352295, 'Z': -0.016111690551042557}, {'X': 0.5960289835929871, 'Y': 0.5655314326286316, 'Z': -0.029019998386502266}, {'X': 0.5710325837135315, 'Y': 0.49209779500961304, 'Z': -0.04217532277107239}, {'X': 0.5511190891265869, 'Y': 0.43301355838775635, 'Z': -0.055709756910800934}, {'X': 0.7034768462181091, 'Y': 0.6557215452194214, 'Z': -0.017799371853470802}, {'X': 0.6830742359161377, 'Y': 0.52115797996521, 'Z': -0.025904815644025803}, {'X': 0.6720008850097656, 'Y': 0.43868476152420044, 'Z': -0.0394887812435627}, {'X': 0.6622774600982666, 'Y': 0.3730407953262329, 'Z': -0.0513644777238369}, {'X': 0.760809063911438, 'Y': 0.674868106842041, 'Z': -0.02544042468070984}, {'X': 0.7644179463386536, 'Y': 0.5497499704360962, 'Z': -0.04657778516411781}, {'X': 0.759371280670166, 'Y': 0.46300411224365234, 'Z': -0.07452457398176193}, {'X': 0.7554532885551453, 'Y': 0.39069145917892456, 'Z': -0.09529121220111847}, {'X': 0.8135942816734314, 'Y': 0.7190268635749817, 'Z': -0.036153148859739304}, {'X': 0.8646846413612366, 'Y': 0.6470772624015808, 'Z': -0.06796766072511673}, {'X': 0.899307906627655, 'Y': 0.5936436653137207, 'Z': -0.09154301881790161}, {'X': 0.9297283291816711, 'Y': 0.546022891998291, 'Z': -0.10767380148172379}]
[{'X': 0.7372183203697205, 'Y': 0.9761621952056885, 'Z': 4.3264773808004975e-07}, {'X': 0.6741076111793518, 'Y': 0.9264199137687683, 'Z': -0.03417409583926201}, {'X': 0.6498825550079346, 'Y': 0.8095995187759399, 'Z': -0.04334750771522522}, {'X': 0.7206354141235352, 'Y': 0.7359171509742737, 'Z': -0.04981447756290436}, {'X': 0.7942562699317932, 'Y': 0.7182971239089966, 'Z': -0.056573767215013504}, {'X': 0.6442699432373047, 'Y': 0.6760596632957458, 'Z': -0.02296166867017746}, {'X': 0.599669873714447, 'Y': 0.5618906021118164, 'Z': -0.039817631244659424}, {'X': 0.5756717920303345, 'Y': 0.48461395502090454, 'Z': -0.05683199688792229}, {'X': 0.5549575090408325, 'Y': 0.4209565222263336, 'Z': -0.07380616664886475}, {'X': 0.7047488689422607, 'Y': 0.655144989490509, 'Z': -0.026190660893917084}, {'X': 0.6859887838363647, 'Y': 0.5218047499656677, 'Z': -0.03978469967842102}, {'X': 0.6760045289993286, 'Y': 0.43786728382110596, 'Z': -0.05854104086756706}, {'X': 0.6655822992324829, 'Y': 0.37034326791763306, 'Z': -0.07414242625236511}, {'X': 0.7607540488243103, 'Y': 0.6748839616775513, 'Z': -0.034639306366443634}, {'X': 0.7640767693519592, 'Y': 0.5495814085006714, 'Z': -0.05912858620285988}, {'X': 0.7620896100997925, 'Y': 0.46158310770988464, 'Z': -0.08949566632509232}, {'X': 0.760051429271698, 'Y': 0.38634639978408813, 'Z': -0.11217919737100601}, {'X': 0.812026858329773, 'Y': 0.7213377952575684, 'Z': -0.04591355472803116}, {'X': 0.8621257543563843, 'Y': 0.649993896484375, 'Z': -0.08006380498409271}, {'X': 0.8954893350601196, 'Y': 0.5956437587738037, 'Z': -0.10482683777809143}, {'X': 0.9241151213645935, 'Y': 0.5463570952415466, 'Z': -0.12209370732307434}]
