[{'X': 0.73030024766922, 'Y': 1.0152215957641602, 'Z': -9.793070603336673e-07}, {'X': 0.6596269011497498, 'Y': 0.9521917104721069, 'Z': -0.024013346061110497}, {'X': 0.6194909811019897, 'Y': 0.8397364616394043, 'Z': -0.037120919674634933}, {'X': 0.6227285265922546, 'Y': 0.7657443284988403, 'Z': -0.05092395842075348}, {'X': 0.6402438282966614, 'Y': 0.7279744744300842, 'Z': -0.05957336351275444}, {'X': 0.6530389785766602, 'Y': 0.687399685382843, 'Z': -0.012329025194048882}, {'X': 0.6276265382766724, 'Y': 0.6830760836601257, 'Z': -0.05435004085302353}, {'X': 0.6357485055923462, 'Y': 0.7845778465270996, 'Z': -0.07997706532478333}, {'X': 0.6418024301528931, 'Y': 0.8650512099266052, 'Z': -0.0906447321176529}, {'X': 0.7141456007957458, 'Y': 0.6882826685905457, 'Z': -0.01884288340806961}, {'X': 0.6841627359390259, 'Y': 0.6888182163238525, 'Z': -0.06517532467842102}, {'X': 0.6803131699562073, 'Y': 0.8099055886268616, 'Z': -0.07739702612161636}, {'X': 0.6823344230651855, 'Y': 0.8905898332595825, 'Z': -0.07352999597787857}, {'X': 0.7730633616447449, 'Y': 0.7166995406150818, 'Z': -0.0313495434820652}, {'X': 0.7498188018798828, 'Y': 0.7210270166397095, 'Z': -0.0765281617641449}, {'X': 0.7287773489952087, 'Y': 0.8389739990234375, 'Z': -0.06701495498418808}, {'X': 0.7166715860366821, 'Y': 0.9137845635414124, 'Z': -0.04748722165822983}, {'X': 0.8250412940979004, 'Y': 0.7613129615783691, 'Z': -0.0463782399892807}, {'X': 0.8057572841644287, 'Y': 0.7660108804702759, 'Z': -0.07517073303461075}, {'X': 0.7766388654708862, 'Y': 0.8422092199325562, 'Z': -0.06430454552173615}, {'X': 0.7613164782524109, 'Y': 0.8863415122032166, 'Z': -0.046825844794511795}]
[{'X': 0.7348188161849976, 'Y': 1.0200352668762207, 'Z': -9.288448836741736e-07}, {'X': 0.660894513130188, 'Y': 0.9547559022903442, 'Z': -0.026468107476830482}, {'X': 0.6213204264640808, 'Y': 0.8392733335494995, 'Z': -0.039497870951890945}, {'X': 0.6270526647567749, 'Y': 0.7687473297119141, 'Z': -0.0526217445731163}, {'X': 0.6453216075897217, 'Y': 0.7354170083999634, 'Z': -0.060037218034267426}, {'X': 0.6509059071540833, 'Y': 0.6937304735183716, 'Z': -0.013725508004426956}, {'X': 0.6269254684448242, 'Y': 0.6865606307983398, 'Z': -0.05939016118645668}, {'X': 0.6362360119819641, 'Y': 0.7890389561653137, 'Z': -0.086845263838768}, {'X': 0.6420302987098694, 'Y': 0.8717789053916931, 'Z': -0.09784232825040817}, {'X': 0.7131567001342773, 'Y': 0.6901576519012451, 'Z': -0.018805773928761482}, {'X': 0.6846909523010254, 'Y': 0.6880229711532593, 'Z': -0.06931528449058533}, {'X': 0.6820729374885559, 'Y': 0.8106240034103394, 'Z': -0.0825381651520729}, {'X': 0.6834139227867126, 'Y': 0.8944337368011475, 'Z': -0.07813556492328644}, {'X': 0.7726916074752808, 'Y': 0.7143823504447937, 'Z': -0.03050607442855835}, {'X': 0.7508203983306885, 'Y': 0.7202161550521851, 'Z': -0.07811541855335236}, {'X': 0.7310594320297241, 'Y': 0.841110348701477, 'Z': -0.06836284697055817}, {'X': 0.7179533243179321, 'Y': 0.9195749759674072, 'Z': -0.04798847809433937}, {'X': 0.8244212865829468, 'Y': 0.7551071047782898, 'Z': -0.045345060527324677}, {'X': 0.8045896291732788, 'Y': 0.7702018022537231, 'Z': -0.0765567496418953}, {'X': 0.775993287563324, 'Y': 0.8483295440673828, 'Z': -0.06717851758003235}, {'X': 0.7600603103637695, 'Y': 0.8933858275413513, 'Z': -0.05023879557847977}]
[{'X': 0.7335193753242493, 'Y': 1.0182162523269653, 'Z': -9.289410627388861e-07}, {'X': 0.6600536704063416, 'Y': 0.9549344182014465, 'Z': -0.026301871985197067}, {'X': 0.6200293302536011, 'Y': 0.8393436670303345, 'Z': -0.03886492922902107}, {'X': 0.6252100467681885, 'Y': 0.7646389603614807, 'Z': -0.05210299789905548}, {'X': 0.6422883868217468, 'Y': 0.7238792777061462, 'Z': -0.059878479689359665}, {'X': 0.6472124457359314, 'Y': 0.6995443105697632, 'Z': -0.009964287281036377}, {'X': 0.6229623556137085, 'Y': 0.6871142387390137, 'Z': -0.057528916746377945}, {'X': 0.6323449611663818, 'Y': 0.7883571982383728, 'Z': -0.08710627257823944}, {'X': 0.6389725804328918, 'Y': 0.8695178031921387, 'Z': -0.09902552515268326}, {'X': 0.7093857526779175, 'Y': 0.6951419711112976, 'Z': -0.015219449065625668}, {'X': 0.6820899248123169, 'Y': 0.6841919422149658, 'Z': -0.06760193407535553}, {'X': 0.6803278923034668, 'Y': 0.8067333102226257, 'Z': -0.08193006366491318}, {'X': 0.6827388405799866, 'Y': 0.8908304572105408, 'Z': -0.07735497504472733}, {'X': 0.7693642973899841, 'Y': 0.716813325881958, 'Z': -0.027642173692584038}, {'X': 0.7499988079071045, 'Y': 0.7172311544418335, 'Z': -0.07726438343524933}, {'X': 0.7298714518547058, 'Y': 0.8380409479141235, 'Z': -0.06854812055826187}, {'X': 0.7161727547645569, 'Y': 0.9162297248840332, 'Z': -0.047692231833934784}, {'X': 0.8223059177398682, 'Y': 0.754417359828949, 'Z': -0.04308824613690376}, {'X': 0.8057495355606079, 'Y': 0.7647119760513306, 'Z': -0.07454098016023636}, {'X': 0.7778011560440063, 'Y': 0.8424041271209717, 'Z': -0.06534536182880402}, {'X': 0.7615541219711304, 'Y': 0.8869367837905884, 'Z': -0.04812788590788841}]
[{'X': 0.7331700921058655, 'Y': 1.0154383182525635, 'Z': -8.967059557107859e-07}, {'X': 0.6619359254837036, 'Y': 0.9518674612045288, 'Z': -0.026729481294751167}, {'X': 0.6218705177307129, 'Y': 0.8376420736312866, 'Z': -0.03945078328251839}, {'X': 0.6246882081031799, 'Y': 0.7631483674049377, 'Z': -0.05219750478863716}, {'X': 0.6365180015563965, 'Y': 0.7185419201850891, 'Z': -0.05932939052581787}, {'X': 0.6455498933792114, 'Y': 0.6972766518592834, 'Z': -0.010938872583210468}, {'X': 0.620227575302124, 'Y': 0.6846410632133484, 'Z': -0.05736752226948738}, {'X': 0.629619300365448, 'Y': 0.7848970293998718, 'Z': -0.08597353845834732}, {'X': 0.6370034217834473, 'Y': 0.8652310967445374, 'Z': -0.09724514186382294}, {'X': 0.7081235647201538, 'Y': 0.6920815110206604, 'Z': -0.015746252611279488}, {'X': 0.6800858974456787, 'Y': 0.6809252500534058, 'Z': -0.06599987298250198}, {'X': 0.6775796413421631, 'Y': 0.8020225167274475, 'Z': -0.07949480414390564}, {'X': 0.6796972155570984, 'Y': 0.884082555770874, 'Z': -0.07512976229190826}, {'X': 0.7679619789123535, 'Y': 0.7142753601074219, 'Z': -0.027538897469639778}, {'X': 0.7491775155067444, 'Y': 0.7111701965332031, 'Z': -0.07617326825857162}, {'X': 0.727371335029602, 'Y': 0.8315168619155884, 'Z': -0.06681741029024124}, {'X': 0.712071418762207, 'Y': 0.9098308682441711, 'Z': -0.046213988214731216}, {'X': 0.8207080960273743, 'Y': 0.753930389881134, 'Z': -0.04224037379026413}, {'X': 0.8043345808982849, 'Y': 0.7676609754562378, 'Z': -0.07454504817724228}, {'X': 0.7751452326774597, 'Y': 0.8477091789245605, 'Z': -0.0652385875582695}, {'X': 0.7568325996398926, 'Y': 0.8934763073921204, 'Z': -0.047931428998708725}]
[{'X': 0.7242943644523621, 'Y': 1.0066859722137451, 'Z': -8.800612363302207e-07}, {'X': 0.6556970477104187, 'Y': 0.935996949672699, 'Z': -0.018780000507831573}, {'X': 0.6300235986709595, 'Y': 0.8200199604034424, 'Z': -0.029190555214881897}, {'X': 0.6723442673683167, 'Y': 0.7482940554618835, 'Z': -0.044807396829128265}, {'X': 0.7172805070877075, 'Y': 0.701611340045929, 'Z': -0.05647848919034004}, {'X': 0.6453893780708313, 'Y': 0.7233982682228088, 'Z': 0.007150597870349884}, {'X': 0.6282650828361511, 'Y': 0.6297928094863892, 'Z': -0.03616296127438545}, {'X': 0.6219160556793213, 'Y': 0.7054519057273865, 'Z': -0.06490278989076614}, {'X': 0.6228999495506287, 'Y': 0.7803388833999634, 'Z': -0.07705944031476974}, {'X': 0.6979543566703796, 'Y': 0.7213926315307617, 'Z': -0.002299464773386717}, {'X': 0.6832488179206848, 'Y': 0.6265147924423218, 'Z': -0.04764001443982124}, {'X': 0.6708110570907593, 'Y': 0.7177898287773132, 'Z': -0.06444495916366577}, {'X': 0.6678833365440369, 'Y': 0.7993263602256775, 'Z': -0.06362725794315338}, {'X': 0.7531625628471375, 'Y': 0.7397837042808533, 'Z': -0.019373059272766113}, {'X': 0.7412864565849304, 'Y': 0.653137743473053, 'Z': -0.06377451866865158}, {'X': 0.7194299697875977, 'Y': 0.7497616410255432, 'Z': -0.06117285415530205}, {'X': 0.7094935774803162, 'Y': 0.8292964696884155, 'Z': -0.046255357563495636}, {'X': 0.8091689944267273, 'Y': 0.7710716128349304, 'Z': -0.038803618401288986}, {'X': 0.7958968877792358, 'Y': 0.7036443948745728, 'Z': -0.07112665474414825}, {'X': 0.7663331031799316, 'Y': 0.7672290802001953, 'Z': -0.06625548750162125}, {'X': 0.7495290040969849, 'Y': 0.827864408493042, 'Z': -0.05354899913072586}]
[{'X': 0.7280159592628479, 'Y': 1.0000841617584229, 'Z': -1.6653568479796377e-07}, {'X': 0.6548383831977844, 'Y': 0.9234919548034668, 'Z': -0.025845913216471672}, {'X': 0.636456310749054, 'Y': 0.7988365888595581, 'Z': -0.030561910942196846}, {'X': 0.6991969347000122, 'Y': 0.7211127281188965, 'Z': -0.036093804985284805}, {'X': 0.771904706954956, 'Y': 0.7217655777931213, 'Z': -0.03843160718679428}, {'X': 0.6420106291770935, 'Y': 0.7118579745292664, 'Z': 0.0018962160684168339}, {'X': 0.6299022436141968, 'Y': 0.6336498856544495, 'Z': -0.02633049711585045}, {'X': 0.6192264556884766, 'Y': 0.6105696558952332, 'Z': -0.053082216531038284}, {'X': 0.6128214597702026, 'Y': 0.6207258701324463, 'Z': -0.0695871114730835}, {'X': 0.6966201066970825, 'Y': 0.6972801685333252, 'Z': 0.0008653487311676145}, {'X': 0.6941360235214233, 'Y': 0.6008768081665039, 'Z': -0.021967969834804535}, {'X': 0.6850928664207458, 'Y': 0.5652584433555603, 'Z': -0.04257369786500931}, {'X': 0.6783343553543091, 'Y': 0.5719836950302124, 'Z': -0.05476917326450348}, {'X': 0.75019770860672, 'Y': 0.7134135961532593, 'Z': -0.0073563759215176105}, {'X': 0.7576971650123596, 'Y': 0.6129884123802185, 'Z': -0.037730321288108826}, {'X': 0.7483694553375244, 'Y': 0.6056496500968933, 'Z': -0.05750788375735283}, {'X': 0.7427899241447449, 'Y': 0.655937671661377, 'Z': -0.06361736357212067}, {'X': 0.8033137321472168, 'Y': 0.7419639825820923, 'Z': -0.018877748399972916}, {'X': 0.8204556703567505, 'Y': 0.6592400074005127, 'Z': -0.05479151010513306}, {'X': 0.8215584754943848, 'Y': 0.6304671764373779, 'Z': -0.0775756686925888}, {'X': 0.8207719326019287, 'Y': 0.6530188322067261, 'Z': -0.08721126616001129}]
[{'X': 0.7375661730766296, 'Y': 0.9997125864028931, 'Z': 3.0537077577719174e-07}, {'X': 0.6712790727615356, 'Y': 0.9360897541046143, 'Z': -0.02940901182591915}, {'X': 0.6416312456130981, 'Y': 0.8041754961013794, 'Z': -0.03568219393491745}, {'X': 0.7048419117927551, 'Y': 0.7173737287521362, 'Z': -0.04060518369078636}, {'X': 0.7807279825210571, 'Y': 0.7159485816955566, 'Z': -0.04609822854399681}, {'X': 0.6457529664039612, 'Y': 0.696758508682251, 'Z': -0.013255465775728226}, {'X': 0.6141132712364197, 'Y': 0.5878579616546631, 'Z': -0.027556704357266426}, {'X': 0.5925871133804321, 'Y': 0.5173724293708801, 'Z': -0.0433303527534008}, {'X': 0.5723023414611816, 'Y': 0.45398005843162537, 'Z': -0.05997946858406067}, {'X': 0.7028429508209229, 'Y': 0.6770287752151489, 'Z': -0.018491506576538086}, {'X': 0.6938164234161377, 'Y': 0.5461007356643677, 'Z': -0.029413994401693344}, {'X': 0.6888734102249146, 'Y': 0.4622246026992798, 'Z': -0.04577133432030678}, {'X': 0.6832091212272644, 'Y': 0.389466255903244, 'Z': -0.05988238751888275}, {'X': 0.7558324933052063, 'Y': 0.6979806423187256, 'Z': -0.02872880920767784}, {'X': 0.7596631050109863, 'Y': 0.573383092880249, 'Z': -0.048511236906051636}, {'X': 0.7566139698028564, 'Y': 0.484438955783844, 'Z': -0.07414263486862183}, {'X': 0.7521880865097046, 'Y': 0.40336233377456665, 'Z': -0.09394073486328125}, {'X': 0.8058047890663147, 'Y': 0.7430863976478577, 'Z': -0.042026881128549576}, {'X': 0.8415290117263794, 'Y': 0.6737585067749023, 'Z': -0.06659889966249466}, {'X': 0.8629562854766846, 'Y': 0.6140198707580566, 'Z': -0.08405153453350067}, {'X': 0.8796147704124451, 'Y': 0.559043288230896, 'Z': -0.09764553606510162}]
[{'X': 0.7385014295578003, 'Y': 0.9976754188537598, 'Z': 4.574406773372175e-07}, {'X': 0.673162043094635, 'Y': 0.9399593472480774, 'Z': -0.031786829233169556}, {'X': 0.64447021484375, 'Y': 0.8126146793365479, 'Z': -0.04144371673464775}, {'X': 0.708524227142334, 'Y': 0.7270132303237915, 'Z': -0.04871311038732529}, {'X': 0.7859249114990234, 'Y': 0.7183759212493896, 'Z': -0.056227199733257294}, {'X': 0.642529308795929, 'Y': 0.6841351985931396, 'Z': -0.022313984110951424}, {'X': 0.6017905473709106, 'Y': 0.5693130493164062, 'Z': -0.03913355618715286}, {'X': 0.5780627727508545, 'Y': 0.4922913908958435, 'Z': -0.055809881538152695}, {'X': 0.5567400455474854, 'Y': 0.4289862811565399, 'Z': -0.07277896255254745}, {'X': 0.7037836313247681, 'Y': 0.6643494367599487, 'Z': -0.027943504974246025}, {'X': 0.6890833973884583, 'Y': 0.5262318253517151, 'Z': -0.04069508984684944}, {'X': 0.6806283593177795, 'Y': 0.4395935535430908, 'Z': -0.05794636160135269}, {'X': 0.6700100898742676, 'Y': 0.3657086193561554, 'Z': -0.07222697883844376}, {'X': 0.7602041363716125, 'Y': 0.687632143497467, 'Z': -0.038594912737607956}, {'X': 0.7682532668113708, 'Y': 0.5579664707183838, 'Z': -0.06241675838828087}, {'X': 0.769277036190033, 'Y': 0.4628826081752777, 'Z': -0.09257280081510544}, {'X': 0.7684757709503174, 'Y': 0.3776566982269287, 'Z': -0.11516920477151871}, {'X': 0.8108189702033997, 'Y': 0.740191638469696, 'Z': -0.05183336138725281}, {'X': 0.8629346489906311, 'Y': 0.671928346157074, 'Z': -0.08505737781524658}, {'X': 0.899392306804657, 'Y': 0.6134661436080933, 'Z': -0.10914704948663712}, {'X': 0.9307184815406799, 'Y': 0.5598449110984802, 'Z': -0.12609943747520447}]
[{'X': 0.7376737594604492, 'Y': 0.9904900193214417, 'Z': 4.99108637086465e-07}, {'X': 0.670638382434845, 'Y': 0.931425929069519, 'Z': -0.042406514286994934}, {'X': 0.650604248046875, 'Y': 0.8242229223251343, 'Z': -0.05814339220523834}, {'X': 0.7264739871025085, 'Y': 0.7506383657455444, 'Z': -0.06878302246332169}, {'X': 0.8016960620880127, 'Y': 0.7312687635421753, 'Z': -0.07880160957574844}, {'X': 0.6502569913864136, 'Y': 0.6809360384941101, 'Z': -0.032405998557806015}, {'X': 0.6069505214691162, 'Y': 0.5640014410018921, 'Z': -0.0517401359975338}, {'X': 0.5854240655899048, 'Y': 0.4851491153240204, 'Z': -0.06941691786050797}, {'X': 0.5692445635795593, 'Y': 0.42209479212760925, 'Z': -0.0854102224111557}, {'X': 0.7173410654067993, 'Y': 0.6671127080917358, 'Z': -0.031810957938432693}, {'X': 0.7072733044624329, 'Y': 0.5303665995597839, 'Z': -0.04398714005947113}, {'X': 0.7030502557754517, 'Y': 0.44474899768829346, 'Z': -0.05853790044784546}, {'X': 0.6973668932914734, 'Y': 0.37001746892929077, 'Z': -0.07031599432229996}, {'X': 0.7740893959999084, 'Y': 0.6939844489097595, 'Z': -0.03734930232167244}, {'X': 0.7872602343559265, 'Y': 0.5673361420631409, 'Z': -0.06294149905443192}, {'X': 0.7911710739135742, 'Y': 0.47747260332107544, 'Z': -0.0893494039773941}, {'X': 0.7924416661262512, 'Y': 0.39784297347068787, 'Z': -0.10756383836269379}, {'X': 0.824693500995636, 'Y': 0.7517653703689575, 'Z': -0.046286195516586304}, {'X': 0.8805149793624878, 'Y': 0.6744166016578674, 'Z': -0.08193525671958923}, {'X': 0.9212368726730347, 'Y': 0.6239489316940308, 'Z': -0.10369878262281418}, {'X': 0.9534409642219543, 'Y': 0.5789512395858765, 'Z': -0.11693818122148514}]
[{'X': 0.7379298210144043, 'Y': 0.9942185282707214, 'Z': 5.503334818968142e-07}, {'X': 0.6716271638870239, 'Y': 0.938910722732544, 'Z': -0.04352908208966255}, {'X': 0.653681218624115, 'Y': 0.826330304145813, 'Z': -0.05855631083250046}, {'X': 0.7312050461769104, 'Y': 0.7502825260162354, 'Z': -0.0683957114815712}, {'X': 0.8046931028366089, 'Y': 0.727368950843811, 'Z': -0.07810951769351959}, {'X': 0.651072084903717, 'Y': 0.6852744817733765, 'Z': -0.035041507333517075}, {'X': 0.6097705960273743, 'Y': 0.5678956508636475, 'Z': -0.05374879762530327}, {'X': 0.5886555314064026, 'Y': 0.4862196445465088, 'Z': -0.070645272731781}, {'X': 0.5720574259757996, 'Y': 0.42120689153671265, 'Z': -0.08675225079059601}, {'X': 0.7202238440513611, 'Y': 0.670233428478241, 'Z': -0.03386835381388664}, {'X': 0.7106672525405884, 'Y': 0.5315296053886414, 'Z': -0.04683275148272514}, {'X': 0.706907331943512, 'Y': 0.4454376995563507, 'Z': -0.06303834170103073}, {'X': 0.7019023895263672, 'Y': 0.3725419342517853, 'Z': -0.07674217969179153}, {'X': 0.7788820266723633, 'Y': 0.6962178349494934, 'Z': -0.038613211363554}, {'X': 0.7929971218109131, 'Y': 0.571429967880249, 'Z': -0.06358373910188675}, {'X': 0.7951741218566895, 'Y': 0.48401960730552673, 'Z': -0.09248760342597961}, {'X': 0.7965936064720154, 'Y': 0.4083382487297058, 'Z': -0.11373559385538101}, {'X': 0.8295396566390991, 'Y': 0.7505456209182739, 'Z': -0.04688642546534538}, {'X': 0.8869062662124634, 'Y': 0.6787580251693726, 'Z': -0.0829026997089386}, {'X': 0.9254134893417358, 'Y': 0.6264476180076599, 'Z': -0.10790024697780609}, {'X': 0.957450270652771, 'Y': 0.5782867670059204, 'Z': -0.1244887188076973}]
[{'X': 0.7369959950447083, 'Y': 1.00093674659729, 'Z': 5.382480594562367e-07}, {'X': 0.6706773638725281, 'Y': 0.9439700245857239, 'Z': -0.04226519912481308}, {'X': 0.6497725248336792, 'Y': 0.8271034955978394, 'Z': -0.056517623364925385}, {'X': 0.7289003133773804, 'Y': 0.7525278925895691, 'Z': -0.06630080193281174}, {'X': 0.8059788346290588, 'Y': 0.7334190607070923, 'Z': -0.07614555954933167}, {'X': 0.6495648622512817, 'Y': 0.6870074272155762, 'Z': -0.033860817551612854}, {'X': 0.6053389310836792, 'Y': 0.5678887367248535, 'Z': -0.052900321781635284}, {'X': 0.5828455686569214, 'Y': 0.4863731563091278, 'Z': -0.06961524486541748}, {'X': 0.5655896067619324, 'Y': 0.4215623736381531, 'Z': -0.08542556315660477}, {'X': 0.7179571390151978, 'Y': 0.6715167164802551, 'Z': -0.03387671709060669}, {'X': 0.707794189453125, 'Y': 0.5317190885543823, 'Z': -0.047550637274980545}, {'X': 0.7045590877532959, 'Y': 0.4449611306190491, 'Z': -0.06388753652572632}, {'X': 0.6997271776199341, 'Y': 0.37210291624069214, 'Z': -0.07761630415916443}, {'X': 0.7760626673698425, 'Y': 0.6973103284835815, 'Z': -0.03998776525259018}, {'X': 0.791401743888855, 'Y': 0.5714697241783142, 'Z': -0.06561753898859024}, {'X': 0.7951797842979431, 'Y': 0.48407018184661865, 'Z': -0.09485543519258499}, {'X': 0.7955797910690308, 'Y': 0.40760520100593567, 'Z': -0.11611785739660263}, {'X': 0.8270710706710815, 'Y': 0.7505872249603271, 'Z': -0.04958390071988106}, {'X': 0.8854348659515381, 'Y': 0.6759892702102661, 'Z': -0.08485191315412521}, {'X': 0.9241670966148376, 'Y': 0.6233046650886536, 'Z': -0.10934530198574066}, {'X': 0.9545485973358154, 'Y': 0.574809730052948, 'Z': -0.12583540380001068}]
