[{'X': 0.7675030827522278, 'Y': 0.9740184545516968, 'Z': -1.1132932513646665e-06}, {'X': 0.6976068615913391, 'Y': 0.8793458938598633, 'Z': -0.006927003618329763}, {'X': 0.672195315361023, 'Y': 0.7586241960525513, 'Z': -0.015809737145900726}, {'X': 0.6990484595298767, 'Y': 0.6810453534126282, 'Z': -0.03381134197115898}, {'X': 0.7405563592910767, 'Y': 0.6277477741241455, 'Z': -0.049147870391607285}, {'X': 0.7372905015945435, 'Y': 0.6701158881187439, 'Z': 0.014699121937155724}, {'X': 0.7225215435028076, 'Y': 0.5697768330574036, 'Z': -0.029863106086850166}, {'X': 0.6914727687835693, 'Y': 0.6405259966850281, 'Z': -0.05837938189506531}, {'X': 0.6833353042602539, 'Y': 0.7115998268127441, 'Z': -0.06991159170866013}, {'X': 0.7820640206336975, 'Y': 0.6819453239440918, 'Z': -0.0019354233518242836}, {'X': 0.7695388793945312, 'Y': 0.5754681825637817, 'Z': -0.048846881836652756}, {'X': 0.7297090888023376, 'Y': 0.6710165143013, 'Z': -0.06376150250434875}, {'X': 0.7227151989936829, 'Y': 0.7515624761581421, 'Z': -0.06019098311662674}, {'X': 0.8293158411979675, 'Y': 0.7094335556030273, 'Z': -0.02531881257891655}, {'X': 0.8196890354156494, 'Y': 0.6032425165176392, 'Z': -0.0674821138381958}, {'X': 0.7712400555610657, 'Y': 0.696611225605011, 'Z': -0.059382207691669464}, {'X': 0.7564936280250549, 'Y': 0.7756192684173584, 'Z': -0.04019990563392639}, {'X': 0.8783154487609863, 'Y': 0.7516289949417114, 'Z': -0.05037723109126091}, {'X': 0.8631583452224731, 'Y': 0.6638660430908203, 'Z': -0.07473091036081314}, {'X': 0.8173298239707947, 'Y': 0.7162636518478394, 'Z': -0.06305661797523499}, {'X': 0.7977723479270935, 'Y': 0.7733754515647888, 'Z': -0.04587730020284653}]
[{'X': 0.7626515626907349, 'Y': 0.9832350015640259, 'Z': -1.11831332105794e-06}, {'X': 0.6917786598205566, 'Y': 0.8797861933708191, 'Z': -0.007958361878991127}, {'X': 0.6774049997329712, 'Y': 0.7522757053375244, 'Z': -0.019473733380436897}, {'X': 0.7260444760322571, 'Y': 0.675642192363739, 'Z': -0.039912134408950806}, {'X': 0.7834168672561646, 'Y': 0.6256687045097351, 'Z': -0.05740417540073395}, {'X': 0.7335245013237, 'Y': 0.6743437051773071, 'Z': 0.00897197425365448}, {'X': 0.7189220190048218, 'Y': 0.5691426396369934, 'Z': -0.03679681569337845}, {'X': 0.6825820207595825, 'Y': 0.6387075185775757, 'Z': -0.06589260697364807}, {'X': 0.6742033958435059, 'Y': 0.7102271318435669, 'Z': -0.07830791175365448}, {'X': 0.7791532874107361, 'Y': 0.6861321330070496, 'Z': -0.007956080138683319}, {'X': 0.7679503560066223, 'Y': 0.5746647119522095, 'Z': -0.05623086914420128}, {'X': 0.7253459692001343, 'Y': 0.669824481010437, 'Z': -0.07052477449178696}, {'X': 0.7198516130447388, 'Y': 0.7533184289932251, 'Z': -0.06690219789743423}, {'X': 0.8269804120063782, 'Y': 0.714074969291687, 'Z': -0.03142881393432617}, {'X': 0.8196099996566772, 'Y': 0.6070312261581421, 'Z': -0.0713958814740181}, {'X': 0.7686023712158203, 'Y': 0.6974583864212036, 'Z': -0.06088501960039139}, {'X': 0.7551739811897278, 'Y': 0.7760931849479675, 'Z': -0.04130890592932701}, {'X': 0.8762751221656799, 'Y': 0.7548991441726685, 'Z': -0.05714445933699608}, {'X': 0.8612650632858276, 'Y': 0.6655674576759338, 'Z': -0.0762237012386322}, {'X': 0.8162876963615417, 'Y': 0.715200662612915, 'Z': -0.061792194843292236}, {'X': 0.8011140823364258, 'Y': 0.7712336182594299, 'Z': -0.044402822852134705}]
[{'X': 0.7650997042655945, 'Y': 0.9898239970207214, 'Z': -1.1512865967233665e-06}, {'X': 0.6903879046440125, 'Y': 0.8875516057014465, 'Z': -0.00992635264992714}, {'X': 0.6649431586265564, 'Y': 0.7616745829582214, 'Z': -0.02116650715470314}, {'X': 0.6909916400909424, 'Y': 0.6729639172554016, 'Z': -0.04108631983399391}, {'X': 0.7333283424377441, 'Y': 0.6124520301818848, 'Z': -0.05747899040579796}, {'X': 0.7278731465339661, 'Y': 0.6759980320930481, 'Z': 0.011378430761396885}, {'X': 0.7184096574783325, 'Y': 0.5702378749847412, 'Z': -0.034159667789936066}, {'X': 0.6849791407585144, 'Y': 0.6428002119064331, 'Z': -0.06396005302667618}, {'X': 0.6779748201370239, 'Y': 0.7155241370201111, 'Z': -0.07705005258321762}, {'X': 0.7740370631217957, 'Y': 0.6857325434684753, 'Z': -0.004681299906224012}, {'X': 0.7679725885391235, 'Y': 0.5776616334915161, 'Z': -0.05182492360472679}, {'X': 0.7265791296958923, 'Y': 0.6727357506752014, 'Z': -0.06737076491117477}, {'X': 0.7216854095458984, 'Y': 0.7523477673530579, 'Z': -0.06540665775537491}, {'X': 0.8219121098518372, 'Y': 0.7108656764030457, 'Z': -0.02775401435792446}, {'X': 0.8211727142333984, 'Y': 0.6029565334320068, 'Z': -0.06734106689691544}, {'X': 0.7719039916992188, 'Y': 0.6908890008926392, 'Z': -0.058724284172058105}, {'X': 0.7596628069877625, 'Y': 0.7670464515686035, 'Z': -0.04122486710548401}, {'X': 0.8704849481582642, 'Y': 0.7495377063751221, 'Z': -0.05327143147587776}, {'X': 0.8609135150909424, 'Y': 0.6619023680686951, 'Z': -0.07308126240968704}, {'X': 0.8166705369949341, 'Y': 0.7097451686859131, 'Z': -0.060409512370824814}, {'X': 0.8012718558311462, 'Y': 0.7639316320419312, 'Z': -0.044325392693281174}]
[{'X': 0.7596766352653503, 'Y': 0.9789503216743469, 'Z': -9.1213621544739e-07}, {'X': 0.6838595867156982, 'Y': 0.9002043008804321, 'Z': -0.015432086773216724}, {'X': 0.6536425948143005, 'Y': 0.7784767150878906, 'Z': -0.028169451281428337}, {'X': 0.7018783688545227, 'Y': 0.7157225608825684, 'Z': -0.048486534506082535}, {'X': 0.7717732191085815, 'Y': 0.7144896388053894, 'Z': -0.06661389023065567}, {'X': 0.7091035842895508, 'Y': 0.677030622959137, 'Z': -0.0027759310323745012}, {'X': 0.7025203108787537, 'Y': 0.5623530149459839, 'Z': -0.04855147376656532}, {'X': 0.6767290234565735, 'Y': 0.6228310465812683, 'Z': -0.0791388750076294}, {'X': 0.6717121005058289, 'Y': 0.6977274417877197, 'Z': -0.09309931844472885}, {'X': 0.7614234089851379, 'Y': 0.6814031600952148, 'Z': -0.016931194812059402}, {'X': 0.7638837695121765, 'Y': 0.5562847256660461, 'Z': -0.06407865136861801}, {'X': 0.7270885705947876, 'Y': 0.6336284279823303, 'Z': -0.08126598596572876}, {'X': 0.7187573313713074, 'Y': 0.7178292274475098, 'Z': -0.08110394328832626}, {'X': 0.81428462266922, 'Y': 0.7052693963050842, 'Z': -0.03802604228258133}, {'X': 0.8224085569381714, 'Y': 0.584906280040741, 'Z': -0.07695013284683228}, {'X': 0.7780993580818176, 'Y': 0.6525641679763794, 'Z': -0.07962316274642944}, {'X': 0.7626908421516418, 'Y': 0.729086697101593, 'Z': -0.07037212699651718}, {'X': 0.8687959909439087, 'Y': 0.7436984777450562, 'Z': -0.06204258278012276}, {'X': 0.8783392310142517, 'Y': 0.6465044021606445, 'Z': -0.08343535661697388}, {'X': 0.8367159366607666, 'Y': 0.6750637292861938, 'Z': -0.08112715929746628}, {'X': 0.8124952912330627, 'Y': 0.7278987169265747, 'Z': -0.07388270646333694}]
[{'X': 0.750715434551239, 'Y': 0.9907189011573792, 'Z': -5.6120022406958014e-08}, {'X': 0.6719818115234375, 'Y': 0.9096481204032898, 'Z': -0.01622137241065502}, {'X': 0.6272909641265869, 'Y': 0.8088357448577881, 'Z': -0.01821107417345047}, {'X': 0.6282970309257507, 'Y': 0.7065667510032654, 'Z': -0.02100183255970478}, {'X': 0.6564076542854309, 'Y': 0.6470174193382263, 'Z': -0.019980408251285553}, {'X': 0.6941617727279663, 'Y': 0.6623753905296326, 'Z': 0.012832406908273697}, {'X': 0.6835959553718567, 'Y': 0.5726478099822998, 'Z': -0.002541058696806431}, {'X': 0.6746088266372681, 'Y': 0.5235533714294434, 'Z': -0.02515065297484398}, {'X': 0.6613765954971313, 'Y': 0.4860387444496155, 'Z': -0.044197507202625275}, {'X': 0.7498396039009094, 'Y': 0.6627475023269653, 'Z': 0.006341276224702597}, {'X': 0.7634119987487793, 'Y': 0.5531192421913147, 'Z': -0.008379525505006313}, {'X': 0.7550876140594482, 'Y': 0.5064754486083984, 'Z': -0.029491374269127846}, {'X': 0.7339380979537964, 'Y': 0.4989168643951416, 'Z': -0.044570233672857285}, {'X': 0.8033498525619507, 'Y': 0.6923744082450867, 'Z': -0.005249885842204094}, {'X': 0.8237857222557068, 'Y': 0.5834983587265015, 'Z': -0.02867896482348442}, {'X': 0.8139715194702148, 'Y': 0.5377364754676819, 'Z': -0.04554186761379242}, {'X': 0.7860358953475952, 'Y': 0.5554178953170776, 'Z': -0.053479406982660294}, {'X': 0.858784556388855, 'Y': 0.7354236245155334, 'Z': -0.019161419942975044}, {'X': 0.9010512232780457, 'Y': 0.6454377770423889, 'Z': -0.048199363052845}, {'X': 0.8907734155654907, 'Y': 0.6046525239944458, 'Z': -0.06408856064081192}, {'X': 0.8587713241577148, 'Y': 0.6160188317298889, 'Z': -0.0705593079328537}]
[{'X': 0.7534127831459045, 'Y': 1.0027070045471191, 'Z': 4.067523775574955e-07}, {'X': 0.6633957624435425, 'Y': 0.937515377998352, 'Z': -0.03520392253994942}, {'X': 0.5993248224258423, 'Y': 0.819527804851532, 'Z': -0.04806051403284073}, {'X': 0.5680264830589294, 'Y': 0.7133563160896301, 'Z': -0.05941174179315567}, {'X': 0.5403445363044739, 'Y': 0.6252289414405823, 'Z': -0.06964272260665894}, {'X': 0.6708528399467468, 'Y': 0.6601552367210388, 'Z': -0.015614841133356094}, {'X': 0.632611870765686, 'Y': 0.5416203141212463, 'Z': -0.03791945055127144}, {'X': 0.6099951863288879, 'Y': 0.46071553230285645, 'Z': -0.057120416313409805}, {'X': 0.5947020649909973, 'Y': 0.39508160948753357, 'Z': -0.07284067571163177}, {'X': 0.7375457286834717, 'Y': 0.6444974541664124, 'Z': -0.021648570895195007}, {'X': 0.7284505367279053, 'Y': 0.5022827386856079, 'Z': -0.03675958141684532}, {'X': 0.7269275784492493, 'Y': 0.4150368571281433, 'Z': -0.05284727364778519}, {'X': 0.726921021938324, 'Y': 0.3431122303009033, 'Z': -0.06572585552930832}, {'X': 0.8004139065742493, 'Y': 0.6670771837234497, 'Z': -0.03505915030837059}, {'X': 0.817781925201416, 'Y': 0.531697154045105, 'Z': -0.06538654118776321}, {'X': 0.825810968875885, 'Y': 0.4439546465873718, 'Z': -0.09088189154863358}, {'X': 0.8311872482299805, 'Y': 0.3660096824169159, 'Z': -0.10853046178817749}, {'X': 0.858385443687439, 'Y': 0.7212377786636353, 'Z': -0.051337942481040955}, {'X': 0.9217015504837036, 'Y': 0.6444450616836548, 'Z': -0.08960788697004318}, {'X': 0.96165931224823, 'Y': 0.5852238535881042, 'Z': -0.11264389008283615}, {'X': 0.995843231678009, 'Y': 0.5269792079925537, 'Z': -0.12714381515979767}]
[{'X': 0.7546849846839905, 'Y': 1.0078572034835815, 'Z': 4.951572805111937e-07}, {'X': 0.6679627895355225, 'Y': 0.9548571109771729, 'Z': -0.044551242142915726}, {'X': 0.5928550958633423, 'Y': 0.8477315902709961, 'Z': -0.06265925616025925}, {'X': 0.5411193370819092, 'Y': 0.7531506419181824, 'Z': -0.07714086771011353}, {'X': 0.4944654703140259, 'Y': 0.6807831525802612, 'Z': -0.09038694202899933}, {'X': 0.6698796153068542, 'Y': 0.6601963043212891, 'Z': -0.029431426897644997}, {'X': 0.6294103860855103, 'Y': 0.5369821190834045, 'Z': -0.05412733554840088}, {'X': 0.6041530966758728, 'Y': 0.4577008783817291, 'Z': -0.07522580027580261}, {'X': 0.585243821144104, 'Y': 0.3932279944419861, 'Z': -0.09198100119829178}, {'X': 0.7395983934402466, 'Y': 0.6433069705963135, 'Z': -0.03200337290763855}, {'X': 0.7269018292427063, 'Y': 0.4995526373386383, 'Z': -0.04576760157942772}, {'X': 0.7183346748352051, 'Y': 0.4155891537666321, 'Z': -0.06043260544538498}, {'X': 0.7123331427574158, 'Y': 0.34746140241622925, 'Z': -0.07244732975959778}, {'X': 0.8049161434173584, 'Y': 0.6661252379417419, 'Z': -0.04232830926775932}, {'X': 0.8243439197540283, 'Y': 0.533326268196106, 'Z': -0.06999155133962631}, {'X': 0.8295443058013916, 'Y': 0.45123153924942017, 'Z': -0.09296324104070663}, {'X': 0.8326343297958374, 'Y': 0.37955713272094727, 'Z': -0.10946909338235855}, {'X': 0.8629144430160522, 'Y': 0.7223803997039795, 'Z': -0.05667395889759064}, {'X': 0.9255117774009705, 'Y': 0.6536869406700134, 'Z': -0.09434453397989273}, {'X': 0.9638208150863647, 'Y': 0.6037268042564392, 'Z': -0.1159917563199997}, {'X': 0.9965460896492004, 'Y': 0.5556640028953552, 'Z': -0.1291448473930359}]
[{'X': 0.7527424097061157, 'Y': 1.0062326192855835, 'Z': 5.282494726088771e-07}, {'X': 0.6652911901473999, 'Y': 0.9560282230377197, 'Z': -0.045916784554719925}, {'X': 0.589189350605011, 'Y': 0.8508979082107544, 'Z': -0.06606937944889069}, {'X': 0.5367409586906433, 'Y': 0.7572270035743713, 'Z': -0.08214651048183441}, {'X': 0.49123522639274597, 'Y': 0.6835712790489197, 'Z': -0.09706665575504303}, {'X': 0.6650294661521912, 'Y': 0.6628090739250183, 'Z': -0.03446190431714058}, {'X': 0.6248133182525635, 'Y': 0.5396294593811035, 'Z': -0.06077180802822113}, {'X': 0.6008164882659912, 'Y': 0.459581196308136, 'Z': -0.08268357813358307}, {'X': 0.5842000842094421, 'Y': 0.39309436082839966, 'Z': -0.10003624856472015}, {'X': 0.7353639602661133, 'Y': 0.6457048058509827, 'Z': -0.037386029958724976}, {'X': 0.7223988175392151, 'Y': 0.5015281438827515, 'Z': -0.05426323041319847}, {'X': 0.7145463824272156, 'Y': 0.4145527780056, 'Z': -0.07176561653614044}, {'X': 0.7098525166511536, 'Y': 0.3423152565956116, 'Z': -0.08580516278743744}, {'X': 0.8009653687477112, 'Y': 0.6682525873184204, 'Z': -0.04774407669901848}, {'X': 0.8201016187667847, 'Y': 0.5358445644378662, 'Z': -0.0782858207821846}, {'X': 0.825235903263092, 'Y': 0.45209845900535583, 'Z': -0.10410910844802856}, {'X': 0.8282374143600464, 'Y': 0.3773481547832489, 'Z': -0.12251061201095581}, {'X': 0.8595579862594604, 'Y': 0.7241264581680298, 'Z': -0.06188635900616646}, {'X': 0.9226852655410767, 'Y': 0.652677595615387, 'Z': -0.10117635875940323}, {'X': 0.9616894721984863, 'Y': 0.6017283201217651, 'Z': -0.12412308156490326}, {'X': 0.9942831993103027, 'Y': 0.5528778433799744, 'Z': -0.1384136825799942}]
[{'X': 0.7444732189178467, 'Y': 1.0062062740325928, 'Z': 5.100940256852482e-07}, {'X': 0.660677969455719, 'Y': 0.9556742906570435, 'Z': -0.04503525793552399}, {'X': 0.5860178470611572, 'Y': 0.8507710099220276, 'Z': -0.06490115821361542}, {'X': 0.5338077545166016, 'Y': 0.7575369477272034, 'Z': -0.0808010995388031}, {'X': 0.4890943169593811, 'Y': 0.6835231184959412, 'Z': -0.0954502746462822}, {'X': 0.6635099649429321, 'Y': 0.6626850962638855, 'Z': -0.03400436416268349}, {'X': 0.6225156784057617, 'Y': 0.5398242473602295, 'Z': -0.05935722589492798}, {'X': 0.5980212092399597, 'Y': 0.4601411819458008, 'Z': -0.08000091463327408}, {'X': 0.5812652707099915, 'Y': 0.39545148611068726, 'Z': -0.09624015539884567}, {'X': 0.732577383518219, 'Y': 0.6470707654953003, 'Z': -0.03688422217965126}, {'X': 0.7182984948158264, 'Y': 0.5021913051605225, 'Z': -0.05242547765374184}, {'X': 0.7093310356140137, 'Y': 0.41612860560417175, 'Z': -0.06810791045427322}, {'X': 0.7036460638046265, 'Y': 0.34684792160987854, 'Z': -0.08077453821897507}, {'X': 0.797395646572113, 'Y': 0.6700060367584229, 'Z': -0.04714519903063774}, {'X': 0.8162634372711182, 'Y': 0.5371208190917969, 'Z': -0.07638663798570633}, {'X': 0.8209381103515625, 'Y': 0.45442938804626465, 'Z': -0.10058273375034332}, {'X': 0.8232567310333252, 'Y': 0.3819900155067444, 'Z': -0.1178399994969368}, {'X': 0.8553223609924316, 'Y': 0.7261889576911926, 'Z': -0.06118396669626236}, {'X': 0.9176932573318481, 'Y': 0.6538864970207214, 'Z': -0.0990884006023407}, {'X': 0.9564957022666931, 'Y': 0.6023043394088745, 'Z': -0.12104476988315582}, {'X': 0.9889616966247559, 'Y': 0.553387463092804, 'Z': -0.13470016419887543}]
[{'X': 0.7448793649673462, 'Y': 1.0107922554016113, 'Z': 4.975480010216415e-07}, {'X': 0.6595077514648438, 'Y': 0.960456132888794, 'Z': -0.04544879496097565}, {'X': 0.5842747688293457, 'Y': 0.8566011786460876, 'Z': -0.06619799137115479}, {'X': 0.5318294167518616, 'Y': 0.7636234164237976, 'Z': -0.08328157663345337}, {'X': 0.48738062381744385, 'Y': 0.6878489255905151, 'Z': -0.09939070045948029}, {'X': 0.6586006283760071, 'Y': 0.6691453456878662, 'Z': -0.036734115332365036}, {'X': 0.6179485321044922, 'Y': 0.5446861982345581, 'Z': -0.06465758383274078}, {'X': 0.5943540334701538, 'Y': 0.46346473693847656, 'Z': -0.087095707654953}, {'X': 0.5782907009124756, 'Y': 0.3950108587741852, 'Z': -0.10466860979795456}, {'X': 0.7284947633743286, 'Y': 0.6515293717384338, 'Z': -0.040317073464393616}, {'X': 0.7156405448913574, 'Y': 0.5042837858200073, 'Z': -0.059159599244594574}, {'X': 0.7074292898178101, 'Y': 0.4150564670562744, 'Z': -0.07709119468927383}, {'X': 0.7014927864074707, 'Y': 0.33969026803970337, 'Z': -0.09103988856077194}, {'X': 0.794144332408905, 'Y': 0.6738613843917847, 'Z': -0.05117521807551384}, {'X': 0.8128541707992554, 'Y': 0.5388171672821045, 'Z': -0.08339911699295044}, {'X': 0.8178495764732361, 'Y': 0.451632022857666, 'Z': -0.10945111513137817}, {'X': 0.8202321529388428, 'Y': 0.3738190829753876, 'Z': -0.1276206076145172}, {'X': 0.852765679359436, 'Y': 0.7296102643013, 'Z': -0.06575119495391846}, {'X': 0.9164869785308838, 'Y': 0.6564072966575623, 'Z': -0.1066255196928978}, {'X': 0.9563933610916138, 'Y': 0.6028133630752563, 'Z': -0.1301918923854828}, {'X': 0.9896552562713623, 'Y': 0.551906943321228, 'Z': -0.14460141956806183}]
[{'X': 0.7354149222373962, 'Y': 1.00993013381958, 'Z': 5.499594522007101e-07}, {'X': 0.6480555534362793, 'Y': 0.9625407457351685, 'Z': -0.045009952038526535}, {'X': 0.5746811628341675, 'Y': 0.8564272522926331, 'Z': -0.06591080129146576}, {'X': 0.5217352509498596, 'Y': 0.7630111575126648, 'Z': -0.0832371860742569}, {'X': 0.4745754599571228, 'Y': 0.692636251449585, 'Z': -0.09998369216918945}, {'X': 0.6506873965263367, 'Y': 0.6699321866035461, 'Z': -0.03582955151796341}, {'X': 0.6122379302978516, 'Y': 0.5463400483131409, 'Z': -0.0639725774526596}, {'X': 0.589229941368103, 'Y': 0.4648069143295288, 'Z': -0.08728379011154175}, {'X': 0.5746259689331055, 'Y': 0.39615076780319214, 'Z': -0.10565192252397537}, {'X': 0.7216929793357849, 'Y': 0.6546581983566284, 'Z': -0.04009938985109329}, {'X': 0.7086241841316223, 'Y': 0.5100277662277222, 'Z': -0.05982346832752228}, {'X': 0.700489342212677, 'Y': 0.4203031063079834, 'Z': -0.07976387441158295}, {'X': 0.6958082318305969, 'Y': 0.34427547454833984, 'Z': -0.09527835249900818}, {'X': 0.7880001068115234, 'Y': 0.6781054139137268, 'Z': -0.05145029351115227}, {'X': 0.8065873980522156, 'Y': 0.5422592163085938, 'Z': -0.08389369398355484}, {'X': 0.8118236660957336, 'Y': 0.4555262327194214, 'Z': -0.11057305335998535}, {'X': 0.8151347041130066, 'Y': 0.3771670460700989, 'Z': -0.12921518087387085}, {'X': 0.8472621440887451, 'Y': 0.7345664501190186, 'Z': -0.06638620793819427}, {'X': 0.9095590710639954, 'Y': 0.657902717590332, 'Z': -0.1067177802324295}, {'X': 0.9483802914619446, 'Y': 0.6027546525001526, 'Z': -0.1298874020576477}, {'X': 0.9811737537384033, 'Y': 0.5501875281333923, 'Z': -0.14415381848812103}]
