[{'X': 0.6843713521957397, 'Y': 1.0105847120285034, 'Z': -7.555768775091565e-07}, {'X': 0.6257753968238831, 'Y': 0.93285071849823, 'Z': -0.02820621244609356}, {'X': 0.5897257328033447, 'Y': 0.8313432931900024, 'Z': -0.05135408043861389}, {'X': 0.6071752309799194, 'Y': 0.7432092428207397, 'Z': -0.07886597514152527}, {'X': 0.6658802628517151, 'Y': 0.7156527638435364, 'Z': -0.10086123645305634}, {'X': 0.6346157193183899, 'Y': 0.711355984210968, 'Z': -0.012171833775937557}, {'X': 0.6356621980667114, 'Y': 0.6106761693954468, 'Z': -0.059623345732688904}, {'X': 0.6268420219421387, 'Y': 0.6578143835067749, 'Z': -0.0865560993552208}, {'X': 0.6219422817230225, 'Y': 0.7179315686225891, 'Z': -0.09740275889635086}, {'X': 0.6891953945159912, 'Y': 0.7288883328437805, 'Z': -0.019734203815460205}, {'X': 0.6930493116378784, 'Y': 0.64328533411026, 'Z': -0.07081238925457001}, {'X': 0.673073410987854, 'Y': 0.7305334806442261, 'Z': -0.08459930121898651}, {'X': 0.6626175045967102, 'Y': 0.7890627980232239, 'Z': -0.08176261186599731}, {'X': 0.7441914081573486, 'Y': 0.7583955526351929, 'Z': -0.034655842930078506}, {'X': 0.747348427772522, 'Y': 0.6775596141815186, 'Z': -0.08280295878648758}, {'X': 0.7172694206237793, 'Y': 0.7751426100730896, 'Z': -0.07200577110052109}, {'X': 0.7019683122634888, 'Y': 0.8418785333633423, 'Z': -0.050646115094423294}, {'X': 0.7976579070091248, 'Y': 0.7995978593826294, 'Z': -0.05295831710100174}, {'X': 0.8002603650093079, 'Y': 0.735997200012207, 'Z': -0.07820430397987366}, {'X': 0.7712985873222351, 'Y': 0.7858433127403259, 'Z': -0.06590201705694199}, {'X': 0.7553604245185852, 'Y': 0.8258209228515625, 'Z': -0.04907488450407982}]
[{'X': 0.6819510459899902, 'Y': 1.0071271657943726, 'Z': -7.999021249815996e-07}, {'X': 0.6256297826766968, 'Y': 0.9299103021621704, 'Z': -0.028525179252028465}, {'X': 0.5894306302070618, 'Y': 0.8299682140350342, 'Z': -0.052188485860824585}, {'X': 0.6083537340164185, 'Y': 0.7428120374679565, 'Z': -0.07971211522817612}, {'X': 0.667775571346283, 'Y': 0.7127563953399658, 'Z': -0.10137295722961426}, {'X': 0.6328611969947815, 'Y': 0.7081796526908875, 'Z': -0.01485922746360302}, {'X': 0.6350856423377991, 'Y': 0.6110246181488037, 'Z': -0.06325855851173401}, {'X': 0.6264521479606628, 'Y': 0.6681724190711975, 'Z': -0.08955588191747665}, {'X': 0.6225643754005432, 'Y': 0.7282183170318604, 'Z': -0.09967995434999466}, {'X': 0.6881426572799683, 'Y': 0.7263959646224976, 'Z': -0.02206900343298912}, {'X': 0.6926701664924622, 'Y': 0.6441615223884583, 'Z': -0.07342775166034698}, {'X': 0.6726293563842773, 'Y': 0.7368455529212952, 'Z': -0.08587941527366638}, {'X': 0.6623066067695618, 'Y': 0.793681800365448, 'Z': -0.08201862126588821}, {'X': 0.7435598969459534, 'Y': 0.7568106055259705, 'Z': -0.036594245582818985}, {'X': 0.747032642364502, 'Y': 0.6783986687660217, 'Z': -0.08555620908737183}, {'X': 0.7168624997138977, 'Y': 0.777910053730011, 'Z': -0.07422052323818207}, {'X': 0.7015645503997803, 'Y': 0.8416743874549866, 'Z': -0.05235666036605835}, {'X': 0.7969438433647156, 'Y': 0.7988477945327759, 'Z': -0.05420353263616562}, {'X': 0.798088788986206, 'Y': 0.7357152104377747, 'Z': -0.07987752556800842}, {'X': 0.769780158996582, 'Y': 0.7880659699440002, 'Z': -0.06703072041273117}, {'X': 0.755231499671936, 'Y': 0.8270657062530518, 'Z': -0.04952799156308174}]
[{'X': 0.6781338453292847, 'Y': 1.0110700130462646, 'Z': -8.836928486744e-07}, {'X': 0.6235345005989075, 'Y': 0.9331663846969604, 'Z': -0.02841475047171116}, {'X': 0.5878236889839172, 'Y': 0.8310254216194153, 'Z': -0.051568664610385895}, {'X': 0.6034940481185913, 'Y': 0.7420080304145813, 'Z': -0.0790124461054802}, {'X': 0.6607213020324707, 'Y': 0.7136422395706177, 'Z': -0.09998694062232971}, {'X': 0.6338551640510559, 'Y': 0.7019579410552979, 'Z': -0.012909414246678352}, {'X': 0.6335281729698181, 'Y': 0.6066938638687134, 'Z': -0.06331376731395721}, {'X': 0.6230087280273438, 'Y': 0.6727452874183655, 'Z': -0.08905905485153198}, {'X': 0.6203581690788269, 'Y': 0.7317915558815002, 'Z': -0.09812554717063904}, {'X': 0.6886195540428162, 'Y': 0.7224059700965881, 'Z': -0.02104249782860279}, {'X': 0.6898836493492126, 'Y': 0.6428843140602112, 'Z': -0.07445646077394485}, {'X': 0.6674705743789673, 'Y': 0.741910457611084, 'Z': -0.08516715466976166}, {'X': 0.659818708896637, 'Y': 0.7950613498687744, 'Z': -0.07915578037500381}, {'X': 0.7437041997909546, 'Y': 0.7558475136756897, 'Z': -0.0370972715318203}, {'X': 0.7433712482452393, 'Y': 0.6812053918838501, 'Z': -0.08881542086601257}, {'X': 0.7121837139129639, 'Y': 0.784534215927124, 'Z': -0.07601931691169739}, {'X': 0.7005653381347656, 'Y': 0.8438253402709961, 'Z': -0.05207257345318794}, {'X': 0.7967188954353333, 'Y': 0.8007600903511047, 'Z': -0.056198958307504654}, {'X': 0.7957718372344971, 'Y': 0.7365816235542297, 'Z': -0.08214764297008514}, {'X': 0.7672764658927917, 'Y': 0.7904888391494751, 'Z': -0.0679033175110817}, {'X': 0.7561116814613342, 'Y': 0.8275151252746582, 'Z': -0.04891209304332733}]
[{'X': 0.6810935735702515, 'Y': 1.0126798152923584, 'Z': -7.733863185421797e-07}, {'X': 0.6233761310577393, 'Y': 0.932720959186554, 'Z': -0.026558587327599525}, {'X': 0.5888841152191162, 'Y': 0.8302736878395081, 'Z': -0.04964675009250641}, {'X': 0.6080242395401001, 'Y': 0.7419736385345459, 'Z': -0.07746071368455887}, {'X': 0.666761040687561, 'Y': 0.715222954750061, 'Z': -0.0998314842581749}, {'X': 0.6322593688964844, 'Y': 0.7113832235336304, 'Z': -0.013078316114842892}, {'X': 0.6342817544937134, 'Y': 0.6080836653709412, 'Z': -0.060483694076538086}, {'X': 0.6245282292366028, 'Y': 0.6558624505996704, 'Z': -0.08656074851751328}, {'X': 0.6191163063049316, 'Y': 0.7173545360565186, 'Z': -0.09646352380514145}, {'X': 0.6869518160820007, 'Y': 0.730599582195282, 'Z': -0.021659595891833305}, {'X': 0.6917728185653687, 'Y': 0.6431617140769958, 'Z': -0.07232312858104706}, {'X': 0.6715324521064758, 'Y': 0.7306942343711853, 'Z': -0.0850466787815094}, {'X': 0.6609511375427246, 'Y': 0.7904425859451294, 'Z': -0.08140191435813904}, {'X': 0.7424712181091309, 'Y': 0.7610507607460022, 'Z': -0.03733412176370621}, {'X': 0.7454854249954224, 'Y': 0.6788649559020996, 'Z': -0.08493107557296753}, {'X': 0.7157988548278809, 'Y': 0.776231050491333, 'Z': -0.07359020411968231}, {'X': 0.7009233236312866, 'Y': 0.8433462977409363, 'Z': -0.05198799446225166}, {'X': 0.7964155077934265, 'Y': 0.8025506138801575, 'Z': -0.05620848387479782}, {'X': 0.7986226081848145, 'Y': 0.7374502420425415, 'Z': -0.08046814799308777}, {'X': 0.7701040506362915, 'Y': 0.7870878577232361, 'Z': -0.06728635728359222}, {'X': 0.7548662424087524, 'Y': 0.827678918838501, 'Z': -0.04996897280216217}]
[{'X': 0.6801801323890686, 'Y': 1.0057373046875, 'Z': -8.04199771664571e-07}, {'X': 0.6249681711196899, 'Y': 0.9290952086448669, 'Z': -0.02730482444167137}, {'X': 0.5891212224960327, 'Y': 0.8253514766693115, 'Z': -0.049779459834098816}, {'X': 0.6104353666305542, 'Y': 0.7386836409568787, 'Z': -0.07656676322221756}, {'X': 0.6714821457862854, 'Y': 0.719872236251831, 'Z': -0.09781129658222198}, {'X': 0.6336511969566345, 'Y': 0.7024534940719604, 'Z': -0.011900674551725388}, {'X': 0.6362204551696777, 'Y': 0.6058547496795654, 'Z': -0.06071779504418373}, {'X': 0.6275896430015564, 'Y': 0.662930965423584, 'Z': -0.08785659074783325}, {'X': 0.6246331334114075, 'Y': 0.7233289480209351, 'Z': -0.0982755497097969}, {'X': 0.6893700361251831, 'Y': 0.7218704223632812, 'Z': -0.01965017430484295}, {'X': 0.6959918141365051, 'Y': 0.6411274075508118, 'Z': -0.07140619307756424}, {'X': 0.6733953356742859, 'Y': 0.7356535792350769, 'Z': -0.08363233506679535}, {'X': 0.6620742082595825, 'Y': 0.7938195466995239, 'Z': -0.07873892784118652}, {'X': 0.744533360004425, 'Y': 0.7537164688110352, 'Z': -0.034981198608875275}, {'X': 0.7486909627914429, 'Y': 0.6799883842468262, 'Z': -0.08402933925390244}, {'X': 0.7160098552703857, 'Y': 0.7782425880432129, 'Z': -0.0737612321972847}, {'X': 0.6995909214019775, 'Y': 0.8415325284004211, 'Z': -0.05187034234404564}, {'X': 0.7972028255462646, 'Y': 0.7973752021789551, 'Z': -0.05338415130972862}, {'X': 0.7989099025726318, 'Y': 0.7366966605186462, 'Z': -0.07846402376890182}, {'X': 0.7689013481140137, 'Y': 0.7863280773162842, 'Z': -0.06612537801265717}, {'X': 0.7532693147659302, 'Y': 0.8243037462234497, 'Z': -0.048703745007514954}]
[{'X': 0.6836108565330505, 'Y': 1.003585696220398, 'Z': -7.154600325520732e-07}, {'X': 0.6289231777191162, 'Y': 0.935536801815033, 'Z': -0.02794269099831581}, {'X': 0.5943175554275513, 'Y': 0.831207811832428, 'Z': -0.052513353526592255}, {'X': 0.610813319683075, 'Y': 0.7432346343994141, 'Z': -0.08161214739084244}, {'X': 0.6616876125335693, 'Y': 0.7080909013748169, 'Z': -0.10621904581785202}, {'X': 0.6388484239578247, 'Y': 0.7025041580200195, 'Z': -0.019810371100902557}, {'X': 0.6430335640907288, 'Y': 0.5847537517547607, 'Z': -0.07075034081935883}, {'X': 0.6393575072288513, 'Y': 0.6109100580215454, 'Z': -0.10017294436693192}, {'X': 0.6359358429908752, 'Y': 0.6724624037742615, 'Z': -0.1114388182759285}, {'X': 0.6932711601257324, 'Y': 0.7237523198127747, 'Z': -0.027411893010139465}, {'X': 0.698511004447937, 'Y': 0.642920196056366, 'Z': -0.08112991601228714}, {'X': 0.6750446557998657, 'Y': 0.7308639883995056, 'Z': -0.09244918823242188}, {'X': 0.66063392162323, 'Y': 0.7945036888122559, 'Z': -0.08685297518968582}, {'X': 0.747514009475708, 'Y': 0.7567302584648132, 'Z': -0.04247526079416275}, {'X': 0.7508898973464966, 'Y': 0.681667685508728, 'Z': -0.09215851873159409}, {'X': 0.7174442410469055, 'Y': 0.7753141522407532, 'Z': -0.08058430999517441}, {'X': 0.6984678506851196, 'Y': 0.8418049812316895, 'Z': -0.05862022563815117}, {'X': 0.7997398376464844, 'Y': 0.8009417057037354, 'Z': -0.060895953327417374}, {'X': 0.8028769493103027, 'Y': 0.7420827150344849, 'Z': -0.08961241692304611}, {'X': 0.771892249584198, 'Y': 0.7903684973716736, 'Z': -0.07845421880483627}, {'X': 0.754376232624054, 'Y': 0.8280448317527771, 'Z': -0.061616528779268265}]
[{'X': 0.6890377998352051, 'Y': 1.0080761909484863, 'Z': -6.092549824643356e-07}, {'X': 0.6371223330497742, 'Y': 0.95038902759552, 'Z': -0.03482784703373909}, {'X': 0.5984860062599182, 'Y': 0.8388272523880005, 'Z': -0.0570850633084774}, {'X': 0.6129021048545837, 'Y': 0.744864821434021, 'Z': -0.08127888292074203}, {'X': 0.6665109395980835, 'Y': 0.713033139705658, 'Z': -0.10354667901992798}, {'X': 0.6515207886695862, 'Y': 0.6961240172386169, 'Z': -0.022936664521694183}, {'X': 0.6502652168273926, 'Y': 0.5905854105949402, 'Z': -0.0574178472161293}, {'X': 0.644514799118042, 'Y': 0.5403341054916382, 'Z': -0.07900496572256088}, {'X': 0.6400056481361389, 'Y': 0.4943622946739197, 'Z': -0.09470668435096741}, {'X': 0.709392249584198, 'Y': 0.7174884676933289, 'Z': -0.029738515615463257}, {'X': 0.7124816179275513, 'Y': 0.6536552309989929, 'Z': -0.08805549144744873}, {'X': 0.6815853714942932, 'Y': 0.7415325045585632, 'Z': -0.10228768736124039}, {'X': 0.661838948726654, 'Y': 0.7989398241043091, 'Z': -0.09769134968519211}, {'X': 0.7623010873794556, 'Y': 0.7575663924217224, 'Z': -0.042000919580459595}, {'X': 0.761354923248291, 'Y': 0.7005940675735474, 'Z': -0.10242163389921188}, {'X': 0.7225227952003479, 'Y': 0.8012449741363525, 'Z': -0.09312746673822403}, {'X': 0.7024306058883667, 'Y': 0.8634073734283447, 'Z': -0.06990483403205872}, {'X': 0.8111454844474792, 'Y': 0.8115615844726562, 'Z': -0.05711682140827179}, {'X': 0.8115665912628174, 'Y': 0.7600334882736206, 'Z': -0.09639272093772888}, {'X': 0.7730007767677307, 'Y': 0.8179935216903687, 'Z': -0.08708420395851135}, {'X': 0.7491612434387207, 'Y': 0.8598030805587769, 'Z': -0.07015520334243774}]
[{'X': 0.6888068914413452, 'Y': 1.0039530992507935, 'Z': -4.4471090632214327e-07}, {'X': 0.6355153918266296, 'Y': 0.9426202178001404, 'Z': -0.04197239503264427}, {'X': 0.5977354645729065, 'Y': 0.8395549654960632, 'Z': -0.07133229821920395}, {'X': 0.6127604842185974, 'Y': 0.7551590204238892, 'Z': -0.10190476477146149}, {'X': 0.6655019521713257, 'Y': 0.716232419013977, 'Z': -0.13026638329029083}, {'X': 0.6502167582511902, 'Y': 0.6935110092163086, 'Z': -0.04276834800839424}, {'X': 0.6449472904205322, 'Y': 0.5589139461517334, 'Z': -0.08623773604631424}, {'X': 0.6428953409194946, 'Y': 0.48447319865226746, 'Z': -0.11433357000350952}, {'X': 0.6420153379440308, 'Y': 0.41522300243377686, 'Z': -0.13456296920776367}, {'X': 0.7075726985931396, 'Y': 0.7196060419082642, 'Z': -0.048550061881542206}, {'X': 0.7110063433647156, 'Y': 0.6546736359596252, 'Z': -0.11831963807344437}, {'X': 0.6793084740638733, 'Y': 0.7370437979698181, 'Z': -0.13669012486934662}, {'X': 0.6569899916648865, 'Y': 0.7897236943244934, 'Z': -0.13409359753131866}, {'X': 0.7594271302223206, 'Y': 0.7623212337493896, 'Z': -0.05959005653858185}, {'X': 0.7626133561134338, 'Y': 0.7057907581329346, 'Z': -0.12597689032554626}, {'X': 0.7221402525901794, 'Y': 0.8063658475875854, 'Z': -0.11370514333248138}, {'X': 0.6992939710617065, 'Y': 0.8678689002990723, 'Z': -0.08764513581991196}, {'X': 0.8061436414718628, 'Y': 0.8169410228729248, 'Z': -0.07455498725175858}, {'X': 0.8138541579246521, 'Y': 0.7671061158180237, 'Z': -0.11546320468187332}, {'X': 0.7752242088317871, 'Y': 0.8232020735740662, 'Z': -0.10305995494127274}, {'X': 0.7504885792732239, 'Y': 0.8613929152488708, 'Z': -0.0833551436662674}]
[{'X': 0.691493570804596, 'Y': 0.9995779991149902, 'Z': -4.034025096188998e-07}, {'X': 0.6376235485076904, 'Y': 0.9475148916244507, 'Z': -0.04313063994050026}, {'X': 0.6004824638366699, 'Y': 0.8433398008346558, 'Z': -0.07220815122127533}, {'X': 0.6227321624755859, 'Y': 0.7660349607467651, 'Z': -0.10116585344076157}, {'X': 0.6717519760131836, 'Y': 0.7282810807228088, 'Z': -0.12795419991016388}, {'X': 0.6556006669998169, 'Y': 0.6941756010055542, 'Z': -0.05047691613435745}, {'X': 0.6492924690246582, 'Y': 0.556255042552948, 'Z': -0.09684833139181137}, {'X': 0.6468545794487, 'Y': 0.4763917028903961, 'Z': -0.12800875306129456}, {'X': 0.6467662453651428, 'Y': 0.40293869376182556, 'Z': -0.1508614420890808}, {'X': 0.7143248915672302, 'Y': 0.7213308811187744, 'Z': -0.05509653687477112}, {'X': 0.7198910713195801, 'Y': 0.6591843366622925, 'Z': -0.12397131323814392}, {'X': 0.6885842680931091, 'Y': 0.7426380515098572, 'Z': -0.14179761707782745}, {'X': 0.6651789546012878, 'Y': 0.7933441996574402, 'Z': -0.14010407030582428}, {'X': 0.7664795517921448, 'Y': 0.7657655477523804, 'Z': -0.06478705257177353}, {'X': 0.7719524502754211, 'Y': 0.7107545137405396, 'Z': -0.13046829402446747}, {'X': 0.730349063873291, 'Y': 0.8127776980400085, 'Z': -0.1161373108625412}, {'X': 0.7061009407043457, 'Y': 0.872783899307251, 'Z': -0.09002256393432617}, {'X': 0.8130488991737366, 'Y': 0.8226566314697266, 'Z': -0.07848148792982101}, {'X': 0.8212733268737793, 'Y': 0.7773113250732422, 'Z': -0.12251678109169006}, {'X': 0.7811663746833801, 'Y': 0.8377600908279419, 'Z': -0.1101464033126831}, {'X': 0.7559582591056824, 'Y': 0.874834418296814, 'Z': -0.09037386626005173}]
[{'X': 0.6936723589897156, 'Y': 1.0069202184677124, 'Z': -4.165530071986723e-07}, {'X': 0.6408253908157349, 'Y': 0.9554721117019653, 'Z': -0.04079892486333847}, {'X': 0.6026935577392578, 'Y': 0.8491407632827759, 'Z': -0.0690135732293129}, {'X': 0.6239681839942932, 'Y': 0.7683920860290527, 'Z': -0.097252756357193}, {'X': 0.6796393990516663, 'Y': 0.7399238348007202, 'Z': -0.12350030243396759}, {'X': 0.655748724937439, 'Y': 0.6951364874839783, 'Z': -0.050045743584632874}, {'X': 0.6488179564476013, 'Y': 0.5531172156333923, 'Z': -0.09683264791965485}, {'X': 0.6468038558959961, 'Y': 0.47199344635009766, 'Z': -0.12857820093631744}, {'X': 0.6476395130157471, 'Y': 0.3979354500770569, 'Z': -0.15199372172355652}, {'X': 0.7146561741828918, 'Y': 0.7244418263435364, 'Z': -0.05537000298500061}, {'X': 0.7235563397407532, 'Y': 0.6615152359008789, 'Z': -0.12299417704343796}, {'X': 0.6913397908210754, 'Y': 0.7454690337181091, 'Z': -0.13947252929210663}, {'X': 0.6668117642402649, 'Y': 0.7933861017227173, 'Z': -0.1373158097267151}, {'X': 0.7664720416069031, 'Y': 0.7709938287734985, 'Z': -0.06552284210920334}, {'X': 0.7759917378425598, 'Y': 0.7181384563446045, 'Z': -0.12999144196510315}, {'X': 0.7319695949554443, 'Y': 0.8189874887466431, 'Z': -0.1151222512125969}, {'X': 0.7049897313117981, 'Y': 0.8764551281929016, 'Z': -0.08905955404043198}, {'X': 0.8114663362503052, 'Y': 0.8301424980163574, 'Z': -0.07949074357748032}, {'X': 0.8222411274909973, 'Y': 0.7886339426040649, 'Z': -0.12255661934614182}, {'X': 0.7810177206993103, 'Y': 0.8508285880088806, 'Z': -0.10973234474658966}, {'X': 0.7545979022979736, 'Y': 0.8872553110122681, 'Z': -0.08994156867265701}]
[{'X': 0.6920824646949768, 'Y': 1.0049495697021484, 'Z': -4.3059733911832154e-07}, {'X': 0.6392394304275513, 'Y': 0.9560982584953308, 'Z': -0.04191504791378975}, {'X': 0.600986659526825, 'Y': 0.8527014851570129, 'Z': -0.07131676375865936}, {'X': 0.621483325958252, 'Y': 0.7712391018867493, 'Z': -0.10043194144964218}, {'X': 0.6784263849258423, 'Y': 0.7443753480911255, 'Z': -0.127671480178833}, {'X': 0.6553471684455872, 'Y': 0.6957840919494629, 'Z': -0.052775789052248}, {'X': 0.6485756635665894, 'Y': 0.5515837669372559, 'Z': -0.09954190254211426}, {'X': 0.647165060043335, 'Y': 0.46896374225616455, 'Z': -0.1323709934949875}, {'X': 0.648481547832489, 'Y': 0.3945213258266449, 'Z': -0.15703491866588593}, {'X': 0.7139531373977661, 'Y': 0.7259447574615479, 'Z': -0.05764978006482124}, {'X': 0.7199628949165344, 'Y': 0.6671496033668518, 'Z': -0.1259826421737671}, {'X': 0.6901923418045044, 'Y': 0.7570616006851196, 'Z': -0.14301258325576782}, {'X': 0.667716920375824, 'Y': 0.8083124160766602, 'Z': -0.1418396383523941}, {'X': 0.7662650942802429, 'Y': 0.771964967250824, 'Z': -0.06719857454299927}, {'X': 0.7750562429428101, 'Y': 0.7138578295707703, 'Z': -0.13118451833724976}, {'X': 0.733604371547699, 'Y': 0.8144742846488953, 'Z': -0.11529973894357681}, {'X': 0.7075213193893433, 'Y': 0.8746018409729004, 'Z': -0.08941150456666946}, {'X': 0.8118523359298706, 'Y': 0.8301311731338501, 'Z': -0.08078854531049728}, {'X': 0.8219767212867737, 'Y': 0.781013011932373, 'Z': -0.12433549761772156}, {'X': 0.7808330655097961, 'Y': 0.8447074890136719, 'Z': -0.11077994108200073}, {'X': 0.7531548738479614, 'Y': 0.8863765597343445, 'Z': -0.09065879881381989}]
