[{'X': 0.8167790174484253, 'Y': 0.6472815275192261, 'Z': -2.5395306693098973e-06}, {'X': 0.7552747130393982, 'Y': 0.6138712167739868, 'Z': -0.055335067212581635}, {'X': 0.7188867926597595, 'Y': 0.5400661826133728, 'Z': -0.08046131581068039}, {'X': 0.7328372001647949, 'Y': 0.47203829884529114, 'Z': -0.09866669028997421}, {'X': 0.7585668563842773, 'Y': 0.43478208780288696, 'Z': -0.10110347718000412}, {'X': 0.7344110012054443, 'Y': 0.4733355939388275, 'Z': -0.05110735818743706}, {'X': 0.7229867577552795, 'Y': 0.41169068217277527, 'Z': -0.13927823305130005}, {'X': 0.7353572249412537, 'Y': 0.47860467433929443, 'Z': -0.18417493999004364}, {'X': 0.743506908416748, 'Y': 0.5258885622024536, 'Z': -0.1910536289215088}, {'X': 0.7754956483840942, 'Y': 0.4679352641105652, 'Z': -0.048171501606702805}, {'X': 0.7706529498100281, 'Y': 0.39645111560821533, 'Z': -0.14347805082798004}, {'X': 0.7708547115325928, 'Y': 0.4801146388053894, 'Z': -0.16948145627975464}, {'X': 0.7680544257164001, 'Y': 0.5256434082984924, 'Z': -0.15717491507530212}, {'X': 0.8171554207801819, 'Y': 0.47372108697891235, 'Z': -0.05663667246699333}, {'X': 0.8212148547172546, 'Y': 0.40596091747283936, 'Z': -0.1426600217819214}, {'X': 0.8108363747596741, 'Y': 0.4936100244522095, 'Z': -0.1546606421470642}, {'X': 0.80338454246521, 'Y': 0.5417637228965759, 'Z': -0.13245819509029388}, {'X': 0.8587108850479126, 'Y': 0.48969709873199463, 'Z': -0.06818383187055588}, {'X': 0.860970139503479, 'Y': 0.439899742603302, 'Z': -0.12270009517669678}, {'X': 0.8472045063972473, 'Y': 0.49788784980773926, 'Z': -0.12867185473442078}, {'X': 0.8372941613197327, 'Y': 0.5313865542411804, 'Z': -0.11360739916563034}]
[{'X': 0.8171919584274292, 'Y': 0.6512553095817566, 'Z': -1.9564242393244058e-05}, {'X': 0.7532912492752075, 'Y': 0.615546464920044, 'Z': -0.0506754107773304}, {'X': 0.7182227373123169, 'Y': 0.5391620993614197, 'Z': -0.07008645683526993}, {'X': 0.7362472414970398, 'Y': 0.4698408246040344, 'Z': -0.08221948146820068}, {'X': 0.7648912072181702, 'Y': 0.4360448122024536, 'Z': -0.07516602426767349}, {'X': 0.7347545623779297, 'Y': 0.4754873216152191, 'Z': -0.04507129639387131}, {'X': 0.7245163321495056, 'Y': 0.41088199615478516, 'Z': -0.1254672259092331}, {'X': 0.7369579076766968, 'Y': 0.48216041922569275, 'Z': -0.16607458889484406}, {'X': 0.7451618909835815, 'Y': 0.5307889580726624, 'Z': -0.17321905493736267}, {'X': 0.7764379978179932, 'Y': 0.46923765540122986, 'Z': -0.04355205222964287}, {'X': 0.770164430141449, 'Y': 0.39462631940841675, 'Z': -0.13509146869182587}, {'X': 0.7706630229949951, 'Y': 0.4797109365463257, 'Z': -0.15725384652614594}, {'X': 0.769559919834137, 'Y': 0.5254011154174805, 'Z': -0.1453441083431244}, {'X': 0.8180288076400757, 'Y': 0.4741723835468292, 'Z': -0.05298418179154396}, {'X': 0.8209825158119202, 'Y': 0.4025339186191559, 'Z': -0.13461266458034515}, {'X': 0.8107830882072449, 'Y': 0.49078044295310974, 'Z': -0.1439826935529709}, {'X': 0.803803026676178, 'Y': 0.5391266345977783, 'Z': -0.12187306582927704}, {'X': 0.8590641021728516, 'Y': 0.49008211493492126, 'Z': -0.06521381437778473}, {'X': 0.8619611859321594, 'Y': 0.43879762291908264, 'Z': -0.11649464815855026}, {'X': 0.8490751385688782, 'Y': 0.49588099122047424, 'Z': -0.12209714949131012}, {'X': 0.8398780226707458, 'Y': 0.5275740027427673, 'Z': -0.10838272422552109}]
[{'X': 0.8168187737464905, 'Y': 0.6529541015625, 'Z': -1.3824895177094731e-05}, {'X': 0.7530629634857178, 'Y': 0.6160740852355957, 'Z': -0.05351286008954048}, {'X': 0.7179120779037476, 'Y': 0.5409030914306641, 'Z': -0.07464700192213058}, {'X': 0.733283281326294, 'Y': 0.4723089933395386, 'Z': -0.08893690258264542}, {'X': 0.7609644532203674, 'Y': 0.4378166198730469, 'Z': -0.08612649887800217}, {'X': 0.7336822748184204, 'Y': 0.47599756717681885, 'Z': -0.045471519231796265}, {'X': 0.7233580946922302, 'Y': 0.41142722964286804, 'Z': -0.12827908992767334}, {'X': 0.7350755929946899, 'Y': 0.4796454608440399, 'Z': -0.17019599676132202}, {'X': 0.7435593008995056, 'Y': 0.5271113514900208, 'Z': -0.17614760994911194}, {'X': 0.7751736640930176, 'Y': 0.47019556164741516, 'Z': -0.04253518208861351}, {'X': 0.7693662643432617, 'Y': 0.3946540653705597, 'Z': -0.13522221148014069}, {'X': 0.7691329121589661, 'Y': 0.4784870147705078, 'Z': -0.16087453067302704}, {'X': 0.7678279876708984, 'Y': 0.523780107498169, 'Z': -0.15012560784816742}, {'X': 0.8169881105422974, 'Y': 0.4754963219165802, 'Z': -0.05031432583928108}, {'X': 0.820354163646698, 'Y': 0.40406322479248047, 'Z': -0.13421794772148132}, {'X': 0.8100032210350037, 'Y': 0.49245020747184753, 'Z': -0.14637574553489685}, {'X': 0.8034070134162903, 'Y': 0.5408422350883484, 'Z': -0.12538625299930573}, {'X': 0.858163058757782, 'Y': 0.491022527217865, 'Z': -0.061285845935344696}, {'X': 0.8611995577812195, 'Y': 0.4379352629184723, 'Z': -0.11470125615596771}, {'X': 0.8475976586341858, 'Y': 0.4955425560474396, 'Z': -0.1219610795378685}, {'X': 0.838087797164917, 'Y': 0.5286306142807007, 'Z': -0.10902625322341919}]
[{'X': 0.8170511722564697, 'Y': 0.6437168717384338, 'Z': -1.6692049030098133e-05}, {'X': 0.7588191628456116, 'Y': 0.6182834506034851, 'Z': -0.0632123053073883}, {'X': 0.7227895855903625, 'Y': 0.5502308011054993, 'Z': -0.09247938543558121}, {'X': 0.7338748574256897, 'Y': 0.4834710359573364, 'Z': -0.1145813837647438}, {'X': 0.7584816813468933, 'Y': 0.4433337152004242, 'Z': -0.12594439089298248}, {'X': 0.7328604459762573, 'Y': 0.47591421008110046, 'Z': -0.05475476756691933}, {'X': 0.7212501764297485, 'Y': 0.41576993465423584, 'Z': -0.14478079974651337}, {'X': 0.7341870069503784, 'Y': 0.47671303153038025, 'Z': -0.19680309295654297}, {'X': 0.7440139651298523, 'Y': 0.5233392715454102, 'Z': -0.2074827402830124}, {'X': 0.7737928032875061, 'Y': 0.46683597564697266, 'Z': -0.04776248708367348}, {'X': 0.7693464159965515, 'Y': 0.39628833532333374, 'Z': -0.14637994766235352}, {'X': 0.7712192535400391, 'Y': 0.4754914939403534, 'Z': -0.1829749494791031}, {'X': 0.7691397666931152, 'Y': 0.5228734016418457, 'Z': -0.17859426140785217}, {'X': 0.8165060877799988, 'Y': 0.4697204828262329, 'Z': -0.05320007726550102}, {'X': 0.8210813999176025, 'Y': 0.40626639127731323, 'Z': -0.14707335829734802}, {'X': 0.8119995594024658, 'Y': 0.49296092987060547, 'Z': -0.1709997057914734}, {'X': 0.8041393160820007, 'Y': 0.5450437664985657, 'Z': -0.15551215410232544}, {'X': 0.8597154021263123, 'Y': 0.48208877444267273, 'Z': -0.0606059692800045}, {'X': 0.8616796731948853, 'Y': 0.4335211515426636, 'Z': -0.12478509545326233}, {'X': 0.8491604328155518, 'Y': 0.49203652143478394, 'Z': -0.13936269283294678}, {'X': 0.8384832143783569, 'Y': 0.5298951268196106, 'Z': -0.12981344759464264}]
[{'X': 0.8171692490577698, 'Y': 0.6493266820907593, 'Z': -2.474819848430343e-05}, {'X': 0.7566345930099487, 'Y': 0.6172499060630798, 'Z': -0.05552297458052635}, {'X': 0.7212363481521606, 'Y': 0.544705331325531, 'Z': -0.07985935360193253}, {'X': 0.7382351756095886, 'Y': 0.4762096405029297, 'Z': -0.09708228707313538}, {'X': 0.7670316696166992, 'Y': 0.4396817982196808, 'Z': -0.09792396426200867}, {'X': 0.7337555885314941, 'Y': 0.47640281915664673, 'Z': -0.04659631475806236}, {'X': 0.723615825176239, 'Y': 0.41278165578842163, 'Z': -0.13156116008758545}, {'X': 0.7369531989097595, 'Y': 0.4796231985092163, 'Z': -0.17632471024990082}, {'X': 0.7456827163696289, 'Y': 0.5273364186286926, 'Z': -0.18403373658657074}, {'X': 0.7752965688705444, 'Y': 0.4695856273174286, 'Z': -0.04334188625216484}, {'X': 0.7704643607139587, 'Y': 0.3948777914047241, 'Z': -0.1366565227508545}, {'X': 0.7708778381347656, 'Y': 0.4782910645008087, 'Z': -0.1639423668384552}, {'X': 0.7681287527084351, 'Y': 0.5246363878250122, 'Z': -0.1529218852519989}, {'X': 0.8175565004348755, 'Y': 0.473651260137558, 'Z': -0.05113730952143669}, {'X': 0.8215384483337402, 'Y': 0.4059390425682068, 'Z': -0.13698799908161163}, {'X': 0.8117782473564148, 'Y': 0.49435359239578247, 'Z': -0.15049518644809723}, {'X': 0.8043756484985352, 'Y': 0.543464183807373, 'Z': -0.12931042909622192}, {'X': 0.8596101999282837, 'Y': 0.4876754581928253, 'Z': -0.061948470771312714}, {'X': 0.8621370196342468, 'Y': 0.4378427267074585, 'Z': -0.11652448773384094}, {'X': 0.8486235737800598, 'Y': 0.4962669909000397, 'Z': -0.12340468168258667}, {'X': 0.8387642502784729, 'Y': 0.5304878354072571, 'Z': -0.10885164141654968}]
[{'X': 0.8180467486381531, 'Y': 0.6452722549438477, 'Z': -2.0925112039549276e-05}, {'X': 0.7572806477546692, 'Y': 0.6147875785827637, 'Z': -0.05738601088523865}, {'X': 0.7198967933654785, 'Y': 0.5436617136001587, 'Z': -0.08126384019851685}, {'X': 0.7336238026618958, 'Y': 0.4762093126773834, 'Z': -0.0986102744936943}, {'X': 0.7594476938247681, 'Y': 0.4376485347747803, 'Z': -0.10029678791761398}, {'X': 0.7344304323196411, 'Y': 0.4728798270225525, 'Z': -0.0471903458237648}, {'X': 0.7240417003631592, 'Y': 0.41118985414505005, 'Z': -0.1342458724975586}, {'X': 0.7361540794372559, 'Y': 0.4778134822845459, 'Z': -0.18057648837566376}, {'X': 0.7446836829185486, 'Y': 0.5251144170761108, 'Z': -0.1886146366596222}, {'X': 0.7756800651550293, 'Y': 0.46670985221862793, 'Z': -0.04331788420677185}, {'X': 0.771377682685852, 'Y': 0.3940662443637848, 'Z': -0.13867992162704468}, {'X': 0.7711412310600281, 'Y': 0.47758811712265015, 'Z': -0.16716742515563965}, {'X': 0.7679292559623718, 'Y': 0.5231038331985474, 'Z': -0.1565569043159485}, {'X': 0.8176482915878296, 'Y': 0.47139185667037964, 'Z': -0.051143378019332886}, {'X': 0.8218530416488647, 'Y': 0.40485644340515137, 'Z': -0.13955123722553253}, {'X': 0.8110220432281494, 'Y': 0.49281996488571167, 'Z': -0.15452198684215546}, {'X': 0.8028263449668884, 'Y': 0.5413357019424438, 'Z': -0.13354912400245667}, {'X': 0.8596495389938354, 'Y': 0.48574188351631165, 'Z': -0.062006134539842606}, {'X': 0.862310528755188, 'Y': 0.4366360604763031, 'Z': -0.11864793300628662}, {'X': 0.8482822179794312, 'Y': 0.49486133456230164, 'Z': -0.1266867220401764}, {'X': 0.8379291296005249, 'Y': 0.5290802717208862, 'Z': -0.1128837987780571}]
[{'X': 0.8164604306221008, 'Y': 0.6500695943832397, 'Z': -2.2364249161910266e-05}, {'X': 0.7532716393470764, 'Y': 0.6132559180259705, 'Z': -0.05006379634141922}, {'X': 0.7172340154647827, 'Y': 0.538880467414856, 'Z': -0.07192622870206833}, {'X': 0.7300559878349304, 'Y': 0.47074612975120544, 'Z': -0.08813872188329697}, {'X': 0.7537333965301514, 'Y': 0.43201589584350586, 'Z': -0.08859013020992279}, {'X': 0.734868586063385, 'Y': 0.47364839911460876, 'Z': -0.04072871804237366}, {'X': 0.7258055210113525, 'Y': 0.4136333167552948, 'Z': -0.12430636584758759}, {'X': 0.736892819404602, 'Y': 0.48384642601013184, 'Z': -0.16705895960330963}, {'X': 0.7429962158203125, 'Y': 0.5309047698974609, 'Z': -0.1730450689792633}, {'X': 0.7760621905326843, 'Y': 0.46880054473876953, 'Z': -0.03911375626921654}, {'X': 0.77126544713974, 'Y': 0.3972921371459961, 'Z': -0.13217571377754211}, {'X': 0.7703838348388672, 'Y': 0.48298871517181396, 'Z': -0.1577526479959488}, {'X': 0.767558217048645, 'Y': 0.5281081199645996, 'Z': -0.14553608000278473}, {'X': 0.8177013397216797, 'Y': 0.47437968850135803, 'Z': -0.048320379108190536}, {'X': 0.820759117603302, 'Y': 0.4062736928462982, 'Z': -0.13219289481639862}, {'X': 0.8098633289337158, 'Y': 0.4948611557483673, 'Z': -0.14353817701339722}, {'X': 0.8020470142364502, 'Y': 0.5426523089408875, 'Z': -0.12117166072130203}, {'X': 0.8590181469917297, 'Y': 0.4890356957912445, 'Z': -0.06021406501531601}, {'X': 0.8608297109603882, 'Y': 0.43831169605255127, 'Z': -0.1109568178653717}, {'X': 0.8468843698501587, 'Y': 0.4967542886734009, 'Z': -0.1158546730875969}, {'X': 0.8371249437332153, 'Y': 0.5297107100486755, 'Z': -0.10062170773744583}]
[{'X': 0.8192517757415771, 'Y': 0.6512136459350586, 'Z': -1.3508834854292218e-05}, {'X': 0.7578850984573364, 'Y': 0.6182284355163574, 'Z': -0.05828056111931801}, {'X': 0.7226060032844543, 'Y': 0.5494805574417114, 'Z': -0.08469242602586746}, {'X': 0.7345643639564514, 'Y': 0.4836317002773285, 'Z': -0.10523901134729385}, {'X': 0.760634183883667, 'Y': 0.4472278952598572, 'Z': -0.11170069128274918}, {'X': 0.7341933250427246, 'Y': 0.4758869409561157, 'Z': -0.04825422167778015}, {'X': 0.7236683964729309, 'Y': 0.41435086727142334, 'Z': -0.13390055298805237}, {'X': 0.7358565330505371, 'Y': 0.4764419198036194, 'Z': -0.18229888379573822}, {'X': 0.7453457713127136, 'Y': 0.5224276781082153, 'Z': -0.19298501312732697}, {'X': 0.7747419476509094, 'Y': 0.4685690999031067, 'Z': -0.043954070657491684}, {'X': 0.7703827619552612, 'Y': 0.39393728971481323, 'Z': -0.1369682401418686}, {'X': 0.7707061767578125, 'Y': 0.4740596115589142, 'Z': -0.17051297426223755}, {'X': 0.7685546278953552, 'Y': 0.5201894640922546, 'Z': -0.16530080139636993}, {'X': 0.816601037979126, 'Y': 0.47332945466041565, 'Z': -0.050787441432476044}, {'X': 0.8223373889923096, 'Y': 0.4048285484313965, 'Z': -0.1373758465051651}, {'X': 0.8124499320983887, 'Y': 0.4914187788963318, 'Z': -0.15604765713214874}, {'X': 0.8048783540725708, 'Y': 0.5403994917869568, 'Z': -0.13830718398094177}, {'X': 0.8582092523574829, 'Y': 0.4884665012359619, 'Z': -0.06059001758694649}, {'X': 0.8623778223991394, 'Y': 0.4375063180923462, 'Z': -0.11784549057483673}, {'X': 0.848499059677124, 'Y': 0.494393914937973, 'Z': -0.1285128891468048}, {'X': 0.8375226259231567, 'Y': 0.5286649465560913, 'Z': -0.11740165948867798}]
[{'X': 0.8186854720115662, 'Y': 0.6518990397453308, 'Z': -2.4941356969065964e-05}, {'X': 0.7551231384277344, 'Y': 0.6161126494407654, 'Z': -0.05451415851712227}, {'X': 0.7193559408187866, 'Y': 0.5448368787765503, 'Z': -0.07844698429107666}, {'X': 0.7340723872184753, 'Y': 0.4779305160045624, 'Z': -0.09560372680425644}, {'X': 0.7625465989112854, 'Y': 0.443265825510025, 'Z': -0.09680139273405075}, {'X': 0.7333029508590698, 'Y': 0.47574108839035034, 'Z': -0.05055791139602661}, {'X': 0.7229346036911011, 'Y': 0.41311973333358765, 'Z': -0.13391448557376862}, {'X': 0.734056830406189, 'Y': 0.47961854934692383, 'Z': -0.17864271998405457}, {'X': 0.7423322200775146, 'Y': 0.5273129940032959, 'Z': -0.18681080639362335}, {'X': 0.7746083736419678, 'Y': 0.4692126214504242, 'Z': -0.04842953383922577}, {'X': 0.7695332765579224, 'Y': 0.3936628997325897, 'Z': -0.14111113548278809}, {'X': 0.7689885497093201, 'Y': 0.47537028789520264, 'Z': -0.17042887210845947}, {'X': 0.7668806314468384, 'Y': 0.5224201083183289, 'Z': -0.1622353196144104}, {'X': 0.8164336681365967, 'Y': 0.47483447194099426, 'Z': -0.0567026361823082}, {'X': 0.8199381828308105, 'Y': 0.4042678773403168, 'Z': -0.14143936336040497}, {'X': 0.8097314238548279, 'Y': 0.48956722021102905, 'Z': -0.15660004317760468}, {'X': 0.802975058555603, 'Y': 0.5384384989738464, 'Z': -0.1371394395828247}, {'X': 0.85756915807724, 'Y': 0.4914056956768036, 'Z': -0.06798610836267471}, {'X': 0.8611339926719666, 'Y': 0.43858587741851807, 'Z': -0.12260137498378754}, {'X': 0.8480207920074463, 'Y': 0.49272480607032776, 'Z': -0.13208675384521484}, {'X': 0.8383767008781433, 'Y': 0.5256273746490479, 'Z': -0.1207481175661087}]
[{'X': 0.8186501860618591, 'Y': 0.6561556458473206, 'Z': -2.8601161830010824e-05}, {'X': 0.7545544505119324, 'Y': 0.6182641386985779, 'Z': -0.05054876580834389}, {'X': 0.719081461429596, 'Y': 0.5435410737991333, 'Z': -0.0744263082742691}, {'X': 0.7326500415802002, 'Y': 0.4764386713504791, 'Z': -0.09219355881214142}, {'X': 0.75700443983078, 'Y': 0.4378458261489868, 'Z': -0.09523586928844452}, {'X': 0.7353788614273071, 'Y': 0.47648972272872925, 'Z': -0.04551362991333008}, {'X': 0.7230161428451538, 'Y': 0.41487473249435425, 'Z': -0.12701833248138428}, {'X': 0.7348852157592773, 'Y': 0.48285603523254395, 'Z': -0.17177437245845795}, {'X': 0.7428167462348938, 'Y': 0.5319385528564453, 'Z': -0.18104827404022217}, {'X': 0.7774122953414917, 'Y': 0.47036364674568176, 'Z': -0.04346756637096405}, {'X': 0.7706212997436523, 'Y': 0.39835160970687866, 'Z': -0.13328123092651367}, {'X': 0.7702383399009705, 'Y': 0.481404185295105, 'Z': -0.16118210554122925}, {'X': 0.7682230472564697, 'Y': 0.5295549035072327, 'Z': -0.15322193503379822}, {'X': 0.8193967342376709, 'Y': 0.4749228358268738, 'Z': -0.05151262879371643}, {'X': 0.8201667666435242, 'Y': 0.40757644176483154, 'Z': -0.13139770925045013}, {'X': 0.809779167175293, 'Y': 0.4933766722679138, 'Z': -0.14547894895076752}, {'X': 0.8029208183288574, 'Y': 0.5437172651290894, 'Z': -0.12718135118484497}, {'X': 0.8610624074935913, 'Y': 0.48897257447242737, 'Z': -0.06239329278469086}, {'X': 0.8613105416297913, 'Y': 0.4386315941810608, 'Z': -0.11161363124847412}, {'X': 0.8472525477409363, 'Y': 0.4954983592033386, 'Z': -0.1190929189324379}, {'X': 0.8380634784698486, 'Y': 0.5301458239555359, 'Z': -0.10765372216701508}]
[{'X': 0.8199257254600525, 'Y': 0.6511591672897339, 'Z': -3.075202039326541e-05}, {'X': 0.7549678683280945, 'Y': 0.6157469153404236, 'Z': -0.04998745024204254}, {'X': 0.717280387878418, 'Y': 0.5406978130340576, 'Z': -0.07245004177093506}, {'X': 0.7264754772186279, 'Y': 0.4721878468990326, 'Z': -0.08935421705245972}, {'X': 0.7461223006248474, 'Y': 0.430288702249527, 'Z': -0.09026151150465012}, {'X': 0.7364546060562134, 'Y': 0.4725854992866516, 'Z': -0.04135766625404358}, {'X': 0.7253956198692322, 'Y': 0.4139266014099121, 'Z': -0.12177527695894241}, {'X': 0.7370550632476807, 'Y': 0.4848749041557312, 'Z': -0.1636883020401001}, {'X': 0.744375467300415, 'Y': 0.5323000550270081, 'Z': -0.17121736705303192}, {'X': 0.7787877321243286, 'Y': 0.4670657515525818, 'Z': -0.040047235786914825}, {'X': 0.7718628644943237, 'Y': 0.3975689709186554, 'Z': -0.1323336362838745}, {'X': 0.7720431089401245, 'Y': 0.4843919277191162, 'Z': -0.1560610830783844}, {'X': 0.7712565660476685, 'Y': 0.5301063060760498, 'Z': -0.1446889191865921}, {'X': 0.8205617070198059, 'Y': 0.4719286262989044, 'Z': -0.04964571073651314}, {'X': 0.8210580945014954, 'Y': 0.4054275155067444, 'Z': -0.13042771816253662}, {'X': 0.8109902739524841, 'Y': 0.4932733178138733, 'Z': -0.14010415971279144}, {'X': 0.8044694662094116, 'Y': 0.5410892963409424, 'Z': -0.11767438054084778}, {'X': 0.861156165599823, 'Y': 0.4858935475349426, 'Z': -0.06197882071137428}, {'X': 0.8610949516296387, 'Y': 0.43812841176986694, 'Z': -0.10981535166501999}, {'X': 0.8477129340171814, 'Y': 0.49608707427978516, 'Z': -0.11479093134403229}, {'X': 0.839303195476532, 'Y': 0.5284293293952942, 'Z': -0.10094883292913437}]
